Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages**","All causes, by age (years), All Ages**, flag","All causes, by age (years), ?65","All causes, by age (years), ?65, flag","All causes, by age (years), 45–64","All causes, by age (years), 45–64, flag","All causes, by age (years), 25–44","All causes, by age (years), 25–44, flag","All causes, by age (years), 1–24","All causes, by age (years), 1–24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I† Total,"P&I† Total, flag",Location 1,Location 2
Mountain,2015,34,1124,,734,,260,,91,,20,,16,,66,,,
"Tulsa, OK",2015,34,133,,75,,42,,9,,3,,4,,10,,"Tulsa, OK
(50.777773, 2.206962)",
W.N. Central,2015,34,597,,382,,159,,31,,17,,7,,33,,,
"Houston, TX",2015,34,320,,201,,79,,19,,12,,9,,6,,"Houston, TX
(29.760803, -95.369506)",
"Lexington, KY",2015,34,109,,64,,30,,12,,1,,2,,,-,"Lexington, KY
(34.052238, -118.243344)",
"Montgomery, AL",2015,34,42,,32,,9,,1,,,-,,-,4,,"Montgomery, AL
(32.376547, -86.299651)",
"Lincoln, NC",2015,34,50,,37,,11,,1,,,-,1,,3,,"Lincoln, NC
(40.813599, -96.70261)",
"Wichita, KS",2015,34,96,,63,,23,,7,,3,,,-,5,,"Wichita, KS
(50.930104, 2.508137)",
"San Diego, CA",2015,34,158,,119,,22,,10,,5,,2,,7,,"San Diego, CA
(32.71576, -117.163817)",
"Boston, MA",2015,34,128,,87,,29,,9,,1,,2,,8,,"Boston, MA
(42.358894, -71.056742)",
"Savannah, GA",2015,34,51,,35,,11,,3,,2,,,-,2,,"Savannah, GA
(49.955, 3.480556)",
"St. Louis, MO",2015,34,79,,40,,27,,6,,5,,1,,3,,"St. Louis, MO
(38.630276, -90.200309)",
"Phoenix, AZ",2015,34,190,,111,,45,,21,,6,,4,,4,,"Phoenix, AZ
(30.406931, -87.217578)",
"St. Paul, MN",2015,34,57,,38,,15,,3,,,-,1,,3,,"St. Paul, MN
(44.943719, -93.094281)",
"Wilmington, DE",2015,34,11,,9,,2,,,-,,-,,-,1,,"Wilmington, DE
(39.744432, -75.5451)",
"Jacksonville, FL",2015,34,159,,112,,34,,9,,3,,1,,9,,"Jacksonville, FL
(30.325968, -81.65676)",
"Omaha, NE",2015,34,91,,65,,21,,2,,2,,1,,5,,"Omaha, NE
(46.171944, 6.479722)",
"Seattle, WA",2015,34,102,,64,,29,,3,,4,,2,,3,,"Seattle, WA
(47.603229, -122.33028)",
"Long Beach, CA",2015,34,59,,38,,12,,5,,2,,2,,8,,"Long Beach, CA
(33.767168, -118.193723)",
"Duluth, MN",2015,34,37,,24,,10,,1,,1,,1,,,-,"Duluth, MN
(50.0667, 6.16667)",
"San Francisco, CA",2015,34,59,,35,,17,,7,,,-,,-,6,,"San Francisco, CA
(37.78008, -122.420168)",
"Paterson, NJ",2015,34,16,,8,,6,,1,,,-,1,,,-,"Paterson, NJ
(46.560101, 0.30365)",
"Salt Lake City, UT",2015,34,131,,83,,32,,10,,2,,4,,11,,"Salt Lake City, UT
(40.758478, -111.888142)",
"Atlanta, GA",2015,34,160,,112,,38,,7,,2,,1,,5,,"Atlanta, GA
(33.748547, -84.391502)",
"Lynn, MA",2015,34,7,,4,,2,,1,,,-,,-,,-,"Lynn, MA
(45.757598, 4.832332)",
"Dayton, OH",2015,34,125,,88,,28,,8,,1,,,-,5,,"Dayton, OH
(39.760982, -84.192203)",
"Baton Rouge, LA",2015,34,69,,44,,18,,6,,1,,,-,1,,"Baton Rouge, LA
(30.443319, -91.187488)",
"Akron, OH",2015,34,63,,39,,18,,4,,,-,2,,2,,"Akron, OH
(41.084821, -81.515607)",
"Honolulu, HI",2015,34,65,,46,,16,,1,,1,,1,,7,,"Honolulu, HI
(21.30992, -157.858158)",
"Boise, ID",2015,34,58,,47,,8,,3,,,-,,-,2,,"Boise, ID
(4.598048, -74.076087)",
"Evansville, IN",2015,34,45,,31,,14,,,-,,-,,-,4,,"Evansville, IN
(37.975708, -87.569907)",
"Schenectady, NY",2015,34,14,,12,,2,,,-,,-,,-,1,,"Schenectady, NY
(42.814219, -73.944103)",
"Yonkers, NY",2015,34,17,,12,,5,,,-,,-,,-,2,,"Yonkers, NY
(40.932014, -73.896052)",
"El Paso, TX",2015,34,122,,67,,20,,24,,8,,3,,4,,"El Paso, TX
(31.76006, -106.492257)",
"Sacramento, CA",2015,34,224,,155,,43,,17,,4,,5,,15,,"Sacramento, CA
(38.582087, -121.50012)",
"Indianapolis, IN",2015,34,183,,116,,40,,17,,5,,5,,13,,"Indianapolis, IN
(39.76845, -86.156212)",
"Bridgeport, CT",2015,34,31,,23,,5,,,-,1,,2,,2,,"Bridgeport, CT
(41.179195, -73.189476)",
"Newark, NJ",2015,34,32,,17,,12,,1,,2,,,-,2,,"Newark, NJ
(50.147281, 3.257684)",
"Rockford, IL",2015,34,50,,35,,12,,2,,1,,,-,5,,"Rockford, IL
(42.266802, -89.088377)",
"Los Angeles, CA",2015,34,269,,185,,59,,12,,7,,6,,23,,"Los Angeles, CA
(34.052238, -118.243344)",
"Springfield, MA",2015,34,39,,29,,8,,2,,,-,,-,,-,"Springfield, MA
(39.79936, -89.643624)",
"New York City, NY",2015,34,970,,699,,210,,34,,17,,10,,33,,"New York City, NY
(40.123164, -75.333718)",
"Camden, NJ",2015,34,35,,18,,7,,4,,3,,3,,1,,"Camden, NJ
(39.945208, -75.118833)",
"Utica, NY",2015,34,11,,7,,3,,1,,,-,,-,,-,"Utica, NY
(66.411768, 112.251729)",
"Buffalo, NY",2015,34,72,,56,,12,,3,,1,,,-,4,,"Buffalo, NY
(50.7328, 2.03149)",
S. Atlantic,2015,34,1069,,686,,263,,70,,33,,17,,60,,,
"Mobile, AL",2015,34,75,,43,,28,,1,,2,,1,,5,,"Mobile, AL
(34.661541, -77.695461)",
"Cambridge, MA",2015,34,14,,9,,5,,,-,,-,,-,2,,"Cambridge, MA
(42.365248, -71.105015)",
"St. Petersburg, FL",2015,34,63,,43,,15,,2,,1,,2,,4,,"St. Petersburg, FL
(27.772069, -82.638488)",
"Youngstown, OH",2015,34,67,,55,,10,,2,,,-,,-,3,,"Youngstown, OH
(41.100083, -80.649387)",
"Grand Rapids, MI",2015,34,59,,38,,14,,3,,,-,4,,4,,"Grand Rapids, MI
(47.925705, -97.036068)",
"Columbus, OH",2015,34,155,,109,,30,,8,,4,,4,,9,,"Columbus, OH
(39.962762, -82.996291)",
"Kansas City, MO",2015,34,96,,57,,27,,5,,4,,2,,6,,"Kansas City, MO
(39.099792, -94.578559)",
"Somerville, MA",2015,34,5,,3,,,-,1,,1,,,-,,-,"Somerville, MA
(49.181231, -0.22164)",
"Canton, OH",2015,34,31,,22,,6,,3,,,-,,-,2,,"Canton, OH
(39.945208, -75.118833)",
Pacific,2015,34,1615,,1145,,320,,90,,30,,30,,99,,,
"Ogden, UT",2015,34,37,,23,,5,,5,,3,,1,,2,,"Ogden, UT
(50.042532, 1.457601)",
"Worcester, MA",2015,34,53,,33,,16,,2,,1,,1,,4,,"Worcester, MA
(42.262073, -71.802278)",
"Nashville, TN",2015,34,146,,78,,48,,9,,5,,6,,2,,"Nashville, TN
(36.166687, -86.779932)",
New England,2015,34,419,,285,,100,,22,,4,,8,,22,,,
"Trenton, NJ",2015,34,19,,13,,4,,2,,,-,,-,,-,"Trenton, NJ
(43.651893, -79.381713)",
"Los Angeles, CA",2015,35,263,,181,,62,,13,,2,,5,,22,,"Los Angeles, CA
(34.052238, -118.243344)",
"Evansville, IN",2015,35,34,,19,,13,,2,,,-,,-,,-,"Evansville, IN
(37.975708, -87.569907)",
"Trenton, NJ",2015,35,17,,12,,5,,,-,,-,,-,,-,"Trenton, NJ
(43.651893, -79.381713)",
"Cincinnati, OH",2015,35,71,,39,,17,,11,,1,,3,,3,,"Cincinnati, OH
(39.104427, -84.513808)",
"Salt Lake City, UT",2015,35,138,,93,,23,,14,,5,,3,,9,,"Salt Lake City, UT
(40.758478, -111.888142)",
"Chattanooga, TN",2015,35,75,,53,,18,,2,,1,,1,,3,,"Chattanooga, TN
(35.045756, -85.308287)",
"Dallas, TX",2015,35,248,,139,,71,,24,,9,,5,,15,,"Dallas, TX
(49.30742, 6.409499)",
"Tacoma, WA",2015,35,127,,92,,25,,8,,,-,2,,10,,"Tacoma, WA
(32.221878, -110.971225)",
"Honolulu, HI",2015,35,117,,83,,28,,1,,4,,1,,9,,"Honolulu, HI
(21.30992, -157.858158)",
"Pueblo, CO",2015,35,19,,13,,4,,1,,1,,,-,3,,"Pueblo, CO
(50.021667, 3.885833)",
"Kansas City, KS",2015,35,36,,23,,9,,2,,1,,1,,2,,"Kansas City, KS
(39.099792, -94.578559)",
"Fort Worth, TX",2015,35,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX
(32.739977, -97.340038)",
"Boise, ID",2015,35,71,,53,,16,,1,,1,,,-,1,,"Boise, ID
(4.598048, -74.076087)",
"Albuquerque, NM",2015,35,138,,93,,27,,14,,2,,2,,11,,"Albuquerque, NM
(35.084248, -106.649241)",
"Ogden, UT",2015,35,39,,23,,10,,4,,2,,,-,,-,"Ogden, UT
(50.042532, 1.457601)",
"Syracuse, NY",2015,35,63,,44,,14,,5,,,-,,-,1,,"Syracuse, NY
(43.047945, -76.147448)",
"Fresno, CA",2015,35,133,,93,,29,,4,,5,,2,,5,,"Fresno, CA
(36.731654, -119.785856)",
"San Diego, CA",2015,35,203,,142,,39,,14,,6,,1,,9,,"San Diego, CA
(32.71576, -117.163817)",
"Portland, OR",2015,35,119,,81,,28,,7,,3,,,-,2,,"Portland, OR
(45.516018, -122.681425)",
W.S. Central,2015,35,1666,,1080,,396,,108,,40,,42,,71,,,
"Wilmington, DE",2015,35,17,,10,,6,,,-,,-,1,,1,,"Wilmington, DE
(39.744432, -75.5451)",
"Indianapolis, IN",2015,35,189,,105,,52,,20,,7,,5,,10,,"Indianapolis, IN
(39.76845, -86.156212)",
"Newark, NJ",2015,35,32,,20,,7,,3,,1,,1,,,-,"Newark, NJ
(50.147281, 3.257684)",
"Cleveland, OH",2015,35,225,,155,,47,,12,,7,,4,,15,,"Cleveland, OH
(41.505546, -81.6915)",
Total¶,2015,35,11256,,7478,,2563,,732,,254,,197,,559,,,
"Providence, RI",2015,35,71,,44,,19,,6,,2,,,-,4,,"Providence, RI
(41.824461, -71.412747)",
"Fall River, MA",2015,35,24,,18,,4,,1,,1,,,-,2,,"Fall River, MA
(50.6385, 2.83278)",
"Chicago, IL",2015,35,261,,159,,67,,27,,4,,4,,15,,"Chicago, IL
(49.65195, 2.08099)",
"Seattle, WA",2015,35,94,,57,,23,,8,,2,,4,,4,,"Seattle, WA
(47.603229, -122.33028)",
"Toledo, OH",2015,35,86,,58,,19,,3,,5,,1,,2,,"Toledo, OH
(41.655298, -83.535717)",
W.N. Central,2015,35,618,,409,,148,,33,,14,,12,,38,,,
"New Bedford, MA",2015,35,22,,14,,5,,3,,,-,,-,,-,"New Bedford, MA
(41.63405, -70.92766)",
"Santa Cruz, CA",2015,35,38,,32,,4,,2,,,-,,-,2,,"Santa Cruz, CA
(32.71576, -117.163817)",
"Waterbury, CT",2015,35,23,,17,,6,,,-,,-,,-,3,,"Waterbury, CT
(41.554261, -73.043069)",
"Long Beach, CA",2015,35,63,,37,,19,,4,,3,,,-,6,,"Long Beach, CA
(33.767168, -118.193723)",
"Buffalo, NY",2015,35,62,,40,,13,,4,,5,,,-,1,,"Buffalo, NY
(50.7328, 2.03149)",
"Denver, CO",2015,35,72,,46,,18,,3,,,-,5,,1,,"Denver, CO
(39.738453, -104.984853)",
"St. Louis, MO",2015,35,108,,52,,37,,6,,8,,5,,3,,"St. Louis, MO
(38.630276, -90.200309)",
"Gary, IN",2015,35,11,,7,,2,,1,,1,,,-,1,,"Gary, IN
(41.979301, 2.819944)",
"San Jose, CA",2015,35,187,,140,,30,,10,,4,,3,,7,,"San Jose, CA
(35.398134, -105.477067)",
"Lynn, MA",2015,35,4,,1,,1,,1,,1,,,-,,-,"Lynn, MA
(45.757598, 4.832332)",
"Duluth, MN",2015,35,29,,20,,7,,2,,,-,,-,4,,"Duluth, MN
(50.0667, 6.16667)",
"Youngstown, OH",2015,35,60,,47,,7,,3,,,-,3,,1,,"Youngstown, OH
(41.100083, -80.649387)",
"Little Rock, AR",2015,35,108,,71,,26,,5,,2,,4,,5,,"Little Rock, AR
(34.748745, -92.275105)",
"Omaha, NE",2015,35,92,,65,,19,,6,,2,,,-,5,,"Omaha, NE
(46.171944, 6.479722)",
"Birmingham, AL",2015,35,154,,99,,34,,13,,3,,5,,11,,"Birmingham, AL
(33.522859, -86.807705)",
"Paterson, NJ",2015,35,21,,9,,7,,3,,1,,1,,,-,"Paterson, NJ
(46.560101, 0.30365)",
"Boston, MA",2015,35,132,,86,,33,,7,,3,,3,,12,,"Boston, MA
(42.358894, -71.056742)",
"New York City, NY",2015,35,1022,,720,,217,,54,,19,,12,,38,,"New York City, NY
(40.123164, -75.333718)",
"Mobile, AL",2015,35,76,,57,,13,,4,,,-,2,,5,,"Mobile, AL
(34.661541, -77.695461)",
"Norfolk, VA",2015,35,42,,27,,11,,2,,1,,1,,1,,"Norfolk, VA
(36.846164, -76.285913)",
"Berkeley, CA",2015,35,10,,7,,2,,,-,,-,1,,1,,"Berkeley, CA
(41.387019, 2.170044)",
"Austin, TX",2015,35,87,,54,,21,,5,,4,,3,,5,,"Austin, TX
(51.166908, 71.420651)",
"St. Petersburg, FL",2015,35,72,,37,,4,,1,,2,,,-,1,,"St. Petersburg, FL
(27.772069, -82.638488)",
"Glendale, CA",2015,35,45,,36,,7,,2,,,-,,-,7,,"Glendale, CA
(34.148138, -118.246437)",
"Elizabeth, NJ",2015,35,17,,11,,3,,2,,1,,,-,,-,"Elizabeth, NJ
(54.5167, 8.88333)",
"Reading, PA",2015,35,30,,23,,7,,,-,,-,,-,,-,"Reading, PA
(40.336919, -75.921965)",
"Peoria, IL",2015,35,51,,41,,6,,3,,,-,1,,5,,"Peoria, IL
(49.427543, 1.373148)",
"New Haven, CT",2015,35,33,,18,,11,,1,,1,,2,,2,,"New Haven, CT
(49.931111, 4.044167)",
"El Paso, TX",2015,35,78,,55,,16,,3,,3,,1,,1,,"El Paso, TX
(31.76006, -106.492257)",
"Jacksonville, FL",2015,35,130,,75,,38,,11,,5,,1,,7,,"Jacksonville, FL
(30.325968, -81.65676)",
"Columbus, OH",2015,35,326,,205,,87,,20,,5,,9,,14,,"Columbus, OH
(39.962762, -82.996291)",
"Somerville, MA",2015,35,19,,1,,,-,,-,18,,,-,,-,"Somerville, MA
(49.181231, -0.22164)",
"Hartford, CT",2015,35,,U,,U,,U,,U,,U,,U,,U,"Hartford, CT
(41.765775, -72.673356)",
"Springfield, MA",2015,35,39,,22,,10,,7,,,-,,-,,-,"Springfield, MA
(39.79936, -89.643624)",
Mid. Atlantic,2015,35,1616,,1129,,344,,92,,35,,16,,58,,,
"Rochester, NY",2015,35,141,,104,,27,,6,,2,,2,,5,,"Rochester, NY
(43.155708, -77.612547)",
"Utica, NY",2015,35,15,,13,,1,,1,,,-,,-,1,,"Utica, NY
(66.411768, 112.251729)",
"Shreveport, LA",2015,35,55,,38,,17,,,-,,-,,-,4,,"Shreveport, LA
(32.51424, -93.747757)",
"Miami, FL",2015,35,55,,45,,8,,1,,1,,,-,2,,"Miami, FL
(44.977479, -93.264346)",
"Scranton, PA",2015,35,25,,18,,2,,4,,1,,,-,,-,"Scranton, PA
(41.409113, -75.662346)",
Pacific,2015,35,1840,,1292,,385,,102,,36,,24,,105,,,
"Wichita, KS",2015,35,82,,63,,17,,2,,,-,,-,2,,"Wichita, KS
(50.930104, 2.508137)",
"Richmond, VA",2015,35,47,,32,,13,,2,,,-,,-,2,,"Richmond, VA
(37.540759, -77.433932)",
"Kansas City, MO",2015,35,118,,72,,32,,6,,2,,4,,11,,"Kansas City, MO
(39.099792, -94.578559)",
"Milwaukee, WI",2015,35,75,,46,,20,,5,,2,,2,,,-,"Milwaukee, WI
(43.041072, -87.909421)",
"Atlanta, GA",2015,35,164,,108,,37,,8,,5,,6,,7,,"Atlanta, GA
(33.748547, -84.391502)",
"Allentown, PA",2015,35,25,,19,,5,,1,,,-,,-,3,,"Allentown, PA
(40.602753, -75.469759)",
"Schenectady, NY",2015,35,16,,10,,5,,1,,,-,,-,1,,"Schenectady, NY
(42.814219, -73.944103)",
"Akron, OH",2015,35,57,,36,,14,,4,,2,,1,,6,,"Akron, OH
(41.084821, -81.515607)",
"Tucson, AZ",2015,35,154,,113,,31,,7,,1,,2,,2,,"Tucson, AZ
(50.813007, 19.117083)",
"Nashville, TN",2015,35,135,,83,,32,,14,,2,,4,,6,,"Nashville, TN
(36.166687, -86.779932)",
"Jersey City, NJ",2015,35,10,,6,,4,,,-,,-,,-,,-,"Jersey City, NJ
(40.717495, -74.044111)",
"South Bend, IN",2015,35,38,,27,,9,,1,,,-,1,,1,,"South Bend, IN
(41.675032, -86.251962)",
"Tulsa, OK",2015,35,115,,84,,22,,4,,3,,2,,9,,"Tulsa, OK
(50.777773, 2.206962)",
"Des Moines, IA",2015,35,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA
(41.588822, -93.620309)",
"Lansing, MI",2015,35,45,,24,,13,,5,,1,,2,,1,,"Lansing, MI
(42.733625, -84.553927)",
"Las Vegas, NV",2015,35,330,,213,,82,,26,,7,,2,,22,,"Las Vegas, NV
(36.169202, -115.140597)",
"Minneapolis, MN",2015,35,63,,40,,13,,7,,1,,2,,4,,"Minneapolis, MN
(44.977479, -93.264346)",
"Lincoln, NC",2015,35,34,,29,,4,,1,,,-,,-,2,,"Lincoln, NC
(40.813599, -96.70261)",
"Detroit, MI",2015,35,,U,,U,,U,,U,,U,,U,,U,"Detroit, MI
(42.332916, -83.047853)",
E.N. Central,2015,35,1886,,1220,,447,,137,,40,,42,,91,,,
"Washington, D.C.",2015,35,104,,61,,28,,8,,3,,4,,10,,"Washington, D.C.
(38.892062, -77.019912)",
New England,2015,35,506,,321,,110,,40,,29,,6,,34,,,
"Montgomery, AL",2015,35,48,,37,,8,,1,,1,,1,,1,,"Montgomery, AL
(32.376547, -86.299651)",
"Baton Rouge, LA",2015,35,95,,61,,23,,7,,1,,3,,4,,"Baton Rouge, LA
(30.443319, -91.187488)",
"New Orleans, LA",2015,35,73,,40,,21,,8,,2,,2,,1,,"New Orleans, LA
(29.950621, -90.074948)",
"Colorado Springs, CO",2015,35,66,,42,,16,,6,,1,,1,,1,,"Colorado Springs, CO
(38.835224, -104.819798)",
"Sacramento, CA",2015,35,210,,145,,46,,15,,3,,1,,13,,"Sacramento, CA
(38.582087, -121.50012)",
"Bridgeport, CT",2015,35,28,,25,,2,,1,,,-,,-,1,,"Bridgeport, CT
(41.179195, -73.189476)",
"Albany, NY",2015,35,44,,31,,11,,2,,,-,,-,3,,"Albany, NY
(42.651242, -73.755418)",
"Dayton, OH",2015,35,139,,101,,26,,7,,4,,1,,12,,"Dayton, OH
(39.760982, -84.192203)",
"Fort Wayne, IN",2015,35,78,,53,,17,,6,,,-,2,,2,,"Fort Wayne, IN
(41.331128, -73.987189)",
"Camden, NJ",2015,35,23,,11,,7,,2,,3,,,-,2,,"Camden, NJ
(39.945208, -75.118833)",
"Memphis, TN",2015,35,213,,142,,49,,19,,1,,2,,14,,"Memphis, TN
(35.143378, -90.052136)",
"Cambridge, MA",2015,35,12,,10,,1,,1,,,-,,-,1,,"Cambridge, MA
(42.365248, -71.105015)",
"Yonkers, NY",2015,35,11,,8,,2,,1,,,-,,-,1,,"Yonkers, NY
(40.932014, -73.896052)",
"Tampa, FL",2015,35,115,,72,,30,,11,,,-,2,,5,,"Tampa, FL
(52.7296, 41.4487)",
"St. Paul, MN",2015,35,56,,45,,10,,1,,,-,,-,5,,"St. Paul, MN
(44.943719, -93.094281)",
Mountain,2015,35,1200,,782,,278,,94,,25,,20,,59,,,
"Worcester, MA",2015,35,76,,49,,13,,11,,3,,,-,7,,"Worcester, MA
(42.262073, -71.802278)",
"Corpus Christi, TX",2015,35,48,,31,,10,,3,,3,,1,,4,,"Corpus Christi, TX
(27.796416, -97.404131)",
"Charlotte, NC",2015,35,119,,81,,30,,6,,1,,1,,6,,"Charlotte, NC
(35.222936, -80.840161)",
"Phoenix, AZ",2015,35,173,,93,,51,,18,,5,,5,,9,,"Phoenix, AZ
(30.406931, -87.217578)",
"Canton, OH",2015,35,25,,19,,5,,,-,,-,1,,1,,"Canton, OH
(39.945208, -75.118833)",
S. Atlantic,2015,35,1030,,643,,253,,66,,24,,16,,55,,,
"San Antonio, TX",2015,35,292,,197,,66,,19,,1,,9,,18,,"San Antonio, TX
(29.425173, -98.494599)",
"Savannah, GA",2015,35,36,,20,,11,,3,,2,,,-,,-,"Savannah, GA
(49.955, 3.480556)",
"Spokane, WA",2015,35,80,,55,,19,,4,,1,,1,,1,,"Spokane, WA
(47.658999, -117.425022)",
"Knoxville, TN",2015,35,138,,94,,33,,6,,2,,3,,6,,"Knoxville, TN
(35.962631, -83.916677)",
"Erie, PA",2015,35,42,,30,,7,,3,,2,,,-,2,,"Erie, PA
(42.941688, 1.200615)",
"Pittsburgh, PA§",2015,35,,U,,U,,U,,U,,U,,U,,U,"Pittsburgh, PA
(40.442169, -79.994945)",
"Rockford, IL",2015,35,54,,37,,14,,2,,1,,,-,,-,"Rockford, IL
(42.266802, -89.088377)",
"Lowell, MA",2015,35,23,,16,,5,,1,,,-,1,,2,,"Lowell, MA
(49.249176, -1.471592)",
"Baltimore, MD",2015,35,129,,75,,37,,13,,4,,,-,13,,"Baltimore, MD
(39.290443, -76.612333)",
"Lexington, KY",2015,35,55,,37,,15,,1,,1,,1,,2,,"Lexington, KY
(34.052238, -118.243344)",
"San Francisco, CA",2015,35,124,,91,,20,,7,,3,,3,,7,,"San Francisco, CA
(37.78008, -122.420168)",
"Grand Rapids, MI",2015,35,61,,42,,12,,5,,,-,2,,2,,"Grand Rapids, MI
(47.925705, -97.036068)",
"Pasadena, CA",2015,35,27,,20,,4,,3,,,-,,-,,-,"Pasadena, CA
(34.14955, -118.141452)",
"Houston, TX",2015,35,467,,310,,103,,30,,12,,12,,5,,"Houston, TX
(29.760803, -95.369506)",
E.S. Central,2015,35,894,,602,,202,,60,,11,,19,,48,,,
"Philadelphia, PA",2015,35,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA
(39.951061, -75.16562)",
"Toledo, OH",2015,36,88,,64,,12,,10,,1,,1,,6,,"Toledo, OH
(41.655298, -83.535717)",
"Milwaukee, WI",2015,36,64,,40,,15,,6,,3,,,-,2,,"Milwaukee, WI
(43.041072, -87.909421)",
"Akron, OH",2015,36,35,,19,,10,,2,,3,,1,,2,,"Akron, OH
(41.084821, -81.515607)",
"Miami, FL",2015,36,76,,57,,12,,3,,4,,,-,5,,"Miami, FL
(44.977479, -93.264346)",
"Sacramento, CA",2015,36,182,,122,,44,,10,,3,,3,,14,,"Sacramento, CA
(38.582087, -121.50012)",
"San Antonio, TX",2015,36,253,,159,,67,,16,,5,,6,,8,,"San Antonio, TX
(29.425173, -98.494599)",
"St. Louis, MO",2015,36,62,,25,,23,,6,,1,,7,,1,,"St. Louis, MO
(38.630276, -90.200309)",
"Reading, PA",2015,36,31,,24,,6,,1,,,-,,-,3,,"Reading, PA
(40.336919, -75.921965)",
"Washington, D.C.",2015,36,133,,80,,38,,4,,7,,4,,12,,"Washington, D.C.
(38.892062, -77.019912)",
"New York City, NY",2015,36,860,,630,,177,,37,,9,,6,,29,,"New York City, NY
(40.123164, -75.333718)",
"Worcester, MA",2015,36,58,,39,,19,,,-,,-,,-,5,,"Worcester, MA
(42.262073, -71.802278)",
"Newark, NJ",2015,36,31,,14,,12,,4,,1,,,-,1,,"Newark, NJ
(50.147281, 3.257684)",
Mid. Atlantic,2015,36,1498,,1066,,313,,84,,20,,14,,64,,,
"Omaha, NE",2015,36,72,,49,,14,,7,,1,,1,,9,,"Omaha, NE
(46.171944, 6.479722)",
Total¶,2015,36,10139,,6731,,2344,,682,,231,,145,,558,,,
"Baton Rouge, LA",2015,36,62,,42,,14,,4,,1,,1,,2,,"Baton Rouge, LA
(30.443319, -91.187488)",
"Minneapolis, MN",2015,36,55,,35,,14,,4,,1,,1,,8,,"Minneapolis, MN
(44.977479, -93.264346)",
"Honolulu, HI",2015,36,72,,59,,9,,3,,1,,,-,10,,"Honolulu, HI
(21.30992, -157.858158)",
"Indianapolis, IN",2015,36,157,,107,,36,,6,,4,,4,,12,,"Indianapolis, IN
(39.76845, -86.156212)",
"Birmingham, AL",2015,36,125,,78,,32,,10,,4,,1,,9,,"Birmingham, AL
(33.522859, -86.807705)",
"Fort Worth, TX",2015,36,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX
(32.739977, -97.340038)",
"Des Moines, IA",2015,36,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA
(41.588822, -93.620309)",
"Boston, MA",2015,36,151,,95,,35,,15,,2,,4,,16,,"Boston, MA
(42.358894, -71.056742)",
"Elizabeth, NJ",2015,36,24,,12,,5,,5,,1,,1,,1,,"Elizabeth, NJ
(54.5167, 8.88333)",
"Grand Rapids, MI",2015,36,61,,41,,16,,1,,1,,2,,3,,"Grand Rapids, MI
(47.925705, -97.036068)",
"Youngstown, OH",2015,36,49,,39,,6,,4,,,-,,-,1,,"Youngstown, OH
(41.100083, -80.649387)",
"Chicago, IL",2015,36,258,,156,,57,,33,,9,,3,,13,,"Chicago, IL
(49.65195, 2.08099)",
Mountain,2015,36,1027,,693,,229,,66,,26,,8,,49,,,
"Savannah, GA",2015,36,82,,53,,24,,2,,1,,2,,2,,"Savannah, GA
(49.955, 3.480556)",
"Schenectady, NY",2015,36,19,,13,,4,,1,,1,,,-,1,,"Schenectady, NY
(42.814219, -73.944103)",
"Trenton, NJ",2015,36,16,,9,,6,,1,,,-,,-,,-,"Trenton, NJ
(43.651893, -79.381713)",
"Kansas City, KS",2015,36,13,,8,,2,,1,,2,,,-,1,,"Kansas City, KS
(39.099792, -94.578559)",
"South Bend, IN",2015,36,55,,36,,9,,9,,1,,,-,5,,"South Bend, IN
(41.675032, -86.251962)",
"Nashville, TN",2015,36,170,,109,,40,,13,,6,,2,,6,,"Nashville, TN
(36.166687, -86.779932)",
"Long Beach, CA",2015,36,56,,39,,15,,2,,,-,,-,5,,"Long Beach, CA
(33.767168, -118.193723)",
"Fort Wayne, IN",2015,36,63,,48,,9,,4,,2,,,-,9,,"Fort Wayne, IN
(41.331128, -73.987189)",
"Camden, NJ",2015,36,25,,15,,7,,1,,1,,1,,2,,"Camden, NJ
(39.945208, -75.118833)",
"Rockford, IL",2015,36,45,,30,,11,,2,,1,,1,,4,,"Rockford, IL
(42.266802, -89.088377)",
"Pittsburgh, PA§",2015,36,,U,,U,,U,,U,,U,,U,,U,"Pittsburgh, PA
(40.442169, -79.994945)",
"Philadelphia, PA",2015,36,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA
(39.951061, -75.16562)",
"Lynn, MA",2015,36,9,,5,,,-,4,,,-,,-,,-,"Lynn, MA
(45.757598, 4.832332)",
"Wichita, KS",2015,36,83,,59,,18,,3,,2,,1,,3,,"Wichita, KS
(50.930104, 2.508137)",
"Atlanta, GA",2015,36,120,,75,,32,,9,,1,,3,,7,,"Atlanta, GA
(33.748547, -84.391502)",
"El Paso, TX",2015,36,83,,56,,16,,7,,3,,1,,2,,"El Paso, TX
(31.76006, -106.492257)",
"Charlotte, NC",2015,36,126,,87,,23,,8,,6,,2,,8,,"Charlotte, NC
(35.222936, -80.840161)",
