year_month,month_of_release,passenger_type,direction,sex,age,estimate,standard_error,status
2018-11,2019-05,Long-term migrant,Net,TOTAL,10-14 years,207,13,Provisional
2018-12,2019-05,Long-term migrant,Net,TOTAL,10-14 years,281,25,Provisional
2019-01,2019-05,Long-term migrant,Net,TOTAL,10-14 years,826,40,Provisional
2019-02,2019-05,Long-term migrant,Net,TOTAL,10-14 years,309,19,Provisional
2019-03,2019-05,Long-term migrant,Net,TOTAL,10-14 years,249,19,Provisional
2019-04,2019-05,Long-term migrant,Net,TOTAL,10-14 years,202,46,Provisional
2019-05,2019-05,Long-term migrant,Net,TOTAL,10-14 years,242,41,Provisional
2018-01,2019-05,Long-term migrant,Net,TOTAL,15-19 years,990,0,Final
2018-02,2019-05,Long-term migrant,Net,TOTAL,15-19 years,806,0,Provisional
2018-03,2019-05,Long-term migrant,Net,TOTAL,15-19 years,272,2,Provisional
2018-04,2019-05,Long-term migrant,Net,TOTAL,15-19 years,308,10,Provisional
2018-05,2019-05,Long-term migrant,Net,TOTAL,15-19 years,174,6,Provisional
2018-06,2019-05,Long-term migrant,Net,TOTAL,15-19 years,193,11,Provisional
2018-07,2019-05,Long-term migrant,Net,TOTAL,15-19 years,1065,42,Provisional
2018-08,2019-05,Long-term migrant,Net,TOTAL,15-19 years,273,22,Provisional
2018-09,2019-05,Long-term migrant,Net,TOTAL,15-19 years,188,22,Provisional
2018-10,2019-05,Long-term migrant,Net,TOTAL,15-19 years,429,23,Provisional
2018-11,2019-05,Long-term migrant,Net,TOTAL,15-19 years,-363,32,Provisional
2018-12,2019-05,Long-term migrant,Net,TOTAL,15-19 years,-240,37,Provisional
2019-01,2019-05,Long-term migrant,Net,TOTAL,15-19 years,1162,71,Provisional
2019-02,2019-05,Long-term migrant,Net,TOTAL,15-19 years,711,38,Provisional
2019-03,2019-05,Long-term migrant,Net,TOTAL,15-19 years,157,28,Provisional
2019-04,2019-05,Long-term migrant,Net,TOTAL,15-19 years,192,52,Provisional
2019-05,2019-05,Long-term migrant,Net,TOTAL,15-19 years,127,44,Provisional
2018-01,2019-05,Long-term migrant,Net,TOTAL,20-24 years,347,0,Final
2018-02,2019-05,Long-term migrant,Net,TOTAL,20-24 years,1469,0,Provisional
2018-03,2019-05,Long-term migrant,Net,TOTAL,20-24 years,309,5,Provisional
2018-04,2019-05,Long-term migrant,Net,TOTAL,20-24 years,-23,9,Provisional
2018-05,2019-05,Long-term migrant,Net,TOTAL,20-24 years,143,12,Provisional
2018-06,2019-05,Long-term migrant,Net,TOTAL,20-24 years,-78,19,Provisional
2018-07,2019-05,Long-term migrant,Net,TOTAL,20-24 years,711,36,Provisional
2018-08,2019-05,Long-term migrant,Net,TOTAL,20-24 years,162,34,Provisional
2018-09,2019-05,Long-term migrant,Net,TOTAL,20-24 years,606,40,Provisional
2018-10,2019-05,Long-term migrant,Net,TOTAL,20-24 years,413,36,Provisional
2018-11,2019-05,Long-term migrant,Net,TOTAL,20-24 years,-107,48,Provisional
2018-12,2019-05,Long-term migrant,Net,TOTAL,20-24 years,-257,48,Provisional
2019-01,2019-05,Long-term migrant,Net,TOTAL,20-24 years,380,52,Provisional
2019-02,2019-05,Long-term migrant,Net,TOTAL,20-24 years,1541,64,Provisional
2019-03,2019-05,Long-term migrant,Net,TOTAL,20-24 years,254,54,Provisional
2019-04,2019-05,Long-term migrant,Net,TOTAL,20-24 years,-79,55,Provisional
2019-05,2019-05,Long-term migrant,Net,TOTAL,20-24 years,13,88,Provisional
2018-01,2019-05,Long-term migrant,Net,TOTAL,25-29 years,978,0,Final
2018-02,2019-05,Long-term migrant,Net,TOTAL,25-29 years,1161,0,Provisional
2018-03,2019-05,Long-term migrant,Net,TOTAL,25-29 years,437,6,Provisional
2018-04,2019-05,Long-term migrant,Net,TOTAL,25-29 years,-16,12,Provisional
2018-05,2019-05,Long-term migrant,Net,TOTAL,25-29 years,78,17,Provisional
2018-06,2019-05,Long-term migrant,Net,TOTAL,25-29 years,61,22,Provisional
2018-07,2019-05,Long-term migrant,Net,TOTAL,25-29 years,511,35,Provisional
2018-08,2019-05,Long-term migrant,Net,TOTAL,25-29 years,633,41,Provisional
2018-09,2019-05,Long-term migrant,Net,TOTAL,25-29 years,914,45,Provisional
2018-10,2019-05,Long-term migrant,Net,TOTAL,25-29 years,1012,45,Provisional
2018-11,2019-05,Long-term migrant,Net,TOTAL,25-29 years,1048,52,Provisional
2018-12,2019-05,Long-term migrant,Net,TOTAL,25-29 years,439,58,Provisional
2019-01,2019-05,Long-term migrant,Net,TOTAL,25-29 years,655,61,Provisional
2019-02,2019-05,Long-term migrant,Net,TOTAL,25-29 years,1087,63,Provisional
2019-03,2019-05,Long-term migrant,Net,TOTAL,25-29 years,363,69,Provisional
2019-04,2019-05,Long-term migrant,Net,TOTAL,25-29 years,29,67,Provisional
2019-05,2019-05,Long-term migrant,Net,TOTAL,25-29 years,47,97,Provisional
2018-01,2019-05,Long-term migrant,Net,TOTAL,30-34 years,900,0,Final
2018-02,2019-05,Long-term migrant,Net,TOTAL,30-34 years,886,0,Provisional
2018-03,2019-05,Long-term migrant,Net,TOTAL,30-34 years,625,4,Provisional
2018-04,2019-05,Long-term migrant,Net,TOTAL,30-34 years,360,8,Provisional
2018-05,2019-05,Long-term migrant,Net,TOTAL,30-34 years,320,12,Provisional
2018-06,2019-05,Long-term migrant,Net,TOTAL,30-34 years,374,15,Provisional
2018-07,2019-05,Long-term migrant,Net,TOTAL,30-34 years,547,26,Provisional
2018-08,2019-05,Long-term migrant,Net,TOTAL,30-34 years,661,32,Provisional
2018-09,2019-05,Long-term migrant,Net,TOTAL,30-34 years,705,34,Provisional
2018-10,2019-05,Long-term migrant,Net,TOTAL,30-34 years,811,36,Provisional
2018-11,2019-05,Long-term migrant,Net,TOTAL,30-34 years,846,41,Provisional
2018-12,2019-05,Long-term migrant,Net,TOTAL,30-34 years,684,43,Provisional
2019-01,2019-05,Long-term migrant,Net,TOTAL,30-34 years,778,50,Provisional
2019-02,2019-05,Long-term migrant,Net,TOTAL,30-34 years,879,50,Provisional
2019-03,2019-05,Long-term migrant,Net,TOTAL,30-34 years,505,50,Provisional
2019-04,2019-05,Long-term migrant,Net,TOTAL,30-34 years,237,53,Provisional
2019-05,2019-05,Long-term migrant,Net,TOTAL,30-34 years,378,80,Provisional
2018-01,2019-05,Long-term migrant,Net,TOTAL,35-39 years,755,0,Final
2018-02,2019-05,Long-term migrant,Net,TOTAL,35-39 years,554,0,Provisional
2018-03,2019-05,Long-term migrant,Net,TOTAL,35-39 years,452,3,Provisional
2018-04,2019-05,Long-term migrant,Net,TOTAL,35-39 years,253,6,Provisional
2018-05,2019-05,Long-term migrant,Net,TOTAL,35-39 years,293,9,Provisional
2018-06,2019-05,Long-term migrant,Net,TOTAL,35-39 years,342,12,Provisional
2018-07,2019-05,Long-term migrant,Net,TOTAL,35-39 years,458,21,Provisional
2018-08,2019-05,Long-term migrant,Net,TOTAL,35-39 years,594,26,Provisional
2018-09,2019-05,Long-term migrant,Net,TOTAL,35-39 years,532,27,Provisional
2018-10,2019-05,Long-term migrant,Net,TOTAL,35-39 years,637,29,Provisional
2018-11,2019-05,Long-term migrant,Net,TOTAL,35-39 years,608,30,Provisional
2018-12,2019-05,Long-term migrant,Net,TOTAL,35-39 years,560,36,Provisional
2019-01,2019-05,Long-term migrant,Net,TOTAL,35-39 years,755,42,Provisional
2019-02,2019-05,Long-term migrant,Net,TOTAL,35-39 years,689,38,Provisional
2019-03,2019-05,Long-term migrant,Net,TOTAL,35-39 years,474,41,Provisional
2019-04,2019-05,Long-term migrant,Net,TOTAL,35-39 years,296,47,Provisional
2019-05,2019-05,Long-term migrant,Net,TOTAL,35-39 years,328,57,Provisional
2018-01,2019-05,Long-term migrant,Net,TOTAL,40-44 years,538,0,Final
2018-02,2019-05,Long-term migrant,Net,TOTAL,40-44 years,376,0,Provisional
2018-03,2019-05,Long-term migrant,Net,TOTAL,40-44 years,228,3,Provisional
2018-04,2019-05,Long-term migrant,Net,TOTAL,40-44 years,160,6,Provisional
2018-05,2019-05,Long-term migrant,Net,TOTAL,40-44 years,246,9,Provisional
2018-06,2019-05,Long-term migrant,Net,TOTAL,40-44 years,254,11,Provisional
2018-07,2019-05,Long-term migrant,Net,TOTAL,40-44 years,364,20,Provisional
2018-08,2019-05,Long-term migrant,Net,TOTAL,40-44 years,395,21,Provisional
2018-09,2019-05,Long-term migrant,Net,TOTAL,40-44 years,421,22,Provisional
2018-10,2019-05,Long-term migrant,Net,TOTAL,40-44 years,417,24,Provisional
2018-11,2019-05,Long-term migrant,Net,TOTAL,40-44 years,425,26,Provisional
2018-12,2019-05,Long-term migrant,Net,TOTAL,40-44 years,399,32,Provisional
2019-01,2019-05,Long-term migrant,Net,TOTAL,40-44 years,560,34,Provisional
2019-02,2019-05,Long-term migrant,Net,TOTAL,40-44 years,446,31,Provisional
2019-03,2019-05,Long-term migrant,Net,TOTAL,40-44 years,239,33,Provisional
2019-04,2019-05,Long-term migrant,Net,TOTAL,40-44 years,145,37,Provisional
2019-05,2019-05,Long-term migrant,Net,TOTAL,40-44 years,261,60,Provisional
2018-01,2019-05,Long-term migrant,Net,TOTAL,45-49 years,257,0,Final
2018-02,2019-05,Long-term migrant,Net,TOTAL,45-49 years,143,0,Provisional
2018-03,2019-05,Long-term migrant,Net,TOTAL,45-49 years,106,3,Provisional
2018-04,2019-05,Long-term migrant,Net,TOTAL,45-49 years,74,6,Provisional
2018-05,2019-05,Long-term migrant,Net,TOTAL,45-49 years,63,8,Provisional
2018-06,2019-05,Long-term migrant,Net,TOTAL,45-49 years,70,11,Provisional
2018-07,2019-05,Long-term migrant,Net,TOTAL,45-49 years,176,16,Provisional
2018-08,2019-05,Long-term migrant,Net,TOTAL,45-49 years,158,19,Provisional
2018-09,2019-05,Long-term migrant,Net,TOTAL,45-49 years,246,19,Provisional
2018-10,2019-05,Long-term migrant,Net,TOTAL,45-49 years,255,22,Provisional
2018-11,2019-05,Long-term migrant,Net,TOTAL,45-49 years,233,25,Provisional
2018-12,2019-05,Long-term migrant,Net,TOTAL,45-49 years,253,33,Provisional
2019-01,2019-05,Long-term migrant,Net,TOTAL,45-49 years,328,32,Provisional
2019-02,2019-05,Long-term migrant,Net,TOTAL,45-49 years,202,35,Provisional
2019-03,2019-05,Long-term migrant,Net,TOTAL,45-49 years,155,33,Provisional
2019-04,2019-05,Long-term migrant,Net,TOTAL,45-49 years,103,36,Provisional
2019-05,2019-05,Long-term migrant,Net,TOTAL,45-49 years,131,51,Provisional
2018-01,2019-05,Long-term migrant,Net,TOTAL,5-9 years,568,0,Final
2018-02,2019-05,Long-term migrant,Net,TOTAL,5-9 years,280,0,Provisional
2018-03,2019-05,Long-term migrant,Net,TOTAL,5-9 years,263,1,Provisional
2018-04,2019-05,Long-term migrant,Net,TOTAL,5-9 years,169,4,Provisional
2018-05,2019-05,Long-term migrant,Net,TOTAL,5-9 years,208,4,Provisional
2018-06,2019-05,Long-term migrant,Net,TOTAL,5-9 years,214,6,Provisional
2018-07,2019-05,Long-term migrant,Net,TOTAL,5-9 years,320,15,Provisional
2018-08,2019-05,Long-term migrant,Net,TOTAL,5-9 years,376,14,Provisional
2018-09,2019-05,Long-term migrant,Net,TOTAL,5-9 years,320,15,Provisional
2018-10,2019-05,Long-term migrant,Net,TOTAL,5-9 years,317,16,Provisional
2018-11,2019-05,Long-term migrant,Net,TOTAL,5-9 years,330,16,Provisional
2018-12,2019-05,Long-term migrant,Net,TOTAL,5-9 years,480,25,Provisional
2019-01,2019-05,Long-term migrant,Net,TOTAL,5-9 years,604,32,Provisional
2019-02,2019-05,Long-term migrant,Net,TOTAL,5-9 years,397,21,Provisional
2019-03,2019-05,Long-term migrant,Net,TOTAL,5-9 years,248,21,Provisional
2019-04,2019-05,Long-term migrant,Net,TOTAL,5-9 years,202,41,Provisional
2019-05,2019-05,Long-term migrant,Net,TOTAL,5-9 years,243,54,Provisional
2018-01,2019-05,Long-term migrant,Net,TOTAL,50-54 years,117,0,Final
2018-02,2019-05,Long-term migrant,Net,TOTAL,50-54 years,53,0,Provisional
2018-03,2019-05,Long-term migrant,Net,TOTAL,50-54 years,6,3,Provisional
2018-04,2019-05,Long-term migrant,Net,TOTAL,50-54 years,-37,6,Provisional
2018-05,2019-05,Long-term migrant,Net,TOTAL,50-54 years,-5,8,Provisional
2018-06,2019-05,Long-term migrant,Net,TOTAL,50-54 years,2,10,Provisional
2018-07,2019-05,Long-term migrant,Net,TOTAL,50-54 years,45,15,Provisional
2018-08,2019-05,Long-term migrant,Net,TOTAL,50-54 years,79,18,Provisional
2018-09,2019-05,Long-term migrant,Net,TOTAL,50-54 years,67,19,Provisional
2018-10,2019-05,Long-term migrant,Net,TOTAL,50-54 years,156,21,Provisional
2018-11,2019-05,Long-term migrant,Net,TOTAL,50-54 years,171,26,Provisional
2018-12,2019-05,Long-term migrant,Net,TOTAL,50-54 years,174,31,Provisional
2019-01,2019-05,Long-term migrant,Net,TOTAL,50-54 years,172,26,Provisional
2019-02,2019-05,Long-term migrant,Net,TOTAL,50-54 years,96,28,Provisional
2019-03,2019-05,Long-term migrant,Net,TOTAL,50-54 years,52,33,Provisional
2019-04,2019-05,Long-term migrant,Net,TOTAL,50-54 years,-5,37,Provisional
2019-05,2019-05,Long-term migrant,Net,TOTAL,50-54 years,11,48,Provisional
2018-01,2019-05,Long-term migrant,Net,TOTAL,55-59 years,93,0,Final
2018-02,2019-05,Long-term migrant,Net,TOTAL,55-59 years,44,0,Provisional
2018-03,2019-05,Long-term migrant,Net,TOTAL,55-59 years,36,3,Provisional
2018-04,2019-05,Long-term migrant,Net,TOTAL,55-59 years,13,6,Provisional
2018-05,2019-05,Long-term migrant,Net,TOTAL,55-59 years,27,9,Provisional
2018-06,2019-05,Long-term migrant,Net,TOTAL,55-59 years,30,11,Provisional
2018-07,2019-05,Long-term migrant,Net,TOTAL,55-59 years,42,14,Provisional
2018-08,2019-05,Long-term migrant,Net,TOTAL,55-59 years,108,17,Provisional
2018-09,2019-05,Long-term migrant,Net,TOTAL,55-59 years,105,20,Provisional
2018-10,2019-05,Long-term migrant,Net,TOTAL,55-59 years,141,21,Provisional
2018-11,2019-05,Long-term migrant,Net,TOTAL,55-59 years,247,26,Provisional
2018-12,2019-05,Long-term migrant,Net,TOTAL,55-59 years,233,30,Provisional
2019-01,2019-05,Long-term migrant,Net,TOTAL,55-59 years,135,27,Provisional
2019-02,2019-05,Long-term migrant,Net,TOTAL,55-59 years,126,29,Provisional
2019-03,2019-05,Long-term migrant,Net,TOTAL,55-59 years,64,43,Provisional
2019-04,2019-05,Long-term migrant,Net,TOTAL,55-59 years,5,39,Provisional
2019-05,2019-05,Long-term migrant,Net,TOTAL,55-59 years,-6,57,Provisional
2018-01,2019-05,Long-term migrant,Net,TOTAL,60-64 years,69,0,Final
2018-02,2019-05,Long-term migrant,Net,TOTAL,60-64 years,49,0,Provisional
2018-03,2019-05,Long-term migrant,Net,TOTAL,60-64 years,88,3,Provisional
2018-04,2019-05,Long-term migrant,Net,TOTAL,60-64 years,51,6,Provisional
2018-05,2019-05,Long-term migrant,Net,TOTAL,60-64 years,77,9,Provisional
2018-06,2019-05,Long-term migrant,Net,TOTAL,60-64 years,70,11,Provisional
2018-07,2019-05,Long-term migrant,Net,TOTAL,60-64 years,79,13,Provisional
2018-08,2019-05,Long-term migrant,Net,TOTAL,60-64 years,109,17,Provisional
2018-09,2019-05,Long-term migrant,Net,TOTAL,60-64 years,157,19,Provisional
2018-10,2019-05,Long-term migrant,Net,TOTAL,60-64 years,215,25,Provisional
2018-11,2019-05,Long-term migrant,Net,TOTAL,60-64 years,285,27,Provisional
2018-12,2019-05,Long-term migrant,Net,TOTAL,60-64 years,264,30,Provisional
2019-01,2019-05,Long-term migrant,Net,TOTAL,60-64 years,153,26,Provisional
2019-02,2019-05,Long-term migrant,Net,TOTAL,60-64 years,133,30,Provisional
2019-03,2019-05,Long-term migrant,Net,TOTAL,60-64 years,89,38,Provisional
2019-04,2019-05,Long-term migrant,Net,TOTAL,60-64 years,37,37,Provisional
2019-05,2019-05,Long-term migrant,Net,TOTAL,60-64 years,13,59,Provisional
2018-01,2019-05,Long-term migrant,Net,TOTAL,65-69 years,52,0,Final
2018-02,2019-05,Long-term migrant,Net,TOTAL,65-69 years,16,0,Provisional
2018-03,2019-05,Long-term migrant,Net,TOTAL,65-69 years,32,2,Provisional
2018-04,2019-05,Long-term migrant,Net,TOTAL,65-69 years,-19,5,Provisional
2018-05,2019-05,Long-term migrant,Net,TOTAL,65-69 years,-30,7,Provisional
2018-06,2019-05,Long-term migrant,Net,TOTAL,65-69 years,19,8,Provisional
2018-07,2019-05,Long-term migrant,Net,TOTAL,65-69 years,2,11,Provisional
2018-08,2019-05,Long-term migrant,Net,TOTAL,65-69 years,66,12,Provisional
2018-09,2019-05,Long-term migrant,Net,TOTAL,65-69 years,84,14,Provisional
2018-10,2019-05,Long-term migrant,Net,TOTAL,65-69 years,131,21,Provisional
2018-11,2019-05,Long-term migrant,Net,TOTAL,65-69 years,181,23,Provisional
2018-12,2019-05,Long-term migrant,Net,TOTAL,65-69 years,157,27,Provisional
2019-01,2019-05,Long-term migrant,Net,TOTAL,65-69 years,94,23,Provisional
2019-02,2019-05,Long-term migrant,Net,TOTAL,65-69 years,69,32,Provisional
2019-03,2019-05,Long-term migrant,Net,TOTAL,65-69 years,29,29,Provisional
2019-04,2019-05,Long-term migrant,Net,TOTAL,65-69 years,-8,39,Provisional
2019-05,2019-05,Long-term migrant,Net,TOTAL,65-69 years,-42,55,Provisional
2018-01,2019-05,Long-term migrant,Net,TOTAL,70-74 years,41,0,Final
2018-02,2019-05,Long-term migrant,Net,TOTAL,70-74 years,10,0,Provisional
2018-03,2019-05,Long-term migrant,Net,TOTAL,70-74 years,-26,2,Provisional
2018-04,2019-05,Long-term migrant,Net,TOTAL,70-74 years,-26,3,Provisional
2018-05,2019-05,Long-term migrant,Net,TOTAL,70-74 years,-16,5,Provisional
2018-06,2019-05,Long-term migrant,Net,TOTAL,70-74 years,3,5,Provisional
2018-07,2019-05,Long-term migrant,Net,TOTAL,70-74 years,-3,7,Provisional
2018-08,2019-05,Long-term migrant,Net,TOTAL,70-74 years,18,8,Provisional
2018-09,2019-05,Long-term migrant,Net,TOTAL,70-74 years,19,10,Provisional
2018-10,2019-05,Long-term migrant,Net,TOTAL,70-74 years,59,15,Provisional
2018-11,2019-05,Long-term migrant,Net,TOTAL,70-74 years,90,18,Provisional
2018-12,2019-05,Long-term migrant,Net,TOTAL,70-74 years,76,20,Provisional
2019-01,2019-05,Long-term migrant,Net,TOTAL,70-74 years,40,17,Provisional
2019-02,2019-05,Long-term migrant,Net,TOTAL,70-74 years,19,30,Provisional
2019-03,2019-05,Long-term migrant,Net,TOTAL,70-74 years,-8,23,Provisional
2019-04,2019-05,Long-term migrant,Net,TOTAL,70-74 years,-37,26,Provisional
2019-05,2019-05,Long-term migrant,Net,TOTAL,70-74 years,-54,37,Provisional
2018-01,2019-05,Long-term migrant,Net,TOTAL,75-79 years,12,0,Final
2018-02,2019-05,Long-term migrant,Net,TOTAL,75-79 years,-2,0,Provisional
2018-03,2019-05,Long-term migrant,Net,TOTAL,75-79 years,-13,1,Provisional
2018-04,2019-05,Long-term migrant,Net,TOTAL,75-79 years,-7,2,Provisional
2018-05,2019-05,Long-term migrant,Net,TOTAL,75-79 years,-19,2,Provisional
2018-06,2019-05,Long-term migrant,Net,TOTAL,75-79 years,-8,3,Provisional
2018-07,2019-05,Long-term migrant,Net,TOTAL,75-79 years,-6,4,Provisional
2018-08,2019-05,Long-term migrant,Net,TOTAL,75-79 years,4,5,Provisional
2018-09,2019-05,Long-term migrant,Net,TOTAL,75-79 years,24,6,Provisional
2018-10,2019-05,Long-term migrant,Net,TOTAL,75-79 years,13,8,Provisional
2018-11,2019-05,Long-term migrant,Net,TOTAL,75-79 years,24,10,Provisional
2018-12,2019-05,Long-term migrant,Net,TOTAL,75-79 years,32,11,Provisional
2019-01,2019-05,Long-term migrant,Net,TOTAL,75-79 years,21,10,Provisional
2019-02,2019-05,Long-term migrant,Net,TOTAL,75-79 years,3,14,Provisional
2019-03,2019-05,Long-term migrant,Net,TOTAL,75-79 years,-9,17,Provisional
2019-04,2019-05,Long-term migrant,Net,TOTAL,75-79 years,-19,13,Provisional
2019-05,2019-05,Long-term migrant,Net,TOTAL,75-79 years,-34,21,Provisional
2018-01,2019-05,Long-term migrant,Net,TOTAL,80-84 years,8,0,Final
2018-02,2019-05,Long-term migrant,Net,TOTAL,80-84 years,15,0,Provisional
2018-03,2019-05,Long-term migrant,Net,TOTAL,80-84 years,-9,0,Provisional
2018-04,2019-05,Long-term migrant,Net,TOTAL,80-84 years,-7,1,Provisional
2018-05,2019-05,Long-term migrant,Net,TOTAL,80-84 years,-13,2,Provisional
2018-06,2019-05,Long-term migrant,Net,TOTAL,80-84 years,-5,2,Provisional
2018-07,2019-05,Long-term migrant,Net,TOTAL,80-84 years,-7,3,Provisional
2018-08,2019-05,Long-term migrant,Net,TOTAL,80-84 years,-9,4,Provisional
2018-09,2019-05,Long-term migrant,Net,TOTAL,80-84 years,7,4,Provisional
2018-10,2019-05,Long-term migrant,Net,TOTAL,80-84 years,6,6,Provisional
2018-11,2019-05,Long-term migrant,Net,TOTAL,80-84 years,8,7,Provisional
2018-12,2019-05,Long-term migrant,Net,TOTAL,80-84 years,13,7,Provisional
2019-01,2019-05,Long-term migrant,Net,TOTAL,80-84 years,11,7,Provisional
2019-02,2019-05,Long-term migrant,Net,TOTAL,80-84 years,13,7,Provisional
2019-03,2019-05,Long-term migrant,Net,TOTAL,80-84 years,0,9,Provisional
2019-04,2019-05,Long-term migrant,Net,TOTAL,80-84 years,-10,9,Provisional
2019-05,2019-05,Long-term migrant,Net,TOTAL,80-84 years,-15,13,Provisional
2018-01,2019-05,Long-term migrant,Net,TOTAL,85-89 years,-2,0,Final
2018-02,2019-05,Long-term migrant,Net,TOTAL,85-89 years,8,0,Provisional
2018-03,2019-05,Long-term migrant,Net,TOTAL,85-89 years,-2,0,Provisional
2018-04,2019-05,Long-term migrant,Net,TOTAL,85-89 years,-3,0,Provisional
2018-05,2019-05,Long-term migrant,Net,TOTAL,85-89 years,-5,1,Provisional
2018-06,2019-05,Long-term migrant,Net,TOTAL,85-89 years,-11,1,Provisional
2018-07,2019-05,Long-term migrant,Net,TOTAL,85-89 years,-7,2,Provisional
2018-08,2019-05,Long-term migrant,Net,TOTAL,85-89 years,4,2,Provisional
2018-09,2019-05,Long-term migrant,Net,TOTAL,85-89 years,-3,3,Provisional
2018-10,2019-05,Long-term migrant,Net,TOTAL,85-89 years,-2,3,Provisional
2018-11,2019-05,Long-term migrant,Net,TOTAL,85-89 years,5,4,Provisional
2018-12,2019-05,Long-term migrant,Net,TOTAL,85-89 years,-4,4,Provisional
2019-01,2019-05,Long-term migrant,Net,TOTAL,85-89 years,9,4,Provisional
2019-02,2019-05,Long-term migrant,Net,TOTAL,85-89 years,-2,4,Provisional
2019-03,2019-05,Long-term migrant,Net,TOTAL,85-89 years,-1,4,Provisional
2019-04,2019-05,Long-term migrant,Net,TOTAL,85-89 years,-5,5,Provisional
2019-05,2019-05,Long-term migrant,Net,TOTAL,85-89 years,-7,7,Provisional
2018-01,2019-05,Long-term migrant,Arrivals,TOTAL,90+ years,2,0,Final
2018-02,2019-05,Long-term migrant,Arrivals,TOTAL,90+ years,0,0,Provisional
2018-03,2019-05,Long-term migrant,Arrivals,TOTAL,90+ years,5,0,Provisional
2018-04,2019-05,Long-term migrant,Arrivals,TOTAL,90+ years,4,0,Provisional
2018-05,2019-05,Long-term migrant,Arrivals,TOTAL,90+ years,2,0,Provisional
2018-06,2019-05,Long-term migrant,Arrivals,TOTAL,90+ years,2,0,Provisional
2018-07,2019-05,Long-term migrant,Arrivals,TOTAL,90+ years,1,0,Provisional
2018-08,2019-05,Long-term migrant,Arrivals,TOTAL,90+ years,2,1,Provisional
2018-09,2019-05,Long-term migrant,Arrivals,TOTAL,90+ years,2,1,Provisional
2018-10,2019-05,Long-term migrant,Arrivals,TOTAL,90+ years,3,1,Provisional
2018-11,2019-05,Long-term migrant,Arrivals,TOTAL,90+ years,5,1,Provisional
2018-12,2019-05,Long-term migrant,Arrivals,TOTAL,90+ years,8,2,Provisional
2019-01,2019-05,Long-term migrant,Arrivals,TOTAL,90+ years,5,2,Provisional
2019-02,2019-05,Long-term migrant,Arrivals,TOTAL,90+ years,1,1,Provisional
2019-03,2019-05,Long-term migrant,Arrivals,TOTAL,90+ years,2,1,Provisional
2019-04,2019-05,Long-term migrant,Arrivals,TOTAL,90+ years,3,2,Provisional
2019-05,2019-05,Long-term migrant,Arrivals,TOTAL,90+ years,2,1,Provisional
2018-01,2019-05,Long-term migrant,Departures,TOTAL,90+ years,3,0,Final
2018-02,2019-05,Long-term migrant,Departures,TOTAL,90+ years,2,0,Provisional
2018-03,2019-05,Long-term migrant,Departures,TOTAL,90+ years,3,0,Provisional
2018-04,2019-05,Long-term migrant,Departures,TOTAL,90+ years,3,0,Provisional
2018-05,2019-05,Long-term migrant,Departures,TOTAL,90+ years,5,0,Provisional
2018-06,2019-05,Long-term migrant,Departures,TOTAL,90+ years,3,0,Provisional
2018-07,2019-05,Long-term migrant,Departures,TOTAL,90+ years,2,0,Provisional
2018-08,2019-05,Long-term migrant,Departures,TOTAL,90+ years,4,1,Provisional
2018-09,2019-05,Long-term migrant,Departures,TOTAL,90+ years,4,1,Provisional
2018-10,2019-05,Long-term migrant,Departures,TOTAL,90+ years,2,1,Provisional
2018-11,2019-05,Long-term migrant,Departures,TOTAL,90+ years,3,1,Provisional
2018-12,2019-05,Long-term migrant,Departures,TOTAL,90+ years,2,1,Provisional
2019-01,2019-05,Long-term migrant,Departures,TOTAL,90+ years,5,2,Provisional
2019-02,2019-05,Long-term migrant,Departures,TOTAL,90+ years,3,1,Provisional
2019-03,2019-05,Long-term migrant,Departures,TOTAL,90+ years,4,2,Provisional
2019-04,2019-05,Long-term migrant,Departures,TOTAL,90+ years,3,2,Provisional
2019-05,2019-05,Long-term migrant,Departures,TOTAL,90+ years,5,3,Provisional
2018-01,2019-05,Long-term migrant,Net,TOTAL,90+ years,-1,0,Final
2018-02,2019-05,Long-term migrant,Net,TOTAL,90+ years,-2,0,Provisional
2018-03,2019-05,Long-term migrant,Net,TOTAL,90+ years,2,0,Provisional
2018-04,2019-05,Long-term migrant,Net,TOTAL,90+ years,1,0,Provisional
2018-05,2019-05,Long-term migrant,Net,TOTAL,90+ years,-3,0,Provisional
2018-06,2019-05,Long-term migrant,Net,TOTAL,90+ years,-1,0,Provisional
2018-07,2019-05,Long-term migrant,Net,TOTAL,90+ years,-1,0,Provisional
2018-08,2019-05,Long-term migrant,Net,TOTAL,90+ years,-2,1,Provisional
2018-09,2019-05,Long-term migrant,Net,TOTAL,90+ years,-2,1,Provisional
2018-10,2019-05,Long-term migrant,Net,TOTAL,90+ years,2,1,Provisional
2018-11,2019-05,Long-term migrant,Net,TOTAL,90+ years,2,1,Provisional
2018-12,2019-05,Long-term migrant,Net,TOTAL,90+ years,6,2,Provisional
2019-01,2019-05,Long-term migrant,Net,TOTAL,90+ years,0,2,Provisional
2019-02,2019-05,Long-term migrant,Net,TOTAL,90+ years,-2,2,Provisional
2019-03,2019-05,Long-term migrant,Net,TOTAL,90+ years,-3,2,Provisional
2019-04,2019-05,Long-term migrant,Net,TOTAL,90+ years,0,2,Provisional
2019-05,2019-05,Long-term migrant,Net,TOTAL,90+ years,-4,3,Provisional
2018-01,2019-05,Long-term migrant,Arrivals,Female,TOTAL,7052,0,Final
