Posting Date,Contract Number,Department,Description,Contract Amount,Recommended Vendor,MBE/WBE/DBE Participation,MBE/WBE/DBE type,Direct Participation,Indirect Participation
10/31/2019,1925-17774,1060.COUNTY TREASURER,State Legislative Lobbyist Services,54000.00,"Blaida and Associates, LLC",,0% Goal,,
10/31/2019,1912-17798,1210.OFFICE OF THE SHERIFF,Plastic Evidence Bags,103875.00,"Atlas and Associates, Inc.",0%,N/A,,
11/04/2019,1945-18021,1200.DEPT. OF FACILITIES/MGMT,Holiday Decorations Management,18000.00,"Four Season Pros, Inc.","No Goal Set - Contract < $25,000","No Goal Set - Contract < $25,000",,
11/05/2019,1945-17991,1200.DEPT. OF FACILITIES/MGMT,Sloan Plumbing Parts,103600.00,"Columbia Pipe and Supply, Inc.",% Goal,0% Goal,,
11/13/2019,1953-18004,1205.JUDICIAL ADVISORY COUNCIL,Evaluation Services,75000.00,DePaul University,,0% Goal,,
11/14/2019,1999-17920,Transportation and Highways,Ridgeland Avenue - Bus Route 384 - Bus Pads,141216.00,"Sumit Construction Co., Inc.","Sumit Construction Co., Inc.",MBE-8,77.33,
11/14/2019,1999-17920,Transportation and Highways,Ridgeland Avenue - Bus Route 384 - Bus Pads,,"Sumit Construction Co., Inc.","Medina Transport, Inc.",WBE-7,5.32,
01/03/2020,1950-17889,1008.RISK MANAGEMENT,Actuarial Services,94000.00,Aon,,0% Goal,,
02/18/2020,1945-18009,1200.DEPT. OF FACILITIES/MGMT,Salt Pellets,65518.00,The Standard Companies,0% Goal,,,
02/18/2020,2053-18174,Recorder of Deeds,Consulting Services-Information Technology and Process Improvement,100000.00,Alexander Kantas,,,,
02/24/2020,1925-17952,Treasurer,Communications Consultant,140000.00,"Bob Benjamin Consulting, Ltd.",17.5% M/WBE,Full Waiver Granted,,
03/09/2020,1925-18044,1569.COOK COUNTY JUVENILE TEMPORARY DETENTION CENTER,Kitchen Supplies,122294.35,"Black Dog Foods, LLC",,0% Goal,,
03/10/2020,1925-17909,1440.JUVENILE TEMPORARY DETENT.CNTR,Refrigeration Equipment Preventive Maintenance and Repair,99650.00,"A.M.C. Mechanical, Inc.",,,,
04/03/2020,1890-17440,Treasurer,Graphic Design Services,93600.00,"Clarity Partners, LLC",,,,
04/03/2020,1925-17999,Treasurer,Ice Data Pricing and Reference Data,17929.92,"Interactive Data Pricing and Reference Data, LLC",,,,
04/30/2020,2012-18207,Human Resources,Labor and Employment Consultation Services-Union Contract Negotiations,140000.00,"Laner Muchin, LTD",,0% Goal,,
05/05/2020,2053-18202,Juvenile Temporary Detention Center,Industrial Washer and Dryer,31970.00,"Washburn Machinery, Inc.",,,,
05/06/2020,1923-17833,1161.DEPT OF ENVIROMENTAL CTRL,Gas Dilution Systems and Photometers,67680.00,American Ecotech LC,0% Goal,,,
05/06/2020,1923-17834,1161.DEPT OF ENVIROMENTAL CTRL,Ozone Analyzers,18033.00,American Ecotech LC,0% Goal,,,
05/07/2020,1903-18080,Juvenile Temporary Detention Center,Disposable Kitchen Supplies,102894.90,"Valdes, LLC",,"12.5% MBE
5% WBE",100,
