Application Type,Application Number,Process Date,Issued Date,Final Date,Expire Date,Street number,Street Pre direction,Street name,Street Post direction,Street suffix,City,State   ,Zip Code,Proposed Construction,Section 59,Existing Structure,New SFD,Non Complying,Non Conforming,Proposed Structure,Room Add,Accessory structure,Fence - Retaining wall,Porch,Swim Pool,Garage - Carport,Shed,Deck,Other,Zoning Type,Location,Comments,Location1
DEVELOPMENT STANDARDS VARIANCE,201312,11/03/1999,11/03/1999,,,7605,,GLENBROOK,,RD,BETHESDA,MD,20814,1 ST.ADD. IN SIDE YARD REQ.VARIANCE OF 59-C-1.326(A)(1),C-1.326(a)(3),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-90,,,"7605 GLENBROOK RD
BETHESDA, MD 20814
(38.986648, -77.107221)"
DEVELOPMENT STANDARDS VARIANCE,204385,04/19/2000,09/17/2001,,,12065,,CLARIDGE,,RD,SILVER SPRING,MD,20902,"OF A SHED IS WITHIN 6"" OF THE SIDE LOT LINE.",C-1.326(a)(2)(C),Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,R-40,,,"12065 CLARIDGE RD
SILVER SPRING, MD 20902
(39.053878, -77.063809)"
DEVELOPMENT STANDARDS VARIANCE,236284,05/03/2005,05/03/2005,,,606,,ROSEMERE,,AVE,SILVER SPRING,MD,20904,OF A DECK REQ A VAR FROM THE REQ & EXEMPT REAR YARD.,C-1.323(b)(2),N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,R-90,,variance reuest to reduce minimum and exempted setbacks for proposed deck from 20' minimum and 11' exemption to 6',"606 ROSEMERE AVE
SILVER SPRING, MD 20904
(39.065425, -76.998132)"
DEVELOPMENT STANDARDS VARIANCE,299123,08/12/2013,08/12/2013,08/12/2013,,2020,,EAST WEST,,HWY,SILVER SPRING,MD,20910,of a comcast utility building.,,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,R-60,,,"2020 EAST WEST HWY
SILVER SPRING, MD 20910
(38.994733, -77.044617)"
DEVELOPMENT STANDARDS VARIANCE,203377,02/25/2000,02/25/2000,,,6128,,LUX,,LN,ROCKVILLE,MD,20852,IS FOR A ONE-STORY GARAGE ADDITION BEYOND THE EBL.,C-1.323(a),N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,R-200,,,"6128 LUX LN
ROCKVILLE, MD 20852
(39.034347, -77.128428)"
DEVELOPMENT STANDARDS VARIANCE,220439,02/06/2003,02/06/2003,,,3712,,EMILY,,ST,KENSINGTON,MD,20895,OF A GARAGE REQ A VAR FROM THE 5' SIDE YARD SETBACK.,C-1.326(a)(2)(C),N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,R-60,,BLDG PERMIT#297693,"3712 EMILY ST
KENSINGTON, MD 20895
(39.039772, -77.07406)"
DEVELOPMENT STANDARDS VARIANCE,212872,07/19/2001,07/19/2001,,,5110,,NEWPORT,,AVE,BETHESDA,MD,20816,OF A 2 STORY ROOM ADDITION REQUIRES A VARIANCE.,C-1.323(b)(2),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,,"5110 NEWPORT AVE
BETHESDA, MD 20816
(38.957189, -77.097964)"
DEVELOPMENT STANDARDS VARIANCE,266273,07/12/2010,07/12/2010,,,7,W,KIRKE,,ST,CHEVY CHASE,MD,20815,OF SWIMPL REQ VAR FROM 25' TO 6' ALONG LAUREL PKWY.,C-1.326(b)(2),N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,R-60,,building permit denial to reduce streetline setback from 25' to 6' for proposed swimming pool,"W 7 KIRKE ST
CHEVY CHASE, MD 20815"
DEVELOPMENT STANDARDS VARIANCE,209726,01/05/2001,01/18/2001,,,4103,,LELAND,,ST,CHEVY CHASE,MD,20815,IS A 50FT. BY 12FT. POOL,c-1.326(a)(4),N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,R-60,,BLDG PERMIT#237848,"4103 LELAND ST
CHEVY CHASE, MD 20815
(38.985728, -77.080165)"
DEVELOPMENT STANDARDS VARIANCE,205263,06/02/2000,06/02/2000,,,13405,,KEATING,,ST,ROCKVILLE,MD,20853,OF A 26' GARAGE IN THE REAR YARD WITHIN 2' OF SIDE LINE,C-1.326(a)(2)(C)(4),N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,R-60,,,"13405 KEATING ST
ROCKVILLE, MD 20853
(39.076515, -77.089502)"
DEVELOPMENT STANDARDS VARIANCE,229072,04/22/2004,04/22/2004,,,7610,,CARTER,,CT,BETHESDA,MD,20817,OF A ROOM ADDN AT CARTER CT REQ A VAR FROM 53.45' EBL,C-1.323(a),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-200,,buidling permit denial to reduce front yard setback from an established building line of 53.45' to 35.5' thus a variance of 17.95'-bldg permit #330840,"7610 CARTER CT
BETHESDA, MD 20817
(39.021689, -77.156047)"
DEVELOPMENT STANDARDS VARIANCE,262930,09/04/2009,09/04/2009,09/04/2009,,7610,,MAPLE,,AVE,SILVER SPRING,MD,20910,IS A RET. WALL HIGHER THAN 6.5' IN THE REAR YARD,-C-2.413(a),N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,R-10,,,"7610 MAPLE AVE
SILVER SPRING, MD 20910
(38.983441, -77.00651)"
DEVELOPMENT STANDARDS VARIANCE,262059,06/17/2009,,,,19801,,BRAMBLE BUSH,,DR,GAITHERSBURG,MD,20879,EXISTING SHED VIOLATES 59-C-1.326 REAR YARD REQUIREMENT,,Y,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,R-200,,,"19801 BRAMBLE BUSH DR
GAITHERSBURG, MD 20879
(39.180903, -77.188397)"
DEVELOPMENT STANDARDS VARIANCE,208636,10/20/2000,09/26/2002,,,10012,,RENFREW,,RD,SILVER SPRING,MD,20901,,C-1.326(a)(2)(C),Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,R-60,,,"10012 RENFREW RD
SILVER SPRING, MD 20901
(39.0197, -77.02401)"
DEVELOPMENT STANDARDS VARIANCE,214865,12/11/2001,12/11/2001,12/13/2001,,4518,,CHELTENHAM,,DR,BETHESDA,MD,20814,GARAGE REQUIRES A VARIANCE.,C-1.323(a),N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,R-60,,bldg permit#264390,"4518 CHELTENHAM DR
BETHESDA, MD 20814
(38.988668, -77.090747)"
DEVELOPMENT STANDARDS VARIANCE,208899,11/06/2000,11/06/2000,,,12232,,VEIRS MILL,,RD,SILVER SPRING,MD,20906,OF CARPORT REQUIRES 4' VARIANCE FROM 7' SETBACK.,C-1.323(b)(1),N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,R-60,,,"12232 VEIRS MILL RD
SILVER SPRING, MD 20906
(39.057635, -77.085501)"
DEVELOPMENT STANDARDS VARIANCE,358023,05/19/2017,,,,613,,RAY,,DR,SILVER SPRING,MD,20910,of screened porch req 6' var from 20' rear setback,4.4.9.B.2,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,R-60,,building permit denial to reduce setback of proposed screened porch from 20' to 15.31',"613 RAY DR
SILVER SPRING, MD 20910
(38.986281, -77.015534)"
DEVELOPMENT STANDARDS VARIANCE,223434,08/04/2003,08/04/2003,,,2911,,BARKER,,ST,SILVER SPRING,MD,20910,OF A SHED REQUIRES A VAR FROM THE 5' SIDE YARD SETBACK,C-1.326(a)(2)(C),N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,R-60,,BLDG PERMIT#314382,"2911 BARKER ST
SILVER SPRING, MD 20910
(39.021172, -77.059549)"
DEVELOPMENT STANDARDS VARIANCE,203991,03/30/2000,03/30/2000,,,3518,,NIMITZ,,RD,KENSINGTON,MD,20895,IS FOR A COVERED FRONT PORCH.,C-1.323(a),N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,R-60,,,"3518 NIMITZ RD
KENSINGTON, MD 20895
(39.035942, -77.071579)"
DEVELOPMENT STANDARDS VARIANCE,271558,10/04/2011,10/07/2011,,,10101,,BALDWIN,,CT,BETHESDA,MD,20817,8' FENCE REQ VAR TO BE  IN FRONT YARD(DEMOCRACY BLVD),C-1.326(a)(3)(A),N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,R-60,,building permit denial reduce setback for 8' from 60' to 13' and permit fence within front yard,"10101 BALDWIN CT
BETHESDA, MD 20817
(39.023635, -77.12665)"
DEVELOPMENT STANDARDS VARIANCE,205135,05/24/2000,05/24/2000,,,8501,,MEADOWLARK,,LN,BETHESDA,MD,20817,OF A 1-STORY ADDITION EXCEEDS THE ESTABLISHED BLDG LINE,C-1.323(a),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-90,,,"8501 MEADOWLARK LN
BETHESDA, MD 20817
(38.994018, -77.138178)"
DEVELOPMENT STANDARDS VARIANCE,237910,07/05/2005,07/05/2005,,,11712,,GOODLOE,,RD,SILVER SPRING,MD,20906,OF AN EXISTING SFD REQ A VAR FROM 20' REAR YD SETBACK.,C-1.323(b)(2),Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,R-60,,building permit denial to reduce setback from rear yard from 20' to 18.4 for existing dwelling,"11712 GOODLOE RD
SILVER SPRING, MD 20906
(39.048161, -77.087575)"
DEVELOPMENT STANDARDS VARIANCE,200698,09/30/1999,09/30/1999,,,7218,,GARLAND,,AVE,TAKOMA PARK,MD,20912,,C-1.323(b)(1),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,revision of previous variance,"7218 GARLAND AVE
TAKOMA PARK, MD 20912
(38.984167, -76.993369)"
DEVELOPMENT STANDARDS VARIANCE,212561,06/28/2001,06/28/2001,,,14932,,JOSHUA TREE,,RD,GAITHERSBURG,MD,20878,OF A CARPORT REQUIRES A VARIANCE,C-1.535,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,R-200,,,"14932 JOSHUA TREE RD
GAITHERSBURG, MD 20878
(39.102515, -77.231639)"
DEVELOPMENT STANDARDS VARIANCE,205519,06/19/2000,11/15/2000,,,26613,,RIDGE,,RD,DAMASCUS,MD,20872,VIOLATES SEC.59-C-1.326(A)(1)NOT ENTIRELY IN REAR YARD.,C-1.326(a)(2)(C),Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,R-200,,,"26613 RIDGE RD
DAMASCUS, MD 20872
(39.29315, -77.204781)"
DEVELOPMENT STANDARDS VARIANCE,217225,05/29/2002,05/29/2002,,,14512,,DOWLING,,DR,BURTONSVILLE,MD,20866,ROOM ADDN REQ A VAR FROM EST BLDG LINE ALONG DOWLING DR,C-1.323(a),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-200,,BLDG PERMIT#278229,"14512 DOWLING DR
BURTONSVILLE, MD 20866
(39.093766, -76.942616)"
DEVELOPMENT STANDARDS VARIANCE,213538,08/31/2001,08/31/2001,,,20,,APPLE GROVE,,RD,SILVER SPRING,MD,20904,OF AN ATTACHED GARAGE REQUIRES A VARIANCE.,C-1.323(b)(1),N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,RE-1,,BLDG PERMIT#257587,"20 APPLE GROVE RD
SILVER SPRING, MD 20904
(39.048357, -77.007297)"
DEVELOPMENT STANDARDS VARIANCE,225628,12/01/2003,,,,5615,,ROOSEVELT,,ST,BETHESDA,MD,20817,IS AN ADDITION,C-1.323(a),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,BLDG PERMIT#320813,"5615 ROOSEVELT ST
BETHESDA, MD 20817
(38.994773, -77.11565)"
DEVELOPMENT STANDARDS VARIANCE,203724,03/17/2000,03/17/2000,,,12720,,HUNTSMAN,,WAY,POTOMAC,MD,20854,IS FOR AN ADDITION ON THE REAR OF A CORNER LOT.,C-1.433(b),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-150,,,"12720 HUNTSMAN WAY
POTOMAC, MD 20854
(39.064957, -77.188365)"
DEVELOPMENT STANDARDS VARIANCE,205754,06/29/2000,06/29/2000,,,8609,,GREENWOOD,,AVE,TAKOMA PARK,MD,20912,REQUIRED SETBACK IS 16' AS PER 59-B-3.1 & 59C-1.323A.,,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,R-60,,,"8609 GREENWOOD AVE
TAKOMA PARK, MD 20912
(38.99742, -77.002118)"
DEVELOPMENT STANDARDS VARIANCE,218610,08/30/2002,08/30/2002,,,12260,,WILKINS,,AVE,ROCKVILLE,MD,20852,IS AN ADDITION TO A COMMERCIAL BUILDING,C-5.35(c)(1),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,I-4,,,"12260 WILKINS AVE
ROCKVILLE, MD 20852
(39.055683, -77.110655)"
DEVELOPMENT STANDARDS VARIANCE,202349,12/17/1999,12/17/1999,,,8604,,MARYLAND,,AVE,BETHESDA,MD,20814,IS FOR A ONE-STORY ADD. IN THE REAR YARD,c-1.323(b)(2),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,,"8604 MARYLAND AVE
BETHESDA, MD 20814
(38.996362, -77.093041)"
DEVELOPMENT STANDARDS VARIANCE,242494,01/11/2006,01/11/2006,,,7201,,13TH,,PL,TAKOMA PARK,MD,20912,OF A 2 STY ROOM ADDN REQ A VAR FROM 7' SIDE YD SETBACK,C-1.323(b)(1),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,building permit denial to reduce side yard setback from 7' to 6.09',"7201 13TH PL
TAKOMA PARK, MD 20912
(38.980177, -76.987637)"
DEVELOPMENT STANDARDS VARIANCE,220148,01/15/2003,01/15/2003,,,2608,,WOODEDGE,,RD,SILVER SPRING,MD,20906,OF A GARAGE REQ A VAR FROM THE 37.03' EST BLDG LINE.,C-1.323(a),N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,R-90,,BLDG PERMIT#296097,"2608 WOODEDGE RD
SILVER SPRING, MD 20906
(39.072589, -77.05508)"
DEVELOPMENT STANDARDS VARIANCE,215137,01/08/2002,01/08/2002,,,5125,,WISSIOMING,,RD,BETHESDA,MD,20816,COVERED PORCH REQUIRES A VARIANCE.,,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,R-90,,,"5125 WISSIOMING RD
BETHESDA, MD 20816
(38.95793, -77.127632)"
DEVELOPMENT STANDARDS VARIANCE,345133,09/08/2015,,,,111,,VALLEY,,RD,BETHESDA,MD,20816,Addition of Rear Dormer over existing structure,4.4.9.B,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,,"111 VALLEY RD
BETHESDA, MD 20816
(38.945497, -77.122883)"
DEVELOPMENT STANDARDS VARIANCE,231956,10/06/2004,10/06/2004,,,7902,,TAKOMA,,AVE,TAKOMA PARK,MD,20912,OF A 2ND FL ROOM ADDITION OVER EXISTING HOUSE.,B-5.3,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,variance request to reduce second floor room addition from 7' to 5.2',"7902 TAKOMA AVE
TAKOMA PARK, MD 20912
(38.986286, -77.018269)"
DEVELOPMENT STANDARDS VARIANCE,212347,06/15/2001,06/15/2001,,,7507,,ALFRED,,DR,TAKOMA PARK,MD,20912,IS A SIDE DECK WITH SPA.,c-1.323(b)(1),N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,R-60,,,"7507 ALFRED DR
TAKOMA PARK, MD 20912
(38.98573, -77.016467)"
DEVELOPMENT STANDARDS VARIANCE,299204,08/14/2013,,,,7025,,MACARTHUR,,BLVD,BETHESDA,MD,20816,is a detached garage,C-1.326(a) 3 (A),N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,R-90,,,"7025 MACARTHUR BLVD
BETHESDA, MD 20816
(38.958461, -77.130784)"
DEVELOPMENT STANDARDS VARIANCE,218907,09/23/2002,09/23/2002,,,5606,,POLLARD,,RD,BETHESDA,MD,20816,OF A GARAGE EXTENSION REQ A VAR OVER 24' IN LENGTH.,C-1.326(a)(2)(C)(4),N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,R-60,,BLDG PERMIT#288291,"5606 POLLARD RD
BETHESDA, MD 20816
(38.968956, -77.114054)"
DEVELOPMENT STANDARDS VARIANCE,204059,03/31/2000,03/31/2000,,,802,,GIST,,AVE,SILVER SPRING,MD,20910,1-STORY ADD.ON THE SIDE ST.W/NO LOT FRONTING ON THE ST.,C-1.323(a),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,,"802 GIST AVE
SILVER SPRING, MD 20910
(38.989392, -77.019794)"
DEVELOPMENT STANDARDS VARIANCE,221976,05/30/2003,05/30/2003,,,19,,WESSEX,,RD,SILVER SPRING,MD,20910,OF EXISTING DWELLING REQ A VAR FROM 20' REAR YARD.,C-1.323(b)(2),Y,N,N,N,N,N,N,N,N,N,N,N,N,N,R-60,,,"19 WESSEX RD
SILVER SPRING, MD 20910
(38.992922, -77.008249)"
DEVELOPMENT STANDARDS VARIANCE,208863,11/02/2000,11/02/2000,11/02/2000,,7880,,BEECHCRAFT,,AVE,GAITHERSBURG,MD,20879,OF A WAREHOUSE REQUIRES A 10' VARIANCE FROM THE SIDE.,C-5.35(b),N,N,N,N,Y,N,N,N,N,N,N,N,N,N,I-4,,,"7880 BEECHCRAFT AVE
GAITHERSBURG, MD 20879
(39.163229, -77.161879)"
DEVELOPMENT STANDARDS VARIANCE,272306,12/15/2011,,,,8613,,GRANT,,ST,BETHESDA,MD,20817,PARKING EXTENDS UP TO 20' BEYOND PARKING SETBACK,E-2.83(b),N,N,N,N,Y,N,N,N,N,N,N,N,N,N,R-60,,,"8613 GRANT ST
BETHESDA, MD 20817
(38.997344, -77.111969)"
DEVELOPMENT STANDARDS VARIANCE,216447,04/08/2002,04/08/2002,,,7610,,TARPLEY,,DR,ROCKVILLE,MD,20855,SUNROOM REQUIRES A VARIANCE TO THE REAR YARD SETBACK.,C-1.323(b)(2),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-90,,BLDG PERMIT#274022,"7610 TARPLEY DR
ROCKVILLE, MD 20855
(39.141713, -77.156295)"
DEVELOPMENT STANDARDS VARIANCE,208512,10/09/2000,10/09/2000,10/25/2000,,4000,,THORNAPPLE,,ST,CHEVY CHASE,MD,20815,,C-1.326(a)(2)(C),N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,R-60,,,"4000 THORNAPPLE ST
CHEVY CHASE, MD 20815
(38.982214, -77.079434)"
DEVELOPMENT STANDARDS VARIANCE,213461,08/24/2001,08/24/2001,,,2626,,SPENCER,,RD,CHEVY CHASE,MD,20815,OF A ROOM ADDITION REQUIRES A VARIANCE.,C-1.323(b)(2),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,BLDG PERMIT#257079,"2626 SPENCER RD
CHEVY CHASE, MD 20815
(38.993344, -77.055745)"
DEVELOPMENT STANDARDS VARIANCE,229272,05/07/2004,,,,7734,,OLD CHESTER,,RD,BETHESDA,MD,20817,OF A NEW SFD REQUIRES A VARIANCE FROM THE EBL OF 80'.,C-1.323(a),N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,R-90,,,"7734 OLD CHESTER RD
BETHESDA, MD 20817
(38.988793, -77.119786)"
DEVELOPMENT STANDARDS VARIANCE,352344,05/02/2016,,,,4513,,MUNCASTER MILL,,RD,ROCKVILLE,MD,20853,of detached garage req var from rear setback,4.4.6.B.2,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,RE-1,,,"4513 MUNCASTER MILL RD
ROCKVILLE, MD 20853
(39.113196, -77.090977)"
DEVELOPMENT STANDARDS VARIANCE,217327,06/05/2002,06/05/2002,,,14512,,DOWLING,,DR,BURTONSVILLE,MD,20866,EXISTING DWELLING REQ A VAR FROM EBL HOLLYHOCK WAY.,C-1.323(a),Y,N,N,N,N,N,N,N,N,N,N,N,N,N,R-200,,,"14512 DOWLING DR
BURTONSVILLE, MD 20866
(39.093766, -76.942616)"
DEVELOPMENT STANDARDS VARIANCE,243188,02/08/2006,02/13/2006,,,2211,,OSBORN,,DR,SILVER SPRING,MD,20910,OF A 3 STY SFD REQ A VAR FROM SEC 59-C-1.327(B),C-1.327(a),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,building permit denial to permit room addition to exceed 2 and 1/2 story limit for site,"2211 OSBORN DR
SILVER SPRING, MD 20910
(39.01173, -77.047407)"
DEVELOPMENT STANDARDS VARIANCE,217526,06/19/2002,06/19/2002,,,8305,,WOODHAVEN,,BLVD,BETHESDA,MD,20817,OF A GARAGE REQ A VAR TO REMAIN IN THE SIDE YARD,C-1.326(a)(1),N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,R-90,,,"8305 WOODHAVEN BLVD
BETHESDA, MD 20817
(38.99292, -77.131652)"
DEVELOPMENT STANDARDS VARIANCE,251894,02/13/2007,02/13/2007,,,8502,,LYNWOOD,,PL,CHEVY CHASE,MD,20815,OF A SHED REQ A VAR FROM THE 5' SIDE YARD SETBACK.,C-1.326(a)(2)(C),N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,R-90,,building permit denial to reduce side yard setback from 5' to 3',"8502 LYNWOOD PL
CHEVY CHASE, MD 20815
(38.995248, -77.079033)"
DEVELOPMENT STANDARDS VARIANCE,267355,10/22/2010,10/22/2010,,,6000,,HARVARD,,AVE,GLEN ECHO,MD,20812,EXISTING SINGLE FAMILY DWELLING REQ A VAR FROM 7' SIDE,C-1.323(b)(1),Y,N,N,N,N,N,N,N,N,N,N,N,N,N,R-60,,building permit denial to reduce side yard setback of existing single family dwelling,"6000 HARVARD AVE
GLEN ECHO, MD 20812
(38.968946, -77.142925)"
DEVELOPMENT STANDARDS VARIANCE,206972,12/07/1999,12/07/1999,,,634,,SLIGO,,AVE,SILVER SPRING,MD,20910,OF A 2ND STORY ADDITION ON AN EXISTING NON-CONFORMING,c-1.323.a,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,R-60,,,"634 SLIGO AVE
SILVER SPRING, MD 20910
(38.990876, -77.01597)"
DEVELOPMENT STANDARDS VARIANCE,245258,04/20/2006,04/20/2006,,,8508,,FARRELL,,DR,CHEVY CHASE,MD,20815,OF A GARAGE REQ A VAR FROM THE 25' FRONT YARD SETBACK,C-1.323(a),N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,R-60,,building permit denial to reduce front yard setback from 25' to 17.2',"8508 FARRELL DR
CHEVY CHASE, MD 20815
(38.995345, -77.058099)"
DEVELOPMENT STANDARDS VARIANCE,221542,05/09/2003,05/09/2003,,,6811,,FLORIDA,,ST,CHEVY CHASE,MD,20815,ROOM ADDITION REQUIRES A VAR FROM THE 20' REAR SETBACK,C-1.323(b)(2),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,BLDG PERMIT#305435,"6811 FLORIDA ST
CHEVY CHASE, MD 20815
(38.978949, -77.074124)"
DEVELOPMENT STANDARDS VARIANCE,238622,08/01/2005,08/01/2005,,,11231,,RIVER VIEW,,DR,POTOMAC,MD,20854,OF A 8'-10' FENCE REQ A VAR  IN THE FRONT YARD.,C-1.326(a),N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,RE-2C,,building permit denial to allow a 8' to 10' tall fence to be located in the front yard,"11231 RIVER VIEW DR
POTOMAC, MD 20854
(39.024837, -77.235653)"
DEVELOPMENT STANDARDS VARIANCE,203605,03/10/2000,03/10/2000,,,7615,,PERSIMMON TREE,,LN,BETHESDA,MD,20817,THE PROPOSES ADD. EXTENDS BEYOND THE ESTAB.FRONT BUILD,C-1.323(a),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-200,,,"7615 PERSIMMON TREE LN
BETHESDA, MD 20817
(38.985219, -77.173135)"
DEVELOPMENT STANDARDS VARIANCE,350513,12/04/2015,,,,18535,,MEADOWLAND,,TER,OLNEY,MD,20832,is a noncomplying shed,4.4.7-B-2,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,R200/T,,,"18535 MEADOWLAND TER
OLNEY, MD 20832
(39.160352, -77.05469)"
DEVELOPMENT STANDARDS VARIANCE,230502,07/20/2004,,,,9100,,ROSEMONT,,DR,GAITHERSBURG,MD,20877,OF AN 8X8 GARDEN SHED REQUIRES A VARIANCE.,C-1.326(B),N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,R-200,,,"9100 ROSEMONT DR
GAITHERSBURG, MD 20877
(39.127274, -77.187256)"
DEVELOPMENT STANDARDS VARIANCE,261825,05/27/2009,05/27/2009,,,3804,,WASHINGTON,,ST,KENSINGTON,MD,20895,OF A ROOM ADDN REQ A VAR TO REDUCE SIDE YD TO 4.6'.,C-1.323(b),N,N,N,N,N,Y,N,N,N,N,N,N,N,N,R-60,,building permit denial to reduce side yard setback from 7' to 4.6',"3804 WASHINGTON ST
KENSINGTON, MD 20895
(39.022258, -77.074737)"
DEVELOPMENT STANDARDS VARIANCE,233750,01/14/2005,01/14/2005,,,10703,,HAYES,,AVE,SILVER SPRING,MD,20902,OF A DECK REQ A 2' VAR FROM 4' EXEMPTED SIDE SETBACK.,III C.3.(1952 ord.),N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,R-60,,permit denial to reduce exempted section of deck from 4' to 2' in accordance 1952 ordinance and Section 59-B-3.1 which requires a 7' side yard setback,"10703 HAYES AVE
SILVER SPRING, MD 20902
(39.031189, -77.036555)"
DEVELOPMENT STANDARDS VARIANCE,204906,05/15/2000,05/15/2000,,,17125,,BLACK ROCK,,RD,GERMANTOWN,MD,20874,REQUIRES A VARIANCE AS IT EXCEEDS THE SIDE YARD SETBACK,C-1.326(a)(2)(C),Y,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,RDT,,,"17125 BLACK ROCK RD
GERMANTOWN, MD 20874
(39.136981, -77.306314)"
DEVELOPMENT STANDARDS VARIANCE,364518,08/03/2018,,,,9504,,SEMINOLE,,ST,SILVER SPRING,MD,20901,is a second story addition above the exisitng house.,4.4.9- B 2,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,,"9504 SEMINOLE ST
SILVER SPRING, MD 20901
(39.011366, -77.005707)"
DEVELOPMENT STANDARDS VARIANCE,220349,01/30/2003,01/30/2003,,,9518,,EVERGREEN,,ST,SILVER SPRING,MD,20901,OF A ROOM ADDN REQ A VAR FROM THE 25' FRONT LOT LINE.,C-1.323(a),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,BLDG PERMIT#297224,"9518 EVERGREEN ST
SILVER SPRING, MD 20901
(39.012149, -77.007324)"
DEVELOPMENT STANDARDS VARIANCE,223566,08/08/2003,08/08/2003,,,7500,,HANCOCK,,AVE,TAKOMA PARK,MD,20912,EXISTING DWELLING REQ A VAR FROM THE 25' SETBACK.,C-1.323(a),Y,N,N,N,N,N,N,N,N,N,N,N,N,N,R-60,,,"7500 HANCOCK AVE
TAKOMA PARK, MD 20912
(38.981212, -77.005677)"
DEVELOPMENT STANDARDS VARIANCE,252456,04/10/2007,04/10/2007,04/19/2007,,420,,BOYD,,AVE,TAKOMA PARK,MD,20912,OF A GAR REQ A VAR TO BE LESS THAN 5' FROM THE SIDE YD,C-1.326(a)(2)(C),N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,R-60,,building permit denial to reduce side yard setback of detached garage from 5' to 0',"420 BOYD AVE
TAKOMA PARK, MD 20912
(38.97806, -76.998486)"
DEVELOPMENT STANDARDS VARIANCE,222770,06/27/2003,06/27/2003,,,8000,,PINEY BRANCH,,RD,SILVER SPRING,MD,20910,OF A PORCH REQ A VAR FROM THE PINEY BRANCH ROAD SIDE.,C-1.323(a),N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,R-60,,BLDG PERMIT#310663,"8000 PINEY BRANCH RD
SILVER SPRING, MD 20910
(38.989231, -77.011484)"
