REPORT_DATE,AGE_GROUP,ENGAGEMENT_CATEGORY,CITYWIDE_COUNT
07/03/2019,21-24 Years,CHILD UNDER 3 MONTHS,39
07/03/2019,21-24 Years,CONCILIATION/CONFERENCE,306
07/03/2019,21-24 Years,DASIS CASES,465
07/03/2019,21-24 Years,EDUCATION/TRAINING,273
07/03/2019,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,34
07/03/2019,21-24 Years,EMPLOYMENT- GRANT DIVERSION,203
07/03/2019,21-24 Years,EMPLOYMENT-BUDGETED,829
07/03/2019,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,134
07/03/2019,21-24 Years,FAIR HEARING (CONTESTING),15
07/03/2019,21-24 Years,FAIR HEARING (NOT CONTESTING),27
07/03/2019,21-24 Years,FTR/FTC,12
07/03/2019,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,1
07/03/2019,21-24 Years,NEEDED AT HOME,96
07/03/2019,21-24 Years,NOI ISSUED,310
07/03/2019,21-24 Years,OTHER WORK ACTIVITY,116
07/03/2019,21-24 Years,PENDING WECARE SCHEDULING/OUT,674
07/03/2019,21-24 Years,RECEIVING SSI,37
07/03/2019,21-24 Years,SANCTION IN EFFECT,457
07/03/2019,21-24 Years,SSI PENDING/APPEALING,47
07/03/2019,21-24 Years,SUBSTANCE ABUSE & JOB SEARCH,20
07/03/2019,21-24 Years,SUBSTANCE ABUSE CONCURRENT,1
07/03/2019,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,119
07/03/2019,21-24 Years,SUBSTANCE ABUSE TREATMENT,47
07/03/2019,21-24 Years,TEMP. INCAPACITATED - HEALTH,102
07/03/2019,21-24 Years,TEMPORARILY EXEMPT,190
07/03/2019,21-24 Years,UNDERCARE AWAITING SCHEDULING,12
07/03/2019,21-24 Years,UNENGAGED,15
07/03/2019,21-24 Years,WAGE SUBSIDY,1
07/03/2019,21-24 Years,WECARE & SUBSTANCE ABUSE,2
07/03/2019,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,234
07/03/2019,21-24 Years,WECARE VOCATIONAL REHABILITAT,87
07/03/2019,21-24 Years,WECARE/CONCURRENT ACTIVITY,2
07/03/2019,21-24 Years,WELLNESS/REHAB PROGRAM,170
08/05/2019,16-17 Years,ACTIVE SINGLE ISSUE CASES,2
08/05/2019,16-17 Years,ASSIGNED JOB SEARCH,1
08/05/2019,16-17 Years,DASIS CASES,3
08/05/2019,16-17 Years,EMPLOYMENT-BUDGETED,14
08/05/2019,16-17 Years,STUDENT OVER AGE 15,47
08/05/2019,18-20 Years,ACTIVE SINGLE ISSUE CASES,65
08/05/2019,18-20 Years,ASSIGNED JOB SEARCH,245
08/05/2019,18-20 Years,AWAITING CONCILIATION SCHED.,3
08/05/2019,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,337
08/05/2019,18-20 Years,CHILD UNDER 3 MONTHS,9
08/05/2019,18-20 Years,CONCILIATION/CONFERENCE,129
08/05/2019,18-20 Years,DASIS CASES,58
08/05/2019,18-20 Years,EDUCATION/TRAINING,220
08/05/2019,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,27
08/05/2019,18-20 Years,EMPLOYMENT- GRANT DIVERSION,31
08/05/2019,18-20 Years,EMPLOYMENT-BUDGETED,143
08/05/2019,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,48
08/05/2019,18-20 Years,FAIR HEARING (NOT CONTESTING),5
08/05/2019,18-20 Years,FTR/FTC,4
08/05/2019,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,5
08/05/2019,18-20 Years,NEEDED AT HOME,17
08/05/2019,18-20 Years,NOI ISSUED,154
08/05/2019,18-20 Years,OTHER WORK ACTIVITY,53
08/05/2019,18-20 Years,PENDING SUITABLE WEP ASSIGN.,1
08/05/2019,18-20 Years,PENDING WECARE SCHEDULING/OUT,78
08/05/2019,18-20 Years,RECEIVING SSI,14
08/05/2019,18-20 Years,SANCTION IN EFFECT,82
08/05/2019,18-20 Years,SSI PENDING/APPEALING,5
08/05/2019,18-20 Years,STUDENT OVER AGE 15,317
08/05/2019,18-20 Years,SUBSTANCE ABUSE & JOB SEARCH,1
08/05/2019,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,25
08/05/2019,18-20 Years,SUBSTANCE ABUSE TREATMENT,6
08/05/2019,18-20 Years,TEMP. INCAPACITATED - HEALTH,28
08/05/2019,18-20 Years,TEMPORARILY EXEMPT,19
08/05/2019,18-20 Years,UNDERCARE AWAITING SCHEDULING,4
08/05/2019,18-20 Years,UNENGAGED,3
08/05/2019,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,39
08/05/2019,18-20 Years,WECARE VOCATIONAL REHABILITAT,9
08/05/2019,18-20 Years,WECARE/CONCURRENT ACTIVITY,2
08/05/2019,18-20 Years,WELLNESS/REHAB PROGRAM,23
08/05/2019,21-24 Years,ACTIVE SINGLE ISSUE CASES,302
08/05/2019,21-24 Years,ASSIGNED JOB SEARCH,1091
08/05/2019,21-24 Years,AWAITING CONCILIATION SCHED.,9
08/05/2019,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,1063
08/05/2019,21-24 Years,CHILD UNDER 3 MONTHS,24
08/05/2019,21-24 Years,CONCILIATION/CONFERENCE,400
08/05/2019,21-24 Years,DASIS CASES,462
08/05/2019,21-24 Years,EDUCATION/TRAINING,247
08/05/2019,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,45
08/05/2019,21-24 Years,EMPLOYMENT- GRANT DIVERSION,225
08/05/2019,21-24 Years,EMPLOYMENT-BUDGETED,760
08/05/2019,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,157
08/05/2019,21-24 Years,FAIR HEARING (CONTESTING),21
08/05/2019,21-24 Years,FAIR HEARING (NOT CONTESTING),30
08/05/2019,21-24 Years,FTR/FTC,8
08/05/2019,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,4
08/05/2019,21-24 Years,NEEDED AT HOME,90
08/05/2019,21-24 Years,NOI ISSUED,355
08/05/2019,21-24 Years,OTHER WORK ACTIVITY,113
08/05/2019,21-24 Years,PENDING CASAC SCHEDULING/OUT,1
08/05/2019,21-24 Years,PENDING SUITABLE WEP ASSIGN.,2
08/05/2019,21-24 Years,PENDING WECARE SCHEDULING/OUT,672
08/05/2019,21-24 Years,RECEIVING SSI,35
08/05/2019,21-24 Years,SANCTION IN EFFECT,440
08/05/2019,21-24 Years,SSI PENDING/APPEALING,53
08/05/2019,21-24 Years,STUDENT OVER AGE 15,1
08/05/2019,21-24 Years,SUBSTANCE ABUSE & JOB SEARCH,16
08/05/2019,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,122
08/05/2019,21-24 Years,SUBSTANCE ABUSE TREATMENT,50
08/05/2019,21-24 Years,TEMP. INCAPACITATED - HEALTH,112
08/05/2019,21-24 Years,TEMPORARILY EXEMPT,178
08/05/2019,21-24 Years,UNDERCARE AWAITING SCHEDULING,2
08/05/2019,21-24 Years,UNENGAGED,11
08/05/2019,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,239
08/05/2019,21-24 Years,WECARE VOCATIONAL REHABILITAT,56
08/05/2019,21-24 Years,WECARE/COMMUNITY SERVICE,2
08/05/2019,21-24 Years,WECARE/CONCURRENT ACTIVITY,4
08/05/2019,21-24 Years,WELLNESS/REHAB PROGRAM,145
09/04/2019,16-17 Years,ACTIVE SINGLE ISSUE CASES,3
09/04/2019,16-17 Years,DASIS CASES,2
09/04/2019,16-17 Years,EMPLOYMENT-BUDGETED,16
09/04/2019,16-17 Years,NOI ISSUED,1
09/04/2019,16-17 Years,STUDENT OVER AGE 15,49
09/04/2019,18-20 Years,ACTIVE SINGLE ISSUE CASES,63
09/04/2019,18-20 Years,ASSIGNED JOB SEARCH,231
09/04/2019,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,405
09/04/2019,18-20 Years,CHILD UNDER 3 MONTHS,8
09/04/2019,18-20 Years,CONCILIATION/CONFERENCE,89
09/04/2019,18-20 Years,DASIS CASES,60
09/04/2019,18-20 Years,EDUCATION/TRAINING,286
09/04/2019,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,20
09/04/2019,18-20 Years,EMPLOYMENT- GRANT DIVERSION,31
09/04/2019,18-20 Years,EMPLOYMENT-BUDGETED,132
09/04/2019,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,30
09/04/2019,18-20 Years,FAIR HEARING (NOT CONTESTING),6
09/04/2019,18-20 Years,FTR/FTC,7
09/04/2019,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,8
09/04/2019,18-20 Years,NEEDED AT HOME,17
09/04/2019,18-20 Years,NOI ISSUED,113
09/04/2019,18-20 Years,OTHER WORK ACTIVITY,44
09/04/2019,18-20 Years,PENDING WECARE SCHEDULING/OUT,68
09/04/2019,18-20 Years,RECEIVING SSI,14
09/04/2019,18-20 Years,SANCTION IN EFFECT,86
09/04/2019,18-20 Years,SSI PENDING/APPEALING,7
09/04/2019,18-20 Years,STUDENT OVER AGE 15,313
09/04/2019,18-20 Years,SUBSTANCE ABUSE & JOB SEARCH,2
09/04/2019,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,27
09/04/2019,18-20 Years,SUBSTANCE ABUSE TREATMENT,4
09/04/2019,18-20 Years,TEMP. INCAPACITATED - HEALTH,38
09/04/2019,18-20 Years,TEMPORARILY EXEMPT,19
09/04/2019,18-20 Years,UNENGAGED,8
09/04/2019,18-20 Years,WECARE & SUBSTANCE ABUSE,1
09/04/2019,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,51
09/04/2019,18-20 Years,WECARE VOCATIONAL REHABILITAT,10
09/04/2019,18-20 Years,WECARE/CONCURRENT ACTIVITY,9
09/04/2019,18-20 Years,WELLNESS/REHAB PROGRAM,23
09/04/2019,21-24 Years,ACTIVE SINGLE ISSUE CASES,320
09/04/2019,21-24 Years,ASSIGNED JOB SEARCH,1090
09/04/2019,21-24 Years,AWAITING CONCILIATION SCHED.,8
09/04/2019,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,1136
09/04/2019,21-24 Years,CHILD UNDER 3 MONTHS,28
09/04/2019,21-24 Years,CONCILIATION/CONFERENCE,388
09/04/2019,21-24 Years,DASIS CASES,455
09/04/2019,21-24 Years,EDUCATION/TRAINING,274
09/04/2019,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,50
09/04/2019,21-24 Years,EMPLOYMENT- GRANT DIVERSION,243
09/04/2019,21-24 Years,EMPLOYMENT-BUDGETED,807
09/04/2019,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,151
09/04/2019,21-24 Years,FAIR HEARING (CONTESTING),18
09/04/2019,21-24 Years,FAIR HEARING (NOT CONTESTING),27
09/04/2019,21-24 Years,FTR/FTC,11
09/04/2019,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,6
09/04/2019,21-24 Years,NEEDED AT HOME,87
09/04/2019,21-24 Years,NOI ISSUED,344
09/04/2019,21-24 Years,OTHER WORK ACTIVITY,92
09/04/2019,21-24 Years,PENDING SUITABLE WEP ASSIGN.,1
09/04/2019,21-24 Years,PENDING WECARE SCHEDULING/OUT,545
09/04/2019,21-24 Years,RECEIVING SSI,33
09/04/2019,21-24 Years,SANCTION IN EFFECT,458
09/04/2019,21-24 Years,SSI PENDING/APPEALING,56
09/04/2019,21-24 Years,STUDENT OVER AGE 15,1
09/04/2019,21-24 Years,SUBSTANCE ABUSE & JOB SEARCH,5
09/04/2019,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,111
09/04/2019,21-24 Years,SUBSTANCE ABUSE TREATMENT,40
09/04/2019,21-24 Years,TEMP. INCAPACITATED - HEALTH,109
09/04/2019,21-24 Years,TEMPORARILY EXEMPT,185
09/04/2019,21-24 Years,UNDERCARE AWAITING SCHEDULING,4
09/04/2019,21-24 Years,UNENGAGED,8
09/04/2019,21-24 Years,WAGE SUBSIDY,1
09/04/2019,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,327
09/04/2019,21-24 Years,WECARE VOCATIONAL REHABILITAT,76
09/04/2019,21-24 Years,WECARE/COMMUNITY SERVICE,5
09/04/2019,21-24 Years,WECARE/CONCURRENT ACTIVITY,16
09/04/2019,21-24 Years,WELLNESS/REHAB PROGRAM,151
10/04/2019,16-17 Years,ACTIVE SINGLE ISSUE CASES,2
10/04/2019,16-17 Years,EMPLOYMENT-BUDGETED,13
10/04/2019,16-17 Years,STUDENT OVER AGE 15,48
10/04/2019,18-20 Years,ACTIVE SINGLE ISSUE CASES,84
10/04/2019,18-20 Years,ASSIGNED JOB SEARCH,211
10/04/2019,18-20 Years,AWAITING CONCILIATION SCHED.,2
10/04/2019,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,343
10/04/2019,18-20 Years,CHILD UNDER 3 MONTHS,9
10/04/2019,18-20 Years,CONCILIATION/CONFERENCE,102
10/04/2019,18-20 Years,DASIS CASES,55
10/04/2019,18-20 Years,EDUCATION/TRAINING,339
10/04/2019,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,18
10/04/2019,18-20 Years,EMPLOYMENT- GRANT DIVERSION,29
10/04/2019,18-20 Years,EMPLOYMENT-BUDGETED,111
10/04/2019,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,36
10/04/2019,18-20 Years,FAIR HEARING (NOT CONTESTING),2
10/04/2019,18-20 Years,FTR/FTC,3
10/04/2019,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,4
10/04/2019,18-20 Years,NEEDED AT HOME,17
10/04/2019,18-20 Years,NOI ISSUED,125
10/04/2019,18-20 Years,OTHER WORK ACTIVITY,52
10/04/2019,18-20 Years,PENDING WECARE SCHEDULING/OUT,52
10/04/2019,18-20 Years,RECEIVING SSI,11
10/04/2019,18-20 Years,SANCTION IN EFFECT,73
10/04/2019,18-20 Years,SSI PENDING/APPEALING,8
10/04/2019,18-20 Years,STUDENT OVER AGE 15,314
10/04/2019,18-20 Years,SUBSTANCE ABUSE & JOB SEARCH,2
10/04/2019,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,19
10/04/2019,18-20 Years,SUBSTANCE ABUSE TREATMENT,4
10/04/2019,18-20 Years,TEMP. INCAPACITATED - HEALTH,35
10/04/2019,18-20 Years,TEMPORARILY EXEMPT,15
10/04/2019,18-20 Years,UNDERCARE AWAITING SCHEDULING,4
10/04/2019,18-20 Years,UNENGAGED,4
10/04/2019,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,50
10/04/2019,18-20 Years,WECARE VOCATIONAL REHABILITAT,6
10/04/2019,18-20 Years,WECARE/COMMUNITY SERVICE,2
10/04/2019,18-20 Years,WECARE/CONCURRENT ACTIVITY,7
10/04/2019,18-20 Years,WELLNESS/REHAB PROGRAM,24
10/04/2019,21-24 Years,ACTIVE SINGLE ISSUE CASES,317
10/04/2019,21-24 Years,ASSIGNED JOB SEARCH,1044
10/04/2019,21-24 Years,AWAITING CONCILIATION SCHED.,12
10/04/2019,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,1107
10/04/2019,21-24 Years,CHILD UNDER 3 MONTHS,29
10/04/2019,21-24 Years,CONCILIATION/CONFERENCE,358
10/04/2019,21-24 Years,DASIS CASES,449
10/04/2019,21-24 Years,EDUCATION/TRAINING,361
10/04/2019,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,46
10/04/2019,21-24 Years,EMPLOYMENT- GRANT DIVERSION,212
10/04/2019,21-24 Years,EMPLOYMENT-BUDGETED,733
10/04/2019,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,137
10/04/2019,21-24 Years,FAIR HEARING (CONTESTING),17
10/04/2019,21-24 Years,FAIR HEARING (NOT CONTESTING),20
10/04/2019,21-24 Years,FTR/FTC,13
10/04/2019,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,14
10/04/2019,21-24 Years,NEEDED AT HOME,82
10/04/2019,21-24 Years,NOI ISSUED,271
10/04/2019,21-24 Years,OTHER WORK ACTIVITY,104
10/04/2019,21-24 Years,PENDING SUITABLE WEP ASSIGN.,1
10/04/2019,21-24 Years,PENDING WECARE SCHEDULING/OUT,444
10/04/2019,21-24 Years,RECEIVING SSI,33
10/04/2019,21-24 Years,SANCTION IN EFFECT,406
10/04/2019,21-24 Years,SSI PENDING/APPEALING,56
10/04/2019,21-24 Years,STUDENT OVER AGE 15,1
10/04/2019,21-24 Years,SUBSTANCE ABUSE & JOB SEARCH,7
10/04/2019,21-24 Years,SUBSTANCE ABUSE & TRAINING,1
10/04/2019,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,99
10/04/2019,21-24 Years,SUBSTANCE ABUSE TREATMENT,37
10/04/2019,21-24 Years,TEMP. INCAPACITATED - HEALTH,105
10/04/2019,21-24 Years,TEMPORARILY EXEMPT,169
10/04/2019,21-24 Years,UNDERCARE AWAITING SCHEDULING,1
10/04/2019,21-24 Years,UNENGAGED,17
10/04/2019,21-24 Years,WAGE SUBSIDY,1
10/04/2019,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,343
10/04/2019,21-24 Years,WECARE VOCATIONAL REHABILITAT,76
10/04/2019,21-24 Years,WECARE/COMMUNITY SERVICE,7
10/04/2019,21-24 Years,WECARE/CONCURRENT ACTIVITY,26
10/04/2019,21-24 Years,WELLNESS/REHAB PROGRAM,158
11/07/2019,16-17 Years,DASIS CASES,3
11/07/2019,16-17 Years,EMPLOYMENT-BUDGETED,10
11/07/2019,16-17 Years,NOI ISSUED,1
11/07/2019,16-17 Years,PENDING SUITABLE WEP ASSIGN.,1
11/07/2019,16-17 Years,STUDENT OVER AGE 15,44
11/07/2019,18-20 Years,ACTIVE SINGLE ISSUE CASES,77
11/07/2019,18-20 Years,ASSIGNED JOB SEARCH,185
11/07/2019,18-20 Years,AWAITING CONCILIATION SCHED.,3
11/07/2019,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,326
11/07/2019,18-20 Years,CHILD UNDER 3 MONTHS,12
11/07/2019,18-20 Years,CONCILIATION/CONFERENCE,77
11/07/2019,18-20 Years,DASIS CASES,55
11/07/2019,18-20 Years,EDUCATION/TRAINING,409
11/07/2019,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,22
11/07/2019,18-20 Years,EMPLOYMENT- GRANT DIVERSION,37
11/07/2019,18-20 Years,EMPLOYMENT-BUDGETED,118
11/07/2019,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,26
11/07/2019,18-20 Years,FAIR HEARING (CONTESTING),1
11/07/2019,18-20 Years,FAIR HEARING (NOT CONTESTING),9
11/07/2019,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,2
11/07/2019,18-20 Years,NEEDED AT HOME,17
11/07/2019,18-20 Years,NOI ISSUED,112
11/07/2019,18-20 Years,OTHER WORK ACTIVITY,67
11/07/2019,18-20 Years,PENDING SUITABLE WEP ASSIGN.,1
11/07/2019,18-20 Years,PENDING WECARE SCHEDULING/OUT,36
11/07/2019,18-20 Years,RECEIVING SSI,14
11/07/2019,18-20 Years,SANCTION IN EFFECT,71
11/07/2019,18-20 Years,SSI PENDING/APPEALING,12
11/07/2019,18-20 Years,STUDENT OVER AGE 15,304
11/07/2019,18-20 Years,SUBSTANCE ABUSE & JOB SEARCH,2
11/07/2019,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,20
11/07/2019,18-20 Years,SUBSTANCE ABUSE TREATMENT,2
11/07/2019,18-20 Years,TEMP. INCAPACITATED - HEALTH,37
11/07/2019,18-20 Years,TEMPORARILY EXEMPT,12
11/07/2019,18-20 Years,UNDERCARE AWAITING SCHEDULING,1
11/07/2019,18-20 Years,UNENGAGED,8
11/07/2019,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,66
11/07/2019,18-20 Years,WECARE VOCATIONAL REHABILITAT,9
11/07/2019,18-20 Years,WECARE/COMMUNITY SERVICE,2
11/07/2019,18-20 Years,WECARE/CONCURRENT ACTIVITY,7
11/07/2019,18-20 Years,WELLNESS/REHAB PROGRAM,25
11/07/2019,21-24 Years,ACTIVE SINGLE ISSUE CASES,290
11/07/2019,21-24 Years,ASSIGNED JOB SEARCH,1050
11/07/2019,21-24 Years,AWAITING CONCILIATION SCHED.,12
11/07/2019,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,996
11/07/2019,21-24 Years,CHILD UNDER 3 MONTHS,30
11/07/2019,21-24 Years,CONCILIATION/CONFERENCE,309
11/07/2019,21-24 Years,DASIS CASES,449
11/07/2019,21-24 Years,EDUCATION/TRAINING,466
11/07/2019,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,54
11/07/2019,21-24 Years,EMPLOYMENT- GRANT DIVERSION,245
11/07/2019,21-24 Years,EMPLOYMENT-BUDGETED,744
11/07/2019,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,118
11/07/2019,21-24 Years,FAIR HEARING (CONTESTING),20
11/07/2019,21-24 Years,FAIR HEARING (NOT CONTESTING),38
11/07/2019,21-24 Years,FTR/FTC,19
11/07/2019,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,16
11/07/2019,21-24 Years,NEEDED AT HOME,84
11/07/2019,21-24 Years,NOI ISSUED,320
11/07/2019,21-24 Years,OTHER WORK ACTIVITY,130
11/07/2019,21-24 Years,PENDING CASAC SCHEDULING/OUT,1
11/07/2019,21-24 Years,PENDING SUITABLE WEP ASSIGN.,2
11/07/2019,21-24 Years,PENDING WECARE SCHEDULING/OUT,319
11/07/2019,21-24 Years,RECEIVING SSI,32
11/07/2019,21-24 Years,SANCTION IN EFFECT,399
11/07/2019,21-24 Years,SSI PENDING/APPEALING,64
11/07/2019,21-24 Years,STUDENT OVER AGE 15,1
11/07/2019,21-24 Years,SUBSTANCE ABUSE & JOB SEARCH,10
11/07/2019,21-24 Years,SUBSTANCE ABUSE & TRAINING,1
11/07/2019,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,95
11/07/2019,21-24 Years,SUBSTANCE ABUSE TREATMENT,41
11/07/2019,21-24 Years,TEMP. INCAPACITATED - HEALTH,107
11/07/2019,21-24 Years,TEMPORARILY EXEMPT,173
11/07/2019,21-24 Years,UNDERCARE AWAITING SCHEDULING,2
11/07/2019,21-24 Years,UNENGAGED,15
11/07/2019,21-24 Years,WECARE & SUBSTANCE ABUSE,1
11/07/2019,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,373
11/07/2019,21-24 Years,WECARE VOCATIONAL REHABILITAT,71
11/07/2019,21-24 Years,WECARE/COMMUNITY SERVICE,7
11/07/2019,21-24 Years,WECARE/CONCURRENT ACTIVITY,41
11/07/2019,21-24 Years,WELLNESS/REHAB PROGRAM,176
12/04/2019,16-17 Years,DASIS CASES,3
12/04/2019,16-17 Years,EMPLOYMENT-BUDGETED,11
12/04/2019,16-17 Years,STUDENT OVER AGE 15,43
12/04/2019,18-20 Years,ACTIVE SINGLE ISSUE CASES,62
12/04/2019,18-20 Years,ASSIGNED JOB SEARCH,207
12/04/2019,18-20 Years,AWAITING CONCILIATION SCHED.,2
12/04/2019,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,273
12/04/2019,18-20 Years,CHILD UNDER 3 MONTHS,6
12/04/2019,18-20 Years,CONCILIATION/CONFERENCE,114
12/04/2019,18-20 Years,DASIS CASES,55
12/04/2019,18-20 Years,EDUCATION/TRAINING,439
12/04/2019,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,25
12/04/2019,18-20 Years,EMPLOYMENT- GRANT DIVERSION,37
12/04/2019,18-20 Years,EMPLOYMENT-BUDGETED,104
12/04/2019,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,37
12/04/2019,18-20 Years,FAIR HEARING (CONTESTING),3
12/04/2019,18-20 Years,FAIR HEARING (NOT CONTESTING),3
12/04/2019,18-20 Years,FTR/FTC,4
12/04/2019,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,4
12/04/2019,18-20 Years,NEEDED AT HOME,15
12/04/2019,18-20 Years,NOI ISSUED,94
12/04/2019,18-20 Years,OTHER WORK ACTIVITY,65
12/04/2019,18-20 Years,PENDING SUITABLE WEP ASSIGN.,1
12/04/2019,18-20 Years,PENDING WECARE SCHEDULING/OUT,28
12/04/2019,18-20 Years,RECEIVING SSI,16
12/04/2019,18-20 Years,SANCTION IN EFFECT,83
12/04/2019,18-20 Years,SSI PENDING/APPEALING,12
12/04/2019,18-20 Years,STUDENT OVER AGE 15,311
12/04/2019,18-20 Years,SUBSTANCE ABUSE & JOB SEARCH,1
12/04/2019,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,17
12/04/2019,18-20 Years,SUBSTANCE ABUSE TREATMENT,3
12/04/2019,18-20 Years,TEMP. INCAPACITATED - HEALTH,35
12/04/2019,18-20 Years,TEMPORARILY EXEMPT,14
12/04/2019,18-20 Years,UNDERCARE AWAITING SCHEDULING,10
12/04/2019,18-20 Years,UNENGAGED,4
12/04/2019,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,70
12/04/2019,18-20 Years,WECARE VOCATIONAL REHABILITAT,11
12/04/2019,18-20 Years,WECARE/COMMUNITY SERVICE,3
12/04/2019,18-20 Years,WECARE/CONCURRENT ACTIVITY,8
12/04/2019,18-20 Years,WELLNESS/REHAB PROGRAM,24
12/04/2019,21-24 Years,ACTIVE SINGLE ISSUE CASES,258
12/04/2019,21-24 Years,ASSIGNED JOB SEARCH,1022
12/04/2019,21-24 Years,AWAITING CONCILIATION SCHED.,13
12/04/2019,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,918
12/04/2019,21-24 Years,CHILD UNDER 3 MONTHS,27
12/04/2019,21-24 Years,CONCILIATION/CONFERENCE,364
12/04/2019,21-24 Years,DASIS CASES,453
12/04/2019,21-24 Years,EDUCATION/TRAINING,521
12/04/2019,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,54
12/04/2019,21-24 Years,EMPLOYMENT- GRANT DIVERSION,225
12/04/2019,21-24 Years,EMPLOYMENT-BUDGETED,760
12/04/2019,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,134
12/04/2019,21-24 Years,FAIR HEARING (CONTESTING),21
12/04/2019,21-24 Years,FAIR HEARING (NOT CONTESTING),15
12/04/2019,21-24 Years,FTR/FTC,19
12/04/2019,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,16
12/04/2019,21-24 Years,NEEDED AT HOME,97
12/04/2019,21-24 Years,NOI ISSUED,280
12/04/2019,21-24 Years,OTHER WORK ACTIVITY,134
12/04/2019,21-24 Years,PENDING WECARE SCHEDULING/OUT,280
12/04/2019,21-24 Years,PREGNANT,1
12/04/2019,21-24 Years,RECEIVING SSI,32
12/04/2019,21-24 Years,SANCTION IN EFFECT,459
12/04/2019,21-24 Years,SSI PENDING/APPEALING,70
12/04/2019,21-24 Years,STUDENT OVER AGE 15,1
12/04/2019,21-24 Years,SUBSTANCE ABUSE & JOB SEARCH,5
12/04/2019,21-24 Years,SUBSTANCE ABUSE & TRAINING,2
12/04/2019,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,90
12/04/2019,21-24 Years,SUBSTANCE ABUSE TREATMENT,41
12/04/2019,21-24 Years,TEMP. INCAPACITATED - HEALTH,103
12/04/2019,21-24 Years,TEMPORARILY EXEMPT,171
12/04/2019,21-24 Years,UNDERCARE AWAITING SCHEDULING,24
12/04/2019,21-24 Years,UNENGAGED,6
12/04/2019,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,375
12/04/2019,21-24 Years,WECARE VOCATIONAL REHABILITAT,72
