Project Number,Contract Number,Title,Status,Procurement Type,Award Type,Contract Award Date,Contract End Date,Contract Amount,Expended Amount YTD,Expended Amount LTD,Remaining Balance,Number of Bids,MWBE,MWBE Proposals,Vendor Name,Address Line 1,Address Line 2,City,State,Zip Code,Country,Location 1
801802,T006369,"DESIGN: Engineering Services - RMF Engineering, Inc - Master Term Agreement",Active,Design and Construction/Maintenance,Authority Contract - Best Value,09/14/2017,09/27/2020,5000000.00,0.00,0.00,5000000.00,111,N,24,"RMF Engineering, Inc., P.C.",1A Pine West Plaza,,Albany,NY,12205,USA,"1A Pine West Plaza
Albany, NY 12205
(42.710592, -73.864588)"
291009,T006370,DESIGN: Install Backflow Prevention and Pump Station,Active,Design and Construction/Maintenance,Authority Contract - Best Value,07/08/2019,09/26/2020,311000.00,0.00,119813.37,191186.63,0,N,0,"M.J. Engineering and Land Surveying, P.C.",1533 Crescent Road,,Clifton Park,NY,12065,USA,"1533 Crescent Road
Clifton Park, NY 12065
(42.819309, -73.771854)"
20X163,T006256,DESIGN: CM New Academic Research Building,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,07/06/2016,09/16/2021,47887.81,0.00,47887.81,0.00,21,N,0,The Whiting-Turner Contracting Company,Suite 180,1720 Spillman Drive,Bethlehem,PA,18015,USA,"180 Bethlehem
PA 18015"
051003,T006320,CONSTR: Demolish Academic Spine Bridge-Site Restoration,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,03/29/2017,11/02/2018,856671.00,0.00,856671.00,0.00,1,N,0,Perry Construction Group,1440 West 21st Street,,Erie,PA,16502,USA,"1440 West 21st Street
Erie, PA 16502
(42.104428, -80.10791)"
03X375,T005630,CONSTR: JOCs - Buffalo Region,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,12/18/2009,12/08/2015,1834807.00,0.00,1834807.00,0.00,0,N,0,Sorensen Gross Construction Services,3407 torrey Road,,Flint,MI,48507,USA,"3407 torrey Road
Flint, MI 48507
(42.976689, -83.732564)"
231032,T006368,DESIGN: Replace Switchgear and Electrical Panels - Wicks and MacArthur Halls,Active,Design and Construction/Maintenance,Authority Contract - Best Value,04/23/2019,09/26/2020,331000.00,0.00,79299.80,251700.20,0,Y,0,Pathfinder Engineers & Architects LLP,134 South Fitzhugh Street,,Rochester,NY,14608,USA,"134 South Fitzhugh Street
Rochester, NY 14608
(43.150511, -77.612233)"
22X224,T005762,DESIGN: Commissioning - Student Union / Student Activities Center,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,03/11/2011,02/21/2016,148969.17,30000.16,148969.17,0.00,16,N,2,"Horizon Engineering Associates, LLP",358 West Jefferson Street,Suite 300,Syracuse,NY,13204,USA,"358 West Jefferson Street
Syracuse, NY 13204
(43.047104, -76.158169)"
091002,T006387,CONSTR: Rehabilitate Mechanical Systems - Morris Hall,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,11/21/2017,10/01/2019,1209445.00,0.00,1209445.00,0.00,3,Y,1,"Wilkins Mechanical, Inc.",6923 Herman Road,,Syracuse,NY,13209,USA,"6923 Herman Road
Syracuse, NY 13209
(43.104671, -76.290603)"
28X358,T005175,DESIGN: Commissioning Services - Acheson Hall,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,10/31/2006,08/30/2013,251701.86,62673.25,251701.86,0.00,5,N,0,"Affiliated Engineers, Inc",5802 Research Park Blvd,P. O. Box 44991,Madison,WI,53744,USA,"5802 Research Park Blvd
Madison, WI 53744
(43.05576, -89.480237)"
04X334,T005479,DESIGN: Bowers Hall Upgrade to Sciences - Phase I,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,04/06/2009,12/31/2016,3461870.47,464609.50,3461870.47,0.00,26,N,1,"Zimmer Gunsul Frasca Architects, LLP",Suite 200,1800 K Street,Washington,DC,20006,USA,"200 Washington
DC 20006"
07XA23,T005436,DESIGN: Site Utilities Upgrades Elect Dist Ph 3,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,02/11/2009,01/29/2014,453239.99,26605.57,453239.99,0.00,11,N,1,Stantec Consulting Services Inc.,13980 Collections Center,,Chicago,IL,60693,USA,"13980 Collections Center
Chicago, IL 60693"
09X369,T005915,CONSTR: Upgrade HVAC Systems - Lee Hall - College at Oneonta,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,02/10/2012,08/17/2013,1291534.00,1204493.00,1291534.00,0.00,3,N,0,Andrew R. Mancini Associates Inc.,129 Odell Avenue,,Endicott,NY,13760,USA,"129 Odell Avenue
Endicott, NY 13760
(42.110866, -76.049175)"
26X293,T005871,"DESIGN: Construction Manager, Nold Hall & New Day Care Center",Closed,Design and Construction/Maintenance,Authority Contract - Best Value,04/27/2012,07/30/2021,533731.33,159346.30,533731.33,0.00,0,N,0,"Hill International, Inc",Suite 3415,One Penn Plaza,New York,NY,10119,USA,"3415 New
York, NY 10119"
01XA87,T006208,DESIGN: Construct ETEC Building - 2020,Active,Design and Construction/Maintenance,Authority Contract - Best Value,01/26/2016,02/26/2021,13296963.84,0.00,8760122.55,4536841.29,25,N,0,Cannon Design Arch & Engineering,360 Madison Avenue,11th Floor,New York,NY,10017,USA,"360 Madison Avenue
New York, NY 10017
(40.754895, -73.977762)"
071042,T006440,DESIGN: Rehabilitate Science IV Ph 2,Active,Design and Construction/Maintenance,Authority Contract - Best Value,01/13/2020,10/04/2021,60597.83,0.00,395.53,60202.30,10,N,0,"Horizon Engineering Associates, LLP",358 West Jefferson Street,Suite 300,Syracuse,NY,13204,USA,"358 West Jefferson Street
Syracuse, NY 13204
(43.047104, -76.158169)"
20X223,T006064,CONSTR: Rep Perimeter Heating,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,03/12/2014,10/16/2015,1148236.00,0.00,1148236.00,0.00,4,N,1,Airside Technology Corporation,900 Old Liverpool Road,,Liverpool,NY,13088,USA,"900 Old Liverpool Road
Liverpool, NY 13088
(43.098128, -76.197816)"
28X422,T005439,DESIGN: Hayes Hall Building Wide Restoration,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,01/30/2009,03/15/2017,3539007.79,406241.90,3539007.79,0.00,16,N,1,"Bergmann Associates, Inc.",28 East Main Street,200 First Federal Plaza,Rochester,NY,14614,USA,"28 East Main Street
Rochester, NY 14614
(43.155926, -77.611567)"
011028,T006383,DESIGN: Rehabilitate Physical Education Building,Active,Design and Construction/Maintenance,Authority Contract - Best Value,10/31/2017,03/27/2023,1569080.00,0.00,114063.88,1455016.12,22,N,2,"King & King Architects, LLP",358 West Jefferson Street,,Syracuse,NY,13202,USA,"358 West Jefferson Street
Syracuse, NY 13202
(43.047104, -76.158169)"
35X120,T005795,DESIGN: Infill Projects - Various Buildings,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,03/18/2011,07/31/2017,1432634.24,363089.60,1432634.24,0.00,34,N,4,NBBJ Architecture PLLC,One Beacon Street,Suite 5200,Boston,MA,2108,USA,"One Beacon Street
Boston, MA 02108"
30XB08,T006012,DESIGN: SMBS Construction Manager- School of Medicine & Biomedical Sciences,Active,Design and Construction/Maintenance,Authority Contract - Best Value,03/27/2013,11/30/2018,11500672.00,0.00,11172969.61,327702.39,17,N,0,Gilbane/LiRo A Joint Venture,16 Corporate Woods Blvd,,Albany,NY,12211,USA,"16 Corporate Woods Blvd
Albany, NY 12211
(42.682579, -73.764995)"
07XA47,T005975,CONSTR: Rehab Science III Basment,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,06/14/2012,04/06/2014,4486947.00,2857949.00,4486947.00,0.00,6,N,0,"Streeter Associates,Inc.",101 E. Woodlawn Ave.,P.O. Box 118,Elmira,NY,14902,USA,"101 E Woodlawn Ave
Elmira, NY 14902
(42.110373, -76.815783)"
13XD75,T005927,CONSTR: HTHW - Phase II,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,02/24/2012,12/31/2014,6099584.00,4091864.00,6099584.00,0.00,10,N,0,"Ultimate Power, Inc.",45 Nancy Street,,West Babylon,NY,11704,USA,"45 Nancy Street
West Babylon, NY 11704
(40.737065, -73.374959)"
06X831,T005723,DESIGN: Site Infrastructure Study,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,10/27/2010,12/30/2011,381020.68,14617.87,381020.68,0.00,15,N,0,"C.T. Male Associates, P.C",50 Century Hill Drive,,Latham,NY,12110,USA,"50 Century Hill Drive
Latham, NY 12110
(42.773934, -73.759737)"
01XA52,T005636,"CONSTR: Replace Uptown Windows, Phase 1 ",Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,01/27/2010,08/08/2012,2988743.00,16831.00,2988743.00,0.00,6,N,0,"Bunkoff General Contractors, Inc.",790 Watervliet Shaker Rd.,,Latham,NY,12110,USA,"790 Watervliet Shaker Rd
Latham, NY 12110
(42.739147, -73.796743)"
091043,T006545,CONSTR: Rehabilitate Elevators Milne Library,Active,Design and Construction/Maintenance,Authority Contract - Competitive Bid,02/12/2020,11/20/2021,946700.00,0.00,0.00,946700.00,1,N,0,Andrew R. Mancini Associates Inc.,129 Odell Avenue,,Endicott,NY,13760,USA,"129 Odell Avenue
Endicott, NY 13760
(42.110866, -76.049175)"
31X227,T005342,"DESIGN: Rehab Campus Center-H, I & K Wings",Closed,Design and Construction/Maintenance,Authority Contract - Best Value,07/07/2008,12/31/2017,729441.68,138368.81,729441.68,0.00,0,N,0,"Perkins Eastman Architects, P.C.",115 Fifth Avenue - 3rd Fl,,New York,NY,10003,USA,"115 Fifth Avenue
New York, NY 10003
(40.738916, -73.9915)"
05X333,T005350,DESIGN: Electrical Distribution Upgrade,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,06/25/2009,10/01/2014,389472.39,1162.98,389472.39,0.00,0,N,0,"Jacobs Civil Consultants, Inc.",Suite 0603,2 Penn Plaza,New York,NY,10121,USA,"0603 New
York, NY 10121"
23X202,T005692,"CONSTR: Information Technology Infrastructure Upgrades, Ph I",Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,05/13/2010,02/16/2013,2053357.00,191216.00,2053357.00,0.00,3,N,0,"S & L Electric, Inc.",5313 State Highway 56,,Colton,NY,13625,USA,"5313 State Highway
Colton, NY 13625"
25X290,T006006,CONSTR: Replace Site Infrastructure - Phase 1,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,12/18/2012,11/10/2015,3047718.00,0.00,3047718.00,0.00,3,N,0,Rifenburg Construction Corp.,159 Brick Church Road,,Troy,NY,12180,USA,"159 Brick Church Road
Troy, NY 12180
(42.75699, -73.583082)"
231003,T006107,DESIGN: Replace Roofs Cooper & Payson Hall,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,10/07/2015,11/30/2021,175825.22,0.00,175825.22,0.00,0,N,0,Architecture +,297 River Street,,Troy,NY,12180,USA,"297 River Street
Troy, NY 12180
(42.73246, -73.690162)"
24X267,T005755,CONSTR: Upgrade Campus-Wide Fire Alarm Hub (University Police Station),Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,12/22/2010,02/28/2013,2142545.00,212209.00,2142545.00,0.00,5,N,0,"Kasselman Electric Co., Inc.",29 Broad Street,P O Box 984,Albany,NY,12201,USA,"29 Broad Street
Albany, NY 12201
(42.641727, -73.757735)"
09X343,T005365,DESIGN: Replace Windows - Physical Education Building,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,06/01/2009,04/14/2017,120249.28,0.00,120249.28,0.00,0,N,0,Architecture +,297 River Street,,Troy,NY,12180,USA,"297 River Street
Troy, NY 12180
(42.73246, -73.690162)"
121002,T006264,CONSTR: Replace Roofs PH 2 - Brainerd & Flagg Hall,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,06/30/2016,12/30/2017,980760.00,0.00,980760.00,0.00,6,Y,2,PTL Contracting Corp.,27840 County Road 193,,Theresa,NY,13691,USA,"27840 County Road
Theresa, NY 13691"
02X389,T006117,DESIGN: Liberal Arts Building (02836),Closed,Design and Construction/Maintenance,Authority Contract - Best Value,01/09/2015,09/30/2015,304851.32,0.00,304851.32,0.00,42,N,2,"Gilbane Building Company/ Jai II, Inc. A Joint Vent",16 Corporate Woods Blvd,,Albany,NY,12211,USA,"16 Corporate Woods Blvd
Albany, NY 12211
(42.682579, -73.764995)"
10X349,T005756,CONSTR: Replace Roof - Penfield Library,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,12/16/2010,04/11/2013,845883.00,58715.00,845883.00,0.00,8,N,2,W.J. Farley Roofing Corporation,280 E. Main Street,,Gouverneur,NY,13642,USA,"280 E Main Street
Gouverneur, NY 13642
(44.338286, -75.458562)"
37X048,T006098,DESIGN: Retooling the Southern Tier,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,04/22/2015,11/03/2021,98114.63,0.00,104798.20,-6683.57,0,N,0,"Kideney Architects, P.C.",143 Genesee Street,,Buffalo,NY,14203,USA,"143 Genesee Street
Buffalo, NY 14203
(42.890071, -78.869032)"
08X438,T005956,CONSTR: Job Order Contracting Program - Albany,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,04/18/2012,11/20/2018,43863.00,0.00,43863.00,0.00,0,Y,0,"Cutting Edge Group, LLC",14 Walkup Cutoff Road,P.O. Box 733,Lake George,NY,12845,USA,"14 Walkup Cutoff Road
Lake George, NY 12845
(43.386894, -73.648077)"
30XA60,T005763,CONSTR: EOC (Educational Opportunity Center) Buffalo,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,12/28/2010,02/28/2014,18540591.00,10461894.00,18540591.00,0.00,10,N,1,"Savarino Company, LLC",95 Perry Street,Suite 104,Buffalo,NY,14203,USA,"95 Perry Street
Buffalo, NY 14203
(42.875511, -78.87399)"
321039,T006352,DESIGN: Study - Exterior Envelope Conditions - Health Sciences Center,Active,Design and Construction/Maintenance,Authority Contract - Best Value,06/04/2018,10/02/2020,377771.08,0.00,145594.89,232176.19,0,N,0,"Bell & Spina Architects-Planners, P.C.","Suite 201, The Bindery",215 Wyoming Street,Syracuse,NY,13204,USA,"201 The
Syracuse, NY 13204"
15X478,D005309,CONSTR: Repair Historic Stone Wall - Weiskotten Hall,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,09/05/2007,07/31/2010,371535.00,0.00,371535.00,0.00,3,N,0,"Over & Under Piping Contractors, Inc.",P.O.Box 278,7285 Mutton Hill Road,Auburn,NY,13021,USA,"278 Auburn
NY 13021"
201000,T006311,CONSTR: Wanakena Ranger School - Various Building and Site Improvements,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,03/02/2017,08/18/2019,2395506.00,0.00,2395506.00,0.00,6,Y,1,"Cutting Edge Group, LLC",14 Walkup Cutoff Road,P.O. Box 733,Lake George,NY,12845,USA,"14 Walkup Cutoff Road
Lake George, NY 12845
(43.386894, -73.648077)"
22X816,T005853,DESIGN: Program Study - Agricultural Sciences Building,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,02/10/2012,12/14/2015,76709.27,76709.27,76709.27,0.00,0,N,0,Stieglitz Snyder Architecture,425 Franklin Street,,Buffalo,NY,14202,USA,"425 Franklin Street
Buffalo, NY 14202
(42.897113, -78.873029)"
251001,T006263,CONSTR: Replace Fire Alarms - Various Buildings,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,06/22/2016,01/20/2018,223826.00,0.00,223826.00,0.00,6,N,0,Total Facility Solutions Inc.,"20 Teck Trail, Suite 202",,Malta,NY,12020,USA,"20 Teck Trail
Malta, NY 12020
(42.964939, -73.764155)"
01XA51,T005706,CONSTR: New Business School/Parking & Site Work,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,07/07/2010,10/15/2012,3553913.00,178873.00,3553913.00,0.00,10,N,1,"DelSignore Blacktop Paving, Inc.",42 Brick Church Road,,Troy,NY,12180,USA,"42 Brick Church Road
Troy, NY 12180
(42.751529, -73.574913)"
081000,T006299,"CONSTR: Upgrade HVAC Systems at Dorsky Museum, Bldg. No. 31B",Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,01/10/2017,02/14/2019,942393.00,0.00,942393.00,0.00,5,Y,1,"Wilkins Mechanical, Inc.",6923 Herman Road,,Syracuse,NY,13209,USA,"6923 Herman Road
Syracuse, NY 13209
(43.104671, -76.290603)"
16X7A5,T005632,CONSTR: JOCs - Syracuse Region,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,12/18/2009,12/09/2015,817476.00,0.00,817476.00,0.00,0,N,0,Sorensen Gross Construction Services,3407 torrey Road,,Flint,MI,48507,USA,"3407 torrey Road
Flint, MI 48507
(42.976689, -83.732564)"
061014,T006104,DESIGN: Reconstruct Mechanical Room & Pool at Merritt & Schrader Halls,Active,Design and Construction/Maintenance,Authority Contract - Best Value,07/26/2017,07/25/2023,647576.00,0.00,299164.33,348411.67,0,N,0,"M/E Engineering, P.C.",Suite 320,60 Lakefront Boulevard,Buffalo,NY,14202,USA,"320 Buffalo
NY 14202"
351001,T006104,DESIGN: Update/Replace HVAC Components - Harder Hall,Active,Design and Construction/Maintenance,Authority Contract - Best Value,02/02/2017,07/25/2023,230500.00,0.00,563850.06,-333350.06,0,N,0,"M/E Engineering, P.C.",Suite 320,60 Lakefront Boulevard,Buffalo,NY,14202,USA,"320 Buffalo
NY 14202"
16X283,T005494,CONSTR: Barton Hall Exterior/ Roof Repairs ,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,04/08/2009,12/31/2012,2887986.00,58118.00,2887986.00,0.00,4,N,1,"Streeter Associates,Inc.",101 E. Woodlawn Ave.,P.O. Box 118,Elmira,NY,14902,USA,"101 E Woodlawn Ave
Elmira, NY 14902
(42.110373, -76.815783)"
03X421,T005829,"DESIGN: Rehabilitate Caudell Hall, Bldg. No. 18",Closed,Design and Construction/Maintenance,Authority Contract - Best Value,05/25/2011,05/29/2018,2174613.83,506274.60,2174613.83,0.00,31,N,1,"BHNT Architects, PC",Suite 434,2495 Main Street,Buffalo,NY,14214,USA,"434 Buffalo
NY 14214"
401005,T006389,CONSTR: Rehab Envelope 111 West,Active,Design and Construction/Maintenance,Authority Contract - Competitive Bid,12/06/2017,11/12/2019,2036747.00,0.00,2030759.00,5988.00,4,N,1,Bast Hatfield Construction LLC,1399 Vischers Ferry Road,,Clifton Park,NY,12065,USA,"1399 Vischers Ferry Road
Clifton Park, NY 12065
(42.822923, -73.737444)"
13XD10,T005435,DESIGN: ESS Bldg Exterior Rehab,Active,Design and Construction/Maintenance,Authority Contract - Best Value,01/27/2009,08/01/2015,635323.41,109962.63,633163.28,2160.13,19,N,2,"Hoffmann Architects, Inc.",Suite 14C,1040 Ave of the Americas,New York,NY,10018,USA,"14C New
York, NY 10018"
12X283,T004932,DESIGN: Install Fiber Optic & Electronic Entrances - Various Buildings,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,11/19/2007,01/31/2014,52917.09,0.00,251821.09,-198904.00,0,N,0,"Lewis Engineering, P.C.",Suite 201,94 New Karner Road,Albany,NY,12203,USA,"201 Albany
NY 12203"
031027,T006474,CONSTR: Replace Turf and Track at Coyer Field - Turf Replacement,Active,Design and Construction/Maintenance,Authority Contract - Competitive Bid,01/29/2019,08/29/2020,1084130.00,0.00,1073930.00,10200.00,2,N,1,Occhino Corp,2650 Seneca Street,,West Seneca,NY,14224,USA,"2650 Seneca Street
West Seneca, NY 14224
(42.844651, -78.794528)"
231040,T006368,DESIGN: Replace Mechanical Systems Study - French Hall,Active,Design and Construction/Maintenance,Authority Contract - Best Value,01/17/2020,09/26/2020,57750.00,0.00,0.00,57750.00,0,Y,0,Pathfinder Engineers & Architects LLP,134 South Fitzhugh Street,,Rochester,NY,14608,USA,"134 South Fitzhugh Street
Rochester, NY 14608
(43.150511, -77.612233)"
10X340,T005748,CONSTR: Piez Hall Addition- Science Engineering and Technology,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,11/26/2010,03/31/2015,45395505.00,15763525.00,45395505.00,0.00,11,N,0,The Pike Company Inc,One Circle Street,,Rochester,NY,14607,USA,"One Circle Street
Rochester, NY 14607"
271037,T006353,DESIGN: Renovate Educational Opportunity Center - Syracuse,Active,Design and Construction/Maintenance,Authority Contract - Best Value,09/20/2019,09/25/2020,330575.00,0.00,147300.99,183274.01,0,Y,0,Chiang O'Brien Architects,Crescent Building,217 North Aurora Street,Ithaca,NY,14850,USA,
141011,T006438,DESIGN: Renovate Pharmacy UHB Basement,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,07/03/2019,10/04/2021,260.00,0.00,260.00,0.00,0,N,0,"Genesys Engineering, P.C.",38 Maiden Lane,,Kingston,NY,12401,USA,"38 Maiden Lane
Kingston, NY 12401
(41.931949, -74.014516)"
30XA80,T005526,DESIGN: Rehab Elevators Various Buildings,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,06/15/2009,06/03/2014,415058.45,98389.40,415058.45,0.00,13,N,2,"Architectural Resources, P.C.",505 Franklin Street,,Buffalo,NY,14202,USA,"505 Franklin Street
Buffalo, NY 14202
(42.900014, -78.872075)"
22X224,T005554,DESIGN: Student Leadership Center - Phase 2,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,09/03/2009,08/31/2016,2307785.96,317034.29,2307785.96,0.00,65,N,1,"William Rawn Associates, Architects, Inc.",Suite 1010,10 Post Office Square,Boston,MA,2109,USA,"1010 Boston
MA 02109"
251026,T006515,CONSTR: Renovate Farnsworth Hall-South/Thurston Surge Space,Active,Design and Construction/Maintenance,Authority Contract - Competitive Bid,07/26/2019,07/24/2021,2965461.00,0.00,1756097.00,1209364.00,1,N,0,Andrew R. Mancini Associates Inc.,129 Odell Avenue,,Endicott,NY,13760,USA,"129 Odell Avenue
Endicott, NY 13760
(42.110866, -76.049175)"
06X305,T005319,CONSTR: Renovation Of Greene Science Building No. 37,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,10/17/2007,03/31/2011,12693353.00,39731.00,12693353.00,0.00,5,N,0,"Christa Construction, LLC",119 Victor Heights Pkwy,,Victor,NY,14564,USA,"119 Victor Heights Pkwy
Victor, NY 14564
(42.996299, -77.444647)"
311000,T006106,DESIGN: Replace Roofs at Campus Center,Active,Design and Construction/Maintenance,Authority Contract - Best Value,07/29/2015,02/09/2022,320000.00,0.00,302988.42,17011.58,0,N,0,"Hoffmann Architects, Inc.",Suite 14C,1040 Ave of the Americas,New York,NY,10018,USA,"14C New
York, NY 10018"
08X7C2,T005956,CONSTR: Job Order Contracting Program - Albany,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,04/18/2012,11/20/2018,207394.00,0.00,207394.00,0.00,0,Y,0,"Cutting Edge Group, LLC",14 Walkup Cutoff Road,P.O. Box 733,Lake George,NY,12845,USA,"14 Walkup Cutoff Road
Lake George, NY 12845
(43.386894, -73.648077)"
021000,T006066,CONSTR: JOCs - Rochester Region,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,04/23/2015,02/11/2018,977964.00,0.00,977964.00,0.00,0,N,0,Sorensen Gross Construction Services,3407 torrey Road,,Flint,MI,48507,USA,"3407 torrey Road
Flint, MI 48507
(42.976689, -83.732564)"
02X7A3,T005631,CONSTR: JOCs - Rochester Region,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,12/18/2009,01/31/2018,110062.00,104559.00,110062.00,0.00,0,N,0,Sorensen Gross Construction Services,3407 torrey Road,,Flint,MI,48507,USA,"3407 torrey Road
Flint, MI 48507
(42.976689, -83.732564)"
09X407,T006084,CONSTR: Upgrade Water Lines & Metering - Various Buildings 09415,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,07/23/2014,03/06/2016,918794.00,0.00,918794.00,0.00,3,Y,1,"Wilkins Mechanical, Inc.",6923 Herman Road,,Syracuse,NY,13209,USA,"6923 Herman Road
Syracuse, NY 13209
(43.104671, -76.290603)"
11X304,T005656,CONSTR: Fine Arts Ventilation Upgrades,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,03/15/2010,09/05/2012,4701170.00,289654.00,4701170.00,0.00,4,N,0,"Northland Associates, Incorporated",4701 Buckley Road,P.O. Box 2549,Liverpool,NY,13220,USA,"4701 Buckley Road
Liverpool, NY 13220"
14X468,T005264,CONSTR: Replace Fuel Tanks,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,04/11/2007,03/31/2013,3157017.00,0.00,3157017.00,0.00,4,N,0,James McCullagh Co. Inc.,75 East Bethpage Road,P. O. Box 380,Plainview,NY,11803,USA,"75 East Bethpage Road
Plainview, NY 11803
(40.781658, -73.455887)"
09X327,T005511,CONSTR: Replace  Hunt  Union  Cooling Tower ,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,03/26/2009,06/15/2011,199761.00,0.00,199761.00,0.00,6,N,0,"All State Construction, Inc.",449 Cooke Street,P. O. Box 805,Farmington,CT,6032,USA,"449 Cooke Street
Farmington, CT 06032
(41.693102, -72.844386)"
21X818,T005854,DESIGN: Water and Gas Study,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,11/19/2012,05/09/2015,81675.00,0.00,81675.00,0.00,0,N,0,Cannon Design Architecture & Enginering,2170 Whitehaven Road,,Grand Island,NY,14072,USA,"2170 Whitehaven Road
Grand Island, NY 14072
(43.021579, -78.972935)"
03X316,T005144,"CONSTR: Masonry Restoration, Various Buildings Phase I",Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,05/01/2006,08/31/2010,5718019.00,0.00,5718019.00,0.00,3,N,0,Thomas Johnson Inc.,3566 North Buffalo Road,,Orchard Park,NY,14127,USA,"3566 North Buffalo Road
Orchard Park, NY 14127
(42.786802, -78.74985)"
221018,T006368,DESIGN: Upgrade HVAC Huntington Administration,Active,Design and Construction/Maintenance,Authority Contract - Best Value,01/05/2018,09/26/2020,363437.00,0.00,324066.98,39370.02,0,Y,0,Pathfinder Engineers & Architects LLP,134 South Fitzhugh Street,,Rochester,NY,14608,USA,"134 South Fitzhugh Street
Rochester, NY 14608
(43.150511, -77.612233)"
13XB69,T005438,DESIGN: Rehab Old Chem Classroom Bldg #02,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,02/13/2009,12/22/2014,2261562.84,423907.80,2261562.84,0.00,17,N,2,Ewing Cole,100 North 6th Street,,Philadelphia,PA,19106,USA,"100 North 6th Street
Philadelphia, PA 19106
(39.953577, -75.149757)"
07XA12,T005211,DESIGN: Site Utility Upgrades - Elect Var Bldgs Distrubution System,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,01/03/2007,06/14/2012,796649.04,37992.89,735986.58,60662.46,5,N,0,Stantec Consulting Services Inc.,13980 Collections Center,,Chicago,IL,60693,USA,"13980 Collections Center
Chicago, IL 60693"
031008,T006265,DESIGN: Selective Renovations - Butler Library,Active,Design and Construction/Maintenance,Authority Contract - Best Value,08/12/2016,09/16/2021,2010881.00,0.00,1632148.02,378732.98,23,N,2,"Architectural Resources, P.C.",505 Franklin Street,,Buffalo,NY,14202,USA,"505 Franklin Street
Buffalo, NY 14202
(42.900014, -78.872075)"
12X334,T005458,DESIGN: Performing Arts Building,Active,Design and Construction/Maintenance,Authority Contract - Best Value,02/13/2009,10/15/2016,4356203.00,637408.44,4223648.20,132554.80,32,N,0,"Pfeiffer Partners Architects, Inc.",183 Centre Street,3rd Floor,New York,NY,10013,USA,"183 Centre Street
New York, NY 10013
(40.71849, -73.99958)"
02X361,T005196,DESIGN: Commissioning - REOC,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,12/21/2009,08/21/2018,69621.99,14128.00,69621.99,0.00,0,N,0,"C.J. Brown Energy & Engineering, P.C.",Suite 204,4245 Union Road,Buffalo,NY,14225,USA,"204 Buffalo
NY 14225"
