Reporting Area,MMWR Year,MMWR Week,"Gonorrhea, Current week","Gonorrhea, Current week, flag","Gonorrhea, Previous 52 weeks Max†","Gonorrhea, Previous 52 weeks Max†, flag","Gonorrhea, Cum 2020†","Gonorrhea, Cum 2020†, flag","Gonorrhea, Cum 2019†","Gonorrhea, Cum 2019†, flag","Haemophilus influenza, invasive disease, All ages, all serotypes, Current week","Haemophilus influenza, invasive disease, All ages, all serotypes, Current week, flag","Haemophilus influenza, invasive disease, All ages, all serotypes, Previous 52 weeks Max†","Haemophilus influenza, invasive disease, All ages, all serotypes, Previous 52 weeks Max†, flag","Haemophilus influenza, invasive disease, All ages, all serotypes, Cum 2020†","Haemophilus influenza, invasive disease, All ages, all serotypes, Cum 2020†, flag","Haemophilus influenza, invasive disease, All ages, all serotypes, Cum 2019†","Haemophilus influenza, invasive disease, All ages, all serotypes, Cum 2019†, flag","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Current week","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Current week, flag","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Previous 52 weeks Max†","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Previous 52 weeks Max†, flag","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Cum 2020†","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Cum 2020†, flag","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Cum 2019†","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
WEST SOUTH CENTRAL,2020,6,114,,1292,,2863,,6991,,16,,42,,76,,69,,,-,1,,,-,1,,,WEST SOUTH CENTRAL,20200643,
MASSACHUSETTS,2020,4,,-,192,,452,,627,,,-,7,,,-,10,,,-,0,,,-,,-,MASSACHUSETTS,,20200405,POINT (-71.481104 42.151077)
MIDDLE ATLANTIC,2020,4,955,,1539,,4876,,4814,,3,,24,,50,,63,,,-,1,,,-,,-,,MIDDLE ATLANTIC,20200409,
NEW YORK CITY,2020,4,312,,717,,2114,,2209,,,-,8,,8,,8,,,-,0,,,-,,-,,NEW YORK CITY,20200412,
INDIANA,2020,4,27,,310,,524,,803,,,-,8,,6,,18,,,-,1,,,-,,-,INDIANA,,20200416,POINT (-86.2818 39.919991)
MICHIGAN,2020,4,38,,462,,390,,1414,,,-,8,,10,,12,,,-,0,,,-,,-,MICHIGAN,,20200417,POINT (-85.730977 44.874798)
WISCONSIN,2020,4,114,,246,,606,,629,,,-,4,,3,,12,,,-,1,,,-,,-,WISCONSIN,,20200419,POINT (-89.732969 44.639954)
WEST NORTH CENTRAL,2020,4,277,,860,,1473,,3232,,2,,12,,15,,27,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200420,
MISSOURI,2020,4,231,,379,,1110,,1185,,,-,7,,8,,18,,,-,0,,,-,,-,MISSOURI,,20200424,POINT (-92.477244 38.3675)
SOUTH DAKOTA,2020,4,,-,57,,2,,161,,,-,2,,,-,3,,,-,0,,,-,,-,SOUTH DAKOTA,,20200427,POINT (-100.230491 44.43614)
FLORIDA,2020,4,395,,896,,2072,,2148,,7,,26,,38,,28,,,-,0,,,-,,-,FLORIDA,,20200431,POINT (-82.420978 28.260731)
GEORGIA,2020,4,137,,503,,869,,1782,,,-,10,,6,,28,,,-,0,,,-,,-,GEORGIA,,20200432,POINT (-83.426574 32.638481)
WEST VIRGINIA,2020,4,11,,146,,146,,100,,,-,4,,1,,6,,,-,0,,,-,,-,WEST VIRGINIA,,20200437,POINT (-80.613729 38.642579)
MISSISSIPPI,2020,4,114,,311,,680,,959,,1,,5,,5,,8,,,-,1,,,-,,-,MISSISSIPPI,,20200441,POINT (-89.65344 32.713378)
ARKANSAS,2020,4,1,,147,,36,,562,,3,,8,,9,,4,,,-,0,,,-,,-,ARKANSAS,,20200444,POINT (-92.439162 34.899825)
MOUNTAIN,2020,4,303,,956,,1700,,2997,,6,,20,,47,,55,,,-,1,,,-,,-,,MOUNTAIN,20200448,
IDAHO,2020,4,11,,52,,32,,100,,,-,3,,3,,6,,,-,0,,,-,,-,IDAHO,,20200451,POINT (-114.659366 44.389073)
MONTANA,2020,4,15,,57,,112,,99,,,-,4,,,-,3,,,-,0,,,-,,-,MONTANA,,20200452,POINT (-109.645127 47.033521)
WYOMING,2020,4,1,,16,,14,,29,,,-,2,,,-,,-,,-,0,,,-,,-,WYOMING,,20200456,POINT (-107.55145 42.999627)
CALIFORNIA,2020,4,151,,1751,,4786,,6272,,,-,5,,2,,1,,,-,0,,,-,,-,CALIFORNIA,,20200459,POINT (-119.662127 37.211164)
US TERRITORIES,2020,4,,-,17,,1,,34,,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200463,
AMERICAN SAMOA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200464,
TOTAL,2020,5,3342,,12224,,35752,,55913,,49,,148,,463,,608,,,-,3,,1,,1,,,TOTAL,20200570,
US RESIDENTS,2020,5,3342,,12214,,35751,,55867,,49,,148,,463,,608,,,-,3,,1,,1,,,US RESIDENTS,20200501,
NEW HAMPSHIRE,2020,5,5,,20,,27,,65,,,-,3,,,-,5,,,-,0,,,-,,-,NEW HAMPSHIRE,,20200506,POINT (-71.57139 43.680429)
NEW YORK,2020,5,288,,517,,1064,,757,,4,,19,,16,,19,,,-,1,,,-,,-,NEW YORK,,20200511,POINT (-75.59655 42.921241)
NEBRASKA,2020,5,,-,81,,107,,283,,1,,3,,9,,4,,,-,0,,,-,,-,NEBRASKA,,20200525,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,5,1,,43,,67,,160,,,-,2,,,-,2,,,-,0,,,-,,-,NORTH DAKOTA,,20200526,POINT (-100.46931 47.446305)
ILLINOIS,2020,5,35,,623,,485,,2512,,,-,11,,14,,25,,,-,0,,,-,,-,ILLINOIS,,20200515,POINT (-89.148632 40.124144)
IOWA,2020,5,30,,130,,402,,549,,,-,1,,,-,,-,,-,0,,,-,,-,IOWA,,20200521,POINT (-93.500061 42.074659)
TEXAS,2020,5,31,,806,,893,,3044,,4,,31,,26,,30,,,-,1,,,-,1,,TEXAS,,20200547,POINT (-99.317341 31.447238)
ALASKA,2020,5,,-,59,,,-,222,,,-,3,,,-,1,,,-,1,,,-,,-,ALASKA,,20200558,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,5,2,,111,,360,,497,,,-,1,,,-,2,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200530,POINT (-77.016275 38.904785)
WASHINGTON,2020,5,155,,321,,769,,1119,,,-,2,,1,,2,,,-,0,,,-,,-,WASHINGTON,,20200562,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,5,155,,362,,904,,1352,,,-,11,,27,,33,,,-,0,,,-,,-,,NEW ENGLAND,20200502,
RHODE ISLAND,2020,5,15,,80,,67,,16,,,-,4,,,-,3,,,-,0,,,-,,-,RHODE ISLAND,,20200507,POINT (-71.534637 41.572574)
OREGON,2020,5,146,,165,,654,,513,,1,,6,,14,,11,,,-,0,,,-,,-,OREGON,,20200561,POINT (-120.605279 43.940449)
DELAWARE,2020,5,,-,59,,,-,196,,,-,3,,,-,3,,,-,0,,,-,,-,DELAWARE,,20200529,POINT (-75.452394 38.994926)
ALABAMA,2020,5,235,,377,,983,,1351,,,-,6,,8,,13,,,-,0,,,-,,-,ALABAMA,,20200539,POINT (-86.844516 32.756889)
KENTUCKY,2020,5,,-,259,,57,,329,,,-,9,,15,,8,,,-,1,,1,,,-,KENTUCKY,,20200540,POINT (-85.290484 37.526683)
PUERTO RICO,2020,5,,-,17,,1,,46,,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200567,POINT (-66.414655 18.215692)
MAINE,2020,5,,-,27,,30,,63,,,-,4,,2,,3,,,-,0,,,-,,-,MAINE,,20200504,POINT (-69.06137 45.117911)
VIRGINIA,2020,5,289,,353,,1417,,1255,,,-,9,,12,,15,,,-,0,,,-,,-,VIRGINIA,,20200536,POINT (-78.666382 37.510861)
ARIZONA,2020,5,34,,359,,816,,1367,,3,,9,,25,,23,,,-,1,,,-,,-,ARIZONA,,20200549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200564,
WISCONSIN,2020,5,133,,246,,793,,769,,,-,4,,3,,14,,,-,1,,,-,,-,WISCONSIN,,20200519,POINT (-89.732969 44.639954)
IDAHO,2020,5,1,,52,,33,,131,,,-,3,,3,,6,,,-,0,,,-,,-,IDAHO,,20200551,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,5,,-,0,,,-,,-,,N,,NC,,N,,N,,-,0,,,-,,-,VIRGIN ISLANDS,,20200568,POINT (-64.840836 18.060868)
MICHIGAN,2020,5,56,,462,,634,,1719,,1,,8,,14,,16,,,-,0,,,-,,-,MICHIGAN,,20200517,POINT (-85.730977 44.874798)
GEORGIA,2020,5,132,,503,,1194,,2158,,,-,10,,6,,35,,,-,0,,,-,,-,GEORGIA,,20200532,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,5,,-,716,,2114,,2754,,5,,8,,13,,9,,,-,0,,,-,,-,,NEW YORK CITY,20200512,
ARKANSAS,2020,5,,-,147,,46,,705,,2,,8,,11,,4,,,-,0,,,-,,-,ARKANSAS,,20200544,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,5,17,,311,,899,,1151,,,-,5,,5,,8,,,-,1,,,-,,-,MISSISSIPPI,,20200541,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,5,,-,57,,2,,195,,,-,2,,,-,3,,,-,0,,,-,,-,SOUTH DAKOTA,,20200527,POINT (-100.230491 44.43614)
WYOMING,2020,5,2,,16,,18,,38,,,-,2,,,-,,-,,-,0,,,-,,-,WYOMING,,20200556,POINT (-107.55145 42.999627)
MISSOURI,2020,5,,-,379,,1110,,1502,,,-,7,,8,,24,,,-,0,,,-,,-,MISSOURI,,20200524,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,5,692,,1540,,5736,,5999,,11,,24,,65,,76,,,-,1,,,-,,-,,MIDDLE ATLANTIC,20200509,
CALIFORNIA,2020,5,185,,1791,,6376,,7985,,,-,5,,2,,1,,,-,0,,,-,,-,CALIFORNIA,,20200559,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,5,14,,146,,173,,141,,,-,4,,1,,7,,,-,0,,,-,,-,WEST VIRGINIA,,20200537,POINT (-80.613729 38.642579)
FLORIDA,2020,5,506,,896,,2912,,2874,,10,,26,,48,,33,,,-,0,,,-,,-,FLORIDA,,20200531,POINT (-82.420978 28.260731)
MONTANA,2020,5,20,,57,,163,,124,,,-,4,,,-,5,,,-,0,,,-,,-,MONTANA,,20200552,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,5,47,,842,,2295,,4010,,1,,12,,17,,34,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200520,
MASSACHUSETTS,2020,5,135,,201,,768,,789,,,-,7,,20,,11,,,-,0,,,-,,-,MASSACHUSETTS,,20200505,POINT (-71.481104 42.151077)
MOUNTAIN,2020,5,76,,956,,2111,,3770,,4,,20,,52,,75,,,-,1,,,-,,-,,MOUNTAIN,20200548,
INDIANA,2020,5,75,,312,,901,,1019,,,-,8,,8,,20,,,-,1,,,-,,-,INDIANA,,20200516,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200569,
US TERRITORIES,2020,5,,-,17,,1,,46,,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200563,
NEBRASKA,2020,6,38,,79,,235,,335,,1,,3,,10,,5,,,-,0,,,-,,-,NEBRASKA,,20200625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,6,16,,1232,,2969,,5223,,4,,23,,65,,65,,,-,1,,1,,,-,,EAST SOUTH CENTRAL,20200638,
NORTH DAKOTA,2020,6,5,,39,,91,,195,,,-,2,,,-,3,,,-,0,,,-,,-,NORTH DAKOTA,,20200626,POINT (-100.46931 47.446305)
NEVADA,2020,6,,-,158,,,-,710,,,-,4,,2,,9,,,-,0,,,-,,-,NEVADA,,20200653,POINT (-114.916992 39.283294)
ILLINOIS,2020,6,34,,631,,719,,3041,,,-,11,,18,,27,,,-,0,,,-,,-,ILLINOIS,,20200615,POINT (-89.148632 40.124144)
IOWA,2020,6,31,,130,,539,,649,,,-,1,,,-,,-,,-,0,,,-,,-,IOWA,,20200621,POINT (-93.500061 42.074659)
TEXAS,2020,6,,-,806,,893,,3850,,10,,32,,42,,39,,,-,1,,,-,1,,TEXAS,,20200647,POINT (-99.317341 31.447238)
ALASKA,2020,6,,-,59,,,-,257,,,-,3,,,-,2,,,-,1,,,-,,-,ALASKA,,20200658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,6,25,,112,,512,,586,,,-,1,,,-,2,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200630,POINT (-77.016275 38.904785)
WASHINGTON,2020,6,221,,321,,990,,1346,,,-,2,,1,,2,,,-,0,,,-,,-,WASHINGTON,,20200662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,6,6,,363,,926,,1611,,1,,11,,29,,40,,,-,0,,,-,,-,,NEW ENGLAND,20200602,
RHODE ISLAND,2020,6,3,,81,,70,,28,,,-,4,,,-,4,,,-,0,,,-,,-,RHODE ISLAND,,20200607,POINT (-71.534637 41.572574)
OREGON,2020,6,85,,156,,702,,628,,2,,7,,19,,15,,,-,0,,,-,,-,OREGON,,20200661,POINT (-120.605279 43.940449)
DELAWARE,2020,6,26,,59,,176,,233,,,-,3,,,-,3,,,-,0,,,-,,-,DELAWARE,,20200629,POINT (-75.452394 38.994926)
ALABAMA,2020,6,,-,377,,983,,1608,,,-,7,,16,,16,,,-,0,,,-,,-,ALABAMA,,20200639,POINT (-86.844516 32.756889)
MIDDLE ATLANTIC,2020,6,1029,,1544,,7490,,7182,,9,,24,,81,,97,,,-,1,,,-,,-,,MIDDLE ATLANTIC,20200609,
CALIFORNIA,2020,6,148,,1810,,7972,,9474,,,-,5,,2,,2,,,-,0,,,-,,-,CALIFORNIA,,20200659,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,6,31,,146,,238,,195,,,-,4,,4,,7,,,-,0,,,-,,-,WEST VIRGINIA,,20200637,POINT (-80.613729 38.642579)
FLORIDA,2020,6,425,,897,,3640,,3538,,8,,26,,56,,36,,,-,0,,,-,,-,FLORIDA,,20200631,POINT (-82.420978 28.260731)
MONTANA,2020,6,,-,57,,163,,151,,,-,4,,,-,5,,,-,0,,,-,,-,MONTANA,,20200652,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,6,299,,819,,3123,,4744,,3,,12,,24,,37,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200620,
MASSACHUSETTS,2020,6,,-,201,,768,,948,,,-,7,,20,,14,,,-,0,,,-,,-,MASSACHUSETTS,,20200605,POINT (-71.481104 42.151077)
MOUNTAIN,2020,6,273,,957,,3007,,4607,,1,,20,,56,,85,,,-,1,,,-,,-,,MOUNTAIN,20200648,
INDIANA,2020,6,103,,312,,1170,,1245,,,-,8,,10,,23,,,-,1,,,-,,-,INDIANA,,20200616,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,6,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200669,
US TERRITORIES,2020,6,,-,17,,1,,60,,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200663,
TOTAL,2020,8,3212,,12428,,62574,,89342,,48,,169,,831,,959,,,-,3,,2,,1,,,TOTAL,20200870,
WEST VIRGINIA,2020,8,28,,146,,301,,301,,,-,4,,6,,11,,,-,0,,,-,,-,WEST VIRGINIA,,20200837,POINT (-80.613729 38.642579)
FLORIDA,2020,8,436,,898,,5104,,4862,,7,,26,,74,,53,,,-,0,,,-,,-,FLORIDA,,20200831,POINT (-82.420978 28.260731)
MONTANA,2020,8,16,,57,,252,,206,,,-,4,,,-,7,,,-,0,,,-,,-,MONTANA,,20200852,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,8,318,,818,,4388,,6115,,2,,12,,30,,53,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200820,
MASSACHUSETTS,2020,8,,-,201,,768,,1242,,,-,7,,31,,16,,,-,0,,,-,,-,MASSACHUSETTS,,20200805,POINT (-71.481104 42.151077)
MOUNTAIN,2020,8,280,,1078,,4932,,6893,,5,,19,,77,,111,,,-,1,,,-,,-,,MOUNTAIN,20200848,
INDIANA,2020,8,63,,312,,1567,,1654,,,-,8,,13,,29,,,-,1,,,-,,-,INDIANA,,20200816,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,8,,-,1,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200869,
US TERRITORIES,2020,8,,-,17,,1,,76,,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200863,
TOTAL,2020,10,3036,,12558,,80747,,114798,,54,,176,,1047,,1199,,,-,3,,3,,1,,,TOTAL,20201070,
U.S. VIRGIN ISLANDS,2020,10,,-,0,,,-,,-,,N,,NC,,N,,N,,-,0,,,-,,-,VIRGIN ISLANDS,,20201068,POINT (-64.840836 18.060868)
WEST VIRGINIA,2020,10,4,,146,,359,,360,,,-,4,,7,,12,,,-,0,,,-,,-,WEST VIRGINIA,,20201037,POINT (-80.613729 38.642579)
FLORIDA,2020,10,,-,898,,5856,,6151,,9,,26,,95,,68,,,-,0,,,-,,-,FLORIDA,,20201031,POINT (-82.420978 28.260731)
MONTANA,2020,10,17,,57,,307,,261,,,-,4,,2,,8,,,-,0,,,-,,-,MONTANA,,20201052,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,10,215,,818,,5530,,7558,,3,,12,,43,,66,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20201020,
MASSACHUSETTS,2020,10,,-,201,,768,,1500,,,-,7,,31,,21,,,-,0,,,-,,-,MASSACHUSETTS,,20201005,POINT (-71.481104 42.151077)
MOUNTAIN,2020,10,251,,1079,,6476,,8557,,8,,19,,99,,135,,,-,1,,,-,,-,,MOUNTAIN,20201048,
INDIANA,2020,10,70,,313,,2046,,2082,,,-,8,,17,,37,,,-,1,,,-,,-,INDIANA,,20201016,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,10,,-,0,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20201069,
US TERRITORIES,2020,10,,-,17,,4,,106,,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201063,
TOTAL,2020,16,2990,,12545,,134786,,175502,,9,,182,,1461,,1987,,,-,3,,3,,8,,,TOTAL,20201670,
U.S. VIRGIN ISLANDS,2020,16,,-,0,,,-,,-,,N,,NC,,N,,N,,-,0,,,-,,-,VIRGIN ISLANDS,,20201668,POINT (-64.840836 18.060868)
NON-US RESIDENTS,2020,16,,-,0,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20201669,
US RESIDENTS,2020,11,3381,,12577,,92715,,125282,,64,,176,,1148,,1350,,,-,3,,3,,4,,,US RESIDENTS,20201101,
NEW ENGLAND,2020,7,20,,363,,975,,1850,,1,,11,,31,,43,,,-,0,,,-,,-,,NEW ENGLAND,20200702,
US RESIDENTS,2020,9,2824,,12434,,71986,,104103,,46,,173,,943,,1083,,,-,3,,2,,1,,,US RESIDENTS,20200901,
NEW HAMPSHIRE,2020,11,4,,15,,69,,110,,,-,3,,7,,8,,,-,0,,,-,,-,NEW HAMPSHIRE,,20201106,POINT (-71.57139 43.680429)
NEW ENGLAND,2020,11,11,,374,,1824,,2904,,,-,11,,59,,68,,,-,0,,,-,,-,,NEW ENGLAND,20201102,
US RESIDENTS,2020,8,3212,,12416,,62573,,89264,,48,,169,,831,,959,,,-,3,,2,,1,,,US RESIDENTS,20200801,
NEW HAMPSHIRE,2020,8,7,,15,,52,,80,,,-,3,,1,,6,,,-,0,,,-,,-,NEW HAMPSHIRE,,20200806,POINT (-71.57139 43.680429)
NEW YORK,2020,8,269,,525,,1933,,1359,,1,,19,,32,,38,,,-,1,,,-,,-,NEW YORK,,20200811,POINT (-75.59655 42.921241)
PACIFIC,2020,8,319,,2211,,13189,,15628,,,-,10,,27,,35,,,-,1,,,-,,-,,PACIFIC,20200857,
WEST SOUTH CENTRAL,2020,8,123,,1100,,4332,,8859,,12,,47,,140,,95,,,-,1,,1,,1,,,WEST SOUTH CENTRAL,20200843,
NEBRASKA,2020,8,34,,81,,395,,412,,1,,3,,13,,6,,,-,0,,,-,,-,NEBRASKA,,20200825,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,8,120,,1232,,3838,,6804,,,-,24,,82,,90,,,-,1,,1,,,-,,EAST SOUTH CENTRAL,20200838,
NORTH DAKOTA,2020,8,,-,39,,131,,268,,1,,2,,2,,5,,,-,0,,,-,,-,NORTH DAKOTA,,20200826,POINT (-100.46931 47.446305)
NEVADA,2020,8,72,,278,,761,,1714,,,-,3,,2,,12,,,-,0,,,-,,-,NEVADA,,20200853,POINT (-114.916992 39.283294)
ILLINOIS,2020,8,42,,676,,1261,,4227,,,-,11,,24,,38,,,-,0,,,-,,-,ILLINOIS,,20200815,POINT (-89.148632 40.124144)
IOWA,2020,8,16,,130,,743,,864,,,-,1,,,-,,-,,-,0,,,-,,-,IOWA,,20200821,POINT (-93.500061 42.074659)
TEXAS,2020,8,96,,581,,1787,,4718,,6,,37,,72,,58,,,-,1,,,-,1,,TEXAS,,20200847,POINT (-99.317341 31.447238)
ALASKA,2020,8,,-,59,,,-,333,,,-,3,,,-,2,,,-,1,,,-,,-,ALASKA,,20200858,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,8,2,,119,,709,,756,,,-,1,,1,,3,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200830,POINT (-77.016275 38.904785)
WASHINGTON,2020,8,121,,321,,1305,,1744,,,-,2,,1,,2,,,-,0,,,-,,-,WASHINGTON,,20200862,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,8,8,,363,,1003,,2100,,1,,11,,45,,50,,,-,0,,,-,,-,,NEW ENGLAND,20200802,
RHODE ISLAND,2020,8,,-,81,,100,,53,,1,,4,,2,,8,,,-,0,,,-,,-,RHODE ISLAND,,20200807,POINT (-71.534637 41.572574)
OREGON,2020,8,114,,157,,950,,856,,,-,7,,19,,17,,,-,0,,,-,,-,OREGON,,20200861,POINT (-120.605279 43.940449)
DELAWARE,2020,8,29,,59,,238,,324,,,-,3,,,-,3,,,-,0,,,-,,-,DELAWARE,,20200829,POINT (-75.452394 38.994926)
ALABAMA,2020,8,,-,377,,983,,2174,,,-,7,,18,,21,,,-,0,,,-,,-,ALABAMA,,20200839,POINT (-86.844516 32.756889)
KANSAS,2020,8,,-,120,,,-,795,,,-,2,,,-,,-,,-,0,,,-,,-,KANSAS,,20200822,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,8,,-,573,,,-,4005,,,-,11,,25,,33,,,-,0,,,-,,-,NORTH CAROLINA,,20200834,POINT (-79.130883 35.52603)
NEW JERSEY,2020,8,111,,252,,1499,,1425,,,-,6,,9,,21,,,-,0,,,-,,-,NEW JERSEY,,20200810,POINT (-74.655514 40.110253)
NEW MEXICO,2020,8,8,,123,,411,,792,,,-,5,,12,,13,,,-,0,,,-,,-,NEW MEXICO,,20200854,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,8,256,,2126,,8883,,13751,,7,,37,,137,,166,,,-,2,,,-,,-,,EAST NORTH CENTRAL,20200814,
TENNESSEE,2020,8,120,,393,,1671,,2449,,,-,10,,35,,42,,,-,0,,,-,,-,TENNESSEE,,20200842,POINT (-86.343226 35.842998)
CONNECTICUT,2020,8,,-,111,,,-,630,,,-,3,,3,,12,,,-,0,,,-,,-,CONNECTICUT,,20200803,POINT (-72.738288 41.575155)
MARYLAND,2020,8,19,,289,,1020,,1498,,2,,6,,22,,24,,,-,1,,,-,,-,MARYLAND,,20200833,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,8,,-,357,,,-,2356,,,-,8,,12,,23,,,-,0,,,-,,-,SOUTH CAROLINA,,20200835,POINT (-80.864614 33.878572)
OKLAHOMA,2020,8,27,,229,,830,,1168,,4,,5,,27,,13,,,-,0,,,-,,-,OKLAHOMA,,20200846,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200865,POINT (145.725693 15.1834)
OHIO,2020,8,,-,598,,3279,,3974,,7,,16,,66,,56,,,-,1,,,-,,-,OHIO,,20200818,POINT (-82.70936 40.415534)
MINNESOTA,2020,8,15,,212,,1235,,1124,,,-,6,,,-,1,,,-,0,,,-,,-,MINNESOTA,,20200823,POINT (-94.198308 46.349153)
LOUISIANA,2020,8,,-,316,,1657,,1878,,1,,7,,26,,17,,,-,1,,1,,,-,LOUISIANA,,20200845,POINT (-91.840238 30.921314)
HAWAII,2020,8,,-,40,,,-,260,,,-,3,,2,,6,,,-,0,,,-,,-,HAWAII,,20200860,POINT (-157.854309 21.361013)
TOTAL,2020,7,3130,,12389,,53944,,78734,,62,,166,,705,,833,,,-,3,,1,,1,,,TOTAL,20200770,
US RESIDENTS,2020,7,3130,,12379,,53943,,78661,,62,,166,,705,,833,,,-,3,,1,,1,,,US RESIDENTS,20200701,
NEW HAMPSHIRE,2020,7,3,,15,,42,,78,,,-,3,,1,,6,,,-,0,,,-,,-,NEW HAMPSHIRE,,20200706,POINT (-71.57139 43.680429)
NEW YORK,2020,7,336,,523,,1666,,1172,,9,,20,,31,,32,,,-,1,,,-,,-,NEW YORK,,20200711,POINT (-75.59655 42.921241)
PACIFIC,2020,7,422,,2211,,11599,,13800,,,-,10,,25,,33,,,-,1,,,-,,-,,PACIFIC,20200757,
WEST SOUTH CENTRAL,2020,7,131,,1292,,3303,,7896,,8,,43,,90,,82,,,-,1,,,-,1,,,WEST SOUTH CENTRAL,20200743,
NEBRASKA,2020,7,28,,79,,302,,378,,2,,3,,12,,6,,,-,0,,,-,,-,NEBRASKA,,20200725,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,7,3,,1232,,3556,,6047,,3,,24,,79,,79,,,-,1,,1,,,-,,EAST SOUTH CENTRAL,20200738,
NORTH DAKOTA,2020,7,,-,39,,110,,229,,,-,2,,,-,5,,,-,0,,,-,,-,NORTH DAKOTA,,20200726,POINT (-100.46931 47.446305)
NEVADA,2020,7,60,,278,,649,,1575,,,-,3,,2,,11,,,-,0,,,-,,-,NEVADA,,20200753,POINT (-114.916992 39.283294)
ILLINOIS,2020,7,24,,634,,999,,3596,,,-,11,,21,,31,,,-,0,,,-,,-,ILLINOIS,,20200715,POINT (-89.148632 40.124144)
IOWA,2020,7,19,,130,,642,,762,,,-,1,,,-,,-,,-,0,,,-,,-,IOWA,,20200721,POINT (-93.500061 42.074659)
TEXAS,2020,7,,-,806,,893,,4265,,1,,33,,49,,48,,,-,1,,,-,1,,TEXAS,,20200747,POINT (-99.317341 31.447238)
ALASKA,2020,7,,-,59,,,-,294,,,-,3,,,-,2,,,-,1,,,-,,-,ALASKA,,20200758,POINT (-151.631889 63.631126)
