PEPID,Inspection ID,Observation,Comments
23862,104072,Smoking/cigarette butts inside park,Persons smoking on benches adj BBCT & sprinkler areas
23861,104072,Homeless persons present,Homeless people using sprinkler to shower and wash clothing & sleeping on benches adj sprinkler.
23866,104073,Smoking/cigarette butts inside park,Persons smoking within plgd boundries
23864,104073,Homeless (or other) encampment,possible encampmernt along 28 st E/o 10 av
23863,104073,Homeless persons present,Many homeless persons scattered throughout plgd.
23847,104010,Full or partial closure with no signage,Plgd locked @ time of inspection.
23848,104015,Play equipment old/deteriorated,"Entire BBCT area cracked, faded and not well maintained."
23849,104026,Comfort station in generally poor condition,Foul odor and dingy appearance in both rooms.
23853,104032,Homeless persons present,A couple of homeless persons present. Sleeping on benches with luggages beside them.
23852,104036,Smoking/cigarette butts inside park,Patron smoking inside playground.
23850,104037,Homeless persons present,several drunk men sleeping on benches and ground.
23851,104040,Areas/equipment being used other than intended,several boys riding their bicycles around the plgd
23844,103989,Drug use,Construction workers smoking pot on interior path above 5th Av btw 87th & 88th Sts.
23845,103992,Homeless persons present,Homeless person sleeping on bench adj flagpole.
23846,103995,Public urination/defecation,Public defecation on lawn adjacent parking lot north of museum.
23842,103982,Unleashed dogs,In gravel parking lot & on south soccer field.
23841,103982,Drug use,Storage container in gravel parking closer to south ballfied entrance being used as drug den.
23843,103983,Homeless persons present,Sleeping on benches @ C&CTs.
23838,103971,Drainage issues/standing water,Large pool of standing (non-fetid) water adj drinking fountain.
23840,103978,Drainage issues/standing water,Standing water along Metropolitan Avenue.
23836,103937,Drainage issues/standing water,Uneven concrete at end of pier.
23832,103939,Drainage issues/standing water,Small pool and standing fetid water in MPPA near BBCT.
23831,103939,Public urination/defecation,Summer camp group urinating behind closed comfort station at behest of camp supervisors.
23830,103939,Homeless (or other) encampment,Homeless person with large number of personal effects at c+c tables.
23839,103945,Unsightly paint or repair,"J-Swing poorly repaired with duct tape.  Tape is messy, fraying, and still hazardous- metal is still protruding."
23833,103945,Unleashed dogs,Unleashed dog in HBCT.
23834,103947,Homeless persons present,Homeless men in the back of plgd adj CS
23835,103962,Homeless persons present,Covered bench adj Hillside Av.
23829,103929,Unsightly paint or repair,Graffiti cover on rock outcroppings throughout zone.
23823,103888,Other enforcement issues,During inspcetion NYPD removed 2 male patrons from plgd for not being accompanied by children.
23822,103891,Unsightly paint or repair,Graffiti cover throughout park.
23821,103894,Drug use,Young men smoking pot on BBCT.
23825,103916,Unleashed dogs,several unleashed dogs
23824,103916,Homeless persons present,One homeless man w a lot of stuff
23828,103920,Areas/equipment being used other than intended,Basketballl backboard on site
23814,103865,Alcohol use,Patrons drinking in plain sight adj plgd closest to school.
23813,103865,Unleashed dogs,Multiple unleashed dogs on lawn.
23818,103868,Homeless persons present,Multiple patrons sleeping on benches with personal effects nearby.
23817,103868,Alcohol use,Multiple patrons openly consuming alcohol on site.
23816,103868,Other patron complaints or suggestions,Several patrons complain of large rodent population in open lamppost and hollow trees on south side of East Tremont Ave.
23815,103868,Other patron complaints or suggestions,"Several patrons complain of people tripping and falling on uneven sidewalk along south side of East Tremont Ave (no sections were >1.5"")."
23820,103871,Homeless persons present,Multiple patrons sleeping on benches with personal effects nearby.
23819,103871,Alcohol use,Multiple patrons openly consuming alcohol on site.
23811,103847,Drainage issues/standing water,Clogged drain (leak ?) from Emmerson Plgd adj KSWGs running through the entire Zn01 & into Zn02.
23812,103848,Other staff complaints or suggestions,"Head community gardener requests additional English Oak trees be planted in available land, not London Planetrees."
23806,103796,Homeless persons present,Sleeping on bench at the circular area at the north end.
23809,103801,Other patron complaints or suggestions,A patron complained that the lanscape structure canoe gets flooded when it rains because the drain is clogged.This creates a possible drowning hazard within the canoe for small children.
23807,103802,Unsightly paint or repair,Graffiti cover throughout park.
23808,103805,Homeless persons present,Homeless man sleeping on bench
23810,103842,Homeless persons present,Homeless persons sleeping on benches within sitting area
23803,103772,Homeless persons present,Homeless persons sleeping on benches at northern end of park
23802,103784,Decorative fountain not functional,Near Silver Lake Tot Lot.
23801,103754,Homeless persons present,"Several men sleeping on benches, steps & ground throughout zone"
23792,103720,Other inspector suggestions for improving site,Coffee kiosk light bulbs hanging too low across 1 St entrance need to be raised.
23794,103729,Illegal BBQ,Along SW adj entrance.
23793,103729,Full or partial closure with no signage,Fully closed (except for SW) with apparently no maintenance.
23797,103730,Drug use,Teens smoking pot on BBCT.
23796,103730,Unleashed dogs,1 let loose @ site. Smal dog- not aggressive.
23798,103735,Other enforcement issues,Possible illegal use of site for private parking.
23799,103743,Homeless persons present,Homeless person sleeping on bench
23800,103745,Drainage issues/standing water,Standing water at various places on MPPA.
23778,103673,Prostitution/sexual activity,Cruising at south end of VC GC parking lot and lower Putnam Trail.
23791,103673,Decorative fountain not functional,Near greenway and VC Golf Course.
23790,103673,Unsightly paint or repair,Graffiti cover.
23779,103676,Homeless (or other) encampment,Staging area at intersection of Old Croton Aqueduct Trail.
23780,103679,Illegal campfire,Remnants of fire pit on main east-west trail leading to marsh.
23782,103693,Drainage issues/standing water,Multiple spots along very rutted/uneven lower path.
23781,103695,Drainage issues/standing water,At sprinkler.
23394,100615,Unauthorized presence/truancy,Youths hanging out in male cs.
23772,103631,Other patron complaints or suggestions,"Patrons complain about extremely heavy amounts of litter, stating that they've called 311."
23771,103631,Illegal BBQ,Remnants of BBQs in all available lawns.
23770,103631,Comfort station in generally poor condition,"Men's room lacked amenities, with feces and litter on floor, as well as abundance of flies.  Women's room locked."
23776,103646,Drug use,Teen smoking pot on bench south of 165th St entrance.
23773,103648,Unsightly paint or repair,Graffiti cover on PE.
23789,103649,Amplified sound,Patrons in park with speakers playing loud music adj c+c tables.
23775,103650,Other patron complaints or suggestions,"Patrons complained about heavy amounts of litter, and that staff does not clean weekend messes until Wednesday or Thursday."
23774,103650,Comfort station in generally poor condition,"Both rooms contained heavy litter and flies, men's room lacked amenities."
23777,103656,Drainage issues/standing water,Water (from irrigation?) flowing out of hort area near CS.
23766,103608,Unsightly paint or repair,Nearly all old graffiti on rocks and trees covered with poor paint job (white paint on trees).
23765,103608,Prostitution/sexual activity,Multiple condom wrappers (no condoms) found throughout natural area.
23764,103608,Drug use,Multiple blunt wrappers and nickel bags found throughout natural area.
23767,103614,Drug use,Park patron taking drugs with syringe(s) in women's restroom.
23769,103620,Smoking/cigarette butts inside park,Unbelievable amount of cigarette butts and boxes (multiple cartons worth) at hangout spots in natural area just up from Park Ln South at extreme east end of zone.
23768,103620,Illegal campfire,"along trail that parallels Park Ln South, w/o dog run."
23761,103576,Drug use,Teenagers smoking pot in natural area behind BBCT.
23762,103585,Drainage issues/standing water,Playground was flooded due to drainage issue at the sprinkler.
23763,103588,Drainage issues/standing water,Playground was flooded due to drainage issue at the sprinkler.
23757,103556,Unsightly paint or repair,Lamppost box closed with duct tape.
23758,103557,Illegal vending,Patron selling bottled water at entrance to playground.
23759,103558,Unleashed dogs,Multiple unleashed dogs across Nethermead lawn.
23760,103567,Homeless persons present,Sleeping on lawn adj JR Pkwy closer to Vermont Av.
23753,103539,Abandoned building/structure,Below grand staircase just south of Rosewood PLGD.
23756,103541,Unsightly paint or repair,Natural area trees with paint splotches to cover graffiti.
23755,103551,Decorative fountain not functional,adj main entrance.
23741,103497,Smoking/cigarette butts inside park,patrons smoking at the bocce courts.
23744,103499,Homeless (or other) encampment,In the women's room.
23743,103499,Homeless persons present,many homeless sleeping on benches in the plgd.  Homeless patron taking a bath in the men's room.
23752,103510,Unsightly paint or repair,Graffiti cover on play equipment.
23746,103512,Decorative fountain not functional,Center of site.
23745,103512,Smoking/cigarette butts inside park,People smoking throughout site.
23751,103521,Unleashed dogs,Patron was training small dog to run up and down staircase closer to Essex St.
23750,103521,Smoking/cigarette butts inside park,Heavy number of cigarette butts and smoking in site.
23748,103521,Drainage issues/standing water,Standing water in old concrete fountain.
23747,103521,Decorative fountain not functional,on Essex St.
23732,103451,Play equipment old/deteriorated,BB & HBCT
23733,103453,Sink holes/uneven pavement,leading to pooling water adj main entrance.
23735,103459,Drainage issues/standing water,Clogged drain around sprinkler basin and A fountain.
23739,103471,Drainage issues/standing water,drain clogged in corner btw PE & track
23734,103479,Other patron complaints or suggestions,"Patrons state that all K-Swings squeak, recommend WD-40."
23737,103480,Homeless persons present,2 Homeless individuals in bathroom & sleeping on bench
23736,103487,Play equipment old/deteriorated,All adventure stations have some deterioration and need paint.
23738,103489,Drug use,Men smoking marijuana in womens CS
23730,103436,Unleashed dogs,Multiple dogs unleashed in lawn.
23731,103437,Illegal vehicles/dirt bikes,Motorcycle doing donuts on artificial turf field while patrons were using the field.
23724,103408,Overcrowding in popular areas,Gaming tables being used for both legitimate games and gambling.
23723,103408,Gambling,Within PE area.
23725,103410,Smoking/cigarette butts inside park,Multiple patrons smoking inside park.
23726,103417,Comfort station in generally poor condition,Men's room seems to be popular spot for homeless men.
23727,103420,Homeless persons present,Displaced individual w/ bags adj pond.
23728,103425,Other inspector suggestions for improving site,Port-a-Potties installed adj to boat launch are disgustingly unsanitery
23729,103425,Drug use,Teens smoking at north end underneath overpass by the river
23717,103385,Drainage issues/standing water,Standing water center of zone.
23718,103388,Other inspector suggestions for improving site,"No trails are blazed throughout entire site, and western N/S spur closer to Holdridge Ave has been impassible due to multiple large trees and overgrowth for 5+ years.  Site needs heavy Forestry/NRG care."
23720,103398,Areas/equipment being used other than intended,Persons fishing along shore
23719,103398,Homeless (or other) encampment,Encampment along shore across path from Afs
23721,103400,Homeless (or other) encampment,Encampment in natural area at northern edge of zone btw shore & train tracks
23714,103349,Drug use,Men smoking pot at C&CTs adj HBCT.
23715,103368,Homeless persons present,Homeless person lying on benct at Handball Court.
23713,103333,Smoking/cigarette butts inside park,Cigarette butts inside park.
23705,103304,Unauthorized presence/truancy,Kids running and hiding from truancy police throughout the park.
23706,103305,Unleashed dogs,unleashed dogs were in the lawn areas playing ball with the owners near Westhcester Ave.
23707,103307,Unleashed dogs,2 on south lawn.
23708,103308,Amplified sound,men working out @ exercise equipment had loud music playing.
23710,103311,Alcohol use,Multiple patrons drinking at site.
23709,103311,Public urination/defecation,Patron urinating behind center bleachers.
23712,103319,Unleashed dogs,One unleashed dog
23697,103261,Sink holes/uneven pavement,at thh basketball court on the SW side.  Evidence of pooling water in this area.
23711,103266,Public urination/defecation,Human Feces on SS adj Jswings
26385,122744,Drug use,evidence of drug use adj volleyball court benches
23698,103272,Full or partial closure with no signage,S/S/G area around old monument fenced-off with no signage.
23703,103279,Other enforcement issues,"Large secured lawn on west side of Grant Ave contained heavy amount of dumping, homeless encampments, and graffiti.  PS states that people routinely cut the locks."
23702,103279,Homeless (or other) encampment,Large encampment in unsecured lawn on west side of Grant Ave.
23700,103279,Full or partial closure with no signage,"Playground and BBCT at 169th St closed with no signage, nearly all equipment heavily deteriorated.  PS states that site is awaiting Capital funding."
23701,103280,Smoking/cigarette butts inside park,Multiple patrons smoking throughout plgd.
23704,103297,Homeless (or other) encampment,Homeless encampment in hort area.
23689,103239,Homeless persons present,Homeless person sleeping within overlook adj Morningside Dr.
23691,103250,Smoking/cigarette butts inside park,Multiple people smoking on the beach.
23694,103251,Public urination/defecation,Multiple collections of human feces in desire line along northern shoreline.
23693,103251,Exemplary staff performance,Large crew working on multiple features in zone- site would have easily U/S'd for Litter and Weeds.
23692,103251,Illegal BBQ,Multiple BBQ and fire remnants in multiple sections of natural area along entire perimeter of shoreline.
23695,103258,Decorative fountain not functional,adj main entrance
23687,103219,Drainage issues/standing water,Large pooling water near plgd equipment closer to 134th St.
23688,103223,Drainage issues/standing water,"Large pool of standing water at sprinkler, patrons claim that site hasn't properly drained in multiple years."
23684,103170,Homeless (or other) encampment,Homeless debris adj c+c tables btn HBCT & police precinct.
23680,103175,Play equipment old/deteriorated,adventure equipment is old and dated.
23681,103176,Drug use,5 youth (under 18) smoking marijuana in womens CS.
23683,103186,Public urination/defecation,Public defecation by park patron in horticulture area.
23682,103186,Smoking/cigarette butts inside park,Cigarette butts inside of park.
23685,103197,Homeless persons present,Homeless person in CS washing up.
23686,103198,Full or partial closure with no signage,Signs not present @ closed BBCT.
23679,103144,Smoking/cigarette butts inside park,Cigarette butts inside of park.
23678,103138,Smoking/cigarette butts inside park,patrons smoking on the golf course at the time of the inspection.
23677,103141,Smoking/cigarette butts inside park,All through golf course.
23670,103120,Public urination/defecation,In natural area adjacent rock outcropping n/o rustic shelter.
23392,100623,Unleashed dogs,One unleashed dog
26401,122861,Homeless persons present,Two homeless males sleeping on grass along Bedford Ave near sitting area.
23669,103120,Smoking/cigarette butts inside park,Rock outcropping n/o rustic shelter.
23673,103126,Other enforcement issues,Persons riding bicycles through zone too fast.
23672,103126,Homeless persons present,Several homeless persons throughout zone
23671,103127,Play equipment old/deteriorated,Requires paint throughout PLGD.
26569,124484,Gambling,
23675,103129,Smoking/cigarette butts inside park,Many people smoking in park
23667,103090,Play equipment old/deteriorated,Playground environments equipment is dated.
23676,103098,Unsightly paint or repair,Picnic table adj school with painted over grafitti
23668,103102,Other staff complaints or suggestions,Staff requests additional signage for dog waste and authorized BBQ areas.
23660,103061,Drug use,People smoking pot on benches adj artificial turf area.
23659,103061,Public urination/defecation,"In hort area, side closer to Lexington Av."
23658,103061,Homeless persons present,Sleeping on benches adj PE.
23663,103068,Smoking/cigarette butts inside park,Women smoking in CS women's room
23661,103072,Homeless persons present,One homeless man in empty lot section along Bruckner Blvd
23662,103079,Sink holes/uneven pavement,Much of rear section containing Playground Environments and swings uneven and sinking.
23656,103021,Unauthorized presence/truancy,Adults using PE as exercise equipment.
23657,103021,Unleashed dogs,In plgd.
23651,103005,Unauthorized presence/truancy,Volleyball net put up by private residents at B127 street.
23654,103009,Public urination/defecation,Public defecation in natural area inside park.
23655,103010,Public urination/defecation,Public defecation inside park underneath Cross Bronx Expressway bridge.
23653,103012,Areas/equipment being used other than intended,Patron golfing adj cricket field
23652,103017,Illegal BBQ,Multiple patrons BBQing at multiple sections of shoreline.
23650,102992,Prostitution/sexual activity,In natural area below wall adj middle staircase.
23649,102992,Drug use,In natural area below wall adj middle staircase.
23647,102993,Public urination/defecation,Public defecation in natural area inside park.
23648,102998,Unleashed dogs,One unleashed dog
23644,102951,Other patron complaints or suggestions,This site hasno trash can - it needs one.
23646,102960,Areas/equipment being used other than intended,PE used as exercise equipment by adults.  No children are present.
23645,102962,Innovative solution being used,Small disks of SS that move with chains to keep anchor points covered (see photos in inspection report).
23643,102913,Santeria,makeshift memorial with candles & open bottles of liquer in hort area
23635,102895,Homeless persons present,Displaced person sleeping in lawn area.
23642,102897,Public urination/defecation,Public defecation by patron at rock formation east of Recreation Center.
23636,102898,Abandoned building/structure,Concrete overlook deteriorated and fenced-off adj BR Pkwy s/o Waring Plgd.
23637,102899,Homeless persons present,Two homeless men sleeping on benches
23639,102899,Other enforcement issues,Patrons riding bicycles on boardwalk after dsignated time of 10 am
23641,102900,Unleashed dogs,One unleashed dog
23640,102900,Illegal campfire,3 homeless men cooking in the SW corner of natural area.
23627,102875,Prostitution/sexual activity,"Large number of condom wrappers throughout entire zone, concentrated in ridge above Battle Pass and several clearings north of Center Dr."
23628,102878,Unleashed dogs,One unleashed dogs outside of dog run & several unleashed dogs inside dog run
23623,102848,Unleashed dogs,dog unleashed near the entrance to the dirt trail.  Inspector asked parton to leash the dog and was cursed out very Imaginatively   by the patron.
23624,102852,Homeless persons present,Sleeping on bench in 1st base dugout of AF 2.
23633,102858,Smoking/cigarette butts inside park,Patron smoking inside park by the ballfield.
23631,102859,Foul odor,From standing water along Linden Place near 23rd Avenue.
23626,102860,Homeless persons present,Two homeless men sleeping on benches
23614,102815,Other staff complaints or suggestions,Staff stated that women's toilet floods into the parkhouse when flushed.
23616,102819,Homeless persons present,several homeless hanging out near flagpole & PE
23621,102827,Drug use,Teens smoking marijuana on BBCT
23619,102827,Other enforcement issues,Teens on HBCT w loud music
23618,102827,Unleashed dogs,several unleashed dogs
23620,102830,Homeless persons present,Man with several large plastic bags sleeping on bench @ BBCT.
23622,102832,Public urination/defecation,man urinating besides tree
23607,102749,Unleashed dogs,Patron with unleashed pit bull at HBCT.
23613,102752,Drainage issues/standing water,Drain clogged at sprinkler.
23610,102754,Drainage issues/standing water,Flooding due to drainage issue inside playground.
23612,102755,Drainage issues/standing water,Flood due to drainage issue inside playground.
23608,102760,Other enforcement issues,Stores hanging nylon advertising signs along WIF along Henry St and Market St.
23609,102761,Drainage issues/standing water,at the south end of the park.  Area was blocked off with french barricades.
23611,102770,Drug use,teens smoking weed in the plgd near the BBCT.
23602,102725,Other inspector suggestions for improving site,DEP vehicles parked in plgd. DEP vehicles seen driving across SS of the plgd at Harris Fields.
23606,102740,Unleashed dogs,3 along path adj Belt Pkwy
23604,102740,Homeless (or other) encampment,In natural area above Belt Pkwy btw dog run & skate pk.
23634,102740,Unsightly paint or repair,Graffiti cover at skate park.
23605,102741,Full or partial closure with no signage,Sitting area adj monument locked.
23600,102699,Drainage issues/standing water,sunken asphalt in the parking lot at the pier causing water to pool.
23625,102720,Drainage issues/standing water,Standing water on SW adj 203 Washington Ave. Please see attached pic in comment area.
23597,102649,Other patron complaints or suggestions,Community park steward said they need more trash cans in the largest section of park. Also complained that only 1 of 2 lightpoles working perfectly in same section.
23598,102655,Homeless persons present,Rodney SW being used as bottle storage/counting area.
23594,102617,Other patron complaints or suggestions,Community park steward complained that a lot of cats get into the playground and defecate on the sandbox where the toddlers play.
23630,102617,Other patron complaints or suggestions,Community garden steward complained that existing shed in garden has collapsed roof. Want the entire shed replaced.
23629,102617,Other patron complaints or suggestions,Patron/garden keeper suggested fencing be errected to keep people away from garden. Also suggested fencing with adjoining private apartments be raised higher to prevent people from climbing over.
23595,102630,Play equipment old/deteriorated,Faded and peeling paint on old metal Timberform.
23596,102643,Other structural or usage issues,teachers complained that the lowest point of the SS gets a buildup of dirt and debris
23590,102608,Other inspector suggestions for improving site,"Patron states that sprinklers in hort area adj Ellison monument run too frequently, causing excessive run-off and flooding along Riverside Dr, as well as slope erosion.  He also wants additional ""curb your dog"" signs."
23591,102611,Abandoned building/structure,Old CS at south end of park no longer even fenced off.
23593,102613,Alcohol use,Males drinking on bench adj fountain.
23592,102614,Other inspector suggestions for improving site,Inspector suggests using snow sweeper machine to sweep small rocks from soccer & multi-use fields
23587,102594,Smoking/cigarette butts inside park,Patrons smoking inside park.
23588,102596,Drainage issues/standing water,Drainage issue causing flooding at Handball Court.
23589,102598,Innovative solution being used,"Uplifts <1.5"" made visible with tape."
23585,102576,Prostitution/sexual activity,Multiple condom wrappers scattered throughout interior of zone.
23581,102549,Play equipment old/deteriorated,Lots of painted over areas and peeling paint.
23582,102553,Other enforcement issues,strange man sitting next to sprinkler yelling about random things to no one.
23583,102562,Public urination/defecation,Public urination on paved surface around comfort station.
23584,102564,Public urination/defecation,Feces mixed with urine on paved surface outside comfort station.
23580,102533,Other patron complaints or suggestions,Patrons request additional lampposts in ballfield dugouts.
23578,102491,Other enforcement issues,School principal requests that JOP be for school use only during school hours and requests appropriate signage and locked gates.
23579,102496,Smoking/cigarette butts inside park,Multiple cigarette butts scattered throughout park.
23574,102464,Smoking/cigarette butts inside park,Groups of teenagers smoking btw AF & FDR
23573,102464,Other enforcement issues,Bicycle riding through park to pedestrian bridge over FDR
23575,102483,Homeless persons present,Person sleeping on bench with belongings.
23567,102447,Unleashed dogs,four dogs off leash on the ballfields.
23568,102458,Other enforcement issues,DOT signage of 4 hour max not being enforced according to New Leaf Café manager.
23569,102463,Unleashed dogs,One unleashed dog near trees adj L
23570,102463,Smoking/cigarette butts inside park,cigarette butts adj picnic table btw McDonald av entrance & AF
23563,102416,Areas/equipment being used other than intended,Skateboarders using concrete edges at entrances.
23029,97493,Drug use,Patrons smoking marijuana
23562,102416,Smoking/cigarette butts inside park,Cigarette butts scattered throughout (rules sign clearly says No Smoking).
23566,102424,Other patron complaints or suggestions,Patron complained they and the children could not use the women restroom because of its filthiness.
23564,102431,Illegal vehicles/dirt bikes,Unknown personal cars parking in front of entrance
23565,102443,Homeless (or other) encampment,Underneath bridge adj picnic area & BBCT.
23557,102369,Other enforcement issues,patron using a drone on the soccer field.
23559,102372,Public urination/defecation,adj private property by apparent homeless man.
23558,102372,Homeless persons present,Sleeping on benches @ site.
23560,102385,Smoking/cigarette butts inside park,Multiple people smoking in park.
23561,102401,Smoking/cigarette butts inside park,Teenagers smoking at C&CTs
23552,102349,Homeless (or other) encampment,"Shelters up, hydrant in woods directly south of GWB tapped as basin."
23554,102352,Unleashed dogs,One unleashed dog
23553,102354,Illegal campfire,Multiple hang-out spots with bonfire remnants scattered throughout site.
23555,102355,Other enforcement issues,Adults biking through plgd for convenience btw Stewards st & Myrtle av
23556,102355,Smoking/cigarette butts inside park,Persons smoking while walking through plgd for convenience btw Stewards st & Myrtle av
23550,102338,Other patron complaints or suggestions,"Resident on Douglas Rd complains of multiple dead trees and branches over street and Aurora Pond, as well as improper lack of drainage down slope into Aurora Pond."
23551,102344,Unleashed dogs,Two unleashed dogs from the same owner on AF
23549,102310,Homeless (or other) encampment,encampment set up at the chess tables off Ave A and 7th street.
23548,102310,Homeless (or other) encampment,Encampment set up in the men's room.  Two men sleeping on the floor of the CS.
23546,102272,Other patron complaints or suggestions,School staff request locked gates and clear signage regarding MPPA being closed during school hours.
23545,102283,Homeless (or other) encampment,"NON-PARKS, along LIE ramp behind fence at back of PLGD near HBCTS, accessible via sneakhole from Parks' walkway."
23547,102296,Other patron complaints or suggestions,Patron complained trash can at sidewalk adjcent to B 29 Street had been stolen and suggested a replacement.
23544,102252,Drainage issues/standing water,Standing water with floating garbage underneath 132nd St overpass.
23543,102252,Homeless (or other) encampment,Multiple large encampments located underneath multiple pedestrian overpasses.
23542,102252,Drug use,"Various cannabis and opioid paraphernalia scattered throughout zone, with concentrations underneath overpasses."
23541,102222,Unleashed dogs,Man using hockey rink as makeshift dog run.
23539,102188,Homeless (or other) encampment,Multiple pieces of cardboard used as makeshift beds at rocky outcropping behind I Am Park.
23540,102200,Unleashed dogs,One Unleashed Dog
23537,102170,Prostitution/sexual activity,Multiple condoms and condom wrappers found in multiple places throughout natural area.
23538,102177,Other inspector suggestions for improving site,Inspector suggests placing AF# signs on backstops & water fountains at both AF's
23535,102115,Homeless persons present,sleeping on bench on 87th Av.
23532,102070,Unleashed dogs,"Upon arrival, I did observe an unleashed pitbull inside the AF."
23533,102087,Other patron complaints or suggestions,Member of community board request the large tree trunk together with the cherry tree trunk in horticulture area be removed and replaced with  new trees.
23534,102087,Other patron complaints or suggestions,Member of community board complained about damaged fence at triangle.
23531,102047,Homeless persons present,Multiple homeless people sleeping underneath overpass arches at southern end.
23530,102047,Prostitution/sexual activity,"Multiple condoms found throughout southern section of natural area, entire zone covered with condom wrappers.  Multiple active patrons cruising during inspection (inspector was propositioned)."
23529,101995,Drug use,"Teens smoking marijuana in plain view adj to soccer field with multiple school children playing nearby. PEP was advised to respond by myself, via-Central Communications."
23522,101965,Drug use,Man smoking pot @C+CTs.
23523,101966,Drug use,People smoking pot on closed staircase.
23525,101970,Smoking/cigarette butts inside park,Owner of unleashed dog smoking cigarette inside plgd
23524,101970,Unleashed dogs,One unleashed dog
23527,101972,Homeless persons present,several homeless persons present
23528,101986,Unauthorized presence/truancy,Male park patron with child inside locked tennis court adj Buffalo & E New York Avs.
23519,101957,Other structural or usage issues,Handrail leading to CS suggested.
23521,101958,Smoking/cigarette butts inside park,Cigarette butts at soccer field inside of park.
23520,101958,Homeless (or other) encampment,Homeless encampment present at undeveloped area in park near soccer field.
23516,101947,Illegal campfire,"Campfires at HH Pkwy overlook at south end, and in woods btw Cass Gallagher & X-Country trails."
23514,101884,Unleashed dogs,Makeshift dog run around cemetery.
23515,101886,Other patron complaints or suggestions,"Patron requests additional clean-up, says once per week is not enough."
23512,101858,Unleashed dogs,Runn8ng on MPPA.
23513,101860,Unleashed dogs,Running through entire site.
23510,101842,Unleashed dogs,Several unleashed dogs during inspection
23511,101843,Other patron complaints or suggestions,A Patron requests more trees be planted to replace the trees that were reomoved years ago for a construction project.
23509,101829,Full or partial closure with no signage,No sign explaining locked site.
23508,101830,Smoking/cigarette butts inside park,"Heavy amount of cigarette butts throughout chess table area, patrons complained to Inspector."
23505,101710,Foul odor,Strong smell of urine on the lower landing of the staircase with the concrete benches.
23504,101710,Drug use,Drug use at upper benches along the staircase.
23506,101725,Drug use,Large group of young men (maybe students from school across the street) in sprinkler area - upper section of plgd.
23500,101688,Alcohol use,evidence of alcohol use in zone based on large amount of beer bottle caps around soccer fields.
23502,101700,Other inspector suggestions for improving site,Additional staff members needed to keep up with cleaniness at this site.
23501,101703,Homeless persons present,Sleeping on lounge chairs in red roof sitting @ approx 64th St
23503,101709,Illegal vehicles/dirt bikes,"Over a dozen 'for sale' cars parked on Parks property, across from 172-27 129th Ave."
23498,101672,Unleashed dogs,Two unleashed dogs in MPPA
23499,101672,Other structural or usage issues,All Tennis Gates Locked. Patrons climbed underneath CLF near Bedford av to access tennis courts.
23495,101647,Amplified sound,several groups on lawns & paths west side of lake. Some blocking pathways.
23497,101659,Other enforcement issues,Resident along Broadway near park complained about people taking drugs inside of park at northeast corner using the bushes to conceal their act.
23496,101659,Smoking/cigarette butts inside park,Patrons smoking inside park.
23493,101601,Homeless persons present,Staff report major problem with homeless and that is the reason the stall doors have been removed in the CS (noted in CS report).
23494,101605,Illegal vehicles/dirt bikes,Parked on SW of 4th St adj BBCT closest to school.
23492,101597,Unleashed dogs,On ballfield.
23490,101553,Smoking/cigarette butts inside park,Dozens of cigarette butts next to comfort station.
23489,101553,Unleashed dogs,Multiple unleashed dogs in baseball fields.
23488,101553,Alcohol use,Multiple people drinking next to comfort station- NYPD on site.
23491,101554,Homeless persons present,Sleepin on bench @ C+CTs.
23487,101509,Drug use,in the men's room stall at the time of inspection.
23484,101473,Drainage issues/standing water,Heavy flooding at JR Pkwy leading to Dry Harbor Plgd.
23485,101475,Homeless (or other) encampment,Homeless encampment adjacent water body at western end of park.
23486,101481,Unleashed dogs,One Unleashed Dog at 72 st
23481,101441,Drainage issues/standing water,Large amount of flooding in BBCT closer to plgd equip area.
23482,101449,Illegal vehicles/dirt bikes,Housing construction workers parked on lawns & SW.
23483,101462,Smoking/cigarette butts inside park,Person smoking in men's bathroom stall.
23479,101395,Smoking/cigarette butts inside park,Patrons smoking drug inside playground.
23480,101401,Other inspector suggestions for improving site,inspector suggestion - paint sprinkler head yellow for more visibilty
23477,101355,Play equipment old/deteriorated,Old PFU in need of painting with deteriorated safety surface.
23442,101323,Homeless (or other) encampment,Homeless person sleeping/living in natural area at base of wall along CPW adj 68 st
23440,101324,Homeless (or other) encampment,south side of pool area behind broken metal rool down gate
23441,101328,Unleashed dogs,2 unleashed dogs on lawn adj Seaview Ave near cs.
23428,101294,Santeria,Slaughtered chickens just north of Dongan Oak.
23427,101294,Homeless (or other) encampment,Makeshift tipi in woods adj east drive and tent set up at Tunnel Arch Bridge.
23429,101296,Drug use,Syringes found on opposite sides of zone (on Ardsley St + Park Sts).
23436,101307,Illegal campfire,"Multiple illegal campfires at hangout spots, some appeared to have spread to larger trees."
23435,101307,Prostitution/sexual activity,Secluded overgrown areas closer to cemetery fence line are a probable cruising area.
23433,101307,Drug use,Multiple (teenage?) hangout spots along upper trails.
23432,101307,Alcohol use,Multiple (teenage?) hangout spots along upper trails.
23439,101308,Other inspector suggestions for improving site,Better provisions for drainage are needed below woodchip trail.
23438,101308,Other inspector suggestions for improving site,A higher and sturdier walkway is needed for swampy area along GCP.
23437,101308,Illegal campfire,Some evidence of illegal campfires off main trail closer to southeast corner of lake.
23430,101309,Homeless persons present,Homeless persons with debris present adj 40th St & 5th Av.
