Reporting Area,MMWR Year,MMWR Week,"Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Current week","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Current week, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Previous 52 weeks Max†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Previous 52 weeks Max†, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2020†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2020†, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2019†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2019†, flag","Chancroid, Current week","Chancroid, Current week, flag","Chancroid, Previous 52 weeks Max†","Chancroid, Previous 52 weeks Max†, flag","Chancroid, Cum 2020†","Chancroid, Cum 2020†, flag","Chancroid, Cum 2019†","Chancroid, Cum 2019†, flag","Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Max†","Chlamydia trachomatis infection, Previous 52 weeks Max†, flag","Chlamydia trachomatis infection, Cum 2020†","Chlamydia trachomatis infection, Cum 2020†, flag","Chlamydia trachomatis infection, Cum 2019†","Chlamydia trachomatis infection, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
ALASKA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,151,,,-,857,,ALASKA,,20200758,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,50,,245,,1263,,1313,,DISTRICT OF COLUMBIA,,20200730,POINT (-77.016275 38.904785)
WASHINGTON,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,516,,1056,,3218,,4861,,WASHINGTON,,20200762,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,7,,-,0,,,-,,-,,-,1,,,-,,-,231,,1427,,4223,,7365,,,NEW ENGLAND,20200702,
RHODE ISLAND,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,110,,293,,561,,37,,RHODE ISLAND,,20200707,POINT (-71.534637 41.572574)
OREGON,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,390,,437,,2491,,2445,,OREGON,,20200761,POINT (-120.605279 43.940449)
DELAWARE,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,162,,222,,922,,875,,DELAWARE,,20200729,POINT (-75.452394 38.994926)
ALABAMA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,823,,2312,,4301,,ALABAMA,,20200739,POINT (-86.844516 32.756889)
KANSAS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,321,,,-,1924,,KANSAS,,20200722,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,1490,,,-,9838,,NORTH CAROLINA,,20200734,POINT (-79.130883 35.52603)
GUAM,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200766,POINT (144.653198 13.3532)
NEW JERSEY,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,392,,893,,4945,,5250,,NEW JERSEY,,20200710,POINT (-74.655514 40.110253)
NEW MEXICO,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,30,,332,,1361,,1928,,NEW MEXICO,,20200754,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,7,,-,8,,3,,19,,,-,0,,,-,,-,1709,,5614,,22269,,34733,,,EAST NORTH CENTRAL,20200714,
TENNESSEE,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,952,,3223,,5644,,TENNESSEE,,20200742,POINT (-86.343226 35.842998)
CONNECTICUT,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,343,,,-,1774,,CONNECTICUT,,20200703,POINT (-72.738288 41.575155)
MARYLAND,2020,7,,-,0,,,-,,-,,-,1,,,-,,-,,-,835,,2877,,5088,,MARYLAND,,20200733,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,890,,,-,4894,,SOUTH CAROLINA,,20200735,POINT (-80.864614 33.878572)
OKLAHOMA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,81,,440,,1484,,2535,,OKLAHOMA,,20200746,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200765,POINT (145.725693 15.1834)
OHIO,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,629,,1438,,7947,,9198,,OHIO,,20200718,POINT (-82.70936 40.415534)
MINNESOTA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,8,,558,,2372,,3328,,MINNESOTA,,20200723,POINT (-94.198308 46.349153)
LOUISIANA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,250,,837,,4143,,5529,,LOUISIANA,,20200745,POINT (-91.840238 30.921314)
HAWAII,2020,7,,-,1,,,-,1,,,-,0,,,-,,-,,-,209,,,-,919,,HAWAII,,20200760,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,7,,-,0,,,-,,-,,-,1,,,-,,-,2458,,8213,,30505,,53709,,,SOUTH ATLANTIC,20200728,
PENNSYLVANIA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,1023,,1403,,8187,,8503,,PENNSYLVANIA,,20200713,POINT (-77.838886 40.896694)
UTAH,2020,7,,-,2,,3,,2,,,-,0,,,-,,-,181,,273,,1486,,1536,,UTAH,,20200755,POINT (-111.678222 39.323779)
COLORADO,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,1073,,2537,,3940,,COLORADO,,20200750,POINT (-105.547832 38.998552)
VERMONT,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,61,,84,,140,,VERMONT,,20200708,POINT (-72.662695 44.075252)
KENTUCKY,2020,7,,-,0,,,-,,-,,-,1,,,-,,-,,-,605,,177,,1422,,KENTUCKY,,20200740,POINT (-85.290484 37.526683)
PUERTO RICO,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,304,,26,,672,,PUERTO RICO,,20200767,POINT (-66.414655 18.215692)
MAINE,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,62,,125,,394,,558,,MAINE,,20200704,POINT (-69.06137 45.117911)
VIRGINIA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,776,,1095,,6227,,6964,,VIRGINIA,,20200736,POINT (-78.666382 37.510861)
ARIZONA,2020,7,,-,5,,7,,17,,,-,1,,,-,,-,438,,955,,4914,,5942,,ARIZONA,,20200749,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200764,
WISCONSIN,2020,7,,-,3,,3,,5,,,-,0,,,-,,-,391,,685,,3408,,3803,,WISCONSIN,,20200719,POINT (-89.732969 44.639954)
IDAHO,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,170,,130,,1020,,IDAHO,,20200751,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200768,POINT (-64.840836 18.060868)
MICHIGAN,2020,7,,-,6,,,-,14,,,-,0,,,-,,-,194,,1169,,3601,,6677,,MICHIGAN,,20200717,POINT (-85.730977 44.874798)
GEORGIA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,1519,,5363,,10416,,GEORGIA,,20200732,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,858,,1653,,8548,,10327,,,NEW YORK CITY,20200712,
ARKANSAS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,393,,67,,2439,,ARKANSAS,,20200744,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,16,,604,,2119,,3162,,MISSISSIPPI,,20200741,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,17,,108,,308,,639,,SOUTH DAKOTA,,20200727,POINT (-100.230491 44.43614)
WYOMING,2020,7,,-,1,,1,,,-,,-,0,,,-,,-,,-,58,,198,,287,,WYOMING,,20200756,POINT (-107.55145 42.999627)
MISSOURI,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,791,,2526,,4600,,MISSOURI,,20200724,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,3339,,4760,,26910,,29519,,,MIDDLE ATLANTIC,20200709,
CALIFORNIA,2020,7,,-,4,,8,,,-,,-,1,,,-,,-,206,,4999,,24515,,33200,,CALIFORNIA,,20200759,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,354,,795,,754,,WEST VIRGINIA,,20200737,POINT (-80.613729 38.642579)
FLORIDA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,1470,,2556,,13058,,13567,,FLORIDA,,20200731,POINT (-82.420978 28.260731)
MONTANA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,58,,116,,574,,608,,MONTANA,,20200752,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,150,,2171,,7956,,14289,,,WEST NORTH CENTRAL,20200720,
MASSACHUSETTS,2020,7,,-,0,,,-,,-,,-,1,,,-,,-,,-,731,,2808,,4345,,MASSACHUSETTS,,20200705,POINT (-71.481104 42.151077)
MOUNTAIN,2020,7,,-,6,,11,,19,,,-,1,,,-,,-,946,,3221,,13082,,19256,,,MOUNTAIN,20200748,
INDIANA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,417,,858,,4245,,4496,,INDIANA,,20200716,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,1,,,NON-US RESIDENTS,20200769,
US TERRITORIES,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,304,,26,,672,,,US TERRITORIES,20200763,
MOUNTAIN,2020,8,,-,6,,14,,19,,,-,1,,,-,,-,1437,,3216,,16174,,21744,,,MOUNTAIN,20200848,
INDIANA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,314,,858,,4956,,5199,,INDIANA,,20200816,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,1,,,NON-US RESIDENTS,20200869,
US TERRITORIES,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,304,,26,,797,,,US TERRITORIES,20200863,
TOTAL,2020,16,1,,13,,49,,79,,,-,1,,1,,1,,7085,,35474,,367308,,539821,,,TOTAL,20201670,
US RESIDENTS,2020,16,1,,13,,49,,79,,,-,1,,1,,1,,7085,,35436,,366980,,538084,,,US RESIDENTS,20201601,
NEW HAMPSHIRE,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,13,,124,,801,,1148,,NEW HAMPSHIRE,,20201606,POINT (-71.57139 43.680429)
NEW YORK,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,486,,2550,,12074,,13937,,NEW YORK,,20201611,POINT (-75.59655 42.921241)
PACIFIC,2020,16,1,,6,,19,,1,,,-,1,,1,,,-,1701,,6402,,68064,,95319,,,PACIFIC,20201657,
WEST SOUTH CENTRAL,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,153,,3944,,20590,,56900,,,WEST SOUTH CENTRAL,20201643,
NEBRASKA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,244,,2600,,2668,,NEBRASKA,,20201625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,16,,-,0,,,-,,-,,-,1,,,-,,-,788,,3286,,24715,,34196,,,EAST SOUTH CENTRAL,20201638,
NORTH DAKOTA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,93,,628,,1227,,NORTH DAKOTA,,20201626,POINT (-100.46931 47.446305)
NEVADA,2020,16,,-,2,,1,,,-,,-,0,,,-,,-,,-,668,,5702,,5469,,NEVADA,,20201653,POINT (-114.916992 39.283294)
ILLINOIS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,48,,1767,,9406,,24658,,ILLINOIS,,20201615,POINT (-89.148632 40.124144)
IOWA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,389,,3269,,4902,,IOWA,,20201621,POINT (-93.500061 42.074659)
TEXAS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,2365,,8404,,33879,,TEXAS,,20201647,POINT (-99.317341 31.447238)
ALASKA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,151,,1286,,1900,,ALASKA,,20201658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,11,,247,,2233,,2906,,DISTRICT OF COLUMBIA,,20201630,POINT (-77.016275 38.904785)
WASHINGTON,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,270,,1227,,6064,,10364,,WASHINGTON,,20201662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,16,,-,8,,,-,,-,,-,1,,,-,,-,75,,1491,,12851,,17526,,,NEW ENGLAND,20201602,
RHODE ISLAND,2020,16,,-,8,,,-,,-,,-,0,,,-,,-,,-,303,,1015,,813,,RHODE ISLAND,,20201607,POINT (-71.534637 41.572574)
OREGON,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,172,,503,,4914,,5655,,OREGON,,20201661,POINT (-120.605279 43.940449)
DELAWARE,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,222,,1293,,1901,,DELAWARE,,20201629,POINT (-75.452394 38.994926)
ALABAMA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,824,,5965,,10601,,ALABAMA,,20201639,POINT (-86.844516 32.756889)
KANSAS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,321,,,-,4597,,KANSAS,,20201622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,1549,,13021,,21835,,NORTH CAROLINA,,20201634,POINT (-79.130883 35.52603)
GUAM,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201666,POINT (144.653198 13.3532)
NEW JERSEY,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,147,,887,,9538,,11908,,NEW JERSEY,,20201610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,29,,340,,3620,,4428,,NEW MEXICO,,20201654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,16,,-,8,,3,,44,,,-,0,,,-,,-,979,,5740,,52335,,79983,,,EAST NORTH CENTRAL,20201614,
TENNESSEE,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,231,,958,,10284,,12694,,TENNESSEE,,20201642,POINT (-86.343226 35.842998)
CONNECTICUT,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,366,,2635,,4221,,CONNECTICUT,,20201603,POINT (-72.738288 41.575155)
MARYLAND,2020,16,,-,0,,,-,,-,,-,0,,,-,1,,160,,841,,8291,,11251,,MARYLAND,,20201633,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,698,,,-,11632,,SOUTH CAROLINA,,20201635,POINT (-80.864614 33.878572)
OKLAHOMA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,445,,3469,,5788,,OKLAHOMA,,20201646,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201665,POINT (145.725693 15.1834)
OHIO,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,433,,1440,,15952,,20338,,OHIO,,20201618,POINT (-82.70936 40.415534)
MINNESOTA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,17,,583,,5609,,7563,,MINNESOTA,,20201623,POINT (-94.198308 46.349153)
LOUISIANA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,153,,838,,8389,,11611,,LOUISIANA,,20201645,POINT (-91.840238 30.921314)
HAWAII,2020,16,,-,1,,,-,1,,,-,0,,,-,,-,,-,185,,,-,2325,,HAWAII,,20201660,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,16,,-,0,,,-,,-,,-,0,,,-,1,,1927,,7643,,82390,,119778,,,SOUTH ATLANTIC,20201628,
PENNSYLVANIA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,377,,1466,,16551,,12376,,PENNSYLVANIA,,20201613,POINT (-77.838886 40.896694)
UTAH,2020,16,,-,2,,3,,3,,,-,0,,,-,,-,,-,276,,2743,,3408,,UTAH,,20201655,POINT (-111.678222 39.323779)
COLORADO,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,1261,,7930,,9133,,COLORADO,,20201650,POINT (-105.547832 38.998552)
VERMONT,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,61,,152,,402,,VERMONT,,20201608,POINT (-72.662695 44.075252)
KENTUCKY,2020,16,,-,0,,,-,,-,,-,1,,,-,,-,557,,2301,,3998,,3466,,KENTUCKY,,20201640,POINT (-85.290484 37.526683)
PUERTO RICO,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,304,,326,,1735,,PUERTO RICO,,20201667,POINT (-66.414655 18.215692)
MAINE,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,62,,106,,927,,1290,,MAINE,,20201604,POINT (-69.06137 45.117911)
VIRGINIA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,562,,1127,,13154,,15677,,VIRGINIA,,20201636,POINT (-78.666382 37.510861)
TOTAL,2020,18,,-,13,,52,,84,,,-,1,,1,,2,,6371,,36185,,403909,,621809,,,TOTAL,20201870,
PACIFIC,2020,9,,-,6,,11,,1,,,-,1,,,-,,-,1186,,6366,,40300,,53764,,,PACIFIC,20200957,
ARIZONA,2020,16,,-,5,,22,,29,,,-,1,,,-,,-,275,,956,,10834,,13412,,ARIZONA,,20201649,POINT (-111.664616 34.293239)
WISCONSIN,2020,16,,-,3,,3,,8,,,-,0,,,-,,-,206,,686,,6943,,8939,,WISCONSIN,,20201619,POINT (-89.732969 44.639954)
IDAHO,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,77,,174,,1850,,2239,,IDAHO,,20201651,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201668,POINT (-64.840836 18.060868)
MICHIGAN,2020,16,,-,6,,,-,36,,,-,0,,,-,,-,49,,1172,,10434,,15321,,MICHIGAN,,20201617,POINT (-85.730977 44.874798)
GEORGIA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,161,,1523,,13492,,20280,,GEORGIA,,20201632,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,1646,,14220,,23348,,,NEW YORK CITY,20201612,
ARKANSAS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,398,,328,,5622,,ARKANSAS,,20201644,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,604,,4468,,7435,,MISSISSIPPI,,20201641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,108,,510,,1353,,SOUTH DAKOTA,,20201627,POINT (-100.230491 44.43614)
WYOMING,2020,16,,-,1,,1,,2,,,-,0,,,-,,-,23,,59,,544,,608,,WYOMING,,20201656,POINT (-107.55145 42.999627)
TOTAL,2020,9,1,,13,,29,,45,,,-,1,,,-,,-,9420,,36569,,200827,,311489,,,TOTAL,20200970,
US RESIDENTS,2020,9,1,,13,,29,,45,,,-,1,,,-,,-,9420,,36399,,200682,,310521,,,US RESIDENTS,20200901,
NEW HAMPSHIRE,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,75,,124,,521,,641,,NEW HAMPSHIRE,,20200906,POINT (-71.57139 43.680429)
NEW YORK,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,996,,2381,,7143,,7199,,NEW YORK,,20200911,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,154,,3764,,11064,,32721,,,WEST SOUTH CENTRAL,20200943,
NEBRASKA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,108,,244,,1391,,1434,,NEBRASKA,,20200925,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,9,,-,0,,,-,,-,,-,1,,,-,,-,116,,2784,,10746,,19156,,,EAST SOUTH CENTRAL,20200938,
NORTH DAKOTA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,93,,377,,717,,NORTH DAKOTA,,20200926,POINT (-100.46931 47.446305)
NEVADA,2020,9,1,,2,,1,,,-,,-,0,,,-,,-,210,,712,,2711,,5170,,NEVADA,,20200953,POINT (-114.916992 39.283294)
ILLINOIS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,80,,1754,,4893,,13892,,ILLINOIS,,20200915,POINT (-89.148632 40.124144)
IOWA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,42,,390,,2076,,2756,,IOWA,,20200921,POINT (-93.500061 42.074659)
TEXAS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,90,,2280,,4843,,19389,,TEXAS,,20200947,POINT (-99.317341 31.447238)
ALASKA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,151,,702,,1110,,ALASKA,,20200958,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,21,,245,,1554,,1639,,DISTRICT OF COLUMBIA,,20200930,POINT (-77.016275 38.904785)
WASHINGTON,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,510,,1056,,4073,,6057,,WASHINGTON,,20200962,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,9,,-,0,,,-,,-,,-,1,,,-,,-,153,,1427,,4638,,9502,,,NEW ENGLAND,20200902,
RHODE ISLAND,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,296,,616,,147,,RHODE ISLAND,,20200907,POINT (-71.534637 41.572574)
OREGON,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,358,,437,,3197,,3133,,OREGON,,20200961,POINT (-120.605279 43.940449)
DELAWARE,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,222,,1037,,1124,,DELAWARE,,20200929,POINT (-75.452394 38.994926)
ALABAMA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,824,,4216,,5856,,ALABAMA,,20200939,POINT (-86.844516 32.756889)
KANSAS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,321,,,-,2528,,KANSAS,,20200922,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,1490,,,-,12536,,NORTH CAROLINA,,20200934,POINT (-79.130883 35.52603)
GUAM,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200966,POINT (144.653198 13.3532)
NEW JERSEY,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,390,,884,,6109,,6612,,NEW JERSEY,,20200910,POINT (-74.655514 40.110253)
NEW MEXICO,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,56,,332,,1969,,2430,,NEW MEXICO,,20200954,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,9,,-,8,,3,,21,,,-,0,,,-,,-,1586,,5718,,30263,,45339,,,EAST NORTH CENTRAL,20200914,
TENNESSEE,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,952,,3743,,7274,,TENNESSEE,,20200942,POINT (-86.343226 35.842998)
CONNECTICUT,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,343,,,-,2252,,CONNECTICUT,,20200903,POINT (-72.738288 41.575155)
MARYLAND,2020,9,,-,0,,,-,,-,,-,1,,,-,,-,79,,837,,4547,,6417,,MARYLAND,,20200933,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,878,,,-,6464,,SOUTH CAROLINA,,20200935,POINT (-80.864614 33.878572)
OKLAHOMA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,64,,440,,1988,,3179,,OKLAHOMA,,20200946,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200965,POINT (145.725693 15.1834)
OHIO,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,591,,1438,,10158,,11720,,OHIO,,20200918,POINT (-82.70936 40.415534)
MINNESOTA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,559,,2983,,4255,,MINNESOTA,,20200923,POINT (-94.198308 46.349153)
LOUISIANA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,838,,4143,,7049,,LOUISIANA,,20200945,POINT (-91.840238 30.921314)
HAWAII,2020,9,,-,1,,,-,1,,,-,0,,,-,,-,,-,209,,,-,1198,,HAWAII,,20200960,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,9,,-,0,,,-,,-,,-,1,,,-,,-,2799,,7919,,41221,,69269,,,SOUTH ATLANTIC,20200928,
PENNSYLVANIA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,989,,1402,,10645,,10805,,PENNSYLVANIA,,20200913,POINT (-77.838886 40.896694)
UTAH,2020,9,,-,2,,3,,2,,,-,0,,,-,,-,158,,274,,1900,,1936,,UTAH,,20200955,POINT (-111.678222 39.323779)
COLORADO,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,1072,,3270,,5041,,COLORADO,,20200950,POINT (-105.547832 38.998552)
VERMONT,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,1,,61,,152,,188,,VERMONT,,20200908,POINT (-72.662695 44.075252)
KENTUCKY,2020,9,,-,0,,,-,,-,,-,1,,,-,,-,,-,605,,177,,1861,,KENTUCKY,,20200940,POINT (-85.290484 37.526683)
PUERTO RICO,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,304,,145,,967,,PUERTO RICO,,20200967,POINT (-66.414655 18.215692)
MAINE,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,77,,125,,541,,699,,MAINE,,20200904,POINT (-69.06137 45.117911)
VIRGINIA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,954,,1107,,8049,,8842,,VIRGINIA,,20200936,POINT (-78.666382 37.510861)
ARIZONA,2020,9,,-,5,,10,,21,,,-,1,,,-,,-,344,,955,,6464,,7532,,ARIZONA,,20200949,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200964,
WISCONSIN,2020,9,,-,3,,3,,6,,,-,0,,,-,,-,361,,685,,4489,,5001,,WISCONSIN,,20200919,POINT (-89.732969 44.639954)
IDAHO,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,5,,163,,744,,1286,,IDAHO,,20200951,POINT (-114.659366 44.389073)
