School_Year,Vendor_Name,Vehicle_TypeDescription,Active_Vehicles
2019-2020,"CONSOLIDATED BUS TRANSIT, INC.",Standard Bus (SE),51
2019-2020,"CONSOLIDATED BUS TRANSIT, INC.",Type A or B Flex Vehicle,35
2019-2020,"DON THOMAS BUSES, INC. (B2321)",Mini-Wagon,103
2019-2020,"DON THOMAS BUSES, INC. (B2321)",Type A or B Flex Vehicle,1
2019-2020,"DON THOMAS BUSES, INC.",Mini-Wagon,28
2019-2020,"DON THOMAS BUSES, INC.",Type A or B Flex Vehicle,3
2019-2020,"DON THOMAS BUSES, INC.",Wheelchair Accessible Alternative (WC),1
2019-2020,EMPIRE CHARTER SERVICE INC,Mini-Wagon,39
2019-2020,EMPIRE CHARTER SERVICE INC,Standard Bus (SE),41
2019-2020,EMPIRE STATE BUS CORP.,Mini-Wagon,9
2019-2020,EMPIRE STATE BUS CORP.,Standard Bus (GE),6
2019-2020,EMPIRE STATE BUS CORP.,Standard Bus (SE),19
2019-2020,FIRST STEPS TRANS INC. (B2192),Mini-Wagon,1
2019-2020,FIRST STEPS TRANS INC. (B2192),Type A or B Flex Vehicle,61
2019-2020,"FIRST STEPS TRANS, INC",Mini-Wagon,7
2019-2020,"FIRST STEPS TRANS, INC",Type A or B Flex Vehicle,18
2019-2020,FORTUNA BUS COMPANY,Hydraulic Lift,1
2019-2020,"FIRST STEPS TRANS, INC",Standard Bus (GE),2
2019-2020,"FIRST STEPS TRANS, INC",Standard Bus (SE),1
2019-2020,FORTUNA BUS COMPANY,Mini-Wagon,42
2019-2020,FORTUNA BUS COMPANY,Wheelchair Accessible Alternative (WC),1
2019-2020,G.V.C. LTD. (B2192),Mini-Wagon,135
2019-2020,G.V.C. LTD. (B2192),Type A or B Flex Vehicle,17
2019-2020,"G.V.C., LTD.",Mini-Wagon,112
2019-2020,"G.V.C., LTD.",Ramp-Wagon,11
2019-2020,"G.V.C., LTD.",Standard Bus (GE),6
2019-2020,"G.V.C., LTD.",Type A or B Flex Vehicle,11
2019-2020,"G.V.C., LTD.",Standard Bus (SE),1
2019-2020,"GRANDPA`S BUS CO., INC.",Mini-Wagon,4
2019-2020,"GRANDPA`S BUS CO., INC.",Standard Bus (GE),261
2019-2020,"GRANDPA`S BUS CO., INC.",Standard Bus (SE),16
2019-2020,HAPPY DAY TRANSIT,Mini-Wagon,60
2019-2020,HOYT TRANSPORTATION CORP.,Mini-Wagon,216
2019-2020,HOYT TRANSPORTATION CORP.,Ramp-Wagon,104
2019-2020,HOYT TRANSPORTATION CORP.,Type A or B Flex Vehicle,44
2019-2020,HOYT TRANSPORTATION CORP.,Wheelchair Accessible Alternative (WC),1
2019-2020,I & Y TRANSIT CORP,Mini-Wagon,18
2018-2019,ACCORD BUS LLC,Motor Coach Bus,21
2018-2019,B & F SKILLED INC.(B2192),Type A or B Flex Vehicle,2
2019-2020,I & Y TRANSIT CORP,Standard Bus (SE),1
2019-2020,IC BUS INC. (PRE-K),Mini-Wagon,58
2019-2020,IC BUS INC. (PRE-K),Ramp-Wagon,2
2019-2020,IC BUS INC.,Mini-Wagon,129
2019-2020,J & R TOURS LTD,Motor Coach Bus,12
2019-2020,JOFAZ TRANSPORTATION INC.,Mini-Wagon,74
2019-2020,JOFAZ TRANSPORTATION INC.,Ramp-Wagon,14
2019-2020,JOFAZ TRANSPORTATION INC.,Standard Bus (GE),234
2019-2020,JOFAZ TRANSPORTATION INC.,Standard Bus (SE),66
2019-2020,JOFAZ TRANSPORTATION INC.,Type A or B Flex Vehicle,11
2019-2020,L & M BUS CORP (A),Hydraulic Lift,13
2019-2020,L & M BUS CORP (A),Mini-Wagon,22
2019-2020,L & M BUS CORP (A),Ramp-Wagon,10
2019-2020,L & M BUS CORP (A),Type A or B Flex Vehicle,97
2019-2020,L & M BUS CORP (A),Type C or D Flex,2
2019-2020,L & M BUS CORP.,Mini-Wagon,121
2019-2020,L & M BUS CORP.,Ramp-Wagon,3
2019-2020,L & M BUS CORP.,Standard Bus (GE),15
2019-2020,L & M BUS CORP.,Standard Bus (SE),53
2019-2020,L & M BUS CORP.,Type A or B Flex Vehicle,24
2019-2020,L & M BUS CORP (A),Standard Bus (SE),24
2019-2020,LEESEL TRANSPORTATION CORP (B2192),Mini-Wagon,437
2019-2020,LEESEL TRANSPORTATION CORP (B2192),Ramp-Wagon,1
2019-2020,LEESEL TRANSPORTATION CORP (B2192),Standard Bus (GE),1
2019-2020,LEESEL TRANSPORTATION CORP (B2192),Standard Bus (SE),7
2019-2020,LEESEL TRANSPORTATION CORP (B2192),Type A or B Flex Vehicle,2
2019-2020,LEESEL TRANSPORTATION CORP (B2192),Wheelchair Accessible Alternative (WC),14
2019-2020,"LITTLE LINDA BUS CO.,INC.",Mini-Wagon,17
2019-2020,LITTLE LISA BUS CO. INC.,Mini-Wagon,138
2019-2020,LITTLE RICHIE BUS SERVICE,Mini-Wagon,553
2018-2019,HAPPY CHILD TRANS LLC (B2192),Standard Bus (GE),4
2019-2020,LITTLE RICHIE BUS SERVICE,Standard Bus (GE),1
2019-2020,LOGAN BUS COMPANY INC.,Mini-Wagon,357
2019-2020,LOGAN BUS COMPANY INC.,Standard Bus (GE),57
2019-2020,LOGAN BUS COMPANY INC.,Standard Bus (SE),12
2019-2020,LOGAN TRANSPORTATION SYSTEMS,Standard Bus (GE),44
2019-2020,LOGAN TRANSPORTATION SYSTEMS,Standard Bus (SE),2
2019-2020,"LORINDA ENTERPRISES, LTD.",Mini-Wagon,273
2019-2020,"LORINDA ENTERPRISES, LTD.",Standard Bus (GE),28
2019-2020,"LORINDA ENTERPRISES, LTD.",Standard Bus (SE),28
2019-2020,LORISSA BUS SERVICE INC.,Standard Bus (GE),116
2019-2020,"MJT BUS COMPANY, INC",Type A or B Flex Vehicle,1
2018-2019,G.V.C. LTD. (B2192),Mini-Wagon,131
2018-2019,I & Y TRANSIT CORP,Mini-Wagon,10
2019-2020,LORISSA BUS SERVICE INC.,Standard Bus (SE),15
2019-2020,MAR-CAN TRANSPORT CO. INC (B2192),Mini-Wagon,262
2019-2020,MUTUAL BUS CORP. (B2192),Non-Wheelchair Accessible Alternative (NWC),9
2019-2020,MUTUAL BUS CORP. (B2321),Type A or B Flex Vehicle,11
2019-2020,"NEW DAWN TRANSIT, LLC (B2321)",Mini-Wagon,5
2019-2020,"NEW DAWN TRANSIT, LLC (B2321)",Ramp-Wagon,23
2019-2020,"NEW DAWN TRANSIT, LLC (B2321)",Standard Bus (SE),102
2019-2020,"NEW DAWN TRANSIT, LLC (B2321)",Type A or B Flex Vehicle,3
2019-2020,PENNY TRANSPORTATION,Mini-Wagon,33
2019-2020,PENNY TRANSPORTATION,Ramp-Wagon,7
2019-2020,PENNY TRANSPORTATION,Standard Bus (GE),4
2019-2020,PHILLIP BUS CORP (B2192),Hydraulic Lift,1
2019-2020,PENNY TRANSPORTATION,Standard Bus (SE),1
2019-2020,PHILLIP BUS CORP (B2192),Mini-Wagon,2
2019-2020,PHILLIP BUS CORP (B2192),Non-Wheelchair Accessible Alternative (NWC),46
2019-2020,PHILLIPS BUS SERVICE,Hydraulic Lift,9
2019-2020,PHILLIPS BUS SERVICE,Mini-Wagon,49
2019-2020,PIONEER TRANSPORTATION CORP,Mini-Wagon,73
2019-2020,PIONEER TRANSPORTATION CORP,Ramp-Wagon,25
2019-2020,PIONEER TRANSPORTATION CORP,Standard Bus (GE),538
2019-2020,PIONEER TRANSPORTATION CORP,Standard Bus (SE),142
2019-2020,PRIDE TRANSPORTATION (SCH AGE),Hydraulic Lift,12
2019-2020,PRIDE TRANSPORTATION (SCH AGE),Mini-Wagon,344
2019-2020,PRIDE TRANSPORTATION (SCH AGE),Non-Wheelchair Accessible Alternative (NWC),12
2019-2020,PRIDE TRANSPORTATION (SCH AGE),Ramp-Wagon,1
2019-2020,PRIDE TRANSPORTATION (SCH AGE),Standard Bus (GE),2
2019-2020,PRIDE TRANSPORTATION (SCH AGE),Standard Bus (SE),52
2019-2020,"RELIANT TRANS, INC.",Non-Wheelchair Accessible Alternative (NWC),2
2019-2020,PRIDE TRANSPORTATION (SCH AGE),Type A or B Flex Vehicle,5
2019-2020,QUALITY TRANSPORTATION CORP.,Mini-Wagon,92
2019-2020,QUALITY TRANSPORTATION CORP.,Standard Bus (GE),110
2019-2020,QUALITY TRANSPORTATION CORP.,Standard Bus (SE),102
2019-2020,"RELIANT TRANSPORTATION, INC (B2321)",Mini-Wagon,776
2019-2020,"RELIANT TRANSPORTATION, INC (B2321)",Non-Wheelchair Accessible Alternative (NWC),5
2019-2020,"RELIANT TRANSPORTATION, INC (B2321)",Ramp-Wagon,1
2019-2020,"RELIANT TRANSPORTATION, INC (B2321)",Standard Bus (GE),191
2019-2020,"RELIANT TRANSPORTATION, INC (B2321)",Standard Bus (SE),11
2019-2020,"RELIANT TRANSPORTATION, INC (B2321)",Type A or B Flex Vehicle,26
2019-2020,RICHMOND COUNTY AMBULANCE SERV,Ambulance Transportation Service,51
2018-2019,"LITTLE LINDA BUS CO.,INC.",Mini-Wagon,15
2019-2020,ACCORD BUS LLC,Motor Coach Bus,23
2019-2020,ALINA SERVICES CORP.,Mini-Wagon,45
2019-2020,ALINA SERVICES CORP.,Ramp-Wagon,1
2019-2020,ALINA SERVICES CORP.,Standard Bus (SE),12
2019-2020,ALL AMERICAN SCHOOL BUS CORP.,Mini-Wagon,77
2019-2020,ALL AMERICAN SCHOOL BUS CORP.,Non-Wheelchair Accessible Alternative (NWC),1
2019-2020,ALL AMERICAN SCHOOL BUS CORP.,Ramp-Wagon,76
2019-2020,SELBY TRANSPORTATION,Ramp-Wagon,1
2019-2020,ALL AMERICAN SCHOOL BUS CORP.,Standard Bus (GE),75
2019-2020,SELBY TRANSPORTATION,Type A or B Flex Vehicle,2
2019-2020,ALL AMERICAN SCHOOL BUS CORP.,Standard Bus (SE),40
2019-2020,ALL AMERICAN SCHOOL BUS CORP.,Type A or B Flex Vehicle,22
2019-2020,ALL COUNTY BUS LLC (B2321),Mini-Wagon,89
2018-2019,PRIDE TRANSPORTATION (SCH AGE),Standard Bus (SE),31
2018-2019,PRIDE TRANSPORTATION (SCH AGE),Type A or B Flex Vehicle,10
2018-2019,QUALITY TRANSPORTATION CORP.,Mini-Wagon,34
2018-2019,QUALITY TRANSPORTATION CORP.,Standard Bus (GE),148
2018-2019,QUALITY TRANSPORTATION CORP.,Standard Bus (SE),79
2018-2019,"R & C TRANSIT, INC. (B2321)",Mini-Wagon,5
2018-2019,"RELIANT TRANSPORTATION, INC (B2321)",Mini-Wagon,833
2018-2019,"RELIANT TRANSPORTATION, INC (B2321)",Ramp-Wagon,1
2018-2019,"RELIANT TRANSPORTATION, INC (B2321)",Standard Bus (GE),16
2018-2019,"RELIANT TRANSPORTATION, INC (B2321)",Standard Bus (SE),203
2018-2019,"RELIANT TRANSPORTATION, INC (B2321)",Type A or B Flex Vehicle,25
2018-2019,RICHMOND COUNTY AMBULANCE SERV,Ambulance Transportation Service,51
2018-2019,"SUBURBAN TRAILS, INC",Motor Coach Bus,70
2018-2019,"THOMAS BUSES, INC. (B2321)",Type A or B Flex Vehicle,1
2018-2019,"THIRD AVENUE TRANSIT, INC",Standard Bus (SE),13
2018-2019,THOMAS BUSES INC (B2192),Type A or B Flex Vehicle,21
2018-2019,"THOMAS BUSES, INC. (B2321)",Mini-Wagon,15
2018-2019,"THOMAS BUSES, INC. (B2321)",Non-Wheelchair Accessible Alternative (NWC),34
2018-2019,"THOMAS BUSES, INC. (B2321)",Standard Bus (SE),1
2018-2019,"THOMAS BUSES, INC.",Mini-Wagon,16
2018-2019,"THOMAS BUSES, INC.",Standard Bus (GE),2
2018-2019,"THOMAS BUSES, INC.",Type A or B Flex Vehicle,2
2018-2019,VAN TRANS LLC (B2192),Mini-Wagon,29
2018-2019,VAN TRANS LLC (B2192),Non-Wheelchair Accessible Alternative (NWC),36
2018-2019,VAN TRANS LLC (B2192),Standard Bus (SE),108
2018-2019,VAN TRANS LLC (B2192),Type A or B Flex Vehicle,36
2018-2019,VAN TRANS LLC (B2192),Wheelchair Accessible Alternative (WC),2
2018-2019,VINNY`S BUS SERVICES (B2321),Mini-Wagon,67
2018-2019,Y & M TRANSIT CORP (B2192),Mini-Wagon,271
2018-2019,Y & M TRANSIT CORP (B2192),Standard Bus (SE),3
2018-2019,Y & M TRANSIT CORP (B2321),Mini-Wagon,17
2019-2020,ACADEMY EXPRESS LLC,Motor Coach Bus,124
2019-2020,HOYT TRANSPORTATION CORP.,Type C or D Dual Door,1
2019-2020,JOFAZ TRANSPORTATION INC.,Type C or D Flex,1
2019-2020,IC BUS INC. (PRE-K),Hydraulic Lift,4
2019-2020,"MJT BUS COMPANY, INC",Mini-Wagon,4
2019-2020,"MJT BUS COMPANY, INC",Standard Bus (SE),2
2019-2020,MUTUAL BUS CORP. (B2192),Type C or D Flex,6
2019-2020,"NEW DAWN TRANSIT, LLC (B2321)",Standard Bus (GE),1
2019-2020,SELBY TRANSPORTATION,Wheelchair Accessible Alternative (WC),1
2019-2020,"THIRD AVENUE TRANSIT, INC",Mini-Wagon,1
2019-2020,ROYAL EXPRESS LINE CORP.,Mini-Wagon,18
2019-2020,ROYAL EXPRESS LINE CORP.,Standard Bus (SE),1
2019-2020,S & J TOUR & BUS INC.,Motor Coach Bus,11
2019-2020,SELBY TRANSPORTATION,Mini-Wagon,34
2019-2020,SELBY TRANSPORTATION,Standard Bus (SE),1
2019-2020,SMART PICK INC,Mini-Wagon,29
2019-2020,SMART PICK INC,Ramp-Wagon,2
2019-2020,SMART PICK INC,Standard Bus (GE),5
2019-2020,SNT BUS INC,Mini-Wagon,1
2019-2020,SNT BUS INC,Standard Bus (GE),461
2019-2020,SNT BUS INC,Standard Bus (SE),11
2019-2020,"SUBURBAN TRAILS, INC",Motor Coach Bus,70
2019-2020,"THIRD AVENUE TRANSIT, INC",Standard Bus (SE),18
2019-2020,THOMAS BUSES INC (B2192),Type A or B Flex Vehicle,20
2019-2020,"THOMAS BUSES, INC. (B2321)",Mini-Wagon,9
2019-2020,"THOMAS BUSES, INC. (B2321)",Non-Wheelchair Accessible Alternative (NWC),33
2019-2020,"THOMAS BUSES, INC. (B2321)",Standard Bus (SE),1
2019-2020,"THOMAS BUSES, INC. (B2321)",Type A or B Flex Vehicle,8
2019-2020,"THOMAS BUSES, INC. (B2321)",Wheelchair Accessible Alternative (WC),1
2019-2020,VAN TRANS LLC (B2192),Mini-Wagon,17
2019-2020,VAN TRANS LLC (B2192),Non-Wheelchair Accessible Alternative (NWC),28
2019-2020,VAN TRANS LLC (B2192),Standard Bus (SE),106
2019-2020,VAN TRANS LLC (B2192),Type A or B Flex Vehicle,17
2019-2020,VAN TRANS LLC (B2192),Wheelchair Accessible Alternative (WC),1
2019-2020,VINNY`S BUS SERVICES (B2321),Mini-Wagon,68
2019-2020,Y & M TRANSIT CORP (B2192),Mini-Wagon,236
2019-2020,Y & M TRANSIT CORP (B2192),Standard Bus (SE),1
