Reporting Area,MMWR Year,MMWR Week,"Invasive pneumococcal disease, all ages§, Confirmed, Current week","Invasive pneumococcal disease, all ages§, Confirmed, Current week, flag","Invasive pneumococcal disease, all ages§, Confirmed, Previous 52 weeks Max†","Invasive pneumococcal disease, all ages§, Confirmed, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2020†","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2020†, flag","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2019†","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2019†, flag","Invasive pneumococcal disease, all ages§, Probable, Current week","Invasive pneumococcal disease, all ages§, Probable, Current week, flag","Invasive pneumococcal disease, all ages§, Probable, Previous 52 weeks Max†","Invasive pneumococcal disease, all ages§, Probable, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, all ages§, Probable,  Cum 2020†","Invasive pneumococcal disease, all ages§, Probable,  Cum 2020†, flag","Invasive pneumococcal disease, all ages§, Probable,  Cum 2019†","Invasive pneumococcal disease, all ages§, Probable, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
MAINE,2020,8,3,,9,,32,,45,,,-,0,,,-,,-,MAINE,,20200804,POINT (-69.06137 45.117911)
VIRGINIA,2020,8,1,,3,,4,,4,,,-,0,,,-,,-,VIRGINIA,,20200836,POINT (-78.666382 37.510861)
ARIZONA,2020,8,22,,37,,229,,194,,,-,2,,1,,,-,ARIZONA,,20200849,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,8,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200864,
WISCONSIN,2020,8,6,,23,,96,,80,,,-,0,,,-,,-,WISCONSIN,,20200819,POINT (-89.732969 44.639954)
IDAHO,2020,8,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20200851,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200868,POINT (-64.840836 18.060868)
MICHIGAN,2020,8,,-,39,,130,,174,,,-,4,,,-,3,,MICHIGAN,,20200817,POINT (-85.730977 44.874798)
GEORGIA,2020,8,,-,38,,114,,205,,,-,0,,,-,,-,GEORGIA,,20200832,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,8,18,,44,,206,,161,,,-,3,,,-,,-,,NEW YORK CITY,20200812,
ARKANSAS,2020,8,10,,33,,70,,72,,1,,0,,1,,,-,ARKANSAS,,20200844,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,8,,-,20,,54,,75,,,-,0,,,-,,-,MISSISSIPPI,,20200841,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,8,2,,5,,22,,18,,,-,2,,,-,1,,SOUTH DAKOTA,,20200827,POINT (-100.230491 44.43614)
WYOMING,2020,8,,-,4,,11,,7,,,-,0,,,-,,-,WYOMING,,20200856,POINT (-107.55145 42.999627)
MISSOURI,2020,8,,-,31,,66,,138,,,-,4,,2,,13,,MISSOURI,,20200824,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,8,39,,121,,466,,488,,,-,7,,20,,14,,,MIDDLE ATLANTIC,20200809,
CALIFORNIA,2020,8,,N,,NC,,N,,N,,N,,NC,,N,,N,CALIFORNIA,,20200859,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,8,,-,17,,35,,61,,,-,1,,1,,,-,WEST VIRGINIA,,20200837,POINT (-80.613729 38.642579)
FLORIDA,2020,8,26,,62,,222,,132,,1,,2,,6,,2,,FLORIDA,,20200831,POINT (-82.420978 28.260731)
MONTANA,2020,8,,-,8,,16,,26,,,-,1,,,-,,-,MONTANA,,20200852,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,8,5,,45,,153,,270,,,-,4,,2,,16,,,WEST NORTH CENTRAL,20200820,
MASSACHUSETTS,2020,8,4,,19,,96,,134,,,-,1,,,-,2,,MASSACHUSETTS,,20200805,POINT (-71.481104 42.151077)
MOUNTAIN,2020,8,51,,93,,581,,570,,,-,2,,1,,1,,,MOUNTAIN,20200848,
INDIANA,2020,8,,-,25,,73,,136,,,-,1,,,-,,-,INDIANA,,20200816,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200869,
US TERRITORIES,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200863,
MONTANA,2020,16,1,,8,,31,,43,,,-,1,,,-,,-,MONTANA,,20201652,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,16,,-,46,,295,,558,,,-,4,,4,,24,,,WEST NORTH CENTRAL,20201620,
TOTAL,2020,9,207,,715,,3786,,4364,,7,,13,,63,,70,,,TOTAL,20200970,
US RESIDENTS,2020,9,207,,715,,3786,,4364,,7,,13,,63,,70,,,US RESIDENTS,20200901,
NEW HAMPSHIRE,2020,9,,-,8,,22,,30,,,-,0,,,-,,-,NEW HAMPSHIRE,,20200906,POINT (-71.57139 43.680429)
NEW YORK,2020,9,11,,92,,145,,162,,,-,3,,7,,1,,NEW YORK,,20200911,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2020,9,37,,263,,452,,542,,1,,4,,4,,2,,,WEST SOUTH CENTRAL,20200943,
NEBRASKA,2020,9,1,,9,,47,,45,,,-,0,,,-,1,,NEBRASKA,,20200925,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,9,10,,76,,422,,491,,,-,2,,1,,3,,,EAST SOUTH CENTRAL,20200938,
NORTH DAKOTA,2020,9,2,,6,,22,,18,,,-,0,,,-,,-,NORTH DAKOTA,,20200926,POINT (-100.46931 47.446305)
NEVADA,2020,9,1,,17,,82,,90,,,-,0,,,-,,-,NEVADA,,20200953,POINT (-114.916992 39.283294)
ILLINOIS,2020,9,,N,,NC,,N,,N,,N,,NC,,N,,N,ILLINOIS,,20200915,POINT (-89.148632 40.124144)
IOWA,2020,9,,N,,NC,,N,,N,,N,,NC,,N,,N,IOWA,,20200921,POINT (-93.500061 42.074659)
TEXAS,2020,9,18,,215,,267,,350,,1,,4,,3,,2,,TEXAS,,20200947,POINT (-99.317341 31.447238)
ALASKA,2020,9,,-,6,,,-,34,,,-,1,,,-,1,,ALASKA,,20200958,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,9,,-,5,,14,,12,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200930,POINT (-77.016275 38.904785)
WASHINGTON,2020,9,,N,,NC,,N,,N,,N,,NC,,N,,N,WASHINGTON,,20200962,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,9,4,,38,,192,,308,,,-,1,,,-,4,,,NEW ENGLAND,20200902,
RHODE ISLAND,2020,9,,-,8,,9,,16,,,-,1,,,-,,-,RHODE ISLAND,,20200907,POINT (-71.534637 41.572574)
OREGON,2020,9,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20200961,POINT (-120.605279 43.940449)
DELAWARE,2020,9,,-,6,,16,,13,,,-,1,,,-,,-,DELAWARE,,20200929,POINT (-75.452394 38.994926)
ALABAMA,2020,9,,-,17,,63,,132,,,-,0,,,-,1,,ALABAMA,,20200939,POINT (-86.844516 32.756889)
KANSAS,2020,9,,-,10,,,-,56,,,-,1,,,-,1,,KANSAS,,20200922,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,9,,N,,NC,,N,,N,,N,,NC,,N,,N,NORTH CAROLINA,,20200934,POINT (-79.130883 35.52603)
GUAM,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200966,POINT (144.653198 13.3532)
NEW JERSEY,2020,9,4,,28,,106,,155,,1,,3,,12,,13,,NEW JERSEY,,20200910,POINT (-74.655514 40.110253)
NEW MEXICO,2020,9,2,,15,,72,,96,,,-,0,,,-,,-,NEW MEXICO,,20200954,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,9,35,,149,,690,,735,,5,,6,,25,,20,,,EAST NORTH CENTRAL,20200914,
TENNESSEE,2020,9,7,,28,,176,,183,,,-,2,,1,,1,,TENNESSEE,,20200942,POINT (-86.343226 35.842998)
CONNECTICUT,2020,9,,-,14,,17,,60,,,-,0,,,-,,-,CONNECTICUT,,20200903,POINT (-72.738288 41.575155)
MARYLAND,2020,9,14,,23,,123,,113,,,-,1,,,-,,-,MARYLAND,,20200933,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,9,,-,34,,76,,131,,,-,2,,3,,3,,SOUTH CAROLINA,,20200935,POINT (-80.864614 33.878572)
OKLAHOMA,2020,9,,N,,NC,,N,,N,,N,,NC,,N,,N,OKLAHOMA,,20200946,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200965,POINT (145.725693 15.1834)
OHIO,2020,9,29,,63,,349,,296,,5,,5,,25,,16,,OHIO,,20200918,POINT (-82.70936 40.415534)
MINNESOTA,2020,9,,-,12,,,-,2,,,-,0,,,-,,-,MINNESOTA,,20200923,POINT (-94.198308 46.349153)
LOUISIANA,2020,9,,-,24,,96,,113,,,-,1,,,-,,-,LOUISIANA,,20200945,POINT (-91.840238 30.921314)
HAWAII,2020,9,,-,8,,6,,28,,,-,0,,,-,,-,HAWAII,,20200960,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,9,54,,141,,677,,717,,,-,3,,10,,6,,,SOUTH ATLANTIC,20200928,
PENNSYLVANIA,2020,9,,-,13,,48,,57,,,-,1,,2,,1,,PENNSYLVANIA,,20200913,POINT (-77.838886 40.896694)
UTAH,2020,9,4,,12,,56,,62,,,-,1,,,-,1,,UTAH,,20200955,POINT (-111.678222 39.323779)
COLORADO,2020,9,18,,24,,163,,145,,,-,1,,,-,,-,COLORADO,,20200950,POINT (-105.547832 38.998552)
VERMONT,2020,9,1,,5,,13,,6,,,-,0,,,-,1,,VERMONT,,20200908,POINT (-72.662695 44.075252)
KENTUCKY,2020,9,,-,33,,116,,91,,,-,0,,,-,1,,KENTUCKY,,20200940,POINT (-85.290484 37.526683)
PUERTO RICO,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200967,POINT (-66.414655 18.215692)
MAINE,2020,9,3,,9,,35,,49,,,-,0,,,-,,-,MAINE,,20200904,POINT (-69.06137 45.117911)
VIRGINIA,2020,9,,-,3,,5,,4,,,-,0,,,-,,-,VIRGINIA,,20200936,POINT (-78.666382 37.510861)
ARIZONA,2020,9,23,,34,,253,,223,,,-,1,,1,,1,,ARIZONA,,20200949,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,9,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200964,
WISCONSIN,2020,9,6,,23,,112,,87,,,-,0,,,-,,-,WISCONSIN,,20200919,POINT (-89.732969 44.639954)
IDAHO,2020,9,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20200951,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200968,POINT (-64.840836 18.060868)
MICHIGAN,2020,9,,-,40,,145,,196,,,-,4,,,-,3,,MICHIGAN,,20200917,POINT (-85.730977 44.874798)
GEORGIA,2020,9,15,,40,,161,,226,,,-,0,,,-,,-,GEORGIA,,20200932,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,9,,-,44,,207,,178,,,-,3,,,-,,-,,NEW YORK CITY,20200912,
ARKANSAS,2020,9,19,,33,,89,,79,,,-,1,,1,,,-,ARKANSAS,,20200944,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,9,3,,20,,67,,85,,,-,0,,,-,,-,MISSISSIPPI,,20200941,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,9,1,,5,,23,,21,,,-,2,,,-,1,,SOUTH DAKOTA,,20200927,POINT (-100.230491 44.43614)
WYOMING,2020,9,,-,4,,11,,10,,,-,0,,,-,,-,WYOMING,,20200956,POINT (-107.55145 42.999627)
MISSOURI,2020,9,,-,33,,91,,161,,,-,4,,1,,14,,MISSOURI,,20200924,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,9,15,,124,,506,,552,,1,,6,,21,,15,,,MIDDLE ATLANTIC,20200909,
CALIFORNIA,2020,9,,N,,NC,,N,,N,,N,,NC,,N,,N,CALIFORNIA,,20200959,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,9,,-,17,,35,,76,,,-,1,,1,,,-,WEST VIRGINIA,,20200937,POINT (-80.613729 38.642579)
FLORIDA,2020,9,25,,62,,247,,142,,,-,2,,6,,3,,FLORIDA,,20200931,POINT (-82.420978 28.260731)
MONTANA,2020,9,,-,8,,21,,28,,,-,1,,,-,,-,MONTANA,,20200952,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,9,4,,46,,183,,303,,,-,4,,1,,17,,,WEST NORTH CENTRAL,20200920,
MASSACHUSETTS,2020,9,,-,19,,96,,147,,,-,1,,,-,3,,MASSACHUSETTS,,20200905,POINT (-71.481104 42.151077)
MOUNTAIN,2020,9,48,,93,,658,,654,,,-,2,,1,,2,,,MOUNTAIN,20200948,
INDIANA,2020,9,,-,25,,84,,156,,,-,1,,,-,1,,INDIANA,,20200916,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200969,
US TERRITORIES,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200963,
TOTAL,2020,10,235,,734,,4253,,4878,,4,,13,,65,,78,,,TOTAL,20201070,
US RESIDENTS,2020,10,235,,734,,4253,,4878,,4,,13,,65,,78,,,US RESIDENTS,20201001,
NEW HAMPSHIRE,2020,10,,-,8,,26,,32,,,-,0,,,-,,-,NEW HAMPSHIRE,,20201006,POINT (-71.57139 43.680429)
NEW YORK,2020,10,16,,94,,161,,183,,,-,3,,7,,1,,NEW YORK,,20201011,POINT (-75.59655 42.921241)
PACIFIC,2020,10,,-,11,,13,,67,,,-,1,,,-,2,,,PACIFIC,20201057,
WEST SOUTH CENTRAL,2020,10,28,,263,,516,,622,,,-,4,,4,,3,,,WEST SOUTH CENTRAL,20201043,
NEBRASKA,2020,10,,-,9,,47,,48,,,-,0,,,-,1,,NEBRASKA,,20201025,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,10,3,,76,,446,,536,,,-,2,,2,,3,,,EAST SOUTH CENTRAL,20201038,
NORTH DAKOTA,2020,10,4,,6,,26,,19,,,-,0,,,-,,-,NORTH DAKOTA,,20201026,POINT (-100.46931 47.446305)
NEVADA,2020,10,1,,17,,87,,100,,,-,0,,,-,,-,NEVADA,,20201053,POINT (-114.916992 39.283294)
ILLINOIS,2020,10,,N,,NC,,N,,N,,N,,NC,,N,,N,ILLINOIS,,20201015,POINT (-89.148632 40.124144)
IOWA,2020,10,,N,,NC,,N,,N,,N,,NC,,N,,N,IOWA,,20201021,POINT (-93.500061 42.074659)
TEXAS,2020,10,10,,215,,301,,413,,,-,4,,3,,3,,TEXAS,,20201047,POINT (-99.317341 31.447238)
ALASKA,2020,10,,-,6,,,-,37,,,-,1,,,-,2,,ALASKA,,20201058,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,10,,-,5,,14,,12,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20201030,POINT (-77.016275 38.904785)
WASHINGTON,2020,10,,N,,NC,,N,,N,,N,,NC,,N,,N,WASHINGTON,,20201062,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,10,2,,40,,221,,336,,,-,1,,,-,4,,,NEW ENGLAND,20201002,
RHODE ISLAND,2020,10,,-,8,,9,,18,,,-,1,,,-,,-,RHODE ISLAND,,20201007,POINT (-71.534637 41.572574)
OREGON,2020,10,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20201061,POINT (-120.605279 43.940449)
DELAWARE,2020,10,,-,6,,16,,14,,,-,1,,,-,,-,DELAWARE,,20201029,POINT (-75.452394 38.994926)
ALABAMA,2020,10,,-,17,,68,,141,,,-,0,,,-,1,,ALABAMA,,20201039,POINT (-86.844516 32.756889)
KANSAS,2020,10,,-,10,,,-,66,,,-,1,,,-,1,,KANSAS,,20201022,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,10,,N,,NC,,N,,N,,N,,NC,,N,,N,NORTH CAROLINA,,20201034,POINT (-79.130883 35.52603)
GUAM,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201066,POINT (144.653198 13.3532)
NEW JERSEY,2020,10,7,,28,,124,,173,,,-,3,,12,,14,,NEW JERSEY,,20201010,POINT (-74.655514 40.110253)
NEW MEXICO,2020,10,6,,15,,85,,106,,,-,0,,,-,,-,NEW MEXICO,,20201054,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,10,43,,152,,772,,836,,4,,6,,25,,23,,,EAST NORTH CENTRAL,20201014,
TENNESSEE,2020,10,2,,28,,184,,200,,,-,2,,1,,1,,TENNESSEE,,20201042,POINT (-86.343226 35.842998)
CONNECTICUT,2020,10,,-,14,,40,,68,,,-,0,,,-,,-,CONNECTICUT,,20201003,POINT (-72.738288 41.575155)
MARYLAND,2020,10,9,,22,,134,,127,,,-,1,,,-,,-,MARYLAND,,20201033,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,10,,-,34,,76,,145,,,-,2,,3,,3,,SOUTH CAROLINA,,20201035,POINT (-80.864614 33.878572)
OKLAHOMA,2020,10,,N,,NC,,N,,N,,N,,NC,,N,,N,OKLAHOMA,,20201046,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201065,POINT (145.725693 15.1834)
OHIO,2020,10,35,,63,,388,,332,,4,,5,,25,,17,,OHIO,,20201018,POINT (-82.70936 40.415534)
MINNESOTA,2020,10,,-,12,,,-,5,,,-,0,,,-,,-,MINNESOTA,,20201023,POINT (-94.198308 46.349153)
LOUISIANA,2020,10,10,,24,,118,,120,,,-,1,,,-,,-,LOUISIANA,,20201045,POINT (-91.840238 30.921314)
HAWAII,2020,10,,-,8,,13,,30,,,-,0,,,-,,-,HAWAII,,20201060,POINT (-157.854309 21.361013)
PENNSYLVANIA,2020,10,1,,13,,50,,62,,,-,1,,2,,1,,PENNSYLVANIA,,20201013,POINT (-77.838886 40.896694)
UTAH,2020,10,6,,12,,62,,66,,,-,1,,,-,1,,UTAH,,20201055,POINT (-111.678222 39.323779)
COLORADO,2020,10,15,,24,,178,,166,,,-,1,,,-,1,,COLORADO,,20201050,POINT (-105.547832 38.998552)
VERMONT,2020,10,,-,5,,13,,8,,,-,0,,,-,1,,VERMONT,,20201008,POINT (-72.662695 44.075252)
KENTUCKY,2020,10,1,,33,,127,,104,,,-,1,,1,,1,,KENTUCKY,,20201040,POINT (-85.290484 37.526683)
PUERTO RICO,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201067,POINT (-66.414655 18.215692)
MAINE,2020,10,2,,9,,37,,57,,,-,0,,,-,,-,MAINE,,20201004,POINT (-69.06137 45.117911)
VIRGINIA,2020,10,,-,3,,5,,5,,,-,0,,,-,,-,VIRGINIA,,20201036,POINT (-78.666382 37.510861)
ARIZONA,2020,10,27,,34,,281,,248,,,-,1,,1,,1,,ARIZONA,,20201049,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,10,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20201064,
WISCONSIN,2020,10,7,,23,,121,,100,,,-,0,,,-,,-,WISCONSIN,,20201019,POINT (-89.732969 44.639954)
IDAHO,2020,10,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20201051,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201068,POINT (-64.840836 18.060868)
MICHIGAN,2020,10,1,,43,,171,,225,,,-,4,,,-,4,,MICHIGAN,,20201017,POINT (-85.730977 44.874798)
GEORGIA,2020,10,11,,42,,194,,247,,,-,0,,,-,,-,GEORGIA,,20201032,POINT (-83.426574 32.638481)
ARKANSAS,2020,10,8,,33,,97,,89,,,-,1,,1,,,-,ARKANSAS,,20201044,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,10,,-,20,,67,,91,,,-,0,,,-,,-,MISSISSIPPI,,20201041,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,10,2,,5,,29,,24,,,-,2,,,-,1,,SOUTH DAKOTA,,20201027,POINT (-100.230491 44.43614)
WYOMING,2020,10,1,,4,,12,,13,,,-,0,,,-,,-,WYOMING,,20201056,POINT (-107.55145 42.999627)
MISSOURI,2020,10,17,,33,,138,,180,,,-,4,,2,,15,,MISSOURI,,20201024,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,10,43,,127,,562,,613,,,-,6,,21,,16,,,MIDDLE ATLANTIC,20201009,
CALIFORNIA,2020,10,,N,,NC,,N,,N,,N,,NC,,N,,N,CALIFORNIA,,20201059,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,10,,-,17,,53,,84,,,-,1,,1,,,-,WEST VIRGINIA,,20201037,POINT (-80.613729 38.642579)
FLORIDA,2020,10,17,,62,,264,,162,,,-,2,,6,,3,,FLORIDA,,20201031,POINT (-82.420978 28.260731)
MONTANA,2020,10,,-,8,,22,,31,,,-,1,,,-,,-,MONTANA,,20201052,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,10,23,,46,,240,,342,,,-,4,,2,,18,,,WEST NORTH CENTRAL,20201020,
MASSACHUSETTS,2020,10,,-,19,,96,,153,,,-,1,,,-,3,,MASSACHUSETTS,,20201005,POINT (-71.481104 42.151077)
MOUNTAIN,2020,10,56,,93,,727,,730,,,-,2,,1,,3,,,MOUNTAIN,20201048,
INDIANA,2020,10,,-,25,,92,,179,,,-,1,,,-,2,,INDIANA,,20201016,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20201069,
US TERRITORIES,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201063,
TOTAL,2020,11,196,,744,,4600,,5399,,7,,13,,71,,83,,,TOTAL,20201170,
US RESIDENTS,2020,11,196,,744,,4600,,5399,,7,,13,,71,,83,,,US RESIDENTS,20201101,
NEW HAMPSHIRE,2020,11,2,,8,,29,,36,,1,,0,,1,,,-,NEW HAMPSHIRE,,20201106,POINT (-71.57139 43.680429)
NEW YORK,2020,11,18,,94,,179,,203,,,-,3,,7,,1,,NEW YORK,,20201111,POINT (-75.59655 42.921241)
PACIFIC,2020,11,,-,11,,13,,73,,,-,0,,,-,2,,,PACIFIC,20201157,
WEST SOUTH CENTRAL,2020,11,23,,273,,566,,707,,1,,4,,6,,3,,,WEST SOUTH CENTRAL,20201143,
NEBRASKA,2020,11,2,,9,,54,,55,,,-,1,,1,,1,,NEBRASKA,,20201125,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,11,15,,76,,496,,589,,1,,2,,3,,3,,,EAST SOUTH CENTRAL,20201138,
NORTH DAKOTA,2020,11,1,,6,,28,,20,,,-,0,,,-,,-,NORTH DAKOTA,,20201126,POINT (-100.46931 47.446305)
NEVADA,2020,11,1,,17,,91,,109,,,-,0,,,-,,-,NEVADA,,20201153,POINT (-114.916992 39.283294)
ILLINOIS,2020,11,,N,,NC,,N,,N,,N,,NC,,N,,N,ILLINOIS,,20201115,POINT (-89.148632 40.124144)
IOWA,2020,11,,N,,NC,,N,,N,,N,,NC,,N,,N,IOWA,,20201121,POINT (-93.500061 42.074659)
TEXAS,2020,11,11,,225,,336,,470,,1,,4,,5,,3,,TEXAS,,20201147,POINT (-99.317341 31.447238)
ALASKA,2020,11,,-,6,,,-,40,,,-,0,,,-,2,,ALASKA,,20201158,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,11,,-,5,,21,,12,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20201130,POINT (-77.016275 38.904785)
WASHINGTON,2020,11,,N,,NC,,N,,N,,N,,NC,,N,,N,WASHINGTON,,20201162,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,11,5,,40,,234,,356,,1,,1,,1,,4,,,NEW ENGLAND,20201102,
RHODE ISLAND,2020,11,,-,8,,9,,18,,,-,1,,,-,,-,RHODE ISLAND,,20201107,POINT (-71.534637 41.572574)
OREGON,2020,11,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20201161,POINT (-120.605279 43.940449)
DELAWARE,2020,11,,-,6,,16,,16,,,-,1,,,-,,-,DELAWARE,,20201129,POINT (-75.452394 38.994926)
ALABAMA,2020,11,,-,17,,84,,154,,,-,0,,,-,1,,ALABAMA,,20201139,POINT (-86.844516 32.756889)
KANSAS,2020,11,,-,10,,,-,76,,,-,1,,,-,1,,KANSAS,,20201122,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,11,,N,,NC,,N,,N,,N,,NC,,N,,N,NORTH CAROLINA,,20201134,POINT (-79.130883 35.52603)
GUAM,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201166,POINT (144.653198 13.3532)
NEW JERSEY,2020,11,3,,29,,135,,184,,,-,3,,12,,15,,NEW JERSEY,,20201110,POINT (-74.655514 40.110253)
NEW MEXICO,2020,11,2,,18,,99,,115,,,-,0,,,-,,-,NEW MEXICO,,20201154,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,11,40,,156,,853,,933,,4,,6,,25,,26,,,EAST NORTH CENTRAL,20201114,
TENNESSEE,2020,11,9,,28,,201,,219,,1,,2,,2,,1,,TENNESSEE,,20201142,POINT (-86.343226 35.842998)
CONNECTICUT,2020,11,,-,14,,40,,73,,,-,0,,,-,,-,CONNECTICUT,,20201103,POINT (-72.738288 41.575155)
MARYLAND,2020,11,6,,21,,139,,143,,,-,1,,,-,,-,MARYLAND,,20201133,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,11,,-,34,,76,,165,,,-,2,,3,,3,,SOUTH CAROLINA,,20201135,POINT (-80.864614 33.878572)
OKLAHOMA,2020,11,,N,,NC,,N,,N,,N,,NC,,N,,N,OKLAHOMA,,20201146,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201165,POINT (145.725693 15.1834)
OHIO,2020,11,34,,63,,425,,366,,4,,5,,25,,18,,OHIO,,20201118,POINT (-82.70936 40.415534)
MINNESOTA,2020,11,,-,12,,,-,5,,,-,0,,,-,,-,MINNESOTA,,20201123,POINT (-94.198308 46.349153)
LOUISIANA,2020,11,7,,24,,128,,136,,,-,1,,,-,,-,LOUISIANA,,20201145,POINT (-91.840238 30.921314)
HAWAII,2020,11,,-,8,,13,,33,,,-,0,,,-,,-,HAWAII,,20201160,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,11,34,,143,,799,,890,,,-,4,,11,,6,,,SOUTH ATLANTIC,20201128,
PENNSYLVANIA,2020,11,,-,13,,50,,68,,,-,1,,2,,1,,PENNSYLVANIA,,20201113,POINT (-77.838886 40.896694)
UTAH,2020,11,5,,12,,69,,72,,,-,1,,,-,1,,UTAH,,20201155,POINT (-111.678222 39.323779)
COLORADO,2020,11,18,,24,,196,,189,,,-,0,,,-,1,,COLORADO,,20201150,POINT (-105.547832 38.998552)
