Establishment Name,Street Address,City,Zip Code,Inspection Date,Inspection Results,Inspection Type,Lifeguard on Deck,Main Drains Visible,Recirculation System Operating,Water Level Adequate,Disinfection System Operating,Bathhouse Operational ,DHHS Permitted Entry,Immediate Hazard Absent,CPR Certified Personnel,Water Chemistry,Organization,Category,Location 1,Establishment #
BIRCHES,1532 HEATHER HOLLOW CIR,Silver Spring,20904,08/13/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,AHC INC,Apartments/Condos,"1532 HEATHER HOLLOW CIR
Silver Spring, MD 20904
(39.040609, -76.986829)",19832
COUNTRY GLEN,10055 GLEN RD,POTOMAC,20854,08/12/2019,Critical Violations Noted,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,COUNTRY GLEN CLUB,Community,"10055 GLEN RD
POTOMAC, MD 20854
(39.046594, -77.20739)",19636
WINDSOR COURT & TOWERS,13802 CASTLE BLVD,SILVER SPRING,20904,08/06/2019,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,WINDSOR COURT & TOWERS,Apartments/Condos,"13802 CASTLE BLVD
SILVER SPRING, MD 20904
(39.082785, -76.943268)",19957
BARRIE SCHOOL,13500 LAYHILL RD,SILVER SPRING,20906,08/06/2019,Critical Violations Noted,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,BARRIE SCHOOL,Other,"13500 LAYHILL RD
SILVER SPRING, MD 20906
(39.077841, -77.046352)",19574
GAITHER HOUSE,501-B  S FREDERICK AVE,GAITHERSBURG,20877,08/08/2019,Critical Violations and Corrected during Inspectio,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,ARC DEVELOPERS INC,Apartments/Condos,"501-B S FREDERICK AVE
GAITHERSBURG, MD 20877
(39.134986, -77.19127)",19676
CITRON,815 PERSHING ST,SILVER SPRING,20910,08/13/2019,Pool closed but may resume operation once correcte,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,FOULGER-PRATT CO,Apartments/Condos,"815 PERSHING ST
SILVER SPRING, MD 20910
(38.997995, -77.023136)",27375
ELDWICK,11130 BROAD GREEN DR,POTOMAC,20854,08/12/2019,Critical Violations Noted,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,ELDWICK HOMES ASSOC,Country Club,"11130 BROAD GREEN DR
POTOMAC, MD 20854
(39.039817, -77.203208)",19653
SPRING RIDGE,374 N SUMMIT AVE,GAITHERSBURG,20877,08/08/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,DREYFUSS MANAGEMENT.LLC,Community,"374 N SUMMIT AVE
GAITHERSBURG, MD 20877
(39.149053, -77.193068)",19882
ACAC,20500 SENECA MEADOWS PKWY,Germantown,20874,08/13/2019,Critical Violations and Corrected during Inspectio,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,LEGACY MANAGEMENT,Apartments/Condos,"20500 SENECA MEADOWS PKWY
Germantown, MD 20874
(39.196973, -77.258106)",20008
HADLEY FARMS,7420 HADLEY FARMS DR,GAITHERSBURG,20879,08/10/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,HADLEY FARMS HOA,Community,"7420 HADLEY FARMS DR
GAITHERSBURG, MD 20879
(39.181396, -77.157779)",19703
RESIDENCE INN-BETHESDA,7335 WISCONSIN AVE,BETHESDA,20814,08/13/2019,Critical Violations Noted,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MARRIOTT,Hotel,"7335 WISCONSIN AVE
BETHESDA, MD 20814
(38.982773, -77.09337)",19852
PARK OVERLOOK,8103 NEEDWOOD RD,ROCKVILLE,20855,08/10/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,PARK OVERLOOK HOA,Apartments/Condos,"8103 NEEDWOOD RD
ROCKVILLE, MD 20855
(39.128361, -77.159399)",19818
CROSSING AT OLDE TOWNE,200 OLDE TOWNE AVE,Gaithersburg,20877,08/08/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,OLDE TOWNE ASSOCIATED LP,Community,"200 OLDE TOWNE AVE
Gaithersburg, MD 20877
(39.140776, -77.196094)",30566
WILLOWS,429 W DIAMOND AVE,GAITHERSBURG,20877,08/07/2019,No Critical Violations,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,WILLOWS OF GAITHERSBURG ASSOC LP,Apartments/Condos,"429 W DIAMOND AVE
GAITHERSBURG, MD 20877
(39.14042, -77.208879)",19954
WHITE OAK GARDENS,11615 LOCKWOOD DR,SILVER SPRING,20904,08/13/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CASE MANAGEMENT LLC,Apartments/Condos,"11615 LOCKWOOD DR
SILVER SPRING, MD 20904
(39.041433, -76.983419)",19947
COUNTRY PLACE,3900 BLACKBURN LN,BURTONSVILLE,20866,08/16/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,"POLINGER, SHANNON & LUCHS CO",Apartments/Condos,"3900 BLACKBURN LN
BURTONSVILLE, MD 20866
(39.104619, -76.9307)",19637
OLNEY TOWNE,3339 TIDEWATER CT,Olney,20832,08/16/2019,,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,LAURA ETCHISON,Apartments/Condos,"3339 TIDEWATER CT
Olney, MD 20832
(39.156621, -77.067366)",29873
WASHINGTON SPORTS CLUBS-SS,901 WAYNE AVE,SILVER SPRING,20910,01/16/2019,,,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,TOWN SPORTS INTERNATIONAL,Other,"901 WAYNE AVE
SILVER SPRING, MD 20910
(38.995418, -77.024396)",20031
NORTHWEST BRANCH,10850 LOCKWOOD DR,SILVER SPRING,20901,07/24/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,HEATHER FOLEY,Apartments/Condos,"10850 LOCKWOOD DR
SILVER SPRING, MD 20901
(39.033992, -77.000301)",19799
WASHINGTON SPORTS CLUBS-SS,901 WAYNE AVE,SILVER SPRING,20910,05/11/2018,Pool approved to operate,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,TOWN SPORTS INTERNATIONAL,Other,"901 WAYNE AVE
SILVER SPRING, MD 20910
(38.995418, -77.024396)",20031
STONEHEDGE,12035 BRONZEGATE PL,SILVER SPRING,20904,07/23/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,THE MANAGEMENT GROUP ASSOC INC,Apartments/Condos,"12035 BRONZEGATE PL
SILVER SPRING, MD 20904
(39.051536, -76.974813)",19889
AXIS AT SHADY GROVE,9305 CORPORATE BLVD,Rockville,20850,07/24/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,EQUITY RESIDENTIAL,Apartments/Condos,"9305 CORPORATE BLVD
Rockville, MD 20850
(39.107602, -77.18957)",30538
ADLER AT WATERS LANDING,20700 CRYSTAL HILL CIR,GERMANTOWN,20874,09/12/2019,No Critical Violations,Complaint,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,LORENA GARCIA,Apartments/Condos,"20700 CRYSTAL HILL CIR
GERMANTOWN, MD 20874
(39.198069, -77.27628)",19932
WASHINGTON SPORTS CLUBS-SS,901 WAYNE AVE,SILVER SPRING,20910,07/15/2019,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,TOWN SPORTS INTERNATIONAL,Other,"901 WAYNE AVE
SILVER SPRING, MD 20910
(38.995418, -77.024396)",20031
WASHINGTON SPORTS CLUBS-SS,901 WAYNE AVE,SILVER SPRING,20910,02/19/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,TOWN SPORTS INTERNATIONAL,Other,"901 WAYNE AVE
SILVER SPRING, MD 20910
(38.995418, -77.024396)",20031
PEARL,180 HIGH PARK LN,Silver Spring,20910,07/28/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,BLAIR PEARL HOLDING LLC,Apartments/Condos,"180 HIGH PARK LN
Silver Spring, MD 20910
(38.991399, -77.033817)",30546
WASHINGTON SPORTS CLUBS-SS,901 WAYNE AVE,SILVER SPRING,20910,07/25/2019,Pool approved to operate,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,TOWN SPORTS INTERNATIONAL,Other,"901 WAYNE AVE
SILVER SPRING, MD 20910
(38.995418, -77.024396)",20031
FENWICK,8616 2ND AVE,SILVER SPRING,20910,07/24/2019,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,"BOZZUTO, INC",Apartments/Condos,"8616 2ND AVE
SILVER SPRING, MD 20910
(38.997234, -77.033732)",28355
WASHINGTON SPORTS CLUBS-SS,901 WAYNE AVE,SILVER SPRING,20910,07/23/2018,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,TOWN SPORTS INTERNATIONAL,Other,"901 WAYNE AVE
SILVER SPRING, MD 20910
(38.995418, -77.024396)",20031
PARK AT KINGSVIEW VILLAGE,13414 DAVENTRY  WAY,GERMANTOWN,20874,07/26/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,"PRP-1B KINGVIEW OPCL, LLC",Apartments/Condos,"13414 DAVENTRY WAY
GERMANTOWN, MD 20874
(39.156719, -77.278644)",19997
8600 APARTMENTS,8600 16TH ST,SILVER SPRING,20910,07/24/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,DREYFUSS MANAGEMENT LLC,Apartments/Condos,"8600 16TH ST
SILVER SPRING, MD 20910
(38.999377, -77.039904)",22427
BARRINGTON,1970 ROSEMARY HILLS DR,Silver Spring,20910,07/24/2019,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,FAIRFIELD RESIDENTIAL,Apartments/Condos,"1970 ROSEMARY HILLS DR
Silver Spring, MD 20910
(38.999696, -77.042077)",19678
WASHINGTON SPORTS CLUBS-SS,901 WAYNE AVE,SILVER SPRING,20910,04/18/2018,Critical Violations Noted,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,TOWN SPORTS INTERNATIONAL,Other,"901 WAYNE AVE
SILVER SPRING, MD 20910
(38.995418, -77.024396)",20031
FRANKLIN KNOLLS,820 E FRANKLIN AVE,SILVER SPRING,20901,07/24/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,GREG MCCARTHY,Community,"820 E FRANKLIN AVE
SILVER SPRING, MD 20901
(39.012937, -76.995763)",19673
LIFETIME-GAITHERSBURG,10121 WASHINGTONIAN BLVD,Gaithersburg,20878,07/26/2019,Pool closed but may resume operation once correcte,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,LTF CLUB OPERATIONS COMPANY INC,Other,"10121 WASHINGTONIAN BLVD
Gaithersburg, MD 20878
(39.120096, -77.205361)",30141
PADDINGTON SQUARE,8800 LANIER DR,SILVER SPRING,20910,07/24/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,PADDINGTON SQUARE APARTMENTS,Apartments/Condos,"8800 LANIER DR
SILVER SPRING, MD 20910
(39.000275, -77.047314)",19816
ROCK CREEK GARDENS,2224-A WASHINGTON AVE,SILVER SPRING,20910,07/24/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,ABARIS REALITY,Community,"2224-A WASHINGTON AVE
SILVER SPRING, MD 20910
(38.993063, -77.047309)",19858
SAWYER FLATS I,9806 MAHOGANY DR,GAITHERSBURG,20878,07/25/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,THRIVE COMMUNITIES,Apartments/Condos,"9806 MAHOGANY DR
GAITHERSBURG, MD 20878
(39.114884, -77.201438)",19803
ARORA HILLS #1,23030 BIRCH MEAD RD,CLARKSBURG,20871,07/26/2019,Critical Violations and Corrected during Inspectio,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,ARORA HILLS I,Community,"23030 BIRCH MEAD RD
CLARKSBURG, MD 20871
(39.236059, -77.253075)",19567
WASHINGTON SPORTS CLUBS-SS,901 WAYNE AVE,SILVER SPRING,20910,02/10/2019,Pool closed AND requires re-inspection prior to re,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,TOWN SPORTS INTERNATIONAL,Other,"901 WAYNE AVE
SILVER SPRING, MD 20910
(38.995418, -77.024396)",20031
KEMP MILL,11805 STONINGTON PL,SILVER SPRING,20902,07/25/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CYNTHIA CAMPAGNA,Community,"11805 STONINGTON PL
SILVER SPRING, MD 20902
(39.049538, -77.01528)",19732
WASHINGTON SPORTS CLUBS-SS,901 WAYNE AVE,SILVER SPRING,20910,07/16/2019,Pool approved to operate,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,TOWN SPORTS INTERNATIONAL,Other,"901 WAYNE AVE
SILVER SPRING, MD 20910
(38.995418, -77.024396)",20031
OXFORD SQUARE,11902 PARKLAWN PL,ROCKVILLE,20852,07/26/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,LERNER ENTERPRISES,Apartments/Condos,"11902 PARKLAWN PL
ROCKVILLE, MD 20852
(39.050799, -77.102453)",19815
CAMDEN SHADY GROVE,9709 KEY WEST AVE,Rockville,20850,07/24/2019,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CAMDEN,Apartments/Condos,"9709 KEY WEST AVE
Rockville, MD 20850
(39.103979, -77.204774)",30485
LAKE RECREATION CLUB #1,19000 PARTRIDGE WOOD DR,GERMANTOWN,20874,07/26/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,NORTHLAKE VILLAGE FEDERATION,Community,"19000 PARTRIDGE WOOD DR
GERMANTOWN, MD 20874
(39.166717, -77.259388)",19745
SIESTA KEYS,15250 SIESTA KEY WAY,Rockville,20850,07/24/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,GREYSTAR RS NE LLC,Apartments/Condos,"15250 SIESTA KEY WAY
Rockville, MD 20850
(39.105851, -77.194318)",37015
WEST HILLANDALE,915 SCHINDLER DR,SILVER SPRING,20903,07/25/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,SCOTT YETTER,Community,"915 SCHINDLER DR
SILVER SPRING, MD 20903
(39.028343, -76.990614)",19936
WASHINGTON SPORTS CLUBS-SS,901 WAYNE AVE,SILVER SPRING,20910,06/06/2018,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,TOWN SPORTS INTERNATIONAL,Other,"901 WAYNE AVE
SILVER SPRING, MD 20910
(38.995418, -77.024396)",20031
WASHINGTON SPORTS CLUBS-SS,901 WAYNE AVE,SILVER SPRING,20910,04/30/2018,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,TOWN SPORTS INTERNATIONAL,Other,"901 WAYNE AVE
SILVER SPRING, MD 20910
(38.995418, -77.024396)",20031
RESIDENCE AT RIO,9890 WASHINGTONIAN BLVD,GAITHERSBURG,20878,07/24/2019,Pool closed but may resume operation once correcte,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,BERNSTEIN MGT CORP,Apartments/Condos,"9890 WASHINGTONIAN BLVD
GAITHERSBURG, MD 20878
(39.116561, -77.200575)",19804
SUMMIT HILLS,8484 16TH ST,SILVER SPRING,20910,07/24/2019,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,SOUTHERN MGMT. CORPORATION,Community,"8484 16TH ST
SILVER SPRING, MD 20910
(38.99562, -77.036387)",19897
KENNEDY SHRIVER AQUATIC CENTER,5900 EXECUTIVE BLVD,NORTH BETHESDA,20852,09/17/2019,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,DEPARTMENT OF RECREATION,Government,"5900 EXECUTIVE BLVD
NORTH BETHESDA, MD 20852
(39.046672, -77.116967)",19776
FLATS 8300,8300 WISCONSIN AVE,Rockville,20850,07/25/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,BOZZUTO,Apartments/Condos,"8300 WISCONSIN AVE
Rockville, MD 20850
(38.992986, -77.096141)",29826
FLATS 8300,8300 WISCONSIN AVE,Rockville,20850,08/14/2019,Pool closed but may resume operation once correcte,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,BOZZUTO,Apartments/Condos,"8300 WISCONSIN AVE
Rockville, MD 20850
(38.992986, -77.096141)",29826
FLATS 8300,8300 WISCONSIN AVE,Rockville,20850,05/02/2019,Critical Violations Noted,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,BOZZUTO,Apartments/Condos,"8300 WISCONSIN AVE
Rockville, MD 20850
(38.992986, -77.096141)",29826
LA FITNESS-WHEATON,11010 VEIRS MILL RD,WHEATON,20902,09/18/2019,Pool closed but may resume operation once correcte,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,FITNESS INTERNATIONAL LLC,Other,"11010 VEIRS MILL RD
WHEATON, MD 20902
(39.03622, -77.050302)",19570
LA FITNESS-WHEATON,11010 VEIRS MILL RD,WHEATON,20902,09/18/2019,,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,FITNESS INTERNATIONAL LLC,Other,"11010 VEIRS MILL RD
WHEATON, MD 20902
(39.03622, -77.050302)",19570
KENSINGTON HOUSE,10225 FREDERICK AVE,KENSINGTON,20895,08/15/2019,Critical Violations Noted,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,KENSINGTON HOUSE,Apartments/Condos,"10225 FREDERICK AVE
KENSINGTON, MD 20895
(39.024244, -77.070135)",19735
ONELIFE FITNESS-ROCKVILLE,1407 RESEARCH BLVD,Rockville,20850,09/20/2019,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,USF S&H MARYLAND LLC,Country Club,"1407 RESEARCH BLVD
Rockville, MD 20850
(39.091495, -77.178639)",35727
OVERLOOK,4406 BOXWOOD RD,BETHESDA,20816,09/19/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,OVERLOOK HOA,Community,"4406 BOXWOOD RD
BETHESDA, MD 20816
(38.946547, -77.109399)",19814
KENWOOD,5101 RIVER RD,BETHESDA,20816,08/14/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,KENWOOD CONDO,Apartments/Condos,"5101 RIVER RD
BETHESDA, MD 20816
(38.963548, -77.101841)",19737
MILESTONE-NORTH,12716 FOUND STONE RD,GERMANTOWN,20874,08/14/2019,Critical Violations and Corrected during Inspectio,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MILESTONE NORTH RECREATION ASSOC INC,Apartments/Condos,"12716 FOUND STONE RD
GERMANTOWN, MD 20874
(39.203628, -77.262967)",19970
HALLOWELL,17721 PRINCE PHILLIP DR,OLNEY,20832,08/13/2019,,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,HALLOWELL,Community,"17721 PRINCE PHILLIP DR
OLNEY, MD 20832
(39.144844, -77.057572)",19704
ORCHARDS,113 ORCHARD DR,Gaithersburg,20878,08/14/2019,Critical Violations and Corrected during Inspectio,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,"VANGUARD MGT ASSOCIATES, INC",Community,"113 ORCHARD DR
Gaithersburg, MD 20878
(39.121102, -77.249727)",19813
CORE,8621 GEORGIA AVE,Silver Spring,20910,08/14/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,12435 GEORGIA ASSOCIATE LLC,Apartments/Condos,"8621 GEORGIA AVE
Silver Spring, MD 20910
(38.997062, -77.029146)",33287
BROOKE MANOR,13611 HILLCROFT DR,Olney,20832,08/14/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,TMGA INC,Community,"13611 HILLCROFT DR
Olney, MD 20832",19589
WOODLAKE,12066 WINDING CREEK WAY,GERMANTOWN,20874,08/14/2019,Critical Violations and Corrected during Inspectio,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,WOODLAKE HOA,Community,"12066 WINDING CREEK WAY
GERMANTOWN, MD 20874",19962
CHURCHILL VILLAGE-EAST,13100 THACKERY PL,GERMANTOWN,20874,08/14/2019,Critical Violations and Corrected during Inspectio,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,VANGUARD MANAGEMENT INC,Community,"13100 THACKERY PL
GERMANTOWN, MD 20874
(39.185561, -77.269283)",19615
HUNTINGTON AT KING FARM #2,801 ELMCROFT BLVD,ROCKVILLE,20850,08/14/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,HUNTINGTON-KING FARM,Apartments/Condos,"801 ELMCROFT BLVD
ROCKVILLE, MD 20850
(39.115565, -77.168703)",19994
SWIM LABS-MONTGOMERY COUNTY,353 MUDDY BRANCH RD,Gaithersburg,20878,09/21/2019,Pool closed but may resume operation once correcte,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,DENISE DOMBAY,Other,"353 MUDDY BRANCH RD
Gaithersburg, MD 20878
(39.126869, -77.210716)",34485
ACAC,20500 SENECA MEADOWS PKWY,Germantown,20874,09/19/2019,Pool closed AND requires re-inspection prior to re,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,LEGACY MANAGEMENT,Apartments/Condos,"20500 SENECA MEADOWS PKWY
Germantown, MD 20874
(39.196973, -77.258106)",20008
LAKE RECREATION CLUB #2,12200 ST PETER CT,GERMANTOWN,20874,08/14/2019,No Critical Violations,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,NORTHGATE VILLAGE FEDERATION,Community,"12200 ST PETER CT
GERMANTOWN, MD 20874
(39.163449, -77.250084)",19746
OVERLOOK,4406 BOXWOOD RD,BETHESDA,20816,08/14/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,OVERLOOK HOA,Community,"4406 BOXWOOD RD
BETHESDA, MD 20816
(38.946547, -77.109399)",19814
MOHICAN,7117 MAC ARTHUR BLVD,BETHESDA,20816,08/13/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MOHICAN SWIM POOL ASSOC,Community,"7117 MAC ARTHUR BLVD
BETHESDA, MD 20816
(38.959671, -77.131752)",19775
POINT AT SILVER SPRING,8750 GEORGIA AVE,SILVER SPRING,20910,08/14/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,PANCO MANAGEMENT,Apartments/Condos,"8750 GEORGIA AVE
SILVER SPRING, MD 20910
(38.99838, -77.03075)",21198
