Reporting Area,MMWR Year,MMWR Week,"Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Current week","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Current week, flag","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Previous 52 weeks Max†","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Previous 52 weeks Max†, flag","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Cum 2020†","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Cum 2020†, flag","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Cum 2019†","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Cum 2019†, flag","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Current week","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Current week, flag","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Previous 52 weeks Max†","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Previous 52 weeks Max†, flag","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Cum 2020†","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Cum 2020†, flag","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Cum 2019†","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Cum 2019†, flag","Giardiasis, Current week","Giardiasis, Current week, flag","Giardiasis, Previous 52 weeks Max†","Giardiasis, Previous 52 weeks Max†, flag","Giardiasis, Cum 2020†","Giardiasis, Cum 2020†, flag","Giardiasis, Cum 2019†","Giardiasis, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
ARIZONA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,1,,6,,14,,13,,ARIZONA,,20200549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,,AMERICAN SAMOA,20200564,
WISCONSIN,2020,5,,-,0,,,-,,-,,-,2,,,-,,-,2,,40,,19,,30,,WISCONSIN,,20200519,POINT (-89.732969 44.639954)
IDAHO,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,7,,8,,15,,IDAHO,,20200551,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200568,POINT (-64.840836 18.060868)
MICHIGAN,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,18,,8,,40,,MICHIGAN,,20200517,POINT (-85.730977 44.874798)
GEORGIA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,19,,,-,20,,GEORGIA,,20200532,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,22,,38,,99,,127,,,NEW YORK CITY,20200512,
ARKANSAS,2020,5,,-,2,,,-,,-,,-,1,,,-,,-,1,,9,,6,,4,,ARKANSAS,,20200544,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,20200541,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,9,,,-,5,,SOUTH DAKOTA,,20200527,POINT (-100.230491 44.43614)
WYOMING,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,1,,,-,WYOMING,,20200556,POINT (-107.55145 42.999627)
MISSOURI,2020,5,,-,3,,,-,,-,,-,4,,,-,,-,,-,10,,8,,11,,MISSOURI,,20200524,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,5,,-,1,,,-,,-,,-,5,,1,,2,,43,,94,,198,,266,,,MIDDLE ATLANTIC,20200509,
CALIFORNIA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,15,,86,,130,,204,,CALIFORNIA,,20200559,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,5,,,-,6,,WEST VIRGINIA,,20200537,POINT (-80.613729 38.642579)
FLORIDA,2020,5,,-,1,,,-,,-,,-,1,,,-,,-,,-,39,,,-,87,,FLORIDA,,20200531,POINT (-82.420978 28.260731)
MONTANA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,11,,,-,3,,MONTANA,,20200552,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,5,,-,3,,,-,,-,,-,5,,,-,,-,,-,30,,19,,64,,,WEST NORTH CENTRAL,20200520,
MASSACHUSETTS,2020,5,,-,0,,,-,,-,,-,1,,,-,,-,2,,22,,36,,35,,MASSACHUSETTS,,20200505,POINT (-71.481104 42.151077)
MOUNTAIN,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,5,,53,,69,,100,,,MOUNTAIN,20200548,
INDIANA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200516,POINT (-86.2818 39.919991)
INDIANA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200416,POINT (-86.2818 39.919991)
US TERRITORIES,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,US TERRITORIES,20200463,
NON-US RESIDENTS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,20200469,
NON-US RESIDENTS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,20200569,
US TERRITORIES,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,US TERRITORIES,20200563,
TOTAL,2020,8,,-,4,,1,,,-,,-,8,,4,,4,,76,,391,,1123,,1733,,,TOTAL,20200870,
NEW HAMPSHIRE,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,6,,15,,NEW HAMPSHIRE,,20200806,POINT (-71.57139 43.680429)
NEW YORK,2020,8,,-,0,,,-,,-,,-,4,,1,,,-,14,,56,,116,,99,,NEW YORK,,20200811,POINT (-75.59655 42.921241)
PACIFIC,2020,8,,-,0,,,-,,-,,-,1,,,-,,-,17,,102,,265,,457,,,PACIFIC,20200857,
WEST SOUTH CENTRAL,2020,8,,-,2,,,-,,-,,-,1,,,-,,-,1,,17,,13,,31,,,WEST SOUTH CENTRAL,20200843,
NEBRASKA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,1,,6,,8,,10,,NEBRASKA,,20200825,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,8,,-,1,,,-,,-,,-,2,,,-,,-,,-,8,,14,,25,,,EAST SOUTH CENTRAL,20200838,
NORTH DAKOTA,2020,8,,-,1,,,-,,-,,-,1,,,-,,-,,-,3,,4,,14,,NORTH DAKOTA,,20200826,POINT (-100.46931 47.446305)
NEVADA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,5,,7,,9,,NEVADA,,20200853,POINT (-114.916992 39.283294)
ILLINOIS,2020,8,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,ILLINOIS,,20200815,POINT (-89.148632 40.124144)
IOWA,2020,8,,-,0,,,-,,-,,-,1,,,-,,-,1,,14,,19,,28,,IOWA,,20200821,POINT (-93.500061 42.074659)
TEXAS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20200847,POINT (-99.317341 31.447238)
ALASKA,2020,8,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,8,,,-,10,,ALASKA,,20200858,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,4,,1,,10,,DISTRICT OF COLUMBIA,,20200830,POINT (-77.016275 38.904785)
WASHINGTON,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,11,,15,,52,,WASHINGTON,,20200862,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,8,,-,0,,,-,,-,,-,2,,1,,,-,7,,34,,103,,121,,,NEW ENGLAND,20200802,
RHODE ISLAND,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,1,,7,,9,,6,,RHODE ISLAND,,20200807,POINT (-71.534637 41.572574)
OREGON,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,2,,15,,21,,38,,OREGON,,20200861,POINT (-120.605279 43.940449)
DELAWARE,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,1,,2,,3,,4,,DELAWARE,,20200829,POINT (-75.452394 38.994926)
ALABAMA,2020,8,,-,1,,,-,,-,,-,1,,,-,,-,,-,8,,14,,25,,ALABAMA,,20200839,POINT (-86.844516 32.756889)
KANSAS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,,-,20,,KANSAS,,20200822,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20200834,POINT (-79.130883 35.52603)
GUAM,2020,8,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,GUAM,,20200866,POINT (144.653198 13.3532)
NEW JERSEY,2020,8,,-,1,,,-,,-,,-,2,,,-,2,,,-,18,,17,,64,,NEW JERSEY,,20200810,POINT (-74.655514 40.110253)
NEW MEXICO,2020,8,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,5,,6,,8,,NEW MEXICO,,20200854,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,8,,-,1,,,-,,-,,-,2,,,-,2,,6,,74,,131,,155,,,EAST NORTH CENTRAL,20200814,
TENNESSEE,2020,8,,-,1,,,-,,-,,-,1,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20200842,POINT (-86.343226 35.842998)
CONNECTICUT,2020,8,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,9,,23,,37,,CONNECTICUT,,20200803,POINT (-72.738288 41.575155)
MARYLAND,2020,8,,-,1,,,-,,-,,-,1,,,-,,-,3,,8,,19,,22,,MARYLAND,,20200833,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,8,,-,0,,,-,,-,,-,2,,,-,,-,3,,9,,24,,21,,SOUTH CAROLINA,,20200835,POINT (-80.864614 33.878572)
OKLAHOMA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20200846,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200865,POINT (145.725693 15.1834)
OHIO,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,4,,59,,85,,55,,OHIO,,20200818,POINT (-82.70936 40.415534)
MINNESOTA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200823,POINT (-94.198308 46.349153)
LOUISIANA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,12,,2,,24,,LOUISIANA,,20200845,POINT (-91.840238 30.921314)
HAWAII,2020,8,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,4,,3,,11,,HAWAII,,20200860,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,8,,-,1,,1,,,-,,-,2,,,-,,-,13,,60,,133,,275,,,SOUTH ATLANTIC,20200828,
TOTAL,2020,10,,-,4,,1,,,-,1,,8,,6,,4,,87,,391,,1463,,2173,,,TOTAL,20201070,
PENNSYLVANIA,2020,8,,-,0,,,-,,-,,-,4,,2,,,-,,-,23,,31,,56,,PENNSYLVANIA,,20200813,POINT (-77.838886 40.896694)
UTAH,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,1,,9,,14,,19,,UTAH,,20200855,POINT (-111.678222 39.323779)
COLORADO,2020,8,,N,,NC,,N,,N,,N,,NC,,N,,N,3,,22,,48,,63,,COLORADO,,20200850,POINT (-105.547832 38.998552)
VERMONT,2020,8,,-,0,,,-,,-,,-,2,,,-,,-,,N,,NC,,N,,N,VERMONT,,20200808,POINT (-72.662695 44.075252)
KENTUCKY,2020,8,,-,1,,,-,,-,,-,1,,,-,,-,,N,,NC,,N,,N,KENTUCKY,,20200840,POINT (-85.290484 37.526683)
PUERTO RICO,2020,8,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,1,,,-,,-,PUERTO RICO,,20200867,POINT (-66.414655 18.215692)
MAINE,2020,8,,-,0,,,-,,-,,-,1,,1,,,-,5,,8,,15,,9,,MAINE,,20200804,POINT (-69.06137 45.117911)
VIRGINIA,2020,8,,-,1,,,-,,-,,-,1,,,-,,-,3,,16,,21,,17,,VIRGINIA,,20200836,POINT (-78.666382 37.510861)
ARIZONA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,1,,6,,20,,19,,ARIZONA,,20200849,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,8,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,,AMERICAN SAMOA,20200864,
WISCONSIN,2020,8,,-,0,,,-,,-,,-,2,,,-,2,,1,,40,,33,,47,,WISCONSIN,,20200819,POINT (-89.732969 44.639954)
IDAHO,2020,8,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,7,,8,,20,,IDAHO,,20200851,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200868,POINT (-64.840836 18.060868)
MICHIGAN,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,1,,17,,13,,53,,MICHIGAN,,20200817,POINT (-85.730977 44.874798)
GEORGIA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,19,,,-,42,,GEORGIA,,20200832,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,11,,38,,146,,196,,,NEW YORK CITY,20200812,
ARKANSAS,2020,8,,-,2,,,-,,-,,-,1,,,-,,-,1,,9,,11,,7,,ARKANSAS,,20200844,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,20200841,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,9,,3,,7,,SOUTH DAKOTA,,20200827,POINT (-100.230491 44.43614)
WYOMING,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,1,,1,,WYOMING,,20200856,POINT (-107.55145 42.999627)
MISSOURI,2020,8,,-,3,,,-,,-,,-,4,,,-,,-,,-,10,,11,,28,,MISSOURI,,20200824,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,8,,-,1,,,-,,-,,-,5,,3,,2,,25,,94,,310,,415,,,MIDDLE ATLANTIC,20200809,
CALIFORNIA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,15,,87,,226,,346,,CALIFORNIA,,20200859,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,5,,,-,7,,WEST VIRGINIA,,20200837,POINT (-80.613729 38.642579)
FLORIDA,2020,8,,-,1,,1,,,-,,-,1,,,-,,-,3,,39,,65,,152,,FLORIDA,,20200831,POINT (-82.420978 28.260731)
MONTANA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,11,,5,,8,,MONTANA,,20200852,POINT (-109.645127 47.033521)
TOTAL,2020,6,,-,4,,,-,,-,2,,8,,3,,3,,71,,391,,738,,1306,,,TOTAL,20200670,
US RESIDENTS,2020,6,,-,4,,,-,,-,2,,8,,3,,3,,71,,391,,738,,1306,,,US RESIDENTS,20200601,
NEW HAMPSHIRE,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,3,,14,,NEW HAMPSHIRE,,20200606,POINT (-71.57139 43.680429)
NEW YORK,2020,6,,-,0,,,-,,-,,-,4,,,-,,-,16,,54,,81,,68,,NEW YORK,,20200611,POINT (-75.59655 42.921241)
PACIFIC,2020,6,,-,0,,,-,,-,,-,1,,,-,,-,9,,101,,176,,349,,,PACIFIC,20200657,
WEST SOUTH CENTRAL,2020,6,,-,2,,,-,,-,,-,1,,,-,,-,3,,17,,11,,23,,,WEST SOUTH CENTRAL,20200643,
NEBRASKA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,5,,7,,NEBRASKA,,20200625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,6,,-,2,,,-,,-,,-,2,,,-,,-,2,,8,,14,,18,,,EAST SOUTH CENTRAL,20200638,
NORTH DAKOTA,2020,6,,-,1,,,-,,-,,-,1,,,-,,-,,-,3,,2,,8,,NORTH DAKOTA,,20200626,POINT (-100.46931 47.446305)
NEVADA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,5,,,-,7,,NEVADA,,20200653,POINT (-114.916992 39.283294)
ILLINOIS,2020,6,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,ILLINOIS,,20200615,POINT (-89.148632 40.124144)
IOWA,2020,6,,-,0,,,-,,-,,-,1,,,-,,-,,-,14,,7,,24,,IOWA,,20200621,POINT (-93.500061 42.074659)
TEXAS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20200647,POINT (-99.317341 31.447238)
ALASKA,2020,6,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,8,,,-,7,,ALASKA,,20200658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,4,,,-,8,,DISTRICT OF COLUMBIA,,20200630,POINT (-77.016275 38.904785)
WASHINGTON,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,11,,7,,38,,WASHINGTON,,20200662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,6,,-,0,,,-,,-,1,,2,,1,,,-,5,,34,,54,,95,,,NEW ENGLAND,20200602,
RHODE ISLAND,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,7,,4,,4,,RHODE ISLAND,,20200607,POINT (-71.534637 41.572574)
GUAM,2020,6,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,GUAM,,20200666,POINT (144.653198 13.3532)
OREGON,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,1,,15,,17,,27,,OREGON,,20200661,POINT (-120.605279 43.940449)
DELAWARE,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,1,,2,,2,,4,,DELAWARE,,20200629,POINT (-75.452394 38.994926)
ALABAMA,2020,6,,-,1,,,-,,-,,-,1,,,-,,-,2,,8,,14,,18,,ALABAMA,,20200639,POINT (-86.844516 32.756889)
KANSAS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,,-,13,,KANSAS,,20200622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20200634,POINT (-79.130883 35.52603)
NEW JERSEY,2020,6,,-,1,,,-,,-,,-,2,,,-,2,,,-,18,,12,,51,,NEW JERSEY,,20200610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,6,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,6,,4,,9,,NEW MEXICO,,20200654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,6,,-,1,,,-,,-,,-,2,,,-,,-,8,,74,,109,,131,,,EAST NORTH CENTRAL,20200614,
TENNESSEE,2020,6,,-,1,,,-,,-,,-,1,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20200642,POINT (-86.343226 35.842998)
CONNECTICUT,2020,6,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,9,,,-,26,,CONNECTICUT,,20200603,POINT (-72.738288 41.575155)
MARYLAND,2020,6,,-,1,,,-,,-,,-,1,,,-,,-,3,,8,,12,,16,,MARYLAND,,20200633,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,6,,-,0,,,-,,-,,-,2,,,-,,-,3,,9,,17,,20,,SOUTH CAROLINA,,20200635,POINT (-80.864614 33.878572)
OKLAHOMA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20200646,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200665,POINT (145.725693 15.1834)
OHIO,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,5,,59,,77,,46,,OHIO,,20200618,POINT (-82.70936 40.415534)
MINNESOTA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200623,POINT (-94.198308 46.349153)
LOUISIANA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,12,,2,,18,,LOUISIANA,,20200645,POINT (-91.840238 30.921314)
HAWAII,2020,6,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,4,,2,,8,,HAWAII,,20200660,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,6,,-,1,,,-,,-,,-,2,,,-,,-,9,,60,,44,,193,,,SOUTH ATLANTIC,20200628,
PENNSYLVANIA,2020,6,,-,0,,,-,,-,1,,4,,2,,1,,1,,23,,25,,44,,PENNSYLVANIA,,20200613,POINT (-77.838886 40.896694)
UTAH,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,9,,10,,19,,UTAH,,20200655,POINT (-111.678222 39.323779)
COLORADO,2020,6,,N,,NC,,N,,N,,N,,NC,,N,,N,4,,22,,39,,44,,COLORADO,,20200650,POINT (-105.547832 38.998552)
VERMONT,2020,6,,-,0,,,-,,-,,-,2,,,-,,-,,N,,NC,,N,,N,VERMONT,,20200608,POINT (-72.662695 44.075252)
KENTUCKY,2020,6,,-,2,,,-,,-,,-,1,,,-,,-,,N,,NC,,N,,N,KENTUCKY,,20200640,POINT (-85.290484 37.526683)
PUERTO RICO,2020,6,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,1,,,-,,-,PUERTO RICO,,20200667,POINT (-66.414655 18.215692)
MAINE,2020,6,,-,0,,,-,,-,1,,1,,1,,,-,,-,8,,7,,8,,MAINE,,20200604,POINT (-69.06137 45.117911)
VIRGINIA,2020,6,,-,1,,,-,,-,,-,1,,,-,,-,2,,16,,13,,7,,VIRGINIA,,20200636,POINT (-78.666382 37.510861)
ARIZONA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,1,,6,,14,,15,,ARIZONA,,20200649,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,6,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,,AMERICAN SAMOA,20200664,
WISCONSIN,2020,6,,-,0,,,-,,-,,-,2,,,-,,-,3,,40,,24,,36,,WISCONSIN,,20200619,POINT (-89.732969 44.639954)
IDAHO,2020,6,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,7,,8,,15,,IDAHO,,20200651,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200668,POINT (-64.840836 18.060868)
MICHIGAN,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,18,,8,,49,,MICHIGAN,,20200617,POINT (-85.730977 44.874798)
GEORGIA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,19,,,-,28,,GEORGIA,,20200632,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,12,,38,,111,,148,,,NEW YORK CITY,20200612,
ARKANSAS,2020,6,,-,2,,,-,,-,,-,1,,,-,,-,3,,9,,9,,5,,ARKANSAS,,20200644,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,20200641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,9,,,-,5,,SOUTH DAKOTA,,20200627,POINT (-100.230491 44.43614)
WYOMING,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,1,,,-,WYOMING,,20200656,POINT (-107.55145 42.999627)
MISSOURI,2020,6,,-,3,,,-,,-,,-,4,,,-,,-,1,,10,,11,,17,,MISSOURI,,20200624,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,6,,-,1,,,-,,-,1,,5,,2,,3,,29,,94,,229,,311,,,MIDDLE ATLANTIC,20200609,
CALIFORNIA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,8,,86,,150,,269,,CALIFORNIA,,20200659,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,5,,,-,7,,WEST VIRGINIA,,20200637,POINT (-80.613729 38.642579)
FLORIDA,2020,6,,-,1,,,-,,-,,-,1,,,-,,-,,-,39,,,-,103,,FLORIDA,,20200631,POINT (-82.420978 28.260731)
US RESIDENTS,2020,10,,-,4,,1,,,-,1,,8,,6,,4,,87,,391,,1463,,2172,,,US RESIDENTS,20201001,
MONTANA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,11,,,-,3,,MONTANA,,20200652,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,6,,-,3,,,-,,-,,-,5,,,-,,-,1,,30,,25,,74,,,WEST NORTH CENTRAL,20200620,
MASSACHUSETTS,2020,6,,-,0,,,-,,-,,-,1,,,-,,-,5,,22,,40,,43,,MASSACHUSETTS,,20200605,POINT (-71.481104 42.151077)
MOUNTAIN,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,5,,53,,76,,112,,,MOUNTAIN,20200648,
INDIANA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200616,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,20200669,
US TERRITORIES,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,US TERRITORIES,20200663,
TOTAL,2020,7,,-,4,,1,,,-,,-,8,,4,,5,,80,,391,,939,,1543,,,TOTAL,20200770,
US RESIDENTS,2020,7,,-,4,,1,,,-,,-,8,,4,,5,,80,,391,,939,,1543,,,US RESIDENTS,20200701,
NEW HAMPSHIRE,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,4,,14,,NEW HAMPSHIRE,,20200706,POINT (-71.57139 43.680429)
NEW YORK,2020,7,,-,0,,,-,,-,,-,4,,1,,,-,20,,55,,102,,91,,NEW YORK,,20200711,POINT (-75.59655 42.921241)
PACIFIC,2020,7,,-,0,,,-,,-,,-,1,,,-,,-,4,,102,,204,,404,,,PACIFIC,20200757,
WEST SOUTH CENTRAL,2020,7,,-,2,,,-,,-,,-,1,,,-,,-,1,,17,,12,,27,,,WEST SOUTH CENTRAL,20200743,
NEBRASKA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,1,,6,,6,,8,,NEBRASKA,,20200725,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,7,,-,2,,,-,,-,,-,2,,,-,,-,,-,8,,14,,20,,,EAST SOUTH CENTRAL,20200738,
