Customer,Address Line 1,Address Line 2,City,State,Zip,Date Enrolled,VAT202 Category,Status,Observation Date,Crash Notification,Conviction Notification,Suspension Notification,Point Insurance Reduction Course Completion Notification,Driver Status Change Notification,License Expiration Notification,Hazardous Material Endorsement Notification,CDL Medical Certification Status Change Notification,Ticket Notification,Drivers Monitored,Latest Driver Add Date,Latest Driver Drop Date,LENS Internet Interface Users
NORTH COUNTRY HOME SERVICES INC,25 CHURCH ST,,SARANAC LAKE,NY,12983,08/22/2007,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,206,04/07/2020,05/04/2020,2
NORTH COUNTRY SNOW AND ICE MANAGEMENT,207 MAPLE STREET,,GLENS FALLS,NY,12801,08/18/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,24,05/05/2020,05/05/2020,2
NORTH COUNTRY TRANSITIONAL LIVING SERVICES,482 BLACK RIVER PARKWAY,,WATERTOWN,NY,13601,12/01/2014,PAYING,NOT ACTIVE,05/07/2020,N,N,N,N,N,N,N,N,N,0,,,0
NORTH COUNTRY TRANSITIONAL LIVING SERVICES,482 BLACK RIVER PARKWAY,,WATERTOWN,NY,13601,12/27/2007,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,159,04/03/2020,02/17/2020,1
NORTH COUNTRY TRANSPORT LLC,10 LA CROSS STREET,,HUDSON FALLS,NY,12839,03/25/2010,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,3,08/15/2016,07/11/2019,2
"NORTH CREEK VOLUNTEER FIRE CO., INC.",24 MARION AVE,,NORTH CREEK,NY,12853,12/29/2009,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,23,03/25/2012,03/25/2012,3
NORTH EAST FIRE DISTRICT,24 CENTURY BLVD,,MILLERTON,NY,12546,12/01/2012,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,27,01/13/2018,01/14/2020,1
NORTH EAST JOINT FIRE DISTRICT,P.O. BOX 361,,WEBSTER,NY,14580,08/07/2006,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,57,01/26/2020,01/26/2020,1
NORTH EASTERN BUS REBUILDERS INC.,3025 VETERANS MEMORIAL HWY,,RONKONKOMA,NY,11779,01/04/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,31,02/03/2020,11/01/2019,2
"NORTH EASTERN POOLS, INC.",101 ONTARIO STREET,,EAST ROCHESTER,NY,14445,08/19/2014,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,18,03/29/2019,08/20/2019,1
NORTH ELBA HWY DEPT,301 MAIN ST,,LAKE PLACID,NY,12946,12/29/2003,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,1,03/20/2004,10/29/2019,2
NORTH FORK DESIGNATED DRIVER,890 DEPOT LN,,CUTCHOGUE,NY,11935,01/22/2020,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,N,Y,N,N,N,0,,,1
NORTH GREECE FIRE DISTRICT,1766 LATTA ROAD,,ROCHESTER,NY,14612,11/02/2000,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,104,02/04/2020,06/17/2019,1
NORTH GREENBUSH AMBULANCE ASSOCIATION,409 MAIN AVENUE,P.O. BOX 99,WYNANTSKILL,NY,12198,07/16/2008,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,26,10/07/2019,10/07/2019,1
NORTH GREENBUSH FIRE DISTRICT NO. 1,PO BOX 3,511 CHURCH STREET,WYNANTSKILL,NY,12198,10/28/2009,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,80,02/15/2019,,1
NORTH HEMPSTEAD COUNTRY CLUB,291 PORT WASHINGTON BLVD,,PORT WASHINGTON,NY,11050,07/25/2014,PAYING,NOT ACTIVE,05/07/2020,N,N,N,N,N,N,N,N,N,0,,,0
NORTH HIGHLANDS ENGINE COMPANY,504 FISHKILL ROAD,,COLD SPRING,NY,10516,08/23/2007,EXEMPT,NOT ACTIVE,05/07/2020,N,Y,Y,N,N,Y,N,N,N,0,,,0
NORTH HOOSICK FIRE DEPARTMENT,PO BOX 94,,NORTH HOOSICK,NY,12133,04/29/2010,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,29,04/18/2020,04/18/2020,1
NORTH HUDSON TOWN,3024 US RTE 9,PO BOX 60,NORTH HUDSON,NY,12855,09/04/2007,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,N,Y,N,N,N,5,06/01/2011,,1
NORTH HUDSON VOL. FIRE DEPARTMENT,3034 US ROUTE 9,,NORTH HUDSON,NY,12855,10/02/2014,EXEMPT,NOT ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,0,,,0
NORTH HUDSON WOODCRAFT CORPORATION,152 NORTH HELMER AVE,PO BOX 192,DOLGEVILLE,NY,133329,07/15/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,3,08/01/2019,,1
NORTH LINDENHURST FIRE DEPARTMENT,1630 STRAIGHT PATH,,N LINDENHURST,NY,11757,06/12/2001,EXEMPT,NOT ACTIVE,05/07/2020,Y,N,N,N,N,N,N,N,N,0,,,0
NORTH LINDENHURST VOLUNTEER FIRE DEPT,1630 STRAIGHT PATH,,N LINDENHURST,NY,11757,09/02/2004,EXEMPT,ACTIVE,05/07/2020,N,N,Y,N,Y,Y,N,N,N,150,05/06/2020,05/06/2020,2
NORTH MASSAPEQUA FIRE DISTRICT,960 HICKSVILLE ROAD,,SEAFORD,NY,11758,07/13/2007,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,N,Y,Y,N,N,107,01/20/2020,04/10/2020,1
NORTH MASSAPEQUA FIRE DISTRICT,C/O MIKE ANTONUCCI,960 HICKSVILLE ROAD,SEAFORD,NY,11783,11/01/2000,EXEMPT,NOT ACTIVE,05/07/2020,Y,N,N,N,N,N,N,N,N,0,,,0
NORTH MERRICK FIRE DISTRICT,2095 CAMP AVENUE,,NORTH MERRICK,NY,11566,10/11/2007,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,91,03/04/2020,01/30/2020,1
NORTH NORWICH MTRS & TRL SALES LLC,7044 STATE HWY 12,,NORTH NORWICH,NY,13814,11/24/2017,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,0,,,1
NORTH PATCHOGUE FIRE DISTRICT,33 DAVIDSON AVE,,PATCHOGUE,NY,11772,10/30/2002,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,153,04/14/2020,01/21/2020,2
NORTH PAVING CO INC,643 ELIZABETH ST,,UTICA,NY,13501,08/04/2010,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,2,09/14/2015,04/21/2016,1
NORTH ROCKLAND CONTINUING EDUCATION,106 HAMMOND ROAD,,THIELLS,NY,10984,05/11/2010,EXEMPT,ACTIVE,05/07/2020,Y,N,N,Y,N,Y,N,N,N,6,04/04/2016,12/22/2015,1
NORTH ROSE WOLCOTT SCHOOL DISTRICT,10486 SALTER RD,,NORTH ROSE,NY,14516,09/18/2014,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,N,Y,N,Y,N,31,03/16/2020,05/06/2019,1
NORTH SALEM HIGH SCHOOL,230 JUNE ROAD,,NORTH SALEM,NY,10560,05/25/2010,EXEMPT,ACTIVE,05/07/2020,N,Y,Y,N,Y,Y,N,N,N,10,05/30/2019,12/20/2018,3
NORTH SALEM POLICE DEPARTMENT,274 TITICUS ROAD,,NORTH SALEM,NY,10560,08/29/2008,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,Y,Y,N,39,08/02/2019,03/04/2020,1
NORTH SALEM TOWN HIGHWAY DEPT,250 JUNE ROAD,,NORTH SALEM,NY,10560,08/23/2007,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,36,12/06/2019,03/04/2020,1
NORTH SALEM VOLUNTEER AMBULANCE CORPS,PO BOX 427,,CROTON FALLS,NY,10519,09/04/2008,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,15,01/18/2020,12/07/2018,1
NORTH SEA FIRE DISTRICT,149 NOYAC ROAD,,SOUTHAMPTON,NY,11968,09/17/2015,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,76,08/29/2019,01/17/2019,1
"NORTH SEA PLUMBING & HTG., CO., INC",524 COUNTY RD 39A,,SOUTHAMPTON,NY,11968,02/03/2016,PAYING,ACTIVE,05/07/2020,N,Y,Y,N,Y,Y,N,N,N,0,,,1
NORTH SENECA AMBULANCE,1645 NORTH ROAD,,WATERLOO,NY,13165,10/10/2012,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,32,04/29/2020,03/05/2020,3
NORTH SHORE AMBULANCE & OXYGEN SVC INC.,110-18 CORONA AVENUE,,CORONA,NY,11368,01/30/2008,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,20,10/28/2008,,1
NORTH SHORE AMBULANCE AND OXYGEN SVC. INC.,110-18 CORONA AVE,,CORONA,NY,11368,01/30/2015,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,Y,N,0,,,1
NORTH SHORE ANIMAL LEAGUE AMERICA,16 LEWYT STREET,,PORT WASHINGTON,NY,11050,03/09/2015,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,59,10/08/2019,10/07/2019,1
"NORTH SHORE CLIMATE CONTROL, INC.",20 KEYLAND COURT,,BOHEMIA,NY,11716,03/05/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,Y,N,N,14,02/20/2020,02/19/2020,1
NORTH SHORE FUEL OIL INC.,421 NORTH COUNTRY RD,,ST. JAMES,NY,11780,08/30/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,Y,N,N,0,,,1
NORTH SHORE HEBREW ACADEMY HIGH SCHOOL,400 NORTH SERVICE RD.,,GREAT NECK,NY,11020,04/10/2010,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,12,10/28/2019,10/15/2019,1
NORTH SHORE LIJ HEALTH SYSTEM EMS,2500 MARCUS AVE,,NEW HYDE PARK,NY,11042,10/30/2008,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,925,04/16/2020,04/06/2020,1
NORTH SHORE LINEN,129 HANSE AVE,,FREEPORT,NY,11520,01/21/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,25,06/14/2019,09/12/2019,4
NORTH SHORE NEON SIGN CO INC,295 SKIDMORE ROAD,,DEER PARK,NY,11729,04/14/2011,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,57,01/28/2020,10/03/2019,2
NORTH SHORE OIL COMPANY INC,2634 STATE RTE 49,,WEST MONROE,NY,13167,01/03/2006,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,Y,N,N,0,03/02/2019,04/12/2019,0
NORTH SHORE RESCUE SQUAD,PO BOX 140702,,STATEN ISLAND,NY,10314,07/31/2007,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,69,09/05/2007,,0
NORTH SHORE RESCUE SQUAD INC,P.O. BOX 140702,,STATEN ISLAND,NY,10314,06/05/2008,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,34,03/09/2018,12/05/2017,1
NORTH SHORE SCHOOLS,450 GLEN COVE AVE.,,GLEN HEAD,NY,11545,06/01/2010,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,6,05/13/2019,05/14/2019,1
NORTH SHORE SCHOOLS,340 SHORE ROAD,,GLENWOOD LNDING,NY,11547,10/20/2015,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,42,01/07/2020,01/07/2020,3
NORTH SHORE VOL. EMERGENCY SQUAD,136 BRIGDE ST,,CLEVELAND,NY,13042,04/23/2015,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,25,10/01/2019,04/27/2020,1
NORTH SYRACUSE CSD,5520 EAST TAFT ROAD,,NORTH SYRACUSE,NY,13212,12/11/2012,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,169,03/13/2020,03/03/2020,1
NORTH SYRACUSE FIRE DEPT.,109 CHESTNUT ST,,NORTH SYRACUSE,NY,13212,04/03/2001,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,35,02/06/2020,04/12/2020,2
NORTH SYRACUSE VILLAGE DPW,106 FERGERSON AVE,,NORTH SYRACUSE,NY,13212,03/08/2013,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,8,12/24/2019,04/16/2020,1
NORTH TONAWANDA CITY,216 PAYNE AVENUE,,NORTH TONAWANDA,NY,14120,01/29/2018,EXEMPT,ACTIVE,05/07/2020,Y,Y,N,N,Y,Y,N,N,N,267,02/14/2018,06/13/2018,1
NORTH TONAWANDA CITY SCHOOL DISTRICT,100 RIDGE RD,,NORTH TONAWANDA,NY,14120,09/23/2011,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,Y,Y,N,39,03/13/2020,03/13/2020,1
NORTH TONAWANDA CSD- COMMUNITY ED,1500 VANDERBILT AVE,,NORTH TONAWANDA,NY,14120,08/24/2011,EXEMPT,ACTIVE,05/07/2020,N,Y,Y,N,N,Y,N,N,N,6,05/23/2013,,1
NORTH WARREN CENTRAL SCHOOL,6110 STATE ROUTE 8,,CHESTERTOWN,NY,12817,05/25/2010,EXEMPT,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,0,,,0
NORTH WARREN CENTRAL SCHOOL BUS GARAGE,63 COUGAR LANE,,CHESTERTOWN,NY,12817,03/04/2014,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,Y,N,17,03/03/2020,06/06/2019,1
NORTH WARREN EMERGENCY SQUAD,2  COUGAR LANE,,CHESTERTOWN,NY,12817,11/25/2013,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,21,11/17/2014,,1
NORTH WEST FIRE DISTRICT,664 LAMSON ROAD,,BALDWINSVILLE,NY,13027,12/10/2014,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,124,03/12/2020,03/17/2020,2
NORTHAMERICAN INDUSTRIAL SERVICES INC,1240 SARATOGA ROAD,,BALLSTON SPA,NY,12020,11/09/2011,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,14,04/20/2016,06/11/2019,2
"NORTHEAST AUTOMOTIVE PARTS,INC",3541 US RT 20,,NASSAU,NY,12123,04/04/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,N,N,N,N,N,24,04/05/2019,04/05/2019,1
NORTHEAST BANANAS,492 GRAND BLVD,,WESTBURY,NY,11590,02/29/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,N,N,N,N,21,04/07/2020,12/05/2019,1
NORTHEAST BRADFORD SCHOOL DISTRICT,526 PANTHER LANE,,ROME,PA,18837,05/13/2016,EXEMPT,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,0,,,0
NORTHEAST BRADFORD SD,526 PANTHER LANE,,ROME,PA,18837,03/12/2020,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,0,,,1
NORTHEAST COMMERCIAL APPLIANCE SERVICE INC,949 TROY SCHENECTADY RD,,LATHAM,NY,12110,06/01/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,11,01/02/2019,12/04/2019,1
NORTHEAST CONCRETE PRODUCTS,1024 MILITARY TURNPIKE,,PLATTSBURGH,NY,12901,04/10/2007,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,N,N,Y,N,N,N,1,06/25/2007,,0
NORTHEAST CONTROLS INC,3 ENTERPRISE AVE,,CLIFTON PARK,NY,12065,08/30/2004,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,14,07/29/2019,07/29/2019,1
NORTHEAST DIVERSIFICATION INC,2 CADBY INDUSTRIAL PK,,LANCASTER,NY,14086,08/30/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,Y,N,40,05/05/2020,,1
NORTHEAST FURNITURE SYSTEMS,107 CHAMPLAIN ST,,ALBANY,NY,12204,02/15/2017,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,Y,N,0,07/18/2017,08/29/2018,1
NORTHEAST LIMOUSINE SERVICE INC,7216 CREEK RD,,ONEIDA,NY,13421,12/13/2012,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,0,,,1
"NORTHEAST LOGISTIKS, LLC",6413 WEMBRIDGE DR,,EAST SYRACUSE,NY,13057,03/19/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,5,02/27/2020,02/03/2020,1
NORTHEAST MACHINE AND MOTOR SUPPLY INC,71 TWO MILE CREEK RD,,TONAWANDA,NY,14150,05/10/2004,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,N,N,N,N,1,08/06/2013,01/04/2012,1
NORTHEAST MECHANICAL INC,95 PIRSON PARKWAY,,TONAWANDA,NY,14150,12/02/2014,PAYING,NOT ACTIVE,05/07/2020,N,Y,Y,N,N,Y,N,N,N,7,04/25/2018,12/05/2016,0
NORTHEAST MOBILE SEARCH AND RESCUE,PO BOX 324,,CLIFTON PARK,NY,12065,08/27/2007,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,18,05/26/2017,02/07/2019,2
NORTHEAST MOTORS INC.,942 NEW LOUDON RD.,,LATHAM,NY,12110,02/02/2017,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,41,02/21/2020,04/09/2020,1
NORTHEAST PANEL & TRUSS,P O BOX 1927,RT 9W AND KIEFFER LANE,KINGSTON,NY,12402,12/01/2004,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,N,Y,N,N,N,0,,,0
NORTHEAST PARENT & CHILD SOCIETY,530 FRANKLIN STREET,,SCHENECTADY,NY,12305,04/17/2015,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,515,05/05/2020,05/05/2020,3
NORTHEAST PETROLEUM TECHNOLOGIES INC,2940 CURRY RD,,SCHENECTADY,NY,12303,03/30/2015,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,23,12/27/2018,02/11/2020,2
"NORTHEAST QUADRANT ADVANCED LIFE SUPPORT, INC",PO BOX 905,780 RIDGE ROAD,WEBSTER,NY,14580,12/12/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,49,04/24/2020,04/21/2020,1
"NORTHEAST SERVICE INTERIORS, LLC",56-01 NURGE AVENUE,,MASPETH,NY,11378,05/31/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,N,Y,Y,N,10,11/27/2019,11/07/2018,1
NORTHEAST SPECIALIZED DRILLING INC.,PO BOX 28,,LIVERPOOL,NY,13088,07/08/2019,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,0,,,1
NORTHEAST STRUCTURAL STEEL INC,916 OLD NEPPERHAN AVENUE,,YONKERS,NY,10703,09/26/2012,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,286,03/09/2020,,1
"NORTHEAST TRANSIT ENTERPRISES, INC.",7417 STATE ROUTE 20,,MADISON,NY,13402,03/13/2008,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,5,08/14/2008,,0
NORTHEAST WINDOWS USA INC,1 KEES PLACE,,MERRICK,NY,11566,09/13/2017,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,5,03/28/2019,02/14/2019,1
NORTHEASTERN CLINTON CENTRAL SCHOOL DISTRICT,103 ROUTE 276,,CHAMPLAIN,NY,12919,08/26/2015,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,N,Y,Y,Y,N,50,11/03/2017,01/08/2018,1
NORTHEASTERN LUMBER ASSC.,585 NORTH GREENBUSH RD,,RENSSELAER,NY,12144,11/20/2000,PAYING,NOT ACTIVE,05/07/2020,N,N,Y,N,N,N,N,N,N,0,,,0
"NORTHEASTERN MASONRY & CHIMNEY SERVICES, INC.",167 MARTINS HILL ROAD,PO BOX 245,RAVENA,NY,12143,04/12/2007,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,0,,,1
NORTHEASTERN OVERHEAD DOORS,1131 RTE. 9,,WAPPINGERSFALLS,NY,12590,01/22/2008,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,0,,,1
NORTHEASTERN PRODUCTS CORP,115 SWEET RD,PO BOX 98,WARRENSBURG,NY,12885,07/12/2006,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,N,Y,N,N,N,13,04/29/2019,02/20/2019,2
NORTHEASTERN WATER SERVICES,429 AIRPORT RD,,ENDICOTT,NY,13760,09/06/2011,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,N,N,N,N,18,11/12/2019,09/26/2019,1
NORTHER ADVISORY,2 WILSON BLVD,,CENTRAL ISLIP,NY,11722,05/12/2015,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,10,06/24/2019,02/21/2020,1
NORTHERN ADIRONDACK CENTRAL SCHOOL,5572 ROUTE 11,,ELLENBURG DEPOT,NY,12935,02/05/2015,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,33,02/25/2020,01/23/2020,2
NORTHERN AGGREGATES LLC,6131 EAST TAFT RD,,NORTH SYRACUSE,NY,13212,12/02/2005,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,41,01/30/2020,12/20/2019,2
"NORTHERN AMBULANCE CORPS, LLC",PO BOX 607,347 ELM ST.,MALONE,NY,12953,01/08/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,N,N,N,N,5,12/20/2019,,1
"NORTHERN CLEARING, INC",28190 STATE HWY 137,,ASHLAND,WI,54806,10/15/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,19,11/20/2019,02/02/2020,1
NORTHERN DUTCHESS PARAMEDICS INC,3 HOOK ROAD,P O BOX 672,RHINEBECK,NY,12572,04/24/2003,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,115,03/16/2020,02/12/2020,1
NORTHERN EAGLE BEVERAGES,41 BROWNE STREET,,ONEONTA,NY,13820,01/13/2010,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,Y,N,64,11/12/2019,07/09/2019,1
NORTHERN EXPRESS LLC,200 KIRKPATRICK ST,,EAST SYRACUSE,NY,13057,02/14/2012,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,0,,,1
NORTHERN FOOD I/E,117 STATE ST,,WESTBURY,NY,11590,12/11/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,0,,,1
"NORTHERN LOGISTICS, INC.",23791 NYS ROUTE 342,,WATERTOWN,NY,13601,04/15/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,Y,N,15,12/18/2019,01/08/2020,1
"NORTHERN NECK TRANSFER,INC",12284 STATE ROAD,,KING GEORGE,NY,22485,08/25/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,Y,Y,N,2,10/17/2017,02/19/2020,1
NORTHERN NURSERIES OF NY INC,546 HALFWAY HOUSE ROAD,,WINDSOR LOCKS,CT,06096,03/22/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,Y,N,11,03/27/2020,03/20/2020,1
NORTHERN ONONDAGA PUBLIC LIBRARY,8686 KNOWLEDGE LANE,,CICERO,NY,13039,04/13/2017,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,14,07/06/2017,,1
NORTHERN OSWEGO COUNTY AMBULANCE,21 DELANO STREET,,PULASKI,NY,13142,12/03/2009,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,N,Y,Y,N,N,36,03/06/2020,10/23/2019,2
NORTHERN RIVERS FAMILY SERVICES,60 ACADEMY RD.,,ALBANY,NY,12208,02/27/2009,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,Y,N,1218,05/04/2020,04/28/2020,4
"NORTHERN SCAPES, INC.",2553 DUTCHTOWN RD.,,ENDICOTT,NY,13760,04/24/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,Y,N,0,,,1
NORTHERN STUD WELDING LLC,2050 WESTERN AVENUE,,GUILDERLAND,NY,12084,06/22/2011,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,11,12/23/2019,03/14/2019,1
NORTHFIELD MOUNT HERMON SCHOOL,ONE LAMPLIGHTER WAY,,MT HERMON,MA,01354,10/03/2007,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,N,Y,N,N,N,2,02/11/2008,,1
NORTHLAND ASSOCIATES INC,4701 BUCKLEY RD,P O BOX 2549,SYRACUSE,NY,13220,10/22/2003,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,46,04/08/2020,04/19/2018,3
NORTHLAND ASSOCIATES INC - JDS CONSTRUCTION,PO BOX 3618,,SYRACUSE,NY,13220,04/20/2009,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,11,11/15/2019,04/19/2018,1
"NORTHLAND TELEPHONE SYSTEMS, LTD.",PO BOX 419,9560 MAIN STREET,HOLLAND PATENT,NY,13354,04/18/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,29,03/28/2019,02/04/2019,1
"NORTHLINE UTILITIES, LLC",15 SCHOOL LN STE 200,PO BOX 656,AU SABLE FORKS,NY,12912,03/02/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,Y,N,0,,,1
NORTHPORT FIRE DEPARTMENT,224 MAIN STREET,,NORTHPORT,NY,11768,11/04/2010,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,104,01/08/2020,12/03/2019,1
