Data as of,Start week,End Week,Group,State,Indicator,COVID Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID Deaths,Influenza Deaths,"Pneumonia, Influenza, and COVID Deaths",Footnote
05/08/2020,04/25/2020,04/25/2020,By week,California,Week-ending,274,4681,0.91,458,163,,570,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,05/02/2020,05/02/2020,By week,California,Week-ending,65,2297,0.4,178,38,0,205,
05/08/2020,02/01/2020,02/01/2020,By week,Colorado,Week-ending,0,788,0.98,45,0,,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/08/2020,02/08/2020,By week,Colorado,Week-ending,0,843,1.04,51,0,11,62,
05/08/2020,02/15/2020,02/15/2020,By week,Colorado,Week-ending,0,803,0.97,50,0,,57,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/22/2020,02/22/2020,By week,Colorado,Week-ending,0,878,1.09,45,0,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/29/2020,02/29/2020,By week,Colorado,Week-ending,0,842,1.08,56,0,16,72,
05/08/2020,03/07/2020,03/07/2020,By week,Colorado,Week-ending,0,818,1.01,51,0,,60,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/14/2020,03/14/2020,By week,Colorado,Week-ending,,811,1.01,37,0,10,49,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/21/2020,03/21/2020,By week,Colorado,Week-ending,16,885,1.1,70,,11,88,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/28/2020,03/28/2020,By week,Colorado,Week-ending,45,846,1.11,86,27,,111,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/04/2020,04/04/2020,By week,Colorado,Week-ending,121,939,1.23,148,78,,196,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/11/2020,04/11/2020,By week,Colorado,Week-ending,190,1066,1.35,178,112,,258,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/18/2020,04/18/2020,By week,Colorado,Week-ending,173,1038,1.35,149,101,0,221,
05/08/2020,04/25/2020,04/25/2020,By week,Colorado,Week-ending,137,873,1.18,108,67,,178,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,05/02/2020,05/02/2020,By week,Colorado,Week-ending,21,437,0.49,31,10,0,42,
05/08/2020,02/01/2020,02/01/2020,By week,Connecticut,Week-ending,0,607,0.92,37,0,11,48,
05/08/2020,02/08/2020,02/08/2020,By week,Connecticut,Week-ending,0,250,0.36,21,0,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/15/2020,02/15/2020,By week,Connecticut,Week-ending,0,248,0.37,17,0,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/22/2020,02/22/2020,By week,Connecticut,Week-ending,0,232,0.34,13,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/29/2020,02/29/2020,By week,Connecticut,Week-ending,0,219,0.35,22,0,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/07/2020,03/07/2020,By week,Connecticut,Week-ending,0,,0,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/14/2020,03/14/2020,By week,Connecticut,Week-ending,0,0,0,0,0,0,0,
05/08/2020,03/21/2020,03/21/2020,By week,Connecticut,Week-ending,,,0.01,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/28/2020,03/28/2020,By week,Connecticut,Week-ending,39,44,0.07,13,13,0,39,
05/08/2020,04/04/2020,04/04/2020,By week,Connecticut,Week-ending,104,115,0.18,24,21,0,107,
05/08/2020,04/11/2020,04/11/2020,By week,Connecticut,Week-ending,114,128,0.2,39,32,,121,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/18/2020,04/18/2020,By week,Connecticut,Week-ending,21,24,0.04,,,0,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/25/2020,04/25/2020,By week,Connecticut,Week-ending,0,0,0,0,0,0,0,
05/08/2020,05/02/2020,05/02/2020,By week,Connecticut,Week-ending,0,0,0,0,0,0,0,
05/08/2020,02/01/2020,02/01/2020,By week,Delaware,Week-ending,0,178,0.97,14,0,0,14,
05/08/2020,02/08/2020,02/08/2020,By week,Delaware,Week-ending,0,185,0.99,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/15/2020,02/15/2020,By week,Delaware,Week-ending,0,199,1.01,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/22/2020,02/22/2020,By week,Delaware,Week-ending,0,186,0.96,13,0,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/29/2020,02/29/2020,By week,Delaware,Week-ending,0,160,0.88,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/07/2020,03/07/2020,By week,Delaware,Week-ending,0,190,1.02,12,0,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/14/2020,03/14/2020,By week,Delaware,Week-ending,0,180,0.97,,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/21/2020,03/21/2020,By week,Delaware,Week-ending,0,209,1.03,16,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/28/2020,03/28/2020,By week,Delaware,Week-ending,,166,0.72,11,,,16,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/04/2020,04/04/2020,By week,Delaware,Week-ending,,169,0.94,14,,0,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/11/2020,04/11/2020,By week,Delaware,Week-ending,20,152,0.83,13,,0,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/18/2020,04/18/2020,By week,Delaware,Week-ending,25,142,0.64,15,10,0,30,
05/08/2020,04/25/2020,04/25/2020,By week,Delaware,Week-ending,24,131,0.35,13,,0,28,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,05/02/2020,05/02/2020,By week,Delaware,Week-ending,,19,0.03,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/01/2020,02/01/2020,By week,District of Columbia,Week-ending,0,142,1.09,11,0,0,11,
05/08/2020,02/08/2020,02/08/2020,By week,District of Columbia,Week-ending,0,130,1.01,10,0,0,10,
05/08/2020,02/15/2020,02/15/2020,By week,District of Columbia,Week-ending,0,121,0.93,12,0,,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/22/2020,02/22/2020,By week,District of Columbia,Week-ending,0,102,0.92,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/29/2020,02/29/2020,By week,District of Columbia,Week-ending,0,132,1.08,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/07/2020,03/07/2020,By week,District of Columbia,Week-ending,0,116,0.94,13,0,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/14/2020,03/14/2020,By week,District of Columbia,Week-ending,0,108,0.92,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/21/2020,03/21/2020,By week,District of Columbia,Week-ending,,121,1.03,,,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/28/2020,03/28/2020,By week,District of Columbia,Week-ending,,119,0.98,18,,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/04/2020,04/04/2020,By week,District of Columbia,Week-ending,19,137,1.17,30,19,0,30,
05/08/2020,04/11/2020,04/11/2020,By week,District of Columbia,Week-ending,25,152,1.33,35,25,0,35,
05/08/2020,04/18/2020,04/18/2020,By week,District of Columbia,Week-ending,34,143,1.21,43,34,0,43,
05/08/2020,04/25/2020,04/25/2020,By week,District of Columbia,Week-ending,20,107,0.84,25,20,0,25,
05/08/2020,05/02/2020,05/02/2020,By week,District of Columbia,Week-ending,,27,0.22,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/01/2020,02/01/2020,By week,Florida,Week-ending,0,4419,0.99,244,0,35,279,
05/08/2020,02/08/2020,02/08/2020,By week,Florida,Week-ending,0,4383,1,286,0,33,319,
05/08/2020,02/15/2020,02/15/2020,By week,Florida,Week-ending,0,4358,1,273,0,26,299,
05/08/2020,02/22/2020,02/22/2020,By week,Florida,Week-ending,0,4415,1.04,272,0,33,305,
05/08/2020,02/29/2020,02/29/2020,By week,Florida,Week-ending,0,4394,1.04,267,0,33,300,
05/08/2020,03/07/2020,03/07/2020,By week,Florida,Week-ending,,4520,1.07,262,,29,292,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/14/2020,03/14/2020,By week,Florida,Week-ending,,4433,1.06,305,,24,330,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/21/2020,03/21/2020,By week,Florida,Week-ending,17,4357,1.03,357,,23,388,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/28/2020,03/28/2020,By week,Florida,Week-ending,92,4448,1.06,360,45,19,425,
05/08/2020,04/04/2020,04/04/2020,By week,Florida,Week-ending,215,4472,1.07,473,139,16,563,
05/08/2020,04/11/2020,04/11/2020,By week,Florida,Week-ending,295,4491,1.09,421,154,10,572,
05/08/2020,04/18/2020,04/18/2020,By week,Florida,Week-ending,266,4264,1.06,406,132,,544,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/25/2020,04/25/2020,By week,Florida,Week-ending,204,3910,0.98,317,104,,421,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,05/02/2020,05/02/2020,By week,Florida,Week-ending,25,2285,0.47,128,14,,141,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/01/2020,02/01/2020,By week,Georgia,Week-ending,0,1763,0.99,87,0,,94,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/08/2020,02/08/2020,By week,Georgia,Week-ending,0,1724,0.98,93,0,10,103,
05/08/2020,02/15/2020,02/15/2020,By week,Georgia,Week-ending,0,1709,1,87,0,16,103,
05/08/2020,02/22/2020,02/22/2020,By week,Georgia,Week-ending,0,1678,1.03,79,0,21,100,
05/08/2020,02/29/2020,02/29/2020,By week,Georgia,Week-ending,,1783,1.09,86,,,95,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/07/2020,03/07/2020,By week,Georgia,Week-ending,,1684,1,81,,,90,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/14/2020,03/14/2020,By week,Georgia,Week-ending,,1685,0.99,93,,,98,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/21/2020,03/21/2020,By week,Georgia,Week-ending,28,1650,0.98,123,14,,144,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/28/2020,03/28/2020,By week,Georgia,Week-ending,76,1694,0.99,138,33,,186,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/04/2020,04/04/2020,By week,Georgia,Week-ending,166,1757,1.08,200,83,,287,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/11/2020,04/11/2020,By week,Georgia,Week-ending,150,1656,1.02,184,66,,271,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/18/2020,04/18/2020,By week,Georgia,Week-ending,132,1463,0.9,135,52,,218,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/25/2020,04/25/2020,By week,Georgia,Week-ending,78,1109,0.67,91,33,0,136,
05/08/2020,05/02/2020,05/02/2020,By week,Georgia,Week-ending,11,466,0.24,26,,0,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/01/2020,02/01/2020,By week,Hawaii,Week-ending,0,242,1.03,19,0,0,19,
05/08/2020,02/08/2020,02/08/2020,By week,Hawaii,Week-ending,0,233,1.09,19,0,0,19,
05/08/2020,02/15/2020,02/15/2020,By week,Hawaii,Week-ending,0,277,1.15,22,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/22/2020,02/22/2020,By week,Hawaii,Week-ending,0,244,1.05,17,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/29/2020,02/29/2020,By week,Hawaii,Week-ending,0,237,1.03,14,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/07/2020,03/07/2020,By week,Hawaii,Week-ending,0,236,0.93,19,0,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/14/2020,03/14/2020,By week,Hawaii,Week-ending,0,241,0.97,17,0,,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/21/2020,03/21/2020,By week,Hawaii,Week-ending,0,209,0.94,16,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/28/2020,03/28/2020,By week,Hawaii,Week-ending,0,230,0.95,14,0,,16,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/04/2020,04/04/2020,By week,Hawaii,Week-ending,,231,0.99,14,,,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/11/2020,04/11/2020,By week,Hawaii,Week-ending,,203,0.91,13,,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/18/2020,04/18/2020,By week,Hawaii,Week-ending,,189,0.91,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/25/2020,04/25/2020,By week,Hawaii,Week-ending,,178,0.82,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,05/02/2020,05/02/2020,By week,Hawaii,Week-ending,0,91,0.4,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/01/2020,02/01/2020,By week,Idaho,Week-ending,0,249,0.88,11,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/08/2020,02/08/2020,By week,Idaho,Week-ending,0,293,1.04,18,0,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/15/2020,02/15/2020,By week,Idaho,Week-ending,0,279,0.89,11,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/22/2020,02/22/2020,By week,Idaho,Week-ending,0,318,1.1,17,0,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/29/2020,02/29/2020,By week,Idaho,Week-ending,0,289,0.99,17,0,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/07/2020,03/07/2020,By week,Idaho,Week-ending,0,278,0.96,17,0,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/14/2020,03/14/2020,By week,Idaho,Week-ending,0,284,1.04,18,0,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/21/2020,03/21/2020,By week,Idaho,Week-ending,0,308,1.03,22,0,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/28/2020,03/28/2020,By week,Idaho,Week-ending,,332,1.27,14,,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/04/2020,04/04/2020,By week,Idaho,Week-ending,,270,0.93,15,,,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/11/2020,04/11/2020,By week,Idaho,Week-ending,21,301,1.05,17,,0,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/18/2020,04/18/2020,By week,Idaho,Week-ending,10,272,0.97,12,,0,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/25/2020,04/25/2020,By week,Idaho,Week-ending,11,242,0.93,15,,0,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,05/02/2020,05/02/2020,By week,Idaho,Week-ending,,140,0.44,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/01/2020,02/01/2020,By week,Illinois,Week-ending,0,2137,0.97,155,0,16,171,
05/08/2020,02/08/2020,02/08/2020,By week,Illinois,Week-ending,0,2226,0.98,157,0,10,167,
05/08/2020,02/15/2020,02/15/2020,By week,Illinois,Week-ending,0,2216,1.01,142,0,11,153,
05/08/2020,02/22/2020,02/22/2020,By week,Illinois,Week-ending,0,2203,1,142,0,14,156,
05/08/2020,02/29/2020,02/29/2020,By week,Illinois,Week-ending,0,2207,1.04,136,0,19,155,
05/08/2020,03/07/2020,03/07/2020,By week,Illinois,Week-ending,0,2243,1.06,169,0,26,195,
05/08/2020,03/14/2020,03/14/2020,By week,Illinois,Week-ending,,2177,1.03,165,,20,185,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/21/2020,03/21/2020,By week,Illinois,Week-ending,13,2259,1.05,164,,22,194,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/28/2020,03/28/2020,By week,Illinois,Week-ending,64,2270,1.09,228,41,16,266,
05/08/2020,04/04/2020,04/04/2020,By week,Illinois,Week-ending,265,2568,1.22,343,153,,461,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/08/2020,02/08/2020,By week,New York,Week-ending,0,2045,0.96,148,0,20,168,
05/08/2020,04/11/2020,04/11/2020,By week,Illinois,Week-ending,404,2762,1.33,396,224,,581,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/18/2020,04/18/2020,By week,Illinois,Week-ending,463,2662,1.33,424,255,,636,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/25/2020,04/25/2020,By week,Illinois,Week-ending,333,2348,1.17,282,168,,448,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,05/02/2020,05/02/2020,By week,Illinois,Week-ending,42,1222,0.5,84,20,0,106,
05/08/2020,02/01/2020,02/01/2020,By week,Indiana,Week-ending,0,1365,0.99,95,0,,102,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/08/2020,02/08/2020,By week,Indiana,Week-ending,0,1357,0.95,105,0,10,115,
05/08/2020,02/15/2020,02/15/2020,By week,Indiana,Week-ending,0,1406,1.05,92,0,,101,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/22/2020,02/22/2020,By week,Indiana,Week-ending,0,1392,1.01,105,0,13,118,
05/08/2020,02/29/2020,02/29/2020,By week,Indiana,Week-ending,0,1430,1.08,105,0,17,122,
05/08/2020,03/07/2020,03/07/2020,By week,Indiana,Week-ending,0,1342,1,94,0,14,108,
05/08/2020,03/14/2020,03/14/2020,By week,Indiana,Week-ending,,1370,1.01,112,0,14,127,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/21/2020,03/21/2020,By week,Indiana,Week-ending,12,1287,0.97,93,,13,111,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/28/2020,03/28/2020,By week,Indiana,Week-ending,45,1422,1.07,127,21,14,164,
05/08/2020,04/04/2020,04/04/2020,By week,Indiana,Week-ending,120,1497,1.13,212,72,,265,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/11/2020,04/11/2020,By week,Indiana,Week-ending,197,1508,1.16,224,105,,319,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/18/2020,04/18/2020,By week,Indiana,Week-ending,204,1349,1.08,193,97,0,300,
05/08/2020,04/25/2020,04/25/2020,By week,Indiana,Week-ending,160,1221,0.98,179,80,,260,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,05/02/2020,05/02/2020,By week,Indiana,Week-ending,23,610,0.38,46,,,62,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/01/2020,02/01/2020,By week,Iowa,Week-ending,0,612,0.97,54,0,,56,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/08/2020,02/08/2020,By week,Iowa,Week-ending,0,632,1.02,42,0,,44,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/15/2020,02/15/2020,By week,Iowa,Week-ending,0,595,0.92,36,0,,42,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/22/2020,02/22/2020,By week,Iowa,Week-ending,0,639,1,42,0,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/29/2020,02/29/2020,By week,Iowa,Week-ending,0,638,1.05,36,0,,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/07/2020,03/07/2020,By week,Iowa,Week-ending,0,612,1.02,42,0,13,55,
05/08/2020,03/14/2020,03/14/2020,By week,Iowa,Week-ending,0,624,1.02,51,0,17,68,
05/08/2020,03/21/2020,03/21/2020,By week,Iowa,Week-ending,0,587,0.94,35,0,16,51,
05/08/2020,03/28/2020,03/28/2020,By week,Iowa,Week-ending,,584,1,50,0,,60,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/04/2020,04/04/2020,By week,Iowa,Week-ending,16,590,1.01,55,,,69,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/11/2020,04/11/2020,By week,Iowa,Week-ending,21,570,0.96,38,,,54,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/18/2020,04/18/2020,By week,Iowa,Week-ending,34,583,1,42,,,70,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/25/2020,04/25/2020,By week,Iowa,Week-ending,38,463,0.8,34,,0,64,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,05/02/2020,05/02/2020,By week,Iowa,Week-ending,13,316,0.43,16,,0,28,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/01/2020,02/01/2020,By week,Kansas,Week-ending,0,546,0.98,36,0,,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/08/2020,02/08/2020,By week,Kansas,Week-ending,0,502,0.91,26,0,,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/15/2020,02/15/2020,By week,Kansas,Week-ending,0,571,1,38,0,,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/22/2020,02/22/2020,By week,Kansas,Week-ending,0,557,0.98,36,0,10,46,
05/08/2020,02/29/2020,02/29/2020,By week,Kansas,Week-ending,0,539,0.99,32,0,14,46,
05/08/2020,03/07/2020,03/07/2020,By week,Kansas,Week-ending,0,571,1.01,40,0,14,54,
05/08/2020,03/14/2020,03/14/2020,By week,Kansas,Week-ending,,519,0.94,45,0,,53,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/21/2020,03/21/2020,By week,Kansas,Week-ending,,510,0.95,27,0,15,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/28/2020,03/28/2020,By week,Kansas,Week-ending,,511,0.98,41,,,46,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/04/2020,04/04/2020,By week,Kansas,Week-ending,21,531,1.05,41,,0,53,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/11/2020,04/11/2020,By week,Kansas,Week-ending,32,499,0.98,55,13,,75,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/18/2020,04/18/2020,By week,Kansas,Week-ending,34,515,1.05,39,17,,57,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,04/25/2020,04/25/2020,By week,Kansas,Week-ending,12,482,1,35,,,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,05/02/2020,05/02/2020,By week,Kansas,Week-ending,,317,0.52,16,,0,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/01/2020,02/01/2020,By week,Kentucky,Week-ending,0,968,0.98,92,0,,100,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/08/2020,02/08/2020,By week,Kentucky,Week-ending,0,943,0.94,92,0,10,102,
05/08/2020,02/15/2020,02/15/2020,By week,Kentucky,Week-ending,0,936,0.97,77,0,,86,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/22/2020,02/22/2020,By week,Kentucky,Week-ending,0,968,0.96,80,0,,85,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,02/29/2020,02/29/2020,By week,Kentucky,Week-ending,,989,0.99,86,,10,96,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/08/2020,03/07/2020,03/07/2020,By week,Kentucky,Week-ending,0,957,0.95,75,0,,80,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
