Application Type,Application Number,Process Date,Issued Date,Final Date,Expire Date,Type and purpose of work,Use Group,Watershed,Tributary,WSSC map grid,Tax map,Location,Street number,Street Pre direction,Street name,Street Post direction,Street suffix,City,State,Zip Code,Count Street Map Coordinate,Disturbed Area 100 Year FD,Impervious Surface 100 Year FD,State Water Use,Comments,Location1
FLOODPLAIN DISTRICT PERMIT,245376,04/26/2006,05/16/2006,11/18/2013,05/16/2008,CONSTRUCT 8' WIDE PAVED TRAIL WITH 3 BRIDGES & BOARDWALK SEGMENTS FOR MATTHEW HENSON GREENWAY PHASE III,,NWB,,,,LINEAR TRAIL FROM ROCK CREEK TO ADLER ROAD,,,,,,,,,,,,0,Floodplain Study #215729,
FLOODPLAIN DISTRICT PERMIT,200895,10/14/1999,10/18/1999,,,INSTALL DECK-POSTS/FDNS IN THE 100-YR F/PLAIN BRL.,,ROR,N/A,213 NW 10,FP 343,,9912,,WOODFORD,,RD,POTOMAC,MD,20854,"34D4,E4",435,435,0,,"9912 WOODFORD RD
POTOMAC, MD 20854
(39.024682, -77.204959)"
FLOODPLAIN DISTRICT PERMIT,220255,01/23/2003,,,,CONSTRUCT A CONCRETE WALL TO PROTECT STREAM FROM INDUSTRIAL ACTIVITY,,URC,,220NW07-220NW6,,,15000,,SOUTHLAWN,,LN,ROCKVILLE,MD,20850,,4275,3925,0,Parcel A,"15000 SOUTHLAWN LN
ROCKVILLE, MD 20850
(39.102889, -77.135578)"
FLOODPLAIN DISTRICT PERMIT,202951,01/26/2000,10/30/2000,07/17/2007,07/17/2009,CONSTRUCTION OF STREETS & SWM POND,,HWR,,,"GU563, GV",GOLF VIEW DRIVE,,,,,,,,,15G5,9583,0,0,,
FLOODPLAIN DISTRICT PERMIT,264262,01/08/2010,,,,DISTURBANCES ARE FOR POND 13 AND OUTFALLS. POND IS TO BE INSTALLED AS PART OF THE CABIN BRANCH DEVELOPMENT,CONS,LSC,,,8&9,,,,,,,,,,,"7,708",,0,,
FLOODPLAIN DISTRICT PERMIT,204337,04/14/2000,04/18/2000,,,ROADWAY CONSTRUCTION,,NWB,,221NW1,,"NORBECK ROAD EXTENDED, STATION 79+00 TO 91+50",,,,,,,,,22A12,286189.20,120661.20,0,,
FLOODPLAIN DISTRICT PERMIT,213978,10/08/2001,10/09/2001,09/19/2005,09/19/2007,"CONSTRUCTION BIKE PATH & PEDESTRIAN BRIDGE ACROSS FP TO LINK TRAILS NORTH & SOUTH OF SITE, REDUCE PEDESTRIAN CROSSING ON FALLS RD",,ROR,UNNAMED,"211NW11,10","FP121, FP341, FP342",FALLS ROAD @ OAKLYN DRIVE BIKE PATH,,,,,,,,,34B7,10890,"2,240",0,,
FLOODPLAIN DISTRICT PERMIT,225213,11/05/2003,11/05/2003,,11/05/2005,CONSTRUCT DRIVEWAY TO ACCESS 5 SFD LOTS,,URC,,223 & 224NW6,,SOUTH END OF HOLLINGSWORTH DRIVE,,,,,,,,,,13125,2100,0,Lots 26-30/B,
FLOODPLAIN DISTRICT PERMIT,205716,06/27/2000,01/09/2001,,,REPAIRING TWO ERODED AREAS ALONG SOUTHLAWN BRANCH,,LRC,SOUTHLAWN,,,GUDE LANDFILL INTERSECTION OF GUDE DR AND SOUTHLAWN LN,,,,,,,,,,17859.60,0,0,,
FLOODPLAIN DISTRICT PERMIT,215295,01/23/2002,03/08/2002,,,REHABILITATION OF BRIDGE # 162 WAYNE AVE @ SLIGO CREEK,,SCR,SCR,211-10NW1,"JP341,JN343",BRIDGE #162 WAYNE AVE AT SLIGO CREEK,,,,,,,,,"37C8,9",8712,4356,0,Rehab Bridge #162,
FLOODPLAIN DISTRICT PERMIT,256853,02/28/2008,06/06/2008,,06/06/2011,CONSTRUCT BOTTOMLESS ARCH CULVERT AND REALIGN APPROXIMATELY 130 LF OF LITTLE SENECA CREEK,CONS,LSC,,232NW12,EW,"SNOWDEN FARM PARKWAY, CLARKSBURG, MD",,,,,,,,,K-4,67082,12197,0,,
FLOODPLAIN DISTRICT PERMIT,229586,05/26/2004,08/04/2004,,08/04/2007,"REMOVE & REPLACE EXISTING PEDESTRIAN BRIDGE TO COMPLY WITH MANDATED ADA & SAFETY REQUIREMENTS, & THE REPAIR OF 580SQFT OF EAST BANK NEAR THE ABUTMENT.",,LRC,,211NW03,HP561,"ROCK CR SV PARK UNIT 2 @ SUSANNA LN, PARCELS 891 &915",,,,,,,,,36;F-9,9007.4,2878,0,Administrative correction to land disturbance 2/13/06,
FLOODPLAIN DISTRICT PERMIT,201113,10/28/1999,11/18/1999,,,REPAIR/MAINTENANE OF BRIDGE MK04-CHANNEL/SIDESLOPE,,LRC,MAIN STEM,214NW4,HQ341,BRIDGE AT GARRETT PARK RD OVER ROCK CREEK,,,,,,,,,36B1,435,435,0,rEPAIR & MAINTENANCE OF BRIDGE & SIDE SLOPE,
FLOODPLAIN DISTRICT PERMIT,253654,07/02/2007,07/20/2007,08/20/2014,07/20/2014,CONSTRUCTION OF RIPRAP OUTFALLS AT STORMWATER PONDS 5/6. LOTS: 1-4; 1-10; 1-23; 1-7; 1-14. BLOCKS: A;B;C;D;F.,CONS,BDR,,223/224NW20,CT121/122,FISHER AVENUE & WEST WILLARD ROAD,,,,,,,,,16 B9,2850,0,0,,
FLOODPLAIN DISTRICT PERMIT,342811,08/10/2015,09/04/2015,10/11/2018,09/04/2017,PAVING EXISTING TRAIL AT PINE LAKE DAM SPILLWAY.,CONS,NWB,,216NW02,JQ22,,2000,,SHOREFIELD,,RD,SILVER SPRING,MD,20902,,3650,1000,0,,"2000 SHOREFIELD RD
SILVER SPRING, MD 20902
(39.053158, -77.044371)"
FLOODPLAIN DISTRICT PERMIT,234247,02/14/2005,02/14/2005,,02/14/2007,"INSTALL TEMPORARY (ONE YEAR) SILT FENCE, CONSTRUCT A DECK, FLAGSTONE PATIO, & PRIVACY FENCE ALONG PROPERTY LINE. ALSO REMOVE/REPAIR EXISTING SIDEWALK.",R-4,LRC,,209NW03,HN562,,3202,,TURNER,,LN,CHEVY CHASE,MD,20815,36;F-12,1200,250,0,"Lot 24/C; David, the lot & block does not match the SC 215498 permit. enm","3202 TURNER LN
CHEVY CHASE, MD 20815
(38.979278, -77.06401)"
FLOODPLAIN DISTRICT PERMIT,269984,06/16/2011,06/30/2011,,06/30/2013,"IN KIND REPLACEMENT OF AN ACCESS APRON CONTAINING A 48"" BY 20' LONG DETERIORATING CULVERT THAT WAS EVENTUALLY DESTROYED BY RUNOFF DURING THE STORMS",CONS,NWB,,A03,,,11819,,GORDON,,RD,SILVER SPRING,MD,20904,5287,600,400,0,,"11819 GORDON RD
SILVER SPRING, MD 20904
(39.049931, -76.997424)"
FLOODPLAIN DISTRICT PERMIT,226416,01/29/2004,02/17/2004,,02/17/2006,CONSTRUCTION OF PART OF THE PRIVATE STORM DRAIN OUTFALL,,HWR,JAMES CR,225NW03,HT563,,18301,,GEORGIA,,AVE,OLNEY,MD,20832,21E6 33RD EDITION,.1,0,0,,"18301 GEORGIA AVE
OLNEY, MD 20832
(39.155976, -77.066327)"
FLOODPLAIN DISTRICT PERMIT,219237,10/25/2002,,,,FILL IN A PORTION OF THE DAM BREACH,,LSC,,225 & 226NW 14 & 15,,,14619,,HOYLES MILL,,RD,BOYDS,MD,20841,,,,0,Lots 1-17/Q; 12-54/R; 1-48/S,"14619 HOYLES MILL RD
BOYDS, MD 20841"
FLOODPLAIN DISTRICT PERMIT,212741,07/10/2001,08/14/2001,,,CONSTRUCT 2 OUTFALLS FOR PROPOSED SWM FACILITIES.,,CJC,,210W9 & 211NW9,,,9029,,BRADLEY,,BLVD,POTOMAC,MD,20854,,900,0,0,,"9029 BRADLEY BLVD
POTOMAC, MD 20854
(38.99946, -77.18628)"
FLOODPLAIN DISTRICT PERMIT,217333,06/05/2002,06/05/2002,,,"INSTALLATION OF 48 INCH CHAIN LINK FENCE - 
LOT 19, BLOCK Z, MILL CREEKE TOWNE",,,,,,,17808,,MILL CREEK,,DR,ROCKVILLE,MD,20855,,,,0,"48 INCH FENCE BY LONG FENCE CO., INC.","17808 MILL CREEK DR
ROCKVILLE, MD 20855
(39.148402, -77.161408)"
FLOODPLAIN DISTRICT PERMIT,232448,11/03/2004,01/05/2005,,01/06/2007,BUID BRIDGE/SEDIMENT CONTROL INSTALLATION & REAR YARD GRADING DISTURBANCE TO FLOODPLAIN BRL.,,WBR,,215NW11; 216NW11-12,,"GLEN ROAD, POTOMAC 20854 (LOTS 1-20, OL A, BLOCK A)",,,,,,,,,"EQ63, FQ13",.16 ACRE,0,0,South,
FLOODPLAIN DISTRICT PERMIT,204332,04/14/2000,04/18/2000,,,ROADWAY CONSTRUCTION,,NWB,,221NW1,,NORBECK ROAD EXTENDED - STATION 100+00,,,,,,,,,22B11,79714.80,17859.60,0,,
FLOODPLAIN DISTRICT PERMIT,248376,08/28/2006,,,,"STREAM BANK STABILIZATION TO REPAIR FAILING BANK SLOPES, PARCEL P310",,BDR,,221NW20,CS22,,5101,,WESTBARD,,AVE,BETHESDA,MD,20816,,3443,0,0,Parcel P310 Irrigation Pond Spillway Stabilization,"5101 WESTBARD AVE
BETHESDA, MD 20816
(38.959133, -77.108678)"
FLOODPLAIN DISTRICT PERMIT,200458,09/09/1999,09/15/1999,,,CONSTRUCTION OF 9' ELEVATED ADDITION (12X30) IN FP,CONS,LRC,TURKEY BR,217NW4,HR341,,12844,,LITTLETON,,ST,SILVER SPRING,MD,20906,30C9,435,435,0,,"12844 LITTLETON ST
SILVER SPRING, MD 20906
(39.068416, -77.080949)"
FLOODPLAIN DISTRICT PERMIT,206953,09/01/2000,09/01/2000,,,ROAD & CULVERT CONSTRUCTION,,URC,,225NW5,HT123,WICKHAM RD & TACKBROOKE DR IN BARNSELY MANOR ESTATES,,,,,,,,,21K5,20908.80,4791.60,0,,
FLOODPLAIN DISTRICT PERMIT,298866,08/08/2013,08/09/2013,,08/09/2015,Building a single-family home,CONS,URC,,220 nw 04,HS-31,,,,GREAT OAK,,RD,ROCKVILLE,MD,20853,5165-F4,5445,2085,0,,"GREAT OAK RD
ROCKVILLE, MD 20853"
FLOODPLAIN DISTRICT PERMIT,352507,05/12/2016,03/22/2017,,03/22/2019,The scope of the project includes dredging from Lake Churchill and hauling the spoils offsite.,,GSC,,228NW13,EU33,"Wynfield Drive-Germantown, MD 20874/Lake Churchill Dredging services",,,,,,,,,D10C,0,0,0,,
FLOODPLAIN DISTRICT PERMIT,267571,11/15/2010,11/16/2010,,11/16/2012,"REMOVE AND REPLACE SINGLE FAMILY HOME.FEMA 'CLOMR-F'APPROVED FILL ON 11-04-2010.SC#237713 AT 8700 FALLEN OAK DR, BETHESDA; FOR APPROVAL.",,CJC,BOOZE CRK,210NW06,GN 563,,8700,,FALLEN OAK,,DR,BETHESDA,MD,20817,35-E9,21068,5488,0,,"8700 FALLEN OAK DR
BETHESDA, MD 20817
(38.998766, -77.130897)"
FLOODPLAIN DISTRICT PERMIT,356504,01/31/2017,01/12/2018,,01/12/2020,Redevelopment of existing park.,,,,,01679551,,125,,DALE,,DR,SILVER SPRING,MD,20910,5408J1,29185,,0,,"125 DALE DR
SILVER SPRING, MD 20910
(38.995999, -77.009892)"
FLOODPLAIN DISTRICT PERMIT,357384,04/03/2017,,,,CLEARING 15' AT EXISTING TOE OF EMBANKMENT. REQUESTING FOR FLOOD PLAIN DISTRICT PERMIT.,,CJC,,214NW9,FQ61,"WRE 12-04 FOX HILLS WEST

WILLOWBROOK DRIVE

POTOMAC, MD",,,,,,,,,5284 / 4A,5696,0,0,,
FLOODPLAIN DISTRICT PERMIT,357524,04/12/2017,,,,"Stream Restoration to stabilize 3,460 linear feet of degraded channel bank.",,,,209NW07,,"WRE 12-35 Cabin John Creek - Lower Booze Creek Repair - Helmsdale Road - Bethesda, MD 20817",,,,,,,,,5406 F 3,"382,700",0,0,,
FLOODPLAIN DISTRICT PERMIT,357188,03/21/2017,04/21/2017,,04/21/2019,THIS PROJECT INVOLVES THE REMOVAL OF A DAM AND THE RESTORATION OF THE STREAM THROUGH THE OLD POND BOTTOM AND EMBANKMENT.,,NWB,,22NW03,HS-563,"TROTTERS GLEN FAIRWAY STREAM RESTORATION

BATCHELLORS FOREST ROAD

OLNEY, MD 20832",,,,,,,,,,"21,771",,0,,
FLOODPLAIN DISTRICT PERMIT,358150,05/30/2017,06/16/2017,02/23/2018,06/16/2019,NEW HOUSE CONSTRUCTION ON LOT-GRADE REAR YARD AND ADD DRYWELLS AND PORTION OF DECK WITHIN 25BRL OF FLOOD PLAINS,CONS,,,213NW4,HP43,,10414,,PARKWOOD,,DR,KENSINGTON,MD,20895,36-3B,1125,,0,,"10414 PARKWOOD DR
KENSINGTON, MD 20895
(39.02823, -77.087304)"
FLOODPLAIN DISTRICT PERMIT,259479,10/07/2008,07/17/2009,04/27/2017,07/17/2017,THE PURPOSE OF THE PROJECT IS TO CONSTRUCT GLOBAL MISSION CHURCH VISION CENTER AND PROVIDE AN ACCESS DRIVE FROM MD109.PROPOSED BRIDGE WILL CROSS CREEK,CONS,PRD,,236NW-16NW,PX52,"MD 109 - OLD HUNDRED ROAD, HYATTSTOWN, MD",,,,,,,,,PG C-3.6,123383,9182,0,,
FLOODPLAIN DISTRICT PERMIT,267805,12/14/2010,02/03/2011,05/02/2017,02/03/2013,CONSTRUCTION OF A SINGLE FAMILY HOME,SFD,URC,,220NW04,HS-31,"GREAT OAK ROAD, SECTION 1, LOT 92",,,,,,,,,5165-F4,"5,445 SF","2,085 SF",0,,
FLOODPLAIN DISTRICT PERMIT,276669,07/10/2012,05/03/2013,,05/03/2018,"ROAD IMPROVEMENTS TO ACCOMMODATE NEW AND FUTURE DEVELOPMENT.  INVOLVES THE WIDENING AND RAISING OF EXISTING Stringtown Road,",,LSC,,13NW233,,OVERLOOK PARK DRIVE TO SNOWDEN FARM PARKWAY,,,,,,,,,9/E3,17500,0,0,,
FLOODPLAIN DISTRICT PERMIT,353180,06/23/2016,05/16/2017,,05/16/2019,"Removal of crossing & restoratn of stream, removal of a failing SWM structure & bridge, installatn of stabilization structures, & regarding",U,LFB,UNNAMED,503/504,KR52,"N221, N278, and N320 of Silver Spring Country Club",,,,,,,,,E11D,0,0,0,,
FLOODPLAIN DISTRICT PERMIT,333248,03/23/2015,06/08/2017,,06/08/2019,POND RETROFIT FOR COMPLIANCE WITH MONTGOMERY COUNTY'S MS-4 PERMIT REQUIREMENTS.,CONS,MBR,,219NW12,ER53,"BETWEEN 12517 AND 12437 TRIPLE CROWN ROAD, GAITHERSBURG",,,,,,,,,,41949,,0,,
FLOODPLAIN DISTRICT PERMIT,358361,06/13/2017,,,,Clearing 15 feet at existing toe of embankment.  Removing sediment buildup in pond and replacing riser.,,ROR,,209NW10,FN22,"LAUREL LEAF DRIVE, POTOMAC, MD",,,,,,,,,,32811,,0,,
FLOODPLAIN DISTRICT PERMIT,354828,10/10/2016,06/14/2017,,06/14/2019,"REPL.ACE EX FAILING TRIPLE 120"" CMP CULV W/ A 3 CELL CONC. BOX CULV. TWO 9' x 9' BOXES AND 1 DEPRESSED 10' x 11' BOX. NO NEW IMPERV OR ROADWAY IMPROVE",,,,229NW13,,"Kinster Drive (340' NE of Crystal Rock Drive)

Germantown, MD 20874",,,,,,,,,D10C,"23,355",0,0,,
FLOODPLAIN DISTRICT PERMIT,270769,07/27/2011,10/25/2012,07/06/2017,10/25/2016,"INSTALLATION OF STORMCEPTOR SWM DEVICE IN EXISTING STORM DRAIN SYSTEM AT ROCKVILLE WATER TREATMENT PLANT IN POTOMAC, MD UNDER SM#238306.",,,,213NW11,FP123,"10930 SANDY LANDING ROAD, POTOMAC, MD 20854",,,,,,,,,"5283, C-7",500 SQ FT,354 SQ FT,0,,
FLOODPLAIN DISTRICT PERMIT,257964,05/27/2008,07/13/2017,,07/13/2019,REMOVE EXISTING RISER/BARRELS AND REPLACE WITH 110 LF WEIR WALL.,CONS,GSC,,222NW12,ES563,"INTERSECTION OF PUEBLO ROAD & TOMAHAWK DRIVE, GAITHERSBURG",,,,,,,,,"5046/J10,K10",10600,,0,,
FLOODPLAIN DISTRICT PERMIT,292584,04/26/2013,05/02/2013,07/27/2017,05/02/2015,RECONSTRUCTION OF EXISTING PUBLIC ROADWAY,,LSC,,231NW13,EV EW,BETWEEN COMSAT DRIVE AND MD ROUTE 355 (PUBLIC ROADWAY),,,,,,,,,4928 G/4,"48,185","5,775",0,SHAWNEE LANE PROJECT,
FLOODPLAIN DISTRICT PERMIT,322487,09/10/2014,09/26/2014,,09/26/2019,"Bridge replacement and approach roadway safety improvements,",,,,227NW02,,"GOLDMINE ROAD FROM JAMES CREEK CT 

TO 300' EAST OF BRIDGE NO. M-0096

BROOKEVILLE, MD 20833",,,,,,,,,E11A,48097,18143,0,,
FLOODPLAIN DISTRICT PERMIT,363171,04/25/2018,,,,"Replacing existing twin 24""CMPs at Goshen Road and existing 36"" CMPs at Wightman Road.",,,,228NW09,FU563,Goshen Road Improvements - Culverts 4 & 5 Replacements,,,,,,,,,4930-A10,193922,51227,0,,
FLOODPLAIN DISTRICT PERMIT,351155,02/01/2016,08/03/2017,,08/03/2019,Snouffer School Road is being widened from a 2 lane to 4 lane road. The culverts will be extended and replaced while the bridge will be replaced.,,GSC,,227NW09,,"Snouffer School Road/Centerway Road to Alliston Hollow Way/Gaithersburg, MD 20879",,,,,,,,,E10B,98601,51042,0,,
FLOODPLAIN DISTRICT PERMIT,359237,08/03/2017,,,,"STREAM RESTORATION TO STABILIZE 3250 LINEAR FT OF DEGRADED CHANNEL BANK.  RESTOR. IS NEEDED TO PREVENT FURTHER EROSION, INCISION & LATERAL MIGRATION.",,,,,,"STRATHMORE AVENUE, ROCKVILLE, MD 20852",,,,,,,,,,"30,124",,0,,
FLOODPLAIN DISTRICT PERMIT,357828,05/04/2017,08/07/2017,,08/07/2019,"INSTALL PORTION OF NEW PUBLIC ROAD, SIDEWALKS, DRAINAGE DITCHES, GRADING & OTHER SITE AMENITIES.",CONS,PRD,,223NW20,CT21,"OXLEY FARM ROAD, POOLESVILLE,      PARCEL 533",,,,,,,,,,"39,500",5600,0,,
FLOODPLAIN DISTRICT PERMIT,310007,02/24/2014,08/16/2017,,08/16/2019,Stream stabilization work in a tributaryto Little Seneca Parkway in Phase 2,,LSC,,,,"Clarksburg Village Phase 2B-Stream Restoration-Snowden Farm Parkway-Clarksburg, MD",,,,,,,,,4929/A-5,"48,382",,0,,
FLOODPLAIN DISTRICT PERMIT,330690,02/03/2015,09/18/2015,09/07/2017,09/18/2017,RESTORE AN UNNAMED TRIBUTARY TO SANDY BRANCH,,WBR,,,EQ63,"12204 GLEN ROAD

POTOMAC, MD 20854",,,,,,,,,E10C,23134,0,0,,
FLOODPLAIN DISTRICT PERMIT,254452,08/30/2007,03/25/2008,09/07/2017,03/25/2015,CONSTRUCTION OF THE PROPOSED STORM DRAIN AND STORMWATER MANAGEMENT SYSTEM,,GSC,GUNNERS BR,228NW12,EU563,"20524 FREDERICK ROAD, GERMANTOWN, MD",,,,,,,,,9H13,5000,0,0,,
FLOODPLAIN DISTRICT PERMIT,361815,01/24/2018,12/21/2018,,12/21/2020,"THIS PERMIT WILL CONSTRUCT A NEW TOWNHOME DEVELOPMENT ALONG WITH ASSOCIATED PARKING, WALKWAYS AND ROADWAYS.",,LSC,,,,"DOWDEN'S STATION

FREDERICK ROAD

CLARKSBURG, MD 20841",,,,,,,,,,6925,,0,,
FLOODPLAIN DISTRICT PERMIT,330608,02/02/2015,02/13/2015,,02/13/2018,CONSTRUCTION OF CULVERT #2 UNDER EXISTING WEST OLD BALTIMORE ROAD INCLUDING STREAM RESTORATION.,CONS,,CABIN BRCH,231NW14,,WEST OLD BALTIMORE ROAD,,,,,,,,,,28875,3620,0,,
FLOODPLAIN DISTRICT PERMIT,321106,08/20/2014,08/28/2014,09/22/2017,08/28/2017,Installation of Tivoli Lake Boulevard culvert as part of Storm Drain and Paving full construction.,,NWB,,217 & 218 NW 1 & 2,JR 121,Poplar Run/Tivoli Lake Boulevard between Hugo Circle and Redspire Drive/Sediment Control Plan for Full SDP Construction,,,,,,,,,30 & 31,28794,0,0,,
FLOODPLAIN DISTRICT PERMIT,359871,09/13/2017,10/19/2017,,10/19/2019,To address dam safety deficiencies at existing SWM pond and to obtain WQv credit as part of Montgomery County's MS4 permit compliance program,COMISC,LPB,,219NE04,KR53,"Ballinger Drive, Silver Spring, MD 20904",,,,,,,,,"5168, A6",57900,0,0,,
FLOODPLAIN DISTRICT PERMIT,350962,01/13/2016,01/19/2016,10/24/2017,01/19/2018,Stream Restoration and Stabilization,,NWB,,217NW1.2,"JR121,122,341,342","Poplar Run Drive/Silver Spring, MD 20906",,,,,,,,,"30/31-K/A6,7,8,9","88,272",0,0,,
FLOODPLAIN DISTRICT PERMIT,366606,01/03/2019,,,,"Repair and maintenance of a 66 inch CMP on unnamed tributary to C&O Canal.  The work includes a curved-in-place pipe (CIPP) lining ot the 66-inch CMP,",,,,,,"near 2 Laurel Leaf Court
Potomac, MD 20854",,,,,,,,,,"12,792",,0,,
FLOODPLAIN DISTRICT PERMIT,366693,01/11/2019,,,,"Reconstruction of the headwall on the upstream side of an existing 90"" culvert under future Saint Clair Ropad",,LSC,,233NW13,EW-42,"Northwest corner of Stringtown Road & Saint Clair Road, Clarksburg, MD 20871",,,,,,,,,22-F3,2770,110,0,,
FLOODPLAIN DISTRICT PERMIT,351635,03/07/2016,05/06/2016,10/31/2017,05/06/2018,"CONSTR.OF THE REMAINING GREENWAY HARD SURFACE FROM STA. 3+86.71 TO STA. 20+94.36 INCL. PED.BRIDGES, BOARDWALK DESKS, CULVERTS AND SWM FACILITIES.",,LSC,UNNAMED,12NW232/13NW232,EW41/EW51,BETWEEN STRINGTOWN ROAD AND GRAND ELD STREET,,,,,,,,,"4928/J4, K4",NA,NA,0,"CONSTRUCTION OF THE REMAINING GREENWAY HARD SURFACE FROM STA. 3+86.71 TO STA. 20+94.36 INCLUDING PEDESTRIAN BRIDGES, BOARDWALK DESKS, 2 15"" CULVERTS, 1 30"" X19"" ELLIPTICAL CULVERT AND SWM FACILITIES.",
FLOODPLAIN DISTRICT PERMIT,364796,08/21/2018,10/24/2018,,10/24/2020,"Replacement of an existing 84-inch CMP on River Road with a 84-inch CMP, and installation of a 104-linear-foot, 84-inch RCP, concrete headwall, * [pp",CONS,PRD,UNNAMED,N/A,CR462,"near 18429 River Road, Poolesville, MD 20837",,,,,,,,,CR52,10596,0,0,River Road at Hunting Quarter Road Culvert Replacement Project,
FLOODPLAIN DISTRICT PERMIT,305110,11/19/2013,07/14/2016,12/05/2017,07/14/2018,Retrofit od existiong SWM dry pond to meet MDE SWM criteria for CPv & WQv as part of Montgomery County MSA permit comp.,CONS,GSC,,236NW10,,"Valley Park Regional SWM Pond Retrofit (MCDEP Asset #11475) Valley Park Drive, Damascus, MD 20872",,,,,,,,,4809 G6,101852,0,0,,
FLOODPLAIN DISTRICT PERMIT,305108,11/19/2013,08/23/2016,12/05/2017,08/23/2018,Retrofit of existing storm water management wet pond to meet 2000 MDE SWM criteria for CPv and WQv as part of Montgomery County MS4 permit compliance,,GSC,,223NW09,,"The Plantations II SWM Pond Retrofit (MCDEP Asset #11460) 23800 Rolling Fork Way Gaithersburg, MD 20882",,,,,,,,,4929 J1,29178,0,0,,
FLOODPLAIN DISTRICT PERMIT,282335,10/18/2012,10/23/2015,12/18/2017,10/23/2017,"Construct sidewalk along Maryland Route 355 through Hyattstown, MD / Storm drain pipe outfall at Little Bennett Creek",,LBC,,236 NW15,,MD-355 Sidewalk (Hyattstown),,,,,,,,,4807 K5 & K6,700,0,0,,
FLOODPLAIN DISTRICT PERMIT,281133,09/28/2012,03/04/2016,01/02/2018,03/04/2018,CONSTRUCTION OF RIP RAP PLUNGE POOL AT THE OUT- FALL OF A SWM PRINCIPAL SPILLWAY CULVERT PIPE.,,GSC,,225NW09,,"ROYAL BONNET CIRCLE, GAITHERSBURG, MD 20877",,,,,,,,,,"1,137 SQ FT",,0,,
FLOODPLAIN DISTRICT PERMIT,351150,02/01/2016,02/01/2016,01/04/2018,02/01/2018,"Repair and maintenance of an 84 inch CMO on Manor Run. The work includes concrete paving of the pipe invert, replacement of 40ft of pipe.",,URC,,,HS41,"Sunflower Drive Culvert/Near 4300 Sunflower Drive/Rockville, MD 20853",,,,,,,,,E10D,"26,058",0,0,,
FLOODPLAIN DISTRICT PERMIT,351292,02/11/2016,05/31/2016,01/22/2018,05/31/2018,Replacement of Pennyfield Lock Road Bridge No. M-0198B,,PRD,,,,"Pennyfield Lock Road bridge over unnamed tributary/12358 Pennyfield Lock Road, Travilah, MD 20854",,,,,,,,,P754,"9,753 Square feet","1,171 Square feet",0,,
FLOODPLAIN DISTRICT PERMIT,363170,04/25/2018,,,,Widen existing 2 lane to 4 lane bridge,,,,226NW09,FU561,Goshen Road Improvements/Bridge 1 - Widening of Existing Bridge,,,,,,,,,5047-K3,122465,7013,0,,
FLOODPLAIN DISTRICT PERMIT,363172,04/25/2018,,,,"Replace existing twin 30"" pipes where road overtops.",,,,227NW09,FU562,Goshen Road - Culvert 3 Replacement,,,,,,,,,5047-K2,51282,17879,0,,
FLOODPLAIN DISTRICT PERMIT,363677,05/29/2018,10/24/2018,,10/24/2020,REPAIR AND MAINTENANCE OF AN 84-INCH CMP ON UNAMED TRIBUTARY TO MUDDY BRANCH.  WORK INCLUDES CURED-IN- PLACE PIPE (CIPP) LINING OF THE 84-INCH CMP.,,,,,,"near 11921 Quince Mill Drive
North Potomac, MD 20878",,,,,,,,,,"15,548",,0,,
FLOODPLAIN DISTRICT PERMIT,360399,10/16/2017,02/13/2018,,02/13/2020,This stormwater pond retrofit and stream restoration project is being undertaken by DEP in order to meet MS4 permit goals and objectives.,,PRD,,21914W11,FR-123,"FLINTS GROVE LANE, RICH BRANCH DRIVE, NORTH POTOMAC, MD",,,,,,,,,,25796,0,0,,
FLOODPLAIN DISTRICT PERMIT,292596,04/26/2013,06/10/2013,08/31/2017,06/10/2015,"RENOVATE EXIST GOLF COURSE/SOCCER FIELDS.   MODERATE SHAPING, REPLACE/RELOCATE CART PATH, ADDITIONAL SUBSURFACE DRAINAGE & CONSTRUCT  ESD PRACTICES",,GSC,,DR341,,,15700,,RIVER,,RD,GERMANTOWN,MD,20874,E9D & E10C,"967,000",567,0,"PARCEL N222 - BRETTON WOOD RECREATION CENTER - BRETTON WOODS GOLF COURSE -

replaced by floodplain permit #359701","15700 RIVER RD
GERMANTOWN, MD 20874
(39.077899, -77.327158)"
FLOODPLAIN DISTRICT PERMIT,361638,01/16/2018,03/15/2018,,03/15/2020,MNCPPC wishes to construct and ADA accessible connection to Rock Creek trail from Connecticut Avenue.,CONS,LRC,,211NW04,HP341,"Beach Drive and Connecticut Avenue, Bethesda, MD",,,,,,,,,,15667,3401,0,,
FLOODPLAIN DISTRICT PERMIT,334991,04/17/2015,07/10/2015,03/15/2018,07/10/2017,Removal of pavement and sidewalk.Construction of bioretention facility to improve water quality and associated storm drain,,NWB,,214NW-1-S,jq41,"Breewood Road Bioretention/Breewood Manor/Dead end of Breewood Road/Silver Spring, MD 20901",,,,,,,,,,"1,196",0,0,,
FLOODPLAIN DISTRICT PERMIT,351838,03/23/2016,01/09/2017,04/19/2018,01/09/2019,"REPLACEMENT OF EXISTING FAILING 131"" X 85""  STEEL PLATE PIPE ARCH WITH TWO CONCRETE BOX CULVERTS AND ROAD REPAIRS.",CONS,PRD,,219NW04,E-11C,"14100 CONNECTICUT AVENUE, ASPEN HILL",,,,,,,,,,0,0,0,,
