Agency Name,Contact Name,CEO Title,Street Address,Street Address 2,City,Zip,County Name,Voice Number,Fax Number,Agency_Type
New Haven Police Dept.,Christopher Hammann,Chief,1100 Olive Street,,New Haven,63068,FRANKLIN,5732372211,5732375686,Municipal
New London Police Dept.,Ryan Sparks,Chief,PO Box 425     419 S Main Street,,New London,63459,RALLS,5739854041,5739854231,Municipal
New Madrid County Sheriff's Office,Terry Stevens,Sheriff,#1 Courthouse Square,,New Madrid,63869,NEW MADRID,5737482516,5737486022,County
New Madrid Police Dept.,Danny Higgerson,Chief,342 US Hwy 61,,New Madrid,63869,NEW MADRID,5737485901,5737482019,Municipal
Newburg Police Dept.,Chris Finch,Chief,"2nd & Main - Drawer ""K""",,Newburg,65550,PHELPS,5737622135,5737623704,Municipal
Newton County Sheriff's Office,Christopher Jennings,Sheriff,208 West Coler,,Neosho,64850,NEWTON,4174518300,4174518316,County
Niangua Police Dept.,Teresa Lamm,Chief,"135 S. Commercia, POB 81",,Niangua,65713,WEBSTER,4174736449,4174736449,Municipal
Nixa Police Dept.,Joseph Campbell,Chief,PO Box 395,,Nixa,65714,CHRISTIAN,4177252510,4177250915,Municipal
Nodaway County Sheriff's Office,Randy Strong,Sheriff,404 North Vine,,Maryville,64468,NODAWAY,6605827451,6605828558,County
Noel Police Dept.,Paul Gardner,Marshal,118 Gratz Street,PO Box 1010,Noel,64854,MCDONALD,4174756237,4174756334,Municipal
Norborne Police Dept.,Chief of Police,Chief,109 E Second,,Norborne,64668,CARROLL,6605933737,6605933514,Municipal
Norfolk Southern Railroad Police Dept.,Craig Johnson,Mr.,7021 Hall Street,,St. Louis,63147,ST. LOUIS CITY,3146791807,3146791830,Rail Road
Normandy Police Dept.,Francis Mininni,Chief,7700 Natural Bridge Rd,,Normandy,63121,ST. LOUIS,3143853300,3143851054,Municipal
North Kansas City Police Dept.,Kevin Freeman,Chief,2020 Howell,,North Kansas City,64116,CLAY,8162746013,8162210432,Municipal
Northmoor Police Dept.,Kelly Clark,Chief,2039 NW 49th Terrace,,Northmoor,64151,PLATTE,8167413960,8167411126,Municipal
Northwoods Police Dept.,Norman Campbell,Chief,4608 Oakridge Blvd,,Northwoods,63121,ST. LOUIS,3143856000,3143859690,Municipal
NW MO State Univ Police Dept.,Clarence Green,Chief,800 University Drive,,Maryville,64468,NODAWAY,6605621254,6605621907,University
O'Fallon Police Dept.,Timothy Clothier,Chief,1019 Bryan Road,,O'Fallon,63366,ST. CHARLES,6362403200,6363795697,Municipal
Oak Grove Police Dept.,Bryon Price,Chief,1300 S Broadway,,Oak Grove,64075,JACKSON,8166903773,8166905861,Municipal
Oakview Police Dept.,Carl Drowns,Chief,6404 N Locust,,Oakview,64118,CLAY,8164369150,8164362671,Municipal
Odessa Police Dept.,Joshua Thompson,Chief,301 South 1st Street,,Odessa,64076,LAFAYETTE,8166337575,8166337221,Municipal
Old Monroe Police Dept.,Kimla Lowery,Chief,PO Box 212,101 Locust Street,Old Monroe,63369,LINCOLN,6366615112,6366615373,Municipal
Olivette Police Dept.,David Wolf,Colonel,1140 Dielman Road,,Olivette,63132,ST. LOUIS,3146453000,3149835287,Municipal
Oran Police Dept.,Gregory Ourth,Chief,"PO Drawer ""R""",,Oran,63771,SCOTT,5732623533,5732623042,Municipal
Oregon County Sheriff's Office,Eric King,Sheriff,PO Box 265,,Alton,65606,OREGON,4177787888,4177786641,County
Oregon Police Dept.,Joseph Martin,Chief,P.O. Box 225,104 S. Main Street,Oregon,64473,HOLT,6604463695,6604463668,Municipal
Oronogo Police Dept.,Bradley Winningham,Chief,PO Box 78,653 E Central St,Oronogo,64855,JASPER,4176731916,4176732113,Municipal
Orrick Police Dept.,Randy Dinwiddie,Chief,PO Box 227,207 W South Front St,Orrick,64077,RAY,8164965500,8164960190,Municipal
Osage Beach Police Dept.,Michael Davis,Chief,1000 City Parkway,,Osage Beach,65065,CAMDEN,5733022010,5733483277,Municipal
Osage County Sheriff's Office,Michael Bonham,Sheriff,106 East Main Street,PO Box 619,Linn,65051,OSAGE,5738973927,5738974383,County
Osceola Police Dept.,Betty Roth,Chief,210 Olive Street,PO Box 561,Osceola,64776,ST. CLAIR,4176468421,4176468415,Municipal
Otterville Police Dept.,William Smith,Chief,PO Box 58 - City Hall,,Otterville,65348,COOPER,6603664613,6603664694,Municipal
Overland Police Dept.,Andrew Mackey,Chief,2410 Goodale Ave,,Overland,63114,ST. LOUIS,3144281221,3142272806,Municipal
Owensville Police Dept.,Robert Rickerd,Chief,109 North 2nd Street,,Owensville,65066,GASCONADE,5734372195,5734375156,Municipal
Ozark County Sheriff's Office,Darrin Reed,Sheriff,1818 County Road 806,,Gainesville,65655,OZARK,4176794633,4176793201,County
Ozark Police Dept.,Justin Arnold,Acting Chief,201 E Brick,,Ozark,65721,CHRISTIAN,4175816600,4175818804,Municipal
Pacific Police Dept.,Matthew Mansell,Chief,300 Hoven Drive,,Pacific,63069,FRANKLIN,6362572424,6362572641,Municipal
Pagedale Police Dept.,Eddie Simmons,Chief,1420 Ferguson Ave,,Pagedale,63133,ST. LOUIS,3147261112,3147265485,Municipal
Palmyra Police Dept.,Thomas Bogue,Chief,200 N. Main,PO Box 32,Palmyra,63461,MARION,5737695540,5737694287,Municipal
Park Hills Police Dept.,Richard McFarland,Chief,8 Municipal Dr.,,Park Hills,63601,ST. FRANCOIS,5734313122,5734315074,Municipal
Parkville Police Dept.,Kevin Chrisman,Chief,8880 Clark Avenue,,Parkville,64152,PLATTE,8167414454,8167416380,Municipal
Parma Police Dept.,Rufus Williamson,Mayor,209 South Broad Street,PO Box 668,Parma,63870,NEW MADRID,5733574375,5733574047,Municipal
Peculiar Police Dept.,Harry Gurin,Chief,224 N. Main Street,P.O. Box 653,Peculiar,64078,CASS,8167795102,8167585103,Municipal
Pemiscot County Sheriff's Office,Thomas Greenwell,Sheriff,800 Ward Avenue,,Caruthersville,63830,PEMISCOT,5733334101,5733330713,County
Perry County Sheriff's Office,Gary Schaaf,Sheriff,710 S Kingshighway Street,,Perryville,63775,PERRY,5735474576,5735477461,County
Perry Police Dept.,Edward Landis,Chief,127 East Main Street,,Perry,63462,RALLS,5735653131,5735653148,Municipal
Perryville Police Dept.,Direk Hunt,Chief,120 N Jackson,,Perryville,63775,PERRY,5735474546,5735472261,Municipal
Pettis County Sheriff's Office,Kevin Bond,Sheriff,319 S Lamine,,Sedalia,65301,PETTIS,6608270052,6608265254,County
Pevely Police Dept.,Alan Eickhoff,Chief,401 Main Street,P.O. Box 304,Pevely,63070,JEFFERSON,6364755301,6364754632,Municipal
Phelps County Sheriff's Office,Richard Lisenbe,Sheriff,500 West 2nd Street,,Rolla,65401,PHELPS,5734263825,5734263857,County
Piedmont Police Dept.,Richard Sanders,Chief,P. O Box 98,116 West Green Street,Piedmont,63957,WAYNE,5732234300,5732237227,Municipal
Pierce City Police Dept.,Michael Abramovitz,Chief,One Frisco Place,,Pierce City,65723,LAWRENCE,4174762323,4174765580,Municipal
Pike County Sheriff's Office,Stephen Korte,Sheriff,1600 Business 54 West,,Bowling Green,63334,PIKE,5733243202,5733243972,County
Pilot Grove Police Dept.,Peter Busalacki,Chief,213 College Street,,Pilot Grove,65276,COOPER,6608344300,6608344088,Municipal
Pilot Knob Police Dept.,Darren Kelley,Chief,PO Box 188,112 South McCune Street,Pilot Knob,63663,IRON,5735464215,5735467581,Municipal
Pineville Police Dept.,Christopher Owens,Marshal,PO Box 34,,Pineville,64856,MCDONALD,4172234369,4172233503,Municipal
Platte City Police Dept.,Joseph Wellington,Chief,355 Main Street,,Platte City,64079,PLATTE,8168585150,8168585981,Municipal
Platte County Sheriff's Office,Mark Owen,Sheriff,415 Third St - Suite 10,,Platte City,64079,PLATTE,8168583521,8168583053,County
Platte Woods Police Dept.,JAMES KERNS,Acting Chief,6750 NW Tower Drive,,Platte Woods,64151,PLATTE,8167417973,8167414261,Municipal
Plattsburg Police Dept.,David Couzens,Chief,114 W Maple St,,Plattsburg,64477,CLINTON,8165392148,8169303260,Municipal
Pleasant Hill Police Dept.,Robert Driscoll,Chief,203 Paul Street,,Pleasant Hill,64080,CASS,8165409109,8169879113,Municipal
Pleasant Hope Police Dept.,Terin Cantrell,Chief,5492 Suite C State HWY H,,Pleasant Hope,65725,POLK,4172675027,4174672114,Municipal
Pleasant Valley Police Dept.,Gordon Abraham,Chief,6502 Royal Street,,Pleasant Valley,64068,CLAY,8167817373,8167817195,Municipal
Polk County Sheriff's Office,Edward Morrison,Sheriff,113 E Jefferson,,Bolivar,65613,POLK,4177779020,4177777684,County
Polo Police Dept.,Jonathan Abbott,Chief,P.O. Box 307,,Polo,64671,CALDWELL,6603542251,,Municipal
Poplar Bluff Police Dept.,Danny Whiteley,Chief,1111 Poplar Street,,Poplar Bluff,63901,BUTLER,5737855776,5737122591,Municipal
Portageville Police Dept.,Ronnie Adams,Chief,201 East Main Street,,Portageville,63873,NEW MADRID,5733795500,5733795802,Municipal
Potosi Police Dept.,William Gum,Chief,#1 Police Plaza,,Potosi,63664,WASHINGTON,5734385468,5734385874,Municipal
Prairie Home Police Dept.,Benjamin Burch,Chief,P.O. Box 39,416 Highway Drive,Prairie Home,65068,COOPER,6608415524,,Municipal
Pulaski County Sheriff's Office,Jimmy Bench,Sheriff,301 Historic Rt 66 E - Suite 136,,Waynesville,65583,PULASKI,5737744796,5737744761,County
Purdy Police Dept.,Jackie Lowe,Chief,PO Box 216,,Purdy,65734,BARRY,4174427429,4174427165,Municipal
Putnam County Sheriff's Office,Jason Knight,Sheriff,Courthouse  Room 0101,,Unionville,63565,PUTNAM,6609472515,6609473700,County
Puxico Police Dept.,Ricky Sheren,Chief,141 N. Hickman,,Puxico,63960,STODDARD,5732223565,5732223478,Municipal
Queen City Police Dept.,Jason Bunch,Chief,Box 400,,Queen City,63561,SCHUYLER,6607662735,6607662804,Municipal
Qulin Police Dept.,Michael Lashley,Chief,245 D Street,PO Box 172,Qulin,63961,BUTLER,5733284488,5733281288,Municipal
Ralls County Sheriff's Office,Gerry Dinwiddie,Sheriff,209 East 4th Street,,New London,63459,RALLS,5739855611,5739853100,County
Randolph County Sheriff's Office,Mark Nichols,Sheriff,372 Hwy JJ,Suite 1B,Huntsville,65259,RANDOLPH,6602775095,6602775084,County
Ray County Sheriff's Office,Garry Bush,Sheriff,200 W 9th St,,Henrietta,64036,RAY,8162905323,8162905548,County
Raymore Police Dept.,Jan Zimmerman,Chief,100 Municipal Circle,,Raymore,64083,CASS,8163310530,8163310564,Municipal
Raytown Police Dept.,Robert Kuehl,Chief,10000 E 59th Street,,Raytown,64133,JACKSON,8167376016,8167376053,Municipal
Reeds Spring Police Dept.,Tracy West,Chief,"22595 Main Street, PO Box 171",,Reeds Spring,65737,STONE,4172723107,4172721030,Municipal
Republic Police Dept,Thomas Sells,Chief,540 Civic Blvd,,Republic,65738,GREENE,4177323910,4177323990,Municipal
Reynolds County Sheriff's Office,Thomas Stout,Sheriff,Box 16,,Centerville,63633,REYNOLDS,5736482491,5736482296,County
Rich Hill Police Dept,David Johnson,Chief,120 N 7th St,,Rich Hill,64779,BATES,4173952222,4173954555,Municipal
Richland Police Dept,Jaime Solis,Acting Chief,201 S Chestnut   PO Box 798,,Richland,65556,PULASKI,5737654144,5737653093,Municipal
Richmond Heights Police Dept,GERALD ROHR,Chief,7447 Dale Ave,,Richmond Heights,63117,ST. LOUIS,3146453000,3146553635,Municipal
Richmond Police Dept,Chad Burnine,Chief,207 Summit Street,,Richmond,64085,RAY,8167763575,8164705961,Municipal
Ripley County Sheriff's Office,Michael Barton,Sheriff,301 Lafayette Street,,Doniphan,63935,RIPLEY,5739962129,5739964318,County
Risco Police Dept,Paul Hayes,Mayor,PO Box 238,,Risco,63874,NEW MADRID,5733965650,5733965650,Municipal
Riverside Police Dept,Christopher Skinrood,Chief,2990 NW Vivion Rd,,Riverside,64150,PLATTE,8167411191,8167410895,Municipal
Riverview Police Dept,Jeffrey Dominguez,Chief,9699 Lilac Drive,,Riverview,63137,ST. LOUIS,3148689130,3148683252,Municipal
Rock Hill Police Dept,Donald Wickenhauser,Chief,827 North Rock Hill Rd,,Rock Hill,63119,ST. LOUIS,3149626600,3149626603,Municipal
Rock Port Police Dept,Shannon Sherwood,Chief,500 S Main Street,,Rock Port,64482,ATCHISON,6607442636,6607445553,Municipal
Rockaway Beach Police Dept,Jody Intravia,Chief,PO Box 315,,Rockaway Beach,65740,TANEY,4172949070,4175619566,Municipal
Rogersville Police Dept,Edward Laughlin,Chief,211 E Center   Box 19,,Rogersville,65742,WEBSTER,4177532884,4177532871,Municipal
Rolla Police Dept,Sean Fagan,Chief,1007 N Elm St,,Rolla,65401,PHELPS,5733081213,5733646346,Municipal
Rosebud Police Dept,Mason Griffith,Chief,PO Box 197,307 N. Cedar Street,Rosebud,63091,GASCONADE,5734377770,5737647673,Municipal
Rutledge Police Dept.,Jason Moss,Chief,P.O. Box 35,,Rutledge,63563,SCOTLAND,6604652106,6608835805,Municipal
Salem Police Dept,John Chase,Chief,500 N Jackson Street,,Salem,65560,DENT,5737294242,5737293918,Municipal
Saline County Sheriff's Office,Cindi Mullins,Sheriff,1915 W. Arrow,PO Box 366,Marshall,65340,SALINE,6608865511,6608865513,County
Salisbury Police Dept,James Cole,Chief,123 West 2nd Street,123-B W Second Street,Salisbury,65281,CHARITON,6603886875,6603885722,Municipal
Sarcoxie Police Dept,Brandy Corum,Acting Chief,113 N. 6th,PO Box 130,Sarcoxie,64862,JASPER,4175487242,4175487337,Municipal
Savannah Police Dept,David Vincent,Chief,402 Court Street,,Savannah,64485,ANDREW,8163247541,8163245997,Municipal
Schuyler County Sheriff's Office,Joseph Wuebker,Sheriff,PO Box 355,,Lancaster,63548,SCHUYLER,6609569493,6609560351,County
Scotland County Sheriff's Office,Terry Winn,Sheriff,117 S Market St - Room 3,,Memphis,63555,SCOTLAND,6604652151,6604657005,County
Scott City Police Dept,Michael Culler,Chief,618 Main Street,,Scott City,63780,SCOTT,5732642121,5732642125,Municipal
Scott County Sheriff's Office,Wesley Drury,Sheriff,PO Box 279,131 South New Madrid,Benton,63736,SCOTT,5735453525,5735453527,County
Sedalia Police Dept,Matthew Wirt,Chief,201 W Second Street,,Sedalia,65301,PETTIS,6608268100,6608267040,Municipal
Seligman Police Dept,Kevin Phillips,Chief,29144 Main Street,,Seligman,65745,BARRY,4176623600,4176623718,Municipal
Senath Police Dept,Omar Karnes,Chief,PO Box 609,301 W Commercial,Senath,63876,DUNKLIN,5737382818,5737383201,Municipal
Seneca Police Dept,James Altic,Chief,517 Oneida,,Seneca,64865,NEWTON,4177768158,4177762943,Municipal
Seymour Police Dept,William Pogue,Chief,PO Box 247,124 West Washington Street,Seymour,65746,WEBSTER,4179354012,4179354653,Municipal
Shannon County Sheriff's Office,Darrin Brawley,Sheriff,PO Box 880,,Eminence,65466,SHANNON,5732263615,5732265561,County
Shelbina Police Dept,Gerald Fenton,Chief,120 East Walnut Street,,Shelbina,63468,SHELBY,5735882220,5735887901,Municipal
Shelby County Sheriff's Office,Dennis Perrigo,Sheriff,100 E. Main,,Shelbyville,63469,SHELBY,5736332161,5736332493,County
Shrewsbury Police Dept,Lisa Vargas,Chief,4400 Shrewsbury Ave,,Shrewsbury,63119,ST. LOUIS,3146475656,3146470019,Municipal
Sikeston Department of Public Safety,James McMillen,Acting Chief,201 S. Kingshighway,,Sikeston,63801,SCOTT,5734716200,5734717872,Municipal
Silex Police Dept,Richard Daleen,Acting Chief,14 N 1st,310 Cherry St,Silex,63377,LINCOLN,5733845959,5733845149,Municipal
Slater Police Dept,Troy Goff,Chief,117  N Walnut,,Slater,65349,SALINE,6605292241,6605292256,Municipal
Smithton Police Dept,Damian Lemens,Mayor,101 W Washington,,Smithton,65350,PETTIS,6603435475,6603433740,Municipal
Smithville Police Dept,Jason Lockridge,Chief,107 W Main Street,,Smithville,64089,CLAY,8165320500,8168733364,Municipal
Southeast Missouri State University - DPS,Beth Glaus,Director,1401 North Sprigg,,Cape Girardeau,63701,CAPE GIRARDEAU,5736512215,5736512707,University
Southwest City Police Dept,Harvey Gow,Chief,302 South Main,,Southwest City,64863,MCDONALD,4177623768,4177623038,Municipal
Sparta Police Dept,Trampus Taylor,Chief,P.O. Box 246,,Sparta,65753,CHRISTIAN,4172425511,4176345785,Municipal
Springfield Police Dept,Paul Williams,Chief,321 E Chestnut Expressway,,Springfield,65802,GREENE,4178641782,4178642052,Municipal
Springfield-Branson National Airport Police Dept.,Kevin Houseman,Chief,2300 N Airport Blvd Ste 100,,Springfield,65802,GREENE,4178680500,4178680581,Airport
St Ann Police Dept,Aaron Jimenez,Chief,10405 St Charles Rock Rd,,St Ann,63074,ST. LOUIS,3144278000,3144286825,Municipal
St Charles City Parks & Recreation,Todd Kassabaum,Chief,1900 W Randolph St,,St Charles,63301,ST. CHARLES,6369493377,6369493337,Municipal
St Charles Community College DPS,Robert Ronkoski,Chief,4601 Mid Rivers Mall Dr,,Cottleville,63376,ST. CHARLES,6369228604,6369228558,University
St Charles County Dept of Corrections,Daniel S. Keen,Director,301 N Second Street,,St Charles,63301,ST. CHARLES,6369493003,6369493054,County
St Charles County Police Department,David Tiefenbrunn,Acting Chief,101 Sheriff Dierker Court,,O'Fallon,63366,ST. CHARLES,6369497900,6369493077,County
St Charles County Sheriff's Office,Scott Lewis,Sheriff,201 N. Second Street,Suite 429,St. Charles,63301,ST. CHARLES,6369493010,6369497372,County
St Charles Police Dept,Randall McKinley,Chief,1781 Zumbehl Rd,,St Charles,63303,ST. CHARLES,6369493300,6369493299,Municipal
St Charles Prosecuting Attorney's Office,Len Tracy,Chief Investigator,300 N. Second Street #601,,St. Charles,63301,ST. CHARLES,6369497355,6369497360,County
St Clair County Sheriff's Office,Scott Keeler,Sheriff,360 Chestnut,PO Box 546,Osceola,64776,ST. CLAIR,4176462565,4176462852,County
St Clair Police Dept,William Hammack,Chief,#1 Paul Parks Dr,,St Clair,63077,FRANKLIN,6366291313,6366295730,Municipal
St Francois County Sheriff's Office,Daniel Bullock,Sheriff,1550 Doubet Road,,Farmington,63640,ST. FRANCOIS,5737563252,5737564327,County
St James Police Dept,Ronald Jones,Chief,200 North Bourbeuse Street,,St James,65559,PHELPS,5732657012,5732658182,Municipal
St John Police Dept,Robert Connell,Chief,8944 St Charles Rock Rd,,St John,63114,ST. LOUIS,3144278700,3144276818,Municipal
St Joseph Police Dept,Christopher Connally,Chief,501 Faraon,,St Joseph,64501,BUCHANAN,8162714701,8162715376,Municipal
St Louis Airport Police Department,William Collins,Acting Chief,PO Box 10212,,St Louis,63145,ST. LOUIS,3144268100,3148901819,Airport
St Louis City Police Dept.,John Hayden,Chief,1915 Olive St.,,St Louis,63103,ST. LOUIS CITY,3144445615,3144445493,Municipal
St Louis City Sheriff's Office,Vernon Betts,Sheriff,1114 Market Street,,St Louis,63101,ST. LOUIS CITY,3146224131,3146224839,County
St Louis Community College Police Department,Alfred Adkins,Director,3221 McKelvey Road,,Bridgeton,63044,ST. LOUIS,3149847444,3149847670,University
St Louis County Police Dept,Mary Barton,Chief,7900 Forsyth Blvd,,Clayton,63105,ST. LOUIS,3146154273,3146154698,County
St Louis County Sheriffs Office,Scott Kiefer,Sheriff,7900 Carondelet Ave,,Clayton,63105,ST. LOUIS,3146154724,3146152548,County
St Mary Police Dept.,Timothy Maurice,Chief,PO Box 107,782 Third St,St. Mary,63673,STE. GENEVIEVE,5735432279,5735435203,Municipal
St Peters Police Dept.,Richard Struttmann,Chief,1020 Grand Teton Drive,,St. Peters,63376,ST. CHARLES,6362782222,6362785276,Municipal
St Robert Police Dept.,Curtis Curenton,Chief,194 Eastlawn Ave - Suite A,,St  Robert,65584,PULASKI,5733364700,5733364290,Municipal
Stanberry Police Dept.,Terry Raymond,Mr.,130 West 1st St,,Stanberry,64489,GENTRY,6607832725,6607839004,Municipal
Ste Genevieve County Sheriff's Office,Gary Stolzer,Sheriff,#5 Basler Drive,,Ste. Genevieve,63670,STE. GENEVIEVE,5738835820,5738835315,County
Ste Genevieve Police Dept.,Eric Bennett,Chief,165 S Fourth Street,,Ste Genevieve,63670,STE. GENEVIEVE,5738835707,5738837143,Municipal
Steele Police Dept.,Billy Stanfield,Chief,115 S Walnut St,,Steele,63877,PEMISCOT,5736952100,5736952166,Municipal
Steelville Police Dept.,Michael Sherman,Chief,PO Box M,895 Frisco Street,Steelville,65565,CRAWFORD,5737752200,5737754312,Municipal
Stewartsville Police Dept.,Andrew Porter,Chief,PO Box 270,,Stewartsville,64490,DEKALB,8166698253,8166693646,Municipal
Stoddard County Sheriff's Office,Carl Hefner,Sheriff,PO Box 319,,Bloomfield,63825,STODDARD,5735684654,5735683003,County
Stone County Sheriff's Office,Doug Rader,Sheriff,110 S Maple,,Galena,65656,STONE,4173576116,4173576079,County
Stover Police Dept.,Trampus Jackson,Chief,503 W 2nd Street,PO Box 370,Stover,65078,MORGAN,5733774300,5733772521,Municipal
Strafford Police Dept.,Dennis Shook,Chief,PO Box 66,125 S Jefferson,Strafford,65757,GREENE,4177364000,4177363821,Municipal
Strasburg Police Dept.,Jack Ewing,Mayor,410 West 58 Highway,P.O. Box 223,Strasburg,64090,CASS,8168653484,8168653256,Municipal
Sturgeon Police Dept.,Steve Crosswhite,Mayor,303 East Station Drive,PO Box 687,Sturgeon,65284,BOONE,5736873300,5736873474,Municipal
Sugar Creek Police Dept.,Christopher Soule,Chief,1001 Heroes Way,,Sugar Creek,64054,JACKSON,8162525560,8164613493,Municipal
Sullivan County Sheriff's Office,Roger Smiley,Sheriff,109 N Main - County Courthouse,,Milan,63556,SULLIVAN,6602653313,6602654711,County
Sullivan Police Dept.,George Counts,Chief,106 Progress Dr,,Sullivan,63080,CRAWFORD,5734688001,5734684249,Municipal
Summersville Police Dept.,Kevin Jotz,Chief,195 Rogers Ave   PO Box 242,,Summersville,65571,TEXAS,4179324299,4179324358,Municipal
Sunrise Beach Police Dept.,JEFFRY CAMPBELL,Chief,PO Box 565,,Sunrise Beach,65079,CAMDEN,5733747757,5733748118,Municipal
Sunset Hills Police Dept.,Stephen Dodge,Chief,3905 S Lindbergh Blvd,,Sunset Hills,63127,ST. LOUIS,3148494400,3148494403,Municipal
Supreme Court of Missouri,Justice Zel M. Fischer,Chief,PO Box 150,,Jefferson City,65102,COLE,5737512117,5737517514,State Agency
Sweet Springs Police Dept.,Tammy Johnson,Chief,324 S Miller Street,,Sweet Springs,65351,SALINE,6603356823,6603354409,Municipal
Taney County Sheriff's Office,Jimmie Russell,Sheriff,PO Box 1005,,Forsyth,65653,TANEY,4175467250,4175468933,County
Tarkio Police Dept.,Tyson Gibbons,Chief,602 Main Street,,Tarkio,64491,ATCHISON,6607364821,6607365605,Municipal
Terminal Railroad,Charles Cross,Chief,"1017 Olive Street, 5th Floor",,St. Louis,63101,ST. LOUIS CITY,3145394750,3146213673,Rail Road
Terre du Lac Police Dept.,DANIEL BLUM,Chief,111 Rue Terrebonne,,Bonne Terre,63628,ST. FRANCOIS,5733585701,5733582469,Municipal
Texas County Sheriff's Office,Scott Lindsey,Sheriff,519 N Grand Ave Ste 101,,Houston,65483,TEXAS,4179674165,4179670713,County
Thayer Police Dept.,Daryl Childers,Chief,102 Front Street,,Thayer,65791,OREGON,4172643819,4172643389,Municipal
Tipton Police Dept.,Edward Wiecken,Chief,PO Box 517,101 East Moniteau Street,Tipton,65081,MONITEAU,6604332323,6604332810,Municipal
Town and Country Police Dept.,James Cavins,Chief,1011 Municipal Center Drive,,Town and Country,63131,ST. LOUIS,3144324696,3144324991,Municipal
Tracy Police Dept.,Frankie Thurman,Chief,PO Box 318,,Tracy,64079,PLATTE,8168585555,8168585554,Municipal
Trenton Police Dept.,Rex Ross,Chief,610 Main Street,,Trenton,64683,GRUNDY,6603595557,6603595969,Municipal
Trimble Police Dept.,Larissa Busch,Mayor,PO Box 25,,Trimble,64492,CLINTON,8163572397,,Municipal
Troy Police Dept.,Jeffrey Taylor,Chief,800 Cap Au Gris Street,Cap-Au-Gris,Troy,63379,LINCOLN,6365284725,6365285390,Municipal
Truesdale Police Dept.,Casey Doyle,Chief,109 S Pickney St.,,Truesdale,63380,WARREN,6364563166,6364565357,Municipal
Truman State University,Sara Holzmeier,Chief,100 East Normal Avenue,GS108,Kirksville,63501,ADAIR,6607854177,6607857482,University
Union Pacific Railroad,Mark Rowley,Chief,491 N Main,,Desoto,63020,JEFFERSON,3122874369,,Rail Road
Union Police Dept.,Andrew Parker,Chief,119 South Church,,Union,63084,FRANKLIN,6365833700,6365836706,Municipal
Unionville Police Dept.,Joshua Mathes,Chief,1611 Grant Street,,Unionville,63565,PUTNAM,6609477397,6609472797,Municipal
University City Police Dept.,Larry Hampton,Chief,6801 Delmar Blvd,,University City,63130,ST. LOUIS,3145058652,3145058648,Municipal
University of Central Missouri DPS,Scott Rhoad,Chief,306 Broad Street,,Warrensburg,64093,JOHNSON,6605434123,6605434163,University
University of Missouri Police Department (MUPD),Robert Schwandt,Chief,901 Virginia Ave,,Columbia,65211,BOONE,5738827202,5738826636,University
University of MO - K.C. Police Dept.,Michael Bongartz,Chief,5005 Oak Street,,Kansas City,64112,JACKSON,8162351515,8162355501,University
University of MO - St. Louis Police Dept.,Daniel Freet,Chief,44 Campus Police Building,One University Blvd,St. Louis,63121,ST. LOUIS,3145165155,3145166536,University
Urbana Police Dept.,Debra Glass,Mayor,PO Box 227,,Urbana,65767,DALLAS,4179935191,4179931189,Municipal
Van Buren Police Dept.,Alonzo Bradwell,Chief,1301 North Main Street,,Van Buren,63965,CARTER,5733234060,5733238656,Municipal
Vandalia Police Dept.,Logan Benjamin,Acting Chief,201 E Park St,,Vandalia,63382,AUDRAIN,5735943796,5735946876,Municipal
Vanduser Police Dept.,Robert Verble,Mayor,P.O. Box 127,,Vanduser,63784,SCOTT,5734717662,5734717662,Municipal
Velda City Police Dept.,Daniel Paulino,Chief,2803 Maywood Avenue,,Velda City,63121,ST. LOUIS,3143827004,3143827596,Municipal
Vernon County Sheriff's Office,Jason Mosher,Sheriff,2040 East Hunter,,Nevada,64772,VERNON,4172834400,4174482580,County
Verona Police Dept,Jereimy Allen,Acting Chief,114 N 3rd Street,,Verona,65769,LAWRENCE,4174986270,4174986225,Municipal
Versailles Police Dept.,Chad Hartman,Chief,104 N Fisher St,,Versailles,65084,MORGAN,5733784634,5733784631,Municipal
Viburnum Police Dept.,Charles Hedrick,Chief,#1 Missouri Avenue,PO Box 598,Viburnum,65566,IRON,5732445528,5732443102,Municipal
Vienna Police Dept.,Shannon Thompson,Chief,424 8th Street,PO Box 196,Vienna,65582,MARIES,5734223811,5734226110,Municipal
Village of Miramiguoa,Zane Ward,Mr.,PO Box 623,,Sullivan,63080,FRANKLIN,5734688145,5734688144,Municipal
Vinita Park Police Dept.,John Buchannan,Acting Chief,8027 Page Avenue,,Vinita Park,63130,ST. LOUIS,3144287374,3148900316,Municipal
Walker Police Dept.,Kevin Lester,Chief,103 N 5th Street  PO Box 58,,Walker,64772,VERNON,4174652230,4174652431,Municipal
Walnut Grove Police Dept.,Joseph Mahan,Chief,P.O. Box 66,,Walnut Grove,65770,GREENE,4177882596,4177882673,Municipal
Wardell Police Dept.,Christopher Rudd,Chief,PO Box 1,108 West Broad Street,Wardell,63879,PEMISCOT,5736283500,5736289407,Municipal
Warren County Sheriff's Office,Kevin Harrison,Sheriff,104 W Main - Suite A,,Warrenton,63383,WARREN,6364564332,6364561811,County
Warrensburg Police Dept.,Richard Lockhart,Chief,102 B South Holden Street,,Warrensburg,64093,JOHNSON,6607479133,6607471867,Municipal
Warrenton Police Dept.,Larry Ellard,Chief,200 W. Booneslick Rd,,Warrenton,63383,WARREN,6364563535,6364564307,Municipal
