Registration Number,Name,Street Address,City,State,Zip,Registration Date,Registration Expiration Date,Registration Status,Location
10-SA-000357,"Electronics Service Center, Inc.",23208 Ridge Road,Germantown,Maryland,20876,06/14/2017,06/14/2018,Expired,"23208 Ridge Road
Germantown, Maryland 20876
(39.236891, -77.236267)"
00-SA-000240,"Apel's Air Central, Inc.",2821 Rolling Fork Way,Glenwood,IL,21738,07/06/2017,07/06/2018,Expired,"2821 Rolling Fork Way
Glenwood, IL 21738
(39.303728, -77.016567)"
00-SA-000027,"Adrian L. Merton, Inc.",9011 East Hampton Drive,Capitol Heights,MD,20743,12/16/2019,12/16/2020,Renewed,"9011 East Hampton Drive
Capitol Heights, MD 20743
(38.883477, -76.850027)"
00-SA-000188,"Brother Sewing Machine of Washington, Inc.",1067 Rockville Pike,Rockville,MD,20852,12/10/2018,12/10/2019,Expired,"1067 Rockville Pike
Rockville, MD 20852
(39.070871, -77.132082)"
00-SA-000027,"Adrian L. Merton, Inc.",9011 East Hampton Drive,Capitol Heights,MD,20743,12/17/2018,12/17/2019,Expired,"9011 East Hampton Drive
Capitol Heights, MD 20743
(38.883477, -76.850027)"
00-SA-000027,"Adrian L. Merton, Inc.",9151 HAMPTON OVERLOOK,CAPITOL HEIGHTS,MD,20743,10/08/2016,10/08/2017,Expired,"9151 HAMPTON OVERLOOK
CAPITOL HEIGHTS, MD 20743
(38.886456, -76.848015)"
10-SA-000357,"Electronics Service Center, Inc.",23208 Ridge Road,Germantown,Maryland,20876,05/17/2019,05/17/2020,Renewed,"23208 Ridge Road
Germantown, Maryland 20876
(39.236891, -77.236267)"
00-SA-000027,"Adrian L. Merton, Inc.",9011 E HAMPTON DRIVE,CAPITOL HEIGHTS,MD,20743,12/17/2018,12/17/2019,Expired,"9011 E HAMPTON DRIVE
CAPITOL HEIGHTS, MD 20743
(38.883477, -76.850027)"
00-SA-000046,Anytime Appliance Service,3141 UNIVERSITY BLVD,KENSINGTON,MARYLAND,20895,12/18/2019,12/18/2020,Renewed,"3141 UNIVERSITY BLVD
KENSINGTON, MARYLAND 20895
(39.035819, -77.06469)"
00-SA-000046,Anytime Appliance Service,3141 UNIVERSITY BLVD.,KENSINGTON,MD,20895,,12/03/2018,Expired,"3141 UNIVERSITY BLVD.
KENSINGTON, MD 20895
(39.035819, -77.06469)"
00-SA-000023,"Charles A. Klein & Sons, Inc.",5220 Klees Mill Road,Sykesville,MD,21784,12/21/2018,12/21/2019,Expired,"5220 Klees Mill Road
Sykesville, MD 21784
(39.43181, -76.99225)"
00-SA-000046,Anytime Appliance Service,3141 UNIVERSITY BLVD.,KENSINGTON,MD,20895,08/14/2016,08/14/2017,Expired,"3141 UNIVERSITY BLVD.
KENSINGTON, MD 20895
(39.035819, -77.06469)"
00-SA-000046,Anytime Appliance Service,3141 UNIVERSITY BLVD.,KENSINGTON,MD,20895,12/18/2019,12/18/2020,Renewed,"3141 UNIVERSITY BLVD.
KENSINGTON, MD 20895
(39.035819, -77.06469)"
10-SA-000357,"Electronics Service Center, Inc.",23208 Ridge Road,Germantown,MD,20876,05/17/2019,05/17/2020,Renewed,"23208 Ridge Road
Germantown, MD 20876
(39.236891, -77.236267)"
10-SA-000357,"Electronics Service Center, Inc.",23208 Ridge Road,Germantown,Maryland,20876,05/04/2020,05/04/2021,Renewed,"23208 Ridge Road
Germantown, Maryland 20876
(39.236891, -77.236267)"
10-SA-000357,"Electronics Service Center, Inc.",23208 Ridge Road,Germantown,MD,20876,06/27/2018,06/27/2019,Expired,"23208 Ridge Road
Germantown, MD 20876
(39.236891, -77.236267)"
10-SA-000357,"Electronics Service Center, Inc.",12216 Parklawn Dr,Rockville,Maryland,20852,05/04/2020,05/04/2021,Renewed,"12216 Parklawn Dr
Rockville, Maryland 20852
(39.057646, -77.110228)"
10-SA-000357,"Electronics Service Center, Inc.",23208 Ridge Road,Germantown,MD,20876,05/04/2020,05/04/2021,Renewed,"23208 Ridge Road
Germantown, MD 20876
(39.236891, -77.236267)"
10-SA-000357,"Electronics Service Center, Inc.","12216 Parklawn Drive, Suite 112",Rockville,MD,20852,05/04/2020,05/04/2021,Renewed,"12216 Parklawn Drive, Suite 112
Rockville, MD 20852
(39.057646, -77.110228)"
10-SA-000357,"Electronics Service Center, Inc.",23208 Ridge Road,Germantown,MD,20876,06/14/2017,06/14/2018,Expired,"23208 Ridge Road
Germantown, MD 20876
(39.236891, -77.236267)"
00-SA-000240,"Apel's Air Central, Inc.",2821 Rolling Fork Way,Glenwood,IL,21738,01/02/2020,01/02/2021,Renewed,"2821 Rolling Fork Way
Glenwood, IL 21738
(39.303728, -77.016567)"
00-SA-000240,"Apel's Air Central, Inc.",2821 Rolling Fork Way,Glenwood,MD,21738,01/02/2020,01/02/2021,Renewed,"2821 Rolling Fork Way
Glenwood, MD 21738
(39.303728, -77.016567)"
12-SA-000144,"Asurion Delivery and Installation Services, Inc.",22894 Pacific Blvd,Sterling,VA,20166,02/06/2018,02/06/2019,Expired,"22894 Pacific Blvd
Sterling, VA 20166
(38.981609, -77.435017)"
00-SA-000394,Universal Electronics,10600 MacArthur Blvd,Potomac,Md,20854,02/27/2019,02/27/2020,Expired,"10600 MacArthur Blvd
Potomac, Md 20854
(38.980398, -77.221345)"
05-SA-000308,Star Appliance Repair,615 S FREDERICK AVE,GAITHERSBURG,MD,20877,,05/05/2021,Renewed,"615 S FREDERICK AVE
GAITHERSBURG, MD 20877
(39.128879, -77.185912)"
05-SA-000308,Star Appliance Repair,615 S FREDERICK AVE,GAITHERSBURG,MARYLAND,20877,06/02/2017,06/02/2018,Expired,"615 S FREDERICK AVE
GAITHERSBURG, MARYLAND 20877
(39.128879, -77.185912)"
12-SA-000144,"Asurion Delivery and Installation Services, Inc.",22894 Pacific Blvd,Sterling,VA,20166,02/06/2017,02/06/2018,Expired,"22894 Pacific Blvd
Sterling, VA 20166
(38.981609, -77.435017)"
05-SA-000308,Star Appliance Repair,615 S FREDERICK AVE,GAITHERSBURG,MARYLAND,20877,07/13/2018,07/13/2019,Expired,"615 S FREDERICK AVE
GAITHERSBURG, MARYLAND 20877
(39.128879, -77.185912)"
18-SA-002112,All Variety Service Company INC,8511 Ashgrove Plantation Cir,Vienna,Virginia,22182,01/03/2019,01/03/2020,Expired,"8511 Ashgrove Plantation Cir
Vienna, Virginia 22182
(38.914395, -77.240099)"
05-SA-000308,Star Appliance Repair,462 West Deer Park Road,Gaithersburg,MD,20877,,05/05/2021,Renewed,"462 West Deer Park Road
Gaithersburg, MD 20877
(39.128914, -77.200766)"
05-SA-000308,Star Appliance Repair,615 S FREDERICK AVE,GAITHERSBURG,MARYLAND,20877,,05/05/2021,Renewed,"615 S FREDERICK AVE
GAITHERSBURG, MARYLAND 20877
(39.128879, -77.185912)"
05-SA-000308,Star Appliance Repair,615 S FREDERICK AVE,GAITHERSBURG,MARYLAND,20877,06/19/2019,06/19/2020,Renewed,"615 S FREDERICK AVE
GAITHERSBURG, MARYLAND 20877
(39.128879, -77.185912)"
12-SA-000144,"Asurion Delivery and Installation Services, Inc.",22894 Pacific Blvd.,Sterling,VA,20166,01/15/2020,01/15/2021,Renewed,"22894 Pacific Blvd.
Sterling, VA 20166
(38.981609, -77.435017)"
00-SA-000240,"Apel's Air Central, Inc.",2821 Rolling Fork Way,Glenwood,IL,21738,01/18/2019,01/18/2020,Expired,"2821 Rolling Fork Way
Glenwood, IL 21738
(39.303728, -77.016567)"
08-SA-000340,Ace Tech Appliance Service,12000 Chesterton Drive,Upper Marlboro,Maryland,20774,01/23/2019,01/23/2020,Expired,"12000 Chesterton Drive
Upper Marlboro, Maryland 20774
(38.894889, -76.797989)"
08-SA-000343,"Armelcom, LLC",4611 COACHWAY DR,ROCKVILLE - TWINBROOK,MD,20852,03/12/2019,03/12/2020,Closed,"4611 COACHWAY DR
ROCKVILLE - TWINBROOK, MD 20852
(39.051857, -77.093519)"
05-SA-000310,"JBI Service, LLC","7836 Airpark Road, Units A & B",Gaithersburg,MD,20879,01/24/2019,01/24/2020,Expired,"7836 Airpark Road, Units A & B
Gaithersburg, MD 20879
(39.170034, -77.160396)"
00-SA-000240,"Apel's Air Central, Inc.",2821 Rolling Fork Way,Glenwood,MD,21738,01/18/2019,01/18/2020,Expired,"2821 Rolling Fork Way
Glenwood, MD 21738
(39.303728, -77.016567)"
20-SA-002187,Power tech appliance service,14750 4th st,Laurel,Md,20707,,01/07/2021,Closed,"14750 4th st
Laurel, Md 20707
(39.093076, -76.861091)"
20-SA-002189,ENERGEC APPLIANCE PROS,14750 4th street,Laurel,MD,20707,01/22/2020,01/22/2021,New,"14750 4th street
Laurel, MD 20707
(39.093076, -76.861091)"
05-SA-000308,Star Appliance Repair,20048 Lake Park Dr,Germantown,Maryland,20874,,05/05/2021,Renewed,"20048 Lake Park Dr
Germantown, Maryland 20874
(39.184021, -77.287787)"
13-SA-000155,"Total Audio Visual Systems, Inc.",9301 Georgia Avenue,Silver Spring,Montgomery County,20910,10/10/2018,10/10/2019,Expired,"9301 Georgia Avenue
Silver Spring, Montgomery County 20910
(39.007353, -77.039647)"
08-SA-000343,"Armelcom, LLC",4611 Coachway Drive,Rockville,MD,20852,03/12/2019,03/12/2020,Closed,"4611 Coachway Drive
Rockville, MD 20852
(39.051857, -77.093519)"
13-SA-000155,"Total Audio Visual Systems, Inc.",9301 Georgia Avenue,Silver Spring,Montgomery County,20910,01/14/2017,01/14/2018,Expired,"9301 Georgia Avenue
Silver Spring, Montgomery County 20910
(39.007353, -77.039647)"
12-SA-000144,"Asurion Delivery and Installation Services, Inc.",22894 Pacific Blvd,Sterling,VA,20166,01/15/2020,01/15/2021,Renewed,"22894 Pacific Blvd
Sterling, VA 20166
(38.981609, -77.435017)"
08-SA-000340,Ace Tech Appliance Service,12000 Chesterton Drive,Upper Marlboro,MD,20774,01/23/2019,01/23/2020,Expired,"12000 Chesterton Drive
Upper Marlboro, MD 20774
(38.894889, -76.797989)"
00-SA-000011,Quick Service HVAC,9201 genoa ave,Fort washington,Maryland,20744,01/25/2019,01/25/2020,Expired,"9201 genoa ave
Fort washington, Maryland 20744
(38.763822, -76.979933)"
13-SA-000155,"Total Audio Visual Systems, Inc.",9301 Georgia Avenue,Silver Spring,MD,20910,01/17/2020,01/17/2021,Renewed,"9301 Georgia Avenue
Silver Spring, MD 20910
(39.007353, -77.039647)"
20-SA-002188,"A1 Repairs, LLC",16600 SUTTON PL,WOODBRIDGE,VA,22191,01/24/2020,01/24/2021,New,"16600 SUTTON PL
WOODBRIDGE, VA 22191
(38.591242, -77.297866)"
00-SA-000011,Quick Service HVAC,9201 Genoa Avenue,Ft. Washington,MD,20744,01/25/2019,01/25/2020,Expired,"9201 Genoa Avenue
Ft. Washington, MD 20744
(38.763822, -76.979933)"
05-SA-000316,Silver Spring Appliance Service,1028 Tanley,silver spring,md,20904,12/27/2017,12/27/2018,Expired,"1028 Tanley
silver spring, md 20904
(39.052615, -76.989393)"
05-SA-000310,"JBI Service, LLC",7836 Airpark Road,Gaithersburg,Maryland,20879,01/24/2019,01/24/2020,Expired,"7836 Airpark Road
Gaithersburg, Maryland 20879
(39.170034, -77.160396)"
05-SA-000316,Silver Spring Appliance Service,1028 Tanley Road,Silver Spring,MD,20904,01/17/2020,01/17/2021,Renewed,"1028 Tanley Road
Silver Spring, MD 20904
(39.052615, -76.989393)"
05-SA-000316,Silver Spring Appliance Service,1028 Tanley,silver spring,md,20904,01/17/2020,01/17/2021,Renewed,"1028 Tanley
silver spring, md 20904
(39.052615, -76.989393)"
13-SA-000155,"Total Audio Visual Systems, Inc.",9301 Georgia Avenue,Silver Spring,Montgomery County,20910,01/17/2020,01/17/2021,Renewed,"9301 Georgia Avenue
Silver Spring, Montgomery County 20910
(39.007353, -77.039647)"
19-SA-002145,A&B Appliance Co.,,,,,,05/06/2021,Renewed,
18-SA-001036,Quick Service,10107 Maryland St.,Lanham,Maryland,20706,,,Renewed,"10107 Maryland St.
Lanham, Maryland 20706
(38.966876, -76.817952)"
19-SA-002145,A&B Appliance Co.,10107 Maryland St.,Lanham,Md.,20706,,05/06/2021,Renewed,"10107 Maryland St.
Lanham, Md. 20706
(38.966876, -76.817952)"
19-SA-002145,A&B Appliance Co.,10107 Maryland St,Lanham,Md,20706,,,Renewed,"10107 Maryland St
Lanham, Md 20706
(38.966876, -76.817952)"
18-SA-001036,Quick Service,10107 Maryland St.,Lanham,Maryland,20706,,05/06/2021,Renewed,"10107 Maryland St.
Lanham, Maryland 20706
(38.966876, -76.817952)"
19-SA-002145,A&B Appliance Co.,,,,,,,Renewed,
18-SA-001036,Quick Service,10107 Maryland St,Lanham,Md,20706,,,Renewed,"10107 Maryland St
Lanham, Md 20706
(38.966876, -76.817952)"
19-SA-002145,A&B Appliance Co.,10107 Maryland St,Lanham,Md,20706,06/11/2019,06/11/2020,New,"10107 Maryland St
Lanham, Md 20706
(38.966876, -76.817952)"
19-SA-002145,A&B Appliance Co.,10107 Maryland St.,Lanham,Md.,20706,,,Renewed,"10107 Maryland St.
Lanham, Md. 20706
(38.966876, -76.817952)"
19-SA-002145,A&B Appliance Co.,10107 Maryland St,Lanham,Md,20706,,05/06/2021,Renewed,"10107 Maryland St
Lanham, Md 20706
(38.966876, -76.817952)"
18-SA-001036,Quick Service,,,,,,05/06/2021,Renewed,
00-SA-000394,"Universal Electronics, Inc.",10600 MacArthur Blvd,potomac,Md,20854,02/22/2017,02/22/2018,Expired,"10600 MacArthur Blvd
potomac, Md 20854
(38.980398, -77.221345)"
18-SA-001036,Quick Service,10107 Maryland St,Lanham,Md,20706,,05/06/2021,Renewed,"10107 Maryland St
Lanham, Md 20706
(38.966876, -76.817952)"
18-SA-001036,Quick Service,,,,,,,Renewed,
18-SA-001054,AR WIRELESS & MULTI SERVICE LLC,9859 main street,DAMUSCUS,MD,20872,,,Closed,"9859 main street
DAMUSCUS, MD 20872
(39.288234, -77.20348)"
00-SA-000381,"Bishop Equipment Co., Inc.",2825 Dorr Ave,Fairfax,VA,22031,03/12/2019,03/12/2020,Expired,"2825 Dorr Ave
Fairfax, VA 22031
(38.875715, -77.233988)"
00-SA-000215,Climate Conditioning Corporation,6714-A Electronic Dr,Springfield,Va,22151,03/20/2019,03/20/2020,Expired,"6714-A Electronic Dr
Springfield, Va 22151
(38.795026, -77.177479)"
00-SA-000215,Climate Conditioning Corporation,6714-A Electronic Drive,Springfield,Virginia,22151,11/20/2016,11/20/2017,Expired,"6714-A Electronic Drive
Springfield, Virginia 22151
(38.795026, -77.177479)"
00-SA-000215,Climate Conditioning Corporation,6714-A Electronic Drive,Springfield,VA,22151,03/18/2020,03/18/2021,Renewed,"6714-A Electronic Drive
Springfield, VA 22151
(38.795026, -77.177479)"
00-SA-000215,Climate Conditioning Corporation,6714-A Electronic Dr,Springfield,Va,22151,03/18/2020,03/18/2021,Renewed,"6714-A Electronic Dr
Springfield, Va 22151
(38.795026, -77.177479)"
04-SA-000289,BBC Property Co. and BBC Investment Co.,20914 Frederick Road,Germantown,MD,20876,03/18/2019,03/18/2020,Expired,"20914 Frederick Road
Germantown, MD 20876
(39.200379, -77.245384)"
00-SA-000215,Climate Conditioning Corporation,6714-A Electronic Drive,Springfield,VA,22151,03/20/2019,03/20/2020,Expired,"6714-A Electronic Drive
Springfield, VA 22151
(38.795026, -77.177479)"
20-SA-002209,"Best Buy Stores, LP",10901 Georgia Ave,Wheaton,MD,20902,03/17/2020,03/17/2021,New,"10901 Georgia Ave
Wheaton, MD 20902
(39.033894, -77.048925)"
20-SA-002208,"Home Air Conditioning, Co., Inc.",12288 Wilkins Ave,Rockville,MD,20852,03/16/2020,03/16/2021,New,"12288 Wilkins Ave
Rockville, MD 20852
(39.057155, -77.112972)"
00-SA-000215,Climate Conditioning Corporation,6714-A Electronic Drive,Springfield,Virginia,22151,03/20/2019,03/20/2020,Expired,"6714-A Electronic Drive
Springfield, Virginia 22151
(38.795026, -77.177479)"
18-SA-001054,AR WIRELESS & MULTI SERVICE LLC,19027 FREDERICK ROAD,GAITHERSBURG,MD,20879,,,Closed,"19027 FREDERICK ROAD
GAITHERSBURG, MD 20879
(39.168788, -77.233698)"
00-SA-000215,Climate Heating & Cooling,6714-A Electronic Drive,Springfield,Virginia,22151,11/24/2017,11/24/2018,Expired,"6714-A Electronic Drive
Springfield, Virginia 22151
(38.795026, -77.177479)"
00-SA-000085,"Bilmin Company, Inc.",7411 Lindbergh Drive,Gaithersburg,MD,20879,02/27/2017,02/27/2018,Expired,"7411 Lindbergh Drive
Gaithersburg, MD 20879
(39.163805, -77.155536)"
20-SA-002212,AR WIRELESS & MULTI SERVICE LLC,19027 Frederick Road,Gaithersburg,MD,20879,03/20/2020,03/20/2021,New,"19027 Frederick Road
Gaithersburg, MD 20879
(39.168788, -77.233698)"
10-SA-000354,"Best Buy Stores, #1129",10901 Georgia Ave,Wheaton,MD,20902,03/18/2019,03/18/2020,Expired,"10901 Georgia Ave
Wheaton, MD 20902
(39.033894, -77.048925)"
00-SA-000085,"Bilmin Company, Inc.",7411 Lindbergh Drive,Gaithersburg,MD,20879,03/17/2020,03/17/2021,Renewed,"7411 Lindbergh Drive
Gaithersburg, MD 20879
(39.163805, -77.155536)"
00-SA-000085,"Bilmin Company, Inc.","7411 Lindbergh Drive, Suite A",Gaithersburg,MD,20879,03/17/2020,03/17/2021,Renewed,"7411 Lindbergh Drive, Suite A
Gaithersburg, MD 20879
(39.163805, -77.155536)"
00-SA-000381,"Bishop Equipment Co., Inc.",2825 Dorr Avenue,Fairfax,VA,22031,03/12/2019,03/12/2020,Expired,"2825 Dorr Avenue
Fairfax, VA 22031
(38.875715, -77.233988)"
04-SA-000289,BBC Property Co. and BBC Investment Co.,20914 Frederick Rd,Germantown,MD,20876,03/18/2019,03/18/2020,Expired,"20914 Frederick Rd
Germantown, MD 20876
(39.200379, -77.245384)"
00-SA-000215,Climate Conditioning Corporation,6714-A Electronic Drive,Springfield,Virginia,22151,03/18/2020,03/18/2021,Renewed,"6714-A Electronic Drive
Springfield, Virginia 22151
(38.795026, -77.177479)"
20-SA-002214,Limited Liability Corporation,5608 Whitby Road,Baltimore,Maryland,21206,03/26/2020,03/26/2021,New,"5608 Whitby Road
Baltimore, Maryland 21206
(39.336366, -76.529477)"
10-SA-000354,"Best Buy Stores, #1129",10901 Georgia Avenue,Wheaton,MD,20902,03/18/2019,03/18/2020,Expired,"10901 Georgia Avenue
Wheaton, MD 20902
(39.033894, -77.048925)"
20-SA-002213,Cool Factory Inc,45681 Oakbrook Court,Sterling,VA,20166,03/26/2020,03/26/2021,New,"45681 Oakbrook Court
Sterling, VA 20166
(39.010453, -77.418924)"
20-SA-002215,Michael Shields,1411 Four Point Ct,Eldersburg,MD,21784,03/27/2020,03/27/2021,New,"1411 Four Point Ct
Eldersburg, MD 21784
(39.400174, -76.94656)"
20-SA-002210,"Best Buy Stores, LP",20914 Frederick Rd,Germantown,MD,20876,03/17/2020,03/17/2021,New,"20914 Frederick Rd
Germantown, MD 20876
(39.200379, -77.245384)"
00-SA-000107,Jon's Electronics,P.O. Box 361,Poolesville,MD,20837,11/08/2009,11/08/2010,Expired,"P.O. Box 361
Poolesville, MD 20837"
04-SA-000293,"Rayco Sound Industries, Inc.",24337 Hilton Place,Gaithersburg,Maryland,20882,05/24/2017,05/24/2018,Expired,"24337 Hilton Place
Gaithersburg, Maryland 20882
(39.258555, -77.163422)"
18-SA-001055,Jon's Electronics,,,,,03/22/2018,03/22/2019,Expired,
12-SA-000154,Appliance Treatment,21139 Potomac Trail Circle,Ashburn,VA,20148,05/29/2019,05/29/2020,Renewed,"21139 Potomac Trail Circle
Ashburn, VA 20148
(39.032224, -77.532019)"
00-SA-000020,Appliance Master,21920 NEW HAMPSHIRE AVE,BROOKEVILLE,MD,20833,12/04/2017,12/04/2018,Expired,"21920 NEW HAMPSHIRE AVE
BROOKEVILLE, MD 20833
(39.216149, -77.052287)"
00-SA-000136,"National Electronic Service Co., Inc.","6904 4th Street, N.W.",Washington,DC,20012,08/06/2003,08/06/2004,Expired,"6904 4th Street, N.W.
Washington, DC 20012
(38.973959, -77.018024)"
04-SA-000288,A Tech Appliance Services,P.O. Box 565,Washington Grov,MD,20880,03/11/2004,03/11/2005,Expired,"P.O. Box 565
Washington Grov, MD 20880"
00-SA-000480,ADG Appliance Repair,"432 Girard Street, #304",Gaithersburg,MD,20877,03/12/2001,03/12/2002,Expired,"432 Girard Street, #304
Gaithersburg, MD 20877
(39.148596, -77.186447)"
00-SA-000070,"Richard F. Buls, Inc.",5465 Randolph Road,Rockville,MD,20852,02/23/2002,02/23/2003,Expired,"5465 Randolph Road
Rockville, MD 20852
(39.053411, -77.108896)"
00-SA-000235,"Russell Television Service, LLC",8025 Georgia Avenue,Silver Spring,MD,20910,02/01/2004,01/26/2005,Expired,"8025 Georgia Avenue
Silver Spring, MD 20910
(38.988321, -77.026574)"
00-SA-000377,Capital Climate Services,8913 Hilton Hill Drive,Lanham,MD,20706,08/09/1999,07/11/2000,Expired,"8913 Hilton Hill Drive
Lanham, MD 20706
(38.971461, -76.864695)"
00-SA-000008,The Electronic Clinic,17741 Stoneridge Drive,North Potomac,MD,20878,03/02/2018,03/02/2019,Expired,"17741 Stoneridge Drive
North Potomac, MD 20878
(39.148452, -77.241155)"
00-SA-000445,"Circuit City Stores, Inc.",602-A Quince Orchard Road,Gaithersburg,MD,20878,07/11/2008,06/04/2009,Expired,"602-A Quince Orchard Road
Gaithersburg, MD 20878
(39.141909, -77.221203)"
00-SA-000215,Climate Heating & Cooling,6714-A Electronic Drive,Springfield,VA,22151,11/24/2017,11/24/2018,Expired,"6714-A Electronic Drive
Springfield, VA 22151
(38.795026, -77.177479)"
00-SA-000484,AVTECS,619 Hungerford Drive,Rockville,MD,20850,03/22/2002,01/13/2003,Expired,"619 Hungerford Drive
Rockville, MD 20850
(39.092161, -77.153244)"
10-SA-000357,"Electronics Service Center, Inc.","12216 Parklawn Drive, Suite 112",Rockville,MD,20852,06/14/2017,06/14/2018,Expired,"12216 Parklawn Drive, Suite 112
Rockville, MD 20852
(39.057646, -77.110228)"
09-SA-000347,"SAAS, Inc.","11801 Rockville Pike, #202",Rockville,MD,20852,02/11/2009,02/11/2010,Expired,"11801 Rockville Pike, #202
Rockville, MD 20852
(39.050457, -77.114783)"
11-SA-000365,TV Service Montgomery County,6 Skyridge Court,Potomac,MD,20854,03/30/2015,03/30/2016,Expired,"6 Skyridge Court
Potomac, MD 20854
(39.068353, -77.180586)"
04-SA-000289,BBC Property Co. and BBC Investment Co.,20914 Frederick Road,Germantown,MD,20876,03/28/2018,03/28/2019,Expired,"20914 Frederick Road
Germantown, MD 20876
(39.200379, -77.245384)"
15-SA-000169,"MC Appliance Repair, Inc.",6132 Perry Street,Hyattsville,MD,20785,04/09/2018,04/09/2019,Expired,"6132 Perry Street
Hyattsville, MD 20785
(38.935818, -76.911557)"
00-SA-000020,"Bettar, Inc.",21920 New Hampshire Ave.,Brookeville,MD,20833,11/07/2016,11/07/2017,Expired,"21920 New Hampshire Ave.
Brookeville, MD 20833
(39.216149, -77.052287)"
00-SA-000046,Anytime Appliance Service,3141-4 University Blvd. West,Kensington,MD,20895,08/14/2016,08/14/2017,Expired,"3141-4 University Blvd. West
Kensington, MD 20895
(39.035623, -77.065604)"
00-SA-000067,"Clear Video, Inc.",10135 Colesville Road,Silver Spring,MD,20901,10/31/1999,09/29/2000,Expired,"10135 Colesville Road
Silver Spring, MD 20901
(39.02077, -77.01225)"
00-SA-000035,"Home Air Conditioning, Co., Inc.","12288 Wilkins Avenue, Suite-E",Rockville,MD,20852,08/15/2017,08/15/2018,Expired,"12288 Wilkins Avenue, Suite-E
Rockville, MD 20852
(39.057155, -77.112972)"
11-SA-000369,Factor Appliance,503 Lincoln Street,Rockville,MD,20850,11/16/2016,11/16/2017,Expired,"503 Lincoln Street
Rockville, MD 20850
(39.092116, -77.142041)"
02-SA-000275,C & .B Electronics,6407 Ager Road,Hayttsville,MD,20782,08/26/2009,08/26/2010,Expired,"6407 Ager Road
Hayttsville, MD 20782
(38.96866, -76.976369)"
00-SA-000102,"Solid State Electronics, Inc.",12366 Parklawn Drive,Rockville,MD,20852,08/12/1989,08/12/1990,Expired,"12366 Parklawn Drive
Rockville, MD 20852
(39.060253, -77.11152)"
00-SA-000108,Edward W. Beckman,102 North Van Buren Street,Rockville,MD,20850,10/05/2016,10/05/2017,Expired,"102 North Van Buren Street
Rockville, MD 20850
(39.085596, -77.156526)"
00-SA-000011,Quick Service HVAC,9201 genoa ave,Fort washington,Maryland,20744,08/27/2016,08/27/2017,Expired,"9201 genoa ave
Fort washington, Maryland 20744
(38.763822, -76.979933)"
09-SA-000350,J & D Electrical Company,1214 Thornden Road,Rockville,MD,20851,10/19/2009,10/19/2010,Expired,"1214 Thornden Road
Rockville, MD 20851
(39.07089, -77.126174)"
00-SA-000036,"The Alert Centre, Inc.",5800 South Quebec St.(Quebec II),Englewood,CO,80111,10/23/1996,10/23/1997,Expired,"5800 South Quebec St.(Quebec II)
Englewood, CO 80111
(39.61088, -104.903971)"
04-SA-000287,"Healthy Home Solutions of N.VA, Inc.",1067 Rockville Pike,Rockville,MD,20852,03/08/2009,03/08/2010,Expired,"1067 Rockville Pike
Rockville, MD 20852
(39.070871, -77.132082)"
11-SA-000367,"All Standard Appliance, Inc.",5935 High Meadow Road,Alexandria,VA,22310,05/06/2011,05/05/2012,Expired,"5935 High Meadow Road
Alexandria, VA 22310
(38.789391, -77.142867)"
00-SA-000437,USA Appliance Repair,11513 Patapsco Drive,Rockville,MD,20852,06/06/2000,06/06/2001,Expired,"11513 Patapsco Drive
Rockville, MD 20852
(39.044152, -77.093433)"
00-SA-000111,"Marty's Electronics, Inc.",2121 University Blvd. W.,Silver Spring,MD,20902,05/17/1996,05/17/1997,Expired,"2121 University Blvd. W.
Silver Spring, MD 20902
(39.041288, -77.047806)"
00-SA-000072,Freelance Appliance Service,9814 Jacqueline Drive,Ft. Washington,MD,20744,02/02/2001,02/02/2002,Expired,"9814 Jacqueline Drive
Ft. Washington, MD 20744
(38.753626, -76.961118)"
00-SA-000046,Anytime Appliance Service,3141 UNIVERSITY BLVD.,KENSINGTON,MARYLAND,20895,,12/03/2018,Expired,"3141 UNIVERSITY BLVD.
KENSINGTON, MARYLAND 20895
(39.035819, -77.06469)"
00-SA-000251,A-Tech Company,Box 43,Cabin John,MD,20818,04/30/1996,04/30/1997,Expired,"Box 43
Cabin John, MD 20818"
08-SA-000338,CT Electronics,2921 Weisman Road,Silver Spring,MD,20902,02/08/2008,02/08/2009,Expired,"2921 Weisman Road
Silver Spring, MD 20902
(39.05601, -77.060333)"
00-SA-000451,"Aspen Vacuums, TV & Video Services",13623-C Georgia Avenue,Silver Spring,MD,20906,08/05/2007,08/05/2008,Expired,"13623-C Georgia Avenue
Silver Spring, MD 20906
(39.079042, -77.07271)"
17-SA-000180,"Griffin Audio, LLC",7609 Newcastle Drive,Anandale,VA,22003,01/19/2017,01/19/2018,Expired,"7609 Newcastle Drive
Anandale, VA 22003
(38.819122, -77.208185)"
18-SA-001059,"Best Buy Stores, LP #819",2091 Frederick Rd,Germantown,MD,20876,03/29/2018,03/29/2019,Expired,"2091 Frederick Rd
Germantown, MD 20876"
12-SA-000370,STCTEK,210 Hannes Street,Silver Spring,MD,20901,01/25/2016,01/25/2017,Expired,"210 Hannes Street
Silver Spring, MD 20901
(39.035676, -77.013423)"
05-SA-000318,Foozle Maintenance,20305 New Hampshire Avenue,Brinklow,MD,20862,11/03/2006,10/16/2007,Expired,"20305 New Hampshire Avenue
Brinklow, MD 20862
(39.18867, -77.02443)"
