Meeting Body Name,Committee,Begin Date Time,Is All Day,Has End,End Date Time,Building Name,Room,Address,Address2,City,State,Zip,Webcast URL,Webcast Plugin,Is Video Conf,Is Conf Call,Conf Call Number,Conf Call ID,Conf Call Password,Contact First Name,Contact Last Name,Phone,Email,Notes,Materials URL,Archived URL,Publication Date,Amendments,Amendment Date,LatLng
Missouri Arts Council,Theatre 1,05/12/2020 10:00:00 AM,0,0,,,,,,,,,,,0,1,,,,Virginia,Sanders,(314) 340-6851,virginia.sanders@ltgov.mo.gov,,,,2020-04-30 11:35:19.0,,,"(44.5165436, -67.5845034)"
Missouri Arts Council,Theatre 2,05/12/2020 02:00:00 PM,0,0,,,,,,,,,,,0,1,,,,Virginia,Sanders,(314) 340-6851,virginia.sanders@ltgov.mo.gov,,,,2020-04-30 11:35:51.0,,,"(44.5165436, -67.5845034)"
Division of Weights and Measures,Annual Milk License Fee Hearing / Unfair Milk Sales Practices Act,05/04/2020 10:00:00 AM,0,0,,,,,,,,,,,0,1,,,,Jean,Kliethermes,(573) 751-5639,,"Due to the current concerns with COVID-19, this hearing will take place via Webex. If you wish to participate, please contact Danielle Reddick at Danielle.Reddick@mda.mo.gov or Michelle Schuman at Michelle.Schuman@mda.mo.gov",,,2020-04-30 11:44:17.0,,,"(44.5165436, -67.5845034)"
Missouri Arts Council,Dance,05/05/2020 02:00:00 PM,0,0,,,,,,,,,,,0,1,,,,Virginia,Sanders,(314) 340-6851,virginia.sanders@ltgov.mo.gov,,,,2020-04-30 11:32:41.0,,,"(44.5165436, -67.5845034)"
Missouri Arts Council,Arts Education Out of School,05/06/2020 02:00:00 PM,0,0,,,,,,,,,,,0,1,,,,Virginia,Sanders,(314) 340-6851,virginia.sanders@ltgov.mo.gov,,,,2020-04-30 11:33:17.0,,,"(44.5165436, -67.5845034)"
Missouri Arts Council,Arts Education Artist in Resident Professional Development,05/11/2020 02:00:00 PM,0,0,,,,,,,,,,,0,1,,,,Virginia,Sanders,(314) 340-6851,virginia.sanders@ltgov.mo.gov,,,,2020-04-30 11:34:41.0,,,"(44.5165436, -67.5845034)"
Missouri Arts Council,Partnership,05/13/2020 02:00:00 PM,0,0,,,,,,,,,,,0,1,,,,Virginia,Sanders,(314) 340-6851,virginia.sanders@ltgov.mo.gov,,,,2020-04-30 11:37:04.0,,,"(44.5165436, -67.5845034)"
Missouri Geological Survey,Well Installation Board Meeting,11/06/2020 10:00:00 AM,0,0,,Missouri Geological Survey,,1251 Gale Drive,,Rolla,,,,,0,0,,,,Connie,Edwards,(573) 368-2121,connie.edwards@dnr.mo.gov,,,,2019-12-31 21:23:11.0,,,"(37.9465095, -91.78002870000002)"
Missouri Committee for Professional Counselors,Credentials Subcommitee,05/19/2020 07:30:00 AM,0,0,,Division of Professional Registration,,3605 Missouri Boulevard,,Jefferson City,,65102,,,0,1,,287 901 693,,,,(573) 751-0018,,Portions of this meeting may be closed pursuant to Section 610.021 (1)(14) RSMo. and Sections 324.001.8 and 324.001.9 RSMo.,,,2020-05-11 12:10:52.0,,,"(38.581448, -92.252301)"
Missouri Statewide Independent Living Council (MOSILC),,05/12/2020 09:00:00 AM,0,0,,,,,,,,,https://us02web.zoom.us/j/88425079507?pwd=Q2w3REYrNkhiOWdWVFc5KytocFFrZz09,884 2507 9507,1,1,,840573657,,Adonis,Brown,(573) 415-8775,adonistbrown@mosilc.org,Join Zoom Meetinghttps://us02web.zoom.us/j/88425079507?pwd=Q2w3REYrNkhiOWdWVFc5KytocFFrZz09Meeting ID: 884 2507 9507Password: 818979,,,2020-05-11 12:14:31.0,,,"(44.5165436, -67.5845034)"
Environmental Stakeholder Meeting,,11/06/2020 10:00:00 AM,0,0,,Lewis and Clark State Office Building,LaCharrette Conference Room,1101 Riverside Drive,,Jefferson City,,65101,,,0,0,,,,Melissa,Newman,(573) 751-3195,missy.newman@dnr.mo.gov,,http://dnr.mo.gov/modnr-stakeholders/?/kitchen-cabinet/,,2019-11-05 16:25:02.0,,,"(38.5695013, -92.15548869999999)"
Office of Adult Learning and Rehabilitation Services,2020 Missouri State Rehabilitation Council Meetings,11/05/2020 09:00:00 AM,0,0,,Missouri Vocational Rehabilitation,,3024 Dupont Circle,,Jefferson City,,,,,0,0,,,,Anita,Baker,(573) 522-6025,,,,,2019-11-14 18:10:37.0,,,"(38.595911, -92.232376)"
Missouri Dental Board,Mail Ballot Notice to be Emailed,05/01/2020 09:00:00 AM,0,0,,,,,,,,,,,0,0,,,,,,(573) 751-0040,,Portions of this meeting may be closed pursuant to Section 610.021 (1)(14) RSMo and Chapter 324.001.8 and 324.001.9 RSMo.,,,2020-04-30 14:40:17.0,,,"(44.5165436, -67.5845034)"
Department of Mental Health,Exceptions Committee,05/04/2020 10:00:00 AM,0,0,,,,,,,,,,,0,1,,283 879 603,,Lisa,Limbach,(573) 751-8202,,Portions of this meeting may be closed pursuant to Section 610.021 (1)(5)(13)(14) RSMo.,,,2020-04-30 18:20:41.0,,,"(44.5165436, -67.5845034)"
Missouri Statewide Independent Living Council (MOSILC),MOSILC Combined Finance Committee &amp; EC Meeting,05/01/2020 01:00:00 PM,0,0,,,,,,,,,https://us02web.zoom.us/j/81428929295?pwd=L2c5MXZXQlovMlVYQUpEOG9tYzltQT09,,1,1,,508912741,,Adonis,Brown,(573) 415-8775,adonistbrown@mosilc.org,"Join Zoom Meetinghttps://us02web.zoom.us/j/81428929295?pwd=L2c5MXZXQlovMlVYQUpEOG9tYzltQT09Meeting ID: 814 2892 9295Password: 905304One tap mobile+13126266799,,81428929295#,,1#,905304# US (Chicago)+16465588656,,81428929295#,,1#,905304# US (New York)Dial by your location+1 312 626 6799 US (Chicago)+1 646 558 8656 US (New York)+1 301 715 8592 US (Germantown)+1 346 248 7799 US (Houston)+1 669 900 9128 US (San Jose)+1 253 215 8782 US (Tacoma)Meeting ID: 814 2892 9295Password: 905304",,,2020-04-28 12:14:47.0,MEETING CANCELLED,2020-05-01 11:29:52.0,"(44.5165436, -67.5845034)"
Missouri Committee for Professional Counselors,Credentials Subcommitee,05/06/2020 08:30:00 AM,0,0,,Division of Professional Registration,,3605 Missouri Boulevard,,Jefferson City,,65102,,,0,1,,805 680 493,,,,(573) 751-0018,,Portions of this meeting may be closed pursuant to Section 610.021 (1)(14) RSMo. and Sections 324.001.8 and 324.001.9 RSMo.,,,2020-05-01 14:33:41.0,,,"(38.581448, -92.252301)"
Missouri Board of Pharmacy,,07/08/2020 08:00:00 AM,0,0,,Courtyard by Marriott Columbia,,3301 Lemone Industrial Blvd.,,Columbia,,,,,0,0,,,,,,(573) 751-0093,,"Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(5)(6)(7)(13)(14)(17), RSMo, and Section 324.001.8 and 324.001.9, RSMo.",,,2019-12-04 15:51:52.0,,,
Clean Water Commission,,07/08/2020 10:00:00 AM,0,0,,Lewis and Clark State Office Building,,1101 Riverside Drive,,Jefferson City,,65101,,,0,0,,,,Krista,Welschmeyer,(573) 751-6721,,,,,2019-11-26 12:24:01.0,,,"(38.5695013, -92.15548869999999)"
Local Government Municipalities Stakeholder Meeting,,07/10/2020 10:00:00 AM,0,0,,Lewis and Clark State Office Building,LaCharrette Conference Room,1101 Riverside Drive,,Jefferson City,,65101,,,0,0,,,,Melissa,Newman,(573) 751-3195,missy.newman@dnr.mo.gov,,http://dnr.mo.gov/modnr-stakeholders/?/kitchen-cabinet/,,2019-11-05 16:26:46.0,,,"(38.5695013, -92.15548869999999)"
Missouri Board of Pharmacy,,07/09/2020 08:00:00 AM,0,0,,Courtyard by Marriott Columbia,,3301 Lemone Industrial Blvd.,,Columbia,,,,,0,0,,,,,,(573) 751-0093,,"Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(5)(6)(7)(13)(14)(17), RSMo, and Section 324.001.8 and 324.001.9, RSMo.",,,2019-12-04 15:52:21.0,,,
Division of Tourism,Tourism Commission Task Force,05/05/2020 12:00:00 PM,0,0,,,,,,,,,https://stateofmo.webex.com/stateofmo/j.php?MTID=m4bf411be6fac3ab7081fa0c6cd9e3fac,,0,1,,280 561 357,,Jadrien,Bopp,(573) 751-4133,,,,,2020-05-04 12:02:05.0,,,"(44.5165436, -67.5845034)"
Division of Environmental Quality,Missouri Air Conservation Commission,10/29/2020 09:00:00 AM,0,0,,Elm Street Conference Center,Bennett Springs Conference Room,1730 East Elm Street,,Jefferson City,,65101,,,0,0,,,,,,(573) 751-4817,,,,,2019-12-19 14:19:53.0,,2019-12-19 14:28:36.0,"(38.5531201, -92.15244589999999)"
Division of Tourism,Tourism Commission Task Force,05/08/2020 12:00:00 PM,0,0,,,,,,,,,https://stateofmo.webex.com/stateofmo/j.php?MTID=m4bf411be6fac3ab7081fa0c6cd9e3fac,,0,1,,280 561 357,,Jadrien,Bopp,(573) 751-4133,,,,,2020-05-04 12:03:59.0,,,"(44.5165436, -67.5845034)"
Office of Adult Learning and Rehabilitation Services,2020 Missouri State Rehabilitation Council Meetings,08/06/2020 09:00:00 AM,0,0,,Missouri Vocational Rehabilitation,,3024 Dupont Circle,,Jefferson City,,,,,0,0,,,,Anita,Baker,(573) 522-6025,,,,,2019-11-14 18:09:07.0,,,"(38.595911, -92.232376)"
Division of Professional Registration,Missouri Dental Board,07/31/2020 08:00:00 AM,0,0,,TBD,,,,,,,,,0,0,,,,,,(573) 751-0040,,Portions of this meeting will be closed pursuant to Section (1)(3)(5)(7)(13)(14) RMSo. and Chapter 324.001.8 and 324.001.9 RSMo.,,,2020-01-15 19:18:25.0,,,"(44.5165436, -67.5845034)"
Division of Environmental Quality,Clean Water Fees Stakeholder Meeting,08/06/2020 01:00:00 PM,0,0,,Lewis and Clark State Office Building,LaCharrette/Nightingale Conference Room,1101 Riverside Drive,,Jefferson City,,65101,,,0,0,,,,Krista,Welshmeyer,(573) 751-6721,,,,,2019-12-16 15:21:10.0,,,"(38.5695013, -92.15548869999999)"
Division of Professional Registration,Missouri Dental Board,07/30/2020 08:00:00 AM,0,0,,TBD,,,,,,,,,0,0,,,,,,(573) 751-0040,,Portions of this meeting will be closed pursuant to Section (1)(3)(5)(7)(13)(14) RMSo. and Chapter 324.001.8 and 324.001.9 RSMo.,,,2020-01-15 19:17:58.0,,,"(44.5165436, -67.5845034)"
Division of Environmental Quality,Missouri Air Conservation Commission,07/30/2020 09:00:00 AM,0,0,,St. Louis Regional Office,DESE Conference Room,7545 South Lindbergh,,St. Louis,,63125,,,0,0,,,,,,(573) 751-4817,,,,,2019-12-19 14:15:14.0,,,"(38.5161654, -90.2901815)"
Missouri Family Trust Board of Trustees Investment Committee,,08/01/2020 09:00:00 AM,0,0,,MSNT Board Room,,,,Columbia,,,,,0,0,,,,Kathy,Birks,(573) 256-5055,kbirkes@midwestspecialneedstrust.org,Portions of this meeting may be closed pursuant to Section 610.021 (8)(12) RSMo.,,,2020-02-04 17:09:49.0,,,"(30.322341, -82.7805357)"
Missouri Family Trust Board of Trustees,,05/02/2020 10:00:00 AM,0,0,,MSNT Board Room,,,,Columbia,,,,,0,0,,,,Kathy,Birkes,(573) 256-5055,kbirkes@midwestspecialneedstrust.org,Portions of the meeting may be closed pursuant to Section 610.021 (3)(8)(12)(13)(17) RSMo.,,,2020-02-04 17:10:39.0,,,"(30.322341, -82.7805357)"
Missouri Family Trust Board of Trustees Distribution Committee,,05/04/2020 10:00:00 AM,0,0,,,,,,,,,,,0,1,,,,Kathy,Birkes,(573) 256-5055,kbirks@midwestspecialneedstrust.org,Portions of this meeting may be closed pursuant to Section 610.021 (8) RSMo.,,,2020-02-04 17:08:12.0,,2020-02-05 13:14:20.0,"(44.5165436, -67.5845034)"
Missouri Family Trust Board of Trustees Distribution Committee,,04/20/2020 10:00:00 AM,0,0,,,,,,,,,,,0,1,,,,Kathy,Birkes,(573) 256-5055,kbirks@midwestspecialneedstrust.org,Portions of this meeting may be closed pursuant to Section 610.021 (8) RSMo.,,,2020-02-04 17:07:44.0,,2020-02-05 13:14:04.0,"(44.5165436, -67.5845034)"
