County,Market Name,Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude,Georeference
New York,Harvest Home Harlem Hospital Farmers' Market,"506 Lenox Ave. , Btwn W 135th & W 137th Sts.",137th Street and Lennox Avenue,New York,NY,10037,Maritza Owens,2128283361,http://www.harvesthomefm.org,June 5-Nov 20 Friday  8am-4pm,June 5-November 20,M,Y,Y,N,Y,40.81539,-73.93985,"(40.81539, -73.93985)"
Dutchess,Arlington Farmers' Market,"Vassar College Alumni Lawn , 123 Raymond Ave. Poughkeepsie",123 Raymond Ave,Poughkeepsie,NY,12603,Bob Legacy,8454712863,http://www.arlingtonhasit.org,Thursday  3pm-7pm,May 28-November 19,P/M,Y,N,N,Y,41.68187,-73.89636,"(41.68187, -73.89636)"
New York,Morningside Park Farmers' Market,237 Manhattan Ave. @W 110th St. Manhattan,237 Manhattan Ave.,New York,NY,10025,Miriam Haas,9149234837,http://www.downtoearthmarkets.com,Saturday 10am-3pm,Year-round,YR,N,Y,N,Y,40.80109,-73.95977,"(40.80109, -73.95977)"
Albany,Veggie Mobile-Whitney Young Health Ctr,920 Lark Drive Albany,920 Lark Drive,Albany,NY,12207,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 11am-12pm,Year-round,YR,N,Y,Y,Y,42.66215,-73.74859,"(42.66215, -73.74859)"
Niagara,Becken Farms Farm Stand,2585 Upper Mt. Rd,2585 Upper Mt. Rd,Sanborn,NY,14132,Randy Becken,7169904454,,Thursday-Friday 10am-6pm   Saturday 10am-5pm,August 13-October 31,TBD,N,N,N,Y,43.16823,-78.90518,"(43.16823, -78.90518)"
Saratoga,Clifton Park Farmers' Market,971 Rt. 146 Shenendehowa Methodist Church Clifton Park,971 State Route 146,Clifton Park,NY,12065,Emily Meagher,5187083698,http://www.saratogafarmersmarket.org,Monday  2pm-5pm,June 1-October 26,M,Y,N,N,Y,42.8688,-73.80859,"(42.8688, -73.80859)"
Madison,Cazenovia WINTER Farmers' Market,American Legion Hall 26 Chenango St,26 Chenango Street,Cazenovia,NY,13035,Tricia Park,3157202141,http://www.cazenoviachamber.com,3rd Saturday  10am-1pm,November 1-March 1,M/X/W/P,N,N,N,Y,42.92467,-75.85168,"(42.92467, -75.85168)"
Oswego,Godfrey's Last Stand Farm Stand,1232 State Route 264 Phoenix,1232 State Route 264,Phoenix,NY,13135,Roberta and Josephine Godfrey,3155937291,http://www.facebook.com/Godfreys-Last-Stand-146264062067804/,Daily  11am-5pm,May 1-December 23,P/M,Y,Y,N,Y,43.31155,-76.29001,"(43.31155, -76.29001)"
Suffolk,Bethel Hobbs Community Farm Stand,178 Oxhead Rd.  Centereach,178 Oxhead Road,Centereach,NY,11720,Ann Pellegrino,6317741556,http://www.hobbsfarm.info,Saturday  10am-2pm,May 30-October 10,P/M,Y,N,N,Y,40.872,-73.09635,"(40.872, -73.09635)"
Orange,Goshen Farmers' Market,"Goshen Village Square , Main at South Street",Main St and Church St,Goshen,NY,10924,Chris Wilson,8452947741,http://www.goshennychamber.com,Friday  10am-5pm,May 22-October 30,P/M,Y,N,N,Y,41.40219,-74.32408,"(41.40219, -74.32408)"
Tioga,Seven Counties Farmers' Market-Tues,Rite Aid parking lot 153 Main St. Owego,Main St and Central Ave,Owego,NY,13827,John Purdy,6076428439,,Tuesday  9am-1pm,June-October,M,Y,N,N,Y,42.10324,-76.26314,"(42.10324, -76.26314)"
Washington,Cambridge Valley WINTER Farmers' Market,"Lovejoy Building , 5 Washington Street",5 Washington Street,Cambridge,NY,12816,Lindsay Fisk,5185389467,,Sunday  10am-2pm,November 1-December 20,M/X,Y,N,N,Y,43.02872,-73.37955,"(43.02872, -73.37955)"
Wayne,The Apple Shed Farm Stand,"3391 Fairville Maple Ridge Rd.  , Newark",3391 Fairville Maple Ridge Rd,Newark,NY,14513,Barbara Wells,3153316294,http://www.theappleshed.com,Daily 9am-5pm,June 12-December 22,M/X,N,Y,N,Y,43.12967,-77.09774,"(43.12967, -77.09774)"
Jefferson,Watertown Farm & Craft Market,"317 Washington Street , State Office Building Plaza",317 Washington Street,Watertown,NY,13601,Kylie Peck,3157884400,http://www.watertownny.com,Wed 7am-3pm,May 27-October 7,P/M,Y,Y,N,Y,43.97173,-75.91116,"(43.97173, -75.91116)"
Bronx,Harvest Home N Central Bronx Farmers' Market,Mosholu Parkway & Jerome Ave.,Jerome Ave and East Mosholu Pkwy North,Bronx,NY,10467,Maritza Owens,2128283361,http://www.harvesthomefm.org,Wednesday  8am-4pm,June 3-November 25,M,Y,Y,N,Y,40.88046,-73.88385,"(40.88046, -73.88385)"
Bronx,Harvest Home Hunts Point Farmers' Market,"Monsignor Del Valle Park, btwn Southern & Bruckner Blvds.",925 Hunts Point Ave.,Bronx,NY,10474,Maritza Owens,2128283361,http://www.harvesthomefm.org,Wednesday  8am-4pm,June 3-November 25,M,Y,Y,N,Y,40.82073,-73.89088,"(40.82073, -73.89088)"
Genesee,Genesee Country Thursday Farmers' Market,Bank St. at Alva Place Batavia,Bank St and Alva Place,Batavia,NY,14020,Sharon Brent,7165600853,,Thursday 9am-4pm,June 11-October 27,M,Y,Y,N,Y,42.99905,-78.18151,"(42.99905, -78.18151)"
Niagara,North Tonawanda City Thurs Farmers' Market,Robinson Rd. & Payne Ave.,310 Robinson Road,North Tonawanda,NY,14120,Matt Parrish,7166958555,http://www.northtonawanda.org/Departments/City%20Market.htm,Thursday  7am-1pm,Year-round,YR,N,Y,N,Y,43.03377,-78.87021,"(43.03377, -78.87021)"
Broome,CHOW MM-Broome County Library,185 Court St. Binghamton,185 Court St.,Binghamton,NY,13901,Jack Seman,6077249130,http://www.broomecouncil.net,Mon/Wed/Fri 9:30am-11:30am,Year-round,YR,N,Y,N,Y,42.09999,-75.90674,"(42.09999, -75.90674)"
Herkimer,Exeter Park Produce and Garlic Farm Stand,"147 South Rd.  West Winfield, close to intersection of Route 51",147 South Road,West Winfield,NY,13491,David or Cynthia Ball,3159823589,http://www.exeterparkproduceandgarlic.com,Daily  10am-6pm,May 1 -October 31,M,N,N,N,Y,42.83092,-75.1367,"(42.83092, -75.1367)"
Onondaga,Syracuse Eastside Neighborhood Market,Westcott Community Ctr 826 Euclid Ave,826 Euclid Ave,Syracuse,NY,13210,Jake Losowski,3154788634,https://westcottcc.org/syracuse-eastside-farmers-market/,Wednesday  2pm-6pm,June 1-November 1,M,N,Y,N,Y,43.03662,-76.1192,"(43.03662, -76.1192)"
Chautauqua,Dunkirk Farmers' Market,Dunkirk Senior Center 45 Cliffstar Court,45 Cliffstar Court,Dunkirk,NY,14048,Edward Hayes,7163669876,http://www.dunkirktoday.com,Wednesday  9am-2pm,June 10-October 14,M,Y,Y,N,Y,42.48481,-79.32751,"(42.48481, -79.32751)"
Kings,McCarren Park/Greenpoint Greenmarket,228 N. 12th St at Union Ave,N 12th Street and Driggs Ave,Brooklyn,NY,11222,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/brooklyn/greenpoint-sa,Saturday  8am-2pm,Year-round,YR,N,Y,N,Y,40.72046,-73.95269,"(40.72046, -73.95269)"
Orange,Tuxedo Farmers' Market,"Tuxedo Train Station,  240 Rt. 17N",240 State Route 17,Tuxedo,NY,10987,Lorraine Barbarash,8453251278,http://www.tuxedofarmersmarket.com,Saturday  9am-2pm,June 13-October 31,M,N,N,N,Y,41.19447,-74.18447,"(41.19447, -74.18447)"
Albany,Veggie Mobile Sprout-St. Sophia Church,440 Whitehall Rd. Albany,440 Whitehall Road,Albany,NY,12208,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 12:40pm-1pm,Year-round,YR,N,Y,Y,Y,42.65197,-73.81477,"(42.65197, -73.81477)"
Genesee,Genesee Country Friday Farmers' Market,Bank St. at Alva Place Batavia,Bank St and Alva Place,Batavia,NY,14020,Sharon Brent,7165600853,,Friday  9am-5pm,June 5-October 30,M,Y,Y,N,Y,42.99905,-78.18151,"(42.99905, -78.18151)"
Schoharie,Parsons Vegetable Farm Farm Stand,756 US Highway 20 Sharon Springs,756 US Highway 20,Sharon Springs,NY,13459,Kenyon Parsons,5182842330,http://www.facebook.com/Parsons-Vegetable-Farm-458674077476065/,Daily  10am-7pm                             Nov/Dec 10a-4p,May 5-December 24,P/M,Y,N,N,Y,42.78332,-74.60004,"(42.78332, -74.60004)"
Kings,Graham Avenue Farmers' Market,Cook St. & Graham Ave.,Graham Ave and Cook St,Brooklyn,NY,11206,Betty Cooney,7183876643,http://www.grahamavenuebid.net,Saturday  9am-5pm,July 11-October 31,M,Y,Y,N,Y,40.70235,-73.94238,"(40.70235, -73.94238)"
Warren,Glens Falls WINTER Farmers' Market,Sanford Street School 10 Sanford St.,10 Sanford Street,Glens Falls,NY,12801,Richard Sandora,5187920438,http://www.glensfallsfarmersmarket.com,Saturday  9am-12pm,"November 1-April 25,2020",M/X/W/P,N,Y,N,Y,43.3173,-73.65347,"(43.3173, -73.65347)"
Kings,Carroll Gardens Greenmarket,330 Carroll St. btwn Smith & Court Sts.,Carroll St and Court St,Brooklyn,NY,11231,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/brooklyn/carroll-gardens,Sunday  8am-2pm,Year-round,YR,N,Y,N,Y,40.68106,-73.99653,"(40.68106, -73.99653)"
Suffolk,Dobler Farms-Commack,72 Crooked Hill Rd Commack,72 Crooked Hill Rd,Commack,NY,11725,Erika Dobler,5169651568,,Daily 9am-6pm,July 1-October 20,M,N,N,N,Y,40.81149,-73.29283,"(40.81149, -73.29283)"
Albany,Altamont Farm Stand,Altamont Free Library 179 Main St.,179 Main Street,Altamont,NY,12009,Jim Abbruzzese,5188616515,http://altamontorchards.com,Friday  11am-6pm,July 17-August 28,M,N,N,N,Y,42.70119,-74.03307,"(42.70119, -74.03307)"
Broome,Broome Co Regional Sat Farmers' Market,840 Upper Front St. Binghamton,840 Upper Front St.,Binghamton,NY,13905,Amy Willis,6077728953,http://www.broomecountyregionalmarket.com,Saturday  9am-1pm,Year-round,YR,N,Y,Y,Y,42.12921,-75.90609,"(42.12921, -75.90609)"
Onondaga,Bayberry Plaza Farmers' Market,Kinney lot 7608 Oswego Rd. Liverpool,7608 Oswego Rd,Liverpool,NY,13090,Madison Cline,3156521463,http://www.bayberryplaza.com,Wednesday  8am-2pm,May 6-October 31,P/M,Y,N,N,Y,43.13779,-76.22602,"(43.13779, -76.22602)"
Ontario,Canandaigua WINTER Farmers' Market,"Antis St. Parkling lot, Behind Byrne Dairy",Antis St.,Canandaigua,NY,14424,Rich Riedman,5853946597,,"Every other Sat  , 10am-11am",November 9-May 30,M/X/W/P,N,N,N,Y,42.88362,-77.2801,"(42.88362, -77.2801)"
Cayuga,Auburn Thu Farmers' Co-op Market,96 State Street  Curley's Restaurant Pkg Lot,96 State Street,Auburn,NY,13021,Mark Soper,3157048609,http://www.auburnfarmerscoopmarketinc.com,Thu 7am-2pm,June 4-October 29,M,Y,Y,N,Y,42.93401,-76.57007,"(42.93401, -76.57007)"
Erie,Clinton Bailey Wed Farmers' Market,1443-1517 Clinton St. Buffalo,Bailey Ave and Clinton St,Buffalo,NY,14206,Sharon Baldi,7162080003,http://www.clintonbaileymarket.com,Wednesday 7am-6pm,May 1-October 31,P/M,N,Y,N,Y,42.87206,-78.81997,"(42.87206, -78.81997)"
Onondaga,Downtown Syracuse Farmers' Market,100 Clinton Square,Clinton St and Water St,Syracuse,NY,13202,Charles McFadden,3154228284,http://www.downtownsyracuse.com,Tuesday  7am-3pm,June 6-October 13,M,Y,Y,N,Y,43.05054,-76.15354,"(43.05054, -76.15354)"
Madison,Debrucque's Produce Stand,3392 Seneca Turnpike Canastota,3392 Seneca Turnpike,Canastota,NY,13032,Gary J. Debrucque,3153801015,,"Mon-Fri  10am-6pm, Sat/Sun  9am-4pm",June 1-October 31,M,Y,N,N,Y,43.06975,-75.75169,"(43.06975, -75.75169)"
Niagara,Huntington Farm Stand I,9715 Ridge Rd. Middleport,9715 Ridge Rd.,Middleport,NY,14105,Dan Huntington,7163930590,,Daily 11am-7pm,June -October,M,N,N,N,Y,43.24672,-78.48848,"(43.24672, -78.48848)"
Allegany,Wagoner Bees & Produce Farm Stand,11137 Wayne Rd.  Fillmore,11137 Wayne Rd.,Fillmore,ny,14735,Terry Wagoner,5856108836,http://www.facebook.com/wagonerbees,"Sat/Sun 12pm-3pm, Mon/Tues/Fri  1pm-5pm, Wed/Thu 5pm-7pm",May 15-October 30,P/M,Y,Y,N,Y,42.48057,-78.09042,"(42.48057, -78.09042)"
Tioga,Seven Counties Farmers' Market-Fri,153 Main Street,153 Main Street,Owego,NY,13827,John Purdy,6076428439,,Friday  9am-1pm,June 19-October 30,M,Y,N,N,Y,42.10315,-76.26336,"(42.10315, -76.26336)"
Chenango,Norwich Farmers' Market,East Park 2 North Broad St.,North Broad St. and Main St.,Norwich,NY,13815,Sandy Pierce,6073344928,http://www.facebook.com/NorwichNYFarmersMarket,Wednesday  10am-2pm,Year-round,YR,Y,Y,N,Y,42.53055,-75.52365,"(42.53055, -75.52365)"
Steuben,Hornell Farmers' Market,1 Steuben Sq Hornell,1 Steuben Sq,Hornell,NY,14843,Valorie Whitehall,6073249786,http://www.facebook.com/hornellfarmersmarket,Saturday 10am-7pm,May 30-September 26,P/M,Y,N,N,Y,42.32902,-77.66062,"(42.32902, -77.66062)"
Albany,Veggie Mobile-Thurlow Terrace,2 Thurlow Terrace Albany,2 Thurlow Terrace,Albany,NY,12203,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 12pm-1pm,Year-round,YR,N,Y,Y,Y,42.65998,-73.77276,"(42.65998, -73.77276)"
St. Lawrence,Martin's Farm Stand,11 Needham Rd. Potsdam,11 Needham Rd.,Potsdam,NY,13676,Daniel Martin,3152651246,http://www.martinsfarmstand.com,Mon-Sat  10am-6pm,May 6-November 25,P/M,Y,Y,N,Y,44.67107,-74.90401,"(44.67107, -74.90401)"
Cayuga,Badman's Bushel Basket,14698 Route 90  Cortland,14698 Route 90,Cortland,NY,13045,Scott Badman,6077495233,,"Tue-Sat  9am-6:30pm, Sun 9am-5pm",May 5-October 30,P/M,N,N,N,Y,42.63978,-76.27522,"(42.63978, -76.27522)"
Oswego,Oswego Farmers' Market,West 1st btwn Bridge & W. Oneida St.,West Bridge St and West 1st St,Oswego,NY,13126,Sara Broadwell,3153437681,http://www.facebook.com/oswegofarmmarket,Thu  4:15pm-7:45pm,June 11-October 8,M,N,Y,N,Y,43.45656,-76.51127,"(43.45656, -76.51127)"
Fulton,Broadalbin Farmers' Market,3687 Highway 30 Broadalbin,3687 Highway 30,Broadalbin,NY,,Michael Tillson,5188829306,http://www.fmfma.org,Friday 3pm-6pm,June 26-September 4,M,N,N,N,Y,43.04809,-74.2173,"(43.04809, -74.2173)"
Broome,Russell Farms Farm Stand,2909 Old Vestal Rd Vestal,2909 Old Vestal Rd,Vestal,NY,13850,Allison Russell,6079725793,http://www.russell-farm.com,Daily 8am-6pm,September 1-Nov 30,M,Y,N,N,Y,42.1009,-76.0078,"(42.1009, -76.0078)"
Rensselaer,Capital Roots Produce Market,594 River Street Troy,594 River Street,Troy,NY,12180,Audrey Bridge,5182748685,http://www.capitalroots.org,Mon-Fri  9am-4:30pm,Year-round,YR,N,Y,Y,Y,42.74208,-73.68525,"(42.74208, -73.68525)"
New York,Inwood Greenmarket,"620 Isham St., Isham Park, btwn Seaman Ave. & Cooper St.",Isham St and Seaman St,New York,NY,10034,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/manhattan/inwood,Saturday  8am-3pm,Year-round,YR,N,Y,N,Y,40.86988,-73.9209,"(40.86988, -73.9209)"
Kings,Harvest Home Coney Island Farm Stand,Ocean Parkway btwn Ave. Z & Shore Rd.,Ocean Pkwy and Avenue Z,Brooklyn,NY,11235,Maritza Owens,2128283361,http://www.harvesthomefm.org,Fri  8am-4pm,June 3-November 25,M,Y,Y,N,Y,40.58669,-73.96578,"(40.58669, -73.96578)"
Rockland,Nyack WINTER Farmers' Market,Nyack Center 58 Depew Ave. Inside,"56 Depew Ave, NY",Nyack,NY,10960,Pam Moskowitz,8454943408,http://www.nyackchamber.org,Thursday  8am-2pm,January 3-March 28,W,N,Y,N,Y,41.089496,-73.919311,"(41.089496, -73.919311)"
Columbia,New Lebanon WINTER Farmers Market,LVPA Firehouse Routes 20 &22 New Lebanon,route 20 &22 New Lebanon,New Lebanon,NY,12125,Chelsea Vigue,5083173502,https://www.facebook.com/newlebanonfarmersmarket/,every 3rd Sunday 10am-2pm,November 17-May 17,M/X/W/P,N,Y,N,Y,42.46421,-73.39698,"(42.46421, -73.39698)"
Herkimer,Old Forge Farmers' Market,Park Ave behind Old Forge Hardware,Crosby Blvd and Park Ave,Old Forge,NY,13420,Eleanor Hill,5708882217,http://www.cap-21.org,Friday  1pm-5pm,June 19-October 9,M,Y,Y,Y,Y,43.70893,-74.97286,"(43.70893, -74.97286)"
Kings,Bartel-Pritchard Square Sunday Greenmarket,205 Prospect Park at West 15th St. inside park,Prospect Park West and 14th Street,Brooklyn,NY,11215,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/brooklyn/bartel-pritchard-square-wed,Sunday  9am-3pm,Year-round,YR,N,Y,N,Y,40.66094,-73.97979,"(40.66094, -73.97979)"
Suffolk,Huntington Farmers' Market,900 Park Ave @ Little Plains Rd Huntington,State Route 110 and Main St,Huntington,NY,11743,Ethel Terry,6313233653,http://www.longislandgrowersmarket.com,Sunday  7am-12pm,June 7-November 21,M,Y,N,N,Y,40.87121,-73.42629,"(40.87121, -73.42629)"
Kings,Isabahlia-Rockaway Ave Farm Stand,514 Rockaway Avenue Brooklyn,514 Rockaway Avenue,Brooklyn,NY,11212,Brenda Thompson-Duchene,7184983174,http://www.isabahlialoefinc.org,Fri/Sat 8am-3pm,June 30-October 31,M,N,Y,N,Y,40.66751,-73.91021,"(40.66751, -73.91021)"
Erie,East Aurora Saturday Farmers' Market,Aurora Village (TOPS) Plaza 123 Grey St.,123 Grey St,East Aurora,NY,14052,Gail Fenton,5853439491,http://www.eastaurorafarmersmarket.com,Saturday  7am-1pm,May 2-November 21,P/M,Y,N,N,Y,42.76593,-78.63413,"(42.76593, -78.63413)"
Monroe,Whittier Fruit Farm Stand,219 Whittier Road  Rochester,219 Whittier Road,Rochester,NY,14624,Judy Russell,5857481898,http://www.whittierfruitfarm.com,Daily 12pm-4pm,July 15-November 6,M,Y,N,N,Y,43.14905,-77.77737,"(43.14905, -77.77737)"
Oneida,Wormont Woolies Farm Stand,8998 Summit Rd.  Cassville,8998 Summit Rd.,Cassville,NY,13318,Katherine Warden,3157251716,,"Su/Mo/We  3pm-5pm, Tuesday 10am-12pm",Year-round,YR,N,N,N,Y,42.95876,-75.29667,"(42.95876, -75.29667)"
Ulster,Kingston YMCA Farm Stand,507 Broadway Kingston,507 Broadway,Kingston,NY,12401,Kaycee Wimbish,8453322927,http://www.kingstonymcafarmproject.org,"Tuesday 10am-12:30pm, Thursday  3:30pm-6pm",June 4-Novenmber 19,M,Y,Y,N,Y,41.92805,-74.0007,"(41.92805, -74.0007)"
Clinton,Plattsburgh Farmers' & Crafters Wed Market,City parking lot  Durkee & Broad St.,Broad St and Durkee St,Plattsburgh,NY,12901,Julie Baughn,5188027164,http://www.facebook.com/pages/Plattsburgh-Farmers-and-Crafters-Market/121588034547095,Wednesday  10am-2pm,May 11-October 31,M,N,Y,N,Y,44.69535,-73.45226,"(44.69535, -73.45226)"
Schuyler,R & E Produce Farm Stand,2321 County Rd. 19 Beaver Dams,2321 County Rd 19,Beaver Dams,NY,14812,Richard Roberts,6072153257,,Daily 9am-5pm,May-October,P/M,N,N,N,Y,42.3443,-76.96252,"(42.3443, -76.96252)"
Nassau,Country Fresh Farmingdale Farmers' Market,Village Green  361 Main St,361 Main St,Farmingdale,NY,11735,Mary Schneider,6316735844,,Sunday  10am-3pm,June 7-November 22,M,Y,N,N,Y,40.73166,-73.44566,"(40.73166, -73.44566)"
Saratoga,Route 50 Green Market,802 Saratoga Rd. Burnt Hills,802 Saratoga Rd.,Burnt Hills,NY,12027,Carol Gumienny,5184902750,,Saturday  9am-1pm,June 1-October 3,M,N,N,N,Y,42.90853,-73.89973,"(42.90853, -73.89973)"
Chenango,Lamb's Quarters Organic Farm Stand,213 Pierce Rd.  Plymouth,213 Pierce Road,Plymouth,NY,13832,Sandy Pierce,6073344928,http://www.lambsquartersinc.com,"Daily  12pm-6pm, Closed  Wed & Sat",Year-round,YR,Y,Y,N,Y,42.60058,-75.59991,"(42.60058, -75.59991)"
Albany,Empire State Plaza Wed Farmers' Market,"Empire State Plaza, (Winter inside South Concourse)",170 State St,Albany,NY,12210,Nicholas DeBlois,5184863966,http://www.ogs.ny.gov,closed for April. Check back for updates. Wednesday  10am-2pm,Year-round,YR,N,Y,N,Y,42.65068,-73.758,"(42.65068, -73.758)"
New York,Columbia Thu Greenmarket,Broadway btwn W 114th &  W 115th Sts.,Broadway and West 115th St,New York,NY,10027,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/manhattan/columbia-th,Thursday  8am-5pm,Year-round,YR,N,Y,N,Y,40.80731,-73.9643,"(40.80731, -73.9643)"
Otsego,Oneonta WINTER Farmers' Market,"Main St. Parking Garage Walkway, near Latte Lounge, 196 Main St.",196 Main Street,Oneonta,NY,13820,Betty Lee,6072671807,http://www.oneontafarmersmarket.com,Saturday  9am-12pm,Nov 2-April 25,X/W/P,N,N,N,Y,42.45397,-75.06188,"(42.45397, -75.06188)"
Bronx,New Roots Community Farm Stand,670 Grand Concourse  Bronx,670 Grand Concourse,Bronx,NY,10451,Sheryll Durrant,2123774747,,Tuesday  3pm-7pm,July 7-October 27,M,N,N,N,Y,40.82172,-73.92524,"(40.82172, -73.92524)"
Westchester,TaSH Farmers' Market,Patriots Park Route 9  Sleepy Hollow,Patriots Park Route 9,Sleepy Hollow,NY,10591,Linda Eder,9144717437,http://www.tashfarmersmarket.org,Saturday  8:30am-2pm,May 23-November 21,P/M,Y,Y,N,Y,41.08525,-73.85924,"(41.08525, -73.85924)"
Delaware,Franklin Farmers' Market,Chapel Hall 25 Institute St.,25 Institute St.,Franklin,NY,13775,Brian Brock,5187060612,http://www.facebook.com/Franklin-NY-Farmers-Market-123602750996783/,Sunday  10am-2pm,May 24-October 11,P/M,Y,N,N,Y,42.33901,-75.1672,"(42.33901, -75.1672)"
Orleans,Watt Farms Country Market,3121 Oak Orchard Rd. Albion,3121 Oak Orchard Rd,Albion,NY,14411,Karen Watt,5855898000,http://www.wattfarms.com,Daily  9am-9pm,June 1-December 25,P/M/X,N,N,N,Y,43.265158,-78.192266,"(43.265158, -78.192266)"
Oneida,Oneida County Public Market,"REA Wing  Union Station, 321 Main St. Downtown Utica",321 Main Street,Utica,NY,13501,Elizabeth Irons,3157983639,http://www.oneidacountymarket.com,Saturday  9am-1pm,May 16-December 26,P/M,N,Y,Y,Y,43.10393,-75.2239,"(43.10393, -75.2239)"
Monroe,Webster's Joe Obbie Farmers' Market,Webster Town Center  1028 Ridge Road,1028 Ridge Road,Webster,NY,14580,Jason Bliek,5852611533,http://www.webstersjoeobbiefarmersmarketinc.org,Wednesday 4pm-8pm,July 1-August 26,M,Y,N,N,Y,43.20964,-77.45416,"(43.20964, -77.45416)"
St. Lawrence,Canton Friday Farmers' Market,Village Green Park 17 Park St @ Main St.,Village Green Park  Main St.,Canton,NY,13617,Elizabeth Parson,3156048133,https://www.facebook.com/CantonNYFarmersMarket/,Friday 9am-2pm,May 8-October 30,P/M,N,N,N,Y,33.77796,-117.94104,"(33.77796, -117.94104)"
Rensselaer,Veggie Mobile Sprout-Church of the Redeemer,1249 3rd Street Rensselaer,1249 3rd Street,Rensselaer,NY,12144,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu 3pm-3:45pm,Year-round,YR,N,Y,Y,Y,42.65038,-73.73443,"(42.65038, -73.73443)"
Schenectady,Veggie Mobile-Summit Towers,720 Albany St. Schenectady,720 Albany street,Schenectady,NY,12307,Audrey Bridge,5182748685,http://www.capitalroots.org,Fri 1:30pm-2pm,Year-round,YR,N,Y,Y,Y,42.80923,-73.93822,"(42.80923, -73.93822)"
Dutchess,Amenia WINTER Farmers' Market,Amenia Town Hall 4988 Route 22,4988 New York 22,Amenia,NY,12501,Sophie Purdy Meili,4133297389,http://www.ameniafarmersmarket.com,"Saturday  10am-2pm, 1st & 3rd Saturday  Jan-Apr",November-April,M/X/W/P,N,Y,N,Y,41.851397,-73.554943,"(41.851397, -73.554943)"
Queens,Healthy Neighboorhood Market,145 Rd btwn Arthur St and Springfield Blvd. Queens,145 Rd @ Arthur st,Queens,NY,11413,"Mel Vail, Jr",,http://www.1026.org,Saturday 6am-6pm,May 16-November 21,,N,N,N,Y,40.66394,-73.75991,"(40.66394, -73.75991)"
Essex,Mountain Weavers' Farm Store,4322 Main Street Port Henry,4322 Main Street,Port Henry,NY,12974,Pam Munson,5185463386,http://www.mountainweaversguild.com,Mon-Fri 8am-4pm,Year-Round,YR,N,N,N,Y,44.04849,-73.45958,"(44.04849, -73.45958)"
Monroe,Rochester Public Market -Tuesday,280 N. Union St. off East Main St.,280 North Union St.,Rochester,NY,14609,Cindy De Coste,5854286907,http://www.cityofrochester.gov/publicmarket,Tuesday  6am-1pm,Year-round,YR,Y,Y,N,Y,43.1657,-77.59016,"(43.1657, -77.59016)"
Cortland,Cincinnatus Farmers' Market,"Cortland-Chenango Rural Services, 2704 Lower Cincinnatus Rd.",2704 Lower Cincinnatus Rd,Cincinnatus,NY,13040,Paul Halstead,6078368972,,Saturday  9am-12pm,May 30-October31,P/M,Y,N,N,Y,42.53812,-75.89662,"(42.53812, -75.89662)"
Chautauqua,Roberto Fred Farm Stand,10655 Temple Rd Dunkirk,10655 Temple Rd,Dunkirk,NY,14048,Roberto Fred,7163667200,,Daily  9am-6pm,June 1-November 30,P/M,N,Y,N,Y,42.464201,-79.361694,"(42.464201, -79.361694)"
New York,Harvest Home 125th Street Farm Stand,"Adam Clayton Powell Jr. State Office Bldg , 163 W 125th St. Plaza",163 W 125th St. Plaza,New York,NY,10027,Maritza Owens,2128283361,http://www.harvesthomefm.org,Tuesday  8am-4pm,June 2-November 24,M,Y,Y,N,Y,40.8085,-73.94712,"(40.8085, -73.94712)"
New York,Tucker Square Saturday Greenmarket,125 Columbus Ave btwn W 65th & W 66th Sts.,Columbus and West 66th St,New York,NY,10023,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/manhattan/tuckerthursday,Saturday  8am-5pm,Year-round,YR,N,Y,N,Y,40.77361,-73.98158,"(40.77361, -73.98158)"
Hamilton,Speculator Farmers & Crafters Farmers' Market,Speculator Village Pavilion Route 30,State Route 30 and Elliot Ln,Speculator,NY,12164,Donna Benkovich,5185484521,http://www.speculatorchamber.com,Thursday  2pm-5pm,June 25-September 17,M,Y,N,N,Y,43.49679,-74.36073,"(43.49679, -74.36073)"
Madison,Poolville WINTER Farmers' Market,"Poolville Community Center (PCC), 7484 Willey Road",7484 Willey Road,Poolville,NY,13332,Chris Amman,3155273429,http://www.facebook.com/pages/Poolville-Winter-Farmers-Market/313469075439355,"10am-1pm Saturdays, alt Sat Nov-Dec 1pm, First Sat Jan-Apr","Nov 2-April 4, 1st Sat Jan-April",M/X/W/P,N,N,N,Y,42.77299,-75.50557,"(42.77299, -75.50557)"
Dutchess,Beacon Farmers' Market,"Veteran's Place, btwn Henry & Main st.",Veteran's Place,Beacon,NY,12508,Sember Weinman,8452314424,http://www.beaconfarmersmarket.org,Sunday  10am-3pm,May 3-November 16,P/M,N,Y,Y,Y,41.50377,-73.96848,"(41.50377, -73.96848)"
