the_geom,OBJECTID,OwnerName,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType
POINT (-90.076989294557 29.951922709288),431896,"HESS WAYNE B            ENGERON, DANIEL J",AMERICAN SEAFOOD INC,3034 HAVANA ST,,NEW ORLEANS,LA,70122,,0135 - FISH & SEAFOOD WHLSRS
POINT (-90.025441724898 29.927311712994),431977,"DAT'S CAJUN SEAFOOD, LLC",DAT'S CAJUN SEAFOOD,3020 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70114,504-362-8252,1104 - FISH & SEAFOOD MARKETS
POINT (-90.084367260284 29.943846847443),431906,"NGA, INC",BAYOU FOOD STORE OF N. O,2432 MARTIN LUTHER KING JR BLVD,,NEW ORLEANS,LA,70113,504-522-1004,1101 - CONVENIENCE STORES
POINT (-90.070314950856 29.965630408797),432028,LABAN FOOD INC,J C FOOD MARKET,1532 ST PHILIP ST,,NEW ORLEANS,LA,70116,504-221-8270,1105 - FULL SVC RESTAURANTS (TABLE SERVICE)
POINT (-90.087191811039 29.932805949004),432094,"NEXT DOOR GROCERY,LLC",NEXT DOOR GROCERY,2733 BARONNE ST,,NEW ORLEANS,LA,70113,,1101 - CONVENIENCE STORES
POINT (-90.068659882115 29.96989254177),432067,TSY CORPORATION,MAN CHU FOOD STORE & CHINESE  FOOD,1413 N CLAIBORNE AVE,,NEW ORLEANS,LA,70116,504-947-5507,1101 - CONVENIENCE STORES
POINT (-89.739391994785 30.164068736218),432217,"VINOT'S MARINA, LLC","VINOT'S MARINA, LLC",27010 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70129,,1101 - CONVENIENCE STORES
POINT (-90.114908992626 30.023858873569),432163,"CRESCENT CITY MARINE GROUP, INC.",SCHUBERT MARINE,126 S ROADWAY ST,,NEW ORLEANS,LA,70124,5042828136,1101 - CONVENIENCE STORES
POINT (-90.082568661226 29.942860681516),432119,PROJECT FOOD STORE      #2 INC,PROJECT FOOD STORE #2,2238 MARTIN LUTHER KING JR BLVD,,NEW ORLEANS,LA,70113,504-586-1762,1101 - CONVENIENCE STORES
POINT (-90.092497049691 29.917981261005),432182,STOCK POT LLC (THE),STOCK POT LLC (THE),3701 TCHOUPITOULAS ST,STE D,NEW ORLEANS,LA,70115,504-897-9192,"0138 - GROCERY & RELATED PRDCTS WHLSRS, OTH"
POINT (-90.052872637713 29.968701486321),432166,"SHANK SHOP, LLC",SHANK CHARCUTERIE,2352 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,,1103 - MEAT MARKETS
POINT (-90.10071116496 29.951430346835),431942,CAPSTONE 118 INC,CAPSTONE 118,4035 WASHINGTON AVE,,NEW ORLEANS,LA,70125,,"0138 - GROCERY & RELATED PRDCTS WHLSRS, OTH"
POINT (-90.074652351856 29.930853531636),432061,BAO CORP,MAGAZINE DISCOUNT MARKET,2000 MAGAZINE ST,,NEW ORLEANS,LA,70130-5018,504-348-7617,1101 - CONVENIENCE STORES
POINT (-90.054762599341 29.9630263051),432013,"TWO HOT CHICKS AND TWO GUYS, LLC",GRANDE KREWE,511 MARIGNY ST,,NEW ORLEANS,LA,70117,,"1110 - BEER, WINE & LIQUOR STORES"
POINT (-90.049021257163 29.974264440136),431963,"AWNI, INC",CLAIBORNE SUPERMARKET,2541 N CLAIBORNE AVE,,NEW ORLEANS,LA,70117,504-948-2327,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.116647522993 29.916272459096),432229,WINN DIXIE MONTGOMERY LLC,WINN DIXIE  #1430,5400 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70115,504-895-2966,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.084734764806 29.967206350295),432226,WHOLE FOOD COMPANY INC,WHOLE FOODS MARKET,300 N BROAD ST,,NEW ORLEANS,LA,70119,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.090535669739 29.937588147639),432172,TCVAN ASSOCIATION LLC,SOUL'S SEAFOOD MARKET #1,2732 LASALLE ST,,NEW ORLEANS,LA,70113,,1104 - FISH & SEAFOOD MARKETS
POINT (-90.073184010579 29.98903338961),432165,"SEATON, CAROLYN         SEATON, EDDIE",SEATON SEAFOOD MARKET,3040 PARIS AVE,,NEW ORLEANS,LA,70119,,1104 - FISH & SEAFOOD MARKETS
POINT (-90.076989294557 29.951922709288),431888,"LISA & LIZ, CORP        NGUYEN, BA V",ADAMS FOOD STORE #3,3001 BIENVILLE ST,,NEW ORLEANS,LA,70119-5401,504-861-1120,1101 - CONVENIENCE STORES
POINT (-90.076989294557 29.951922709288),432224,"WE SERV,LLC",WE SERV FOOD STORE,3319 N N GALVEZ ST,,NEW ORLEANS,LA,70122,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.073446046224 29.970581359801),432085,AWAD INC,NEIGHBORHOOD FOOD MART,2101 GOVERNOR NICHOLLS ST,,NEW ORLEANS,LA,70116,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.105419636393 30.005017634301),432045,"HARRISON FRESH MARKET, LLC",LAKEVIEW GROCERY,801 HARRISON AVE,,NEW ORLEANS,LA,70124,504-207-0162,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.076440640472 29.929661233979),432030,"O D S, LLC",JEWEL'S FOOD STORE,2136 MAGAZINE ST,,NEW ORLEANS,LA,70130,504-524-9355,1101 - CONVENIENCE STORES
POINT (-90.076989294557 29.951922709288),432041,ATILANO LOPEZ LUIS,LA FAVORITA MARKET,3640 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70114,504-217-1184,1101 - CONVENIENCE STORES
POINT (-90.070673344235 29.984927088372),431973,K & O BROTHERS LLC,D & M DISCOUNT STORE,2037 N BROAD ST,,NEW ORLEANS,LA,70119,504-235-3478,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.096278156115 29.96418221119),432035,"K & T FOOD STORE, INC",K & T FOOD STORE,3204 TULANE AVE,,NEW ORLEANS,LA,70119,,1101 - CONVENIENCE STORES
POINT (-90.020827187447 29.962089767741),431921,ST. CLAUDE DISCOUNT LLC,BROTHER'S ST CLAUDE,5104 ST CLAUDE AVE,A,NEW ORLEANS,LA,70117,504-220-3777,1101 - CONVENIENCE STORES
POINT (-90.015453644772 29.961378293959),431953,CHICKEN MART II LLC,CHICKEN MART II,5601 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,,1103 - MEAT MARKETS
POINT (-90.076989294557 29.951922709288),431939,CANSECO'S CARROLLTON MARKET LLC,CANSECO'S CARROLLTON MARKET,1133 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.073713765863 29.961238587475),432113,"PIAZZA SR, VINCENT",PAUL PIAZZA & SON INC,1552 ST LOUIS ST,,NEW ORLEANS,LA,70112,504-524-6011,0135 - FISH & SEAFOOD WHLSRS
POINT (-90.06931294818 29.924875380066),432220,"WAL-MART LOUISIANA, LLC",WAL-MART #5022 (UPTOWN),1901 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70130,504-522-4142,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.107440412916 29.924373023075),432233,ZARA'S LIL GIANT SUPERMA,ZARA'S LIL GIANT SUPERMARKET,4838 PRYTANIA ST,,NEW ORLEANS,LA,70115,504-895-0581,1101 - CONVENIENCE STORES
POINT (-90.07826949396 29.998946403644),432016,HANDY DISCOUNT INC,HANDY DISCOUNT,4101 JUMONVILLE ST,,NEW ORLEANS,LA,70122,504-282-9667,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.058418996107 29.961028678935),431895,ALTALIEH CONVENIENCE LLC,ALTALIEH CONVENIENCE,87 FRENCH MARKET PL,,NEW ORLEANS,LA,70116,504-339-8438,1101 - CONVENIENCE STORES
POINT (-90.104009745868 29.940545167696),431972,"LOUISIANA CVS PHARMACY, L.L.C.",CVS/ PHARMACY # 167,4401 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,401-765-1500,1101 - CONVENIENCE STORES
POINT (-90.080588160646 29.934384078034),432176,BROTHERS PETROLEUM LLC,ST CHARLES 155,2139 ST CHARLES AVE,,NEW ORLEANS,LA,70130,,1101 - CONVENIENCE STORES
POINT (-89.927411706044 30.031851359283),431948,"TRAN FAMILY VENTURES, LLC",CHEF CHEVRON,13301 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70129,504-254-8984,1101 - CONVENIENCE STORES
POINT (-90.088572565855 29.963900282876),432022,250 S BROAD INC,IDEAL DISCOUNT SUPERMARKET,250 S BROAD ST,,NEW ORLEANS,LA,70119,504-822-4232,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.085893105983 29.945171053157),431922,AZZAM INC,BROTHERS DISCOUNT,2701 MARTIN LUTHER KING JR BLVD,,NEW ORLEANS,LA,70113,504-525-5300,1101 - CONVENIENCE STORES
POINT (-90.13069134041 29.948247683366),432168,SIMONES MARKET LLC,SIMONES MARKET,8201 OAK ST,,NEW ORLEANS,LA,70118,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-89.972309694458 30.018733937286),432231,WINN DIXIE MONTGOMERY LLC,WINN DIXIE #1439,9701 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70127,504-244-0701,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.076989294557 29.951922709288),431976,"WILLIAMS, WILLIE JR",DAP MINISTRIES OUTLET,1234 PRESS DR,,NEW ORLEANS,LA,70117,,"1501 - DURABLE GOODS WHLSRS, OTHER MISC"
POINT (-90.073017894238 29.992885183192),432057,TIEN VIET VU,LUCY'S SUPERMARKET,3443 PARIS AVE,,NEW ORLEANS,LA,70122,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-89.959491208141 30.045109414722),432103,NS DISCOUNT EXPRESS LLC,NS DISCOUNT EXPRESS,6041 BULLARD AVE,,NEW ORLEANS,LA,70128,,1101 - CONVENIENCE STORES
POINT (-90.075835490737 30.006149227438),432159,"MORAN FOODS, LLC",SAVE A LOT - 463-4743,4726 PARIS AVE,,NEW ORLEANS,LA,70122,504-282-2966,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.076989294557 29.951922709288),431931,KEITH BUNN,BUNN'S GROCERY,2438 BIENVILLE ST,,NEW ORLEANS,LA,70119,,1101 - CONVENIENCE STORES
POINT (-89.990869842431 30.014069683334),432152,HALLA GROUP LLC.,SAM'S FOOD & LIQUOR,8201 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,504-610-7012,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.09173668005 29.919281850904),431904,"BARCIA'S GROCERY INC    ORGANO, ANN B",BARCIA'S GROCERY INC,3633 ANNUNCIATION ST,,NEW ORLEANS,LA,70115-1306,504-899-9111,1101 - CONVENIENCE STORES
POINT (-90.076989294557 29.951922709288),432090,NEW ORLEANS FISH HOUSE L,NEW ORLEANS FISH HOUSE LLC,921  DUPRE ST,,NEW ORLEANS,LA,70125,504-821-9700,0135 - FISH & SEAFOOD WHLSRS
POINT (-90.053327759356 29.997409977523),431929,SANAD LLC,BROWN DERBY #4,3737 CLEMATIS ST,,NEW ORLEANS,LA,70122,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE)
POINT (-90.076989294557 29.951922709288),432001,SIX BROTHERS LLC,FRANCE MEAT MARKET,1339 FRANCE ST,,NEW ORLEANS,LA,70117,504-949-2407,1103 - MEAT MARKETS
POINT (-90.076989294557 29.951922709288),432125,JAFAR ABUKHALIL INC,QUICKY'S,2701 TULANE AVE,,NEW ORLEANS,LA,70119,504-822-3429,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.076989294557 29.951922709288),432147,RANDOLPH THOMAS,RT ONE SHOP,1242 GORDON STREET,,NEW ORLEANS,LA,70117,,1101 - CONVENIENCE STORES
POINT (-90.066808496323 29.929229796583),431900,"AZ EXPRESS,LLC",AZ EXPRESS,1667 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70130,,1101 - CONVENIENCE STORES
POINT (-89.929135616567 30.032236173165),432048,"LATINOS MARKET, LLC",LATINOS MARKET,13235 CHEF MENTEUR HWY,STE D2,NEW ORLEANS,LA,70129,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.116704704989 29.926626736056),432060,M LANGENSTEIN & SONS INC,M LANGENSTEIN & SONS INC,1330 ARABELLA ST,,NEW ORLEANS,LA,70115-4205,504-899-5001,1105 - FULL SVC RESTAURANTS (TABLE SERVICE)
POINT (-90.033606593077 29.965625339),432065,"ALLADDIN ENTERPRISES, INC.",MAGNOLIA SUPERMARKET # 3,4131 ST CLAUDE AVE,,NEW ORLEANS,LA,70117-5336,504-948-2224,1101 - CONVENIENCE STORES
POINT (-90.076582892185 29.985725798201),431992,FAIR ZONE FOOD STORE 2 LLC,FAIR ZONE FOOD STORE 2,1825 GENTILLY BLVD,,NEW ORLEANS,LA,70119,504-461-6175,1101 - CONVENIENCE STORES
POINT (-90.046035942576 30.002410598446),431914,"BOILING POT AT GENTILLY,LLC",BOILING POT AT GENTILLY,3868 GENTILLY BLVD,,NEW ORLEANS,LA,70122,,1101 - CONVENIENCE STORES
POINT (-90.08133661069 29.972096466228),432062,FRANK'S DISCOUNT LLC,MAGNOLIA MEAT MARKET,900 N BROAD ST,,NEW ORLEANS,LA,70119,504-827-1281,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.100263764319 29.950856066317),431934,"TIEN & TUYET, INC",CAJUN SEAFOOD,2730 S BROAD ST,,NEW ORLEANS,LA,70125,504-822-6185,1104 - FISH & SEAFOOD MARKETS
POINT (-90.075488832888 29.949935750897),432017,NUMACHI LLC,HANDY PIX,1100 POYDRAS ST,110,NEW ORLEANS,LA,70163,,1101 - CONVENIENCE STORES
POINT (-89.927778207906 30.032576046553),432071,VINA FOOD INC.,MATT'S GROCERY 2,4655 MICHOUD BLVD,,NEW ORLEANS,LA,70129,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.062963511272 29.970084731391),432047,"CANGELOSI JR, LAWRENCE",LARRY & LARRY GROCERY,1340 ANNETTE ST,,NEW ORLEANS,LA,70116,,1101 - CONVENIENCE STORES
POINT (-90.117599871971 30.005572416608),432225,WEST HARRISON DELI & MARKET LLC,WEST HARRISON DELI & MARKET,206 W HARRISON AVE,,NEW ORLEANS,LA,70124,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.10238926156 29.916910432707),432142,"ROUSE'S ENTERPRISES, LLC",ROUSES MARKET #26(UPTOWN),4500 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70115,985-447-5998,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.020639725897 29.925316567452),432164,SEAFOOD ZONE LLC,SEAFOOD ZONE,3600 MACARTHUR BLVD,STE:M,NEW ORLEANS,LA,70114,504-367-0550,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-89.911706155856 30.037540629644),432077,"H.A.T., INC",MINH CANH SUPERMARKET,4661 ALCEE FORTIER BLVD,C&D,NEW ORLEANS,LA,70129,,1101 - CONVENIENCE STORES
POINT (-90.06711173033 29.952157164806),431983,DEEP SOUTH GROCERY CO   INC,DIXIE MARKET,501 CANAL ST,,NEW ORLEANS,LA,70130,504-586-8753,1101 - CONVENIENCE STORES
POINT (-90.13026444504 29.95013195612),432183,MAMA INC,STOP & CARRY GROCERY,1328 DANTE ST,,NEW ORLEANS,LA,70118,504-866-8347,1101 - CONVENIENCE STORES
POINT (-90.074406818648 29.928523677809),431901,JOSEPHINE FOOD STORE LLC,B & S FOOD STORE,842 JOSEPHINE ST,,NEW ORLEANS,LA,70130,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-89.742569856456 30.146836195096),432117,POMES CHRIS             POMES BERTRAND,POMES SEAFOOD,26064 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70129,504-662-5026,0135 - FISH & SEAFOOD WHLSRS
POINT (-90.047561151371 29.976758936891),432157,"MORAN FOODS, LLC",SAVE A LOT #379-5324,1841 ALMONASTER AVE,,NEW ORLEANS,LA,70117,504-942-0897,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.048156460637 29.973748870562),432124,"AMEER, LLC",QUICKIES DISCOUNT,1535 FRANKLIN AVE,,NEW ORLEANS,LA,70117,504-259-3655,1101 - CONVENIENCE STORES
POINT (-90.085840850946 29.96416984738),432132,"JEETA,LLC",RED ZONE,2530  CANAL ST,,NEW ORLEANS,LA,70119,616-337-0247,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.042394239961 29.945398866128),432093,LIEM & TEIN PARTNERSHIP,NEWTON DISCOUNT MARKET,1424 NEWTON ST,,NEW ORLEANS,LA,70114,504-368-3692,1101 - CONVENIENCE STORES
POINT (-90.096752672849 29.954871356058),432133,"RD AMERICA, LLC",RESTAURANT DEPOT,1111 S BROAD ST,,NEW ORLEANS,LA,70125,504-822-8881,"0138 - GROCERY & RELATED PRDCTS WHLSRS, OTH"
POINT (-90.019098048155 29.92525007302),432156,"MORAN FOODS, LLC",SAVE A LOT #378-5434,3640 MACARTHUR BLVD,,NEW ORLEANS,LA,70114,504-362-5036,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-89.965717318842 30.018620015648),432207,"TWINS SEAFOOD, LLC",TWINS SEAFOOD,10240 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70127,,1104 - FISH & SEAFOOD MARKETS
POINT (-90.059022777866 29.973014039773),432185,SUNSHINE FOOD MARKET INC,SUNSHINE FOOD MARKET,2020 N CLAIBORNE AVE,,NEW ORLEANS,LA,70116,504-304-6135,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.050421905135 29.948514295701),432107,"OPELOUSAS POINT SUPERMARKET, INC",OPELOUSAS POINT SUPERMARKET,601 OPELOUSAS AVE,,NEW ORLEANS,LA,70114,,1101 - CONVENIENCE STORES
POINT (-90.09943177962 29.95008058892),431890,"ZEYNA, LLC",AEREN'S SUPERMARKET,3911 WASHINGTON AVE,,NEW ORLEANS,LA,70125,504-302-9875,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.065096769494 29.982223378928),431919,COUSIN'S FOODMART INC.,BROOKS GROCERY,2434 ALLEN ST,,NEW ORLEANS,LA,70119,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.088267302362 29.942792436572),432063,"JAOUMARI, INC",MAGNOLIA SUPERMARKET,2201 MAGNOLIA ST,,NEW ORLEANS,LA,70113,504-523-0017,1101 - CONVENIENCE STORES
POINT (-90.070350261102 29.950865290084),432080,ABDUL S KHAN,MOMS MINI MART,327 ST CHARLES AVE,,NEW ORLEANS,LA,70130,504-596-2223,1101 - CONVENIENCE STORES
POINT (-90.076989294557 29.951922709288),431966,"JOS FEIN CATERERS, INC",COURT LIQUORS,618-620 BOURBON ST,,NEW ORLEANS,LA,70130,504-581-5804,1101 - CONVENIENCE STORES
POINT (-90.112623134571 29.92058137995),432014,"MATHERNE JR, MARVIN",GUY'S FOOD STORE,5259 MAGAZINE ST,,NEW ORLEANS,LA,70115-1851,504-891-5025,1101 - CONVENIENCE STORES
POINT (-90.089613892179 29.963380470941),431903,"JADE, INC",BANKS MEAT MARKET,325 S BROAD ST,,NEW ORLEANS,LA,70119,504-822-9004,1103 - MEAT MARKETS
POINT (-90.122885731538 29.922299081601),431960,CIRCLE K STORES INC,CIRCLE K #8276,6050 MAGAZINE ST,,NEW ORLEANS,LA,70118,504-895-0871,1101 - CONVENIENCE STORES
POINT (-90.087055167956 29.949597786144),431944,CAPT JOHNNY SMITH WHLS LLC,CART JOHNNY SMITH WHLS LLC,2920 EARHART BLVD,,NEW ORLEANS,LA,70125,504-524-4196,0135 - FISH & SEAFOOD WHLSRS
