Borough,CouncilDist,Food_Scrap_Drop_Off_Site_Name,Hours_from,Hours_to,Latitude,Location,Longitude,NTAName,Notes,ObjectId,Operation_Day,Open_Months,Serviced_by,Website,boroCD,ct2010,point,zip_code,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
Staten Island,49,St. George Greenmarket,01:00 PM,08:00 AM,40.64159,"St Marks Pl & Hyatt St
Staten Island, NY 10301",-74.0779,West New Brighton-New Brighton-St. George,,217,Saturdays,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,501,3,POINT (-74.07789964 40.641585809999995),10301,10369,4,1,13,74
Brooklyn,35,"Franklin Avenue 2/3/4/5 (Closed Wednesday, 7/3 - Independence Day)",10:00 AM,08:00 AM,40.67066,Franklin Avenue & Eastern Parkway,-73.95798,Crown Heights South,,94,Wednesdays,Year Round,NYC Compost Project,,308,217,POINT (-73.95797448 40.67065801999998),11238,13509,16,2,48,49
Manhattan,6,"Tucker Square Greenmarket (Closed Thursday, 7/4 - Independence Day)",1pm,8am,40.77372,"Columbus Ave & W 66th St, New York, NY 10023",-73.9819,Lincoln Square,,237,Saturday,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,107,149,POINT (-73.9819 40.773720999999995),10023,12420,20,4,19,12
Bronx,8,OPEN FOR SEASON: Target Bronx Community Garden,4pm,12pm,40.83281,1025 Anderson Avenue,-73.92702,Highbridge,,176,Saturday,Seasonal,Target Bronx Community Garden/ NYRP,www.nyrp.org,204,2000,POINT (-73.927022 40.832809000000005),10452,10930,50,5,35,27
Queens,26,Commuter Composting at Vernon Jackson 7,11:00 AM,08:00 AM,40.74273,"Vernon Blvd & 50th Ave, Long Island City, NY 11101 ?",-73.95405,Hunters Point-Sunnyside-West Maspeth,,73,Tuesdays,Year Round,NYC Compost Project,http://www.bigreuse.org/compost/drop-off-list/,402,7,POINT (-73.954048 40.742731),11101,16858,53,3,33,66
Manhattan,9,Harlem Grown,3pm,11am,40.8138,118 W 134th St,-73.94282,Central Harlem North-Polo Grounds,,105,Saturday,Year Round,Harlem Grown,http://www.harlemgrown.org/,110,1000,POINT (-73.942816 40.81380399999999),10030,12427,18,4,36,20
Brooklyn,38,Red Hook Community Farm,12:00 PM,09:00 AM,40.67223,Otsego Street and Beard Street,-74.01101,Carroll Gardens-Columbia Street-Red Hook,,205,Fridays,Year Round,NYC Compost Project,,306,53,POINT (-74.01100591 40.672226949999995),11231,13514,14,2,7,48
Manhattan,5,82nd St Greenmarket [St. Stevens],1pm,9am,40.77429,82nd Street between 1st and York Avenues,-73.95126,Yorkville,,17,Saturday,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,108,136,POINT (-73.95126219 40.77429195999999),10028,12425,23,4,1,11
Manhattan,6,OPEN FOR SEASON: 57th St Greenmarket,2pm,8am,40.76912,10th Avenue & West 57th Street,-73.98856,Clinton,,149,Saturday,"Seasonal Market, June-December",GrowNYC,http://www.grownyc.org/compost/locations,104,135,POINT (-73.98855929 40.76911687999999),10019,12081,12,4,19,10
Manhattan,1,OPEN FOR SEASON: Governors Islands �Zero Waste Stations�,05:00 PM,11:00 AM,40.68695,Several locations throughout Governors Island,-74.02043,park-cemetery-etc-Manhattan,,161,Everyday,"Seasonal, May-September",NYC Compost Project,https://earthmatter.org/nyc-compost-project/,101,5,POINT (-74.020433 40.686955999999995),10004,11725,56,4,32,1
Manhattan,9,Cathedral Parkway (110th St),10:15 AM,06:45 AM,40.80037,110th & Central Park West - SW Corner,-73.95834,park-cemetery-etc-Manhattan,,45,Wednesdays,Year Round,GrowNYC,https://www.grownyc.org/compost-go,110,216,POINT (-73.95833324 40.80036419999999),10029,12423,19,4,19,13
Brooklyn,39,Big Reuse Brooklyn,06:00 PM,10:00 AM,40.67172,"One 12th St, Brooklyn, NY, 11215",-73.99671,Park Slope-Gowanus,,30,Fridays,Year Round,NYC Compost Project & Community Partners,http://www.bigreuse.org/compost/drop-off-list/,306,119,POINT (-73.996711 40.671721),11215,17617,14,2,27,50
Brooklyn,36,Mt. Lebanon Fresh Food Box,02:30 PM,11:30 AM,40.6832,462 Halsey Street,-73.93566,Stuyvesant Heights,,144,Saturdays,"Seasonal, June-November",GrowNYC,https://www.grownyc.org/greenmarketco/foodbox; http://www.462halsey.com/compost/,303,4000,POINT (-73.935663 40.683203),11233,13516,69,2,49,52
Manhattan,3,Saint Peter's Church,dusk,dawn,40.74405,346 West 20th Street,-74.00201,Hudson Yards-Chelsea-Flatiron-Union Square,,208,Everyday,Year Round,Saint Peter's Church,www.stpeterschelsea.org,104,2000,POINT (-74.00200300000002 40.744052999999994),10011,12074,12,4,10,6
Manhattan,7,The Brotherhood/Sister Sol,7pm,11am,40.8243,512 West 143rd Street,-73.95,Hamilton Heights,,222,Monday,Year Round,The Brotherhood/Sister Sol,https://brotherhood-sistersol.org/,109,2001,POINT (-73.950001 40.824301),10031,12428,37,4,23,19
Manhattan,9,FACES NY at 116th,2pm,10am,40.80216,"114 West 116th, 10026",-73.95074,Central Harlem South,,90,Monday,Year Round,FACES NY,www.facesny.org,110,2000,POINT (-73.950743 40.802157),10026,12423,18,4,36,18
Queens,26,Commuter Composting at 21st Street F train,11:00 AM,08:00 AM,40.754,NW Corner of 21st street at 41st Ave,-73.94243,Queensbridge-Ravenswood-Long Island City,,62,Tuesdays,Year Round,NYC Compost Project,,401,25,POINT (-73.94243046 40.753995999999994),11101,16858,39,3,33,72
Bronx,11,Praxis Housing,12:00 PM,9:00 AM,40.89683,4339 White Plains Road,-73.85594,Woodlawn-Wakefield,,193,Wednesdays,Year Round,Praxis Housing,,212,2000,POINT (-73.85594 40.896827),10466,11275,29,5,40,30
Bronx,17,Mary Mitchell Center,06:00 PM,10:00 AM,40.84494,"2007 Mapes Ave, Bronx 10460 at E 178th St",-73.88741,East Tremont,,134,Tuesday,Year Round- following the DOE calendar. Please look at https://www.schools.nyc.gov/calendar for closures.,Mary Mitchell Center,http://themarymitchellfyc.org/,206,2001,POINT (-73.887411 40.844941),10460,11269,35,5,43,31
Manhattan,4,"Dag Hammarskjold Plaza Greenmarket (Closed Thursday, 7/4 - Independence Day)",3pm,8am,40.753,"East 47 St at 2 Ave,New York,NY, 10017",-73.96989,Turtle Bay-East Midtown,,77,Wednesday,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,106,90,POINT (-73.96988743 40.752999129999985),10017,12079,71,4,51,9
Queens,22,Hellgate Farm,08:00 PM,08:00 AM,40.76889,14-33 30th Drive,-73.92995,Old Astoria,,109,Sundays,Year Round,Hellgate Farm,https://www.hellgatefarm.com/,401,1004,POINT (-73.929944 40.768893),11102,16859,39,3,4,72
Manhattan,7,The Brotherhood/Sister Sol,7pm,11am,40.8243,512 West 143rd Street,-73.95,Hamilton Heights,,225,Thursday,Year Round,The Brotherhood/Sister Sol,https://brotherhood-sistersol.org/,109,2001,POINT (-73.950001 40.824301),10031,12428,37,4,23,19
Manhattan,2,Union Square Greenmarket,5pm,8am,40.73682,"E 17th St & Union Square E, New York, NY",-73.99004,Hudson Yards-Chelsea-Flatiron-Union Square,,240,Monday,Year Round,NYC Compost Project,http://www.grownyc.org/compost/locations,105,50,POINT (-73.990043 40.73682199999999),10003,11724,11,4,50,7
Queens,31,OPEN FOR SEASON: Rockaway Waterfront Alliance R.I.S.E.,07:00 PM,04:00 PM,40.59188,5803 Rockaway Beach Blvd.,-73.78826,Hammels-Arverne-Edgemere,,173,Wednesdays,"Seasonal, July-December",Rockaway Waterfront Alliance R.I.S.E.,www.rwalliance.org,414,1029,POINT (-73.788262 40.59187699999999),11692,20530,51,3,47,59
Manhattan,5,Lenox Hill Neighborhood House Fresh Food Box,6:30pm,3:30pm,40.76649,1st Avenue Between 70th St and 71st St,-73.95695,Lenox Hill-Roosevelt Island,,129,Tuesday,Year Round,GrowNYC,http://www.grownyc.org/greenmarketco/foodbox,108,124,POINT (-73.95695734 40.76649367),10021,12083,23,4,1,11
Brooklyn,33,Park Church Co-op,09:00 PM,06:00 PM,40.72482,"Park Church Co-op, 129 Russell Street Brooklyn",-73.94466,Greenpoint,,190,Wednesdays,Year Round,Park Church Co-op,parkchurchcoop.org,301,4001,POINT (-73.944656 40.724822999999994),11222,18182,36,2,38,57
Brooklyn,43,4th Avenue Presbyterian Church,Dusk,05:00PM,40.63547,6753 4th Avenue,-74.0228,Bay Ridge,,13,Fridays,Year Round,4th Avenue Presbyterian Church,http://www.fourthavenuepresbyterian.org/,310,1004,POINT (-74.0228 40.63547299999999),11220,18180,10,2,44,41
Manhattan,9,127 Street & Malcolm X Food Scrap Drop Off Site,dusk,dawn,40.80899,77 West 127th Street between Malcolm X Boulevard and 5th Ave,-73.94378,Central Harlem North-Polo Grounds,,2,Everyday,Year Round,NYC Compost Project,http://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,110,3000,POINT (-73.94377700000001 40.80899599999999),10027,12424,18,4,36,20
Brooklyn,33,"Brooklyn Borough Hall Greenmarket (Closed Thursday, 7/4 - Independence Day)",04:00 PM,08:00 AM,40.69372,"Court St & Montague St, Brooklyn, NY 11201",-73.99046,Brooklyn Heights-Cobble Hill,,41,Saturdays,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,302,9,POINT (-73.99045462 40.69372139),11201,16865,68,2,38,54
Bronx,18,OPEN FOR SEASON: Parkchester Greenmarket,02:00 PM,08:00 AM,40.83337,"White Plains Rd & Westchester Ave, Bronx, NY 10472",-73.86192,Parkchester,,166,Fridays,"Seasonal Market, June-November",GrowNYC,http://www.grownyc.org/compost/locations,209,72,POINT (-73.861921 40.833366999999996),10472,11610,58,5,31,26
Manhattan,6,B'nai Jeshurun Community House,9pm,7am,40.79037,270 West 89th Street,-73.976,Upper West Side,,34,Thursday,Year Round,B'nai Jeshrun,www.bj.org,107,4001,POINT (-73.975999 40.79037300000001),10024,12421,20,4,19,15
Manhattan,9,Garden of Love,6pm,10am,40.8044,302 West 116 Street,-73.95605,Central Harlem South,,97,Saturday,Year Round,Garden of Love,,110,2000,POINT (-73.956048 40.804396),10026,12423,18,4,36,18
Queens,26,Smiling Hogshead Ranch,Dusk,Dawn,40.74318,25-30 Skillman Avenue,-73.94308,Hunters Point-Sunnyside-West Maspeth,,212,Everyday,Year Round,"Smiling Hogshead, Inc",smilinghogsheadranch.org,402,1036,POINT (-73.943087 40.74317599999999),11101,16858,53,3,33,66
Manhattan,7,Dorothy K. McGowan Memorial Garden,4pm,1pm,40.83402,513 West 158th Street,-73.94226,Washington Heights South,,80,Saturday,Year Round,Dorothy K. McGowan Memorial Garden,,112,7000,POINT (-73.94226400000001 40.834024),10032,13090,47,4,23,21
Manhattan,9,Harlem Grown,5pm,9am,40.8138,118 W 134th St,-73.94282,Central Harlem North-Polo Grounds,,102,Wednesday,Year Round,Harlem Grown,http://www.harlemgrown.org/,110,1000,POINT (-73.942816 40.81380399999999),10030,12427,18,4,36,20
Queens,25,St. James Compost,12:00 PM,10:00 AM,40.73834,86-02 Broadway,-73.87782,Elmhurst,,218,1st and 3rd Sundays of every month,Year Round,St. James Compost,https://www.instagram.com/stjamescompost/,404,2000,POINT (-73.877826 40.73834200000001),11373,14784,66,3,5,68
Queens,20,Queens Botanical Garden Public Food Scrap Drop-Off,"4:30 PM(Nov-Mar),06:00PM(Apr-Oct)",08:00 AM,40.75173,"Parking Garden at QBG
42-80 Crommelin Avenue, Flushing, NY 11355",-73.83,Flushing,,197,Tuesdays,Year Round,NYC Compost Project,https://queensbotanical.org,407,1004,POINT (-73.83000300000002 40.751732000000004),11355,14190,22,3,3,67
Manhattan,7,"Columbia University Greenmarket (Closed Thursday, 7/4 - Independence Day)",1pm,8am,40.80671,"Broadway at West 114 St,New York,NY,10025",-73.96485,Morningside Heights,,58,Sunday,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,109,199,POINT (-73.96484935 40.80670668999999),10025,12422,37,4,23,17
Queens,29,Commuter Composting at 63rd Dr. M/R,09:30 AM,07:30 AM,40.72961,"96-14 Queens Blvd, Rego Park, NY 11374",-73.8622,Rego Park,,65,Mondays,Year Round,NYC Compost Project,https://queensbotanical.org/farmandcompost/,406,1000,POINT (-73.862201 40.72961299999999),11374,14785,40,3,28,70
Bronx,17,The Point CDC,6pm,10am,40.81822,940 Garrison Avenue,-73.89046,Hunts Point,,229,Tuesday,Year Round,The Point CDC,thepoint.org,202,2005,POINT (-73.890465 40.818220999999994),10474,12343,8,5,43,24
Bronx,16,BronxWorks Fresh Food Box,6pm,2pm,40.83261,1130 Grand Concourse,-73.91875,East Concourse-Concourse Village,,38,Thursday,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,204,1002,POINT (-73.918751 40.832609999999995),10456,10934,50,5,42,27
Bronx,11,Meg's Community Garden @ Dewitt Clinton High School Campus,Dusk,04:00 PM,40.88145,100 West Mosholu Parkway,-73.88664,Van Cortlandt Village,,141,Thursdays,"Seasonal, May-November",James Baldwin Outdoor Learning Center,,207,409,POINT (-73.886643 40.881451),10468,11606,24,5,40,34
Manhattan,7,157th Street,11am,7am,40.83406,"157th, Broadway, Riverside Drive (Ilka Tanya Payan Park)",-73.94488,Washington Heights South,,9,Wednesday,Year Round,GrowNYC,https://www.grownyc.org/compost-go,112,241,POINT (-73.94487994 40.834060969999996),10032,13090,47,4,23,21
Manhattan,2,14th Street Y,9pm,7am,40.73121,344 E 14th Street,-73.98336,East Village,,6,Tuesday,Year Round,14th Street Y,https://www.14streety.org/about-us/sustainability/,103,6000,POINT (-73.983363 40.731214),10003,11724,70,4,50,5
Manhattan,9,Uptown Grand Central Fresh Food Box,7pm,3pm,40.80506,"125th Street at Park Avenue, outside the Metro-North Station",-73.93903,East Harlem North,,244,Wednesday,Year Round,GrowNYC,http://www.grownyc.org/greenmarketco/foodbox,111,196,POINT (-73.93903423 40.80505732999999),10035,13093,7,4,36,16
Brooklyn,41,Iso Student Farm,12:00 PM,09:00 AM,40.66747,514 Rockaway Avenue,-73.91048,Brownsville,,122,Mondays,Seasonal,Isabahlia LOE Foundation,www.isabahlialoeinc.org,316,1005,POINT (-73.910481 40.66746400000001),11212,17614,55,2,17,46
Manhattan,3,Hudson River Park's Chelsea Waterside Park at W. 23rd St.,7pm,7am,40.74889,Chelsea Waterside Park at 23rd St. and 11th Ave entrance,-74.00703,Hudson Yards-Chelsea-Flatiron-Union Square,,112,Everyday,Year Round,Hudson River Park Trust,https://www.hudsonriverpark.org/,104,99,POINT (-74.00702331 40.74889122),10011,12074,12,4,10,6
Brooklyn,41,OPEN FOR SEASON: Phoenix Community Garden,-04:00PM,09:00AM,40.67852,20 Somers Street,-73.91161,Ocean Hill,,169,Saturdays,"Seasonal, April-November",Phoenix Community Garden,,316,5002,POINT (-73.911613 40.678515000000004),11233,13516,55,2,17,46
Manhattan,2,CLOSED FOR SEASON: Peach Tree Garden,8pm,1pm,40.72168,236 East 2nd Street,-73.98202,Lower East Side,,53,Saturday,"Seasonal, April-October",Peach Tree Garden,,103,1001,POINT (-73.98202 40.72167600000001),10009,11729,70,4,50,5
Manhattan,4,OPEN FOR SEASON: Bryant Park,2:30pm,12:30pm,40.75418,6th Avenue and 41st Sreet,-73.9846,Midtown-Midtown South,"For schedule, holiday, and inclement weather updates, please visit: http://bryantpark.org/programs/waste-sorting-concierge",154,Wednesday,"Seasonal, May-November",Bryant Park Corporation,http://bryantpark.org/programs/waste-sorting-concierge,105,84,POINT (-73.98459514 40.75417679),10018,13094,11,4,51,8
Manhattan,3,Hudson River Park's Pier 84 at W. 44th St.,7pm,7am,40.76311,Pier 84 at W. 44th St. near dog park,-73.99965,Clinton,,117,Everyday,Year Round,Hudson River Park Trust,https://www.hudsonriverpark.org/,104,129,POINT (-73.99964984 40.7631147),10036,13094,12,4,10,10
Queens,20,Queens Botanical Garden Public Food Scrap Drop-Off,"4:30 PM(Nov-Mar),06:00PM(Apr-Oct)",08:00 AM,40.75173,"Parking Garden at QBG
42-80 Crommelin Avenue, Flushing, NY 11355",-73.83,Flushing,,201,Saturdays,Year Round,NYC Compost Project,https://queensbotanical.org,407,1004,POINT (-73.83000300000002 40.751732000000004),11355,14190,22,3,3,67
Manhattan,2,Tompkins Square Greenmarket,1pm,8am,40.72606,"E 7th St & Avenue A, New York, NY 10009",-73.98354,East Village,,233,Sunday,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,103,32,POINT (-73.98353372 40.72605390999999),10009,11729,70,4,50,5
Manhattan,2,East Side Outside Community Garden,dusk,dawn,40.72939,415 East 11th St.,-73.98302,East Village,,85,Everyday,Year Round,East Side Outside Community Garden,reclaimedorganics.org/garden,103,3000,POINT (-73.983024 40.729383999999996),10009,11729,70,4,50,5
Manhattan,3,Church of the Holy Apostles,dusk,dawn,40.74927,296 Ninth Avenue,-73.99882,Hudson Yards-Chelsea-Flatiron-Union Square,,48,Everyday,Year Round,Holy Apostles,holyapostlessoupkitchen.org,104,1001,POINT (-73.99882 40.74927099999999),10001,11722,12,4,10,6
Bronx,16,"OPENING JULY 10: Learn it, Grow it, Eat it Youthmarket",03:00 PM,10:00 AM,40.83114,McKinley Sq. at 169th St. & Boston Road,-73.90069,Morrisania-Melrose,,180,Wednesdays,"Seasonal Market, July-November",GrowNYC,http://www.grownyc.org/compost/locations,203,149,POINT (-73.900686 40.83113999999999),10456,10934,34,5,42,25
Manhattan,5,OPENING JUNE 23: 92nd Street Greenmarket,01:00 PM,09:00 AM,40.78098,"1st Ave between 92nd and 93rd St,New York,NY,10128",-73.94624,Yorkville,,186,Sundays,"Seasonal Market, June-November",GrowNYC,http://www.grownyc.org/compost/locations,108,154,POINT (-73.946239 40.78097799999999),10128,10099,23,4,1,11
Manhattan,1,Commuter Composting at Grand Street & Clinton Street,11am,8am,40.71595,"Grand Street & Clinton Street (SW corner), Manhattan",-73.98672,Lower East Side,,70,Monday,Year Round,NYC Compost Project,www.lesecologycenter.org,103,1401,POINT (-73.98672147 40.71595360999999),10002,11723,70,4,32,4
Manhattan,1,"OPEN FOR SEASON: Earth Matter, Compost Learning Center",04:00 PM,12:00 PM,40.68695,"758 Enright Rd, New York, NY 10004",-74.02043,park-cemetery-etc-Manhattan,,158,Sundays,"Seasonal, May-October",NYC Compost Project,https://earthmatter.org/nyc-compost-project/,101,5,POINT (-74.020433 40.686955999999995),10004,11725,56,4,32,1
Bronx,17,Mary Mitchell Center,06:00 PM,10:00 AM,40.84494,"2007 Mapes Ave, Bronx 10460 at E 178th St",-73.88741,East Tremont,,137,Friday,Year Round- following the DOE calendar. Please look at https://www.schools.nyc.gov/calendar for closures.,Mary Mitchell Center,http://themarymitchellfyc.org/,206,2001,POINT (-73.887411 40.844941),10460,11269,35,5,43,31
Queens,22,Astoria Library,08:00 PM,12:00 PM,40.77238,"14-01 Astoria Blvd, Astoria, NY 11102",-73.92874,Old Astoria,Open during regular/holidy library hours (check the Queens Library website),21,Mondays,Year Round,NYC Compost Project,"http://www.queenslibrary.org/branch/Astoria

http://www.bigreuse.org/compost/drop-off-list/",401,2001,POINT (-73.92874200000001 40.772375999999994),11102,16859,39,3,4,72
Manhattan,1,Judson Memorial Church,1pm,10am,40.73021,243 Thompson Street,-73.99841,West Village,,126,Sunday,Year Round,Judson Memorial Church,judson.org,102,1005,POINT (-73.998416 40.730208),10012,12075,57,4,32,3
Bronx,17,OPEN FOR SEASON: New Roots Community Farm,7pm,3pm,40.82124,670 Grand Concourse,-73.92504,East Concourse-Concourse Village,,165,Tuesday,"Seasonal, April-October",New Roots Community Farm/ International Rescue Committee,,204,2001,POINT (-73.925043 40.821242999999996),10451,10929,50,5,43,27
Manhattan,6,B'nai Jeshurun Community House,9pm,7am,40.79037,270 West 89th Street,-73.976,Upper West Side,,33,Wednesday,Year Round,B'nai Jeshrun,www.bj.org,107,4001,POINT (-73.975999 40.79037300000001),10024,12421,20,4,19,15
Queens,22,Astoria Library,05:00 PM,10:00 AM,40.77238,"14-01 Astoria Blvd, Astoria, NY 11102",-73.92874,Old Astoria,,26,Saturdays,Year Round,NYC Compost Project,"http://www.queenslibrary.org/branch/Astoria

http://www.bigreuse.org/compost/drop-off-list/",401,2001,POINT (-73.92874200000001 40.772375999999994),11102,16859,39,3,4,72
Manhattan,6,79th St Greenmarket,1pm,9am,40.78195,Columbus Avenue and 79th Street,-73.97548,Upper West Side,,16,Sunday,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,107,165,POINT (-73.97548205 40.781951979999995),10024,12421,20,4,19,12
Manhattan,6,OPEN FOR SEASON: 57th St Greenmarket,1pm,8am,40.76912,10th Avenue & West 57th Street,-73.98856,Clinton,,148,Wednesday,"Seasonal Market, June-December",GrowNYC,http://www.grownyc.org/compost/locations,104,135,POINT (-73.98855929 40.76911687999999),10019,12081,12,4,19,10
