Reporting Area,MMWR Year,MMWR Week,"Shiga toxin-producing E. coli (STEC)§, Current week","Shiga toxin-producing E. coli (STEC)§, Current week, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2016","Shiga toxin-producing E. coli (STEC)§, Cum 2016, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2015","Shiga toxin-producing E. coli (STEC)§, Cum 2015, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Med","Shigellosis, Previous 52 weeks Med, flag","Shigellosis, Previous 52 weeks Max","Shigellosis, Previous 52 weeks Max, flag","Shigellosis, Cum 2016","Shigellosis, Cum 2016, flag","Shigellosis, Cum 2015","Shigellosis, Cum 2015, flag",Location 1,Location 2
TENNESSEE,2016,42,1,,3,,9,,156,,138,,,-,3,,12,,164,,197,,"TENNESSEE
(35.681402, -85.774444)",
PACIFIC,2016,42,15,,18,,399,,876,,1042,,15,,43,,190,,1747,,1874,,,
W.S. CENTRAL,2016,42,4,,20,,92,,745,,653,,55,,121,,497,,4378,,4747,,,
MAINE,2016,42,,-,0,,3,,32,,28,,,-,0,,1,,1,,3,,"MAINE
(45.252223, -68.986647)",
ILLINOIS,2016,42,,-,3,,59,,225,,152,,,-,14,,35,,448,,646,,"ILLINOIS
(40.477092, -88.993221)",
UTAH,2016,42,,-,1,,7,,55,,84,,,-,1,,5,,60,,29,,"UTAH
(39.359772, -111.584173)",
NEVADA,2016,42,,-,0,,7,,8,,36,,,-,0,,8,,13,,39,,"NEVADA
(39.491833, -117.070159)",
NEBRASKA,2016,42,,-,2,,9,,109,,104,,8,,2,,14,,148,,75,,"NEBRASKA
(41.640503, -99.367122)",
HAWAII,2016,42,,-,0,,2,,13,,40,,,-,1,,4,,29,,72,,"HAWAII
(21.30992, -157.858158)",
OKLAHOMA,2016,42,1,,2,,33,,108,,112,,2,,14,,124,,567,,740,,"OKLAHOMA
(35.468494, -97.521264)",
VERMONT,2016,42,,-,0,,2,,18,,27,,,-,0,,1,,2,,5,,"VERMONT
(43.622479, -72.51927)",
VIRGINIA,2016,42,,-,2,,8,,90,,89,,1,,7,,22,,306,,251,,"VIRGINIA
(37.542699, -78.45822)",
NEW HAMPSHIRE,2016,42,,-,0,,3,,17,,26,,,-,0,,1,,5,,4,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
DIST. OF COL.,2016,42,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,DIST. OF COL.,
NORTH DAKOTA,2016,42,,-,1,,3,,30,,38,,,-,0,,2,,19,,22,,"NORTH DAKOTA
(47.475879, -100.121011)",
UNITED STATES,2016,43,44,,114,,549,,5232,,5659,,178,,385,,981,,15194,,17893,,,
KENTUCKY,2016,43,,-,1,,5,,68,,63,,3,,4,,15,,196,,373,,"KENTUCKY
(37.64591, -84.774043)",
PENNSYLVANIA,2016,43,4,,4,,12,,184,,187,,2,,9,,27,,404,,331,,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW HAMPSHIRE,2016,43,,-,0,,3,,18,,26,,,-,0,,1,,5,,4,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
E.N. CENTRAL,2016,43,1,,13,,81,,792,,806,,29,,65,,124,,2736,,1895,,,
MASSACHUSETTS,2016,43,,-,2,,7,,105,,58,,,-,3,,8,,146,,145,,"MASSACHUSETTS
(42.268546, -72.085064)",
MONTANA,2016,43,,-,2,,15,,97,,69,,,-,0,,2,,9,,12,,"MONTANA
(47.062617, -109.430168)",
GUAM,2016,43,,-,0,,0,,,-,,-,,-,0,,5,,,-,9,,"GUAM
(13.3532, 144.653198)",
OKLAHOMA,2016,43,3,,2,,33,,111,,112,,2,,14,,124,,569,,757,,"OKLAHOMA
(35.468494, -97.521264)",
MAINE,2016,43,,-,0,,3,,34,,28,,,-,0,,1,,1,,3,,"MAINE
(45.252223, -68.986647)",
MICHIGAN,2016,43,,-,3,,10,,154,,109,,1,,10,,27,,450,,407,,"MICHIGAN
(44.66399, -84.711206)",
RHODE ISLAND,2016,43,,-,0,,2,,7,,9,,1,,0,,2,,22,,24,,"RHODE ISLAND
(41.707447, -71.522488)",
WISCONSIN,2016,43,,-,2,,10,,100,,200,,3,,14,,39,,655,,157,,"WISCONSIN
(44.395526, -89.834513)",
C.N.M.I.,2016,43,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
IOWA,2016,43,,-,4,,20,,273,,145,,,-,9,,31,,397,,509,,"IOWA
(42.46942, -93.815856)",
MINNESOTA,2016,43,,-,0,,7,,,-,246,,,-,0,,21,,,-,151,,"MINNESOTA
(46.357661, -94.793397)",
ALASKA,2016,43,,-,0,,2,,10,,8,,,-,0,,1,,4,,3,,"ALASKA
(64.836661, -147.738891)",
NORTH CAROLINA,2016,43,,-,0,,6,,30,,56,,,-,5,,34,,181,,261,,"NORTH CAROLINA
(35.47995, -79.180571)",
MISSOURI,2016,43,,-,0,,9,,9,,216,,,-,0,,52,,27,,808,,"MISSOURI
(38.636168, -92.566292)",
NEW ENGLAND,2016,43,,-,5,,37,,273,,222,,1,,4,,10,,205,,233,,,
OREGON,2016,43,2,,3,,12,,163,,204,,1,,2,,10,,91,,62,,"OREGON
(44.567912, -120.156945)",
VERMONT,2016,43,,-,0,,2,,18,,27,,,-,0,,1,,2,,5,,"VERMONT
(43.622479, -72.51927)",
ARIZONA,2016,43,2,,3,,8,,131,,108,,12,,24,,49,,1100,,382,,"ARIZONA
(34.869712, -111.760902)",
GEORGIA,2016,43,,-,2,,8,,98,,94,,12,,15,,38,,617,,1051,,"GEORGIA
(32.836038, -83.631709)",
TEXAS,2016,43,3,,15,,53,,573,,450,,49,,92,,363,,3529,,3914,,"TEXAS
(31.827233, -99.423022)",
INDIANA,2016,43,,-,1,,8,,70,,121,,,-,4,,14,,203,,232,,"INDIANA
(39.76845, -86.156212)",
OHIO,2016,43,1,,4,,14,,237,,220,,25,,22,,54,,948,,437,,"OHIO
(40.056807, -82.405897)",
WASHINGTON,2016,43,4,,0,,386,,191,,,-,,-,3,,152,,149,,,-,"WASHINGTON
(47.517368, -120.467672)",
MID. ATLANTIC,2016,43,8,,14,,29,,638,,554,,15,,26,,43,,1104,,1568,,,
NEVADA,2016,43,,-,0,,7,,8,,39,,,-,0,,8,,13,,41,,"NEVADA
(39.491833, -117.070159)",
ARKANSAS,2016,43,,-,1,,7,,80,,63,,3,,3,,9,,124,,72,,"ARKANSAS
(34.748745, -92.275105)",
PUERTO RICO,2016,43,,-,0,,0,,,-,2,,1,,0,,4,,20,,16,,"PUERTO RICO
(18.215692, -66.414655)",
NEW YORK,2016,43,3,,5,,16,,236,,156,,3,,4,,12,,176,,293,,"NEW YORK
(42.826892, -75.544286)",
WEST VIRGINIA,2016,43,,-,0,,3,,20,,21,,,-,0,,2,,9,,15,,"WEST VIRGINIA
(38.668501, -80.709421)",
E.S. CENTRAL,2016,43,4,,6,,15,,273,,256,,9,,16,,33,,640,,1213,,,
AMER. SAMOA,2016,43,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,AMER. SAMOA,
NORTH DAKOTA,2016,43,,-,0,,3,,30,,41,,,-,0,,2,,19,,22,,"NORTH DAKOTA
(47.475879, -100.121011)",
W.N. CENTRAL,2016,43,3,,14,,30,,605,,914,,5,,21,,98,,817,,1939,,,
NEW JERSEY,2016,43,,-,2,,7,,109,,119,,,-,4,,11,,170,,315,,"NEW JERSEY
(40.104655, -74.386686)",
IDAHO,2016,43,2,,2,,12,,142,,126,,,-,1,,4,,37,,23,,"IDAHO
(43.680635, -114.364237)",
KANSAS,2016,43,,-,2,,7,,112,,103,,1,,4,,14,,199,,99,,"KANSAS
(38.345528, -98.201847)",
COLORADO,2016,43,,-,0,,10,,,-,173,,,-,0,,8,,,-,79,,"COLORADO
(38.841772, -106.132562)",
NEW MEXICO,2016,43,,-,0,,3,,32,,33,,,-,2,,23,,135,,64,,"NEW MEXICO
(34.520396, -106.244402)",
VIRGINIA,2016,43,,-,2,,8,,91,,92,,,-,7,,22,,307,,255,,"VIRGINIA
(37.542699, -78.45822)",
FLORIDA,2016,43,7,,3,,7,,147,,110,,32,,15,,35,,617,,1546,,"FLORIDA
(28.915325, -81.922409)",
S. ATLANTIC,2016,43,12,,11,,22,,492,,489,,46,,50,,130,,2074,,3550,,,
DELAWARE,2016,43,,-,0,,2,,13,,3,,,-,1,,4,,53,,19,,"DELAWARE
(39.008676, -75.574561)",
ALABAMA,2016,43,,-,1,,3,,27,,32,,1,,6,,25,,217,,553,,"ALABAMA
(32.839182, -86.631125)",
NEW YORK CITY,2016,43,1,,2,,9,,109,,92,,10,,7,,17,,354,,629,,NEW YORK CITY,
UTAH,2016,43,,-,1,,5,,57,,89,,,-,1,,5,,60,,29,,"UTAH
(39.359772, -111.584173)",
VIRGIN ISL.,2016,43,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
SOUTH DAKOTA,2016,43,,-,1,,9,,68,,55,,,-,0,,3,,23,,274,,"SOUTH DAKOTA
(44.35371, -100.373709)",
LOUISIANA,2016,43,,-,0,,2,,8,,43,,,-,5,,16,,218,,176,,"LOUISIANA
(31.2931, -92.463284)",
MARYLAND,2016,43,5,,1,,6,,73,,73,,1,,3,,9,,129,,196,,"MARYLAND
(39.290443, -76.612333)",
CONNECTICUT,2016,43,,-,0,,33,,91,,74,,,-,1,,4,,29,,52,,"CONNECTICUT
(41.544654, -72.651713)",
PACIFIC,2016,43,6,,18,,399,,913,,1076,,7,,43,,190,,1819,,1937,,,
TENNESSEE,2016,43,4,,3,,9,,160,,141,,5,,3,,13,,170,,199,,"TENNESSEE
(35.681402, -85.774444)",
CALIFORNIA,2016,43,,-,12,,25,,532,,824,,6,,37,,67,,1544,,1799,,"CALIFORNIA
(37.640735, -121.002435)",
WYOMING,2016,43,,-,0,,2,,7,,37,,,-,0,,1,,5,,9,,"WYOMING
(43.23558, -108.110518)",
SOUTH CAROLINA,2016,43,,-,0,,2,,19,,36,,1,,3,,44,,157,,169,,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEBRASKA,2016,43,3,,2,,9,,113,,108,,4,,2,,14,,152,,76,,"NEBRASKA
(41.640503, -99.367122)",
DIST. OF COL.,2016,43,,-,0,,1,,1,,4,,,-,0,,4,,4,,38,,DIST. OF COL.,
MOUNTAIN,2016,43,4,,10,,30,,474,,674,,12,,30,,54,,1359,,639,,,
W.S. CENTRAL,2016,43,6,,20,,92,,772,,668,,54,,118,,497,,4440,,4919,,,
MISSISSIPPI,2016,43,,-,0,,2,,18,,20,,,-,1,,5,,57,,88,,"MISSISSIPPI
(32.738663, -89.537312)",
HAWAII,2016,43,,-,0,,2,,17,,40,,,-,0,,5,,31,,73,,"HAWAII
(21.30992, -157.858158)",
ILLINOIS,2016,43,,-,3,,59,,231,,156,,,-,13,,35,,480,,662,,"ILLINOIS
(40.477092, -88.993221)",
DIST. OF COL.,2016,44,,-,0,,1,,1,,4,,,-,0,,4,,4,,38,,DIST. OF COL.,
KENTUCKY,2016,44,1,,1,,5,,73,,64,,,-,4,,15,,200,,388,,"KENTUCKY
(37.64591, -84.774043)",
W.N. CENTRAL,2016,44,2,,13,,30,,616,,924,,4,,20,,98,,828,,2033,,,
TENNESSEE,2016,44,5,,3,,9,,167,,145,,1,,3,,13,,172,,200,,"TENNESSEE
(35.681402, -85.774444)",
W.S. CENTRAL,2016,44,10,,20,,92,,807,,680,,39,,118,,497,,4499,,5073,,,
ILLINOIS,2016,44,,-,3,,61,,252,,158,,,-,13,,35,,483,,679,,"ILLINOIS
(40.477092, -88.993221)",
SOUTH CAROLINA,2016,44,,-,0,,2,,19,,36,,1,,3,,44,,163,,170,,"SOUTH CAROLINA
(34.009286, -81.037094)",
VERMONT,2016,44,,-,0,,2,,18,,27,,,-,0,,1,,2,,5,,"VERMONT
(43.622479, -72.51927)",
PACIFIC,2016,44,3,,18,,399,,933,,1105,,7,,45,,190,,1882,,1992,,,
CALIFORNIA,2016,44,1,,12,,26,,545,,847,,6,,37,,68,,1604,,1847,,"CALIFORNIA
(37.640735, -121.002435)",
WYOMING,2016,44,,-,0,,2,,7,,38,,,-,0,,1,,5,,9,,"WYOMING
(43.23558, -108.110518)",
VIRGIN ISL.,2016,44,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
IOWA,2016,44,,-,4,,20,,279,,147,,,-,8,,31,,400,,531,,"IOWA
(42.46942, -93.815856)",
WEST VIRGINIA,2016,44,,-,0,,3,,20,,21,,,-,0,,2,,9,,15,,"WEST VIRGINIA
(38.668501, -80.709421)",
ARIZONA,2016,44,1,,3,,8,,133,,109,,14,,24,,49,,1117,,388,,"ARIZONA
(34.869712, -111.760902)",
INDIANA,2016,44,,-,1,,8,,70,,121,,,-,4,,14,,203,,235,,"INDIANA
(39.76845, -86.156212)",
NEBRASKA,2016,44,2,,2,,9,,115,,109,,3,,2,,14,,155,,78,,"NEBRASKA
(41.640503, -99.367122)",
MICHIGAN,2016,44,1,,3,,10,,160,,112,,2,,10,,27,,462,,423,,"MICHIGAN
(44.66399, -84.711206)",
NEW YORK CITY,2016,44,7,,2,,9,,116,,93,,9,,7,,17,,363,,637,,NEW YORK CITY,
MISSOURI,2016,44,,-,0,,9,,9,,217,,,-,0,,52,,27,,853,,"MISSOURI
(38.636168, -92.566292)",
MINNESOTA,2016,44,,-,0,,5,,,-,248,,,-,0,,21,,,-,166,,"MINNESOTA
(46.357661, -94.793397)",
ARKANSAS,2016,44,,-,1,,7,,80,,63,,,-,3,,9,,124,,79,,"ARKANSAS
(34.748745, -92.275105)",
OHIO,2016,44,9,,4,,14,,246,,223,,13,,23,,54,,960,,454,,"OHIO
(40.056807, -82.405897)",
ALASKA,2016,44,,-,0,,2,,11,,8,,,-,0,,1,,4,,4,,"ALASKA
(64.836661, -147.738891)",
E.N. CENTRAL,2016,44,10,,13,,83,,828,,817,,15,,65,,124,,2766,,1957,,,
MISSISSIPPI,2016,44,,-,0,,2,,20,,20,,,-,1,,5,,58,,90,,"MISSISSIPPI
(32.738663, -89.537312)",
GUAM,2016,44,,-,0,,0,,,-,,-,,-,0,,5,,,-,9,,"GUAM
(13.3532, 144.653198)",
PUERTO RICO,2016,44,,-,0,,0,,,-,2,,,-,0,,4,,20,,16,,"PUERTO RICO
(18.215692, -66.414655)",
MASSACHUSETTS,2016,44,,-,2,,7,,107,,60,,2,,3,,8,,150,,145,,"MASSACHUSETTS
(42.268546, -72.085064)",
DELAWARE,2016,44,,-,0,,2,,13,,4,,,-,1,,4,,53,,19,,"DELAWARE
(39.008676, -75.574561)",
OREGON,2016,44,2,,3,,12,,168,,210,,,-,2,,10,,93,,68,,"OREGON
(44.567912, -120.156945)",
MAINE,2016,44,,-,0,,3,,34,,28,,1,,0,,1,,2,,3,,"MAINE
(45.252223, -68.986647)",
AMER. SAMOA,2016,44,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,AMER. SAMOA,
FLORIDA,2016,44,3,,3,,8,,151,,112,,20,,15,,35,,637,,1571,,"FLORIDA
(28.915325, -81.922409)",
PENNSYLVANIA,2016,44,,-,4,,12,,188,,191,,3,,8,,27,,410,,347,,"PENNSYLVANIA
(40.789676, -77.858055)",
S. ATLANTIC,2016,44,8,,11,,23,,507,,504,,29,,51,,130,,2148,,3621,,,
TEXAS,2016,44,,-,15,,53,,598,,457,,32,,91,,363,,3580,,4033,,"TEXAS
(31.827233, -99.423022)",
NEW HAMPSHIRE,2016,44,,-,0,,3,,18,,26,,,-,0,,1,,5,,4,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
COLORADO,2016,44,,-,0,,10,,,-,180,,,-,0,,8,,,-,81,,"COLORADO
(38.841772, -106.132562)",
MID. ATLANTIC,2016,44,8,,14,,30,,663,,565,,15,,26,,43,,1142,,1604,,,
ALABAMA,2016,44,,-,1,,3,,27,,33,,,-,6,,25,,218,,565,,"ALABAMA
(32.839182, -86.631125)",
C.N.M.I.,2016,44,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
UTAH,2016,44,,-,1,,5,,58,,91,,,-,1,,5,,60,,31,,"UTAH
(39.359772, -111.584173)",
E.S. CENTRAL,2016,44,6,,6,,15,,287,,262,,1,,15,,33,,648,,1243,,,
KANSAS,2016,44,,-,2,,7,,112,,106,,1,,4,,14,,204,,105,,"KANSAS
(38.345528, -98.201847)",
NORTH DAKOTA,2016,44,,-,0,,3,,31,,41,,,-,0,,2,,19,,23,,"NORTH DAKOTA
(47.475879, -100.121011)",
GEORGIA,2016,44,,-,2,,8,,102,,99,,5,,15,,38,,639,,1086,,"GEORGIA
(32.836038, -83.631709)",
VIRGINIA,2016,44,,-,2,,8,,94,,93,,2,,7,,22,,313,,257,,"VIRGINIA
(37.542699, -78.45822)",
CONNECTICUT,2016,44,,-,0,,33,,91,,74,,,-,0,,4,,29,,53,,"CONNECTICUT
(41.544654, -72.651713)",
OKLAHOMA,2016,44,10,,2,,33,,121,,116,,7,,13,,124,,577,,779,,"OKLAHOMA
(35.468494, -97.521264)",
NORTH CAROLINA,2016,44,,-,0,,6,,33,,62,,,-,5,,34,,199,,268,,"NORTH CAROLINA
(35.47995, -79.180571)",
LOUISIANA,2016,44,,-,0,,2,,8,,44,,,-,5,,16,,218,,182,,"LOUISIANA
(31.2931, -92.463284)",
MARYLAND,2016,44,5,,1,,6,,74,,73,,1,,3,,9,,131,,197,,"MARYLAND
(39.290443, -76.612333)",
NEW YORK,2016,44,1,,4,,16,,237,,162,,3,,4,,12,,179,,297,,"NEW YORK
(42.826892, -75.544286)",
NEVADA,2016,44,,-,0,,7,,8,,46,,,-,0,,8,,13,,41,,"NEVADA
(39.491833, -117.070159)",
IDAHO,2016,44,2,,2,,12,,145,,131,,,-,1,,4,,37,,23,,"IDAHO
(43.680635, -114.364237)",
HAWAII,2016,44,,-,0,,2,,18,,40,,,-,0,,5,,31,,73,,"HAWAII
(21.30992, -157.858158)",
RHODE ISLAND,2016,44,2,,0,,2,,9,,9,,,-,0,,2,,22,,24,,"RHODE ISLAND
(41.707447, -71.522488)",
NEW ENGLAND,2016,44,2,,5,,37,,277,,224,,3,,4,,10,,210,,234,,,
WISCONSIN,2016,44,,-,2,,10,,100,,203,,,-,14,,38,,658,,166,,"WISCONSIN
(44.395526, -89.834513)",
NEW JERSEY,2016,44,,-,3,,7,,122,,119,,,-,4,,11,,190,,323,,"NEW JERSEY
(40.104655, -74.386686)",
SOUTH DAKOTA,2016,44,,-,1,,9,,70,,56,,,-,0,,3,,23,,277,,"SOUTH DAKOTA
(44.35371, -100.373709)",
MOUNTAIN,2016,44,4,,10,,27,,491,,701,,14,,30,,54,,1378,,651,,,
UNITED STATES,2016,44,53,,112,,549,,5409,,5782,,127,,383,,981,,15501,,18408,,,
NEW MEXICO,2016,44,,-,1,,5,,41,,33,,,-,2,,21,,137,,66,,"NEW MEXICO
(34.520396, -106.244402)",
MONTANA,2016,44,1,,2,,15,,99,,73,,,-,0,,2,,9,,12,,"MONTANA
(47.062617, -109.430168)",
WASHINGTON,2016,44,,-,0,,386,,191,,,-,1,,3,,152,,150,,,-,"WASHINGTON
(47.517368, -120.467672)",
OREGON,2016,45,2,,3,,12,,170,,213,,1,,2,,10,,93,,75,,"OREGON
(44.567912, -120.156945)",
MINNESOTA,2016,45,,-,0,,5,,,-,251,,,-,0,,21,,,-,182,,"MINNESOTA
(46.357661, -94.793397)",
UNITED STATES,2016,45,61,,112,,549,,5605,,5906,,116,,379,,981,,15851,,19039,,,
WISCONSIN,2016,45,,-,2,,10,,100,,208,,2,,14,,38,,666,,172,,"WISCONSIN
(44.395526, -89.834513)",
MISSOURI,2016,45,,-,0,,9,,9,,220,,,-,0,,52,,27,,886,,"MISSOURI
(38.636168, -92.566292)",
DELAWARE,2016,45,,-,0,,2,,13,,4,,1,,1,,4,,59,,19,,"DELAWARE
(39.008676, -75.574561)",
VIRGIN ISL.,2016,45,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
MARYLAND,2016,45,2,,1,,6,,78,,76,,5,,3,,9,,136,,204,,"MARYLAND
(39.290443, -76.612333)",
E.N. CENTRAL,2016,45,1,,13,,83,,832,,835,,16,,65,,124,,2802,,2036,,,
MID. ATLANTIC,2016,45,8,,14,,30,,679,,576,,15,,26,,45,,1164,,1638,,,
IDAHO,2016,45,1,,2,,12,,146,,136,,,-,1,,4,,37,,23,,"IDAHO
(43.680635, -114.364237)",
W.S. CENTRAL,2016,45,8,,21,,92,,856,,701,,29,,117,,497,,4544,,5298,,,
AMER. SAMOA,2016,45,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,AMER. SAMOA,
LOUISIANA,2016,45,,-,0,,2,,8,,44,,,-,4,,16,,218,,192,,"LOUISIANA
(31.2931, -92.463284)",
NEW ENGLAND,2016,45,,-,5,,38,,304,,227,,1,,5,,13,,228,,238,,,
E.S. CENTRAL,2016,45,5,,6,,15,,295,,265,,11,,15,,33,,677,,1275,,,
NEW HAMPSHIRE,2016,45,,-,0,,3,,18,,26,,,-,0,,1,,6,,4,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
CONNECTICUT,2016,45,,-,1,,34,,118,,76,,,-,1,,4,,45,,54,,"CONNECTICUT
(41.544654, -72.651713)",
MICHIGAN,2016,45,,-,3,,10,,160,,113,,2,,10,,27,,469,,435,,"MICHIGAN
(44.66399, -84.711206)",
NEW YORK,2016,45,7,,4,,16,,244,,166,,5,,4,,12,,184,,301,,"NEW YORK
(42.826892, -75.544286)",
NEVADA,2016,45,,-,0,,5,,8,,51,,,-,0,,8,,13,,42,,"NEVADA
(39.491833, -117.070159)",
IOWA,2016,45,,-,4,,20,,281,,149,,1,,8,,31,,411,,556,,"IOWA
(42.46942, -93.815856)",
INDIANA,2016,45,,-,1,,8,,72,,122,,,-,4,,14,,209,,242,,"INDIANA
(39.76845, -86.156212)",
WASHINGTON,2016,45,25,,0,,386,,214,,,-,7,,2,,152,,156,,,-,"WASHINGTON
(47.517368, -120.467672)",
VERMONT,2016,45,,-,0,,2,,18,,27,,,-,0,,1,,2,,6,,"VERMONT
(43.622479, -72.51927)",
NEW YORK CITY,2016,45,1,,2,,9,,117,,94,,8,,7,,17,,371,,644,,NEW YORK CITY,
MASSACHUSETTS,2016,45,,-,2,,7,,107,,61,,,-,3,,8,,150,,145,,"MASSACHUSETTS
(42.268546, -72.085064)",
SOUTH DAKOTA,2016,45,,-,1,,9,,70,,56,,,-,0,,2,,23,,279,,"SOUTH DAKOTA
(44.35371, -100.373709)",
ALASKA,2016,46,1,,0,,2,,12,,9,,,-,0,,1,,4,,5,,"ALASKA
(64.836661, -147.738891)",
FLORIDA,2016,45,2,,3,,8,,153,,117,,10,,15,,35,,647,,1595,,"FLORIDA
(28.915325, -81.922409)",
TENNESSEE,2016,45,5,,3,,9,,176,,146,,,-,3,,13,,179,,203,,"TENNESSEE
(35.681402, -85.774444)",
PACIFIC,2016,45,27,,18,,399,,993,,1123,,11,,45,,190,,1940,,2057,,,
NEW JERSEY,2016,45,,-,3,,7,,126,,122,,,-,4,,11,,190,,334,,"NEW JERSEY
(40.104655, -74.386686)",
VIRGINIA,2016,45,,-,2,,8,,97,,94,,,-,7,,22,,315,,260,,"VIRGINIA
(37.542699, -78.45822)",
PENNSYLVANIA,2016,45,,-,4,,12,,192,,194,,2,,8,,27,,419,,359,,"PENNSYLVANIA
(40.789676, -77.858055)",
RHODE ISLAND,2016,45,,-,0,,2,,9,,9,,,-,0,,2,,22,,25,,"RHODE ISLAND
(41.707447, -71.522488)",
KANSAS,2016,45,,-,2,,7,,114,,107,,,-,4,,14,,208,,107,,"KANSAS
(38.345528, -98.201847)",
WEST VIRGINIA,2016,45,,-,0,,3,,20,,21,,,-,0,,2,,9,,15,,"WEST VIRGINIA
(38.668501, -80.709421)",
NORTH DAKOTA,2016,45,,-,1,,3,,32,,41,,,-,0,,2,,19,,23,,"NORTH DAKOTA
(47.475879, -100.121011)",
S. ATLANTIC,2016,45,5,,11,,23,,523,,517,,18,,52,,130,,2221,,3693,,,
ALABAMA,2016,45,,-,1,,3,,27,,33,,2,,6,,25,,220,,590,,"ALABAMA
(32.839182, -86.631125)",
GEORGIA,2016,45,,-,2,,8,,106,,101,,1,,15,,38,,647,,1114,,"GEORGIA
(32.836038, -83.631709)",
COLORADO,2016,45,,-,0,,10,,,-,185,,,-,0,,8,,,-,89,,"COLORADO
(38.841772, -106.132562)",
KENTUCKY,2016,45,,-,1,,5,,73,,65,,8,,4,,14,,219,,391,,"KENTUCKY
(37.64591, -84.774043)",
UTAH,2016,45,,-,1,,5,,58,,91,,,-,1,,5,,60,,33,,"UTAH
(39.359772, -111.584173)",
NEW MEXICO,2016,45,1,,1,,5,,43,,33,,,-,2,,21,,162,,68,,"NEW MEXICO
(34.520396, -106.244402)",
PUERTO RICO,2016,45,,-,0,,0,,,-,2,,,-,0,,4,,20,,16,,"PUERTO RICO
(18.215692, -66.414655)",
C.N.M.I.,2016,45,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
DIST. OF COL.,2016,45,,-,0,,1,,1,,4,,,-,0,,4,,4,,42,,DIST. OF COL.,
MONTANA,2016,45,1,,2,,15,,101,,75,,,-,0,,2,,9,,12,,"MONTANA
(47.062617, -109.430168)",
ALASKA,2016,45,,-,0,,2,,11,,8,,,-,0,,1,,4,,4,,"ALASKA
(64.836661, -147.738891)",
TEXAS,2016,45,6,,15,,53,,645,,473,,28,,92,,363,,3624,,4216,,"TEXAS
(31.827233, -99.423022)",
CALIFORNIA,2016,45,,-,12,,27,,580,,862,,3,,37,,68,,1656,,1904,,"CALIFORNIA
(37.640735, -121.002435)",
ILLINOIS,2016,45,,-,3,,61,,253,,163,,,-,13,,35,,486,,706,,"ILLINOIS
(40.477092, -88.993221)",
HAWAII,2016,45,,-,0,,2,,18,,40,,,-,0,,5,,31,,74,,"HAWAII
(21.30992, -157.858158)",
GUAM,2016,45,,-,0,,0,,,-,,-,,-,0,,5,,,-,9,,"GUAM
(13.3532, 144.653198)",
WYOMING,2016,45,,-,0,,2,,7,,38,,,-,0,,1,,5,,10,,"WYOMING
(43.23558, -108.110518)",
NORTH CAROLINA,2016,45,,-,0,,5,,34,,63,,,-,6,,34,,237,,271,,"NORTH CAROLINA
(35.47995, -79.180571)",
OKLAHOMA,2016,45,2,,2,,33,,123,,117,,1,,12,,124,,578,,808,,"OKLAHOMA
(35.468494, -97.521264)",
ARKANSAS,2016,45,,-,1,,7,,80,,67,,,-,2,,9,,124,,82,,"ARKANSAS
(34.748745, -92.275105)",
ARIZONA,2016,45,1,,3,,8,,134,,113,,11,,24,,49,,1141,,414,,"ARIZONA
(34.869712, -111.760902)",
W.N. CENTRAL,2016,45,3,,13,,30,,626,,940,,4,,19,,98,,848,,2113,,,
SOUTH CAROLINA,2016,45,1,,0,,2,,21,,37,,1,,3,,44,,167,,173,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MAINE,2016,45,,-,0,,3,,34,,28,,1,,0,,1,,3,,4,,"MAINE
(45.252223, -68.986647)",
MISSISSIPPI,2016,45,,-,0,,2,,19,,21,,1,,1,,5,,59,,91,,"MISSISSIPPI
(32.738663, -89.537312)",
OHIO,2016,45,1,,4,,14,,247,,229,,12,,23,,54,,972,,481,,"OHIO
(40.056807, -82.405897)",
