inci_no,Alm_Date,Address,Inci_type,Content_Loss,Property_Loss,Total_Loss,Pre_Inci_Value,Saved
10423,4/14/2016,2223 GRIFFITHS NA City of Louisville KY 40212,131 - Passenger vehicle fire,0,3000,3000,7500,4500
10423,4/14/2016,2223 GRIFFITHS NA City of Louisville KY 40212,131 - Passenger vehicle fire,0,3000,3000,7500,4500
10497,4/14/2016,2702 TAYLOR Kitchen City of Louisville KY 40208,111 - Building fire,5000,25000,30000,47000,17000
10622,4/16/2016,511 S 5TH apt City of Louisville KY 40202,111 - Building fire,2000,5000,7000,5000,-2000
10680,4/16/2016,2335 HOWARD na City of Louisville KY 40211,111 - Building fire,2000,7000,9000,22000,13000
10680,4/16/2016,2335 HOWARD na City of Louisville KY 40211,111 - Building fire,2000,7000,9000,22000,13000
10622,4/16/2016,511 S 5TH apt City of Louisville KY 40202,111 - Building fire,2000,5000,7000,5000,-2000
10680,4/16/2016,2335 HOWARD na City of Louisville KY 40211,111 - Building fire,2000,7000,9000,22000,13000
10622,4/16/2016,511 S 5TH apt City of Louisville KY 40202,111 - Building fire,2000,5000,7000,5000,-2000
10777,4/17/2016,1704 BARDSTOWN B City of Kingsley KY 40205,"160 - Special outside fire, other",0,100,100,100,0
10769,4/17/2016,1818 W GAULBERT NA City of Louisville KY 40210,111 - Building fire,1500,10000,11500,10000,-1500
10777,4/17/2016,1704 BARDSTOWN B City of Kingsley KY 40205,"160 - Special outside fire, other",0,100,100,100,0
10769,4/17/2016,1818 W GAULBERT NA City of Louisville KY 40210,111 - Building fire,1500,10000,11500,10000,-1500
10769,4/17/2016,1818 W GAULBERT NA City of Louisville KY 40210,111 - Building fire,1500,10000,11500,10000,-1500
10777,4/17/2016,1704 BARDSTOWN B City of Kingsley KY 40205,"160 - Special outside fire, other",0,100,100,100,0
10969,4/19/2016,RIVER PARK City of Louisville KY 40211,131 - Passenger vehicle fire,0,5000,5000,15000,10000
10969,4/19/2016,RIVER PARK City of Louisville KY 40211,131 - Passenger vehicle fire,0,5000,5000,15000,10000
10969,4/19/2016,RIVER PARK City of Louisville KY 40211,131 - Passenger vehicle fire,0,5000,5000,15000,10000
11120,4/20/2016,S 42ND City of Louisville KY 40211,111 - Building fire,1000,1000,2000,1000,-1000
11188,4/20/2016,1423 W ORMSBY n/a City of Louisville KY 40210,"123 - Fire in portable building, fixed location",0,50,50,50,0
11120,4/20/2016,S 42ND City of Louisville KY 40211,111 - Building fire,1000,1000,2000,1000,-1000
11188,4/20/2016,1423 W ORMSBY n/a City of Louisville KY 40210,"123 - Fire in portable building, fixed location",0,50,50,50,0
11120,4/20/2016,S 42ND City of Louisville KY 40211,111 - Building fire,1000,1000,2000,1000,-1000
11188,4/20/2016,1423 W ORMSBY n/a City of Louisville KY 40210,"123 - Fire in portable building, fixed location",0,50,50,50,0
11648,4/25/2016,I 71 South City of Beechwood Village KY 40207,131 - Passenger vehicle fire,500,8000,8500,8000,-500
11648,4/25/2016,I 71 South City of Beechwood Village KY 40207,131 - Passenger vehicle fire,500,8000,8500,8000,-500
11648,4/25/2016,I 71 South City of Beechwood Village KY 40207,131 - Passenger vehicle fire,500,8000,8500,8000,-500
11814,4/26/2016,337 S PETERSON n/a City of Louisville KY 40206,111 - Building fire,70000,15000,85000,285520,200520
11771,4/26/2016,729 S 39TH na City of Louisville KY 40211,131 - Passenger vehicle fire,0,4000,4000,4000,0
11814,4/26/2016,337 S PETERSON n/a City of Louisville KY 40206,111 - Building fire,70000,15000,85000,285520,200520
11771,4/26/2016,729 S 39TH na City of Louisville KY 40211,131 - Passenger vehicle fire,0,4000,4000,4000,0
11814,4/26/2016,337 S PETERSON n/a City of Louisville KY 40206,111 - Building fire,70000,15000,85000,285520,200520
11771,4/26/2016,729 S 39TH na City of Louisville KY 40211,131 - Passenger vehicle fire,0,4000,4000,4000,0
11903,4/27/2016,2705 TAYLOR n/a City of Louisville KY 40208,111 - Building fire,2000,2000,4000,2000,-2000
11903,4/27/2016,2705 TAYLOR n/a City of Louisville KY 40208,111 - Building fire,2000,2000,4000,2000,-2000
11903,4/27/2016,2705 TAYLOR n/a City of Louisville KY 40208,111 - Building fire,2000,2000,4000,2000,-2000
12046,4/28/2016,1605 ALGONQUIN N/A City of Louisville KY 40210,111 - Building fire,350,0,350,NULL,NULL
12046,4/28/2016,1605 ALGONQUIN N/A City of Louisville KY 40210,111 - Building fire,350,0,350,NULL,NULL
12046,4/28/2016,1605 ALGONQUIN N/A City of Louisville KY 40210,111 - Building fire,350,0,350,NULL,NULL
12155,4/29/2016,3601 GEORGETOWN na City of Louisville KY 40215,111 - Building fire,0,80000,80000,80000,0
12155,4/29/2016,3601 GEORGETOWN na City of Louisville KY 40215,111 - Building fire,0,80000,80000,80000,0
12155,4/29/2016,3601 GEORGETOWN na City of Louisville KY 40215,111 - Building fire,0,80000,80000,80000,0
12279,5/1/2016,3315 PALMER N/A City of Louisville KY 40218,111 - Building fire,50,500,550,142690,142140
12279,5/1/2016,3315 PALMER N/A City of Louisville KY 40218,111 - Building fire,50,500,550,142690,142140
12279,5/1/2016,3315 PALMER N/A City of Louisville KY 40218,111 - Building fire,50,500,550,142690,142140
12479,5/2/2016,1719 PATTON B City of Louisville KY 40210,"113 - Cooking fire, confined to container",500,1000,1500,1000,-500
12479,5/2/2016,1719 PATTON B City of Louisville KY 40210,"113 - Cooking fire, confined to container",500,1000,1500,1000,-500
12479,5/2/2016,1719 PATTON B City of Louisville KY 40210,"113 - Cooking fire, confined to container",500,1000,1500,1000,-500
12534,5/3/2016,N 29TH City of Louisville KY 40212,134 - Water vehicle fire,1000,15000,16000,15000,-1000
12552,5/3/2016,415 E MUHAMMAD ALI 1612 City of Louisville KY 40202,111 - Building fire,100,500,600,500,-100
12552,5/3/2016,415 E MUHAMMAD ALI 1612 City of Louisville KY 40202,111 - Building fire,100,500,600,500,-100
12534,5/3/2016,N 29TH City of Louisville KY 40212,134 - Water vehicle fire,1000,15000,16000,15000,-1000
12552,5/3/2016,415 E MUHAMMAD ALI 1612 City of Louisville KY 40202,111 - Building fire,100,500,600,500,-100
12534,5/3/2016,N 29TH City of Louisville KY 40212,134 - Water vehicle fire,1000,15000,16000,15000,-1000
12634,5/4/2016,3825 S 38TH N/A City of Louisville KY 40212,111 - Building fire,0,100,100,86320,86220
12597,5/4/2016,136 E SOUTHLAND n/a City of Louisville KY 40214,131 - Passenger vehicle fire,1000,3000,4000,3000,-1000
12634,5/4/2016,3825 S 38TH N/A City of Louisville KY 40212,111 - Building fire,0,100,100,86320,86220
12597,5/4/2016,136 E SOUTHLAND n/a City of Louisville KY 40214,131 - Passenger vehicle fire,1000,3000,4000,3000,-1000
12597,5/4/2016,136 E SOUTHLAND n/a City of Louisville KY 40214,131 - Passenger vehicle fire,1000,3000,4000,3000,-1000
12634,5/4/2016,3825 S 38TH N/A City of Louisville KY 40212,111 - Building fire,0,100,100,86320,86220
12829,5/6/2016,1729 BELMAR n/a City of Audubon Park KY 40213,111 - Building fire,50000,120000,170000,120000,-50000
12836,5/6/2016,3632 VERMONT na City of Louisville KY 40211,111 - Building fire,500,29200,29700,29200,-500
12878,5/6/2016,120 W BROADWAY basement City of Louisville KY 40202,111 - Building fire,50,1200,1250,2000,750
12878,5/6/2016,120 W BROADWAY basement City of Louisville KY 40202,111 - Building fire,50,1200,1250,2000,750
12829,5/6/2016,1729 BELMAR n/a City of Audubon Park KY 40213,111 - Building fire,50000,120000,170000,120000,-50000
12836,5/6/2016,3632 VERMONT na City of Louisville KY 40211,111 - Building fire,500,29200,29700,29200,-500
12878,5/6/2016,120 W BROADWAY basement City of Louisville KY 40202,111 - Building fire,50,1200,1250,2000,750
12836,5/6/2016,3632 VERMONT na City of Louisville KY 40211,111 - Building fire,500,29200,29700,29200,-500
12829,5/6/2016,1729 BELMAR n/a City of Audubon Park KY 40213,111 - Building fire,50000,120000,170000,120000,-50000
12994,5/7/2016,S 22ND City of Louisville KY 40211,131 - Passenger vehicle fire,0,5000,5000,10000,5000
12994,5/7/2016,S 22ND City of Louisville KY 40211,131 - Passenger vehicle fire,0,5000,5000,10000,5000
12994,5/7/2016,S 22ND City of Louisville KY 40211,131 - Passenger vehicle fire,0,5000,5000,10000,5000
13064,5/8/2016,GOLDSMITH City of Kingsley KY 40205,131 - Passenger vehicle fire,0,500,500,3000,2500
13064,5/8/2016,GOLDSMITH City of Kingsley KY 40205,131 - Passenger vehicle fire,0,500,500,3000,2500
13064,5/8/2016,GOLDSMITH City of Kingsley KY 40205,131 - Passenger vehicle fire,0,500,500,3000,2500
13124,5/9/2016,619 S 19TH 0 City of Louisville KY 40203,111 - Building fire,100,100,200,100,-100
13133,5/9/2016,TAYLOR City of Louisville KY 40208,131 - Passenger vehicle fire,0,1000,1000,1000,0
13163,5/9/2016,1435 S 9TH n/a City of Louisville KY 40208,111 - Building fire,5000,7000,12000,14000,2000
13188,5/9/2016,780 LOGAN NA City of Louisville KY 40203,131 - Passenger vehicle fire,0,5000,5000,5000,0
13188,5/9/2016,780 LOGAN NA City of Louisville KY 40203,131 - Passenger vehicle fire,0,5000,5000,5000,0
13163,5/9/2016,1435 S 9TH n/a City of Louisville KY 40208,111 - Building fire,5000,7000,12000,14000,2000
13133,5/9/2016,TAYLOR City of Louisville KY 40208,131 - Passenger vehicle fire,0,1000,1000,1000,0
13124,5/9/2016,619 S 19TH 0 City of Louisville KY 40203,111 - Building fire,100,100,200,100,-100
13188,5/9/2016,780 LOGAN NA City of Louisville KY 40203,131 - Passenger vehicle fire,0,5000,5000,5000,0
13163,5/9/2016,1435 S 9TH n/a City of Louisville KY 40208,111 - Building fire,5000,7000,12000,14000,2000
13133,5/9/2016,TAYLOR City of Louisville KY 40208,131 - Passenger vehicle fire,0,1000,1000,1000,0
13124,5/9/2016,619 S 19TH 0 City of Louisville KY 40203,111 - Building fire,100,100,200,100,-100
13475,5/12/2016,2718 W CHESTNUT N/A City of Louisville KY 40211,131 - Passenger vehicle fire,0,10000,10000,10000,0
13551,5/12/2016,1200 S 2ND 11 City of Louisville KY 40203,"113 - Cooking fire, confined to container",500,500,1000,500,-500
13551,5/12/2016,1200 S 2ND 11 City of Louisville KY 40203,"113 - Cooking fire, confined to container",500,500,1000,500,-500
13475,5/12/2016,2718 W CHESTNUT N/A City of Louisville KY 40211,131 - Passenger vehicle fire,0,10000,10000,10000,0
13551,5/12/2016,1200 S 2ND 11 City of Louisville KY 40203,"113 - Cooking fire, confined to container",500,500,1000,500,-500
13475,5/12/2016,2718 W CHESTNUT N/A City of Louisville KY 40211,131 - Passenger vehicle fire,0,10000,10000,10000,0
13674,5/13/2016,1225 S 1ST 4 City of Louisville KY 40203,111 - Building fire,5000,10000,15000,171600,156600
13674,5/13/2016,1225 S 1ST 4 City of Louisville KY 40203,111 - Building fire,5000,10000,15000,171600,156600
13674,5/13/2016,1225 S 1ST 4 City of Louisville KY 40203,111 - Building fire,5000,10000,15000,171600,156600
13688,5/14/2016,1610 WILLIAM E SUMMERS III 100 City of Louisville KY 40211,111 - Building fire,2000,15000,17000,300000,283000
13750,5/14/2016,4500 S 3RD n/a City of Louisville KY 40214,131 - Passenger vehicle fire,0,1500,1500,2200,700
13750,5/14/2016,4500 S 3RD n/a City of Louisville KY 40214,131 - Passenger vehicle fire,0,1500,1500,2200,700
13688,5/14/2016,1610 WILLIAM E SUMMERS III 100 City of Louisville KY 40211,111 - Building fire,2000,15000,17000,300000,283000
13750,5/14/2016,4500 S 3RD n/a City of Louisville KY 40214,131 - Passenger vehicle fire,0,1500,1500,2200,700
13688,5/14/2016,1610 WILLIAM E SUMMERS III 100 City of Louisville KY 40211,111 - Building fire,2000,15000,17000,300000,283000
13846,5/15/2016,303 N 26TH N/A City of Louisville KY 40212,111 - Building fire,0,4000,4000,21490,17490
13846,5/15/2016,301 N 26TH N/A City of Louisville KY 40212,111 - Building fire,0,41710,41710,41710,0
13819,5/15/2016,S 18TH City of Louisville KY 40203,131 - Passenger vehicle fire,0,6000,6000,6000,0
13816,5/15/2016,7415 JUDY 6 City of Louisville KY 40214,111 - Building fire,2000,15000,17000,1167000,1150000
13819,5/15/2016,S 18TH City of Louisville KY 40203,131 - Passenger vehicle fire,0,6000,6000,6000,0
13816,5/15/2016,7415 JUDY 6 City of Louisville KY 40214,111 - Building fire,2000,15000,17000,1167000,1150000
13846,5/15/2016,303 N 26TH N/A City of Louisville KY 40212,111 - Building fire,0,4000,4000,21490,17490
13816,5/15/2016,7415 JUDY 6 City of Louisville KY 40214,111 - Building fire,2000,15000,17000,1167000,1150000
13819,5/15/2016,S 18TH City of Louisville KY 40203,131 - Passenger vehicle fire,0,6000,6000,6000,0
13846,5/15/2016,301 N 26TH N/A City of Louisville KY 40212,111 - Building fire,0,41710,41710,41710,0
13846,5/15/2016,301 N 26TH N/A City of Louisville KY 40212,111 - Building fire,0,41710,41710,41710,0
13846,5/15/2016,303 N 26TH N/A City of Louisville KY 40212,111 - Building fire,0,4000,4000,21490,17490
13969,5/17/2016,I 64 East City of Louisville KY 40203,131 - Passenger vehicle fire,0,500,500,5000,4500
13969,5/17/2016,I 64 East City of Louisville KY 40203,131 - Passenger vehicle fire,0,500,500,5000,4500
13969,5/17/2016,I 64 East City of Louisville KY 40203,131 - Passenger vehicle fire,0,500,500,5000,4500
14248,5/20/2016,647 N 24TH N/A City of Louisville KY 40212,111 - Building fire,0,10000,10000,10000,0
14267,5/20/2016,3008 TAYLOR backyard City of Louisville KY 40208,"118 - Trash or rubbish fire, contained",0,100,100,28270,28170
14328,5/20/2016,3914 PFLANZ N/A City of Louisville KY 40212,111 - Building fire,1000,1000,2000,33950,31950
14248,5/20/2016,649 N 24TH N/A City of Louisville KY 40212,111 - Building fire,500,2000,2500,30830,28330
14248,5/20/2016,645 N 24TH N/A City of Louisville KY 40212,111 - Building fire,0,1000,1000,22760,21760
14248,5/20/2016,2322 NORTHWESTERN na City of Louisville KY 40212,111 - Building fire,1000,1000,2000,37040,35040
14248,5/20/2016,2322 NORTHWESTERN na City of Louisville KY 40212,111 - Building fire,1000,1000,2000,37040,35040
14248,5/20/2016,2322 NORTHWESTERN na City of Louisville KY 40212,111 - Building fire,1000,1000,2000,37040,35040
14248,5/20/2016,645 N 24TH N/A City of Louisville KY 40212,111 - Building fire,0,1000,1000,22760,21760
14248,5/20/2016,649 N 24TH N/A City of Louisville KY 40212,111 - Building fire,500,2000,2500,30830,28330
14328,5/20/2016,3914 PFLANZ N/A City of Louisville KY 40212,111 - Building fire,1000,1000,2000,33950,31950
14267,5/20/2016,3008 TAYLOR backyard City of Louisville KY 40208,"118 - Trash or rubbish fire, contained",0,100,100,28270,28170
14248,5/20/2016,647 N 24TH N/A City of Louisville KY 40212,111 - Building fire,0,10000,10000,10000,0
14328,5/20/2016,3914 PFLANZ N/A City of Louisville KY 40212,111 - Building fire,1000,1000,2000,33950,31950
14248,5/20/2016,2322 NORTHWESTERN na City of Louisville KY 40212,111 - Building fire,1000,1000,2000,37040,35040
14248,5/20/2016,645 N 24TH N/A City of Louisville KY 40212,111 - Building fire,0,1000,1000,22760,21760
14248,5/20/2016,649 N 24TH N/A City of Louisville KY 40212,111 - Building fire,500,2000,2500,30830,28330
14267,5/20/2016,3008 TAYLOR backyard City of Louisville KY 40208,"118 - Trash or rubbish fire, contained",0,100,100,28270,28170
14248,5/20/2016,647 N 24TH N/A City of Louisville KY 40212,111 - Building fire,0,10000,10000,10000,0
14700,5/23/2016,1631 W MARKET NA City of Louisville KY 40203,162 - Outside equipment fire,100,0,100,0,-100
14696,5/23/2016,1507 W MARKET n/a City of Louisville KY 40203,111 - Building fire,0,20000,20000,40000,20000
14685,5/23/2016,1210 SALE backyard City of Louisville KY 40215,161 - Outside storage fire,0,50,50,2000,1950
14680,5/23/2016,1210 CENTRAL kitchen City of Louisville KY 40208,"113 - Cooking fire, confined to container",0,50,50,52000,51950
14700,5/23/2016,1631 W MARKET NA City of Louisville KY 40203,162 - Outside equipment fire,100,0,100,0,-100
14696,5/23/2016,1507 W MARKET n/a City of Louisville KY 40203,111 - Building fire,0,20000,20000,40000,20000
14685,5/23/2016,1210 SALE backyard City of Louisville KY 40215,161 - Outside storage fire,0,50,50,2000,1950
14680,5/23/2016,1210 CENTRAL kitchen City of Louisville KY 40208,"113 - Cooking fire, confined to container",0,50,50,52000,51950
14700,5/23/2016,1631 W MARKET NA City of Louisville KY 40203,162 - Outside equipment fire,100,0,100,0,-100
14696,5/23/2016,1507 W MARKET n/a City of Louisville KY 40203,111 - Building fire,0,20000,20000,40000,20000
14685,5/23/2016,1210 SALE backyard City of Louisville KY 40215,161 - Outside storage fire,0,50,50,2000,1950
14680,5/23/2016,1210 CENTRAL kitchen City of Louisville KY 40208,"113 - Cooking fire, confined to container",0,50,50,52000,51950
14850,5/25/2016,2414 MONTGOMERY none City of Louisville KY 40212,111 - Building fire,10000,24210,34210,24210,-10000
14850,5/25/2016,2414 MONTGOMERY none City of Louisville KY 40212,111 - Building fire,10000,24210,34210,24210,-10000
14850,5/25/2016,2414 MONTGOMERY none City of Louisville KY 40212,111 - Building fire,10000,24210,34210,24210,-10000
14965,5/26/2016,S 32ND City of Louisville KY 40211,111 - Building fire,0,1000,1000,209660,208660
14964,5/26/2016,3762 UNION N/A City of Audubon Park KY 40213,111 - Building fire,10000,40000,50000,73120,23120
15093,5/26/2016,S 44TH City of Louisville KY 40212,131 - Passenger vehicle fire,0,5000,5000,5000,0
14965,5/26/2016,S 32ND City of Louisville KY 40211,111 - Building fire,0,1000,1000,209660,208660
14964,5/26/2016,3762 UNION N/A City of Audubon Park KY 40213,111 - Building fire,10000,40000,50000,73120,23120
14964,5/26/2016,3762 UNION N/A City of Audubon Park KY 40213,111 - Building fire,10000,40000,50000,73120,23120
14965,5/26/2016,S 32ND City of Louisville KY 40211,111 - Building fire,0,1000,1000,209660,208660
15093,5/26/2016,S 44TH City of Louisville KY 40212,131 - Passenger vehicle fire,0,5000,5000,5000,0
15093,5/26/2016,S 44TH City of Louisville KY 40212,131 - Passenger vehicle fire,0,5000,5000,5000,0
15178,5/27/2016,2323 ROWAN NA City of Louisville KY 40212,111 - Building fire,0,22990,22990,22990,0
15178,5/27/2016,2325 ROWAN NA City of Louisville KY 40212,111 - Building fire,0,1000,1000,20850,19850
15178,5/27/2016,2323 ROWAN NA City of Louisville KY 40212,111 - Building fire,0,22990,22990,22990,0
15178,5/27/2016,2325 ROWAN NA City of Louisville KY 40212,111 - Building fire,0,1000,1000,20850,19850
15178,5/27/2016,2323 ROWAN NA City of Louisville KY 40212,111 - Building fire,0,22990,22990,22990,0
15178,5/27/2016,2325 ROWAN NA City of Louisville KY 40212,111 - Building fire,0,1000,1000,20850,19850
15300,5/28/2016,4519 S 3RD 1 City of Louisville KY 40214,111 - Building fire,0,500,500,75000,74500
15300,5/28/2016,4519 S 3RD 1 City of Louisville KY 40214,111 - Building fire,0,500,500,75000,74500
15300,5/28/2016,4519 S 3RD 1 City of Louisville KY 40214,111 - Building fire,0,500,500,75000,74500
15394,5/29/2016,1003 E BRECKINRIDGE 2 City of Louisville KY 40204,111 - Building fire,0,100,100,100,0
15394,5/29/2016,1003 E BRECKINRIDGE 2 City of Louisville KY 40204,111 - Building fire,0,100,100,100,0
15394,5/29/2016,1003 E BRECKINRIDGE 2 City of Louisville KY 40204,111 - Building fire,0,100,100,100,0
15468,5/30/2016,2002 PAYNE na City of Louisville KY 40206,131 - Passenger vehicle fire,0,3000,3000,10000,7000
15494,5/30/2016,2204 W CHESTNUT n/a City of Louisville KY 40211,111 - Building fire,2500,15000,17500,62670,45170
15512,5/30/2016,I 71 South City of Beechwood Village KY 40207,131 - Passenger vehicle fire,0,8000,8000,8000,0
15539,5/30/2016,DIXIE City of Louisville KY 40210,131 - Passenger vehicle fire,500,3000,3500,3000,-500
15544,5/30/2016,1825 BURWELL n/a City of Louisville KY 40210,131 - Passenger vehicle fire,0,5000,5000,5000,0
15544,5/30/2016,1825 BURWELL n/a City of Louisville KY 40210,131 - Passenger vehicle fire,0,5000,5000,5000,0
15539,5/30/2016,DIXIE City of Louisville KY 40210,131 - Passenger vehicle fire,500,3000,3500,3000,-500
15512,5/30/2016,I 71 South City of Beechwood Village KY 40207,131 - Passenger vehicle fire,0,8000,8000,8000,0
15494,5/30/2016,2204 W CHESTNUT n/a City of Louisville KY 40211,111 - Building fire,2500,15000,17500,62670,45170
15468,5/30/2016,2002 PAYNE na City of Louisville KY 40206,131 - Passenger vehicle fire,0,3000,3000,10000,7000
15544,5/30/2016,1825 BURWELL n/a City of Louisville KY 40210,131 - Passenger vehicle fire,0,5000,5000,5000,0
15539,5/30/2016,DIXIE City of Louisville KY 40210,131 - Passenger vehicle fire,500,3000,3500,3000,-500
15512,5/30/2016,I 71 South City of Beechwood Village KY 40207,131 - Passenger vehicle fire,0,8000,8000,8000,0
15494,5/30/2016,2204 W CHESTNUT n/a City of Louisville KY 40211,111 - Building fire,2500,15000,17500,62670,45170
15468,5/30/2016,2002 PAYNE na City of Louisville KY 40206,131 - Passenger vehicle fire,0,3000,3000,10000,7000
15604,5/31/2016,3839 RIVER PARK n/a City of Louisville KY 40211,111 - Building fire,0,500,500,30860,30360
15604,5/31/2016,3837 RIVER PARK n/a City of Louisville KY 40211,111 - Building fire,2500,12000,14500,31300,16800
15604,5/31/2016,3839 RIVER PARK n/a City of Louisville KY 40211,111 - Building fire,0,500,500,30860,30360
15604,5/31/2016,3837 RIVER PARK n/a City of Louisville KY 40211,111 - Building fire,2500,12000,14500,31300,16800
15604,5/31/2016,3839 RIVER PARK n/a City of Louisville KY 40211,111 - Building fire,0,500,500,30860,30360
15604,5/31/2016,3837 RIVER PARK n/a City of Louisville KY 40211,111 - Building fire,2500,12000,14500,31300,16800
15662,6/1/2016,DURRETT City of Audubon Park KY 40213,131 - Passenger vehicle fire,0,7500,7500,7500,0
15712,6/1/2016,4201 LARKWOOD 2 City of Louisville KY 40212,111 - Building fire,3000,15000,18000,65000,47000
15712,6/1/2016,4201 LARKWOOD 2 City of Louisville KY 40212,111 - Building fire,3000,15000,18000,65000,47000
15662,6/1/2016,DURRETT City of Audubon Park KY 40213,131 - Passenger vehicle fire,0,7500,7500,7500,0
15712,6/1/2016,4201 LARKWOOD 2 City of Louisville KY 40212,111 - Building fire,3000,15000,18000,65000,47000
15662,6/1/2016,DURRETT City of Audubon Park KY 40213,131 - Passenger vehicle fire,0,7500,7500,7500,0
15866,6/2/2016,3309 HIKES n/a City of Cambridge KY 40220,111 - Building fire,10000,25000,35000,180000,145000
15866,6/2/2016,3309 HIKES n/a City of Cambridge KY 40220,111 - Building fire,10000,25000,35000,180000,145000
15866,6/2/2016,3309 HIKES n/a City of Cambridge KY 40220,111 - Building fire,10000,25000,35000,180000,145000
16037,6/4/2016,1653 HALE N/A City of Louisville KY 40210,111 - Building fire,5000,15000,20000,25000,5000
16137,6/4/2016,1030 DRESDEN na City of Louisville KY 40215,111 - Building fire,0,10000,10000,10000,0
16037,6/4/2016,1653 HALE N/A City of Louisville KY 40210,111 - Building fire,5000,15000,20000,25000,5000
16137,6/4/2016,1030 DRESDEN na City of Louisville KY 40215,111 - Building fire,0,10000,10000,10000,0
16137,6/4/2016,1030 DRESDEN na City of Louisville KY 40215,111 - Building fire,0,10000,10000,10000,0
16037,6/4/2016,1653 HALE N/A City of Louisville KY 40210,111 - Building fire,5000,15000,20000,25000,5000
16245,6/5/2016,4520 S 3RD n/a City of Louisville KY 40214,131 - Passenger vehicle fire,0,800,800,800,0
16245,6/5/2016,4520 S 3RD n/a City of Louisville KY 40214,131 - Passenger vehicle fire,0,800,800,800,0
16245,6/5/2016,4520 S 3RD n/a City of Louisville KY 40214,131 - Passenger vehicle fire,0,800,800,800,0
16448,6/7/2016,2307 W OAK N/A City of Louisville KY 40210,111 - Building fire,1000,100,1100,80000,78900
16448,6/7/2016,2307 W OAK N/A City of Louisville KY 40210,111 - Building fire,1000,100,1100,80000,78900
16448,6/7/2016,2307 W OAK N/A City of Louisville KY 40210,111 - Building fire,1000,100,1100,80000,78900
16463,6/8/2016,I 264 West City of Louisville KY 40211,131 - Passenger vehicle fire,1000,10000,11000,10000,-1000
16468,6/8/2016,N 35TH City of Louisville KY 40212,131 - Passenger vehicle fire,1000,6000,7000,6000,-1000
16473,6/8/2016,4213 W BROADWAY N/A City of Louisville KY 40211,136 - Self-propelled motor home or recreational vehicle,2000,8000,10000,8000,-2000
16484,6/8/2016,S 17TH City of Louisville KY 40210,131 - Passenger vehicle fire,0,2000,2000,2000,0
16497,6/8/2016,4502 SOUTHCREST na City of Louisville KY 40215,111 - Building fire,2000,10000,12000,10000,-2000
16557,6/8/2016,I 264 East n/a City of Cambridge KY 40220,131 - Passenger vehicle fire,100,6000,6100,6000,-100
16567,6/8/2016,1025 CALDWELL n/a City of Louisville KY 40204,111 - Building fire,0,15000,15000,170000,155000
16578,6/8/2016,405 W OAK n/a City of Louisville KY 40203,111 - Building fire,5000,0,5000,0,-5000
16473,6/8/2016,4215 W BROADWAY N/A City of Louisville KY 40211,111 - Building fire,0,1000,1000,102290,101290
16473,6/8/2016,4213 W BROADWAY N/A City of Louisville KY 40211,131 - Passenger vehicle fire,0,1000,1000,1323,323
16463,6/8/2016,I 264 West City of Louisville KY 40211,131 - Passenger vehicle fire,1000,10000,11000,10000,-1000
16578,6/8/2016,405 W OAK n/a City of Louisville KY 40203,111 - Building fire,5000,0,5000,0,-5000
16567,6/8/2016,1025 CALDWELL n/a City of Louisville KY 40204,111 - Building fire,0,15000,15000,170000,155000
16557,6/8/2016,I 264 East n/a City of Cambridge KY 40220,131 - Passenger vehicle fire,100,6000,6100,6000,-100
16473,6/8/2016,4213 W BROADWAY N/A City of Louisville KY 40211,131 - Passenger vehicle fire,0,1000,1000,1323,323
16473,6/8/2016,4215 W BROADWAY N/A City of Louisville KY 40211,111 - Building fire,0,1000,1000,102290,101290
16497,6/8/2016,4502 SOUTHCREST na City of Louisville KY 40215,111 - Building fire,2000,10000,12000,10000,-2000
16484,6/8/2016,S 17TH City of Louisville KY 40210,131 - Passenger vehicle fire,0,2000,2000,2000,0
16473,6/8/2016,4213 W BROADWAY N/A City of Louisville KY 40211,136 - Self-propelled motor home or recreational vehicle,2000,8000,10000,8000,-2000
16468,6/8/2016,N 35TH City of Louisville KY 40212,131 - Passenger vehicle fire,1000,6000,7000,6000,-1000
16473,6/8/2016,4213 W BROADWAY N/A City of Louisville KY 40211,131 - Passenger vehicle fire,0,1000,1000,1323,323
16473,6/8/2016,4215 W BROADWAY N/A City of Louisville KY 40211,111 - Building fire,0,1000,1000,102290,101290
16578,6/8/2016,405 W OAK n/a City of Louisville KY 40203,111 - Building fire,5000,0,5000,0,-5000
16567,6/8/2016,1025 CALDWELL n/a City of Louisville KY 40204,111 - Building fire,0,15000,15000,170000,155000
16557,6/8/2016,I 264 East n/a City of Cambridge KY 40220,131 - Passenger vehicle fire,100,6000,6100,6000,-100
16497,6/8/2016,4502 SOUTHCREST na City of Louisville KY 40215,111 - Building fire,2000,10000,12000,10000,-2000
16484,6/8/2016,S 17TH City of Louisville KY 40210,131 - Passenger vehicle fire,0,2000,2000,2000,0
16473,6/8/2016,4213 W BROADWAY N/A City of Louisville KY 40211,136 - Self-propelled motor home or recreational vehicle,2000,8000,10000,8000,-2000
16468,6/8/2016,N 35TH City of Louisville KY 40212,131 - Passenger vehicle fire,1000,6000,7000,6000,-1000
16463,6/8/2016,I 264 West City of Louisville KY 40211,131 - Passenger vehicle fire,1000,10000,11000,10000,-1000
16709,6/9/2016,1824 DIXDALE N/A City of Louisville KY 40210,"113 - Cooking fire, confined to container",1000,800,1800,90000,88200
