Reporting Area,MMWR Year,MMWR Week,"Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Current week","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Current week, flag ","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Previous 52 weeks Max†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Previous 52 weeks Max†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2019†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2019†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2018†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2018†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Current week","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Current week, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Previous 52 weeks Max†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Previous 52 weeks Max†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2019†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2019†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2018†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2018†, flag",Location 1,Location 2
WEST SOUTH CENTRAL,2019,7,,-,9,,2,,5,,,-,11,,,-,12,,,WEST SOUTH CENTRAL
MOUNTAIN,2019,7,,-,11,,,-,4,,1,,4,,6,,10,,,MOUNTAIN
PACIFIC,2019,7,,-,48,,7,,16,,,-,14,,7,,6,,,PACIFIC
US TERRITORIES,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
NON-US RESIDENTS,2019,7,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
TOTAL,2019,7,,-,111,,27,,56,,2,,41,,38,,57,,,TOTAL
NORTH DAKOTA,2019,7,,-,1,,,-,,-,,-,2,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MONTANA,2019,7,,-,2,,,-,,-,,-,3,,,-,1,,"MONTANA
(47.062617, -109.430168)",
HAWAII,2019,7,,-,3,,,-,1,,,-,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MICHIGAN,2019,7,,-,4,,1,,1,,,-,2,,2,,,-,"MICHIGAN
(44.66399, -84.711206)",
OKLAHOMA,2019,7,,-,3,,,-,,-,,-,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
GEORGIA,2019,7,,-,3,,2,,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MISSOURI,2019,7,,-,3,,,-,,-,,-,3,,3,,2,,"MISSOURI
(38.636168, -92.566292)",
TEXAS,2019,7,,-,8,,1,,3,,,-,11,,,-,8,,"TEXAS
(31.827233, -99.423022)",
SOUTH CAROLINA,2019,7,,-,3,,4,,,-,1,,2,,3,,2,,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEW HAMPSHIRE,2019,7,,-,2,,,-,1,,,-,3,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NORTHERN MARIANA ISLANDS,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
DELAWARE,2019,7,,-,1,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
GUAM,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
ALASKA,2019,7,,-,3,,,-,1,,,-,3,,,-,,-,"ALASKA
(64.836661, -147.738891)",
WEST VIRGINIA,2019,7,,-,0,,,-,,-,,-,2,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
U.S. VIRGIN ISLANDS,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
DISTRICT OF COLUMBIA,2019,7,,-,1,,,-,1,,,-,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ALABAMA,2019,7,,-,3,,1,,,-,,-,2,,3,,2,,"ALABAMA
(32.839182, -86.631125)",
NEW MEXICO,2019,7,,-,1,,,-,,-,,-,2,,,-,2,,"NEW MEXICO
(34.520396, -106.244402)",
KENTUCKY,2019,7,,-,1,,,-,,-,,-,4,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
PENNSYLVANIA,2019,7,,-,4,,1,,,-,,-,2,,3,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
MAINE,2019,7,,-,2,,,-,1,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
ILLINOIS,2019,7,,-,6,,,-,1,,,-,4,,3,,2,,"ILLINOIS
(40.477092, -88.993221)",
NEW JERSEY,2019,7,,-,5,,,-,2,,,-,5,,2,,2,,"NEW JERSEY
(40.104655, -74.386686)",
WISCONSIN,2019,7,,-,3,,,-,,-,,-,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
RHODE ISLAND,2019,7,,-,2,,,-,,-,,-,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
WASHINGTON,2019,7,,-,22,,5,,,-,,-,7,,6,,,-,"WASHINGTON
(47.517368, -120.467672)",
LOUISIANA,2019,7,,-,3,,1,,2,,,-,2,,,-,4,,"LOUISIANA
(31.2931, -92.463284)",
PUERTO RICO,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
TENNESSEE,2019,7,,-,2,,1,,1,,,-,2,,,-,2,,"TENNESSEE
(35.681402, -85.774444)",
IDAHO,2019,7,,N,,NC,,N,,N,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
COLORADO,2019,7,,-,6,,,-,3,,,-,3,,2,,5,,"COLORADO
(38.841772, -106.132562)",
OREGON,2019,7,,-,8,,1,,1,,,-,3,,,-,1,,"OREGON
(44.567912, -120.156945)",
NEBRASKA,2019,7,,-,1,,,-,1,,,-,4,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MARYLAND,2019,7,,-,5,,1,,4,,,-,4,,3,,2,,"MARYLAND
(39.290443, -76.612333)",
NORTH CAROLINA,2019,7,,-,4,,2,,,-,,-,3,,,-,3,,"NORTH CAROLINA
(35.47995, -79.180571)",
MISSISSIPPI,2019,7,,-,2,,,-,,-,,-,1,,,-,1,,"MISSISSIPPI
(32.738663, -89.537312)",
MASSACHUSETTS,2019,7,,-,8,,2,,,-,,-,2,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
CONNECTICUT,2019,7,,-,6,,,-,2,,,-,3,,3,,1,,"CONNECTICUT
(41.544654, -72.651713)",
MINNESOTA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NEVADA,2019,7,,-,1,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NEW YORK,2019,7,,-,7,,1,,3,,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
IOWA,2019,7,,N,,NC,,N,,N,,N,,NC,,N,,N,"IOWA
(42.46942, -93.815856)",
OHIO,2019,7,,-,5,,1,,,-,,-,2,,,-,1,,"OHIO
(40.056807, -82.405897)",
UTAH,2019,7,,-,4,,,-,1,,,-,1,,1,,,-,"UTAH
(39.359772, -111.584173)",
ARKANSAS,2019,7,,-,3,,,-,,-,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
FLORIDA,2019,7,,-,17,,,-,11,,,-,5,,,-,2,,"FLORIDA
(28.915325, -81.922409)",
VIRGINIA,2019,7,,-,6,,,-,,-,,-,4,,,-,2,,"VIRGINIA
(37.542699, -78.45822)",
CALIFORNIA,2019,7,,-,28,,1,,13,,,-,6,,1,,5,,"CALIFORNIA
(37.640735, -121.002435)",
INDIANA,2019,7,,-,2,,,-,,-,,-,1,,,-,1,,"INDIANA
(39.76845, -86.156212)",
ARIZONA,2019,7,,-,3,,,-,,-,1,,2,,3,,1,,"ARIZONA
(34.869712, -111.760902)",
SOUTH DAKOTA,2019,7,,-,1,,,-,1,,,-,1,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
WYOMING,2019,7,,-,0,,,-,,-,,-,1,,,-,1,,"WYOMING
(43.23558, -108.110518)",
VERMONT,2019,7,,-,1,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
KANSAS,2019,7,,-,3,,,-,,-,,-,2,,,-,3,,"KANSAS
(38.345528, -98.201847)",
US RESIDENTS,2019,8,1,,111,,36,,65,,1,,41,,46,,66,,,US RESIDENTS
NEW ENGLAND,2019,8,,-,15,,3,,4,,,-,4,,3,,2,,,NEW ENGLAND
MIDDDLE ATLANTIC,2019,8,,-,13,,4,,7,,,-,7,,6,,3,,,MIDDDLE ATLANTIC
NEW YORK CITY,2019,8,,-,4,,2,,2,,,-,3,,1,,1,,,NEW YORK CITY
EAST NORTH CENTRAL,2019,8,,-,11,,2,,2,,1,,7,,9,,7,,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,8,,-,5,,1,,3,,,-,4,,5,,6,,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,8,1,,20,,10,,20,,,-,8,,6,,13,,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,8,,-,5,,2,,1,,,-,4,,4,,5,,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,8,,-,9,,3,,5,,,-,11,,,-,13,,,WEST SOUTH CENTRAL
MOUNTAIN,2019,8,,-,11,,,-,4,,,-,4,,6,,11,,,MOUNTAIN
PACIFIC,2019,8,,-,48,,11,,19,,,-,14,,7,,6,,,PACIFIC
US TERRITORIES,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
AMERICAN SAMOA,2019,8,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA
NON-US RESIDENTS,2019,8,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
TOTAL,2019,8,1,,111,,36,,65,,1,,41,,46,,66,,,TOTAL
WEST VIRGINIA,2019,8,,-,0,,,-,,-,,-,2,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MAINE,2019,8,,-,2,,,-,1,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
MISSISSIPPI,2019,8,,-,2,,,-,,-,,-,1,,,-,1,,"MISSISSIPPI
(32.738663, -89.537312)",
LOUISIANA,2019,8,,-,3,,1,,2,,,-,2,,,-,4,,"LOUISIANA
(31.2931, -92.463284)",
HAWAII,2019,8,,-,3,,2,,2,,,-,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
IDAHO,2019,8,,N,,NC,,N,,N,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
GUAM,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NORTH DAKOTA,2019,8,,-,1,,,-,,-,,-,2,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
SOUTH CAROLINA,2019,8,,-,3,,4,,,-,,-,2,,3,,4,,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEW HAMPSHIRE,2019,8,,-,2,,,-,1,,,-,3,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MINNESOTA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
ALASKA,2019,8,,-,3,,,-,1,,,-,3,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MISSOURI,2019,8,,-,3,,,-,,-,,-,3,,3,,2,,"MISSOURI
(38.636168, -92.566292)",
ALABAMA,2019,8,,-,3,,1,,,-,,-,2,,3,,2,,"ALABAMA
(32.839182, -86.631125)",
INDIANA,2019,8,,-,2,,,-,,-,,-,1,,,-,1,,"INDIANA
(39.76845, -86.156212)",
NEBRASKA,2019,8,,-,0,,,-,1,,,-,4,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
SOUTH DAKOTA,2019,8,,-,1,,,-,2,,,-,1,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
GEORGIA,2019,8,1,,3,,3,,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
DELAWARE,2019,8,,-,1,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEW YORK,2019,8,,-,7,,1,,3,,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
WYOMING,2019,8,,-,0,,,-,,-,,-,1,,,-,1,,"WYOMING
(43.23558, -108.110518)",
VIRGINIA,2019,8,,-,6,,,-,,-,,-,4,,,-,2,,"VIRGINIA
(37.542699, -78.45822)",
FLORIDA,2019,8,,-,17,,,-,15,,,-,5,,,-,2,,"FLORIDA
(28.915325, -81.922409)",
TENNESSEE,2019,8,,-,2,,1,,1,,,-,2,,1,,2,,"TENNESSEE
(35.681402, -85.774444)",
OKLAHOMA,2019,8,,-,3,,,-,,-,,-,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
NORTH CAROLINA,2019,8,,-,4,,2,,,-,,-,3,,,-,3,,"NORTH CAROLINA
(35.47995, -79.180571)",
U.S. VIRGIN ISLANDS,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ARKANSAS,2019,8,,-,3,,,-,,-,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
CONNECTICUT,2019,8,,-,6,,,-,2,,,-,3,,3,,2,,"CONNECTICUT
(41.544654, -72.651713)",
GUAM,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MICHIGAN,2019,8,,-,4,,1,,1,,,-,2,,2,,1,,"MICHIGAN
(44.66399, -84.711206)",
NEVADA,2019,8,,-,1,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
TEXAS,2019,8,,-,8,,2,,3,,,-,11,,,-,9,,"TEXAS
(31.827233, -99.423022)",
MASSACHUSETTS,2019,8,,-,8,,2,,,-,,-,2,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
NORTHERN MARIANA ISLANDS,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
KENTUCKY,2019,8,,-,1,,,-,,-,,-,4,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
COLORADO,2019,8,,-,6,,,-,3,,,-,3,,2,,6,,"COLORADO
(38.841772, -106.132562)",
NEW MEXICO,2019,8,,-,1,,,-,,-,,-,2,,,-,2,,"NEW MEXICO
(34.520396, -106.244402)",
RHODE ISLAND,2019,8,,-,2,,1,,,-,,-,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
OHIO,2019,8,,-,5,,1,,,-,1,,2,,1,,3,,"OHIO
(40.056807, -82.405897)",
ILLINOIS,2019,8,,-,6,,,-,1,,,-,4,,5,,2,,"ILLINOIS
(40.477092, -88.993221)",
OREGON,2019,8,,-,8,,1,,2,,,-,3,,,-,1,,"OREGON
(44.567912, -120.156945)",
WISCONSIN,2019,8,,-,3,,,-,,-,,-,2,,1,,,-,"WISCONSIN
(44.395526, -89.834513)",
UTAH,2019,8,,-,4,,,-,1,,,-,1,,1,,,-,"UTAH
(39.359772, -111.584173)",
MARYLAND,2019,8,,-,5,,1,,4,,,-,4,,3,,2,,"MARYLAND
(39.290443, -76.612333)",
CALIFORNIA,2019,8,,-,28,,2,,14,,,-,6,,2,,5,,"CALIFORNIA
(37.640735, -121.002435)",
ARIZONA,2019,8,,-,3,,,-,,-,,-,2,,3,,1,,"ARIZONA
(34.869712, -111.760902)",
VERMONT,2019,8,,-,1,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
WASHINGTON,2019,8,,-,22,,6,,,-,,-,7,,5,,,-,"WASHINGTON
(47.517368, -120.467672)",
DISTRICT OF COLUMBIA,2019,8,,-,1,,,-,1,,,-,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
KANSAS,2019,8,,-,3,,1,,,-,,-,2,,2,,3,,"KANSAS
(38.345528, -98.201847)",
IOWA,2019,8,,N,,NC,,N,,N,,N,,NC,,N,,N,"IOWA
(42.46942, -93.815856)",
PUERTO RICO,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MONTANA,2019,8,,-,2,,,-,,-,,-,3,,,-,1,,"MONTANA
(47.062617, -109.430168)",
PENNSYLVANIA,2019,8,,-,4,,1,,,-,,-,2,,3,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW JERSEY,2019,8,,-,5,,,-,2,,,-,5,,2,,2,,"NEW JERSEY
(40.104655, -74.386686)",
US RESIDENTS,2019,9,2,,110,,42,,75,,3,,41,,62,,80,,,US RESIDENTS
NEW ENGLAND,2019,9,,-,15,,4,,4,,1,,4,,4,,2,,,NEW ENGLAND
MIDDLE ATLANTIC,2019,9,1,,13,,5,,7,,,-,7,,12,,3,,MIDDLE ATLANTIC,
NEW YORK CITY,2019,9,,-,4,,2,,2,,,-,3,,7,,1,,,NEW YORK CITY
EAST NORTH CENTRAL,2019,9,,-,11,,4,,3,,,-,7,,13,,10,,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,9,1,,5,,2,,3,,,-,4,,5,,7,,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,9,,-,20,,10,,24,,,-,8,,7,,16,,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,9,,-,5,,2,,1,,,-,4,,4,,6,,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,9,,-,9,,3,,7,,,-,11,,,-,17,,,WEST SOUTH CENTRAL
MOUNTAIN,2019,9,,-,11,,,-,4,,2,,4,,9,,11,,,MOUNTAIN
PACIFIC,2019,9,,-,48,,12,,22,,,-,14,,8,,8,,,PACIFIC
US TERRITORIES,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
AMERICAN SAMOA,2019,9,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA
NON-US RESIDENTS,2019,9,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
TOTAL,2019,9,2,,110,,42,,75,,3,,41,,62,,80,,,TOTAL
ALASKA,2019,9,,-,3,,,-,1,,,-,3,,,-,,-,"ALASKA
(64.836661, -147.738891)",
GEORGIA,2019,9,,-,3,,3,,1,,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MINNESOTA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NEW JERSEY,2019,9,,-,5,,,-,2,,,-,5,,2,,2,,"NEW JERSEY
(40.104655, -74.386686)",
NORTHERN MARIANA ISLANDS,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
IOWA,2019,9,,N,,NC,,N,,N,,N,,NC,,N,,N,"IOWA
(42.46942, -93.815856)",
UTAH,2019,9,,-,4,,,-,1,,,-,1,,1,,,-,"UTAH
(39.359772, -111.584173)",
PUERTO RICO,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEW MEXICO,2019,9,,-,1,,,-,,-,,-,2,,,-,2,,"NEW MEXICO
(34.520396, -106.244402)",
CALIFORNIA,2019,9,,-,28,,3,,17,,,-,7,,3,,7,,"CALIFORNIA
(37.640735, -121.002435)",
IDAHO,2019,9,,N,,NC,,N,,N,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
WISCONSIN,2019,9,,-,3,,,-,,-,,-,2,,2,,1,,"WISCONSIN
(44.395526, -89.834513)",
MARYLAND,2019,9,,-,5,,1,,4,,,-,4,,3,,2,,"MARYLAND
(39.290443, -76.612333)",
NEVADA,2019,9,,-,1,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
COLORADO,2019,9,,-,6,,,-,3,,,-,3,,2,,6,,"COLORADO
(38.841772, -106.132562)",
MASSACHUSETTS,2019,9,,-,8,,3,,,-,1,,2,,1,,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
MONTANA,2019,9,,-,2,,,-,,-,,-,3,,,-,1,,"MONTANA
(47.062617, -109.430168)",
RHODE ISLAND,2019,9,,-,2,,1,,,-,,-,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
KENTUCKY,2019,9,,-,1,,,-,,-,,-,4,,,-,1,,"KENTUCKY
(37.64591, -84.774043)",
OHIO,2019,9,,-,5,,1,,,-,,-,2,,1,,3,,"OHIO
(40.056807, -82.405897)",
WASHINGTON,2019,9,,-,22,,6,,,-,,-,7,,5,,,-,"WASHINGTON
(47.517368, -120.467672)",
PENNSYLVANIA,2019,9,,-,4,,1,,,-,,-,2,,3,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
NEBRASKA,2019,9,,-,0,,,-,1,,,-,4,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
CONNECTICUT,2019,9,,-,6,,,-,2,,,-,3,,3,,2,,"CONNECTICUT
(41.544654, -72.651713)",
NEW HAMPSHIRE,2019,9,,-,2,,,-,1,,,-,3,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NORTH CAROLINA,2019,9,,-,4,,2,,,-,,-,3,,1,,3,,"NORTH CAROLINA
(35.47995, -79.180571)",
WEST VIRGINIA,2019,9,,-,0,,,-,,-,,-,2,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
ILLINOIS,2019,9,,-,6,,1,,2,,,-,4,,8,,3,,"ILLINOIS
(40.477092, -88.993221)",
ALABAMA,2019,9,,-,3,,1,,,-,,-,2,,3,,2,,"ALABAMA
(32.839182, -86.631125)",
HAWAII,2019,9,,-,3,,2,,2,,,-,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
DELAWARE,2019,9,,-,1,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MAINE,2019,9,,-,2,,,-,1,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
ARIZONA,2019,9,,-,3,,,-,,-,1,,2,,5,,1,,"ARIZONA
(34.869712, -111.760902)",
NORTH DAKOTA,2019,9,,-,1,,,-,,-,,-,2,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MICHIGAN,2019,9,,-,4,,2,,1,,,-,2,,2,,1,,"MICHIGAN
(44.66399, -84.711206)",
SOUTH DAKOTA,2019,9,,-,1,,,-,2,,,-,1,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
WYOMING,2019,9,,-,0,,,-,,-,1,,1,,1,,1,,"WYOMING
(43.23558, -108.110518)",
U.S. VIRGIN ISLANDS,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW YORK,2019,9,1,,7,,2,,3,,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
LOUISIANA,2019,9,,-,3,,1,,3,,,-,2,,,-,4,,"LOUISIANA
(31.2931, -92.463284)",
VERMONT,2019,9,,-,1,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
TENNESSEE,2019,9,,-,2,,1,,1,,,-,2,,1,,2,,"TENNESSEE
(35.681402, -85.774444)",
SOUTH CAROLINA,2019,9,,-,3,,4,,1,,,-,2,,3,,4,,"SOUTH CAROLINA
(34.009286, -81.037094)",
DISTRICT OF COLUMBIA,2019,9,,-,1,,,-,1,,,-,1,,,-,1,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
VIRGINIA,2019,9,,-,6,,,-,,-,,-,4,,,-,2,,"VIRGINIA
(37.542699, -78.45822)",
KANSAS,2019,9,,-,3,,1,,,-,,-,2,,2,,3,,"KANSAS
(38.345528, -98.201847)",
MISSISSIPPI,2019,9,,-,2,,,-,,-,,-,1,,,-,1,,"MISSISSIPPI
(32.738663, -89.537312)",
FLORIDA,2019,9,,-,17,,,-,17,,,-,5,,,-,4,,"FLORIDA
(28.915325, -81.922409)",
ARKANSAS,2019,9,,-,3,,,-,,-,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
INDIANA,2019,9,,-,2,,,-,,-,,-,1,,,-,2,,"INDIANA
(39.76845, -86.156212)",
OREGON,2019,9,,-,8,,1,,2,,,-,3,,,-,1,,"OREGON
(44.567912, -120.156945)",
OKLAHOMA,2019,9,,-,3,,,-,,-,,-,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
GUAM,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MISSOURI,2019,9,1,,3,,1,,,-,,-,3,,3,,3,,"MISSOURI
(38.636168, -92.566292)",
TEXAS,2019,9,,-,8,,2,,4,,,-,11,,,-,13,,"TEXAS
(31.827233, -99.423022)",
US RESIDENTS,2019,10,3,,110,,46,,85,,5,,41,,71,,92,,,US RESIDENTS
NEW ENGLAND,2019,10,,-,15,,4,,6,,,-,4,,4,,2,,,NEW ENGLAND
MIDDLE ATLANTIC,2019,10,1,,13,,6,,8,,,-,7,,13,,3,,MIDDLE ATLANTIC,
NEW YORK CITY,2019,10,1,,4,,3,,2,,,-,3,,7,,1,,,NEW YORK CITY
EAST NORTH CENTRAL,2019,10,1,,11,,5,,4,,2,,7,,17,,12,,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,10,,-,5,,2,,4,,1,,4,,6,,7,,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,10,1,,20,,11,,26,,1,,8,,8,,18,,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,10,,-,5,,2,,1,,,-,4,,4,,6,,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,10,,-,9,,3,,9,,1,,11,,1,,18,,,WEST SOUTH CENTRAL
MOUNTAIN,2019,10,,-,11,,,-,4,,,-,4,,9,,14,,,MOUNTAIN
PACIFIC,2019,10,,-,48,,13,,23,,,-,14,,9,,12,,,PACIFIC
US TERRITORIES,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
AMERICAN SAMOA,2019,10,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA
NON-US RESIDENTS,2019,10,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
TOTAL,2019,10,3,,110,,46,,85,,5,,41,,71,,92,,,TOTAL
NEW YORK,2019,10,,-,7,,2,,3,,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
MICHIGAN,2019,10,,-,4,,2,,1,,,-,2,,3,,1,,"MICHIGAN
(44.66399, -84.711206)",
IOWA,2019,10,,N,,NC,,N,,N,,N,,NC,,N,,N,"IOWA
(42.46942, -93.815856)",
PENNSYLVANIA,2019,10,,-,4,,1,,,-,,-,2,,4,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
