EventDate,Activity,Site_Serve,the_geom,LONG,LAT
7/25/2017,Senior Presentation,NORC Senior Center,POINT (-73.94475516248711 40.63008727376921),-73.9447551625,40.6300872738
12/2/2015,Senior Presentation,Robert Couche Center,POINT (-73.76413626635387 40.672501700069894),-73.7641362664,40.6725017001
7/18/2017,Senior Presentation,Brooklyn Center for Rehabilitation & Health Care,POINT (-73.96459948647217 40.621794852469264),-73.9645994865,40.6217948525
6/12/2017,Other Theater,Moriah Adult Neighborhood Ctr,POINT (-73.93538131205472 40.853008193419605),-73.9353813121,40.8530081934
6/7/2017,Senior Presentation,Encore Community Senior Center,POINT (-73.98524546604493 40.761088104733645),-73.985245466,40.7610881047
6/7/2017,Senior Presentation,Unicare Adult daycare,POINT (-73.79143936758554 40.72584696207879),-73.7914393676,40.7258469621
6/8/2017,Other Theater,Maria Lawton Sr Ctr,POINT (-73.93518854168931 40.69471633564192),-73.9351885417,40.6947163356
6/1/2017,Other Theater,Service now for Adult Persons,POINT (-73.73406034714903 40.73749005723054),-73.7340603471,40.7374900572
6/1/2017,Senior Presentation,IPR/HE Corona Senior Center,POINT (-73.85824699152413 40.75085175638219),-73.8582469915,40.7508517564
6/26/2017,Senior Presentation,`Brookdale Senior Center,POINT (-73.96868451064388 40.629259121524605),-73.9686845106,40.6292591215
6/30/2017,Senior Presentation,JASA Senior Alliance Center,POINT (-73.95412548452573 40.57801712445702),-73.9541254845,40.5780171245
5/31/2017,Other Theater,Marble Hill Sr. Ctr,POINT (-73.90788453196687 40.876053211656135),-73.907884532,40.8760532117
5/31/2017,Senior Presentation,Sunnyside Community Center,POINT (-73.92590788556912 40.7451813725309),-73.9259078856,40.7451813725
5/24/2017,Other Theater,RAIN GUN Hill Neighborhood Ctr,POINT (-73.86705861641082 40.87486337584752),-73.8670586164,40.8748633758
5/23/2017,Other Theater,RAIN Inwood Neighborhood SR Center,POINT (-73.92312695296127 40.86582940716298),-73.923126953,40.8658294072
5/16/2017,Other Theater,SNAP Brookville Neighborhood Senior Center,POINT (-73.73274736577156 40.67438735528937),-73.7327473658,40.6743873553
5/25/2017,Senior Presentation,QCH Kew Gardens Senior Center,POINT (-73.83050374061919 40.71367768303418),-73.8305037406,40.713677683
5/25/2017,Other Theater,Stapleton Neighborhood Senior Center,POINT (-74.08283699241024 40.62311540928091),-74.0828369924,40.6231154093
5/23/2017,Senior Presentation,Good Companions Senior Center,POINT (-73.98323604055372 40.713257780605424),-73.9832360406,40.7132577806
5/1/2017,Senior Presentation,Freindship Senior Center,POINT (-73.78913482644411 40.70618473678249),-73.7891348264,40.7061847368
5/13/2017,Senior Presentation,P.S. 107 John W. Kimball,POINT (-73.85670643208603 40.847900759589955),-73.8567064321,40.8479007596
5/13/2017,Senior Presentation,P.S. 22 Thomas Jefferson,POINT (-73.98469011296073 40.774394532377464),-73.984690113,40.7743945324
5/11/2017,Senior Presentation,PS 78,POINT (-73.92981814290496 40.63040301093742),-73.9298181429,40.6304030109
5/10/2017,Senior Presentation,CCNS Catherine Sheridan Senior Center,POINT (-73.88370153752663 40.75153901063942),-73.8837015375,40.7515390106
5/3/2017,Senior Presentation,CCNS Ozone Park Senior Center,POINT (-73.83977579773824 40.686018186352136),-73.8397757977,40.6860181864
5/1/2017,Other Theater,Bay Neighborhood Sr  Ctr,POINT (-73.94066207859153 40.594122941884045),-73.9406620786,40.5941229419
5/1/2017,Senior Presentation,CCNS Woodhaven Senior Center,POINT (-73.85294486737091 40.69044661969565),-73.8529448674,40.6904466197
5/4/2017,Senior Presentation,Vandalia Neighborhood Center,POINT (-73.88675829034288 40.649790780639634),-73.8867582903,40.6497907806
5/17/2017,Other Theater,Woodhaven/Richman Hill Senior Center,POINT (-73.85294486737091 40.69044661969565),-73.8529448674,40.6904466197
4/21/2017,Senior Presentation,Woodside Senior Center,POINT (-73.91104587263024 40.75371525582195),-73.9110458726,40.7537152558
4/19/2017,Senior Presentation,Good Old Lower East Side Senior Program,POINT (-73.9795668504502 40.72730486101813),-73.9795668505,40.727304861
4/19/2017,Senior Presentation,Selfhelp Austin Street Senior Center,POINT (-73.84733364278132 40.722111187564515),-73.8473336428,40.7221111876
4/17/2017,Senior Presentation,Selfhelp Maspeth Senior Center,POINT (-73.8935542675574 40.72701044160923),-73.8935542676,40.7270104416
4/17/2017,Other Theater,CCBQ Hillcrest,POINT (-73.7946088165239 40.710062016164215),-73.7946088165,40.7100620162
4/17/2017,Other Theater,Hanac Angelo Petromelis Center,POINT (-73.84477091414193 40.786170217935826),-73.8447709141,40.7861702179
4/10/2017,GrandParents Day,Brookdale Hospital,POINT (-73.91158227208727 40.65415479201905),-73.9115822721,40.654154792
4/13/2017,GrandParents Day,Abe Stark Neighborhood Center,POINT (-73.89928869181476 40.64965970727004),-73.8992886918,40.6496597073
4/12/2017,GrandParents Day,Shore Hill Senior Center,POINT (-74.04024280032658 40.62208420850902),-74.0402428003,40.6220842085
4/13/2017,GrandParents Day,Sunset Park Neighborhood Senior Center,POINT (-74.00984386616942 40.64910227584044),-74.0098438662,40.6491022758
4/12/2017,GrandParents Day,NewYork-Presbyterian Weill Cornell Medical Center,POINT (-73.95524992439472 40.764140745876986),-73.9552499244,40.7641407459
4/12/2017,GrandParents Day,NewYork-Presbyterian Queens Hospital,POINT (-73.82615361688168 40.746808684678605),-73.8261536169,40.7468086847
4/11/2017,GrandParents Day,Bergen Beach Neighborhood Center,POINT (-73.8995627409386 40.618429737610185),-73.8995627409,40.6184297376
4/10/2017,GrandParents Day,United Senior Center,POINT (-74.01276546288592 40.64385121925386),-74.0127654629,40.6438512193
4/6/2017,Senior Presentation,Ridgewood Older Adult Center,POINT (-73.90002232289883 40.70118253534355),-73.9000223229,40.7011825353
4/4/2017,Senior Presentation,Philip Howard - NORC,POINT (-73.94475516248711 40.63008727376921),-73.9447551625,40.6300872738
3/28/2017,Senior Presentation,Florence E. Smith Senior Center,POINT (-73.86598614215004 40.75573295032175),-73.8659861422,40.7557329503
3/7/2017,Senior Presentation,Van Dyke Senior Center,POINT (-73.9033062804507 40.66497354795409),-73.9033062805,40.664973548
3/17/2017,Senior Presentation,Glenmore Senior Center,POINT (-73.90755968399738 40.67015918559978),-73.907559684,40.6701591856
3/28/2017,Senior Presentation,Tilden Senior Center,POINT (-73.90527651657071 40.66346281370733),-73.9052765166,40.6634628137
3/24/2017,Senior Presentation,Sephardic Multi Service Senior Center,POINT (-73.97165289224074 40.604249344019934),-73.9716528922,40.604249344
3/22/2017,Senior Presentation,DFTA Volunteer Resource Center,POINT (-74.00358410350701 40.713714575804616),-74.0035841035,40.7137145758
3/20/2017,Senior Presentation,Loisaida Cultural Center,POINT (-73.97753272731157 40.7250839745848),-73.9775327273,40.7250839746
3/16/2017,Senior Presentation,East Harlem Neighborhood Senior Center,POINT (-73.93903586490396 40.80169499532642),-73.9390358649,40.8016949953
3/9/2017,Senior Presentation,JCCSI Stapleton Neighborhood Senior Center,POINT (-74.08283699241024 40.62311540928091),-74.0828369924,40.6231154093
3/8/2017,Senior Presentation,Bellevue Hospital Geriatric Clinic,POINT (-73.97686039366236 40.7391644299589),-73.9768603937,40.73916443
3/7/2017,Senior Presentation,Carter Burden Luncheon Club and Senior Center,POINT (-73.9561957372999 40.76961137765822),-73.9561957373,40.7696113777
2/27/2017,Senior Presentation,CCNS The Bay Neighborhood Senior Center,POINT (-73.94082337176724 40.594957443324176),-73.9408233718,40.5949574433
2/21/2017,Senior Presentation,Marlboro Neighborhood Senior Center,POINT (-73.97846683935653 40.5920721569169),-73.9784668394,40.5920721569
2/17/2017,Senior Presentation,JASA Shorefront Senior Center,POINT (-73.95946195251963 40.57559821489626),-73.9594619525,40.5755982149
2/16/2017,Senior Presentation,CCBQ Hillcrest Senior Center,POINT (-73.7946088165239 40.710062016164215),-73.7946088165,40.7100620162
2/15/2017,Senior Presentation,Brownsville Senior Center II,POINT (-73.90569943016109 40.66517041359138),-73.9056994302,40.6651704136
2/6/2017,Senior Presentation,Dellamonica Steinway Senior Center,POINT (-73.93000918654738 40.76427639171999),-73.9300091865,40.7642763917
2/3/2017,Senior Presentation,Jay-Harama Neighborhood Senior Center,POINT (-73.95118407950844 40.59814902286538),-73.9511840795,40.5981490229
2/27/2017,Senior Presentation,Beatrice Lewis Senior Center,POINT (-73.93526589967716 40.80445962302857),-73.9352658997,40.804459623
1/31/2017,Senior Presentation,Senior Citizen League of Flatbush Midwood Center,POINT (-73.95574125546781 40.62233250720088),-73.9557412555,40.6223325072
1/30/2017,Senior Presentation,Antlers Apartments for Seniors,POINT (-73.95703036523808 40.80214775399655),-73.9570303652,40.802147754
1/18/2017,Senior Presentation,Cypress Hills Fulton Street Neighborhood Center,POINT (-73.87676988691479 40.68232811242348),-73.8767698869,40.6823281124
1/24/2017,Senior Presentation,Penn Wortman Neighborhood Senior Center,POINT (-73.88865077350655 40.65595741317326),-73.8886507735,40.6559574132
1/24/2017,Senior Presentation,CCNS Howard Beach Senior Center,POINT (-73.84922326686367 40.661863176618304),-73.8492232669,40.6618631766
1/23/2017,Senior Presentation,Young Israel of Queens Valley Senior League,POINT (-73.81982074540518 40.72111898593224),-73.8198207454,40.7211189859
1/19/2017,Senior Presentation,CCBQ Ozone Park Senior Center,POINT (-73.83977579773824 40.686018186352136),-73.8397757977,40.6860181864
1/18/2017,Senior Presentation,JASA Mechler Hall Senior Center,POINT (-73.85186769235207 40.829579178543916),-73.8518676924,40.8295791785
1/17/2017,Senior Presentation,Encore Community Services Senior Center,POINT (-73.98531043011323 40.761134773578064),-73.9853104301,40.7611347736
1/17/2017,Senior Presentation,JASA Bay Eden Senior Center,POINT (-73.84220264733734 40.8840020866925),-73.8422026473,40.8840020867
1/13/2017,Senior Presentation,NYPL 67 Street Branch,POINT (-73.95986635185294 40.765248577171526),-73.9598663519,40.7652485772
1/12/2017,Senior Presentation,HANAC Angelo Petromelis Neighborhood Center,POINT (-73.84477091414193 40.786170217935826),-73.8447709141,40.7861702179
1/11/2017,Senior Presentation,Centerlight Healthcare Grand Street Center,POINT (-73.98862459465249 40.71651372463555),-73.9886245947,40.7165137246
1/6/2017,Senior Presentation,Senior Alliance Neighborhood Senior Center,POINT (-73.95412548452573 40.57801712445702),-73.9541254845,40.5780171245
1/11/2017,Senior Presentation,Saint Garbriels Neighborhood Senior Center,POINT (-73.94921571585132 40.65791046780943),-73.9492157159,40.6579104678
2/25/2015,Senior Presentation,Selfhelp Innovative Senior Center,POINT (-73.82032979518172 40.75175677152509),-73.8203297952,40.7517567715
2/24/2015,Senior Presentation,Amber Court of Pelham Gardens Assisted Living,POINT (-73.83416715659503 40.860710296559056),-73.8341671566,40.8607102966
2/23/2015,Senior Presentation,Midwood Active Adult Center,POINT (-73.92981814290496 40.63040301093742),-73.9298181429,40.6304030109
2/12/2015,Senior Presentation,CCNS Ozone Park Senior Center,POINT (-73.83977579773824 40.686018186352136),-73.8397757977,40.6860181864
2/10/2015,Senior Presentation,Stanley Isaacs Neighborhood Center,POINT (-73.94511027572425 40.78089573450386),-73.9451102757,40.7808957345
2/9/2015,Senior Presentation,Selfhelp Latimar Gardens Senior Center,POINT (-73.82993367538 40.766035810184825),-73.8299336754,40.7660358102
2/6/2015,Senior Presentation,Dorchester Senior Citizens Center,POINT (-73.96468766209642 40.63896353128655),-73.9646876621,40.6389635313
2/5/2015,Senior Presentation,Swinging Sixties Senior Center,POINT (-73.94545118725975 40.712963365713826),-73.9454511873,40.7129633657
2/4/2015,Senior Presentation,Christopher Blenman Senior Center,POINT (-73.93891458122457 40.662280637772824),-73.9389145812,40.6622806378
1/21/2015,Senior Presentation,BRC Senior Center,POINT (-73.99226763422398 40.71978303475559),-73.9922676342,40.7197830348
1/15/2015,Senior Presentation,CenterLight Healthcare Grand Street PACE Center,POINT (-73.98862459465249 40.71651372463555),-73.9886245947,40.7165137246
1/14/2015,Senior Presentation,JASA Brighton Beach Senior Center,POINT (-73.9535658586 40.580385664533594),-73.9535658586,40.5803856645
1/13/2015,Senior Presentation,Florence E. Smith Senior Center,POINT (-73.86598614215004 40.75573295032175),-73.8659861422,40.7557329503
1/12/2015,Senior Presentation,Young Israel Queens Valley Senior League,POINT (-73.81982074540518 40.72111898593224),-73.8198207454,40.7211189859
1/13/2015,Senior Presentation,Wyatt T. Walker Senior Apartments,POINT (-73.9548720156685 40.80508927475113),-73.9548720157,40.8050892748
2/1/2016,Senior Presentation,ST Teresa's Church Senior Program,POINT (-74.11787025804338 40.61342864223279),-74.117870258,40.6134286422
2/26/2016,Senior Presentation,Jay Harama Senior Center,POINT (-73.95118407950844 40.59814902286538),-73.9511840795,40.5981490229
2/23/2016,Senior Presentation,Centerlight Healthcare Grand Street Center,POINT (-73.98862459465249 40.71651372463555),-73.9886245947,40.7165137246
2/16/2016,Senior Presentation,Centerlight Bushwick Day Health Center,POINT (-73.94039213486744 40.71096816002261),-73.9403921349,40.71096816
4/29/2016,GrandParents Day,Shore Hill Neighborhood Center,POINT (-74.04024280032658 40.62208420850902),-74.0402428003,40.6220842085
4/28/2016,GrandParents Day,NY-Presbyterian Hospital Queens,POINT (-73.82615361688168 40.746808684678605),-73.8261536169,40.7468086847
4/27/2016,GrandParents Day,JSPOA Friendship Center,POINT (-73.78913482644411 40.70618473678249),-73.7891348264,40.7061847368
4/26/2016,GrandParents Day,Elmhurst Hospital,POINT (-73.88609583168922 40.744407796600015),-73.8860958317,40.7444077966
4/25/2016,GrandParents Day,Independence Senior Center,POINT (-73.96370023324631 40.7054993231742),-73.9637002332,40.7054993232
4/20/2016,Senior Presentation,Jewish War Veterans of the U.S. Kings County Council,POINT (-73.96537844358568 40.60621564371015),-73.9653784436,40.6062156437
4/29/2016,GrandParents Day,Vandali Senior Center,POINT (-73.88675829034288 40.649790780639634),-73.8867582903,40.6497907806
4/29/2016,GrandParents Day,Richmond Hill Senior Residence,POINT (-73.82383755276419 40.70142600656841),-73.8238375528,40.7014260066
4/28/2016,GrandParents Day,Phillip NORC Senior Center,POINT (-73.94475516248711 40.63008727376921),-73.9447551625,40.6300872738
4/28/2016,GrandParents Day,Bellevue hosital,POINT (-73.97686039366236 40.7391644299589),-73.9768603937,40.73916443
4/27/2016,Other Theater,Jasa Throgs Neck,POINT (-73.82706006657403 40.821653573959004),-73.8270600666,40.821653574
4/15/2016,Senior Presentation,Emblem Health Neighborhood Center,POINT (-73.99557591468569 40.717008258391076),-73.9955759147,40.7170082584
4/14/2016,Senior Presentation,Grandparents Around the World,POINT (-73.92035939675995 40.83105760070502),-73.9203593968,40.8310576007
4/12/2016,Senior Presentation,JASA Roy Reuther Senior Center,POINT (-73.74218571583394 40.59598725349478),-73.7421857158,40.5959872535
4/6/2016,Senior Presentation,Good Old Lower East Side (GOLES),POINT (-73.9795668504502 40.72730486101813),-73.9795668505,40.727304861
4/21/2016,Other Theater,Swing Sixty,POINT (-73.94545118725975 40.712963365713826),-73.9454511873,40.7129633657
5/31/2016,Senior Presentation,CenterLight Flushing Center,POINT (-73.82933399133722 40.761972698354356),-73.8293339913,40.7619726984
5/27/2016,Senior Presentation,Senior Center at St. Peter's Church,POINT (-73.97074250790574 40.75868917327489),-73.9707425079,40.7586891733
5/26/2016,Other Theater,CCCS CYO Senior Ctr,POINT (-74.1344204796113 40.634918680841565),-74.1344204796,40.6349186808
5/25/2016,Other Theater,Bronx  Heights Works,POINT (-73.91680279530625 40.85197526145516),-73.9168027953,40.8519752615
5/24/2016,Other Theater,Elmcor Sr Ctr,POINT (-73.87108807884125 40.76228773879329),-73.8710880788,40.7622877388
5/23/2016,Other Theater,CCBQ Seaeide Sr Ctr,POINT (-73.81730763720279 40.587690961457284),-73.8173076372,40.5876909615
5/16/2016,Other Theater,Allen Comm. Sr Ctr,POINT (-73.78314594373431 40.69004531323087),-73.7831459437,40.6900453132
5/12/2016,Other Theater,JASA Bay Eden SR Ctr,POINT (-73.84220264733734 40.8840020866925),-73.8422026473,40.8840020867
5/9/2016,Other Theater,JSPOA Shelton Sr. Ctr,POINT (-73.7990595899807 40.70656205433041),-73.79905959,40.7065620543
5/6/2016,Other Theater,Vandalia Sr. Ctr,POINT (-73.88675829034288 40.649790780639634),-73.8867582903,40.6497907806
5/5/2016,Senior Presentation,CenterLight Far Rockaway Center,POINT (-73.75045809181627 40.602403662826376),-73.7504580918,40.6024036628
5/4/2016,Other Theater,CCN Ozone Pk Sr. Ctr,POINT (-73.83977579773824 40.686018186352136),-73.8397757977,40.6860181864
5/2/2016,Other Theater,Bronx Works,POINT (-73.90418666389637 40.85507522202871),-73.9041866639,40.855075222
3/30/2016,Senior Presentation,Metropolitan Council Senior Housing Tower 6,POINT (-73.81331962668798 40.73021300612575),-73.8133196267,40.7302130061
3/29/2016,Senior Presentation,JASA Scheuer House of CI Senior Center,POINT (-74.0015859865696 40.57313503490077),-74.0015859866,40.5731350349
3/25/2016,Senior Presentation,NYC Foster Grandparent Program,POINT (-74.00358410350701 40.713714575804616),-74.0035841035,40.7137145758
3/22/2016,Senior Presentation,Young Israel Queens Valley Senior League,POINT (-73.81982074540518 40.72111898593224),-73.8198207454,40.7211189859
3/18/2016,Senior Presentation,Isabella Adult Day Center,POINT (-73.92790771179577 40.8547740979076),-73.9279077118,40.8547740979
3/16/2016,Senior Presentation,Swinging Sixty Senior Center,POINT (-73.94545118725975 40.712963365713826),-73.9454511873,40.7129633657
3/14/2016,Senior Presentation,BRC Senior Center,POINT (-73.99226763422398 40.71978303475559),-73.9922676342,40.7197830348
6/23/2016,Senior Presentation,JSPOA Friendship Senior Center,POINT (-73.78913482644411 40.70618473678249),-73.7891348264,40.7061847368
6/20/2016,Senior Presentation,Regal Heights Adult Day Program,POINT (-73.89566760024834 40.75063372441573),-73.8956676002,40.7506337244
6/16/2016,Senior Presentation,Parkview Senior Housing,POINT (-73.89684319236906 40.84917051948461),-73.8968431924,40.8491705195
6/15/2016,Senior Presentation,VNS Chinatown Community Center,POINT (-73.99871799587702 40.71393694968585),-73.9987179959,40.7139369497
6/21/2016,Other Theater,Carter Burden Luncheon Club,POINT (-73.9561957372999 40.76961137765822),-73.9561957373,40.7696113777
6/17/2016,Other Theater,CCCS West Brighton,POINT (-74.11752184342951 40.63647701994093),-74.1175218434,40.6364770199
6/22/2016,Other Theater,Jasa Mechler Hall,POINT (-73.85186769235207 40.829579178543916),-73.8518676924,40.8295791785
6/14/2016,Senior Presentation,Vandalia Senior Center,POINT (-73.88675829034288 40.649790780639634),-73.8867582903,40.6497907806
6/6/2016,Other Theater,A Philip Randolph Senior Center,POINT (-73.93631533017785 40.821332011293045),-73.9363153302,40.8213320113
6/8/2016,Other Theater,ABSW Neighborhood Senior Center,POINT (-73.96593428347776 40.80141788773526),-73.9659342835,40.8014178877
6/6/2016,Senior Presentation,Queens Public Library Pomonok Branch,POINT (-73.80990052044056 40.73226323718905),-73.8099005204,40.7322632372
6/6/2016,Senior Presentation,DellaMonica-Steinway Senior Center,POINT (-73.93000918654738 40.76427639171999),-73.9300091865,40.7642763917
6/3/2016,Senior Presentation,Philip Howard NORC,POINT (-73.94475516248711 40.63008727376921),-73.9447551625,40.6300872738
7/22/2016,Senior Presentation,Elmcor Lefrak Senior Center,POINT (-73.86093657530017 40.757420475183366),-73.8609365753,40.7574204752
7/21/2016,Senior Presentation,CCBQ Narrow Senior Center,POINT (-74.00171697925099 40.6279733231833),-74.0017169793,40.6279733232
7/20/2016,Senior Walking Club,CCBQ Northside Senior Center,POINT (-73.95733798766939 40.7166765559654),-73.9573379877,40.716676556
7/14/2016,Senior Presentation,St. James Senior Center,POINT (-73.87836680180322 40.739827135362454),-73.8783668018,40.7398271354
7/20/2016,Senior Walking Club,SNAP Brookville Senior Center,POINT (-73.73281978550953 40.67430792480026),-73.7328197855,40.6743079248
7/19/2016,Senior Presentation,Philip A. Randolph Senior Center,POINT (-73.93631533017785 40.821332011293045),-73.9363153302,40.8213320113
7/7/2016,Senior Presentation,Christopher Blenman Senior Center,POINT (-73.93891458122457 40.662280637772824),-73.9389145812,40.6622806378
2/17/2016,Senior Presentation,CCNS Seaside Senior Center,POINT (-73.81730763720279 40.587690961457284),-73.8173076372,40.5876909615
4/25/2016,GrandParents Day,Brookdale Hospital Center,POINT (-73.91158227208727 40.65415479201905),-73.9115822721,40.654154792
5/19/2016,Other Theater,Christopher Blenman Sr. Ctr.,POINT (-73.93891458122457 40.662280637772824),-73.9389145812,40.6622806378
3/10/2016,Senior Presentation,JASA Holliswood Senior Center,POINT (-73.76510517383844 40.72493988323173),-73.7651051738,40.7249398832
4/14/2016,Other Theater,Bayside SR Center,POINT (-73.7565580823647 40.74967988790018),-73.7565580824,40.7496798879
6/13/2016,Other Theater,N.E. Bronx Sr Ctr,POINT (-73.8262621771443 40.83388009894433),-73.8262621771,40.8338800989
11/30/2015,Senior Presentation,CenterLight Healthcare Flushing Center,POINT (-73.8288309239161 40.76247973028016),-73.8288309239,40.7624797303
11/25/2015,Senior Presentation,Selfhelp Benjamin Rosenthal Prince Street Senior Center,POINT (-73.81988523419601 40.75198663600655),-73.8198852342,40.751986636
11/24/2015,Senior Presentation,Sunlight Adult Day Care Center,POINT (-73.83677376289678 40.77083253865306),-73.8367737629,40.7708325387
11/20/2015,Senior Presentation,CCBQ The Lodge Senior Center,POINT (-73.99728647744125 40.61207821754867),-73.9972864774,40.6120782175
11/20/2015,Senior Presentation,SNAP Brookville Senior Center,POINT (-73.73274736577156 40.67438735528937),-73.7327473658,40.6743873553
11/18/2015,Senior Presentation,Wyatt T. Walker Senior Apartments,POINT (-73.95467315062689 40.80537739228241),-73.9546731506,40.8053773923
11/12/2015,Senior Presentation,EM Moore Houses for Seniors,POINT (-73.95187210628039 40.80262329724166),-73.9518721063,40.8026232972
11/4/2015,Senior Presentation,CCBQ Bayside Senior Center,POINT (-73.75673427777163 40.74985866999307),-73.7567342778,40.74985867
11/2/2015,Senior Presentation,CCBQ Riverway Senior Center,POINT (-73.90796908183837 40.66083549943177),-73.9079690818,40.6608354994
3/31/2015,Senior Presentation,Queens Public Library Forest Hills Branch,POINT (-73.84337685169557 40.72176826694416),-73.8433768517,40.7217682669
3/30/2015,Senior Presentation,CCBQ Narrows Senior Center,POINT (-74.00171697925099 40.6279733231833),-74.0017169793,40.6279733232
3/27/2015,Senior Walking Club,CCBQ Northside Senior Center,POINT (-73.95733798766939 40.7166765559654),-73.9573379877,40.716676556
3/26/2015,Senior Presentation,Young Israel Forest Hills Senior League,POINT (-73.85165370103182 40.72134830193996),-73.851653701,40.7213483019
3/24/2015,Senior Presentation,Elmcor Senior Center,POINT (-73.87108807884125 40.76228773879329),-73.8710880788,40.7622877388
3/19/2015,Senior Presentation,Isabella El Corazon NORC Program,POINT (-73.93904597958762 40.84192432275415),-73.9390459796,40.8419243228
3/18/2015,Senior Presentation,Salvation Army Bensonhurst Corp. Senior Center,POINT (-73.99489836979345 40.61443865876306),-73.9948983698,40.6144386588
3/16/2015,Senior Presentation,KCS Korean-American Senior Center Flushing,POINT (-73.80033328549459 40.75938170306305),-73.8003332855,40.7593817031
3/13/2015,Senior Presentation,Newtown Senior Center,POINT (-73.87968508793682 40.73719630109486),-73.8796850879,40.7371963011
3/11/2015,Safe Streets for Seniors,QCH Pomonok Senior Center,POINT (-73.81472423107009 40.73502409364324),-73.8147242311,40.7350240936
3/9/2015,Senior Walking Club,West Brighton Senior Center,POINT (-74.11752184342951 40.63647701994093),-74.1175218434,40.6364770199
3/5/2015,Senior Presentation,Bronxwood Assisted Living,POINT (-73.86231200271796 40.876070965756405),-73.8623120027,40.8760709658
3/4/2015,Senior Presentation,Grand Street Settlement Senior Center,POINT (-73.97892949409913 40.723360530714025),-73.9789294941,40.7233605307
3/23/2015,Senior Presentation,Borinquen Senior Center,POINT (-73.9437739053253 40.704357726085995),-73.9437739053,40.7043577261
12/15/2014,Senior Presentation,Independence Neighborhood Center,POINT (-73.96370023324631 40.7054993231742),-73.9637002332,40.7054993232
12/11/2014,Senior Presentation,Selfhelp Big Six NORC Program,POINT (-73.90417323999368 40.74145443559806),-73.90417324,40.7414544356
12/10/2014,Senior Presentation,Queens Library Rochdale Village,POINT (-73.77099273502277 40.67255946876208),-73.770992735,40.6725594688
12/9/2014,Senior Presentation,EM Moore Houses for Seniors,POINT (-73.95136996831475 40.80271640791021),-73.9513699683,40.8027164079
12/9/2014,Senior Presentation,Penn Wortman Neighborhood Center,POINT (-73.88865077350655 40.65595741317326),-73.8886507735,40.6559574132
12/8/2014,Senior Presentation,Hudson Guild Senior Program,POINT (-74.00375890802616 40.74316305102694),-74.003758908,40.743163051
12/8/2014,Senior Presentation,University Settlement Senior Center,POINT (-73.98896275540494 40.72212404442829),-73.9889627554,40.7221240444
12/4/2014,Senior Presentation,Ocean Parkway Senior Center,POINT (-73.96508117153157 40.60307550674912),-73.9650811715,40.6030755067
11/25/2014,Senior Presentation,CenterLight Day Health Center,POINT (-73.89786141844917 40.69686586243914),-73.8978614184,40.6968658624
11/20/2014,Senior Presentation,CenterLight Day Health Center,POINT (-73.82933399133722 40.761972698354356),-73.8293339913,40.7619726984
11/13/2014,Senior Presentation,Riverbay Corp at Co-op City,POINT (-73.82858084516525 40.86946321895521),-73.8285808452,40.869463219
11/5/2014,Senior Presentation,CCBQ Narrows Senior Center,POINT (-74.00171697925099 40.6279733231833),-74.0017169793,40.6279733232
11/3/2014,Senior Presentation,Queens Village Public Library,POINT (-73.73929716301876 40.71974064127164),-73.739297163,40.7197406413
10/30/2014,Senior Presentation,Lands End II Housing,POINT (-73.9885569442183 40.711342588858955),-73.9885569442,40.7113425889
10/30/2014,Senior Presentation,Senior Citizen League of Flatbush (Midwood),POINT (-73.95574125546781 40.62233250720088),-73.9557412555,40.6223325072
10/29/2014,Senior Presentation,Mill Basin Senior Center,POINT (-73.91022782400466 40.61885851451002),-73.910227824,40.6188585145
10/28/2014,Senior Presentation,RBSCCI Borinquen Plaza Senior Center,POINT (-73.9437739053253 40.704357726085995),-73.9437739053,40.7043577261
10/27/2014,Senior Presentation,Flushing Public Library,POINT (-73.82925089539047 40.757775855251026),-73.8292508954,40.7577758553
10/24/2014,Senior Presentation,Two Bridges Towers,POINT (-73.97105592861449 40.62720938563652),-73.9710559286,40.6272093856
10/23/2014,Senior Presentation,Two Bridges Towers,POINT (-73.98987002397244 40.710623583776375),-73.989870024,40.7106235838
10/23/2014,Senior Presentation,Good Companion Senior Center,POINT (-73.98323604055372 40.713257780605424),-73.9832360406,40.7132577806
10/17/2014,Senior Presentation,NYPL Throg's Neck Branch,POINT (-73.81932143973121 40.82278900166433),-73.8193214397,40.8227890017
10/6/2014,Senior Presentation,Queens Library Sunnyside Branch,POINT (-73.92179507840719 40.74096820489996),-73.9217950784,40.7409682049
8/8/2014,Senior Presentation,Antlers Apartments for Seniors,POINT (-73.95703036523808 40.80214775399655),-73.9570303652,40.802147754
7/30/2014,Senior Presentation,Mill Basin Senior Center,POINT (-73.91022782400466 40.61885851451002),-73.910227824,40.6188585145
7/24/2014,Senior Presentation,JASA Luna Park Senior Center,POINT (-73.97962353359559 40.57733827609055),-73.9796235336,40.5773382761
7/23/2014,Senior Presentation,Honing Adult Day Care Center,POINT (-74.00954307811409 40.637346389890325),-74.0095430781,40.6373463899
7/22/2014,Senior Presentation,Homecrest Bensonhurst Senior Center,POINT (-74.00093140362212 40.61227038190346),-74.0009314036,40.6122703819
7/21/2014,Senior Presentation,Happyhouse Adult Day Care Center,POINT (-73.95531744206345 40.59893846158996),-73.9553174421,40.5989384616
9/29/2014,Swipe Card Walking,I.S. 318 Eugenio Maria De Hostos,POINT (-73.94886798056446 40.70249091647761),-73.9488679806,40.7024909165
