Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Type,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Pedestrian Type,Pedestrian Movement,Pedestrian Actions,Pedestrian Location,Pedestrian Obeyed Traffic Signal,Pedestrian Visibility,At Fault,Injury Severity,Safety Equipment,Latitude,Longitude,Location
MCP24460024,16042471,Montgomery County Police,Injury Crash,08/21/2016 03:21:00 PM,,,,,IN FRONT OF 19603 CRYSTAL ROCK DR.,,BICYCLIST,STRAIGHT MOVEMENT ANGLE,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,CBC79EDA-C7CD-4FD5-8DE4-F64B83347980,BICYCLIST,Playing,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,Yes,SUSPECTED MINOR INJURY,UNKNOWN,39.178009,-77.259878,"(39.178009, -77.259878)"
MCP23140014,180009646,Montgomery County Police,Injury Crash,02/24/2018 08:16:00 PM,County,S GLEN RD,County,DEEP GLEN DR,,N/A,PEDESTRIAN,OTHER,RAINING,WET,DARK NO LIGHTS,N/A,NONE DETECTED,NONE DETECTED,3269E4C8-91A3-491E-BB34-A610234567D1,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,N/A,REFLECTIVE MATERIAL,No,SUSPECTED MINOR INJURY,REFLECTIVE CLOTHING,39.0358,-77.21754833,"(39.0358, -77.21754833)"
DD55950039,16064756,Rockville Police Departme,Injury Crash,12/17/2016 06:37:00 PM,Municipality,ELMCROFT BLVD,Municipality,REDLAND BLVD,,ROCKVILLE,PEDESTRIAN,OTHER,CLEAR,WET,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,NONE DETECTED,C257DE12-4FE1-409F-91BC-584574B8CF76,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.11449667,-77.167116,"(39.11449667, -77.167116)"
MCP2919001F,16020556,Montgomery County Police,Property Damage Crash,04/26/2016 12:49:00 PM,Maryland (State),GEORGIA AVE,County,CORWIN DR,,N/A,OTHER,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,FEEBCBA3-8092-40B9-A768-FFA070C3C26B,OTHER,N/A,OTHER,INSIDE BUILDING,N/A,N/A,Yes,NO APPARENT INJURY,N/A,39.00801309,-77.03996971,"(39.00801309, -77.03996971)"
MCP2813006L,190016184,Montgomery County Police,Injury Crash,04/07/2019 08:30:00 PM,Other Public Roadway,GLENMONT CIR #2,Maryland (State),GEORGIA AVE,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLOUDY,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,N/A,N/A,44D01E05-3B4E-40D3-9752-4CE1279E23E9,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,UNKNOWN,DARK CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.05994167,-77.04713333,"(39.05994167, -77.04713333)"
MCP2977005G,190009951,Montgomery County Police,Injury Crash,03/03/2019 10:42:00 AM,County,FLOWER AVE,Maryland (State),PINEY BRANCH RD,,N/A,BICYCLIST,OTHER,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,N/A,N/A,96629F07-CE3A-4C30-BFD4-F8E270C4FE30,BICYCLIST,Walking/Riding w/Traffic,INATTENTIVE,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,Yes,POSSIBLE INJURY,MC/BIKE HELMET,38.99888357,-77.00375319,"(38.99888357, -77.00375319)"
MCP3008000F,16014307,MONTGOMERY,Injury Crash,03/23/2016 05:13:00 PM,US (State),GEORGIA AVE,County,BLAIR RD,,N/A,BICYCLIST,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,07980B56-FC4B-4E52-89CE-D0E291747461,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,SHOULDER,OBEYED PED. SIGNAL,LIGHT CLOTHING,No,SUSPECTED MINOR INJURY,MC/BIKE HELMET,38.98898833,-77.02691667,"(38.98898833, -77.02691667)"
MCP229800LT,180059934,Montgomery County Police,Injury Crash,11/30/2018 03:48:00 PM,,,,,PARKING LOT OF 26004 BRIGADIER PLACE,,OTHER,SINGLE VEHICLE,CLEAR,,N/A,NO CONTROLS,NONE DETECTED,NONE DETECTED,DD154773-661B-4877-A002-E165358086F9,OTHER,N/A,NO IMPROPER ACTIONS,N/A,N/A,N/A,No,SUSPECTED MINOR INJURY,N/A,39.28291042,-77.20547411,"(39.28291042, -77.20547411)"
MCP1119005T,180048244,Montgomery County Police,Injury Crash,09/27/2018 09:08:00 AM,,,,,PARKING LOT OF MEDSTAR MONTGOMERY HOSPITAL 18011 PRINCE PHILIP DR,,OTHER CONVEYANCE,SINGLE VEHICLE,CLOUDY,,DAYLIGHT,N/A,NONE DETECTED,NONE DETECTED,11007FC6-0BCF-495D-A647-577538BE13F8,OTHER CONVEYANCE,Other,NO IMPROPER ACTIONS,OTHER,N/A,N/A,No,POSSIBLE INJURY,NONE,39.15295167,-77.05532833,"(39.15295167, -77.05532833)"
MCP2351001G,170534931,Montgomery County Police,Injury Crash,10/05/2017 02:38:00 PM,County,PARKLAWN DR,County,RANDOLPH RD,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,79B4B7F6-31A5-4A30-8558-B0CD619180FA,PEDESTRIAN,Cross/Enter at Intersection,UNKNOWN,AT INTERSECTION MARKED CROSSWALK,UNKNOWN,MIXED CLOTHING,Unknown,POSSIBLE INJURY,N/A,39.06397,-77.117405,"(39.06397, -77.117405)"
MCP2777004N,180026997,Montgomery County Police,Injury Crash,06/01/2018 05:30:00 PM,County,DEL RAY AVE,Maryland (State),OLD GEORGETOWN RD,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,1377BD9C-629F-4F92-A64D-74009CF7682D,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,POSSIBLE INJURY,NONE,38.98847667,-77.10005833,"(38.98847667, -77.10005833)"
MCP1283000M,16024770,Montgomery County Police,Injury Crash,07/09/2016 11:25:00 AM,County,BARNESVILLE RD,County,PEACH TREE RD,,N/A,BICYCLIST,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,N/A,3274E582-B874-4D6A-8985-97D932A619FA,BICYCLIST,Cross/Enter at Intersection,FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER,AT INTERSECTION BUT NO CROSSWALK,OTHER,DARK CLOTHING,Yes,SUSPECTED MINOR INJURY,MC/BIKE HELMET,39.21560167,-77.35641667,"(39.21560167, -77.35641667)"
MCP271700F6,170546798,Montgomery County Police,Injury Crash,12/05/2017 06:45:00 PM,Maryland (State),OLD GEORGETOWN RD,County,OAKMONT AVE,,N/A,PEDESTRIAN,OTHER,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,1F48AF99-4861-4615-A47D-41FF8C164723,PEDESTRIAN,Cross/Enter at Intersection,DART DASH,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,UNKNOWN,Yes,SUSPECTED MINOR INJURY,NONE,39.00464633,-77.11086233,"(39.00464633, -77.11086233)"
MCP3021001V,170541477,Montgomery County Police,Injury Crash,11/07/2017 12:50:00 PM,County,GREENCASTLE RD,County,OLD COLUMBIA PIKE,,N/A,BICYCLIST,SINGLE VEHICLE,RAINING,WET,DAYLIGHT,NO CONTROLS,UNKNOWN,N/A,06FE5E99-4506-4ED7-BD08-3917B3F97320,BICYCLIST,Cross/Enter not at Intersection,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.09776145,-76.94304943,"(39.09776145, -76.94304943)"
MCP27820016,15057063,MONTGOMERY,Injury Crash,11/09/2015 07:30:00 AM,County,LONGMEAD CROSSING DR,Unknown,LADY MEADE DR,,N/A,PEDESTRIAN,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,0F9815A6-3679-48D5-8AA2-F8E08F66B9A5,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes,SUSPECTED MINOR INJURY,NONE,39.10058167,-77.05125,"(39.10058167, -77.05125)"
MCP2975001H,17009667,Montgomery County Police,Injury Crash,02/22/2017 11:12:00 PM,Maryland (State),GEORGIA AVE,County,VERONA DR,,N/A,BICYCLIST,SAME DIR REAR END,N/A,DRY,DARK LIGHTS ON,NO CONTROLS,ALCOHOL PRESENT,NONE DETECTED,B445C9D4-AF8A-487F-A58B-FA7E2A6A3F6C,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,OTHER,N/A,REFLECTIVE MATERIAL,No,SUSPECTED MINOR INJURY,MC/BIKE HELMET,39.07427333,-77.067235,"(39.07427333, -77.067235)"
MCP1301000H,15061863,MONTGOMERY,Injury Crash,12/03/2015 09:47:00 PM,Maryland (State),ROCKVILLE PIKE,Municipality,EDMONSTON DR,,ROCKVILLE,PEDESTRIAN,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DARK LIGHTS ON,N/A,ALCOHOL PRESENT,N/A,86C13B3E-6898-4CC8-89A9-78CE341A4C49,PEDESTRIAN,Other Working,NO IMPROPER ACTIONS,OTHER,N/A,DARK CLOTHING,No,SUSPECTED SERIOUS INJURY,REFLECTIVE CLOTHING,39.0777754,-77.13333607,"(39.0777754, -77.13333607)"
MCP2818003G,180008483,Montgomery County Police,Injury Crash,02/18/2018 11:03:00 AM,Maryland (State),GEORGIA AVE,County,FENWICK LA,,N/A,PEDESTRIAN,OTHER,CLEAR,WET,DAYLIGHT,N/A,NONE DETECTED,NONE DETECTED,203F7458-08C9-4988-BF6C-0D88CB22C7E5,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No,POSSIBLE INJURY,N/A,38.99825821,-77.03059673,"(38.99825821, -77.03059673)"
MCP3033001M,170544787,Montgomery County Police,Injury Crash,11/25/2017 10:10:00 AM,County,OLD COLUMBIA PIKE,Unknown,AVONSHIRE DR,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,DDF6721F-7D40-44A7-B6DD-4E215005E337,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,POSSIBLE INJURY,NONE,39.083835,-76.95193667,"(39.083835, -76.95193667)"
MCP28290034,170507166,Montgomery County Police,Injury Crash,05/11/2017 05:08:00 AM,Maryland (State),PINEY BRANCH RD,Maryland (State),UNIVERSITY BLVD E,,N/A,BICYCLIST,OTHER,CLOUDY,DRY,DARK LIGHTS ON,N/A,UNKNOWN,NONE DETECTED,FFA78389-F251-43A3-8891-A0DE8EC2B311,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,N/A,UNKNOWN,No,SUSPECTED SERIOUS INJURY,MC/BIKE HELMET,38.99609,-77.11640667,"(38.99609, -77.11640667)"
MCP2813001L,15058336,MONTGOMERY,Injury Crash,11/15/2015 05:15:00 PM,County,VALLEYWOOD DR,County,MEDWAY ST,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,N/A,N/A,5BABD51C-FFB9-428B-8499-50EDC28BEE22,PEDESTRIAN,Playing,INATTENTIVE,CURB,NO PED. SIGNAL,LIGHT CLOTHING,Yes,POSSIBLE INJURY,NONE,39.05404333,-77.06722167,"(39.05404333, -77.06722167)"
MCP28820023,170525535,Montgomery County Police,Injury Crash,08/18/2017 02:55:00 PM,,,,,PARKING LOT IN FRONT OF 19552 CRYSTAL ROCK DRIVE,,BICYCLIST,SINGLE VEHICLE,CLEAR,,DAYLIGHT,N/A,NONE DETECTED,NONE DETECTED,ED97011A-C539-43C8-8CE1-E640E8DCF638,BICYCLIST,Playing,INATTENTIVE,OTHER,NO PED. SIGNAL,MIXED CLOTHING,Yes,SUSPECTED MINOR INJURY,NONE,39.17810167,-77.26309833,"(39.17810167, -77.26309833)"
DD55980022,170539245,Rockville Police Departme,Injury Crash,10/27/2017 06:58:00 PM,Maryland (State),VEIRS MILL RD,Municipality,ATLANTIC AVE,,ROCKVILLE,PEDESTRIAN,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,N/A,N/A,3A3851FB-C037-43B6-8B72-DB4F2B3C0BAD,PEDESTRIAN,Cross/Enter at Intersection,N/A,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.07521933,-77.11582817,"(39.07521933, -77.11582817)"
MCP2853004V,180024617,Montgomery County Police,Injury Crash,05/19/2018 05:20:00 PM,Maryland (State),NEW HAMPSHIRE AVE,County,OAKVIEW DR,,N/A,PEDESTRIAN,N/A,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,N/A,N/A,C5DD71BA-B2A5-415D-A902-EE6E2101321C,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No,POSSIBLE INJURY,N/A,39.01529919,-76.97792888,"(39.01529919, -76.97792888)"
MCP2784002Q,16055162,Montgomery County Police,Injury Crash,10/26/2016 05:45:00 PM,Maryland (State),LAYHILL RD,County,GLENALLAN AVE,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,N/A,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,B550F6D6-BF5B-4BF4-A27A-9F802E97D2C1,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No,POSSIBLE INJURY,NONE,39.06338667,-77.04991333,"(39.06338667, -77.04991333)"
MCP2847000L,15001793,Montgomery County Police,Injury Crash,01/12/2015 10:05:00 AM,County,RANDOLPH RD,County,BUSHEY DR,,N/A,BICYCLIST,SINGLE VEHICLE,RAINING,WET,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,54C47C1D-A838-443E-BC00-73D134CDACEE,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,,POSSIBLE INJURY,UNKNOWN,39.05767333,-77.07777167,"(39.05767333, -77.07777167)"
MCP2987000T,16029146,Montgomery County Police,Injury Crash,06/10/2016 07:40:00 AM,,,,,PARKING LOT OF WOODMOOR SHOPPING CENTER,,PEDESTRIAN,SINGLE VEHICLE,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,5328943C-C08E-4D7B-B456-80665CA62899,PEDESTRIAN,Cross/Enter not at Intersection,N/A,OTHER,NO PED. SIGNAL,DARK CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.02061115,-77.0120278,"(39.02061115, -77.0120278)"
MCP2971001T,16051636,Montgomery County Police,Injury Crash,10/06/2016 06:30:00 PM,County,LOCKWOOD DR,Unknown,ENT TO SHOPPING CENTER,,N/A,PEDESTRIAN,OTHER,N/A,DRY,DUSK,NO CONTROLS,UNKNOWN,UNKNOWN,E33F32A2-2D06-40BB-B607-97E4E29F6FDA,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,UNKNOWN,Yes,POSSIBLE INJURY,NONE,39.04089254,-76.98581055,"(39.04089254, -76.98581055)"
MCP27830033,190000668,Montgomery County Police,Injury Crash,01/04/2019 05:28:00 PM,Maryland (State),UNIVERSITY BLVD W,County,AMHERST AVE,,N/A,PEDESTRIAN,N/A,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,EBEF65BE-0951-47B3-B928-857CDDF2EDCC,PEDESTRIAN,Cross/Enter at Intersection,UNKNOWN,AT INTERSECTION MARKED CROSSWALK,UNKNOWN,LIGHT CLOTHING,Unknown,SUSPECTED SERIOUS INJURY,N/A,39.04131667,-77.04852,"(39.04131667, -77.04852)"
MCP3000001G,16058070,Montgomery County Police,Injury Crash,11/10/2016 08:12:00 PM,,,,,18909 KINGSVIEW RD PARKING LOT OF GERMANTOWN OUTDOOR POOL,,PEDESTRIAN,N/A,CLEAR,,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,NONE DETECTED,14863F27-8FD4-4A23-86F9-EE0910508DE2,PEDESTRIAN,Playing,OTHER,OTHER,NO PED. SIGNAL,LIGHT CLOTHING,Yes,SUSPECTED MINOR INJURY,N/A,39.165225,-77.28609667,"(39.165225, -77.28609667)"
MCP2546002G,180028225,Montgomery County Police,Fatal Crash,06/08/2018 03:50:00 AM,Maryland (State),GEORGIA AVE,County,HEWITT AVE,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,UNKNOWN,UNKNOWN,UNKNOWN,5B6DC136-A844-4ECF-B2D8-2E6A86779938,PEDESTRIAN,Unknown,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Unknown,FATAL INJURY,NONE,39.077337,-77.070821,"(39.077337, -77.070821)"
MCP30950018,180059724,Montgomery County Police,Injury Crash,11/29/2018 05:37:00 PM,County,FAIRLAND RD,US (State),COLUMBIA PIKE,,N/A,PEDESTRIAN,OTHER,CLEAR,N/A,DARK -- UNKNOWN LIGHTING,N/A,N/A,N/A,E26296C9-75FA-46FA-885E-5C18C5DF650E,PEDESTRIAN,Cross/Enter at Intersection,UNKNOWN,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes,SUSPECTED MINOR INJURY,N/A,39.07361833,-76.95545833,"(39.07361833, -76.95545833)"
MCP27650035,16058570,Montgomery County Police,Injury Crash,11/13/2016 09:25:00 PM,County,GAINSBOROUGH RD,County,SEVEN LOCKS RD,,N/A,BICYCLIST,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,ALCOHOL PRESENT,C154AF58-9458-41E3-AA1A-8EF6199A7546,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No,POSSIBLE INJURY,NONE,39.04797,-77.16203833,"(39.04797, -77.16203833)"
MCP2695000J,16024315,Montgomery County Police,Injury Crash,05/16/2016 02:43:00 PM,US (State),COLUMBIA PIKE,County,MUSGROVE RD,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,UNKNOWN,N/A,301C1A61-5816-46F8-A25B-EE83F8A967C8,PEDESTRIAN,Standing,OTHER,DRIVEWAY ACCESS MARKED CROSSWALK,N/A,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.06766051,-76.95820525,"(39.06766051, -76.95820525)"
MCP26800035,190019036,Montgomery County Police,Injury Crash,04/23/2019 04:45:00 PM,,,,,PARKING GARAGE AT 921 WAYNE AVE.,,PEDESTRIAN,STRAIGHT MOVEMENT ANGLE,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,BDA5B94C-8C48-41BF-9252-1FD957492D25,PEDESTRIAN,Walking/Riding against Traffic,FAILURE TO YIELD RIGHT OF WAY,OTHER,NO PED. SIGNAL,DARK CLOTHING,Yes,POSSIBLE INJURY,NONE,38.99089167,-77.02346667,"(38.99089167, -77.02346667)"
DD56140045,180052503,Rockville Police Departme,Injury Crash,10/20/2018 04:53:00 PM,Municipality,N WASHINGTON ST,Municipality,BEALL AVE #2,,ROCKVILLE,PEDESTRIAN,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,057C41B7-57D0-4A8D-A5DA-0440DF1B6F74,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No,POSSIBLE INJURY,NONE,39.08719883,-77.15308633,"(39.08719883, -77.15308633)"
EJ7829004Z,180043349,Gaithersburg Police Depar,Property Damage Crash,08/30/2018 08:30:00 PM,Municipality,GIRARD ST,County,N SUMMIT AVE,,N/A,BICYCLIST,OTHER,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,NONE DETECTED,D51138C1-0D93-4BDE-A0DA-A14D31B7A788,BICYCLIST,Cross/Enter not at Intersection,NO IMPROPER ACTIONS,OTHER,NO PED. SIGNAL,LIGHT CLOTHING,Unknown,NO APPARENT INJURY,NONE,39.147655,-77.19084167,"(39.147655, -77.19084167)"
DD56140022,17006536,Rockville Police Departme,Injury Crash,02/06/2017 06:15:00 PM,Municipality,MONROE ST,Other Public Roadway,MONROE PL,,N/A,PEDESTRIAN,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,STOP SIGN,NONE DETECTED,NONE DETECTED,C1816816-AADD-423D-AEB1-10873A6BE69E,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,POSSIBLE INJURY,NONE,39.08324367,-77.14895067,"(39.08324367, -77.14895067)"
MCP26600008,15006805,Montgomery County Police,Injury Crash,02/10/2015 06:29:00 PM,County,E RANDOLPH RD,County,APPLEBY DR,,N/A,PEDESTRIAN,OTHER,N/A,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,N/A,N/A,F44AF7EE-2791-4823-97FA-563F4152C1EA,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,,SUSPECTED MINOR INJURY,NONE,39.072213,-76.988711,"(39.072213, -76.988711)"
HA2424000Y,19001241,Maryland-National Capital,Injury Crash,05/25/2019 12:10:00 PM,Government,BEACH DR,Maryland (State),EAST WEST HWY,,N/A,BICYCLIST,SAME DIRECTION LEFT TURN,CLEAR,DRY,DAYLIGHT,N/A,N/A,N/A,A186B454-26F3-4ED5-BF08-5F72947F8FBE,BICYCLIST,Other,UNKNOWN,OTHER,N/A,MIXED CLOTHING,Unknown,POSSIBLE INJURY,MC/BIKE HELMET,38.99089456,-77.06352375,"(38.99089456, -77.06352375)"
MCP3084002D,180052716,Montgomery County Police,Injury Crash,10/21/2018 10:35:00 AM,Municipality,DORSET AVE,Maryland (State),WISCONSIN AVE,,N/A,BICYCLIST,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,B19460AD-26EC-46D2-B40D-F393D6B08236,BICYCLIST,Cross/Enter at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,MIXED CLOTHING,Yes,POSSIBLE INJURY,MC/BIKE HELMET,38.96733,-77.08852667,"(38.96733, -77.08852667)"
MCP3162000R,180047793,Montgomery County Police,Injury Crash,09/24/2018 09:50:00 PM,Maryland (State),PINEY BRANCH RD,Unknown,ENT TO APTS,,N/A,PEDESTRIAN,OTHER,RAINING,WET,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,ALCOHOL PRESENT,4A32D52B-48C3-4E88-A26B-3DDE517ED6FE,PEDESTRIAN,Other,NOT VISIBLE,ON ROADWAY NOT AT CROSSWALK,N/A,DARK CLOTHING,Yes,SUSPECTED MINOR INJURY,NONE,38.999685,-76.99319333,"(38.999685, -76.99319333)"
MCP2987000C,16007222,Montgomery County Police,Injury Crash,02/12/2016 08:10:00 AM,,,,,"PARKING LOT OF 910 SCHINDLER DRIVE, SILVER SPRING MD 20903",,PEDESTRIAN,STRAIGHT MOVEMENT ANGLE,CLEAR,,DAYLIGHT,STOP SIGN,UNKNOWN,NONE DETECTED,3A05B5A9-271A-4C5D-9C56-521710EBAA1D,PEDESTRIAN,Walking to/from school,NO IMPROPER ACTIONS,SIDEWALK,NO PED. SIGNAL,DARK CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.02693747,-76.99088931,"(39.02693747, -76.99088931)"
EJ78370031,180049248,Gaithersburg Police Depar,Injury Crash,10/02/2018 02:39:00 PM,Municipality,FIRSTFIELD RD,Other Public Roadway,FIRSTFIELD RD (AHEAD),,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,N/A,DAYLIGHT,NO CONTROLS,N/A,N/A,6C1B01B9-BB08-4EE8-A421-D3ED6FEA8CC5,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION BUT NO CROSSWALK,N/A,LIGHT CLOTHING,No,POSSIBLE INJURY,NONE,39.144765,-77.21921667,"(39.144765, -77.21921667)"
MCP2485000J,16021742,Montgomery County Police,Injury Crash,05/03/2016 03:53:00 AM,County,DAIRYMAID DR,Maryland (State),GREAT SENECA HWY,,N/A,PEDESTRIAN,UNKNOWN,RAINING,WET,DARK NO LIGHTS,NO CONTROLS,,UNKNOWN,606617CE-AD74-4261-A932-154789F984F6,PEDESTRIAN,Cross/Enter at Intersection,UNKNOWN,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Unknown,POSSIBLE INJURY,NONE,39.15737,-77.27599667,"(39.15737, -77.27599667)"
MCP2298006X,15058021,MONTGOMERY,Injury Crash,11/13/2015 07:13:00 PM,,,,,DRIVE WAY TO 19815 GERMANTOWN ROAD EXXON,,PEDESTRIAN,OTHER,CLEAR,,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,NONE DETECTED,E7ABAB42-5A70-4151-B788-8F851BA8AF10,PEDESTRIAN,Walking/Cycling on Sidewalk,UNKNOWN,OTHER,N/A,MIXED CLOTHING,Unknown,SUSPECTED MINOR INJURY,NONE,39.181165,-77.26164833,"(39.181165, -77.26164833)"
MCP1378005N,15016641,Montgomery County Police,Injury Crash,04/10/2015 04:42:00 PM,,,,,PARKING LOT OF 104 N FREDERICK RD,,OTHER,OTHER,CLOUDY,,DAYLIGHT,N/A,,NONE DETECTED,2004E3F8-6F36-4B34-8B39-F090D0089922,OTHER,Other,OTHER,OTHER,N/A,N/A,,SUSPECTED MINOR INJURY,N/A,39.142305,-77.20062167,"(39.142305, -77.20062167)"
