Major PIN,Contract Number,Region,Project Title,Project Description,Status,In/Future Development Start Date,Bid Opening Date,Construction Start Date,Construction End Date,Construction Amount,Federal Funding,State Funding,Local Funding,Type of Work,Public Friendly Description,Contract Award Date,Contract Award Amount,Approved Cost Changes,Current Award Amount,Estimated or Actual Completed Date,Schedule Performance,Cost Performance
4T4818,D264188,04 GENESEE VALLEY,VEHICLE DETECTION & ITS MAINTENANCE,"Maintain existing & acquire new vehicle-detection assets on high-volume, limited access, principal arterials.",Under Construction,Summer 2016,03/19/2020,,,,Yes,Yes,No,"This project involves various technologies to assist in managing traffic to improve flow, safety, and air quality.","This project involves targeted maintenance of the Region 4 Intelligent Transportation Systems (ITS) network and enhancement of the Region's vehicle-detection capabilities on high-volume, limited access, principal arterials in Monroe County. Work will invo",04/16/2020,772009,0,772009,04/01/2021,GREEN,GREEN
4T5116,D263807,04 GENESEE VALLEY,R4 AUDIBLE DELINEATOR PROJECT,Implementation of systemic lane departure safety treatments on Federal Aid eligible NYSDOT facilities regionwide.,Completed Project,Spring 2018,10/11/2018,,,,Yes,Yes,No,,Implement systemic lane departure safety treatments on NYSDOT facilities regionwide.,11/29/2018,1419722,-319420,1100302,11/22/2019,RED,GREEN
4T5319,,04 GENESEE VALLEY,"ON-SYSTEM HIGHWAY CRACK SEALING, VPP 2019","ON-SYSTEM HIGHWAY CRACK SEALING, VPP 2019",Under Construction,,Spring 2019,Spring 2019,Spring 2020,700000.00,No,Yes,No,This project involves cleaning and sealing pavement cracks.,This project involves crack sealing of pavement regionwide to maintain the service life of the pavement.,,,,,,,
4T5320,,04 GENESEE VALLEY,ON-SYSTEM HIGHWAY REGIONAL CRACK SEALING 2020,On-system regional crack sealing.,Future Development,,Spring 2020,Spring 2020,Summer 2021,800000.00,No,Yes,No,This project involves cleaning and sealing pavement cracks.,This project involves crack sealing of pavement at locations throughout Region 4 to maintain the service life of the pavement. This preventative maintenance project is a cost-effective method to keep the pavement surface smooth for the traveling public by,,,,,,,
4T5321,,04 GENESEE VALLEY,ON-SYSTEM HIGHWAY REGIONAL CRACK SEALING 2021,On-system highway region-wide crack sealing.,Future Development,,Fall 2021,Winter 2021/2022,Fall 2022,800000.00,No,Yes,No,This project involves cleaning and sealing pavement cracks.,This project involves crack sealing of pavement at locations throughout Region 4 to maintain the service life of the pavement.,,,,,,,
4T5322,,04 GENESEE VALLEY,ON-SYSTEM HIGHWAY REGIONAL CRACK SEALING 2022,On-system highway regionwide crack sealing.,Future Development,,Fall 2022,Winter 2022/2023,Fall 2023,800000.00,No,Yes,No,This project involves cleaning and sealing pavement cracks.,This project involves crack sealing of pavement at locations throughout Region 4 to maintain the service life of the pavement.,,,,,,,
4T5323,,04 GENESEE VALLEY,ON SYSTEM HIGHWAY REGIONAL CRACK SEALING 2023,On-system highway regionwide crack sealing.,Future Development,,Fall 2023,Winter 2023/2024,Fall 2024,800000.00,No,Yes,No,This project involves cleaning and sealing pavement cracks.,This project involves crack sealing of pavement at locations throughout Region 4 to maintain the service life of the pavement.,,,,,,,
4T5324,,04 GENESEE VALLEY,ON SYSTEM HIGHWAY REGIONAL CRACK SEALING 2024,On-system highway regionwide crack sealing.,Future Development,,Fall 2024,Winter 2024/2025,Fall 2025,800000.00,No,Yes,No,This project involves cleaning and sealing pavement cracks.,This project involves crack sealing of pavement at locations throughout Region 4 to maintain the service life of the pavement.,,,,,,,
4T5419,D263950,04 GENESEE VALLEY,"ON-SYSTEM HIGHWAY CRACK SEALING, D CONTRACT 2019","ON-SYSTEM HIGHWAY CRACK SEALING, D CONTRACT 2019",Completed Project,Winter 2018/2019,06/06/2019,,,,No,Yes,No,This project involves cleaning and sealing pavement cracks.,This project involves crack sealing of pavement in communities in the region to maintain the service life of the pavement.,07/10/2019,979980,0,979980,10/01/2019,GREEN,GREEN
4TCC20,,04 GENESEE VALLEY,REGIONAL TRAFFIC OPERATION CENTER OPERATIONS STAFFING 2020,"NYSDOT TMC operations including staffing, ITS and ATMS equipment maintenance, utilities and facilities operations.",Future Development,,Spring 2015,Spring 2015,,,Yes,Yes,No,"This project involves various technologies to assist in managing traffic to improve flow, safety, and air quality.",This project will provide funds for the continued operation of the Regional Transportation Operations Center (RTOC). These funds will be used for the NYSDOT staffing of the RTOC; utility costs associated with the operation of ITS and ATMS equipment; fac,,,,,,,
500913,D264136,05 WESTERN NEW YORK,RT 83 SLOPE FAILURE & CULVERT REPLACEMENTS,"Rt 83 Slope Failure - Highway Alignment Relocation and Rt 83 Culvert Replacements (2) in the Town of Arkwright, Chautauqua County",Under Construction,Summer 2017,12/19/2019,,,,Yes,Yes,No,This project involves work to align roads and highways.,"This project will relocate the alignment of 0.4 miles of NY Route 83 approximately 30 ft to the south in the Town of Arkwright, Chautauqua County. This will help stabilize the embankment which has been exhibiting signs of failure. Two culverts on Rt 83 wi",02/06/2020,1903509,0,1903509,10/31/2020,GREEN,GREEN
504019,,05 WESTERN NEW YORK,NY 430 OVER DEWITTVILLE CK,NY 430 OVER DEWITTVILLE CK; BIN 1012040; TOWN OF CHAUTAUQUA; CHAUTAUQUA COUNTY,In Development,Spring 2018,Fall 2020,Winter 2020/2021,Spring 2021,2500000.00,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This project will replace or rehabilitate the NY Route 430, East Lake Road bridge over Dewittville Creek (BIN 1012040) in the Town of Chautauqua, Chautauqua County.",,,,,,,
504401,,05 WESTERN NEW YORK,"SOUTHTOWNS CONNECTOR, PHASE I; FUHRMANN BLVD AND RT 5","SOUTHTOWNS CONNECTOR, PHASE I; FUHRMANN BLVD AND RT 5; COAST GUARD BASE - UNION SHIP CANAL; CITIES OF BUFFALO & LACKAWANNA; ERIE COUNTY",Completed Project,Winter 2001/2002,Fall 2007,Winter 2007/2008,Fall 2010,58000000.00,Yes,Yes,Yes,This project involves reconstructing an asphalt highway.,"This project website contains information about all of the NYSDOT projects being undertaken on Buffalo's Outer Harbor.     Taking its cues from the natural environment and ecosystem of Lake Erie and from the rich industrial heritage of Buffalo, the Outer ",,,,,,,
505847,D263592,05 WESTERN NEW YORK,RT 60 OVER I-90,Bridge Repair of BIN 1027890 at RT 60 OVER I-90; Town of Dunkirk; Chautauqua County,Completed Project,Summer 2016,03/22/2018,,,,Yes,Yes,No,This project involves general bridge repairs.,"This project will repair the structure that carries NY Rt. 60 over the I-90 in the Town of Dunkirk, Chautauqua County.",05/03/2018,1972888,339595,2312483,07/22/2019,YELLOW,RED
505850,,05 WESTERN NEW YORK,RT 60 PASSING LANES,"Rt 60 - Addition of Passing Lanes; Towns of Gerry, Charlotte, and Stockton, Villages of Cassadaga and Sinclairville, Chautauqua County",In Development,Summer 2017,Spring 2020,Summer 2020,Fall 2020,4100000.00,No,Yes,No,This project involves constructing a new highway.,"This project will construct relief passing lanes at various locations along NY Route 60 within the Towns of Gerry, Charlotte, and Stockton. Villages of Cassadaga and Sinclairville in Chautauqua County. Additional work includes mill and overlay of travel l",,,,,,,
505851,,05 WESTERN NEW YORK,RT 60 OVER BRANCH OF CASSADAGA CK,RT 60 OVER BRANCH OF CASSADAGA CK; BIN 1027800; TOWN OF ELLICOTT; CHAUTAUQUA COUNTY,In Development,Spring 2018,Spring 2020,Summer 2020,Fall 2020,1200000.00,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This project will replace the NY Route 60 bridge over Cassadaga Creek (BIN 1027800) in the Town of Ellicott, Chautauqua County.",,,,,,,
50PS02,D263979,05 WESTERN NEW YORK,"PEDESTRIAN SAFETY ACTION PLAN (PSAP), PHASE IIA","Pedestrian Safety Action Plan (PSAP), Phase IIA.  Project will implement countermeasures that improve pedestrian safety in urban areas throughout the Region.",Under Construction,Spring 2017,06/20/2019,,,,Yes,No,No,"This project involves building or maintaining pedestrian facilities (paths, sidewalks, crosswalks, etc,).",This project will make improvements to pedestrian facilities at uncontrolled crosswalks and signalized intersections in urban areas throughout the Region. This effort is part of the New York State Pedestrian Safety Action Plan (PSAP announced by Governor ,08/09/2019,862974,33261,896235,11/30/2020,GREEN,GREEN
50PS03,D264110,05 WESTERN NEW YORK,PSAP - PHASE IIB; ERIE & NIAGARA COS,"Pedestrian Safety Action Plan (PSAP), Phase IIB.  Project will implement countermeasures that improve pedestrian safety in urban areas throughout Erie and Niagara Counties.",Under Construction,Spring 2017,01/30/2020,,,,Yes,No,No,"This project involves building or maintaining pedestrian facilities (paths, sidewalks, crosswalks, etc,).",This project will make improvements to pedestrian facilities at uncontrolled crosswalks and signalized intersections in urban areas throughout Erie and Niagara Counties. This effort is part of the New York State Pedestrian Safety Action Plan (PSAP announc,04/17/2020,4891736,0,4891736,12/01/2021,GREEN,GREEN
50PS04,D264111,05 WESTERN NEW YORK,PSAP - PHASE IIB; CATTARAUGUS & CHAUTAUQUA COS,"Pedestrian Safety Action Plan (PSAP), Phase IIB.  Project will implement countermeasures that improve pedestrian safety in urban areas throughout Cattaraugus and Chautauqua Counties",Under Construction,Spring 2017,12/19/2019,,,,Yes,No,No,"This project involves building or maintaining pedestrian facilities (paths, sidewalks, crosswalks, etc,).",This project will make improvements to pedestrian facilities at uncontrolled crosswalks and signalized intersections in urban areas throughout Cattaraugus and Chautauqua Counties. This effort is part of the New York State Pedestrian Safety Action Plan (PS,02/10/2020,2548016,0,2548016,12/01/2021,GREEN,GREEN
510184,,05 WESTERN NEW YORK,RT 219 SUPPLEMENTAL EIS,"RT 219 SUPPLEMENTAL EIS; CITY OF SALAMANCA; TOWNS OF ASHFORD, ELLICOTTVILLE & GREAT VALLEY; CATTARAUGUS COUNTY",In Development,,,,,,Yes,Yes,No,This project involves assessing the effects of proposed transportation projects on the environment.,"The New York State Department of Transportation (NYSDOT), in cooperation with the Federal Highway Administration, completed an Environmental Impact Statement (EIS) in 2003 on a proposal to improve Route 219 from Route 39 near Springville in Erie County to",,,,,,,
510190,D263815,05 WESTERN NEW YORK,RT 219/LEONARD BROOK,Bridge replacement of Rt US 219 over Leonard Brook; BIN 1063740; Town of Carrollton; Cattaraugus County,Completed Project,Summer 2015,11/08/2018,,,,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This project will replace the Route US 219 bridge over Leonard Brook in the Town of Carrollton, Cattaraugus County. Replacement of this bridge will allow for better flow of both vehicular and truck travel in the area enhancing a vital freight transportati",01/02/2019,1459583,349752,1809335,12/11/2019,GREEN,RED
510192,,05 WESTERN NEW YORK,RT 219; SNI TERRITORY - I-86 & RT 954T; I-86 - RT 417,MULTICOURSE OVERLAY OF ROUTE 219; 1 MILE SOUTH OF SNI TERRITORY - I-86 AND ROUTE 954T; I-86 - RT 417; INCLUDING GENERAL BRIDGE REPAIRS TO BINS 6041450; TOWN OF CARROLLTON; CATTARAUGUS COUNTY,In Development,Fall 2017,Fall 2020,Winter 2020/2021,Spring 2021,7700000.00,Yes,Yes,No,This project involves repaving with concrete by recycling the current concrete pavement.,"This project will resurface the pavement on the southbound and northbound pavement on US Route 219 from 1 mile south of the Seneca Nation of Indians (SNI) Territory to I-86 and Route 954T from I-86 to NY Route 417 in the Town of Carrollton, Cattaraugus Co",,,,,,,
510193,,05 WESTERN NEW YORK,RT 219; SNI RESERVATION LINE - PA STATE LINE,"Route 219; SNI reservation line to PA state line; Town of Carrollton, Cattaraugus County",In Development,Fall 2017,Winter 2019/2020,Spring 2020,Summer 2020,5900000.00,Yes,Yes,No,This project involves repaving with concrete by recycling the current concrete pavement.,"This project will utilize a crack and seating treatment, followed by a 3-course overlay on the section of US Route 219 from the Pennsylvania State Line to a point one mile south of the Seneca Nation of Indians (SNI) Territory in the Town of Carrollton, Ca",,,,,,,
511188,,05 WESTERN NEW YORK,RT 5 & OLD LAKESHORE RD INTERSECTION IMPROVEMENTS,RT 5 & OLD LAKESHORE RD INTERSECTION IMPROVEMENTS; TOWN OF BRANT; ERIE COUNTY,In Development,Fall 2006,Fall 2021,Winter 2021/2022,Spring 2022,1000000.00,Yes,Yes,No,This project involves work to align roads and highways.,"This project will make improvements to the intersection of NY Rt. 5 with Lucky Lane and Old Lakeshore Road in the Town of Brant, Erie County.",,,,,,,
513139,,05 WESTERN NEW YORK,RT 277 (UNION RD) @ RT 33 RAMPS,RT 277 (UNION RD) @ RT 33 RAMPS; Town of Cheektowaga; Erie Co,Future Development,Spring 2019,Spring 2021,Spring 2021,Fall 2021,260000.00,Yes,Yes,No,This project involves the installation or improvement of traffic signals.,"This project will replace traffic signals on NY Route 277, Union Road at the NY Route 33 ramps in the Town of Cheektowaga, Erie County to accommodate overhead signage and accessible pedestrian signals.",,,,,,,
513445,D263566,05 WESTERN NEW YORK,RT 5 (SKYWAY) REHABILITATION,"Bridge Rehabilitation Project - RT 5 (SKYWAY) REHABILITATION (BIN 1001579), Pearl St Ramp C (BIN 100157B), and 951K Over Upper Terrace (BIN 100157C) in the City of Buffalo in Erie County",Under Construction,Winter 2016/2017,01/11/2018,,,,Yes,Yes,Yes,This project involves general bridge rehabilitation work.,"This is a bridge rehabilitation project involving 3 bridges: NY Route 5 (SKYWAY), the Pearl St Ramp, and the ramp over Upper Terrace in the City of Buffalo in Erie County. This preventive maintenance work will include repairs to the bridge decks and subst",03/08/2018,29865355,3516351,33381706,07/01/2020,GREEN,RED
521509,D264041,05 WESTERN NEW YORK,ROUTE 179: ABBOTT RD TO US 20,ROUTE 179: MILESTRIP AT CALIFORNIA INTERSECTION IMPROVEMENT AND RESURFACE RT 179; ABBOTT TO RT 20; TNS OF ORCHARD PARK & HAMBURG; ERIE CO,Under Construction,Summer 2016,11/21/2019,,,,Yes,Yes,No,This project involves the widening of highways.,"Widen the pavement to introduce a left turn lane on westbound NY Route 179, Milestrip Road at California Road. Mill and resurface the pavement on NY Route 179 from Abbott Road to US Route 20, Southwestern Boulevard in the Towns of Orchard Park and Hamburg",12/23/2019,3966997,0,3966997,10/31/2020,GREEN,GREEN
526852,,05 WESTERN NEW YORK,"NY 240 @ CAZENOVIA CRK, ROW","NY 240 @ Cazenovia Creek, ROW needs to install Rock Vanes in the Town of Aurora, Erie County",Future Development,Spring 2019,Fall 2020,Winter 2020/2021,,210000.00,Yes,Yes,No,This project involves the repair and replacement of culverts.,"This project will address erosion caused by the W Branch of Cazenovia Creek along NY Route 240 at Reference Marker 240 5301 1144 in the Town of Aurora, Erie County by repairing the wall along the bank, relocating a small culvert, and installing rock vanes",,,,,,,
530834,,05 WESTERN NEW YORK,RT 62 @ NY 429 INTERSECTION IMPROVEMENTS,"Rt 62 @ NY 429 Intersection Improvements, in the Town of Wheatfield, Niagara County",In Development,Fall 2016,Fall 2020,Winter 2020/2021,Spring 2021,2200000.00,Yes,Yes,No,This project involves the widening of highways.,"Safety project which will reconstruct and widen the intersection of US Route 62 and NY Route 429 in the Town of Wheatfield, Niagara County to include the addition of left turn lanes.",,,,,,,
530836,,05 WESTERN NEW YORK,US 62 OVER BIG SISTER CK,US 62 OVER BIG SISTER CK; BIN 1028170; VILLAGE OF NORTH COLLINS; ERIE COUNTY,In Development,Spring 2018,Fall 2020,Fall 2020,Spring 2021,1500000.00,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This project will include a structural bridge replacement or rehabilitation of BIN 1028170 at Route 62 over Big Sisters Creek in the Village of North Collins, Erie County.",,,,,,,
530837,,05 WESTERN NEW YORK,RT 62 @ WITMER RD SAFETY IMPROVEMENTS,RT 62 @ WITMER RD SAFETY IMPROVEMENTS; Town of Wheatfield; Niagara County,In Development,Summer 2018,Spring 2022,Summer 2022,Fall 2022,2600000.00,Yes,Yes,No,This project involves the widening of highways.,"This safety project will construct a left-turn lane on US Route 62, Niagara Falls Boulevard at the Witmer Road intersection in the Town of Wheatfield in Niagara County. Sidewalks will also be included in this segment with the need for crosswalks to be eva",,,,,,,
530838,,05 WESTERN NEW YORK,"RT 62/950K, NIAGARA FALLS BLVD PED SAFETY IMPROVEMENTS","RT 62/950K, NIAGARA FALLS BLVD  PEDESTRIAN SAFETY IMPROVEMENTS (KENMORE - ERIE CO LINE); ERIE COUNTY",Future Development,Fall 2018,Spring 2020,Spring 2020,,2200000.00,Yes,Yes,No,"This project involves building or maintaining pedestrian facilities (paths, sidewalks, crosswalks, etc,).",This project will provide safety and mobility improvements for pedestrians on Niagara Falls Boulevard (US Route 62/Ref. Route 950K) from Kenmore Avenue to the Niagara County Line in the Towns of Amherst and Tonawanda in Erie County.,,,,,,,
535001,,05 WESTERN NEW YORK,NY 187 (TRANSIT RD) @ MILESTRIP RD,"NY 187 (Transit Road) at Milestrip Road, Intersection Safety Improvements; Towns of Orchard Park & Elma, Erie County",Future Development,Fall 2018,Spring 2022,Summer 2022,,1100000.00,Yes,Yes,No,This project involves reconstruction of intersections.,This project will install a three-color traffic signal at the NY Route 187 (Transit Road) and Milestrip Road intersection and include construction of a left turn lane on NY Route 187 at the intersection. This project is located in the Towns of Orchard Par,,,,,,,
539246,,05 WESTERN NEW YORK,RT 400 @ RT 16 TRAFFIC CALMING,RT 400 @ RT 16 TRAFFIC CALMING; Town of Aurora; Erie County,In Development,Summer 2018,Spring 2021,Summer 2021,Fall 2021,800000.00,Yes,Yes,No,"This project involves the installation of barriers to separate traffic into ""channels"" to improve safety.","This project will investigate traffic calming measures to reduce the expressway character at the southern end of the NY Route 400, Aurora Expressway where it meets NY Route 16, Olean Road in the Town of Aurora in Erie County.",,,,,,,
547022,,05 WESTERN NEW YORK,RT 198; SCAJAQUADA CORRIDOR PROJECT - SECTIONS 1 & 2,"Rt 198; Scajaquada Expressway Project to convert Rt 198 from an urban expressway into an urban boulevard with two travel lanes in each direction between the Grant St interchange and Parkside Ave, in its current location, in the City of Buffalo, Erie Co",In Development,Spring 2003,Spring 2021,Summer 2021,Summer 2024,77200000.00,Yes,Yes,No,This project involves reconstructing an asphalt highway.,"Rt 198; Scajaquada Expressway Project to convert Rt 198 from an urban expressway into an urban boulevard with two travel lanes in each direction between the Grant St interchange and Parkside Ave, in its current location, in the City of Buffalo, Erie Co.",,,,,,,
551252,,05 WESTERN NEW YORK,RT 33; RE-CONNECTING HUMBOLDT PARKWAY,Environmental Assessment of Rt 33 (Kensington Expressway); Best St - East Ferry St - Reconnecting Humboldt Parkway; City of Buffalo; Erie County,In Development,,,,Winter 2018/2019,,Yes,Yes,No,This project involves assessing the effects of proposed transportation projects on the environment.,"NY Route 33 (Kensington Expressway) from Best St to East Ferry St in the City of Buffalo, Erie County. The objective is to prepare an Envirmonmental Assessment for a proposed project to improve the visual quality and natural environment of the Humboldt Pa",,,,,,,
551253,,05 WESTERN NEW YORK,PED BRIDGES OVER RT 33,STUDY OF PED BRIDGES OVER RT 33 RAMPS at l-90; BINs 1022840 & 1022860; Town of Cheektowaga; Erie County,In Development,Fall 2010,Spring 2021,Summer 2021,Spring 2022,500000.00,No,Yes,No,This project involves the removal of a bridge.,"This study will evaluate the Department's options to address the structural deficiencies of two bridges providing pedestrian access over NY Route 33 ramps and the I-90 at Exit 51 in the Town of Cheektowaga. Bridge replacement, relocation, and removal alte",,,,,,,
558049,D263517,05 WESTERN NEW YORK,I-290 OVER NFTA CORRIDOR,"Replacement of 2 bridges (BINs 1045011 & 1045012) on the I-290 over  NFTA Corridor in the Town of Tonawanda, Erie County",Completed Project,Summer 2010,08/24/2017,,,,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This project will replace two bridges on the I-290 over NFTA Corridor in Town of Tonawanda, Erie County",10/11/2017,6459263,-20384,6438878,09/25/2019,GREEN,GREEN
558052,D264072,05 WESTERN NEW YORK,I-290 WB EXIT RAMP TO US 62,"I-290 WB Exit Ramp to US 62, Safety Improvements; Town of Amherst, Erie County",Under Construction,Summer 2017,10/24/2019,,,,Yes,Yes,No,This project involves reconstructing a highway interchange.,"This project will provide safety improvements to the I-290 WB Exit Ramp to US Route 62, Niagara Falls Blvd in the Town of Amherst, Erie County. Geometric changes, barrier modifications, and ramp relocation will be considered.",11/25/2019,1169931,0,1169931,10/01/2020,GREEN,GREEN
558053,,05 WESTERN NEW YORK,"I-290 @ MAIN ST, INTERCHANGE RECONFIGURATION - CMAQ","I-290 @ MAIN ST, INTERCHANGE RECONFIGURATION - TAP/CMAQ",Future Development,,Fall 2023,Fall 2023,Fall 2025,5400000.00,Yes,Yes,No,This project involves reconstructing a highway interchange.,,,,,,,,
575779,D263802,05 WESTERN NEW YORK,NIAGARA GORGE BICYCLE/PED TRAIL,NEW CONSTRUCTION OF NIAGARA GORGE BICYCLE & PEDESTRIAN TRAIL; TOWN & VILLAGE OF LEWISTON; NIAGARA COUNTY,Completed Project,Summer 2006,10/11/2018,,,,Yes,Yes,Yes,This project involves building or improving paths for shared use (bicycles and pedestrians).,This project will construct a 10 to 12 ft multi use trail providing pedestrian and bicycle access to the upper Niagara River Gorge and associated scenic vistas between Devil?s Hole State Park and the Village of Lewiston encouraging pedestrian/bicycle trav,12/24/2018,2010180,-108849,1901331,10/01/2019,GREEN,GREEN
575791,,05 WESTERN NEW YORK,NIAGARA RIVER GORGE - RMP NORTH FEASABILITY STUDY,Niagara River Gorge - RMP North Feasibility Study in the City of Niagara Falls and Town and Village of Lewiston  Niagara County,In Development,,,,Winter 2019/2020,,Yes,Yes,Yes,This project involves conducting studies to see if proposed transportation projects are realistic.,This project will study the removal of the Robert Moses Parkway and replace it with at grade landscaped road elements that will restore the visual/physical access from the neighborhoods and various natural and cultural features and facilities to the Niaga,,,,,,,
575879,,05 WESTERN NEW YORK,RED HOUSE BRIDGE (OLD RT 17)/ALLEGHANY RIVER,STRUCTURAL BRIDGE REPLACEMENT OF REDHOUSE BRIDGE BIN 6012230 (OLD RT 17) OVER ALLEGHENY RIVER; SENECA NATION; ALLEGANY TERRITORY,In Development,Winter 2007/2008,Spring 2020,Summer 2020,Summer 2021,14500000.00,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This project will replace the bridge (Redhouse Bridge) that carries old Rt. 17 over the Alleghany River in the Seneca Nation of Indians' Alleghany Territory. This project will also repair 5.7 miles of old Rt. 17, from Breed Run Rd to Bunker Hill Rd.",,,,,,,
575942,,05 WESTERN NEW YORK,OUTER HARBOR ENHANCEMENTS,"ENHANCEMENTS TO OUTER  HARBOR;  TIMES  BEACH & GALLAGHER BEACH, CITY OF BUFFALO; ERIE COUNTY",Completed Project,Spring 2008,Winter 2009/2010,Spring 2010,Spring 2012,1700000.00,Yes,No,Yes,This project involves building or improving paths for shared use (bicycles and pedestrians).,"Once a recreational beach, Times Beach is a prime stopping point for migratory birds. To make this area more pleasing, while also protecting an important ecosystem, a boardwalk with additional improvements will be constructed to provide a peaceful place t",,,,,,,
575943,,05 WESTERN NEW YORK,UNION SHIP CANAL PROMENADE ENHANCEMENT,"UNION SHIP CANAL PROMEMADE -  IMPROVE WESTERN END OF UNION SHIP  CANAL. CONSTRUCT BOARDWALK AND  PROMENADE WITH BENCHES,  ARCHITECTUAL LIGHTING, FISH  CLEANING TABLES AND RAISED  LETTERING INFORMATIONAL DISPLAYS; CITY OF BUFFALO; ERIE COUNTY",Completed Project,Spring 2008,Winter 2009/2010,Spring 2010,Fall 2012,3000000.00,Yes,No,No,This project involves building or improving paths for shared use (bicycles and pedestrians).,"The improvements will provide enhanced fishing access by constructing an ADA-compliant boardwalk and promenade area. This boardwalk and promenade will include benches, architectural lighting and heritage markers describing the Union Ship Canal area. A dec",,,,,,,
576040,,05 WESTERN NEW YORK,AMERICAN FALLS BRIDGES REPLACEMENT,REPLACEMENT OF AMERICAN FALLS BRIDGES; BINs 5522000 & 5522010 IN THE CITY OF NIAGARA FALLS; NIAGARA COUNTY,In Development,Fall 2012,Winter 2022/2023,Spring 2023,Summer 2025,,Yes,No,No,This project involves replacing a bridge due to structural problems.,"This project will replace the American Falls Bridges over the Niagara River at Green Island and Goat Island in the city of Niagara Falls, Niagara County.",,,,,,,
576172,D263983,05 WESTERN NEW YORK,JJ AUDUBON PKY/ELLICOTT CRK; BRIDGE SUPERSTRUCTURE REPLACE,"JJ AUDUBON PKY/ELLICOTT CRK (BIN 2266621); BRIDGE SUPERSTRUCTURE REPLACEMENT & ASSOCIATED HWY REALIGNMENT WORK, TOWN OF AMHERST, ERIE COUNTY",Under Construction,Winter 2016/2017,09/26/2019,,,,Yes,Yes,Yes,This project involves replacing a bridge due to structural problems.,"This project will replace the bridge superstructure on JJ Audubon Pky over Ellicott Crk in the Town of Amherst, Erie County. Project includes a Roundabout and highway realignment work.",11/08/2019,4213022,0,4213022,10/31/2020,GREEN,GREEN
576187,D900044,05 WESTERN NEW YORK,BUFFALO EXCHANGE STREET STATION,"Buffalo Exchange Street Station in the City of Buffalo, Erie County",Under Construction,,08/29/2018,,,,No,Yes,No,This project involves the building or maintenance of bus or passenger rail stations.,"This project will reconstruct the Buffalo Exchange Street Station in the City of Buffalo, Erie County. Vehicle and Pedestrian access around the station will also be improved.",12/03/2018,27650000,0,27650000,09/04/2020,GREEN,GREEN
576190,D263803,05 WESTERN NEW YORK,"NIAGARA GORGE CORRIDOR-ROBERT MOSES PARKWAY REMOVAL, PHASE 1","Niagara Gorge Corridor-Robert Moses Parkway Removal, Phase 1 - Whirlpool St & Auxiliary Rds Reconstruction from Main Street to Findlay Drive in the City of Niagara Falls, Niagara County.",Under Construction,Summer 2009,08/30/2018,,,,No,Yes,No,"This project involves building or maintaining pedestrian facilities (paths, sidewalks, crosswalks, etc,).",This project will remove the Robert Moses Parkway and restore it to full multi-modal access with at-grade landscaped elements and visual and physical access to neighborhoods and various natural and cultural features and facilities to the Niagara River and,10/22/2018,17982592,166703,18149296,06/30/2020,GREEN,GREEN
57619A,D263804,05 WESTERN NEW YORK,NIAGARA GORGE CORRIDOR-ROBERT MOSES PARKWAY REMOVAL-PHASE 2,"Niagara Gorge Corridor - RMP Removal - Phase 2.  This 2nd phase of 3 will remove a portion of the RMP, including demolition of the viaduct over the Whirlpool Br Customs Border Patrol Facility, the AMTRAK Lines and removal of the abandoned RR Trestle.",Completed Project,Summer 2009,11/08/2018,,,,No,No,No,"This project involves building or maintaining pedestrian facilities (paths, sidewalks, crosswalks, etc,).","Niagara Gorge Corridor - Robert Moses Parkway Removal - Phase 2. This 2nd phase of 3 will remove a portion of the RMP, including demolition of the 1700 ft long viaduct over the Whirlpool Br Customs Border Patrol Facility, the AMTRAK Lines and removal of t",01/02/2019,3428532,-518559,2909973,08/21/2019,GREEN,GREEN
57619B,D263805,05 WESTERN NEW YORK,NIAGARA GORGE CORRIDOR-ROBERT MOSES PARKWAY REMOVAL-PHASE 3,"Niagara Gorge Corridor - RMP Removal - Phase 3.  This phase will restore the footprint of the former RMP to a park setting, by means of landscaping, multi-use paths, picnic areas, enhanced lighting and scenic overlook areas.",Under Construction,Summer 2009,05/23/2019,,,,No,No,No,"This project involves building or maintaining pedestrian facilities (paths, sidewalks, crosswalks, etc,).","Niagara Gorge Corridor - RMP Removal - Phase 3. This 3rd phase of 3 will restore the footprint of the former RMP to a park setting, by means of landscaping, multi-use paths, picnic areas, enhanced lighting and scenic overlook areas. This project is in the",08/02/2019,18759000,-920170,17838830,11/30/2020,GREEN,GREEN
576274,D263842,05 WESTERN NEW YORK,AMERICAN FALLS BRIDGES MAINTENANCE,American Falls Bridges Maintenance - Mabey Structures Maintenance; BINs 5522000 & 5522010; City of Niagara Falls; Niagara Co,Completed Project,Summer 2018,11/29/2018,,,,No,No,No,This project involves general bridge repairs.,"This project will repair the identified structural deficiencies of the temporary Mabey bridges installed over the American Falls Bridges in Niagara Falls State Park, City of Niagara Falls, Niagara County.",01/24/2019,1074912,-32425,1042488,11/18/2019,GREEN,GREEN
