the_geom,OBJECTID,SSTYPE,SSSTAT,PROJID
"MULTILINESTRING ((-90.099765493669 29.975453761191, -90.099449595091 29.975747957877, -90.099421854372 29.975773514884, -90.099415864616 29.975779033665, -90.099039772516 29.97613235342))",592671,Water Line Replacement (FEMA),Planned,RR125
"MULTILINESTRING ((-89.988714210373 30.024209495808, -89.98817679102 30.024278260096, -89.988039016051 30.024295888662, -89.987640337839 30.024346892152, -89.985475624508 30.024623848809, -89.985473982142 30.024624002365, -89.985329726681 30.024637535255, -89.985310211604 30.024639365451, -89.985155927455 30.024652091486, -89.984713061952 30.024676877962, -89.984621274768 30.024683579752))",589024,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.099187784661 29.969276647891, -90.099847222531 29.968534684864, -90.099926596137 29.968448471588))",591303,Sewer Line Repair (SSERP),Complete,RR124
"MULTILINESTRING ((-90.106528164804 29.969112549203, -90.106296874719 29.969326116254, -90.105932564743 29.969662506041, -90.105785489006 29.969804285539))",591709,Water Line Replacement (FEMA),Planned,RR128
"MULTILINESTRING ((-90.054286847927 30.006742846377, -90.053380282625 30.006796825058))",592519,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR058
"MULTILINESTRING ((-90.122458063967 29.979696391563, -90.122474000711 29.979785099285, -90.122501641093 29.979938957477, -90.122509850894 29.980009575754, -90.122516143546 29.980080614981, -90.12252200729 29.980187490901, -90.122523557626 29.980251701766, -90.122522274907 29.98106100759, -90.122524390647 29.981116296312, -90.122520033628 29.981194774505))",590891,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.108427422375 29.977029895892, -90.109187945479 29.976183358003))",590699,Sewer Line Repair (SSERP),Complete,RR124
"MULTILINESTRING ((-90.01742157512 29.971415135427, -90.017392892238 29.971495520642, -90.017070511192 29.972444972812))",593606,Water Line Replacement (FEMA),Complete,PWF156
"MULTILINESTRING ((-90.119384444401 29.923573906635, -90.119476443226 29.923591570452, -90.119972949998 29.923694128462, -90.120138172856 29.923731826301, -90.12024291092 29.923759528876, -90.120847186625 29.923934940846))",593206,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.077383112333 29.981370140693, -90.07737250106 29.981416143076, -90.07728463684 29.981818731427, -90.077272417651 29.981874719598, -90.077254229349 29.981955876032, -90.077021441652 29.982994582586, -90.077001813909 29.98307347509, -90.07697474651 29.983182271312, -90.076888834462 29.983581926632, -90.076875639145 29.983643308957, -90.076773512199 29.984122084243, -90.076767272464 29.984151335184, -90.076599775555 29.984900125395, -90.076523357427 29.985238549688, -90.076412439158 29.985759447493, -90.076387799146 29.985836216993))",590834,Sewer Line Repair (SSERP),Complete,DPW349
"MULTILINESTRING ((-90.081466433002 29.946428746246, -90.081514364822 29.946362907395, -90.081523331469 29.946350590704, -90.081877660291 29.945863880114))",591985,Sewer Line Repair (SSERP),Complete,RR023
"MULTILINESTRING ((-90.066206739007 29.970402798693, -90.066643866754 29.970706884282, -90.066890381174 29.970878368251, -90.066978499242 29.97093966618))",591674,Sewer Line Repair (SSERP),Complete,RR003
"MULTILINESTRING ((-90.119015562839 29.945737115914, -90.119108790149 29.945789076431, -90.119719967312 29.946159583212, -90.119765316417 29.946185165507))",588844,Sewer Line Repair (SSERP),Planned,
"MULTILINESTRING ((-90.117468996199 30.008666975658, -90.117446646572 30.008976786211, -90.117398490082 30.009570835624))",588078,Sewer Line Repair (SSERP),Complete,RR193
"MULTILINESTRING ((-90.103041980885 29.948527366883, -90.103125889041 29.948518956873, -90.103980964968 29.948456077093, -90.104075989325 29.948447772276, -90.104173106627 29.948439284543))",590599,Sewer Line Repair (SSERP),Complete,RR010
"MULTILINESTRING ((-90.10594742361 29.941155160097, -90.106035010835 29.942048024794))",590110,Sewer Line Repair (ESSA),Complete,RR010
"MULTILINESTRING ((-90.10845401782 29.958241199931, -90.107942602407 29.959128823909))",589456,Sewer Line Replacement (ESSA),Complete,RR015
"MULTILINESTRING ((-90.11081539128 29.951814462568, -90.111432533415 29.952063818318, -90.111695620638 29.952170117031, -90.111831015846 29.952226299649))",589706,Water Line Replacement (FEMA),Complete,DPW359
"MULTILINESTRING ((-89.964446406392 30.019496024888, -89.964350993404 30.019519971573, -89.963764722802 30.019664855458))",588542,Water Line Replacement (FEMA),Planned,RR147
"MULTILINESTRING ((-90.110086470141 29.943533191337, -90.110021865974 29.94379146112, -90.109848027849 29.94444509246))",590092,Sewer Line Repair (SSERP),Complete,RR116
"MULTILINESTRING ((-90.103925305514 29.932296540073, -90.103926525394 29.93230959675, -90.104023989764 29.933256185605))",590202,Sewer Line Repair (ESSA),Complete,RR185
"MULTILINESTRING ((-90.048640388713 29.96731409069, -90.047885463108 29.967140956082, -90.047576669985 29.967070140647, -90.047509698168 29.967054776236))",594338,Sewer Line Repair (SSERP),Complete,RR020
"MULTILINESTRING ((-90.134114202786 29.94031316293, -90.134201143769 29.940382009279, -90.134384684865 29.9405331698, -90.134395691479 29.940542234438))",588941,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR008
"MULTILINESTRING ((-90.119460935347 29.997535630728, -90.119455667574 29.997623525121, -90.119411883752 29.998264702223, -90.119402143227 29.99835635269))",590792,"Drainage Line, Sewer Line, and Water Line Replacement",Complete,DPW215
"MULTILINESTRING ((-90.12152389661 29.959592249525, -90.121627185027 29.959671899756, -90.122345711605 29.960248595253))",589587,Sewer Line Repair (SSERP),Planned,RR067
"MULTILINESTRING ((-90.04479134382 29.979832913805, -90.044701666409 29.980134155479, -90.044619553277 29.980394770896, -90.044566689238 29.980562554629, -90.044474216494 29.980875020587))",593964,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",Planned,RR168
"MULTILINESTRING ((-90.121172535638 29.949615319233, -90.120746059702 29.950010297298, -90.120417303761 29.950320470682))",589767,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR034
"MULTILINESTRING ((-90.113588135892 29.921703554409, -90.113570529507 29.921798542814, -90.113503220347 29.922278454477, -90.113426712778 29.92274099214))",590275,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,DPW018
"MULTILINESTRING ((-90.00030471397 29.97312551968, -89.999836433849 29.974117505485))",593880,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",Planned,RR107
"MULTILINESTRING ((-90.03236583182 29.979238605044, -90.032054933365 29.98027744905))",593344,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR047
"MULTILINESTRING ((-90.049872923997 29.983219967475, -90.049793246528 29.983221588676, -90.048955704893 29.983275985285, -90.048867037858 29.983282677979))",594029,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR181
"MULTILINESTRING ((-89.962895877076 30.02535893353, -89.96294679308 30.025903045014, -89.9630175283 30.026579455267, -89.963087491221 30.027276971351))",587742,Water Line Replacement (SWB),Planned,RR147
"MULTILINESTRING ((-90.065284710527 29.959028948173, -90.065535857737 29.959196821399, -90.065949707926 29.959473446695, -90.066188275983 29.959632223792))",595017,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.06832414699 29.94516659798, -90.069210604746 29.945368888876))",594755,Sewer Line Repair (SSERP),Complete,DPW392
"MULTILINESTRING ((-90.121698299293 29.963687008328, -90.121699003031 29.963687580467, -90.122055013979 29.963977939525, -90.122502448972 29.964342856037))",589589,Sewer Line Repair (SSERP),Planned,RR067
"MULTILINESTRING ((-90.134686607933 29.948685457646, -90.135185263876 29.949083568194, -90.135460611482 29.949303394549, -90.1355388082 29.949306264522))",589442,Sewer Line Repair (SSERP),Planned,RR067
"MULTILINESTRING ((-90.076592448997 30.00974889244, -90.076487824949 30.009756256442, -90.076066578161 30.009784444563, -90.075098602222 30.009846614423, -90.074819339389 30.009864549197, -90.074807322878 30.009865332978, -90.074707315156 30.009872662079))",588406,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",Planned,RR044
"MULTILINESTRING ((-89.9259103854 30.057639494684, -89.926065445079 30.057629768969, -89.926100661474 30.057632465585, -89.92614137378 30.057639648351, -89.926187300568 30.057650314225, -89.92622783505 30.057662082844, -89.926258149905 30.057673526684, -89.92635544902 30.057716807326, -89.926445612827 30.057760277091, -89.926474015253 30.057775456285, -89.926680883565 30.05789223304, -89.926772308409 30.057945806626, -89.927050234282 30.058119647672))",587724,Sewer Line Repair (SSERP),Complete,RR187
"MULTILINESTRING ((-90.112976823114 30.002525936305, -90.113051414336 30.0025330469, -90.11343913823 30.002570006964, -90.113490479491 30.002575145408, -90.113725090001 30.002593842283, -90.113808078939 30.002603043309))",588634,Sewer Line Repair (SSERP),Complete,PWF172
"MULTILINESTRING ((-90.049876679053 29.966559534635, -90.049626041078 29.966503412857, -90.049391758682 29.966448919066, -90.048936988879 29.966346849305))",594344,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.087197635579 29.9372841291, -90.087291382756 29.937231936341, -90.088013116687 29.936819730849))",591782,Sewer Line Repair (SSERP),Complete,RR022
"MULTILINESTRING ((-90.130178380994 29.941176516038, -90.130078610326 29.941264013422, -90.129938006737 29.941399348688, -90.129903126788 29.941432921621, -90.129902345249 29.941433648917, -90.12990072126 29.941435160679, -90.129897653536 29.941438017068, -90.12947759511 29.941829024625))",588746,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR034
"MULTILINESTRING ((-90.005448531079 29.969216495163, -90.005323125723 29.969173532055, -90.004599454277 29.9689129359, -90.004498271357 29.968873975402))",593497,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",Complete,DPW130
"MULTILINESTRING ((-90.044359396094 30.002821202975, -90.044356967277 30.002852014569, -90.044357532108 30.002882894194, -90.044375306596 30.002992208363, -90.044392537393 30.003079914561, -90.044404105567 30.003117455589, -90.044416946558 30.003154535465, -90.044452530368 30.00322306673, -90.044475181634 30.00326263535, -90.044494042685 30.00329437996, -90.044517205987 30.003327470135, -90.044531628596 30.003345721623, -90.044633296905 30.003474378968, -90.044660489856 30.003512406789, -90.044679714966 30.003542541552, -90.044702004925 30.003581759347, -90.044729520029 30.003639711452, -90.044741708032 30.003672224062, -90.044805791532 30.004022520917, -90.044918339811 30.00470555831, -90.044939626343 30.004826653782, -90.045006782708 30.005199022464, -90.045036134424 30.005341373023, -90.045038107387 30.005351222925, -90.045055336993 30.005437250658))",595470,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.094379820331 29.966015174338, -90.094644949992 29.965715479009, -90.094787428979 29.965554411583, -90.09485623408 29.965476648536, -90.09497295056 29.965344713938, -90.094983214855 29.965333543591, -90.095117671982 29.965187227367))",591600,Sewer Line Repair (SSERP),Planned,RR124
"MULTILINESTRING ((-90.052137652568 29.98308598721, -90.052139924918 29.983160663159, -90.052209104941 29.984041415351, -90.052215384744 29.984103850115))",594085,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.118664485494 30.008236648, -90.11873816454 30.008240649702, -90.119541055148 30.008284507479, -90.121298325401 30.008383744005))",588125,Sewer Line Repair (SSERP),Complete,RR193
"MULTILINESTRING ((-90.08339794821 29.923315248836, -90.083887712524 29.923972117052, -90.083962231778 29.924068755371, -90.084022648866 29.924156825781))",590569,Water Line Replacement (FEMA),Planned,RR035
"MULTILINESTRING ((-90.113715316431 30.003865349486, -90.113708725697 30.003938689189, -90.113703912591 30.004004720331, -90.113652126825 30.004715227965, -90.113648050595 30.004771199028, -90.113631194296 30.005002432761, -90.113624776889 30.005090473915))",588090,Sewer Line Repair (ESSA),Complete,RR090
"MULTILINESTRING ((-90.015543563365 29.955675467167, -90.015388832138 29.956167748155, -90.015280998156 29.956510194122, -90.015231454609 29.956628700538))",594166,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-89.930515274391 30.043911714474, -89.930427859948 30.043919325687, -89.930195593016 30.043935137743, -89.929993609646 30.043990771559))",589070,Sewer Line Repair (SSERP),Complete,RR187
"MULTILINESTRING ((-90.104392307568 29.963255535643, -90.10494918035 29.962497449842, -90.105016765199 29.96241049462))",589445,Sewer Line Repair (SSERP),Planned,RR015
"MULTILINESTRING ((-90.065122094515 29.953238893624, -90.065066508508 29.953364652752, -90.064685548432 29.954189979559))",595067,Sewer Line Repair (SSERP),Complete,DPW373
"MULTILINESTRING ((-90.105007419603 30.002538451089, -90.105508088381 30.002582003553, -90.105925112302 30.002616584922, -90.106011202414 30.002627549138))",588447,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",Planned,RR091
"MULTILINESTRING ((-90.080248670682 29.990540862405, -90.080296276495 29.991844660654, -90.080298767834 29.99192957451))",588329,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR006
"MULTILINESTRING ((-90.06089360339 30.016797542875, -90.060933789751 30.01731090948, -90.060972107455 30.017756975756, -90.060971040797 30.017774033587, -90.060975912476 30.017844713708, -90.061053717411 30.018779290768, -90.061058737471 30.018859479029, -90.061099932416 30.019359012355))",595443,Sewer Line Repair (SSERP),Complete,DPW052
"MULTILINESTRING ((-90.075861838162 30.026725141128, -90.075271696572 30.027500732106))",588135,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",Planned,RR071
"MULTILINESTRING ((-90.117714491481 29.9261209257, -90.11782661307 29.926143048639, -90.118579729308 29.926286530422, -90.118661067787 29.926304903826))",590536,Sewer Line Repair (ESSA),Complete,
"MULTILINESTRING ((-90.096685131406 29.950107465878, -90.097528112371 29.949633988827))",589880,"Drainage Line, Sewer Line (SSERP), and Water Line Replacement",Planned,RR021
"MULTILINESTRING ((-90.071709951028 29.975501720162, -90.071629962149 29.97559388167, -90.071379484302 29.975875886885, -90.07127542754 29.975990333337, -90.071201388401 29.976071765525, -90.070994203272 29.976303698382))",591141,Sewer Line Repair (SSERP),Complete,DPW129
"MULTILINESTRING ((-90.006217995877 29.974116803276, -90.005796644553 29.973964109773, -90.005694351361 29.973925767049))",593503,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR106
"MULTILINESTRING ((-90.076108315903 29.997932665522, -90.075248242198 29.997985145704, -90.074946150794 29.998003491133))",588587,Water Line Replacement (FEMA),Planned,
"MULTILINESTRING ((-90.113107252658 29.918432364122, -90.113186479228 29.918438285076, -90.11414732142 29.918441387715))",593155,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.012552805716 29.971419590202, -90.012235758223 29.97238194575, -90.012214102534 29.972452033813))",593455,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.085395335639 29.934854874978, -90.085932721431 29.935583551877, -90.085997895178 29.935662208204))",591903,Sewer Line Repair (SSERP),Complete,RR022
"MULTILINESTRING ((-89.912430174724 30.038772818104, -89.912430329323 30.038773183389, -89.91246316343 30.038851009491, -89.912785458538 30.03964961183, -89.912872748986 30.039865904044, -89.912883847722 30.039892991406, -89.912906169337 30.039947469833, -89.912910135332 30.039960890923, -89.91327890764 30.040888860352, -89.913315386714 30.04097573531))",587720,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.134463627021 29.944644361477, -90.134380139334 29.944722605767, -90.134204208309 29.944887487096, -90.134140260164 29.944947419217, -90.134032085655 29.94504643742, -90.134031319643 29.945047167697, -90.133813976473 29.945254166673, -90.133761251416 29.945304381948))",589901,Sewer Line Repair (SSERP),Planned,RR097
"MULTILINESTRING ((-90.084337568571 29.998456665036, -90.084180899955 29.99846260828, -90.083173097634 29.998522778698))",588371,Sewer Line Repair (SSERP),Complete,DPW521
"MULTILINESTRING ((-90.095046968016 29.924953022096, -90.095135325482 29.924938029648, -90.09534309664 29.924896702549, -90.095802656494 29.924805291174, -90.095881982284 29.924799356463))",590352,Sewer Line Repair (SSERP),Complete,PWF118
"MULTILINESTRING ((-90.04554149413 30.014253045704, -90.045555470779 30.01426316822, -90.045567604636 30.014274954377, -90.045577635438 30.01428815277, -90.045585348997 30.014302483224, -90.045590581627 30.014317638607, -90.045593221019 30.01433329539, -90.045672076034 30.015277533021, -90.045682605237 30.015459924458, -90.045688492259 30.015526834932))",592382,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR143
"MULTILINESTRING ((-90.033268143718 29.972788414245, -90.032671977296 29.972652967373, -90.032296777941 29.97257143248))",593767,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",Planned,RR173
"MULTILINESTRING ((-90.088422816065 29.979316550757, -90.08835566477 29.979477932388, -90.088316024644 29.979572921523, -90.088156215234 29.979937005984, -90.088151145073 29.979951640721, -90.088148776314 29.979964987535, -90.088158574537 29.980003954329, -90.088296007001 29.980101415982, -90.088664781765 29.980365238707, -90.089025553851 29.980622589268))",591274,Sewer Line Repair (SSERP),Planned,RR025
"MULTILINESTRING ((-90.116874837937 29.998215811357, -90.119151184263 29.998341655225))",590007,Sewer Line Repair (SSERP),Complete,RR094
"MULTILINESTRING ((-90.114523188212 29.935922217968, -90.114211198025 29.936773142062))",592893,Sewer Line Replacement (SSERP),Complete,DPW131
"MULTILINESTRING ((-90.126453541731 29.944656342513, -90.126359403899 29.944749247234, -90.125705539257 29.945366826915))",588714,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR034
"MULTILINESTRING ((-90.075060970386 29.939861680297, -90.075095701714 29.939814706815, -90.075278804347 29.939565171463, -90.075511463334 29.939249496447, -90.075563422802 29.9391793378))",594590,Sewer Line Repair (SSERP),Complete,DPW184
"MULTILINESTRING ((-90.075115757636 29.962417243783, -90.075195854985 29.962468542397, -90.075218127827 29.962482807668, -90.075305131383 29.962538529989, -90.075562080579 29.962711267763, -90.075642886429 29.962765598126, -90.075691918269 29.962799688087, -90.075857816331 29.962915031601, -90.075897546717 29.962941620031))",591757,Sewer Line Repair (SSERP),Planned,DPW450
"MULTILINESTRING ((-90.10104254717 29.972026179981, -90.101145805715 29.972097753824, -90.101303696189 29.972204468203, -90.101644561318 29.972434437956, -90.101710096032 29.972478662889, -90.101826218035 29.972556993303, -90.101833637924 29.972562015164, -90.102208479313 29.972814913668, -90.102262153973 29.972852956297))",591416,Sewer Line Repair (SSERP),Complete,RR124
"MULTILINESTRING ((-90.008516852795 29.968029101996, -90.00847297386 29.968107888834, -90.008049266367 29.969013274391))",593479,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",Planned,RR105
"MULTILINESTRING ((-90.073670111505 30.011744677435, -90.073718715358 30.012312530668, -90.073730235986 30.012496546715, -90.073771998271 30.013006522863, -90.073786189765 30.013179856879, -90.073792457276 30.013282808731, -90.073800139173 30.013362754779))",588379,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",Planned,RR039
"MULTILINESTRING ((-90.084256679122 29.947199059517, -90.084226436057 29.947239869749, -90.084139739822 29.947354820513, -90.084058576741 29.947459751293, -90.083973979647 29.947569121921, -90.083777234189 29.947838472145, -90.083757697774 29.947865217204, -90.083701619454 29.94794198932))",592114,Sewer Line Repair (SSERP),Complete,RR023
"MULTILINESTRING ((-90.086047376157 29.93102117795, -90.086090855872 29.931079590833, -90.086665601308 29.931851091947))",593243,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.01280234321 29.959099169748, -90.012707075039 29.959061866369, -90.011748445096 29.958710915693))",593871,Sewer Line Repair (SSERP),Complete,PWF170
"MULTILINESTRING ((-90.048287183454 30.003090584258, -90.048295643115 30.003168377218, -90.048310146369 30.003301748376, -90.048316092729 30.003382715932, -90.048323653098 30.003485658623, -90.048334394583 30.003631907501, -90.048347595354 30.003811650967, -90.048424592236 30.004717087066, -90.0484577446 30.005168011714, -90.048471803953 30.005328625562))",592416,Sewer Line Repair (SSERP),Complete,RR051
"MULTILINESTRING ((-90.073867454703 29.931598427416, -90.073959089049 29.931690176425, -90.074269844127 29.931985626933, -90.07441125987 29.932123550159))",594674,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-89.978776344565 30.01597848593, -89.97877635106 30.015978543724, -89.978785487079 30.016057902917, -89.978839512371 30.016527206851, -89.978847465193 30.016595979792, -89.978850505319 30.016676017044, -89.978850363671 30.016794359065, -89.978846619958 30.017018066768, -89.978849594618 30.017075454635, -89.978872946354 30.017302432002, -89.978997461833 30.018512679133, -89.978999521165 30.01853119595, -89.978999541539 30.018531378495, -89.979005576776 30.018585631942, -89.979005889097 30.018588441998))",587909,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.103345862526 29.972088563993, -90.103429575338 29.972145106272, -90.10415956228 29.972640423937, -90.104670828542 29.972969582344))",592678,Water Line Replacement (FEMA),Complete,DPW363
"MULTILINESTRING ((-90.083228018384 29.981000189433, -90.081538330135 29.980942557587, -90.08146054679 29.980938806974))",590649,Sewer Line Replacement (ESSA),Complete,DPW636
"MULTILINESTRING ((-90.092061300873 29.964442887875, -90.092364876114 29.964092414314, -90.092539888116 29.963897378633, -90.092708173761 29.963709837241, -90.09270889135 29.963709038458, -90.09279126701 29.963614073587))",591606,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",Planned,DPW458
"MULTILINESTRING ((-90.080171283522 29.953973331188, -90.080487317239 29.954117163908, -90.081009483667 29.954356629593))",595398,Water Line Replacement (FEMA)/Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.08898858938 30.026451498149, -90.089037087952 30.026404481795, -90.089243094156 30.026378339579, -90.090255959968 30.026231571344, -90.090668226407 30.026170223951))",588171,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",Planned,RR077
"MULTILINESTRING ((-90.054070972745 29.978901297014, -90.053982301365 29.978907684548, -90.053474860119 29.978935623734, -90.053144488035 29.978953812438, -90.053115580324 29.978955439446, -90.053057317581 29.97895871989))",594118,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",Complete,DPW067
"MULTILINESTRING ((-90.083587489664 29.932403097107, -90.083629701051 29.932460068751, -90.083769207652 29.932651521698, -90.084128729865 29.933157878453, -90.084190521123 29.933240966971))",591910,Sewer Line Repair (SSERP),Complete,RR022
"MULTILINESTRING ((-90.112227117724 29.939163113975, -90.112014174817 29.939956176491, -90.111984191374 29.940082083583))",590122,Sewer Line Replacement (SSERP),Complete,RR001
"MULTILINESTRING ((-90.053091638545 30.023629777142, -90.053098452268 30.023693742376, -90.05316862538 30.024571066816, -90.053171460714 30.024645946257))",592131,Sewer Line Repair (SSERP),Complete,RR130
"MULTILINESTRING ((-90.117025421493 29.937844759373, -90.116937910929 29.938031853416, -90.116784395805 29.938365027116, -90.116678468403 29.938584172651, -90.116606043134 29.938729829635))",592870,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.009615933827 30.009599081662, -90.009626250896 30.009678806999, -90.009640664179 30.009807640041, -90.009689571107 30.010356681572, -90.009697128313 30.010426520364))",587882,Water Line Replacement (SWB),Planned,RR186
"MULTILINESTRING ((-90.080819084006 29.921374964043, -90.081208221132 29.921904074784, -90.081274296321 29.92198748163))",590575,Sewer Line Replacement (SSERP),Complete,RR035
"MULTILINESTRING ((-90.069911303284 29.982020125236, -90.069988185702 29.982962954282, -90.069992710448 29.983030621307))",591134,Sewer Line Repair (SSERP),Complete,RR003
"MULTILINESTRING ((-90.109848027849 29.94444509246, -90.110714898846 29.944620928591, -90.110789471408 29.944646307377))",590497,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR123
"MULTILINESTRING ((-89.965275878542 30.048403353792, -89.965301603182 30.048406444017, -89.96533417869 30.048414071372, -89.965352797445 30.048420475764, -89.965419664681 30.048453506047, -89.965852917872 30.048961011358, -89.966291960074 30.049481536693))",589202,Sewer Line Repair (SSERP),Planned,
"MULTILINESTRING ((-90.117855091143 30.015962170046, -90.117801264098 30.016711833137, -90.117793114952 30.016785447303))",589979,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",Complete,DPW059
"MULTILINESTRING ((-90.115530428829 29.923158452507, -90.11650769935 29.923358459046, -90.116508996893 29.923358724665))",593180,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.106068247756 30.019460650182, -90.106475372253 30.019494856072))",589261,Water Line Replacement (FEMA),Planned,RR085
"MULTILINESTRING ((-90.112635966768 29.972140301138, -90.112588801109 29.972192988317, -90.11236093025 29.972408272044, -90.112266549518 29.972492316279))",589482,Sewer Line Repair (SSERP),Planned,
"MULTILINESTRING ((-89.976668507178 30.018814600394, -89.97576382999 30.018920791722, -89.975762685684 30.01892092618))",587848,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.106489504642 29.982547339616, -90.107216858289 29.983047671144, -90.107221126926 29.983050561907, -90.107346274421 29.98313531758))",591020,Sewer Line Replacement (ESSA),Complete,RR125
"MULTILINESTRING ((-90.017070511192 29.972444972812, -90.017044844727 29.972532855804, -90.016723411371 29.973474541189))",593599,Water Line Replacement (FEMA),Complete,PWF156
"MULTILINESTRING ((-90.068873415844 29.958244040272, -90.069187604029 29.958454347569, -90.069239106115 29.958488821182, -90.069373047057 29.95857847637, -90.069795277263 29.958870785055))",595033,Sewer Line Repair (SSERP),Complete,DPW370
"MULTILINESTRING ((-90.093175393571 29.926120343906, -90.093456746323 29.926859523904, -90.093617148057 29.927280931428, -90.093650161767 29.927364514674))",590248,Sewer Line Repair (SSERP),Complete,PWF118
"MULTILINESTRING ((-90.023251404954 30.025536818589, -90.023150477083 30.025564980567, -90.021462291957 30.026073239135, -90.021392274277 30.026092652053))",588036,Sewer Line Repair (SSERP),Planned,RR133
"MULTILINESTRING ((-90.045754399785 29.97672424247, -90.045338274603 29.976627687948, -90.044902226795 29.976526506279, -90.044884319051 29.976522351264))",594013,Sewer Line Repair (ESSA),Complete,RR167
"MULTILINESTRING ((-90.073101357898 29.932216337301, -90.073173060102 29.932290384587, -90.073347077452 29.932450937729, -90.073463599598 29.932558443904))",594666,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-89.968627438793 30.023572370077, -89.968634256986 30.023641141898, -89.968644789616 30.023764425021, -89.968695633186 30.024253563352))",589039,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.11600432108 29.970416039821, -90.116048434901 29.970451046197, -90.116760821065 29.971016348985, -90.116770923138 29.971023184699, -90.116782126672 29.97102856347, -90.116794157972 29.971032352176, -90.116806721805 29.971034459561, -90.116819508736 29.971034832076))",588974,Water Line Replacement (FEMA),Planned,RR062
"MULTILINESTRING ((-90.051946464635 30.024716408431, -90.052035749833 30.025729166653))",595420,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.054715048459 29.994299289608, -90.054732748637 29.994326634728, -90.054991234767 29.994725988307))",592339,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR053
"MULTILINESTRING ((-90.060551508045 30.017867555792, -90.060601117849 30.018441852075, -90.060618980538 30.018680550983, -90.060636455191 30.018882299515))",592228,Sewer Line Replacement (ESSA),Complete,DPW052
"MULTILINESTRING ((-90.086509305214 29.978097741544, -90.08642310794 29.978312210875, -90.086350990352 29.978491648433, -90.086147885232 29.978993434443, -90.086070094631 29.979192031002))",591699,Sewer Line Repair (SSERP),Complete,RR003
"MULTILINESTRING ((-90.053143631928 29.983027550913, -90.053072521576 29.983030688297, -90.052137652568 29.98308598721))",594116,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",Planned,RR181
"MULTILINESTRING ((-89.993385573544 29.908928306685, -89.99339205581 29.908805145684, -89.993397175661 29.908739822365, -89.993403115126 29.908664037025, -89.993433600796 29.908014130943, -89.993459574559 29.907517271014, -89.993474018208 29.907288564781, -89.993485709762 29.907008423601, -89.993486167387 29.906891693739, -89.993482571825 29.906835827446, -89.993455552736 29.906640791828))",595638,"Drainage Line, Sewer Line, and Water Line Replacement",Complete,DPW212
"MULTILINESTRING ((-90.122967286181 29.923637069219, -90.123879768466 29.923999362446, -90.123998316408 29.924049729259))",593223,Sewer Line Repair (SSERP),Complete,
