Reporting Area,MMWR Year,MMWR Week,"Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Current week","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Current week, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Previous 52 weeks Max†","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Previous 52 weeks Max†, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Cum 2019†","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Cum 2019†, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Cum 2018†","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Cum 2018†, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Current week","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Current week, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Previous 52 weeks Max†","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Previous 52 weeks Max†, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Cum 2019†","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Cum 2019†, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Cum 2018†","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Cum 2018†, flag",Location 1,Location 2
WASHINGTON,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
KENTUCKY,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
IOWA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
TENNESSEE,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
NEW MEXICO,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
IDAHO,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
MAINE,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
KANSAS,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
HAWAII,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
ALASKA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
FLORIDA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
COLORADO,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
PUERTO RICO,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
GUAM,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEW JERSEY,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
PENNSYLVANIA,2019,7,,-,1,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
INDIANA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NEVADA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
DELAWARE,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
WISCONSIN,2019,7,,-,1,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
ILLINOIS,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
MISSISSIPPI,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEW HAMPSHIRE,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
RHODE ISLAND,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
SOUTH CAROLINA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
NORTH CAROLINA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
DISTRICT OF COLUMBIA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
UTAH,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
MARYLAND,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
NEW YORK,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
LOUISIANA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
CONNECTICUT,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
U.S. VIRGIN ISLANDS,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NORTH DAKOTA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
ARIZONA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
SOUTH DAKOTA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
TEXAS,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
MISSOURI,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
GEORGIA,2019,7,,-,1,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
VERMONT,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MASSACHUSETTS,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
OHIO,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
ARKANSAS,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
CALIFORNIA,2019,7,,-,1,,,-,,-,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
NEBRASKA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MICHIGAN,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
MINNESOTA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MONTANA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
ALABAMA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
OKLAHOMA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
WYOMING,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NORTHERN MARIANA ISLANDS,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
OREGON,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
WEST VIRGINIA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
VIRGINIA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
US RESIDENTS,2019,8,,-,1,,,-,,-,,-,0,,,-,,-,,US RESIDENTS
NEW ENGLAND,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND
MIDDDLE ATLANTIC,2019,8,,-,1,,,-,,-,,-,0,,,-,,-,,MIDDDLE ATLANTIC
NEW YORK CITY,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
EAST NORTH CENTRAL,2019,8,,-,1,,,-,,-,,-,0,,,-,,-,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,8,,-,1,,,-,,-,,-,0,,,-,,-,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL
MOUNTAIN,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,MOUNTAIN
PACIFIC,2019,8,,-,1,,,-,,-,,-,0,,,-,,-,,PACIFIC
US TERRITORIES,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
AMERICAN SAMOA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA
NON-US RESIDENTS,2019,8,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
TOTAL,2019,8,,-,1,,,-,,-,,-,0,,,-,,-,,TOTAL
OKLAHOMA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
DISTRICT OF COLUMBIA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
RHODE ISLAND,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
TOTAL,2019,11,,-,1,,,-,,-,,-,0,,,-,,-,,TOTAL
CALIFORNIA,2019,8,,-,1,,,-,,-,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
WYOMING,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEW YORK,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
KANSAS,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
TENNESSEE,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
HAWAII,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
U.S. VIRGIN ISLANDS,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
LOUISIANA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
WEST VIRGINIA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NORTHERN MARIANA ISLANDS,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
COLORADO,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
NEVADA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NEW JERSEY,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
ARKANSAS,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NORTH DAKOTA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MISSOURI,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
INDIANA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
IOWA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
PUERTO RICO,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
PENNSYLVANIA,2019,8,,-,1,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
UTAH,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
MICHIGAN,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
SOUTH DAKOTA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
VIRGINIA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
MASSACHUSETTS,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
IDAHO,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
KENTUCKY,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
WISCONSIN,2019,8,,-,1,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
VERMONT,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
FLORIDA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
NEW MEXICO,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
GEORGIA,2019,8,,-,1,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
WASHINGTON,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
MINNESOTA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NEW HAMPSHIRE,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
SOUTH CAROLINA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
ALASKA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NEBRASKA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
TEXAS,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
DELAWARE,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
ALABAMA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
MISSISSIPPI,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
ARIZONA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
OREGON,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
MAINE,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
OHIO,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
GUAM,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
ILLINOIS,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
MONTANA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
CONNECTICUT,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
NON-US RESIDENTS,2019,12,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
NORTH CAROLINA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
MARYLAND,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
US RESIDENTS,2019,9,,-,1,,,-,,-,,-,0,,,-,,-,,US RESIDENTS
NEW ENGLAND,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND
MIDDLE ATLANTIC,2019,9,,-,1,,,-,,-,,-,0,,,-,,-,MIDDLE ATLANTIC,
NEW YORK CITY,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
EAST NORTH CENTRAL,2019,9,,-,1,,,-,,-,,-,0,,,-,,-,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,9,,-,1,,,-,,-,,-,0,,,-,,-,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL
MOUNTAIN,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,,MOUNTAIN
PACIFIC,2019,9,,-,1,,,-,,-,,-,0,,,-,,-,,PACIFIC
US TERRITORIES,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
AMERICAN SAMOA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA
NON-US RESIDENTS,2019,9,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
TOTAL,2019,9,,-,1,,,-,,-,,-,0,,,-,,-,,TOTAL
NORTHERN MARIANA ISLANDS,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
SOUTH DAKOTA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
VIRGINIA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
CALIFORNIA,2019,9,,-,1,,,-,,-,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
ALASKA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
LOUISIANA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
DISTRICT OF COLUMBIA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
GEORGIA,2019,9,,-,1,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
FLORIDA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
MONTANA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NEW MEXICO,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
MISSISSIPPI,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
OREGON,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
GUAM,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MAINE,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
COLORADO,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
MISSOURI,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
PUERTO RICO,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MASSACHUSETTS,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
U.S. VIRGIN ISLANDS,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NORTH CAROLINA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
NEVADA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MARYLAND,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
SOUTH CAROLINA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
KANSAS,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
VERMONT,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
TENNESSEE,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
OHIO,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
NEW HAMPSHIRE,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
HAWAII,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
WYOMING,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEBRASKA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
ILLINOIS,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
MICHIGAN,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
WASHINGTON,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
ARIZONA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
PENNSYLVANIA,2019,9,,-,1,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
UTAH,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
NORTH DAKOTA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
ARKANSAS,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MINNESOTA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
KENTUCKY,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
NEW YORK,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
ALABAMA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
CONNECTICUT,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
OKLAHOMA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
RHODE ISLAND,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEW JERSEY,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
WEST VIRGINIA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
TEXAS,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
DELAWARE,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
IDAHO,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
WISCONSIN,2019,9,,-,1,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
IOWA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
INDIANA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
US RESIDENTS,2019,10,,-,1,,,-,,-,,-,0,,,-,,-,,US RESIDENTS
NEW ENGLAND,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND
MIDDLE ATLANTIC,2019,10,,-,1,,,-,,-,,-,0,,,-,,-,MIDDLE ATLANTIC,
NEW YORK CITY,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
EAST NORTH CENTRAL,2019,10,,-,1,,,-,,-,,-,0,,,-,,-,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,10,,-,1,,,-,,-,,-,0,,,-,,-,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL
MOUNTAIN,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,,MOUNTAIN
PACIFIC,2019,10,,-,1,,,-,,-,,-,0,,,-,,-,,PACIFIC
US TERRITORIES,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
AMERICAN SAMOA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA
NON-US RESIDENTS,2019,10,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
TOTAL,2019,10,,-,1,,,-,,-,,-,0,,,-,,-,,TOTAL
NORTH CAROLINA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
IDAHO,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
TENNESSEE,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
PENNSYLVANIA,2019,10,,-,1,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
SOUTH CAROLINA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
VERMONT,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
RHODE ISLAND,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
WYOMING,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
UTAH,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
MARYLAND,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
OKLAHOMA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
