Reporting Area,MMWR Year,MMWR Week,"Salmonella Paratyphi infection§, Current week","Salmonella Paratyphi infection§, Current week, flag","Salmonella Paratyphi infection§, Previous 52 weeks Max†","Salmonella Paratyphi infection§, Previous 52 weeks Max†, flag","Salmonella Paratyphi infection§, Cum 2020†","Salmonella Paratyphi infection§, Cum 2020†, flag","Salmonella Paratyphi infection§, Cum 2019†","Salmonella Paratyphi infection§, Cum 2019†, flag","Salmonella Typhi infection¶, Current week","Salmonella Typhi infection¶, Current week, flag","Salmonella Typhi infection¶, Previous 52 weeks Max†","Salmonella Typhi infection¶, Previous 52 weeks Max†, flag","Salmonella Typhi infection¶, Cum 2020†","Salmonella Typhi infection¶, Cum 2020†, flag","Salmonella Typhi infection¶, Cum 2019†","Salmonella Typhi infection¶, Cum 2019†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Current week","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Current week, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Previous 52 weeks Max†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Previous 52 weeks Max†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2020†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2020†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2019†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
OREGON,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20200961,POINT (-120.605279 43.940449)
DELAWARE,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200929,POINT (-75.452394 38.994926)
ALABAMA,2020,9,,-,1,,1,,,-,,-,0,,,-,,-,4,,53,,74,,87,,ALABAMA,,20200939,POINT (-86.844516 32.756889)
KANSAS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,KANSAS,,20200922,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,9,,-,0,,,-,,-,,-,2,,,-,2,,,-,109,,35,,155,,NORTH CAROLINA,,20200934,POINT (-79.130883 35.52603)
GUAM,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200966,POINT (144.653198 13.3532)
NEW JERSEY,2020,9,,-,1,,,-,1,,,-,2,,,-,4,,,-,58,,6,,141,,NEW JERSEY,,20200910,POINT (-74.655514 40.110253)
NEW MEXICO,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,18,,35,,37,,NEW MEXICO,,20200954,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,9,,-,1,,1,,3,,,-,4,,1,,6,,17,,144,,249,,535,,,EAST NORTH CENTRAL,20200914,
TENNESSEE,2020,9,,-,1,,,-,,-,,-,1,,,-,,-,,-,52,,60,,65,,TENNESSEE,,20200942,POINT (-86.343226 35.842998)
CONNECTICUT,2020,9,,-,1,,3,,2,,,-,1,,,-,2,,1,,26,,38,,44,,CONNECTICUT,,20200903,POINT (-72.738288 41.575155)
MARYLAND,2020,9,,-,1,,,-,1,,1,,2,,1,,2,,6,,47,,86,,97,,MARYLAND,,20200933,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,9,,-,0,,,-,,-,,-,1,,2,,,-,6,,86,,89,,95,,SOUTH CAROLINA,,20200935,POINT (-80.864614 33.878572)
OKLAHOMA,2020,9,,-,0,,,-,,-,,-,1,,2,,,-,9,,74,,69,,56,,OKLAHOMA,,20200946,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200965,POINT (145.725693 15.1834)
OHIO,2020,9,,-,1,,,-,,-,,-,1,,1,,1,,13,,66,,119,,145,,OHIO,,20200918,POINT (-82.70936 40.415534)
MINNESOTA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200923,POINT (-94.198308 46.349153)
LOUISIANA,2020,9,,-,1,,,-,,-,,-,0,,,-,,-,,-,53,,12,,70,,LOUISIANA,,20200945,POINT (-91.840238 30.921314)
HAWAII,2020,9,,-,0,,,-,,-,,-,1,,,-,,-,,-,24,,9,,24,,HAWAII,,20200960,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,9,,-,3,,1,,8,,3,,6,,6,,11,,97,,552,,1025,,1240,,,SOUTH ATLANTIC,20200928,
PENNSYLVANIA,2020,9,,-,1,,,-,,-,,-,2,,3,,,-,3,,67,,121,,3,,PENNSYLVANIA,,20200913,POINT (-77.838886 40.896694)
UTAH,2020,9,,-,0,,,-,,-,,-,1,,,-,,-,,-,15,,,-,34,,UTAH,,20200955,POINT (-111.678222 39.323779)
COLORADO,2020,9,,-,1,,,-,1,,,-,2,,,-,2,,5,,27,,81,,93,,COLORADO,,20200950,POINT (-105.547832 38.998552)
VERMONT,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,5,,2,,VERMONT,,20200908,POINT (-72.662695 44.075252)
KENTUCKY,2020,9,,-,1,,,-,,-,,-,1,,,-,,-,,-,27,,10,,43,,KENTUCKY,,20200940,POINT (-85.290484 37.526683)
PUERTO RICO,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200967,POINT (-66.414655 18.215692)
MAINE,2020,9,,-,1,,,-,,-,,-,1,,,-,,-,,-,7,,4,,13,,MAINE,,20200904,POINT (-69.06137 45.117911)
VIRGINIA,2020,9,,-,2,,1,,4,,2,,2,,3,,6,,7,,58,,81,,87,,VIRGINIA,,20200936,POINT (-78.666382 37.510861)
ARIZONA,2020,9,,-,1,,,-,,-,,-,1,,2,,1,,8,,38,,88,,134,,ARIZONA,,20200949,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200964,
WISCONSIN,2020,9,,-,0,,,-,,-,,-,1,,,-,,-,4,,36,,89,,104,,WISCONSIN,,20200919,POINT (-89.732969 44.639954)
IDAHO,2020,9,,-,1,,,-,,-,,-,1,,,-,,-,,-,12,,2,,27,,IDAHO,,20200951,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200968,POINT (-64.840836 18.060868)
MICHIGAN,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20200917,POINT (-85.730977 44.874798)
GEORGIA,2020,9,,-,1,,,-,3,,,-,0,,,-,,-,2,,96,,84,,129,,GEORGIA,,20200932,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,9,,-,0,,,-,,-,,-,1,,,-,2,,,-,0,,,-,,-,,NEW YORK CITY,20200912,
ARKANSAS,2020,9,,-,2,,,-,,-,,-,1,,,-,,-,2,,42,,35,,26,,ARKANSAS,,20200944,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200941,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,11,,24,,SOUTH DAKOTA,,20200927,POINT (-100.230491 44.43614)
WYOMING,2020,9,,-,1,,,-,1,,,-,0,,,-,,-,,-,5,,3,,,-,WYOMING,,20200956,POINT (-107.55145 42.999627)
MISSOURI,2020,9,,-,0,,,-,,-,,-,1,,1,,2,,,-,36,,37,,82,,MISSOURI,,20200924,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,9,1,,2,,1,,1,,1,,5,,4,,11,,23,,174,,255,,283,,,MIDDLE ATLANTIC,20200909,
CALIFORNIA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20200959,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,10,,2,,,-,WEST VIRGINIA,,20200937,POINT (-80.613729 38.642579)
FLORIDA,2020,9,,-,1,,,-,,-,,-,5,,,-,1,,76,,234,,648,,676,,FLORIDA,,20200931,POINT (-82.420978 28.260731)
MONTANA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,8,,14,,MONTANA,,20200952,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,9,,-,1,,1,,,-,,-,2,,1,,2,,3,,79,,127,,321,,,WEST NORTH CENTRAL,20200920,
MASSACHUSETTS,2020,9,,-,2,,2,,,-,,-,2,,3,,2,,3,,50,,85,,106,,MASSACHUSETTS,,20200905,POINT (-71.481104 42.151077)
MOUNTAIN,2020,9,,-,1,,,-,2,,,-,2,,2,,4,,13,,101,,225,,361,,,MOUNTAIN,20200948,
INDIANA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200916,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,20200969,
US TERRITORIES,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200963,
PENNSYLVANIA,2020,16,,-,1,,,-,,-,,-,2,,4,,1,,10,,67,,240,,74,,PENNSYLVANIA,,20201613,POINT (-77.838886 40.896694)
TOTAL,2020,10,,-,6,,12,,21,,1,,12,,27,,46,,141,,1421,,2899,,4106,,,TOTAL,20201070,
US RESIDENTS,2020,10,,-,6,,12,,21,,1,,12,,27,,46,,141,,1421,,2899,,4106,,,US RESIDENTS,20201001,
NEW HAMPSHIRE,2020,10,,-,0,,,-,,-,,-,5,,,-,,-,,-,10,,12,,25,,NEW HAMPSHIRE,,20201006,POINT (-71.57139 43.680429)
NEW YORK,2020,10,,-,2,,1,,,-,,-,3,,1,,5,,15,,62,,143,,155,,NEW YORK,,20201011,POINT (-75.59655 42.921241)
PACIFIC,2020,10,,-,1,,1,,2,,,-,2,,4,,3,,7,,46,,93,,127,,,PACIFIC,20201057,
WEST SOUTH CENTRAL,2020,10,,-,3,,1,,2,,,-,6,,4,,2,,36,,360,,431,,523,,,WEST SOUTH CENTRAL,20201043,
NEBRASKA,2020,10,,-,0,,,-,,-,,-,1,,,-,1,,,-,18,,23,,2,,NEBRASKA,,20201025,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,10,,-,1,,1,,,-,,-,1,,,-,,-,2,,116,,157,,216,,,EAST SOUTH CENTRAL,20201038,
NORTH DAKOTA,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,7,,23,,NORTH DAKOTA,,20201026,POINT (-100.46931 47.446305)
NEVADA,2020,10,,-,1,,,-,,-,,-,1,,,-,1,,,-,15,,9,,26,,NEVADA,,20201053,POINT (-114.916992 39.283294)
ILLINOIS,2020,10,,-,1,,1,,3,,,-,3,,,-,5,,,-,73,,62,,305,,ILLINOIS,,20201015,POINT (-89.148632 40.124144)
IOWA,2020,10,,-,1,,1,,,-,,-,2,,,-,,-,3,,33,,56,,208,,IOWA,,20201021,POINT (-93.500061 42.074659)
TEXAS,2020,10,,-,3,,1,,2,,,-,6,,2,,2,,13,,331,,278,,350,,TEXAS,,20201047,POINT (-99.317341 31.447238)
ALASKA,2020,10,,-,1,,,-,,-,,-,0,,,-,1,,,-,6,,,-,9,,ALASKA,,20201058,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,10,,-,1,,,-,,-,,-,0,,,-,,-,,-,3,,,-,4,,DISTRICT OF COLUMBIA,,20201030,POINT (-77.016275 38.904785)
WASHINGTON,2020,10,,-,1,,1,,2,,,-,2,,4,,2,,6,,21,,80,,93,,WASHINGTON,,20201062,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,10,,-,3,,5,,3,,,-,6,,3,,5,,3,,81,,172,,231,,,NEW ENGLAND,20201002,
RHODE ISLAND,2020,10,,-,1,,,-,,-,,-,1,,,-,,-,,-,8,,9,,13,,RHODE ISLAND,,20201007,POINT (-71.534637 41.572574)
OREGON,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20201061,POINT (-120.605279 43.940449)
DELAWARE,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20201029,POINT (-75.452394 38.994926)
ALABAMA,2020,10,,-,1,,1,,,-,,-,0,,,-,,-,1,,53,,78,,94,,ALABAMA,,20201039,POINT (-86.844516 32.756889)
KANSAS,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,KANSAS,,20201022,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,10,,-,0,,,-,,-,,-,2,,,-,2,,,-,109,,38,,172,,NORTH CAROLINA,,20201034,POINT (-79.130883 35.52603)
GUAM,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201066,POINT (144.653198 13.3532)
NEW JERSEY,2020,10,,-,1,,,-,1,,,-,2,,,-,4,,,-,58,,7,,156,,NEW JERSEY,,20201010,POINT (-74.655514 40.110253)
NEW MEXICO,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,1,,18,,37,,39,,NEW MEXICO,,20201054,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,10,,-,1,,1,,3,,,-,4,,1,,6,,16,,145,,289,,577,,,EAST NORTH CENTRAL,20201014,
TENNESSEE,2020,10,,-,1,,,-,,-,,-,1,,,-,,-,,-,52,,60,,71,,TENNESSEE,,20201042,POINT (-86.343226 35.842998)
CONNECTICUT,2020,10,,-,1,,3,,2,,,-,1,,,-,3,,,-,26,,46,,53,,CONNECTICUT,,20201003,POINT (-72.738288 41.575155)
MARYLAND,2020,10,,-,1,,,-,1,,,-,2,,1,,2,,7,,47,,93,,100,,MARYLAND,,20201033,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,10,,-,0,,,-,,-,,-,1,,2,,,-,7,,86,,98,,107,,SOUTH CAROLINA,,20201035,POINT (-80.864614 33.878572)
OKLAHOMA,2020,10,,-,0,,,-,,-,,-,1,,2,,,-,6,,74,,74,,61,,OKLAHOMA,,20201046,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201065,POINT (145.725693 15.1834)
OHIO,2020,10,,-,1,,,-,,-,,-,1,,1,,1,,12,,66,,131,,161,,OHIO,,20201018,POINT (-82.70936 40.415534)
MINNESOTA,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20201023,POINT (-94.198308 46.349153)
LOUISIANA,2020,10,,-,1,,,-,,-,,-,0,,,-,,-,13,,53,,40,,76,,LOUISIANA,,20201045,POINT (-91.840238 30.921314)
HAWAII,2020,10,,-,0,,,-,,-,,-,1,,,-,,-,1,,24,,13,,25,,HAWAII,,20201060,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,10,,-,3,,1,,8,,,-,6,,6,,12,,30,,552,,1071,,1369,,,SOUTH ATLANTIC,20201028,
PENNSYLVANIA,2020,10,,-,1,,,-,,-,,-,2,,3,,,-,6,,67,,133,,3,,PENNSYLVANIA,,20201013,POINT (-77.838886 40.896694)
UTAH,2020,10,,-,0,,,-,,-,,-,1,,,-,,-,,-,15,,,-,40,,UTAH,,20201055,POINT (-111.678222 39.323779)
COLORADO,2020,10,,-,1,,,-,1,,,-,2,,,-,2,,9,,27,,96,,104,,COLORADO,,20201050,POINT (-105.547832 38.998552)
VERMONT,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,5,,3,,VERMONT,,20201008,POINT (-72.662695 44.075252)
KENTUCKY,2020,10,,-,1,,,-,,-,,-,1,,,-,,-,1,,27,,19,,51,,KENTUCKY,,20201040,POINT (-85.290484 37.526683)
PUERTO RICO,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201067,POINT (-66.414655 18.215692)
MAINE,2020,10,,-,1,,,-,,-,,-,1,,,-,,-,,-,7,,4,,14,,MAINE,,20201004,POINT (-69.06137 45.117911)
VIRGINIA,2020,10,,-,2,,1,,4,,,-,2,,3,,6,,8,,58,,97,,101,,VIRGINIA,,20201036,POINT (-78.666382 37.510861)
ARIZONA,2020,10,,-,1,,,-,,-,1,,1,,4,,1,,5,,38,,92,,142,,ARIZONA,,20201049,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201064,
WISCONSIN,2020,10,,-,0,,,-,,-,,-,1,,,-,,-,4,,36,,96,,111,,WISCONSIN,,20201019,POINT (-89.732969 44.639954)
IDAHO,2020,10,,-,1,,,-,,-,,-,1,,,-,,-,1,,12,,3,,32,,IDAHO,,20201051,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201068,POINT (-64.840836 18.060868)
MICHIGAN,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20201017,POINT (-85.730977 44.874798)
GEORGIA,2020,10,,-,1,,,-,3,,,-,0,,,-,,-,,-,97,,87,,141,,GEORGIA,,20201032,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,10,,-,0,,,-,,-,,-,1,,,-,2,,,-,0,,,-,,-,,NEW YORK CITY,20201012,
ARKANSAS,2020,10,,-,2,,,-,,-,,-,1,,,-,,-,4,,42,,39,,36,,ARKANSAS,,20201044,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20201041,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,11,,26,,SOUTH DAKOTA,,20201027,POINT (-100.230491 44.43614)
WYOMING,2020,10,,-,1,,,-,1,,,-,0,,,-,,-,,-,5,,3,,1,,WYOMING,,20201056,POINT (-107.55145 42.999627)
MISSOURI,2020,10,,-,0,,,-,,-,,-,1,,1,,2,,7,,36,,58,,92,,MISSOURI,,20201024,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,10,,-,2,,1,,1,,,-,5,,4,,11,,21,,175,,283,,314,,,MIDDLE ATLANTIC,20201009,
CALIFORNIA,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20201059,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,10,,2,,,-,WEST VIRGINIA,,20201037,POINT (-80.613729 38.642579)
FLORIDA,2020,10,,-,1,,,-,,-,,-,5,,,-,2,,8,,234,,656,,744,,FLORIDA,,20201031,POINT (-82.420978 28.260731)
MONTANA,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,8,,14,,MONTANA,,20201052,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,10,,-,1,,1,,,-,,-,2,,1,,3,,10,,79,,155,,351,,,WEST NORTH CENTRAL,20201020,
MASSACHUSETTS,2020,10,,-,2,,2,,1,,,-,2,,3,,2,,3,,50,,96,,123,,MASSACHUSETTS,,20201005,POINT (-71.481104 42.151077)
MOUNTAIN,2020,10,,-,1,,,-,2,,1,,2,,4,,4,,16,,101,,248,,398,,,MOUNTAIN,20201048,
INDIANA,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20201016,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,20201069,
US TERRITORIES,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201063,
TOTAL,2020,11,,-,6,,13,,22,,2,,12,,28,,54,,181,,1421,,3310,,4550,,,TOTAL,20201170,
US RESIDENTS,2020,11,,-,6,,13,,22,,2,,12,,28,,54,,181,,1421,,3310,,4550,,,US RESIDENTS,20201101,
NEW HAMPSHIRE,2020,11,,-,0,,,-,,-,,-,5,,,-,,-,,-,10,,13,,28,,NEW HAMPSHIRE,,20201106,POINT (-71.57139 43.680429)
NEW YORK,2020,11,,-,2,,1,,,-,1,,3,,2,,5,,19,,62,,163,,183,,NEW YORK,,20201111,POINT (-75.59655 42.921241)
PACIFIC,2020,11,,-,1,,1,,2,,,-,2,,4,,4,,5,,46,,100,,138,,,PACIFIC,20201157,
WEST SOUTH CENTRAL,2020,11,,-,3,,1,,2,,,-,6,,4,,3,,35,,362,,484,,578,,,WEST SOUTH CENTRAL,20201143,
NEBRASKA,2020,11,,-,0,,,-,,-,,-,1,,,-,1,,4,,18,,31,,3,,NEBRASKA,,20201125,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,11,,-,1,,1,,,-,,-,1,,,-,,-,2,,116,,174,,252,,,EAST SOUTH CENTRAL,20201138,
NORTH DAKOTA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,9,,24,,NORTH DAKOTA,,20201126,POINT (-100.46931 47.446305)
NEVADA,2020,11,,-,1,,1,,,-,,-,1,,,-,1,,,-,15,,10,,40,,NEVADA,,20201153,POINT (-114.916992 39.283294)
ILLINOIS,2020,11,,-,1,,1,,3,,,-,3,,,-,6,,,-,73,,121,,327,,ILLINOIS,,20201115,POINT (-89.148632 40.124144)
IOWA,2020,11,,-,1,,1,,,-,,-,2,,,-,,-,2,,33,,67,,214,,IOWA,,20201121,POINT (-93.500061 42.074659)
TEXAS,2020,11,,-,3,,1,,2,,,-,6,,2,,3,,20,,333,,304,,389,,TEXAS,,20201147,POINT (-99.317341 31.447238)
ALASKA,2020,11,,-,1,,,-,,-,,-,0,,,-,1,,,-,6,,,-,9,,ALASKA,,20201158,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,11,,-,1,,,-,,-,,-,0,,,-,,-,,-,3,,1,,5,,DISTRICT OF COLUMBIA,,20201130,POINT (-77.016275 38.904785)
WASHINGTON,2020,11,,-,1,,1,,2,,,-,2,,4,,3,,5,,21,,87,,102,,WASHINGTON,,20201162,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,11,,-,3,,5,,3,,,-,6,,3,,6,,10,,81,,206,,264,,,NEW ENGLAND,20201102,
RHODE ISLAND,2020,11,,-,1,,,-,,-,,-,1,,,-,,-,,-,8,,11,,14,,RHODE ISLAND,,20201107,POINT (-71.534637 41.572574)
OREGON,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20201161,POINT (-120.605279 43.940449)
DELAWARE,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20201129,POINT (-75.452394 38.994926)
ALABAMA,2020,11,,-,1,,1,,,-,,-,0,,,-,,-,1,,53,,85,,102,,ALABAMA,,20201139,POINT (-86.844516 32.756889)
KANSAS,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,KANSAS,,20201122,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,11,,-,0,,,-,,-,,-,2,,,-,2,,,-,109,,38,,191,,NORTH CAROLINA,,20201134,POINT (-79.130883 35.52603)
GUAM,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201166,POINT (144.653198 13.3532)
NEW JERSEY,2020,11,,-,1,,,-,1,,,-,2,,,-,5,,,-,58,,7,,173,,NEW JERSEY,,20201110,POINT (-74.655514 40.110253)
NEW MEXICO,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,18,,38,,45,,NEW MEXICO,,20201154,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,11,,-,1,,1,,3,,1,,4,,2,,7,,17,,145,,373,,622,,,EAST NORTH CENTRAL,20201114,
TENNESSEE,2020,11,,-,1,,,-,,-,,-,1,,,-,,-,1,,52,,69,,86,,TENNESSEE,,20201142,POINT (-86.343226 35.842998)
CONNECTICUT,2020,11,,-,1,,3,,2,,,-,1,,,-,3,,2,,26,,59,,58,,CONNECTICUT,,20201103,POINT (-72.738288 41.575155)
MARYLAND,2020,11,,-,1,,,-,1,,,-,2,,1,,3,,4,,47,,97,,108,,MARYLAND,,20201133,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,11,,-,0,,,-,,-,,-,1,,2,,,-,2,,86,,101,,116,,SOUTH CAROLINA,,20201135,POINT (-80.864614 33.878572)
OKLAHOMA,2020,11,,-,0,,,-,,-,,-,1,,2,,,-,7,,74,,84,,62,,OKLAHOMA,,20201146,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201165,POINT (145.725693 15.1834)
OHIO,2020,11,,-,1,,,-,,-,1,,1,,2,,1,,13,,66,,143,,173,,OHIO,,20201118,POINT (-82.70936 40.415534)
MINNESOTA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20201123,POINT (-94.198308 46.349153)
LOUISIANA,2020,11,,-,1,,,-,,-,,-,0,,,-,,-,1,,53,,50,,87,,LOUISIANA,,20201145,POINT (-91.840238 30.921314)
HAWAII,2020,11,,-,0,,,-,,-,,-,1,,,-,,-,,-,24,,13,,27,,HAWAII,,20201160,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,11,,-,3,,1,,9,,,-,6,,6,,14,,60,,552,,1203,,1510,,,SOUTH ATLANTIC,20201128,
PENNSYLVANIA,2020,11,,-,1,,,-,,-,,-,2,,3,,,-,8,,67,,145,,3,,PENNSYLVANIA,,20201113,POINT (-77.838886 40.896694)
UTAH,2020,11,,-,0,,,-,,-,,-,1,,,-,1,,,-,15,,,-,44,,UTAH,,20201155,POINT (-111.678222 39.323779)
COLORADO,2020,11,,-,1,,,-,1,,,-,2,,,-,2,,10,,27,,106,,117,,COLORADO,,20201150,POINT (-105.547832 38.998552)
VERMONT,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,7,,5,,VERMONT,,20201108,POINT (-72.662695 44.075252)
KENTUCKY,2020,11,,-,1,,,-,,-,,-,1,,,-,,-,,-,27,,20,,64,,KENTUCKY,,20201140,POINT (-85.290484 37.526683)
PUERTO RICO,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201167,POINT (-66.414655 18.215692)
MAINE,2020,11,,-,1,,,-,,-,,-,1,,,-,1,,1,,7,,5,,15,,MAINE,,20201104,POINT (-69.06137 45.117911)
VIRGINIA,2020,11,,-,2,,1,,4,,,-,2,,3,,6,,4,,58,,103,,110,,VIRGINIA,,20201136,POINT (-78.666382 37.510861)
ARIZONA,2020,11,,-,1,,,-,,-,,-,1,,3,,1,,9,,38,,109,,158,,ARIZONA,,20201149,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201164,
