Reporting Area,MMWR Year,MMWR Week,"Invasive pneumococcal disease, age < 5 years§, Confirmed, Current week","Invasive pneumococcal disease, age < 5 years§, Confirmed, Current week, flag","Invasive pneumococcal disease, age < 5 years§, Confirmed, Previous 52 weeks Max†","Invasive pneumococcal disease, age < 5 years§, Confirmed, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2020†","Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2020†, flag","Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2019†","Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2019†, flag","Invasive pneumococcal disease, age < 5 years§, Probable, Current week","Invasive pneumococcal disease, age < 5 years§, Probable, Current week, flag","Invasive pneumococcal disease, age < 5 years§, Probable, Previous 52 weeks Max†","Invasive pneumococcal disease, age < 5 years§, Probable, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, age < 5 years§, Probable,  Cum 2020†","Invasive pneumococcal disease, age < 5 years§, Probable,  Cum 2020†, flag","Invasive pneumococcal disease, age < 5 years§, Probable,  Cum 2019†","Invasive pneumococcal disease, age < 5 years§, Probable, Cum 2019†, flag","Legionellosis, Current week","Legionellosis, Current week, flag","Legionellosis, Previous 52 weeks Max†","Legionellosis, Previous 52 weeks Max†, flag","Legionellosis, Cum 2020†","Legionellosis, Cum 2020†, flag","Legionellosis, Cum 2019†","Legionellosis, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
TOTAL,2020,11,3,,39,,169,,227,,,-,2,,9,,8,,19,,332,,640,,1107,,,TOTAL,20201170,
US RESIDENTS,2020,11,3,,39,,169,,227,,,-,2,,9,,8,,19,,332,,640,,1107,,,US RESIDENTS,20201101,
NEW HAMPSHIRE,2020,11,,-,1,,,-,1,,,-,0,,,-,,-,,-,4,,4,,6,,NEW HAMPSHIRE,,20201106,POINT (-71.57139 43.680429)
NEW YORK,2020,11,,-,6,,7,,4,,,-,0,,,-,1,,3,,48,,43,,53,,NEW YORK,,20201111,POINT (-75.59655 42.921241)
PACIFIC,2020,11,,-,1,,1,,3,,,-,0,,,-,1,,,-,18,,29,,160,,,PACIFIC,20201157,
WEST SOUTH CENTRAL,2020,11,1,,19,,31,,33,,,-,2,,1,,1,,1,,25,,48,,60,,,WEST SOUTH CENTRAL,20201143,
NEBRASKA,2020,11,,-,2,,,-,2,,,-,0,,,-,,-,,-,6,,4,,3,,NEBRASKA,,20201125,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,11,,-,8,,15,,18,,,-,0,,,-,,-,,-,20,,28,,64,,,EAST SOUTH CENTRAL,20201138,
NORTH DAKOTA,2020,11,,-,2,,,-,3,,,-,0,,,-,,-,,-,2,,2,,3,,NORTH DAKOTA,,20201126,POINT (-100.46931 47.446305)
NEVADA,2020,11,,-,2,,1,,,-,,-,0,,,-,,-,,-,3,,4,,3,,NEVADA,,20201153,POINT (-114.916992 39.283294)
ILLINOIS,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,43,,40,,52,,ILLINOIS,,20201115,POINT (-89.148632 40.124144)
IOWA,2020,11,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,8,,7,,3,,IOWA,,20201121,POINT (-93.500061 42.074659)
TEXAS,2020,11,,-,15,,16,,20,,,-,2,,1,,1,,1,,23,,43,,46,,TEXAS,,20201147,POINT (-99.317341 31.447238)
ALASKA,2020,11,,-,1,,,-,,-,,-,0,,,-,1,,,-,1,,,-,,-,ALASKA,,20201158,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,11,,-,1,,1,,,-,,-,0,,,-,,-,,-,3,,3,,6,,DISTRICT OF COLUMBIA,,20201130,POINT (-77.016275 38.904785)
WASHINGTON,2020,11,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,4,,13,,15,,WASHINGTON,,20201162,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,11,,-,3,,4,,19,,,-,0,,,-,,-,2,,23,,28,,67,,,NEW ENGLAND,20201102,
RHODE ISLAND,2020,11,,-,1,,,-,3,,,-,0,,,-,,-,,-,5,,3,,7,,RHODE ISLAND,,20201107,POINT (-71.534637 41.572574)
OREGON,2020,11,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,4,,13,,7,,OREGON,,20201161,POINT (-120.605279 43.940449)
DELAWARE,2020,11,,-,3,,,-,,-,,-,0,,,-,,-,,-,4,,1,,3,,DELAWARE,,20201129,POINT (-75.452394 38.994926)
ALABAMA,2020,11,,-,2,,4,,5,,,-,0,,,-,,-,,-,6,,7,,8,,ALABAMA,,20201139,POINT (-86.844516 32.756889)
KANSAS,2020,11,,-,1,,,-,6,,,-,1,,,-,1,,,-,5,,,-,6,,KANSAS,,20201122,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,11,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,112,,9,,18,,NORTH CAROLINA,,20201134,POINT (-79.130883 35.52603)
GUAM,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201166,POINT (144.653198 13.3532)
NEW JERSEY,2020,11,,-,4,,4,,3,,,-,0,,,-,,-,,-,8,,,-,30,,NEW JERSEY,,20201110,POINT (-74.655514 40.110253)
NEW MEXICO,2020,11,,-,2,,2,,9,,,-,0,,,-,,-,,-,2,,4,,1,,NEW MEXICO,,20201154,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,11,,-,8,,27,,34,,,-,2,,6,,2,,1,,115,,173,,232,,,EAST NORTH CENTRAL,20201114,
TENNESSEE,2020,11,,-,3,,5,,8,,,-,0,,,-,,-,,-,10,,12,,24,,TENNESSEE,,20201142,POINT (-86.343226 35.842998)
CONNECTICUT,2020,11,,-,1,,2,,3,,,-,0,,,-,,-,2,,8,,14,,9,,CONNECTICUT,,20201103,POINT (-72.738288 41.575155)
MARYLAND,2020,11,,-,3,,4,,5,,,-,0,,,-,,-,4,,16,,29,,55,,MARYLAND,,20201133,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,11,,-,2,,4,,4,,,-,0,,,-,,-,1,,6,,7,,9,,SOUTH CAROLINA,,20201135,POINT (-80.864614 33.878572)
OKLAHOMA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,15,,,-,1,,OKLAHOMA,,20201146,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201165,POINT (145.725693 15.1834)
OHIO,2020,11,,-,3,,11,,6,,,-,2,,6,,2,,1,,68,,117,,102,,OHIO,,20201118,POINT (-82.70936 40.415534)
MINNESOTA,2020,11,,-,2,,,-,2,,,-,0,,,-,,-,1,,7,,12,,19,,MINNESOTA,,20201123,POINT (-94.198308 46.349153)
LOUISIANA,2020,11,1,,2,,8,,6,,,-,0,,,-,,-,,-,6,,,-,4,,LOUISIANA,,20201145,POINT (-91.840238 30.921314)
HAWAII,2020,11,,-,1,,1,,3,,,-,0,,,-,,-,,-,1,,3,,7,,HAWAII,,20201160,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,11,,-,9,,36,,50,,,-,1,,1,,1,,9,,141,,151,,206,,,SOUTH ATLANTIC,20201128,
PENNSYLVANIA,2020,11,,-,1,,1,,2,,,-,1,,,-,,-,,-,29,,39,,89,,PENNSYLVANIA,,20201113,POINT (-77.838886 40.896694)
UTAH,2020,11,,-,2,,7,,6,,,-,0,,,-,1,,,-,3,,,-,2,,UTAH,,20201155,POINT (-111.678222 39.323779)
COLORADO,2020,11,1,,4,,10,,3,,,-,0,,,-,,-,,-,6,,7,,14,,COLORADO,,20201150,POINT (-105.547832 38.998552)
VERMONT,2020,11,,-,1,,,-,,-,,-,0,,,-,,-,,-,2,,1,,1,,VERMONT,,20201108,POINT (-72.662695 44.075252)
KENTUCKY,2020,11,,-,2,,2,,2,,,-,0,,,-,,-,,-,8,,4,,25,,KENTUCKY,,20201140,POINT (-85.290484 37.526683)
PUERTO RICO,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201167,POINT (-66.414655 18.215692)
MAINE,2020,11,,-,1,,,-,3,,,-,0,,,-,,-,,-,3,,2,,7,,MAINE,,20201104,POINT (-69.06137 45.117911)
VIRGINIA,2020,11,,-,3,,4,,6,,,-,0,,,-,,-,,-,10,,20,,21,,VIRGINIA,,20201136,POINT (-78.666382 37.510861)
ARIZONA,2020,11,1,,3,,6,,13,,,-,0,,,-,,-,1,,6,,20,,25,,ARIZONA,,20201149,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,11,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20201164,
WISCONSIN,2020,11,,-,4,,7,,8,,,-,0,,,-,,-,,-,8,,,-,29,,WISCONSIN,,20201119,POINT (-89.732969 44.639954)
IDAHO,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,1,,3,,IDAHO,,20201151,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201168,POINT (-64.840836 18.060868)
MICHIGAN,2020,11,,-,3,,4,,10,,,-,1,,,-,,-,,-,30,,16,,49,,MICHIGAN,,20201117,POINT (-85.730977 44.874798)
GEORGIA,2020,11,,-,3,,4,,14,,,-,0,,,-,,-,,-,9,,9,,6,,GEORGIA,,20201132,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,11,,-,4,,9,,8,,,-,0,,,-,,-,,-,39,,28,,48,,,NEW YORK CITY,20201112,
ARKANSAS,2020,11,,-,4,,7,,7,,,-,0,,,-,,-,,-,3,,5,,9,,ARKANSAS,,20201144,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,11,,-,3,,4,,3,,,-,0,,,-,,-,,-,4,,5,,7,,MISSISSIPPI,,20201141,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,11,,-,1,,2,,2,,,-,0,,,-,,-,,-,3,,,-,2,,SOUTH DAKOTA,,20201127,POINT (-100.230491 44.43614)
WYOMING,2020,11,,-,0,,,-,1,,,-,0,,,-,,-,,-,1,,1,,1,,WYOMING,,20201156,POINT (-107.55145 42.999627)
MISSOURI,2020,11,,-,2,,6,,5,,,-,1,,1,,,-,1,,18,,11,,12,,MISSOURI,,20201124,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,11,,-,6,,21,,17,,,-,1,,,-,1,,3,,93,,110,,220,,,MIDDLE ATLANTIC,20201109,
CALIFORNIA,2020,11,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,13,,,-,131,,CALIFORNIA,,20201159,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,11,,-,2,,1,,4,,,-,0,,,-,,-,,-,7,,,-,16,,WEST VIRGINIA,,20201137,POINT (-80.613729 38.642579)
FLORIDA,2020,11,,-,6,,18,,17,,,-,1,,1,,1,,4,,17,,73,,72,,FLORIDA,,20201131,POINT (-82.420978 28.260731)
MONTANA,2020,11,,-,1,,,-,1,,,-,0,,,-,,-,,-,1,,,-,1,,MONTANA,,20201152,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,11,,-,4,,8,,20,,,-,1,,1,,1,,2,,32,,36,,48,,,WEST NORTH CENTRAL,20201120,
MASSACHUSETTS,2020,11,,-,3,,2,,9,,,-,0,,,-,,-,,-,12,,4,,37,,MASSACHUSETTS,,20201105,POINT (-71.481104 42.151077)
MOUNTAIN,2020,11,2,,4,,26,,33,,,-,0,,,-,1,,1,,13,,37,,50,,,MOUNTAIN,20201148,
TOTAL,2020,10,7,,34,,162,,198,,,-,2,,8,,7,,15,,332,,575,,1041,,,TOTAL,20201070,
US RESIDENTS,2020,10,7,,34,,162,,198,,,-,2,,8,,7,,15,,332,,575,,1041,,,US RESIDENTS,20201001,
NEW HAMPSHIRE,2020,10,,-,1,,,-,1,,,-,0,,,-,,-,,-,4,,4,,6,,NEW HAMPSHIRE,,20201006,POINT (-71.57139 43.680429)
NEW YORK,2020,10,1,,6,,7,,4,,,-,0,,,-,1,,4,,48,,40,,48,,NEW YORK,,20201011,POINT (-75.59655 42.921241)
PACIFIC,2020,10,,-,1,,1,,3,,,-,0,,,-,1,,,-,18,,24,,148,,,PACIFIC,20201057,
WEST SOUTH CENTRAL,2020,10,2,,14,,30,,25,,,-,2,,,-,1,,2,,25,,45,,55,,,WEST SOUTH CENTRAL,20201043,
NEBRASKA,2020,10,,-,2,,,-,1,,,-,0,,,-,,-,,-,6,,4,,3,,NEBRASKA,,20201025,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,10,,-,8,,13,,15,,,-,0,,,-,,-,,-,20,,21,,58,,,EAST SOUTH CENTRAL,20201038,
NORTH DAKOTA,2020,10,,-,2,,,-,3,,,-,0,,,-,,-,,-,2,,,-,3,,NORTH DAKOTA,,20201026,POINT (-100.46931 47.446305)
NEVADA,2020,10,,-,2,,1,,,-,,-,0,,,-,,-,,-,3,,4,,3,,NEVADA,,20201053,POINT (-114.916992 39.283294)
ILLINOIS,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,43,,34,,50,,ILLINOIS,,20201015,POINT (-89.148632 40.124144)
IOWA,2020,10,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,8,,6,,3,,IOWA,,20201021,POINT (-93.500061 42.074659)
TEXAS,2020,10,,-,10,,16,,17,,,-,2,,,-,1,,1,,23,,40,,42,,TEXAS,,20201047,POINT (-99.317341 31.447238)
ALASKA,2020,10,,-,1,,,-,,-,,-,0,,,-,1,,,-,1,,,-,,-,ALASKA,,20201058,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,10,,-,1,,1,,,-,,-,0,,,-,,-,,-,3,,2,,6,,DISTRICT OF COLUMBIA,,20201030,POINT (-77.016275 38.904785)
WASHINGTON,2020,10,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,4,,11,,12,,WASHINGTON,,20201062,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,10,,-,3,,4,,16,,,-,0,,,-,,-,,-,23,,21,,67,,,NEW ENGLAND,20201002,
RHODE ISLAND,2020,10,,-,1,,,-,3,,,-,0,,,-,,-,,-,5,,3,,7,,RHODE ISLAND,,20201007,POINT (-71.534637 41.572574)
OREGON,2020,10,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,4,,10,,7,,OREGON,,20201061,POINT (-120.605279 43.940449)
DELAWARE,2020,10,,-,3,,,-,,-,,-,0,,,-,,-,,-,4,,1,,2,,DELAWARE,,20201029,POINT (-75.452394 38.994926)
ALABAMA,2020,10,,-,2,,3,,4,,,-,0,,,-,,-,,-,6,,6,,7,,ALABAMA,,20201039,POINT (-86.844516 32.756889)
KANSAS,2020,10,,-,1,,,-,6,,,-,1,,,-,1,,,-,5,,,-,6,,KANSAS,,20201022,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,10,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,112,,9,,17,,NORTH CAROLINA,,20201034,POINT (-79.130883 35.52603)
GUAM,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201066,POINT (144.653198 13.3532)
NEW JERSEY,2020,10,,-,4,,4,,3,,,-,0,,,-,,-,,-,8,,,-,28,,NEW JERSEY,,20201010,POINT (-74.655514 40.110253)
NEW MEXICO,2020,10,,-,2,,2,,9,,,-,0,,,-,,-,,-,2,,4,,1,,NEW MEXICO,,20201054,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,10,1,,8,,25,,28,,,-,2,,6,,1,,2,,115,,166,,222,,,EAST NORTH CENTRAL,20201014,
TENNESSEE,2020,10,,-,3,,5,,6,,,-,0,,,-,,-,,-,10,,7,,19,,TENNESSEE,,20201042,POINT (-86.343226 35.842998)
CONNECTICUT,2020,10,,-,1,,2,,2,,,-,0,,,-,,-,,-,8,,10,,9,,CONNECTICUT,,20201003,POINT (-72.738288 41.575155)
MARYLAND,2020,10,,-,3,,4,,5,,,-,0,,,-,,-,1,,16,,25,,53,,MARYLAND,,20201033,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,10,,-,2,,4,,3,,,-,0,,,-,,-,,-,6,,6,,8,,SOUTH CAROLINA,,20201035,POINT (-80.864614 33.878572)
OKLAHOMA,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,15,,,-,1,,OKLAHOMA,,20201046,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201065,POINT (145.725693 15.1834)
OHIO,2020,10,,-,3,,11,,6,,,-,2,,6,,1,,2,,68,,116,,100,,OHIO,,20201018,POINT (-82.70936 40.415534)
MINNESOTA,2020,10,,-,2,,,-,2,,,-,0,,,-,,-,,-,7,,11,,19,,MINNESOTA,,20201023,POINT (-94.198308 46.349153)
LOUISIANA,2020,10,1,,2,,7,,5,,,-,0,,,-,,-,,-,6,,,-,4,,LOUISIANA,,20201045,POINT (-91.840238 30.921314)
HAWAII,2020,10,,-,1,,1,,3,,,-,0,,,-,,-,,-,1,,3,,7,,HAWAII,,20201060,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,10,1,,9,,36,,45,,,-,1,,1,,1,,4,,141,,131,,192,,,SOUTH ATLANTIC,20201028,
PENNSYLVANIA,2020,10,,-,1,,1,,2,,,-,1,,,-,,-,1,,29,,39,,81,,PENNSYLVANIA,,20201013,POINT (-77.838886 40.896694)
UTAH,2020,10,,-,2,,7,,5,,,-,0,,,-,1,,,-,3,,,-,2,,UTAH,,20201055,POINT (-111.678222 39.323779)
COLORADO,2020,10,,-,4,,9,,3,,,-,0,,,-,,-,1,,6,,6,,13,,COLORADO,,20201050,POINT (-105.547832 38.998552)
VERMONT,2020,10,,-,1,,,-,,-,,-,0,,,-,,-,,-,2,,,-,1,,VERMONT,,20201008,POINT (-72.662695 44.075252)
KENTUCKY,2020,10,,-,2,,2,,2,,,-,0,,,-,,-,,-,8,,3,,25,,KENTUCKY,,20201040,POINT (-85.290484 37.526683)
PUERTO RICO,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201067,POINT (-66.414655 18.215692)
MAINE,2020,10,,-,1,,,-,3,,,-,0,,,-,,-,,-,3,,2,,7,,MAINE,,20201004,POINT (-69.06137 45.117911)
VIRGINIA,2020,10,,-,3,,4,,5,,,-,0,,,-,,-,,-,10,,20,,21,,VIRGINIA,,20201036,POINT (-78.666382 37.510861)
ARIZONA,2020,10,,-,3,,5,,11,,,-,0,,,-,,-,1,,6,,18,,23,,ARIZONA,,20201049,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,10,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20201064,
WISCONSIN,2020,10,1,,4,,6,,4,,,-,0,,,-,,-,,-,8,,,-,28,,WISCONSIN,,20201019,POINT (-89.732969 44.639954)
IDAHO,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,1,,3,,IDAHO,,20201051,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201068,POINT (-64.840836 18.060868)
MICHIGAN,2020,10,,-,3,,4,,9,,,-,1,,,-,,-,,-,26,,16,,44,,MICHIGAN,,20201017,POINT (-85.730977 44.874798)
GEORGIA,2020,10,,-,3,,4,,13,,,-,0,,,-,,-,,-,9,,7,,5,,GEORGIA,,20201032,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,10,,-,4,,9,,8,,,-,0,,,-,,-,,-,39,,23,,48,,,NEW YORK CITY,20201012,
ARKANSAS,2020,10,1,,4,,7,,3,,,-,0,,,-,,-,1,,3,,5,,8,,ARKANSAS,,20201044,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,10,,-,3,,3,,3,,,-,0,,,-,,-,,-,4,,5,,7,,MISSISSIPPI,,20201041,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,10,,-,1,,2,,2,,,-,0,,,-,,-,,-,3,,,-,2,,SOUTH DAKOTA,,20201027,POINT (-100.230491 44.43614)
WYOMING,2020,10,,-,0,,,-,1,,,-,0,,,-,,-,,-,1,,1,,1,,WYOMING,,20201056,POINT (-107.55145 42.999627)
MISSOURI,2020,10,2,,2,,6,,5,,,-,1,,1,,,-,,-,18,,10,,11,,MISSOURI,,20201024,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,10,1,,6,,21,,17,,,-,1,,,-,1,,5,,93,,102,,205,,,MIDDLE ATLANTIC,20201009,
CALIFORNIA,2020,10,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,13,,,-,122,,CALIFORNIA,,20201059,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,10,,-,2,,1,,4,,,-,0,,,-,,-,,-,7,,,-,15,,WEST VIRGINIA,,20201037,POINT (-80.613729 38.642579)
FLORIDA,2020,10,1,,6,,18,,15,,,-,1,,1,,1,,3,,17,,61,,65,,FLORIDA,,20201031,POINT (-82.420978 28.260731)
MONTANA,2020,10,,-,1,,,-,1,,,-,0,,,-,,-,,-,1,,,-,1,,MONTANA,,20201052,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,10,2,,4,,8,,19,,,-,1,,1,,1,,,-,32,,31,,47,,,WEST NORTH CENTRAL,20201020,
MASSACHUSETTS,2020,10,,-,3,,2,,7,,,-,0,,,-,,-,,-,12,,2,,37,,MASSACHUSETTS,,20201005,POINT (-71.481104 42.151077)
MOUNTAIN,2020,10,,-,4,,24,,30,,,-,0,,,-,1,,2,,13,,34,,47,,,MOUNTAIN,20201048,
INDIANA,2020,10,,-,3,,4,,9,,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20201016,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20201069,
US TERRITORIES,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201063,
INDIANA,2020,11,,-,3,,5,,10,,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20201116,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20201169,
US TERRITORIES,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201163,
TOTAL,2020,16,3,,40,,233,,336,,,-,2,,12,,12,,15,,336,,877,,1497,,,TOTAL,20201670,
US RESIDENTS,2020,16,3,,40,,233,,336,,,-,2,,12,,12,,15,,336,,877,,1497,,,US RESIDENTS,20201601,
NEW HAMPSHIRE,2020,16,,-,0,,,-,1,,,-,0,,,-,,-,,-,4,,6,,8,,NEW HAMPSHIRE,,20201606,POINT (-71.57139 43.680429)
NEW YORK,2020,16,,-,6,,7,,11,,,-,0,,,-,1,,7,,48,,70,,64,,NEW YORK,,20201611,POINT (-75.59655 42.921241)
PACIFIC,2020,16,,-,1,,3,,4,,,-,0,,,-,1,,,-,18,,37,,209,,,PACIFIC,20201657,
WEST SOUTH CENTRAL,2020,16,,-,19,,39,,51,,,-,2,,1,,1,,3,,25,,68,,96,,,WEST SOUTH CENTRAL,20201643,
NEBRASKA,2020,16,,-,2,,,-,4,,,-,0,,,-,,-,1,,6,,5,,5,,NEBRASKA,,20201625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,16,,-,8,,22,,29,,,-,0,,,-,,-,,-,20,,45,,91,,,EAST SOUTH CENTRAL,20201638,
NORTH DAKOTA,2020,16,,-,2,,,-,6,,,-,0,,,-,,-,,-,2,,3,,3,,NORTH DAKOTA,,20201626,POINT (-100.46931 47.446305)
NEVADA,2020,16,,-,2,,1,,2,,,-,0,,,-,,-,,-,3,,4,,4,,NEVADA,,20201653,POINT (-114.916992 39.283294)
ILLINOIS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,43,,55,,71,,ILLINOIS,,20201615,POINT (-89.148632 40.124144)
IOWA,2020,16,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,8,,12,,5,,IOWA,,20201621,POINT (-93.500061 42.074659)
TEXAS,2020,16,,-,15,,17,,32,,,-,2,,1,,1,,3,,23,,61,,66,,TEXAS,,20201647,POINT (-99.317341 31.447238)
ALASKA,2020,16,,-,1,,2,,1,,,-,0,,,-,1,,,-,1,,,-,,-,ALASKA,,20201658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,16,,-,1,,1,,1,,,-,0,,,-,,-,,-,3,,4,,7,,DISTRICT OF COLUMBIA,,20201630,POINT (-77.016275 38.904785)
WASHINGTON,2020,16,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,4,,16,,24,,WASHINGTON,,20201662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,16,,-,3,,10,,24,,,-,0,,,-,,-,,-,23,,32,,85,,,NEW ENGLAND,20201602,
RHODE ISLAND,2020,16,,-,1,,,-,3,,,-,0,,,-,,-,,-,5,,3,,10,,RHODE ISLAND,,20201607,POINT (-71.534637 41.572574)
OREGON,2020,16,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,4,,16,,9,,OREGON,,20201661,POINT (-120.605279 43.940449)
DELAWARE,2020,16,,-,3,,,-,,-,,-,0,,,-,,-,,-,4,,2,,4,,DELAWARE,,20201629,POINT (-75.452394 38.994926)
ALABAMA,2020,16,,-,2,,8,,7,,,-,0,,,-,,-,,-,6,,9,,10,,ALABAMA,,20201639,POINT (-86.844516 32.756889)
KANSAS,2020,16,,-,1,,,-,9,,,-,0,,,-,2,,,-,5,,5,,8,,KANSAS,,20201622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,16,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,112,,14,,32,,NORTH CAROLINA,,20201634,POINT (-79.130883 35.52603)
GUAM,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201666,POINT (144.653198 13.3532)
NEW JERSEY,2020,16,,-,4,,13,,5,,,-,0,,,-,,-,,-,8,,,-,42,,NEW JERSEY,,20201610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,16,,-,2,,5,,11,,,-,0,,,-,,-,,-,2,,4,,4,,NEW MEXICO,,20201654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,16,1,,8,,38,,48,,,-,2,,9,,3,,4,,116,,226,,306,,,EAST NORTH CENTRAL,20201614,
TENNESSEE,2020,16,,-,3,,7,,11,,,-,0,,,-,,-,,-,10,,26,,34,,TENNESSEE,,20201642,POINT (-86.343226 35.842998)
CONNECTICUT,2020,16,,-,1,,2,,6,,,-,0,,,-,,-,,-,8,,16,,10,,CONNECTICUT,,20201603,POINT (-72.738288 41.575155)
MARYLAND,2020,16,1,,2,,6,,10,,,-,0,,,-,,-,,-,16,,31,,64,,MARYLAND,,20201633,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,16,,-,2,,4,,7,,,-,0,,,-,,-,,-,6,,10,,18,,SOUTH CAROLINA,,20201635,POINT (-80.864614 33.878572)
OKLAHOMA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,15,,,-,12,,OKLAHOMA,,20201646,POINT (-97.508297 35.583449)
