Facility Name,Address Line 1,Address Line 2,City,State,Zip,Phone,Fax,Latitude,Longitude,Description,History,ESA Listing Description,Cooperative Project Description,Seasonal Activities,County,WRIA,Salmon Recovery Region,Lead Entity,PSC Code,Image,Last Updated,GeoLocation
Soos Creek Hatchery,13030 Auburn Black Diamond Road,,Auburn,WA,98092     ,2539313950,2538332805,47.3093,-122.1688,"The Soos Creek Hatchery began operation in 1901, making it one of the oldest hatcheries in the Puget Sound Region. ","The Soos Creek Hatchery began operation in 1901, making it one of the oldest hatcheries in the Puget Sound Region.  Soos Creek is a tributary of the Green River; a highly urbanized watershed that is located in one of the most densely populated regions on the west coast.  Despite this development,  the Green River still has productive natural salmonid populations, and   the fish released from the Soos Creek Hatchery survive at a high rate, contributing to recreational and commercial ocean fisheries along the Pacific Coast and Puget Sound.  The fish produced at the hatchery also provide for important in-river recreational and Muckelshoot Tribal fisheries.   The Soos Creek Hatchery currently raises and releases  Fall Chinook salmon, coho salmon, and both Winter and Summer run Steelhead.  The Soos Creek Hatchery also supports the Icy Creek Ponds    and the Palmer Ponds by providing all incubation and early rearing for those facilities.<br /><br />The water right is for 35 cubic feet per second, and the hatchery is  supplied with up to 13,500 gallons per minute from 4 pumps, which   draw surface water from an intake station on Soos Creek.  The facility utilizes eight 10 foot x 80 foot raceways, eight 17.5 foot x 95 foot    concrete rearing ponds and three 0.14 acre asphalt ponds.  The incubation room consists of 160 shallow troughs, 40 deep troughs, and  10 3 foot X 3 foot X 16 foot fiberglass raceways.",The Fall Chinook released from and returning to the Soos Creek Hatchery are listed as <strong>Threatened<strong> under the Endangered Species Act as part of the Puget Sound ESU for chinook salmon.,"Volunteer rearing (cooperative projects): 3<blockquote>600,000 Coho Yearlings to the Muckleshoot Indian Tribe<br/>30,000 Coho Yearlings to the Des Moines Net Pen<br/>15,000 Steelhead to Flaming Geyser Rearing Pond<br/></blockquote>Salmon in the Classroom (educational projects): 30",,King,DUWAMISH-GREEN,Puget Sound,WRIA 9 - King County Lead Entity,3F10510  090072 H,,05/16/2012 12:00:00 AM,
Carlton Rearing Pond,,,,WA,,,,48.3433,-120.0887,No Data.,No Data.,,,,Okanogan,METHOW,Upper Columbia River,Okanogan County Lead Entity,3F42001  480002 H02,,05/16/2012 12:00:00 AM,
Speelyai Bay Net Pens,,,,WA,,,,45.983,-122.4158,Speelyai Hatchery is owned and its operation is fully funded by Pacificorp and Cowlitz PUD as mitigation for the loss of fish habitat on the North  Fork Lewis River due to the construction of four hydroelectric dams.  ,No Data.,No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): None<br/>Salmon in the Classroom (educational projects): None,,Cowlitz,LEWIS,Lower Columbia River,Lower Columbia Fish Recovery Board,3F42001  270168 H05,,07/20/2015 12:00:00 AM,
Garrison Hatchery,Drwr A-9601 Steilacoom Blvd,,Tacoma,WA,98498     ,2535897246,2535897098,47.1915,-122.5741,Garrison Springs is located near the mouth of Chambers Creek and supports the sub-yearling and yearling fall chinook programs. ,"Garrison Springs was constructed in 1976, near the mouth of Chambers Creek, immediately north of Western State Hospital at Fort Steilacoom WA. The facility includes eight standard concrete raceways, and one earthen pond (reduced from two ponds, due to a landslide caused by the Nisqually Earthquake in 2001).<br /><br />Garrison Springs receives unfed fry from Lakewood Hatchery for rearing and clipping. Fish are then taken and to Chambers Creek Hatchery and the Chambers Creek Fishway Trap (located one mile north of Steilacoom WA, at the head of Chambers Bay) for final rearing, acclimation, and release. The Chambers Bay Trap is also used to collect fall Chinook broodstock for South Sound programs.",The Chambers Fall Chinook programs are not included in the Puget Sound chinook ESU as part of the listed population.,Volunteer rearing (cooperative projects): None <br/>Salmon in the Classroom (educational projects): 2,,Pierce,CHAMBERS-CLOVER,Puget Sound,Pierce County Lead Entity,3F10513  120007 H01,,05/16/2012 12:00:00 AM,
Morse Creek Hatchery,W Hwy 101,,Port Angeles,WA,98362     ,,,48.0402,-123.348,No Data.,No Data.,,,,Clallam,ELWHA-DUNGENESS,Puget Sound,North Olympic Peninsula Lead Entity,3F10806  180185 H,,05/16/2012 12:00:00 AM,
Hoodsport Hatchery,PO Box  606,,Hoodsport,WA,98548     ,3608776408,3608776727,47.407,-123.1399,No Data.,"Hoodsport Hatchery is located at the mouth of Finch Creek, tributary to Hood Canal, in Hoodsport WA. The original hatchery property, founded in the late 1880s, was one of the first settlements in the area; it was owned by John and Ida Finch, who donated it to the WDFW. The facility began operations in February 1953.<br /><br />Hatchery programs include fall Chinook, chum, and pink salmon. Hoodsport Hatchery is unique among WDFW facilities in that it can rear fish utilizing either freshwater from the creek or wells, saltwater, or a combination of both. Fish released from Hoodsport Hatchery play an important role in Hood Canal recreational, commercial, and Tribal fisheries.",,,,Mason,SKOKOMISH-DOSEWALLIPS,Puget Sound,Hood Canal Coordinating Council,3F10412  160222 H,,05/16/2012 12:00:00 AM,
Cowlitz Salmon Hatchery,125 Salmon Lane,,Salkum,WA,98582     ,3609857424,3609857500,46.5113,-122.6293,The Cowlitz Salmon Hatchery was constructed and is funded and maintained by Tacoma Public Utilities (TPU) and it is operated by the State of Washington Department of Fish and Wildlife to mitigate for the impact of Mayfield and Mossyrock dams on Cowlitz River salmon stocks.  The hatchery has been in operation since 1967.,"The Cowlitz Salmon Hatchery was constructed and is funded and maintained by Tacoma Public Utilities (TPU) and it is operated by the State of Washington Department of Fish and Wildlife to mitigate for the impact of Mayfield and Mossyrock dams on Cowlitz River salmon stocks.    The hatchery has been in operation since 1967.<br /><br />Cowlitz Salmon Hatchery is designed for 160 vertical stack incubators.  It has 36 (10x205) rearing ponds, 9 (15x82) adult ponds and  12 stress relief ponds for upper Cowlitz River restoration use.  The river  intake system is able to supply 208 cfs and a well system that supplies 2.5-3.0 cfs.  This facility has three onsite residences.",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): 3 <br/>Salmon in the Classroom (educational projects): 5,,Lewis,COWLITZ,Lower Columbia River,Lower Columbia Fish Recovery Board,3F42001  260002 H02,,05/20/2016 12:00:00 AM,
Spokane Hatchery,W 2927 Waikiki Road,,Spokane,WA,99208     ,5096255169,5096255170,47.7656,-117.4598,The Spokane Hatchery was built in 1934 and is one of the State's original  hatcheries. It is one of the major Rainbow Trout Broodstock facilities  in the state. ,"The Spokane Hatchery was built in 1934 and is one of the State's original  hatcheries. It is one of the major Rainbow Trout Broodstock facilities  in the state. 9 million Rainbow eggs are taken each year with about 6 million shipped to other facilities around the state. The facility also raises German Brown Trout, Eastern Brook Trout, Cutthroat Trout, Tiger Trout and Kokanee Salmon that are released into the waters of far Eastern Washington for the sport and enjoyment of fishermen from Washington and out of state.  Spokane Hatchery plays a major role in triploid production in Washington State.",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): 1<br/>Salmon in the Classroom (educational projects): 10,"Adult spawning :November into January ;Egg picking :November into February;Eggs hatching :December into February ;Moving fry outside :February into June ;Release of fish :March into June, October into November",Spokane,LITTLE SPOKANE,,,3F42001  550003 H01,,05/16/2012 12:00:00 AM,
Skamania Hatchery,391 Steelhead Rd,,Washougal,WA,98671     ,3608373131,3608373201,45.6208,-122.2179,The Skamania Hatchery was authorized and constructed under the Mitchell Act and began operations in 1956 as part of the Columbia Fisheries Development Program. ,"The Skamania Hatchery was authorized and constructed under the Mitchell Act and began operations in 1956 as part of the Columbia Fisheries Development Program.   A program to mitigate for fishery losses caused  by hydroelectric system development in the Columbia River basin.  The hatchery is used for adult collection, egg incubation and rearing of    winter steelhead, summer steelhead and cutthroat trout.<br /><br />Skamania Hatchery is located on the North Fork River about 0.5 miles above the    confluence of the Washougal River.  The Washougal River is a north bank  tributary of the lower Columbia River, just downstream of Washougal,  Washington.  The hatchery is staffed with 5 FTEs.  The Skamania Hatchery was authorized and constructed under the Mitchell Act and began operations in 1956 as part of the Columbia Fisheries Development Program. The Skamania facility includes three ponds for adult holding, 10 intermediate    concrete raceways, 32 concrete raceways, and incubation facilities. The Skamania Hatchery was authorized and constructed under the Mitchell Act and began operations in 1956 as part of the Columbia Fisheries Development Program. Water rights total 11,670 gpm. from two sources: North Fork Washougal River and  Vogel Creek (Montgomery Watson 1977).  The Washougal River provides most   of the water used by the hatchery with actual water usages that average    9,800 gpm and ranges from 6,650 to 11,460 gpm.  Vogel Creek water is used  for incubation and early rearing, while Washougal River water is used  thereafter until spring release.",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): 1<br/>Salmon in the Classroom (educational projects): None,,Skamania,SALMON-WASHOUGAL,Lower Columbia River,Lower Columbia Fish Recovery Board,3F42001  280200 H,,05/16/2012 12:00:00 AM,
Chelan PUD Hatchery,,,,WA,,,,47.8158,-119.9771,The PUD hatchery began operations in 1965 as a mitigation facility for the Rocky   Reach Dam.  This facility is owned and funded by the Chelan PUD and is operated by the Washington Department of Fish and Wildlife (WDFW),"The Chelan Hatchery comprises two hatchery facilities operated as a complex with one hatchery funded by the state and the other by the Chelan PUD. The PUD hatchery began operations in 1965 as a mitigation facility for the Rocky Reach Dam.  This facility is owned and funded by the Chelan PUD and is operated by the Washington Department of Fish and Wildlife (WDFW). <br /><br />The PUD hatchery produces summer steelhead, resident trout, and Kokanee to compensate for lost fish production and recreational and tribal fishing opportunities stemming from the construction of the Rocky Reach and Chelan hydroelectric projects. The state hatchery produces a larger variety of fish and releases them into a larger geographic area.",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): None <br/>Salmon in the Classroom (educational projects): None,,Chelan,CHELAN,,Chelan County Lead Entity,3F42001  470052 H02,,05/16/2012 12:00:00 AM,
Mayr Brothers Ponds,5597 Wishkah Road,,Aberdeen,WA,98520     ,3605335255,,47.1865,-123.7225,No Data.,"Also known as ""Wishkah Salmon Hatchery,"" the facility is located 20 miles up the Wishkah River. It was built by Mayr Bros. Logging Company in 1973, in agreement with WDFW to establish a steelhead rearing program. WDFW took ownership of the facility in 1986. At this time, Long Live the Kings (enhancement co-op) took over operations, started the Chinook program, and increased the coho and chum programs; a rearing pond and small hatchery building was constructed on-site. The steelhead program was discontinued in 1997. Off-channel rearing ponds (seven in total) were added starting in 1991. Grays Harbor Poggie Club took over operations in 2007. Poggie Club members installed vinyl liners in two rearing ponds 2010-2013 to improve fish health.<br /><br />Hatchery production from this supports freshwater recreational fisheries, as well as ocean commercial and sport, and Tribal ocean and Grays Harbor troll and gillnet fisheries.",,,,Grays Harbor,LOWER CHEHALIS,Washington Coastal,Grays Harbor County Lead Entity,3F21802  220191 H,,05/16/2012 12:00:00 AM,
Baker Lake Hatchery,PO Box 117,,Concrete,WA,98237     ,3608538341,,48.6491,-121.6981,"Baker Spawning Beach is owned by Puget Sound Energy. The beaches incubate Baker Sockeye, Baker Coho and Goldendale Rainbow. The staff handle Baker Sockeye and Baker Coho that return to the facility. ","Baker Spawning Beach is owned by Puget Sound Energy. The beaches incubate Baker sockeye, Baker coho  and Goldendale rainbow.  The staff handle Baker sockeye and Baker coho that return to the facility. ",,Volunteer rearing (cooperative projects): None <br/>Salmon in the Classroom (educational projects): None,Adult spawning:October through November;Moving fry to holding ponds:January;Release of Fish:March through June;Rearing Fish:Year round,Whatcom,UPPER SKAGIT,Puget Sound,Skagit Watershed Council,3F10208  030435 H34,,08/01/2013 12:00:00 AM,
Deep River Net Pens,,,,WA,,,,46.3411,-123.6947,Located on the Deep River near Grays River Washington.  Programs are supported through Grays River Hatchery.,Located on the Deep River near Grays River Washington.  Programs are supported through Grays River Hatchery.,,Volunteer rearing (cooperative projects): None <br/>Salmon in the Classroom (educational projects): None,,Wahkiakum,GRAYS-ELOKOMAN,Lower Columbia River,Lower Columbia Fish Recovery Board,3F42001  250071 H,,05/16/2012 12:00:00 AM,
Nemah Hatchery,415 N Nemah Road,,South Bend,WA,98586     ,3608756147,3608755305,46.503,-123.8411,"Nemah Hatchery is located on the North Nemah River, a tributary of Willapa Bay.  ","Nemah Hatchery is located on the North Nemah River, a tributary of Willapa Bay.     It was originally constructed in 1953.  Four phases of reconstruction have been completed over the years.  The most recent phase included an incubation and educational viewing room for the public.  The hatchery rears Nemah River Fall Chinook, Willapa River Fall Chinook, Nemah River Coho and Willapa River Steelhead.   ",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): 8<br/>Salmon in the Classroom (educational projects): None,Adult spawning:September through November;Moving fry to holding ponds:December through March;Release of Fish:April through June;Rearing Fish:Year round,Pacific,WILLAPA,Washington Coastal,Pacific County Lead Entity,3F21902  240460 H,,05/16/2012 12:00:00 AM,
Chiwawa Hatchery,2640 Kinnikinnick Dr,,Leavenworth,WA,98826     ,5097632828,5097633070,47.789,-120.6519,This facility was constructed on 1990 and is an integral part of the hatchery complex (satellite of Eastbank Hatchery) associated with mitigation for impacts of Rock Island Dam.  Chiwawa River ESA listed Spring Chinook are over wintered at this site for direct release into the Chiwawa River.  Staff at this facility are also responsible for the rearing of Lake Wenatchee Sockeye in net pens at the head end of Lake Wenatchee.,This facility was constructed in 1990 and is an integral part of the hatchery  complex (satellite of Eastbank Hatchery) associated with mitigation for  impacts of Rock Island Dam.  Chiwawa River ESA listed Spring Chinook are over wintered at this site for direct release into the Chiwawa River.  Staff at this facility are also responsible for the rearing of Lake Wenatchee Sockeye in net pens at the head end of Lake Wenatchee.   <br /><br />These facilities are not accessible to the public due to safety concerns.  Closely tied to cooperative efforts with co-managers in the region.,The Chiwawa Ponds rear listed Chiwawa spring chinook.,Volunteer rearing (cooperative projects): None <br/>Salmon in the Classroom (educational projects): None,,Chelan,WENATCHEE,Upper Columbia River,Chelan County Lead Entity,3F42001  450759 H,,05/16/2012 12:00:00 AM,
Cowlitz Trout Hatchery,165 Osprey Lane,,Toledo,WA,98591     ,3608646121,3608646122,46.4875,-122.7229,Cowlitz Trout Hatchery was constructed by Tacoma Power in 1967 - 68 as mitigation for the impacts caused by their hydroelectric projects on the fish in the Cowlitz River.  Tacoma Power owns and funds the operation and maintenance of the hatchery.  The WDFW has been the operator since the hatchery began production in 1968.  ,"Cowlitz Trout Hatchery was constructed by Tacoma Power in 1967-68 as mitigation for the impacts caused by their hydroelectric projects on the fish in the Cowlitz River.  Tacoma Power owns and funds the operation and maintenance   of the hatchery.  The WDFW has been the operator since the hatchery began production in 1968. The emphasis of the hatchery production is to provide fish for  sustainable fisheries and restore and recover wild stocks in the Cowlitz  River basin.  The hatchery raises indigenous Cowlitz late winter steelhead,  Skamania origin summer steelhead, Chambers origin early winter steelhead  and Cowlitz anadromous coastal cutthroat. ",Steelhead are listed as threatened in the Lower Columbia ESU under ESA.,Volunteer rearing (cooperative projects): 3<br/>Salmon in the Classroom (educational projects): None ,Adult spawning:December through May;Moving fry to holding ponds:March through June;Release of Fish:Mid April through mid May;Rearing Fish:Year round,Lewis,COWLITZ,Lower Columbia River,Lower Columbia Fish Recovery Board,3F42001  260002 H01,,05/20/2016 12:00:00 AM,
Omak Hatchery,640 Jasmine Street,,Omak,WA,98841     ,5098260200,5098260203,48.4006,-119.5435,No Data.,No Data.,,,,Okanogan,OKANOGAN,Upper Columbia River,Okanogan County Lead Entity,3F42001  490019 H01,,05/16/2012 12:00:00 AM,
Klineline Ponds,,,,WA,,,,45.7079,-122.6561,No Data.,This program supported through Skamania Hatchery. ,,,,Clark,SALMON-WASHOUGAL,Lower Columbia River,Lower Columbia Fish Recovery Board,3F42001  280059 H03,,05/16/2012 12:00:00 AM,
Naselle Hatchery,270 N Valley Road,,Nasselle,WA,98638     ,3604847716,3604847718,46.3722,-123.7531,"The Naselle Hatchery is located on the Naselle River, a tributary of Willapa    Bay.  It was originally constructed in 1978 and includes an incubation  and educational viewing room for the public.  ","The Naselle Hatchery is located on the Naselle River, a tributary of Willapa Bay.  It was originally constructed in 1978 and includes an incubation  and educational viewing room for the public.  The hatchery rears Naselle   River Chinook, Willapa River Fall Chinook, Naselle River Coho, Naselle River Chum, Naselle River Steelhead, and Willapa River Steelhead and Naselle River Cutthroat that are returned to spawn naturally.",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects):5<br/>Salmon in the Classroom (educational projects): 3,Adult spawning:September through November;Moving fry to holding ponds:December through March;Release of Fish:May through June;Rearing Fish:Year round,Pacific,WILLAPA,Washington Coastal,Pacific County Lead Entity,3F21902  240543 H,,05/16/2012 12:00:00 AM,
Bogachiel Hatchery,2944 Bogachiel Way,,Forks,WA,98331     ,3603746232,3603746147,47.9349,-124.4389,"The Bogachiel Hatchery began operation in 1976. It is located on the Bogachiel River, near the confluence of the Calawah River, just outside the town of Forks. Three rearing channels, totaling seven surface acres, are spring fed. Depending on the season, total water available ranges from 4-36 cubic feet per second. Summer and Winter Steelhead are released on site providing excellent fishing opportunities most of the year.","The Bogachiel Hatchery began operation in 1976. It is located on the Bogachiel River,   near the confluence of the Calawah River, just outside the town of Forks.   Three rearing channels, totaling seven surface acres, are spring fed.    Depending on the season, total water available ranges from 4-36 cubic feet per second.   Summer and Winter Steelhead are released on site providing excellent fishing   opportunities most of the year. ",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): None <br/>Salmon in the Classroom (educational projects): None,,Clallam,SOLEDUCK-HOH,Washington Coastal,North Pacific Coast Lead Entity,3F21703  200162 H02,,05/16/2012 12:00:00 AM,
Chambers Creek Hatchery,8315 Phillips Road SW,,Tacoma,WA,98498     ,2535897234,2535897098,47.1816,-122.5338,"The Washington Department of Fish and Wildlife currently operates four hatchery sites in the Chambers Creek watershed.  These facilities provide vital support for fish production programs ranging from fall chinook, to kokanee and jumbo rainbow trout.","Chambers Creek Hatchery is part of a complex of four WDFW facilities in the Chambers Creek watershed. The facility is located near the outlet of Lake Steilacoom, in Tacoma WA. Originally a private trout hatchery, the site was purchased by the Washington Game Department in 1972, and began operation in 1976. The facility has 120 shallow trough incubators and four 88x20-ft rearing ponds. Fall Chinook from Garrison Springs Hatchery are reared and released onsite. The facility also incubates and rears kokanee and jumbo rainbow trout for release into lakes and reservoirs in Pierce, King, Thurston, and Mason counties.",The Chambers Fall Chinook programs are not included in the Puget Sound chinook ESU as part of the listed population.,Volunteer rearing (cooperative projects): None <br/>Salmon in the Classroom (educational projects): None,Adults spawning:September through November;Moving fry to holding ponds:December through May;Release of Fish:April through June;Rearing of Fish:Year round,Pierce,CHAMBERS-CLOVER,Puget Sound,Pierce County Lead Entity,3F10513  120007 H02,,05/16/2012 12:00:00 AM,
Coulter Creek Rearing Pond,E 41 Coulter Creek Road,,Belfair,WA,98528     ,3602755712,3602755712,47.4073,-122.8177,"Coulter Creek Hatchery was built in 1980 with funding from the state hatchery enhancement program.  It was originally opened to raise chum salmon, however in the early 1990's the production of chum salmon was eliminated and the run has been managed as a natural spawning population.","Coulter Creek Pond was built in 1980. It is located two miles north of Allyn WA, on Coulter Creek, a tributary to Case Inlet in South Puget Sound. The facility consists of two 1/3-acre asphalt rearing ponds, and gets its water source from Coulter Creek. The site was initially built with plans for onsite incubation using pathogen free water; the incubation portion of the hatchery was never built and the supply well remains capped.<br /><br />The facility rears Deschutes River fall Chinook. Eggs are collected from the Tumwater Falls fishway trap, and transported to the Minter Creek Hatchery for incubation. The unfed fry are transferred to Coulter Creek in late-December/early-January, where they are reared and mass-marked before being transferred to the Tumwater Falls site in April/May for acclimation and release into Capitol Lake.<br /><br />Chum, coho and cutthroat trout spawn naturally in Coulter Creek. Coho return in September and Chum return in October.",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): None <br/>Salmon in the Classroom (educational projects): None,Adult spawning at Tumwater falls :September and October;Egg transfers to Minter Creek:September and October ;Transporting unfed fry from Minter to Coulter Creek:December and January;Mass Marking :March and April ;Transporting fish to Tumwater Falls:April and May,Mason,KITSAP,Puget Sound,West Sound Watersheds Lead Entity,3F10513  150002 H,,05/20/2016 12:00:00 AM,
Cedar River Hatchery,PO Box  829,,Ravensdale,WA,98051-0829,4254323478,4254135479,47.3761,-121.9625,"The Cedar River Sockeye Project began in 1991 in an effort to enhance the number of Sockeye Salmon returning to the Cedar River.  The Cedar River Hatchery is located at river mile 22.4 on the Cedar River, adjacent to Landsburg Dam.  The project is locally funded by Seattle Public Utilities, operated by WDFW, and has staffing levels of one fulltime employee, a career seasonal employee, and up to 10 temporary employees.","The Cedar River Sockeye Project began in 1991 in an effort to enhance   the number of Sockeye Salmon returning to the Cedar River.  The Cedar River Hatchery is located at river mile 22.4 on the Cedar River,   adjacent to Landsburg Dam.  The project is locally funded by Seattle Public Utilities, operated by WDFW, and has staffing levels of one fulltime employee, a career seasonal employee, and up to 10 temporary employees. <br /><br />The facility contains 20 half stack vertical incubators, and 53 Kitoi style upwelling incubators, which provide the ability to incubate up  to 17.2 million sockeye eggs and fry.  Incubation water is supplied  by two pumps which provide 600 gpm.   All adult sockeye are collected with an instream weir that is located at river mile 1.7 on the Cedar   River.  The adult sockeye are held in a series of 4 circular ponds  that are fed with 1000 gpm of spring water.  The project receives oversight from the Cedar River Sockeye Hatchery Adaptive Management Work Group, a committee that sets operational protocols and eggtake goals for the hatchery and attempts to minimize ESA listed species interactions.<br /><br />All fish raised at the Cedar River Hatchery are released into the  Cedar River, and receive otolith marks prior to release.  The Cedar River is home to the largest run of sockeye in the lower 48 states.   Fish released from the hatchery contribute to the highly popular sport and tribal sockeye fishery in Lake Washington.<br /><br />A new hatchery facility capable of incubating 32 million fry is  currently under construction and is intended to replace the interim facility. ",The sockeye reared at this facility are not listed under the Endangered Species Act,Volunteer rearing (cooperative projects): None <br/>Salmon in the Classroom (educational projects): None,,King,CEDAR-SAMMAMISH,Puget Sound,WRIA 8 - King County Lead Entity,3F10510  080299 H02,,05/16/2012 12:00:00 AM,
Naches Hatchery,3410 S Naches Road,,Naches,WA,98937     ,5099651495,5099653911,46.6583,-120.6296,The Naches Hatchery is located 5 miles west of Yakima on the south side of the Naches river. The facility was originally constructed in 1912 and was remodeled and updated in 1973 and partially remodeled again in 1990. ,"The Naches hatchery facilities include Naches Hatchery and the Nelson Springs Raceway (NSR). The Naches Hatchery is located five miles west of Yakima WA on the south bank of the Naches River. The facility was originally constructed in 1912, was remodeled and updated with a new hatchery building in 1973, and partially remodeled again in 1990-1991, with eight new raceways, a 1/3-acre rearing pond and a pollution abatement system. The Nelson Springs Raceway is located about four miles southeast of the Naches Hatchery, three miles upstream from the mouth of the Naches River. The facility was built in the 1970s by Yakima Chapter of the NW Steelhead and Salmon Council of Trout Unlimited volunteers to rear summer steelhead. The steelhead program ended in 1988, and the Washington Department of Game took over operation, as a satellite facility to the main hatchery, to rear resident rainbow trout. NSR is currently owned by the Bonneville Power Administration (BPA). The NSR site and water source is also used by the Yakama Nation to acclimate/release Y/KFP summer Chinook salmon in portable aluminum raceways, which are adjacent to the main 100' x 10' raceway that WDFW uses for rainbow trout production.<br /><br />The hatchery complex produces rainbow, cutthroat, kokanee and golden trout. These two facilities, staffed by two hatchery specialists, produce 85% of the 11 to13 inch ""standard catchable"" rainbow trout stocked in lowland Yakima, Kittitas, and Benton county lowland lakes. Naches Hatchery produces 90,000 catchables and NSR produces 15,000 catchables, 2,000 half-pound jumbos, and 5,000 one-pound jumbos, or about 20% of the combined production. If larger 1/2-pound and 1-pound ""jumbo"" rainbow trout are included, these two facilities produce 93.5% of all catchable trout stocked in the three counties. The cutthroat and golden trout are stocked as fry in alpine lakes.",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): None<br/>Salmon in the Classroom (educational projects): None,Incubating eggs and hatching fry:November through December;Moving fry to rearing ponds:January through February;Release of Fish:March through October;Rearing Fish:Year round,Yakima,NACHES,Middle Columbia River,Yakima Basin Fish and Wildlife Recovery Board,3F42001  380003 H02,,05/16/2012 12:00:00 AM,
Ford Hatchery,PO Box 70,,Ford,WA,99013     ,5092584269,5092589510,47.9121,-117.829,Ford Hatchery was built in 1942 for mitigation for the construction of  Grand Coulee Dam and the loss of anadramous fish passage and habitat.   ,"Ford Hatchery was built on the Spokane Reservation in 1942, as mitigation for habitat impacts and resident and anadromous fish losses and due to the construction of Grand Coulee Dam. In 2002, BPA funding for a new well and degassing tower improved water quality at the facility. New screens for the raceways for the kokanee program were added in 2003.",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): 1 <br/>Salmon in the Classroom (educational projects): None,,Stevens,LOWER SPOKANE,Northeast Washington,,3F42001  540250 H02,,05/16/2012 12:00:00 AM,
Lake Aberdeen Hatchery,4203 Aberdeen Lake Road,,Aberdeen,WA,98520     ,3605331663,3605320355,46.9802,-123.7429,"The Lake Aberdeen Hatchery was originally built in 1935-36. In 1958, the hatchery  was renovated; the original circular ponds were removed and replaced with  standard 10' by 80' shallow raceways.","The Lake Aberdeen Hatchery, located in Aberdeen WA, was originally built by the Department of Game in 1935-1936. In 1958, the original circular ponds were removed and replaced with standard  shallow raceways. In 1992, the hatchery was renovated, with five additional standard raceways, two adult collection/holding ponds, fish ladder, floating weir, and an incubation/nursery building. A gravity intake and pipeline, installed in 2015, supplies cool Wynoochee River water.<br /><br />The hatchery rears: Wynoochee River late-winter steelhead, and VanWinkle Creek summer steelhead, coho, and fall Chinook, and rainbow trout. Hatchery production from this facility plays an important role in freshwater recreational fisheries, as well as ocean commercial and sport, and Tribal ocean and Grays Harbor troll and gillnet fisheries. Trout plants support popular recreational lake fishing opportunities in Grays Harbor County.",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): 8<br/>Salmon in the Classroom (educational projects) : 12,Adult spawning:September through April;Moving fry to holding ponds:December through May;Release of Fish:March through June;Rearing Fish:Year round,Grays Harbor,LOWER CHEHALIS,Washington Coastal,Grays Harbor County Lead Entity,3F21802  220240 H,,05/16/2012 12:00:00 AM,
Merwin Hatchery,111 Merwin Hartchery Crt,,Ariel,WA,98603-9727,3602254391,3602254392,45.9549,-122.5647,Merwin Hatchery program was started in 1993 at a site adjacent to Merwin Dam on the North Fork Lewis River.,Merwin Hatchery program was started in 1993 at a site adjacent to Merwin Dam on the North Fork Lewis River.  It was constructed by PacifiCorp to mitigate for losses of resident and anadromous trout resulting from construction and  operation of the Merwin project over the North Fork Lewis River.,No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): 1<br/>Salmon in the Classroom (educational projects): None,,Cowlitz,LEWIS,Lower Columbia River,Lower Columbia Fish Recovery Board,3F42001  270168 H02,,05/16/2012 12:00:00 AM,
Fallert Creek Hatchery,1404 Kalama River Road,,Kalama,WA,98625     ,3606734400,3606732995,46.0459,-122.8051,Fallert Creek was a state-funded hatchery that began operation in 1895.  ,"Fallert Creek was a state-funded hatchery that began operation in 1895.   Fallert Creek's physical components include water rights totaling  34 cubic feet per second from two sources, 8 raceway rearing ponds   and two larger (+/- 1/4 acre) rearing ponds of which one doubles as an adult holding pond.  The hatchery building includes incubation units, twelve intermediate rearing troughs, locker room, break room,  office and storage.  In addition there is a pump station, domestic water treatment building, two residences and shop building.  ",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): None<br/>Salmon in the Classroom (educational projects): None,,Cowlitz,LEWIS,Lower Columbia River,Lower Columbia Fish Recovery Board,3F42001  270017 H,,05/16/2012 12:00:00 AM,
Chelan River Net Pen,,,,WA,,,,47.8058,-119.987,No Data.,No Data.,,,,Chelan,CHELAN,,Chelan County Lead Entity,3F42001  470052 H03,,05/16/2012 12:00:00 AM,
