Year and Quarter,Time Period,Indicator,Rate Type,Rate,Unit,Significant
2019 Q3,12 months ending with quarter,Hypertension,Age-adjusted,8.7,"Deaths per 100,000",*
2019 Q3,12 months ending with quarter,Influenza and pneumonia,Age-adjusted,12.4,"Deaths per 100,000",*
2019 Q3,12 months ending with quarter,Kidney disease,Age-adjusted,12.6,"Deaths per 100,000",*
2019 Q3,12 months ending with quarter,Parkinson disease,Age-adjusted,8.5,"Deaths per 100,000",*
2019 Q3,12 months ending with quarter,Pneumonitis due to solids and liquids,Age-adjusted,4.6,"Deaths per 100,000",*
2019 Q3,12 months ending with quarter,Septicemia,Age-adjusted,9.8,"Deaths per 100,000",*
2019 Q3,12 months ending with quarter,Stroke,Age-adjusted,36.4,"Deaths per 100,000",*
2019 Q3,12 months ending with quarter,Suicide,Age-adjusted,,"Deaths per 100,000",
2019 Q3,12 months ending with quarter,Unintentional injuries,Age-adjusted,,"Deaths per 100,000",
2019 Q3,3-month period,All Causes,Crude,809.2,"Deaths per 100,000",
2019 Q3,3-month period,Alzheimer disease,Crude,33.5,"Deaths per 100,000",
2019 Q3,3-month period,Cancer,Crude,181.0,"Deaths per 100,000",
2019 Q3,3-month period,Chronic liver disease and cirrhosis,Crude,12.9,"Deaths per 100,000",
2019 Q3,3-month period,Chronic lower respiratory diseases,Crude,41.3,"Deaths per 100,000",
2019 Q3,3-month period,Diabetes,Crude,23.8,"Deaths per 100,000",
2019 Q3,3-month period,Drug overdose,Crude,,"Deaths per 100,000",
2019 Q3,3-month period,"Falls, ages 65 and over",Crude,,"Deaths per 100,000",
2019 Q3,3-month period,Firearm-related injury,Crude,,"Deaths per 100,000",
2019 Q3,3-month period,Heart disease,Crude,183.1,"Deaths per 100,000",
2019 Q3,3-month period,HIV disease,Crude,1.5,"Deaths per 100,000",
2019 Q3,3-month period,Homicide,Crude,,"Deaths per 100,000",
2019 Q3,3-month period,Hypertension,Crude,9.9,"Deaths per 100,000",
2019 Q3,3-month period,Influenza and pneumonia,Crude,11.2,"Deaths per 100,000",
2019 Q3,3-month period,Kidney disease,Crude,14.4,"Deaths per 100,000",
2019 Q3,3-month period,Parkinson disease,Crude,9.6,"Deaths per 100,000",
2019 Q3,3-month period,Pneumonitis due to solids and liquids,Crude,5.2,"Deaths per 100,000",
2019 Q3,3-month period,Septicemia,Crude,11.4,"Deaths per 100,000",
2019 Q3,3-month period,Stroke,Crude,41.9,"Deaths per 100,000",
2019 Q3,3-month period,Suicide,Crude,,"Deaths per 100,000",
2019 Q3,3-month period,Unintentional injuries,Crude,,"Deaths per 100,000",
2019 Q3,3-month period,All Causes,Age-adjusted,666.3,"Deaths per 100,000",*
2019 Q3,3-month period,Alzheimer disease,Age-adjusted,26.9,"Deaths per 100,000",*
2019 Q3,3-month period,Cancer,Age-adjusted,144.7,"Deaths per 100,000",*
2019 Q3,3-month period,Chronic liver disease and cirrhosis,Age-adjusted,10.8,"Deaths per 100,000",
2019 Q3,3-month period,Chronic lower respiratory diseases,Age-adjusted,32.9,"Deaths per 100,000",
2019 Q3,3-month period,Diabetes,Age-adjusted,19.3,"Deaths per 100,000",*
2019 Q3,3-month period,Drug overdose,Age-adjusted,,"Deaths per 100,000",
2019 Q3,3-month period,"Falls, ages 65 and over",Age-adjusted,,"Deaths per 100,000",
2019 Q3,3-month period,Firearm-related injury,Age-adjusted,,"Deaths per 100,000",
2019 Q3,3-month period,Heart disease,Age-adjusted,147.3,"Deaths per 100,000",*
2019 Q3,3-month period,HIV disease,Age-adjusted,1.4,"Deaths per 100,000",
2019 Q3,3-month period,Homicide,Age-adjusted,,"Deaths per 100,000",
2019 Q3,3-month period,Hypertension,Age-adjusted,8.0,"Deaths per 100,000",*
2019 Q3,3-month period,Influenza and pneumonia,Age-adjusted,9.0,"Deaths per 100,000",*
2019 Q3,3-month period,Kidney disease,Age-adjusted,11.6,"Deaths per 100,000",*
2019 Q3,3-month period,Parkinson disease,Age-adjusted,7.8,"Deaths per 100,000",*
2019 Q3,3-month period,Pneumonitis due to solids and liquids,Age-adjusted,4.2,"Deaths per 100,000",*
2019 Q3,3-month period,Septicemia,Age-adjusted,9.3,"Deaths per 100,000",*
2019 Q3,3-month period,Stroke,Age-adjusted,33.8,"Deaths per 100,000",*
2019 Q3,3-month period,Suicide,Age-adjusted,,"Deaths per 100,000",
2019 Q3,3-month period,Unintentional injuries,Age-adjusted,,"Deaths per 100,000",
