Reporting Area,MMWR Year,MMWR Week,"Rubella, Current week","Rubella, Current week, flag","Rubella, Previous 52 weeks Med","Rubella, Previous 52 weeks Med, flag","Rubella, Previous 52 weeks Max","Rubella, Previous 52 weeks Max, flag","Rubella, Cum 2015","Rubella, Cum 2015, flag","Rubella, Cum 2014","Rubella, Cum 2014, flag","Rubella, congenital syndrome, Current week","Rubella, congenital syndrome, Current week, flag","Rubella, congenital syndrome, Previous 52 weeks Med","Rubella, congenital syndrome, Previous 52 weeks Med, flag","Rubella, congenital syndrome, Previous 52 weeks Max","Rubella, congenital syndrome, Previous 52 weeks Max, flag","Rubella, congenital syndrome, Cum 2015","Rubella, congenital syndrome, Cum 2015, flag","Rubella, congenital syndrome, Cum 2014","Rubella, congenital syndrome, Cum 2014, flag","Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2015","Salmonellosis, Cum 2015, flag","Salmonellosis, Cum 2014","Salmonellosis, Cum 2014, flag",Location 1,Location 2
GEORGIA,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,10,,36,,90,,229,,219,,"GEORGIA
(32.839683, -83.627579)",
INDIANA,2015,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,12,,40,,98,,144,,"INDIANA
(39.766913, -86.149956)",
KANSAS,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,8,,21,,62,,51,,"KANSAS
(38.347743, -98.200778)",
ARKANSAS,2015,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,5,,11,,29,,17,,10,,"ARKANSAS
(34.74865, -92.27449)",
MISSOURI,2015,13,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,,-,16,,36,,86,,89,,"MISSOURI
(38.635791, -92.566299)",
ALASKA,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,13,,15,,"ALASKA
(64.845078, -147.72206)",
WISCONSIN,2015,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,14,,27,,6,,69,,"WISCONSIN
(44.393191, -89.816366)",
NORTH CAROLINA,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,11,,24,,190,,272,,356,,"NORTH CAROLINA
(35.46622, -79.15925)",
KENTUCKY,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,10,,27,,,-,6,,"KENTUCKY
(37.645973, -84.774968)",
MISSOURI,2015,8,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,5,,16,,36,,86,,53,,"MISSOURI
(38.635791, -92.566299)",
IDAHO,2015,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,3,,9,,12,,12,,"IDAHO
(43.682632, -114.363727)",
MASSACHUSETTS,2015,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,24,,52,,,-,80,,"MASSACHUSETTS
(42.276874, -72.082687)",
NORTH DAKOTA,2015,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,8,,13,,17,,"NORTH DAKOTA
(47.475319, -100.118428)",
MARYLAND,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,5,,14,,50,,142,,153,,"MARYLAND
(39.290583, -76.60926)",
NORTH DAKOTA,2015,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,8,,4,,6,,"NORTH DAKOTA
(47.475319, -100.118428)",
NORTH CAROLINA,2015,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,24,,190,,239,,328,,"NORTH CAROLINA
(35.46622, -79.15925)",
PENNSYLVANIA,2015,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,7,,21,,68,,7,,14,,"PENNSYLVANIA
(40.793734, -77.860697)",
MINNESOTA,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.355649, -94.7942)",
KENTUCKY,2015,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,10,,27,,72,,94,,"KENTUCKY
(37.645973, -84.774968)",
LOUISIANA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,15,,50,,19,,20,,"LOUISIANA
(31.312663, -92.445678)",
VERMONT,2015,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,6,,16,,"VERMONT
(43.625384, -72.517637)",
MISSOURI,2015,12,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,,-,16,,36,,86,,83,,"MISSOURI
(38.635791, -92.566299)",
ILLINOIS,2015,14,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,27,,61,,187,,271,,"ILLINOIS
(40.485012, -88.997709)",
OREGON,2015,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,8,,17,,37,,37,,"OREGON
(44.56745, -120.155029)",
OHIO,2015,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,15,,23,,46,,76,,58,,"OHIO
(40.060212, -82.404257)",
ARIZONA,2015,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,7,,19,,41,,179,,192,,"ARIZONA
(34.865974, -111.763807)",
COLORADO,2015,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,11,,26,,48,,137,,"COLORADO
(38.843843, -106.133609)",
IOWA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,10,,24,,9,,13,,"IOWA
(42.469401, -93.816487)",
MISSISSIPPI,2015,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,12,,59,,39,,64,,"MISSISSIPPI
(32.745513, -89.538027)",
ALABAMA,2015,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,19,,54,,35,,154,,"ALABAMA
(32.840572, -86.631857)",
IDAHO,2015,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,7,,3,,9,,31,,22,,"IDAHO
(43.682632, -114.363727)",
VIRGINIA,2015,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,18,,58,,20,,23,,"VIRGINIA
(37.542681, -78.457889)",
VIRGINIA,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,18,,58,,20,,15,,"VIRGINIA
(37.542681, -78.457889)",
RHODE ISLAND,2015,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,12,,11,,20,,"RHODE ISLAND
(41.708281, -71.522466)",
WISCONSIN,2015,16,1,,0,,0,,1,,,-,,-,0,,0,,,-,,-,,-,12,,66,,22,,169,,"WISCONSIN
(44.393191, -89.816366)",
DELAWARE,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,15,,15,,18,,"DELAWARE
(39.008834, -75.577736)",
GUAM,2015,16,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480999, 144.731498)",
NEW YORK,2015,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,14,,21,,57,,55,,60,,"NEW YORK
(42.827004, -75.543966)",
MISSISSIPPI,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,13,,59,,,-,9,,"MISSISSIPPI
(32.745513, -89.538027)",
NEW YORK CITY,2015,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,17,,17,,35,,124,,136,,"NEW YORK CITY
(40.714268, -74.005969)",
IDAHO,2015,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,3,,31,,81,,35,,"IDAHO
(43.682632, -114.363727)",
OHIO,2015,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,9,,23,,46,,121,,125,,"OHIO
(40.060212, -82.404257)",
NEW YORK,2015,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,28,,23,,57,,241,,200,,"NEW YORK
(42.827004, -75.543966)",
OREGON,2015,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,5,,8,,17,,91,,80,,"OREGON
(44.56745, -120.155029)",
NEW HAMPSHIRE,2015,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,2,,8,,5,,29,,"NEW HAMPSHIRE
(43.655953, -71.500357)",
GUAM,2015,6,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480999, 144.731498)",
NORTH DAKOTA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,8,,,-,1,,"NORTH DAKOTA
(47.475319, -100.118428)",
IDAHO,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,3,,9,,37,,24,,"IDAHO
(43.682632, -114.363727)",
WYOMING,2015,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,1,,4,,4,,5,,"WYOMING
(43.235541, -108.109827)",
PUERTO RICO,2015,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,10,,22,,34,,75,,"PUERTO RICO
(18.248289, -66.49989)",
IOWA,2015,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,10,,24,,75,,56,,"IOWA
(42.469401, -93.816487)",
FLORIDA,2015,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,63,,104,,226,,835,,924,,"FLORIDA
(28.932043, -81.928958)",
COLORADO,2015,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,12,,26,,43,,49,,"COLORADO
(38.843843, -106.133609)",
CONNECTICUT,2015,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,23,,93,,87,,"CONNECTICUT
(41.562661, -72.64984)",
MISSOURI,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,6,,16,,36,,18,,7,,"MISSOURI
(38.635791, -92.566299)",
LOUISIANA,2015,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,11,,15,,50,,46,,45,,"LOUISIANA
(31.312663, -92.445678)",
WYOMING,2015,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,4,,,-,2,,"WYOMING
(43.235541, -108.109827)",
TEXAS,2015,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,46,,91,,173,,319,,158,,"TEXAS
(31.82724, -99.426768)",
NEW YORK CITY,2015,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,15,,17,,35,,107,,122,,"NEW YORK CITY
(40.714268, -74.005969)",
ALABAMA,2015,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,19,,54,,42,,174,,"ALABAMA
(32.840572, -86.631857)",
MAINE,2015,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,6,,17,,22,,"MAINE
(45.254229, -68.985026)",
DELAWARE,2015,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,14,,5,,17,,"DELAWARE
(39.008834, -75.577736)",
MARYLAND,2015,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,5,,14,,50,,136,,140,,"MARYLAND
(39.290583, -76.60926)",
GUAM,2015,14,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480999, 144.731498)",
WEST VIRGINIA,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,12,,25,,27,,"WEST VIRGINIA
(38.665511, -80.712638)",
WEST VIRGINIA,2015,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,12,,22,,27,,"WEST VIRGINIA
(38.665511, -80.712638)",
NEVADA,2015,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,8,,15,,14,,"NEVADA
(39.493242, -117.071839)",
TEXAS,2015,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,49,,92,,180,,593,,330,,"TEXAS
(31.82724, -99.426768)",
ALASKA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,6,,,-,1,,"ALASKA
(64.845078, -147.72206)",
GUAM,2015,7,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480999, 144.731498)",
RHODE ISLAND,2015,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,12,,9,,13,,"RHODE ISLAND
(41.708281, -71.522466)",
FLORIDA,2015,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,49,,104,,226,,706,,793,,"FLORIDA
(28.932043, -81.928958)",
NEVADA,2015,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,8,,5,,8,,"NEVADA
(39.493242, -117.071839)",
TENNESSEE,2015,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,16,,64,,61,,74,,"TENNESSEE
(35.680941, -85.774487)",
CALIFORNIA,2015,16,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,1,,81,,133,,675,,912,,"CALIFORNIA
(37.638642, -120.999996)",
MONTANA,2015,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,2,,8,,6,,11,,"MONTANA
(47.066528, -109.424416)",
MISSOURI,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,10,,16,,36,,10,,3,,"MISSOURI
(38.635791, -92.566299)",
DIST. OF COL.,2015,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,5,,,-,13,,DIST. OF COL.,
COLORADO,2015,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,12,,26,,48,,71,,"COLORADO
(38.843843, -106.133609)",
DELAWARE,2015,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,14,,4,,12,,"DELAWARE
(39.008834, -75.577736)",
MONTANA,2015,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,2,,8,,9,,15,,"MONTANA
(47.066528, -109.424416)",
CONNECTICUT,2015,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,7,,23,,24,,31,,"CONNECTICUT
(41.562661, -72.64984)",
PENNSYLVANIA,2015,15,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,4,,26,,69,,184,,216,,"PENNSYLVANIA
(40.793734, -77.860697)",
NEBRASKA,2015,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,1,,4,,13,,3,,7,,"NEBRASKA
(41.641044, -99.365719)",
MINNESOTA,2015,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.355649, -94.7942)",
KANSAS,2015,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,21,,47,,36,,"KANSAS
(38.347743, -98.200778)",
UTAH,2015,14,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,3,,6,,17,,75,,81,,"UTAH
(39.360701, -111.587128)",
VERMONT,2015,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,7,,17,,"VERMONT
(43.625384, -72.517637)",
ILLINOIS,2015,10,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,30,,65,,103,,187,,"ILLINOIS
(40.485012, -88.997709)",
MINNESOTA,2015,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.355649, -94.7942)",
NEBRASKA,2015,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,1,,4,,13,,7,,10,,"NEBRASKA
(41.641044, -99.365719)",
ARKANSAS,2015,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,5,,12,,29,,24,,17,,"ARKANSAS
(34.74865, -92.27449)",
CALIFORNIA,2015,15,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,8,,83,,133,,626,,824,,"CALIFORNIA
(37.638642, -120.999996)",
CALIFORNIA,2015,6,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,14,,100,,212,,248,,118,,"CALIFORNIA
(37.638642, -120.999996)",
CONNECTICUT,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,23,,1,,14,,"CONNECTICUT
(41.562661, -72.64984)",
NEW HAMPSHIRE,2015,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,8,,3,,28,,"NEW HAMPSHIRE
(43.655953, -71.500357)",
IDAHO,2015,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,3,,9,,5,,8,,"IDAHO
(43.682632, -114.363727)",
TENNESSEE,2015,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,16,,54,,65,,81,,"TENNESSEE
(35.680941, -85.774487)",
HAWAII,2015,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,15,,9,,39,,"HAWAII
(21.304852, -157.857748)",
MASSACHUSETTS,2015,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,25,,52,,,-,96,,"MASSACHUSETTS
(42.276874, -72.082687)",
KENTUCKY,2015,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,10,,27,,96,,105,,"KENTUCKY
(37.645973, -84.774968)",
COLORADO,2015,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,12,,26,,,-,29,,"COLORADO
(38.843843, -106.133609)",
INDIANA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,12,,40,,1,,11,,"INDIANA
(39.766913, -86.149956)",
WASHINGTON,2015,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,10,,14,,64,,123,,75,,"WASHINGTON
(47.522288, -120.470028)",
KANSAS,2015,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,8,,21,,79,,64,,"KANSAS
(38.347743, -98.200778)",
NEW JERSEY,2015,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,15,,50,,3,,103,,"NEW JERSEY
(40.130571, -74.273688)",
VIRGINIA,2015,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,18,,59,,49,,45,,"VIRGINIA
(37.542681, -78.457889)",
MONTANA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,3,,8,,1,,4,,"MONTANA
(47.066528, -109.424416)",
WISCONSIN,2015,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,14,,27,,8,,112,,"WISCONSIN
(44.393191, -89.816366)",
CONNECTICUT,2015,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,23,,32,,38,,"CONNECTICUT
(41.562661, -72.64984)",
LOUISIANA,2015,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,21,,50,,101,,121,,"LOUISIANA
(31.312663, -92.445678)",
ALASKA,2015,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,1,,5,,14,,15,,"ALASKA
(64.845078, -147.72206)",
COLORADO,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,12,,26,,,-,9,,"COLORADO
(38.843843, -106.133609)",
GUAM,2015,13,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480999, 144.731498)",
PENNSYLVANIA,2015,13,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,11,,26,,69,,160,,179,,"PENNSYLVANIA
(40.793734, -77.860697)",
CALIFORNIA,2015,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,30,,97,,209,,30,,50,,"CALIFORNIA
(37.638642, -120.999996)",
ALASKA,2015,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,1,,6,,5,,3,,"ALASKA
(64.845078, -147.72206)",
ILLINOIS,2015,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,30,,65,,14,,77,,"ILLINOIS
(40.485012, -88.997709)",
NEW YORK,2015,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,8,,23,,57,,210,,181,,"NEW YORK
(42.827004, -75.543966)",
E.N. CENTRAL,2015,16,1,,0,,1,,1,,,-,,-,0,,0,,,-,1,,29,,94,,202,,818,,1057,,,
PUERTO RICO,2015,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,10,,22,,5,,45,,"PUERTO RICO
(18.248289, -66.49989)",
WISCONSIN,2015,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,14,,27,,1,,36,,"WISCONSIN
(44.393191, -89.816366)",
NEW HAMPSHIRE,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,8,,18,,33,,"NEW HAMPSHIRE
(43.655953, -71.500357)",
OKLAHOMA,2015,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,14,,53,,31,,43,,"OKLAHOMA
(35.472031, -97.521068)",
WASHINGTON,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,14,,43,,,-,,-,"WASHINGTON
(47.522288, -120.470028)",
PUERTO RICO,2015,6,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,10,,22,,11,,64,,"PUERTO RICO
(18.248289, -66.49989)",
PENNSYLVANIA,2015,14,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,6,,26,,69,,176,,196,,"PENNSYLVANIA
(40.793734, -77.860697)",
KANSAS,2015,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,8,,21,,51,,39,,"KANSAS
(38.347743, -98.200778)",
OREGON,2015,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,8,,17,,19,,21,,"OREGON
(44.56745, -120.155029)",
MINNESOTA,2015,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.355649, -94.7942)",
ARIZONA,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,6,,18,,41,,142,,155,,"ARIZONA
(34.865974, -111.763807)",
ALABAMA,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,19,,54,,35,,164,,"ALABAMA
(32.840572, -86.631857)",
NORTH CAROLINA,2015,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,36,,23,,190,,153,,220,,"NORTH CAROLINA
(35.46622, -79.15925)",
MARYLAND,2015,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,9,,14,,50,,164,,164,,"MARYLAND
(39.290583, -76.60926)",
DELAWARE,2015,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,15,,15,,18,,"DELAWARE
(39.008834, -75.577736)",
TENNESSEE,2015,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,5,,16,,54,,74,,88,,"TENNESSEE
(35.680941, -85.774487)",
MAINE,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,2,,6,,2,,,-,"MAINE
(45.254229, -68.985026)",
SOUTH DAKOTA,2015,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,12,,16,,22,,"SOUTH DAKOTA
(44.35313, -100.373529)",
LOUISIANA,2015,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,16,,50,,68,,72,,"LOUISIANA
(31.312663, -92.445678)",
W.S. CENTRAL,2015,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,68,,162,,279,,1126,,895,,,
OKLAHOMA,2015,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,13,,53,,46,,73,,"OKLAHOMA
(35.472031, -97.521068)",
WASHINGTON,2015,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,8,,14,,53,,32,,11,,"WASHINGTON
(47.522288, -120.470028)",
INDIANA,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,12,,40,,3,,15,,"INDIANA
(39.766913, -86.149956)",
MISSISSIPPI,2015,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,12,,59,,29,,44,,"MISSISSIPPI
(32.745513, -89.538027)",
NEW MEXICO,2015,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,6,,16,,18,,26,,"NEW MEXICO
(34.520881, -106.240578)",
NEW YORK CITY,2015,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,8,,17,,35,,186,,187,,"NEW YORK CITY
(40.714268, -74.005969)",
KENTUCKY,2015,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,10,,27,,45,,66,,"KENTUCKY
(37.645973, -84.774968)",
HAWAII,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,6,,15,,4,,9,,"HAWAII
(21.304852, -157.857748)",
KENTUCKY,2015,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,5,,10,,27,,69,,73,,"KENTUCKY
(37.645973, -84.774968)",
HAWAII,2015,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,5,,15,,53,,76,,"HAWAII
(21.304852, -157.857748)",
WISCONSIN,2015,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,14,,27,,6,,83,,"WISCONSIN
(44.393191, -89.816366)",
MISSISSIPPI,2015,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,12,,59,,15,,39,,"MISSISSIPPI
(32.745513, -89.538027)",
VIRGINIA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,17,,58,,,-,,-,"VIRGINIA
(37.542681, -78.457889)",
MASSACHUSETTS,2015,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,22,,53,,128,,130,,"MASSACHUSETTS
(42.276874, -72.082687)",
NEVADA,2015,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,8,,31,,22,,"NEVADA
(39.493242, -117.071839)",
WASHINGTON,2015,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,12,,14,,64,,79,,42,,"WASHINGTON
(47.522288, -120.470028)",
VIRGINIA,2015,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,18,,59,,43,,34,,"VIRGINIA
(37.542681, -78.457889)",
TEXAS,2015,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,46,,98,,224,,810,,568,,"TEXAS
(31.82724, -99.426768)",
MISSISSIPPI,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,12,,59,,2,,31,,"MISSISSIPPI
(32.745513, -89.538027)",
SOUTH CAROLINA,2015,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,12,,21,,77,,174,,155,,"SOUTH CAROLINA
(33.998822, -81.045366)",
NEW HAMPSHIRE,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,8,,,-,3,,"NEW HAMPSHIRE
(43.655953, -71.500357)",
HAWAII,2015,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,15,,38,,63,,"HAWAII
(21.304852, -157.857748)",
NEVADA,2015,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,8,,24,,15,,"NEVADA
(39.493242, -117.071839)",
CONNECTICUT,2015,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,23,,58,,69,,"CONNECTICUT
(41.562661, -72.64984)",
WEST VIRGINIA,2015,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,12,,12,,16,,"WEST VIRGINIA
(38.665511, -80.712638)",
WASHINGTON,2015,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,20,,13,,64,,114,,75,,"WASHINGTON
(47.522288, -120.470028)",
IDAHO,2015,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,3,,9,,9,,12,,"IDAHO
(43.682632, -114.363727)",
