Application Type,Application Number,Process Date,Approved Date,Project Name,Comments,WSSC Map,Tax Map,Site Area,Proposed Disturbed Area,Proposed Impervious Area,Current Zoning,Proposed Zoning,Current Land use,Proposed Land Use,Watershed,State Water Use,Tributary,Requested Waiver,Resubmittal,Revision,Onsite Quantity Control,Quantity Control,Onsite Quality Control,Quality Control,Quantity Waiver Proposed,Quantity Waiver Acres Proposed,Quality Waiver Proposed,Quality Waiver Acres Proposed,Street Number,Pre-direction,Street Name,Street Suffix,Post-direction,City,State,ZIP code,Work Location
STORMWATER CONCEPT,282029,06/22/2016,08/04/2016,,,,,0.0,0.0,0.0,,,,,LSC,,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,,,,,,,,,"Cabin Branch

Southwest corner, intersection of Clarksburg Road & I-270"
STORMWATER CONCEPT,270056,11/14/2014,02/09/2015,WRE 12-08 ASSET# 11586,,213NW05,GP63,4.0,0.2,0.0,,,SWM,SWM,LRC,GENERAL USE,,N,N,N,Y,364.3,Y,364.3,N,0.0,N,0.0,,,,,,,,,"SE CORNER OF TUCKERMAN LANE AND BREWER HOUSE ROAD

ROCKVILLE, MD 20852"
STORMWATER CONCEPT,283389,10/24/2017,01/05/2018,WHITE FLINT SUBSTATION,Revision (ePlan Review) Combination Concept/Site Development Stormwater Management Plan,,,1.4,1.4,0.6,CR,CR,PEPCO,PEPCO,LRC,GENERAL USE,,N,N,Y,Y,1.4,Y,1.4,N,0.0,N,0.0,11650,,NEBEL,ST,,ROCKVILLE,MD,20852,
STORMWATER CONCEPT,240686,07/14/2011,,PINEY SPRING,WATER QUALITY INVENTORY,,FQ12,2.0,1.9,0.6,RE-2,RE-2,VACANT,RESID,WBR,GENERAL USE,,N,N,N,Y,2.0,Y,2.0,N,0.0,N,0.0,11721,,PINEY MEETINGHOUSE,RD,,POTOMAC,MD,20854,
STORMWATER CONCEPT,203904,07/05/2001,08/14/2001,US RT. 29 SIDEWALKS,,213NE1NW,,1.8,1.8,1.3,,,,,NWB,RECREATION TROUT,,N,N,N,N,0.0,N,0.0,Y,1.8,Y,1.8,,,,,,,,,SIDE WALK & RETAINING WALLS LORAIN AVE TO BURNT MILLS AVE
STORMWATER CONCEPT,202852,10/26/2000,02/02/2001,"MO CO AIRPARK, LOT 8/C",,225NW8,GT23,1.5,0.8,1.0,I-4,I-4,PARKING,PARKING,GSC,GENERAL USE,CABIN BRCH,Y,N,N,N,0.0,Y,1.5,Y,1.5,N,0.0,7880,,BEECHCRAFT,AVE,,GAITHERSBURG,MD,20879,
STORMWATER CONCEPT,281819,03/21/2016,08/12/2016,Sherwood Elementary School,,,,0.0,0.0,0.0,,,,,NWB,,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,1403,,OLNEY SANDY SPRING,RD,,SANDY SPRING,MD,20860,
STORMWATER CONCEPT,231669,06/28/2007,,BURTONSVILLE BAPTIST CHURCH,,220NE04,KS51,5.6,2.8,2.1,RC,RC,CHURCH,CHURCH,LPR,GENERAL USE,,N,N,N,Y,4.2,Y,4.2,N,0.0,N,0.0,3400,,SPENCERVILLE,RD,,BURTONSVILLE,MD,20866,
STORMWATER CONCEPT,240729,07/22/2011,09/26/2011,BETHESDA CENTER,REVISION SUBMITTED 6/18/2012,210NW05,HN22,0.9,0.9,0.9,CBD-2,CBD-2,multiuse,multiuse,LRC,GENERAL USE,,N,N,Y,Y,0.9,Y,0.9,N,0.0,N,0.0,,,,,,,,,WOODMONT AVE BETHESDA MD 20814
STORMWATER CONCEPT,208106,06/10/2003,06/30/2003,CONN AVE ESTATES FRONTAGE RD,Frontage road @ lots 16-20/91,217NW4,HQ43,0.5,0.5,0.2,R-60,R-60,ROAD R/W,ROAD R/W,LRC,GENERAL USE,,N,N,N,Y,0.5,N,0.0,N,0.0,Y,0.5,,,,,,,,,FRONTAGE @ 13003 CONNECTICUT AVE
STORMWATER CONCEPT,282977,05/10/2017,06/27/2017,Gate of Heaven,,,,127.0,11.7,1.4,,,CEMETERY,CEMETERY,LRC,GENERAL USE,,N,N,N,Y,11.7,Y,11.7,N,0.0,N,0.0,13801,,GEORGIA,AVE,,SILVER SPRING,MD,20906,
STORMWATER CONCEPT,207019,12/04/2002,03/27/2003,FAWSETT FARMS,Lots 1-6/A; Parcel A,210NW10,FN123,4.4,4.0,0.9,,,,,PRD,GENERAL USE,,N,N,N,Y,4.4,Y,4.4,N,0.0,N,0.0,8615,,FALLS,RD,,POTOMAC,MD,20854,
STORMWATER CONCEPT,207564,04/09/2003,05/02/2003,MONTGOMERY COUNTY AQUATIC CTR,Parcel P774,215NW6,GQ562,11.2,0.9,0.5,,,,,CJC,GENERAL USE,,N,N,N,Y,0.5,Y,0.5,N,0.0,N,0.0,5910,,EXECUTIVE,BLVD,,ROCKVILLE,MD,20852,
STORMWATER CONCEPT,213480,07/16/2004,03/30/2005,FALCONHURST,,21NW09,FP52,8.6,6.0,1.0,RE-2,RE-2,SCHOOL,RESIDENT,CJC,GENERAL USE,,N,N,N,Y,6.0,Y,6.0,N,0.0,N,0.0,9441,,NEWBRIDGE,DR,,POTOMAC,MD,20854,
STORMWATER CONCEPT,277255,07/09/2015,03/01/2016,WHEATON REGIONAL PARK,Restroom Building and Utility Improvements,215NW02,JQ122,536.0,0.2,0.0,R-90,R-90,PARK,PARK,,,,N,N,N,Y,0.0,Y,0.1,N,0.0,N,0.0,11715,,OREBAUGH,AVE,,SILVER SPRING,MD,20902,
STORMWATER CONCEPT,232528,11/14/2007,03/24/2008,HORIZON HILL LOT 46,,216 NW11,FQ23,2.0,1.1,0.4,RE-2,RE-2,VACANT,RES,WBR,GENERAL USE,,N,N,N,N,2.0,N,2.0,N,0.0,N,0.0,10619,,RED BARN,LN,,POTOMAC,MD,20854,
STORMWATER CONCEPT,282102,07/15/2016,12/23/2016,MANFIELD PROPERTY,,,,0.0,0.0,0.0,,,,,LFB,,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,5115,,BRADLEY,BLVD,,BETHESDA,MD,20814,LOT 7
STORMWATER CONCEPT,260197,12/23/2013,06/05/2014,Sam Eig Highway Lane Addition,,221NW10,F5342,1.0,1.0,0.5,,,Roadway,Roadway,MBR,GENERAL USE,,N,N,N,Y,1.0,Y,1.0,Y,0.0,Y,0.0,,,,,,,,,Sam Eig Highway Gaithersburg MD.
STORMWATER CONCEPT,228681,10/05/2006,07/17/2007,WHITE FLINT VIEW,Parcel N850 - **ADMINISTRATIVE WAIVER REQUEST PROCESSED ON 10/14/2011**,215NW05,HQ12,1.2,1.3,1.2,C-2,C-2,COMM,MIX USE,LRC,GENERAL USE,,Y,N,N,N,0.0,Y,1.1,N,0.0,N,0.0,5511,,NICHOLSON,LN,,ROCKVILLE,MD,20852,
STORMWATER CONCEPT,209709,09/09/2003,,RICHARDSON'S RANGE 39,Parcel P303,,FX61,20.0,1.2,0.5,,,,,GSC,GENERAL USE,,N,N,N,Y,1.5,Y,1.5,N,0.0,N,0.0,9001,,HAWKINS CREAMERY,RD,,GAITHERSBURG,MD,20882,
STORMWATER CONCEPT,245971,09/05/2012,,STONE RIDGE SCHOOL OF THE SACRED HEART,,211NW04,HP21,17.4,17.4,8.9,R-60,R-60,SCHOOL,SCHOOL,,,,N,N,N,Y,17.4,Y,17.4,N,0.0,N,0.0,9101,,ROCKVILLE,PIKE,,BETHESDA,MD,20814,
STORMWATER CONCEPT,209286,08/14/2003,09/08/2003,B.F. LEIGHTON'S ADD TO WOODSID,Lots 24 & 25/21,211NW02,JP121,0.5,0.0,0.0,R-60,R-60,RESID,RESID,LRC,GENERAL USE,,N,N,N,N,0.0,Y,0.2,N,0.0,N,0.0,,,,,,,,,
STORMWATER CONCEPT,205509,05/29/2002,06/17/2002,SHADY GROVE MEDICAL ROADWAY IM,,220NW11,FS341,0.3,0.3,0.2,,,,,MBR,GENERAL USE,,N,N,N,N,0.0,N,0.0,Y,0.3,Y,0.2,,,,,,,,,INTERSECTION OF MUDDY BR RD & MD RT 28
STORMWATER CONCEPT,206346,08/06/2002,09/05/2002,MARTENS PROPERTY,"Parcels D, P435 & N434",207NW05,HM123,1.0,0.6,0.6,I-1,I-1,AUTO REP,AUTO REP,LFB,GENERAL USE,,N,N,N,N,0.0,Y,0.6,Y,0.6,N,0.0,,,,,,,,,BUTLER RD OFF RIVER RD NEAR INTERSECTION W/ LITTLE FALLS PKWY.
STORMWATER CONCEPT,282743,02/21/2017,09/13/2017,Airpark / MC AIRPARK IND SITES,,,,4.9,0.0,0.0,,,,,GSC,,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,7650,,RICKENBACKER,DR,,GAITHERSBURG,MD,20879,
STORMWATER CONCEPT,239225,11/29/2010,12/14/2010,WILLERBURN ACRES,,215N207,GQ122,1.0,0.7,0.0,R-90,,,"RES,2-FA",CJC,GENERAL USE,,N,N,N,Y,0.8,Y,0.8,N,0.0,N,0.0,,,,,,,,,"GAINSBOROUGH ROAD, POTOMAC, MARYLAND 20854"
STORMWATER CONCEPT,276775,06/29/2015,10/28/2015,BCC HS Addition,,209NW04,HN342,16.4,5.8,4.6,R-60,R-60,Institut,Institut,LRC,GENERAL USE,,N,N,N,Y,5.8,Y,5.8,N,0.0,N,0.0,4301,,EAST WEST,HWY,,BETHESDA,MD,20814,
STORMWATER CONCEPT,274395,04/14/2015,05/21/2015,MAGRUDERS PASTURE,,223NW06,GT561,7.9,0.0,0.0,RE-2,,,,URC,,,N,N,N,Y,7.9,Y,7.9,N,0.0,N,0.0,6130,,MUNCASTER MILL,RD,,ROCKVILLE,MD,20855,
STORMWATER CONCEPT,222868,01/04/2006,02/07/2006,REGENCY ESTATES SWIM CLUB,Parcel A/9 (Floodplain Permit 242302),215NW08,GQ122,4.7,0.7,0.4,R-90,R-90,,,CJC,GENERAL USE,,N,N,N,N,0.0,Y,0.2,N,0.4,N,0.2,11511,,GAINSBOROUGH,RD,,POTOMAC,MD,20854,
STORMWATER CONCEPT,229597,11/22/2006,06/18/2007,814 THAYER AVE-EASLEYS SUB,Lots 4 & 5/G,210NE01,JN33,0.5,0.6,0.5,CBD0.5,CBD0.5,BUSI/OFF,RESIDENT,SCR,GENERAL USE,,N,N,Y,Y,0.6,Y,0.6,N,0.0,N,0.0,814,,THAYER,AVE,,SILVER SPRING,MD,20910,
STORMWATER CONCEPT,269877,11/12/2014,04/29/2015,Southeast Olney,,224NW3,HT562,8.9,0.6,0.0,RE-2,,Parks,N/A,,GENERAL USE,JAMES CR,N,N,N,Y,1.4,Y,1.4,N,0.0,N,0.0,17600,,BUEHLER,RD,,OLNEY,MD,20832,
STORMWATER CONCEPT,217743,04/20/2005,05/25/2005,RANDOLPH RD SCHOOL BUS DEPOT,"Parcels 79, 40, 33, 83",216NW02,JQ23,19.9,5.0,2.8,R-90,R-90,DEPOT,DEPOT,NWB,RECREATION TROUT,,N,N,N,Y,5.0,Y,5.0,N,0.0,N,0.0,1801,,RANDOLPH,RD,,SILVER SPRING,MD,20902,
STORMWATER CONCEPT,239385,01/06/2011,,KINGS & PRIESTS' INTERNATIONAL,kINGS & pRIESTS' iNTERNATIONAL mINISTRIES cHURCH,216NW01,JQ343,1.3,1.2,0.8,R-200,R-200,RESID,CHURCH,NWB,RECREATION TROUT,,N,N,N,Y,1.2,Y,1.2,N,0.0,N,0.0,520,,RANDOLPH,RD,,SILVER SPRING,MD,20904,
STORMWATER CONCEPT,204787,02/01/2002,06/18/2003,HENDERSON CORNER 7-ELEVEN,Parcel E. Revision submitted 5/25/06. Revised concept approved 8/2/06 Revised concept approved 6/25/08 (MJG).,229NW12,EV61,1.2,1.1,0.7,C-3,C-3,IDLE,COMM.,GSC,GENERAL USE,,N,N,N,Y,1.0,Y,1.0,N,0.0,N,0.0,,,,,,,,,HENDERSON CORNER @ RIDGE ROAD
STORMWATER CONCEPT,284170,08/28/2018,09/18/2018,SLIGO CREEK ELEM SCHOOL,"Customer Wants To Use ePlans,Montgomery County Public Schools proposes to install pervious pavement hardscape areas, a new pervious safety surface playground area, and a Bermuda grass natural turf play area at Sligo Creek Elementary School.",,341,14.7,0.8,0.0,R-60,R-60,,,SCR,GENERAL USE,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,500,,SCHUYLER,RD,,SILVER SPRING,MD,20910,
STORMWATER CONCEPT,282389,10/31/2016,04/25/2018,Nob Hill Apartments,,,,10.3,0.7,0.4,R-30,R-30,Mult Fam,Mult Fam,NWB,RECREATION TROUT,,N,N,N,Y,0.7,Y,0.7,N,0.0,N,0.0,9120,,PINEY BRANCH,RD,,SILVER SPRING,MD,20903,
STORMWATER CONCEPT,211743,03/15/2004,05/19/2004,CEDAR KNOLLS FARM,"Lots 5, 6, & 7/B; Outlots A, B, C",223NW2NE,KT121,13.9,5.9,0.7,RC,RC,FARM,SF,LPR,GENERAL USE,,N,N,N,Y,17.8,Y,0.3,N,0.0,N,0.0,,,,,,,,,"EDNOR ROAD, SILVER SPRING"
STORMWATER CONCEPT,203030,12/12/2000,02/22/2001,HARBOR SCHOOL OF POTOMAC,,211&212,FP51,8.5,6.3,2.1,RE-2,RE-2,,,LFB,GENERAL USE,,N,N,N,Y,4.2,Y,4.2,N,0.0,N,0.0,9441,,NEWBRIDGE,DR,,POTOMAC,MD,20854,
STORMWATER CONCEPT,207270,02/04/2003,02/11/2003,SNOWDEN'S MILL,Lots 15 & 16/D,217NE03,KR31,1.3,0.2,0.0,R-200,R-200,RESID,RESID,PBR,NATURAL TROUT,,N,N,N,Y,1.3,Y,1.3,N,0.0,N,0.0,,,,,,,,,BLUE VALLEY DRIVE & AVENTURINE WAY
STORMWATER CONCEPT,215320,11/23/2004,03/14/2005,EASTER SEALS-WOODSIDE,Pt of Lots 8 & 9/Block 10,210NW02,JN123,0.7,0.7,0.6,CBD-R1,CBD-R1,WOOD LOT,INSTITUT,LRC,GENERAL USE,,N,N,N,Y,0.7,Y,0.7,N,0.0,N,0.0,1414,,SPRING,ST,,SILVER SPRING,MD,20910,
STORMWATER CONCEPT,284249,10/02/2018,04/04/2019,U.S. ZEN INSTITUTE,"Customer Wants To Use ePlans,A house of worship is proposed on Lot 17, with associated infrastructure (parking, driveway, stormwater management, etc.)",,53,5.8,3.0,0.0,RE-2,RE-2,,,LSC,GENERAL USE,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,15511,,BARNESVILLE,RD,,BOYDS,MD,20841,
STORMWATER CONCEPT,263935,04/30/2014,,BETHESDA CHEVY CHASE MIDDLE SCHOOL,,212NW04,HP342,13.4,11.4,5.1,R-90,,,,,,,N,N,N,Y,10.9,Y,10.9,N,0.0,N,0.0,,,,,,,,,"3701 SAUL ROAD, KENSINGTON, MD  20895"
STORMWATER CONCEPT,237996,06/03/2010,12/27/2010,GROSVENOR COURT,,213NW06,GP63,1.3,1.1,0.3,R-60,R-60,RESIDENT,RESIDENT,LRC,GENERAL USE,,N,N,N,Y,1.1,Y,1.1,N,0.0,N,0.0,,,,,,,,,"5810 - 5814 GROSVENOR LANE, BETHESDA, MARYLAND 20814, FOR 4 PROPOSED LOTS (NUMBERS 13, 14, 15, & 16)"
STORMWATER CONCEPT,281423,11/27/2015,11/01/2016,THOMAS CHOICE CONDOMINIUMS,,,,7.8,0.0,0.0,,,,,GSC,,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,,,,,,,,,"TRANSHIRE ROAD, GAITHERSBURG"
STORMWATER CONCEPT,283896,04/27/2018,,,,,,0.0,0.0,0.0,,,,,LRC,,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,,,,,,,,,"SW corner of Metropolitan Avenue and St. Paul Street intersection, Kensington, MD 20895"
STORMWATER CONCEPT,283548,12/29/2017,02/07/2018,DAMASCUS AUTOZONE,"Customer Wants To Use ePlans,Applicant intends to demolish the existing fast food restaurant and convert the property into an AutoZone retail store. Proposed stormwater management includes permeable pavement and micro-bioretention measures.",,43,1.0,1.0,0.0,CRT,CRT,,,GSC,GENERAL USE,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,9936,,MAIN,ST,,DAMASCUS,MD,20872,
STORMWATER CONCEPT,209551,08/28/2003,01/28/2004,BRADLEY HILLS,Lot 18/14,,,1.4,1.3,0.0,R-90,R-90,,,LFB,GENERAL USE,,N,N,Y,N,0.0,Y,1.3,N,0.0,N,0.0,5517,,PEMBROKE,RD,,BETHESDA,MD,20817,
STORMWATER CONCEPT,279995,10/06/2015,11/17/2015,East Gude Drive Sidewalk Improvements,,,,0.8,0.8,0.1,,,Roadway,Sidewalk,URC,RECREATION TROUT,,N,N,N,N,0.0,N,0.0,Y,0.1,Y,0.1,,,,,,,,,"400-702/708 East Gude Drive/Rockville, MD 20850"
STORMWATER CONCEPT,203427,03/19/2001,04/19/2001,MATTHEW HENSON #2 SW WETLAND,Matthew Henson #2 SW Wetland,218NW04,HR341,4.3,3.0,0.0,R-60,R-60,CONSERVA,CONSERVA,LRC,GENERAL USE,,N,N,N,Y,22.7,Y,22.7,N,0.0,N,0.0,,,,,,,,,13600 BLOCK OF GA AVE + GA AVE ROW
STORMWATER CONCEPT,215184,11/15/2004,04/02/2007,SILVER SPRING TRANSIT CENTER,Green Tape     Lots 29-32; Block 1/3       Revised 9-4-2008,210NW01,JN33,5.7,5.7,3.6,CBD-2,CBD-3,TRANSIT,TRANSIT,LRC,GENERAL USE,,N,N,N,Y,5.6,Y,5.6,Y,0.1,Y,0.1,,,,,,,,,COLESVILLE RD (O' SE OF WAYNE AVE)
STORMWATER CONCEPT,236788,10/16/2009,03/17/2010,BOWIE MILL PROPERTY,PARCEL P850 - 117 RESIDENTIAL UNITS - BOWIE MILL PROPERTY - 50 FT SOUTH OF BOWIE MILL ROAD &amp; THORNHURST DRIVE INTERSECTION -,225NW04,HT33,32.7,23.0,7.7,R-200,PD-3,MEAD/FOR,RESIDENT,URC,NATURAL TROUT,,N,Y,N,Y,23.0,Y,23.0,N,0.0,N,0.0,,,,,,,,,50 FEET SOUTH OF BOWIE MILL RD & THORNHURST RD INTERSECTION
STORMWATER CONCEPT,231752,07/09/2007,07/23/2007,POTOMAC ESTATES,,219NW16,DR33,0.8,0.8,0.2,RDT,RDT,FARMING,SFD,DSC,GENERAL USE,DSC,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,14825,,MONTEVIDEO,RD,,POOLESVILLE,MD,20837,
STORMWATER CONCEPT,213665,07/26/2004,08/10/2004,EDNOR ACRES,Parcel P205,223NE02,KT121,15.7,3.1,0.4,RC,RC,RESIDENT,RESIDENT,LPR,GENERAL USE,PATUXENT R,N,N,N,Y,3.1,Y,3.1,N,3.1,N,0.0,1300,,EDNOR,RD,,SILVER SPRING,MD,20905,
STORMWATER CONCEPT,204590,12/18/2001,12/22/2001,BRADLEY HILLS,lot 33/1,208NW5,HN122,0.6,0.6,0.2,R-60,R-60,,,LFB,GENERAL USE,,N,N,N,N,0.0,N,0.0,Y,0.6,Y,0.6,5202,,BRADLEY,BLVD,,CHEVY CHASE,MD,20815,
STORMWATER CONCEPT,204341,10/24/2001,01/31/2003,MCWHORTER PROPRETY,parcel 400,234NW9,FW563,64.6,4.8,0.5,RE-2C,RE-2C,IDLE,RESID,GSC,GENERAL USE,,N,N,N,Y,26.7,Y,26.7,N,0.0,N,0.0,24310,,WOODFIELD SCHOOL,RD,,GAITHERSBURG,MD,20882,
STORMWATER CONCEPT,211164,01/30/2004,04/16/2004,CREEKSIDE @ LEISURE WORLD,,220NW03,HS561,12.2,5.5,0.0,PRC,PRC,VACANT,RESID,NWB,RECREATION TROUT,,N,N,N,Y,4.3,Y,4.3,N,0.0,N,0.0,,,,,,,,,SOUTH LEISURE WORLD BLV & N. ELKRIDGE WAY
STORMWATER CONCEPT,207078,12/18/2002,03/14/2003,KNIGHTSBRIDGE (ASTON MANOR),Parcel P461,218NE4,KR562,1.0,0.9,0.4,R-30,R-30,VACANT,TWNHOUSE,LPB,GENERAL USE,,N,N,N,N,0.0,Y,0.8,N,0.0,N,0.0,13909,,ROBEY,RD,,SILVER SPRING,MD,20904,
STORMWATER CONCEPT,204684,01/10/2002,04/08/2002,MORRISON PROP-HUNTING HILL EST,"Parcel 104, lots 8-12/E",,FR52,2.5,2.2,0.9,R-200,R-200,,,WBR,GENERAL USE,,N,N,N,N,2.5,Y,2.5,Y,2.5,N,0.0,14112,,GLEN MILL,RD,,ROCKVILLE,MD,20850,
STORMWATER CONCEPT,210642,11/26/2003,01/22/2004,BROOKVILLE ROAD SERVICE DEPOT,"Revision submitted 10/25/04, approved 12/15/04. Revision submitted 7/19/06. Revision approved 9/11/06",210NW3,HN63,17.5,3.0,13.4,R-60,R-60,MAINDEPO,MAINDEPO,LRC,GENERAL USE,,N,N,N,Y,17.5,Y,17.5,N,0.0,N,0.0,8710,,BROOKVILLE,RD,,SILVER SPRING,MD,20910,
STORMWATER CONCEPT,200958,03/29/2000,06/08/2000,HOME DEPOT - ROCKVILLE,,216NW6,HQ123,7.6,7.6,7.2,I-1,I-1,UNDEVEL,COMER,LRC,GENERAL USE,,N,N,N,Y,7.6,Y,7.6,N,0.0,N,0.0,,,,,,,,,EAST OF MONTROSE CROSSING SHOPPING CTR @ INTERSECTION OF 355 & RANDOLPH RD
STORMWATER CONCEPT,238123,06/29/2010,,ASHTON/SNOWDEN'S 3RD ADD.,,255 NE01,JT563,29.1,5.4,1.1,RC,RC,RES(UNDE,SFD,LPR,RECREATION TROUT,,N,N,N,Y,1.1,Y,1.1,N,0.0,N,0.0,,,,,,,,,ASHTON ROAD
STORMWATER CONCEPT,264335,05/13/2014,06/13/2014,"Germantown Viwe, Gunners Branch (Asset#10796)",,226NW13,EU41,1.8,1.1,0.0,,,,,GSC,,,N,N,N,Y,38.5,Y,38.5,N,0.0,N,0.0,,,,,,,,,Grotto Lane Germantown MD 20874
STORMWATER CONCEPT,283635,02/06/2018,04/03/2018,NURSERY/PRIMARY SCHOOL,"&lt;&gt;&lt;&gt;EXPEDITED FEE RECEIVED 2/7/2018&lt;&gt;&lt;&gt;

Stormwater Management Concept/Site Development Stormwater Management Plan

Customer Wants To Use ePlans,The French International School intends to convert the existing FASEB property into a nursery and primary school. The buildings will remain and the site work is in line with the conversion from office space to a school",,22,11.2,5.0,0.0,R200DC,R200DC,,,LRC,GENERAL USE,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,9650,,ROCKVILLE,PIKE,,BETHESDA,MD,20814,
STORMWATER CONCEPT,234210,08/04/2008,04/27/2010,POTOMAC SWIM & TENNIS,ADMINISTRATIVE WAIVER REQUEST PROCESSED ON 02/17/2011*,211NW10,FP31,4.8,0.8,0.5,R-200,R-200,SWIM,SWIM,ROR,GENERAL USE,,Y,N,N,N,0.0,N,0.0,N,0.0,N,0.0,10531,,OAKLYN,DR,,POTOMAC,MD,20854,
STORMWATER CONCEPT,234923,12/04/2008,02/03/2009,STUDIO PLAZA,"STUDIO PLAZA - THAYER AVENUE AND SILVER SPRING AVENUE, SILVER SPRING, MD (REDEVELOPMENT OF TWO SEPARATE PROJECTS; AREA A IS APPROXIMATELY 3.2 ACRES AND IS LOCATED BETWEEN FENTON STREET & GEORGIA AVENUE; AREA B IS 0.3 ACRES AND IS LOCATED ON THE OTHER SIDE OF SILVER SPRING AVENUE)*",210NW01,JN33,3.5,3.5,2.3,CBD-1,CBD-1,COMM,MIXEDUSE,SCR,GENERAL USE,,N,N,N,N,0.0,Y,3.5,Y,3.5,N,0.0,,,,,,,,,"THAYER AVENUE AND SILVER SPRING AVENUE, SILVER SPRING, MD"
STORMWATER CONCEPT,207426,03/24/2003,08/08/2003,WEISMAN SUBDIVISION,50% Revision lot 6/A,215NW3,HQ562,0.4,0.4,0.3,C-T,C-T,VACANT,OFFICES,LRC,GENERAL USE,,N,N,N,Y,0.4,Y,0.4,N,0.0,N,0.0,12020,,GEORGIA,AVE,,SILVER SPRING,MD,20902,
STORMWATER CONCEPT,204593,12/19/2001,01/08/2002,LITTLE FALLS II STREAM STABLIZ,,206NW05,HM122,26.6,3.6,0.0,,,PARKLAND,PARKLAND,LFB,GENERAL USE,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,,,,,,,,,LITTLE FALLS MALL STREAM STABLIZATION @ ALBEMARLE STREET
STORMWATER CONCEPT,240571,06/30/2011,,500 SANDY SPRING ROAD,,224NW01,JT342,1.8,1.2,0.8,C-2,C-2,COMM,COMM,NWB,RECREATION TROUT,,N,N,N,Y,1.8,Y,1.8,N,0.0,N,0.0,,,,,,,,,"500 SANDY SPRING ROAD, SANDY SPRING, MD  20860"
STORMWATER CONCEPT,229177,11/01/2006,12/18/2006,ALLANWOOD II SUBDIVISION,Lot 2,221NW2,JS12,2.4,1.9,0.6,R-200,R-200,RESID,RESID,NWB,RECREATION TROUT,,N,N,N,Y,2.4,Y,0.8,N,0.0,N,0.0,2212,,NORBECK,RD,,SILVER SPRING,MD,20906,
STORMWATER CONCEPT,283157,07/20/2017,08/08/2017,OFFSITE - WASHINGTON ADVENTIST HOSPITAL,"Stormwater Management Concept

Customer Wants To Use ePlans,The propopsed Washington Adventist Hospital site is located in the Silver Spring area of Montgomery County, Maryland. The property is located south of Broadbirch Drive and west of Plum Orchard Drive. Per M-NCPPC�s request, off-site road improvements are required on sections of Plum Orchard Drive, Broadbirch Drive and Cherry Hill Road. Off-site road improvements include lane widening and new bike pathways with existing sidewalk which increases the impervious area, therefore requiring stormwater management per Montgomery County Executive Regulation 5-90, section 2. The proposed off-site improvements are within Plum Orchard Drive and Cherry Hill Road right-of-ways. ...EPLANS...",,,0.0,0.0,0.0,,,,,,,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,12100,,PLUM ORCHARD,DR,,SILVER SPRING,MD,20904,
STORMWATER CONCEPT,282904,04/13/2017,05/31/2017,Lakeforest Transit Center Modernization,,,,2.1,0.0,0.0,,,Transit,Transit,GSC,GENERAL USE,,Y,N,N,N,0.0,Y,1.0,N,0.0,Y,1.0,,,,,,,,,"Odendhal Avenue and Lost Knife Road, Gaithersburg, MD"
STORMWATER CONCEPT,284383,12/06/2018,12/19/2018,,"Customer Wants To Use ePlans,Demolition of an existing detached single family home and construction of two detached single family homes",,561,4.7,3.2,0.0,RMH200,RMH200,,,CJC,GENERAL USE,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,9030,,BRONSON,DR,,POTOMAC,MD,20854,
STORMWATER CONCEPT,284342,11/19/2018,03/27/2019,PLUMGAR,CUSTOMER REQUESTING EPLANS,,,0.0,0.0,0.0,,,,,,,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,19815,,BLUNT,RD,,GERMANTOWN,MD,20876,
STORMWATER CONCEPT,223540,02/02/2006,08/10/2006,BEL PRE ELEMENTARY SCHOOL,"Pt of Parcel D, Sec. 5",218NW03,HR562,8.8,0.6,0.3,R-150,R-150,SCHOOL,SCHOOL,NWB,RECREATION TROUT,,N,N,N,N,0.0,Y,0.3,N,0.0,N,0.0,13801,,RIPPLING BROOK,DR,,SILVER SPRING,MD,20906,
STORMWATER CONCEPT,239502,01/24/2011,06/08/2011,DERWOOD BIBLE CHURCH,,,,4.0,3.9,0.0,R-90,R-90,CHURCH,CHURCH,URC,RECREATION TROUT,CRABBS BR,N,N,N,Y,3.9,Y,3.9,N,0.0,N,0.0,16011,,CHIEFTAIN,AVE,,ROCKVILLE,MD,20855,
STORMWATER CONCEPT,283908,05/02/2018,05/21/2018,B'nai Israel / Montrose,,,,0.0,0.0,0.0,,,,,,,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,6301,,MONTROSE,RD,,ROCKVILLE,MD,20852,
