the_geom,OBJECTID,UNDERGROUND_TANK_SYSTEM_ID,UST_ID,FACILITY_NAME,APPROXIMATE_LOCATION_OF_TANK,FACILITY_ADDRESS,STREET_NAME,FACILITY_TANK_NUMBER,ORDINANCE_FOR_ROW,SOURCE,TCEQ_NUMBER,HYPERLINK_TO_COUNCIL_MINUTES,DATE,REMEDIATION_ATAUS,LOCATED_IN_RECHARGE_ZONE,PERMIT_STATUS,LEAKING_STORAGE_TANK_NUMBER,TANK_TYPE,TANK_SYSTEM_STATUS,HISTORICAL_RECORD,CONFIRMED_INSTALLED,COMMENTS
POINT (-97.746451331329 30.273666522561),2230,2234,EX014,Travis County Jail,,1000 San Antonio St,SAN ANTONIO,,,,,,,,N,C,,,,N,,
POINT (-97.662362709315 30.323751537708),1906,1908,C0337,Emery Air Freight,,7808 Danz Blvd,DANZ,,,,,,,,N,C,,,,N,,
POINT (-97.738869945886 30.277930107893),108,108,H0089,Greyburg Oil Company,,16th & Congress,,0,Yes,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=90204,04/08/1920 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.744186215339 30.262954585864),14,14,H0201,Pierce Petroleum,,1st & Congress,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89806,05/31/1928 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.739724386617 30.216431386394),1967,1970,C0401,John's Food Mart,,2238 E Ben White Blvd,BEN WHITE,,,,,,,,N,C,,,,N,,
POINT (-97.713731643414 30.317460276053),1795,1797,C0219,Vacant Lot,,5512 Airport Blvd,AIRPORT,,,,,,,,N,C,,,,N,,
POINT (-97.747412902536 30.219886567072),2234,2238,EX021,Internal Revenue Service,,3651 S Ih 35,IH 35,,,,,,,,N,X,,,,N,,
POINT (-97.692706886462 30.376905031454),2331,2338,N0136,K & M Supply,,908 Mc Phaul St,MC PHAUL,,,,,,,,N,N,,,,N,,
POINT (-97.829780648899 30.214049565934),1407,1409,03042,Star Stop #82,,6903 Brodie Ln,BRODIE,,,,,,,,Y,P,,,,N,,
POINT (-97.721305108998 30.291446073192),2317,2324,N0116,Phillips 66,,3311 N I 35,I 35,,,,,,,,N,N,,,,N,,
POINT (-97.666993842834 30.330472394177),2550,2561,03303,Express Food Mart,,8201 Cross Park Dr,CROSS PARK,,,,,,11/25/2013 12:00:00 AM +0000,,N,P,,,,N,,
POINT (-97.796566936281 30.467744696517),2469,2478,C0704,Tx Dot Right of Way,,13800 N Us 183 Hwy,US 183,,,,,,,,Y,C,,,,N,,
POINT (-97.738934208791 30.301834287309),1879,1881,C0309,Flamingo Auto,,3512 Guadalupe St,GUADALUPE,,,,,,,,N,C,,,,N,,
POINT (-97.705258811009 30.27634805604),2150,2154,C0617,Harper Landscape Service,,2936 E 12th St,12TH,,,,,,,,N,C,,,,N,,
POINT (-97.738053038988 30.30258346824),2133,2137,C0599,Circle K #3208,,3713 Guadalupe St,GUADALUPE,,,,,,,,N,C,,,,N,,
POINT (-97.728628366601 30.263879056267),161,161,H0099,,,1310 E 6th,E 6th,0,Yes,No Online Info Found,0,http://www.cityofaustin.org/edims/document.cfm?id=90533,03/15/1922 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,
POINT (-97.699128286567 30.288572906121),1459,1461,03143,Airport Valet Parking,,3511 Manor Rd,MANOR,,,,,,,,N,C,,,,N,,
POINT (-97.907583676182 30.25975560757),2448,2457,03274,"Hwy 71 Store, LTD.",,9341 W Sh 71,SH 71,,,,,,,,N,P,,,,N,,
POINT (-97.725407647048 30.258637550828),865,866,H0796,Lily Fresh Ice Cream Co.,,1710 E 2nd,E 2nd,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=41334,07/07/1960 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.730419001049 30.321117076183),1649,1651,C0070,Neelley Vending Co,,813 W North Loop Blvd,NORTH LOOP,,,,,,,,N,C,,,,N,,
POINT (-97.699632806809 30.252493892641),1814,1816,C0239,Allied Sales,,5001 E 5th St,5TH,,,,,,,,N,C,,,,N,,
POINT (-97.731851062062 30.330833678165),1631,1633,C0051,M D Pharmacy,,1401 W Koenig Ln,KOENIG,,,,,,,,N,C,,,,N,,
POINT (-97.876594068279 30.236193205582),2561,2574,C0726,Firestone Mastercare Store,,7010 W Sh 71,SH 71,,,,,,04/19/1993 12:00:00 AM +0000,,N,C,,,,N,,
POINT (-97.692300521935 30.383963057259),1385,1387,03002,COA AFD Fire Station #30,,1021 W Braker Ln,BRAKER,,,,,,,,N,P,,,,N,,
POINT (-97.767710711474 30.249491828157),568,568,H0540,Vincent Valdez,SW Corner,Heather and Lamar,,0,No,No Online Info Found,0,http://www.cityofaustin.org/edims/document.cfm?id=88188,04/19/1953 12:00:00 AM +0000,,N,H,,Filling Station,,Y,,Public use
POINT (-97.698376801818 30.251232295675),590,590,H0601,Massey Equipment Service,,5105 E 1st,E 1st,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=44427,05/26/1955 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.723367588978 30.451352938836),1741,1743,C0162,Austin White Lime,,5100 Mc Neil Dr,MC NEIL,,,,,,,,Y,C,,,,N,,
POINT (-97.750591428354 30.269461220199),696,696,H0833,Dr Pepper Bottling Co.,,718 W 5th,W 5th,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=41214,05/18/1961 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.730571607447 30.264679885503),96,96,H0086,Columbian Refining Comp.,"Lots 10 & 11,  Block 3","Lots, 10 & 11, Blk 3 Division A",,0,Yes,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=90196,03/11/1920 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.71545374667 30.307829868603),1252,1253,01005,Gene Johnson Station & Garage,,4801 Airport Blvd,AIRPORT,,,,,,,,N,P,,,,N,,
POINT (-97.734858015925 30.266737034247),318,318,H0330,C.A. Peters,SW Corner,E 7th & East Ave,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89944,12/17/1931 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.750819200965 30.309099338436),742,742,H0699,Gulf Oil Company,SW corner,Jefferson & Bull Creek,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=44437,05/16/1957 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.638149937881 30.216083202763),1809,1811,C0234,COA - Hornsby Bend,,2210 S Fm 973 Rd,FM 973,,,,,,,,N,C,,,,N,,
POINT (-97.729134072591 30.282040932071),828,828,H0294,Chas. Rogan,,2104 East Ave,East Ave,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89320,07/03/1930 12:00:00 AM +0000,,N,H,,Existing Filling Stn,,Y,,Renovation
POINT (-97.747182314432 30.259300882431),399,399,H0385,C.A. Maufrais,,108 Barton Springs,Barton Springs,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88138,01/31/1946 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.715163887859 30.312143227151),630,630,H0564,John Joseph/Henry Poulas,NE corner,Airport and 51st St,,0,No,No Online Info Found,0,http://www.cityofaustin.org/edims/document.cfm?id=88579,04/27/1954 12:00:00 AM +0000,,N,H,,Filling Station,,Y,,Public use
POINT (-97.806941410898 30.232918631564),1128,1129,00616,"Boat Town, Inc.",,4630 S Lamar Blvd,LAMAR,,,,,,,,Y,C,,,,N,,
POINT (-97.75225387616 30.268274354625),1356,1357,01913,COA Service Center #12,,300 West Ave,WEST,,,,,,,,N,C,,,,N,,
POINT (-97.726956918328 30.325483258386),1904,1906,C0335,Tune Up Masters #1004,,5624 N Lamar Blvd,LAMAR,,,,,,,,N,C,,,,N,,
POINT (-97.747219379399 30.265039182244),341,341,H0350,Calcasieu Lumber Co.,,311 W 2nd St,W 2nd,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88818,04/13/1933 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.752190111736 30.274847521456),380,380,H0478,Odas Jung,South and East corner,N Lamar and 10th St,,0,No,No Online Info Found,0,http://www.cityofaustin.org/edims/document.cfm?id=88534,03/16/1950 12:00:00 AM +0000,,N,H,,Filling Station,,Y,,Public use
POINT (-97.747130108563 30.257145279322),346,346,H0355,R.E. Leigh,SW Corner,Riverside & S Congress,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88827,05/18/1933 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.753833378589 30.2696249723),2238,2242,EX031,Capitol Chevrolet Make Ready,,409 N Lamar Blvd,LAMAR,,,,,,,,N,C,,,,N,,
POINT (-97.713188167878 30.28085212848),2213,2217,C0689,Marshall Trucking,,2701 E Martin Luther King Blvd,MARTIN LUTHER KING,,,,,,,,N,C,,,,N,,
POINT (-97.706766170048 30.351622768574),1359,1360,01920,Ryder Transportation Services #0789,,8305 N Lamar Blvd,LAMAR,,,,,,,,N,P,,,,N,,
POINT (-97.807388029589 30.43985859562),1321,1322,01616,Balcones Country Club,,11210 Spicewood Club Dr,SPICEWOOD CLUB,,,,,,,,Y,C,,,,N,,
POINT (-97.677096828526 30.376615833156),2322,2329,N0121,Bill's Exxon,,11220 N I 35,I 35,,,,,,,,N,N,,,,N,,
POINT (-97.758613658956 30.334770964814),1018,1019,00185,COA AFD Fire Station #19,,5211 Balcones Dr,BALCONES,,,,,,,,Y,C,,,,N,,
POINT (-97.696344349072 30.363138651349),2450,2459,03276,HEB #183 - Austin #15,,9411 N Lamar Blvd,LAMAR,,,,,,,,N,P,,,,N,,
POINT (-97.740982582138 30.299016838565),1318,1319,01551,Austin Quality Car Wash,,3120 Guadalupe St,GUADALUPE,,,,,,,,N,C,,,,N,,
POINT (-97.963318679203 30.37693835344),2379,2387,OJ042,Hurst Harbor Marina,,16405 Clara Van,CLARA VAN,,,,,,,,N,X,,,,N,,
POINT (-97.765177628646 30.250953717809),2294,2299,N0074,B & M Transmissions,,1615 S Lamar Blvd,LAMAR,,,,,,,,N,N,,,,N,,
POINT (-97.73477936017 30.332526744621),599,599,H0611,L.C. Page,NW Corner,Koenig & Arroyo Seco,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=44542,07/07/1955 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.723335930703 30.269290501541),75,75,H0166,,,1510 Rosewood,Rosewood,0,Yes,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89877,03/10/1927 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.744831925895 30.268530048687),101,101,H0077,,under sidewalk,217 W 6th,W 6th,0,Yes,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=90115,05/08/1919 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,
POINT (-97.741601112102 30.281840009183),452,452,H0367,Humble Oil & Refining Co.,NE Corner,W 19th & Guadalupe,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88919,09/27/1934 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.671294796698 30.212143044544),1582,1584,A0028,Dollar Car Rental,,9301 Rental Car Ln,RENTAL CAR,,,,,,,,N,A,,,,N,,
POINT (-97.702732483669 30.251906259796),420,420,H0519,Joe Bland Construction,,4704 E 1st St,E 1st,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88307,01/31/1952 12:00:00 AM +0000,,N,H,,private station,,Y,,Private use
POINT (-97.762463896303 30.273503241218),557,557,H0693,Voudouris Plumbing Co.,,1506 W 5th,W 5th,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=44478,04/04/1957 12:00:00 AM +0000,,Y,H,,Tank and pump,,Y,,Private use
POINT (-97.739603461906 30.334524459156),1608,1610,C0026,Precision Tune,,5829 Burnet Rd,BURNET,,,,,,,,N,C,,,,N,,
POINT (-97.73521065497 30.27132621825),56,56,H0148,G S Hamby,on banks of creek,E 11th & Red River,,0,Yes,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89255,01/28/1926 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Land leased from COA
POINT (-97.717111180886 30.334888635886),1589,1591,00640,Circle K #3213,,,,,,,,,,,N,C,,,,N,,
POINT (-97.713090611134 30.229032714699),1017,1018,00184,COA AFD Fire Station #22,,5307 E Riverside Dr,RIVERSIDE,,,,,,,,N,C,,,,N,,
POINT (-97.751415610841 30.277569658832),675,675,H0813,Continental Oil Comp.,,1206 Parkway,Parkway,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=41338,12/01/1960 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.83774281936 30.202945676986),1353,1354,01900,Seven Eleven #24909,,8010 Brodie Ln,BRODIE,,,,,,,,Y,P,,,,N,,
POINT (-97.747669419108 30.265806079593),586,586,H0596,Covert Automobile Co.,,208 Guadalupe,Guadalupe,0,No,No Online Info Found,0,http://www.cityofaustin.org/edims/document.cfm?id=44440,04/11/1955 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.741646678249 30.315658875292),1903,1905,C0334,Lester Brown Automotive,,4500 Burnet Rd,BURNET,,,,,,,,N,C,,,,N,,
POINT (-97.76035853331 30.332938908563),430,430,H0527,Raymond Ramsey,SE Corner,Parkcrest and Hancock,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88489,07/03/1952 12:00:00 AM +0000,,Y,H,,Filling Station,,Y,,Public use
POINT (-97.734762040478 30.267140504392),885,886,H0897,,,700 E 7th Street,,0,,,0,http://www.cityofaustin.org/edims/document.cfm?id=118303,12/30/1899 12:00:00 AM +0000,,N,H,,,,Y,,
POINT (-97.778019932175 30.437820102478),2103,2107,C0565,American Car Care Center,,13026 N Us 183 Hwy,US 183,,,,,,,,Y,C,,,,N,,
POINT (-97.737774981311 30.345414727573),733,733,H0651,Gulf Oil Company,SW Corner,Pegram & Burnet,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=44709,04/05/1956 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.762580425802 30.253165649971),1219,1220,00889,Genie Car Wash #2,,1311 S Lamar Blvd,LAMAR,,,,,,,,N,C,,,,N,,
POINT (-97.685708553103 30.446362936214),2380,2388,OJ043,Speedy Stop,,14735 Bratton Ln,BRATTON,,,,,,,,N,X,,,,N,,
POINT (-97.795046385339 30.232448166923),2084,2088,C0544,Goodyear,,2425 W Ben White Blvd,BEN WHITE,,,,,,,,N,C,,,,N,,
POINT (-97.759525452709 30.271902753364),1242,1243,00985,AT&T - 5th Street SOC,,1301 W 5th St,5TH,,,,,,,,Y,C,,,,N,,
POINT (-97.75933655824 30.428450921583),2304,2310,N0089,Texaco,,12450 N. US Hwy 183,US Hwy 183,,,,,,,,Y,N,,,,N,,
POINT (-97.711285381073 30.256541451481),2276,2281,N0029,Pac-n-Tote,,2713 E 5th St,5TH,,,,,,,,N,N,,,,N,,
POINT (-97.701675840244 30.255646252598),1332,1333,01750,Longhorn Int'l Trucks,,4711 E 7th St,7TH,,,,,,,,N,C,,,,N,,
POINT (-97.733377341358 30.270929970989),1012,1013,00156,Exxon #67897,,1104 N I 35,I 35,,,,,,,,N,C,,,,N,,
POINT (-97.69956154494 30.251267145557),1681,1683,C0102,Hunting Fuel Boss,,5011 E Cesar Chavez St,CESAR CHAVEZ,,,,,,,,N,C,,,,N,,
POINT (-97.69325741505 30.437757526216),2289,2294,N0061,Texas Ready Mix North,,2807 W Howard Ln,HOWARD,,,,,,,,Y,N,,,,N,,
POINT (-97.732318989537 30.3817738679),1629,1631,C0049,United Parcel Service,,3206 Industrial Ter,INDUSTRIAL,,,,,,,,N,C,,,,N,,
POINT (-97.864832038802 30.338607793273),1464,1466,03149,Lake Hills Grocery,,1500 N Cuernavaca Dr,CUERNAVACA,,,,,,,,N,P,,,,N,,
POINT (-97.697534571726 30.439666127982),1371,1373,02015,Wells Branch Market,,3505 W Wells Branch Pkwy,WELLS BRANCH,,,,,,,,Y,F,,,,N,,
POINT (-97.673511438499 30.374614369111),1916,1918,C0347,Neal Electric,,11204 Bluff Bend Dr,BLUFF BEND,,,,,,,,N,C,,,,N,,
POINT (-97.799625948818 30.171962016478),1502,1504,03192,7-Eleven Store #36267,,525 W Slaughter Ln,SLAUGHTER,,,,,,,,N,P,,,,N,,
POINT (-97.753026508605 30.24010798528),2127,2131,C0592,Stone's Texaco,,2300 S Congress Ave,CONGRESS,,,,,,,,N,C,,,,N,,
POINT (-97.885034016583 30.389159172082),2543,2554,03373,Randalls #2987 Fuel Center,,5145 N Fm 620 Rd,FM 620,,,,,,,,N,P,,,,N,,
POINT (-97.733666578059 30.396818408012),1451,1453,03135,StarStop #33,,10706 N Mopac Expy,MOPAC,,,,,,,,Y,P,,,,N,,
POINT (-97.774379248632 30.205147516283),2163,2167,C0631,Auto Show Place,,5503 S Congress Ave,CONGRESS,,,,,,,,N,C,,,,N,,
POINT (-97.803442380607 30.465778424676),1525,1527,03216,StarStop 79,,12801 N Fm 620 Rd,FM 620,,,,,,,,Y,P,,,,N,,
POINT (-97.701468927172 30.330766103832),1352,1353,01891,"Bright Truck Leasing, L.P.",,911 E St Johns Ave,ST JOHNS,,,,,,,,N,C,,,,N,,
POINT (-97.740087401502 30.262352439046),1759,1761,C0180,Convention Center,,500 E Cesar Chavez St,CESAR CHAVEZ,,,,,,,,N,C,,,,N,,
POINT (-97.747821728475 30.253843248549),934,935,H0905,,,1009 S Congress Avenue,,0,,,0,http://www.cityofaustin.org/edims/document.cfm?id=118353,12/30/1899 12:00:00 AM +0000,,N,H,,,,Y,,
POINT (-97.840267656899 30.23576771809),1547,1549,03241,Handi Plus Store aka Star Stop #38,,4912 Monterey Oaks Blvd,MONTEREY OAKS,,,,,,,,Y,P,,,,N,,
POINT (-97.736712443417 30.261070628085),422,422,H0389,Sinclair Refining,SE Corner,E 1st & East Ave,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88010,04/04/1946 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.6970437507 30.287743596326),1118,1119,00513,Jim Boyer Inc,,2211 E M Franklin Ave,E M FRANKLIN,,,,,,,,N,C,,,,N,,
POINT (-97.71988532999 30.284042282417),1339,1340,01809,Manor Express,,2101 Manor Rd,MANOR,,,,,,,,N,P,,,,N,,
POINT (-97.714776522418 30.315327566954),634,634,H0569,Humble Oil & Refining Co.,NW corner,Airport and Bruning,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88591,06/10/1954 12:00:00 AM +0000,,N,H,,Filling Station,,Y,,Public use
POINT (-97.745988657601 30.303530290295),69,69,H0161,,,W 34th & Wabash,,0,Yes,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89279,10/21/1926 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.741240357633 30.289688476961),258,258,H0245,The Texas Co.,,W 26th & Guadalupe,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89771,11/28/1928 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.72009072146 30.231913311277),2540,2551,03370,Apple Mart,,2101 Wickersham Ln,WICKERSHAM,,,,,,,,N,P,,,,N,,
POINT (-97.746974266152 30.258530555464),498,498,H0451,J.H. Stelfox,Arboles Estate,"Barton Springs Rd, Arboles Estate",,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88295,03/10/1949 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.661610873573 30.303396513184),2431,2440,03252,7-Eleven #36604,,6518 Ed Bluestein Blvd,ED BLUESTEIN,,,,,,,,N,P,,,,N,,
POINT (-97.758183547687 30.262571698855),991,992,00021,Harold Tiedt Svc Ctr,,302 S Lamar Blvd,Lamar,,,,,,,,N,C,,,,N,,
POINT (-97.814350104957 30.463141551411),2419,2427,OJ096,Shoppers Mart #32,,12304 N Fm 620 Rd,FM 620,,,,,,,,Y,X,,,,N,,
POINT (-97.693057223471 30.300983836332),2042,2046,C0498,COA Service Center #06,,2011 E 51st St,51ST,,,,,,,,N,C,,,,N,,
POINT (-97.726684409065 30.26215281665),116,116,H0097,,,E 5th & Comal,,0,Yes,Council Reviewed,0,http://www.cityofaustin.org/edims/document.cfm?id=90058,10/25/1921 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,
POINT (-97.68587250888 30.357968656075),1161,1162,00702,Blue Bell Creameries,,9427 Middle Fiskville Rd,MIDDLE FISKVILLE,,,,,,,,N,P,,,,N,,
POINT (-97.739920364484 30.328221364471),524,524,H0660,Alex Dochen,NW corner,Lawnmont & Burnet,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=44733,06/21/1956 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.743432067312 30.265834089937),201,201,H0027,,under sidewalk,319-321 Congress,,0,Yes,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89472,10/14/1915 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,
POINT (-97.987581243377 30.355099780915),2253,2258,EX060,World Of Tennis,,2401 Lakeway Blvd,LAKEWAY,,,,,,,,N,X,,,,N,,
POINT (-97.718901224888 30.214183945068),1563,1565,A0004,Advanced Micro Devices,,5900 E Ben White Blvd,BEN WHITE,,,,,,,,N,A,,,,N,,
POINT (-97.713471141385 30.318544371494),1342,1343,01845,A-J Leasing Co,,5600 Middle Fiskville Rd,MIDDLE FISKVILLE,,,,,,,,N,C,,,,N,,
POINT (-97.742763563051 30.309365909743),180,180,H0125,S.L.Costley,,4008 Alice,Alice,0,Yes,Council Approved,0,http://www.ci.austin.tx.us/edims/document.cfm?id=89012,01/24/1924 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,May be in 5/22/1924 minutes
POINT (-97.727772201772 30.21214556017),1619,1621,C0037,Mistletoe Express,,3507 Chapman Ln,CHAPMAN,,,,,,,,N,C,,,,N,,
POINT (-97.738882377863 30.301921292383),949,950,H0933,,,3512 Guadalupe Street,,0,,,0,http://www.cityofaustin.org/edims/document.cfm?id=118441,12/30/1899 12:00:00 AM +0000,,N,H,,,,Y,,
POINT (-97.672731869675 30.277368071963),2166,2170,C0634,Federal Express,,5811 Techni Center Dr,TECHNI CENTER,,,,,,,,N,C,,,,N,,
POINT (-97.77047696985 30.434166418678),1977,1981,C0415,Diamond Shamrock #0965,,12812 Research Blvd Sb,RESEARCH,,,,,,,,Y,C,,,,N,,
POINT (-97.723306153782 30.370374019109),1767,1769,C0189,Lone Star Co,,8990 Research Blvd Sb,RESEARCH,,,,,,,,N,C,,,,N,,
POINT (-97.740457988457 30.271087431634),2473,2482,N0165,KXAN-TV,,910 Brazos St,BRAZOS,,,,,,,,N,N,,,,N,,
POINT (-97.78621709331 30.449560068792),1237,1238,00973,S W Bell - Jollyville,,9401 Anderson Mill Rd,ANDERSON MILL,,,,,,,,Y,C,,,,N,,
POINT (-97.672645291375 30.293102439013),1456,1458,03140,AISD Service Center,,5101 E 51st St,51ST,,,,,,,,N,P,,,,N,,
POINT (-97.744050839428 30.15749804309),2542,2553,03372,Star Mart - Thaxton Commercial Center,,7930 Thaxton Rd,THAXTON,,,,,,,,N,P,,,,N,,
POINT (-97.771612989219 30.186000696066),2204,2208,C0680,Prestige South Chrysler,,6905 S Ih 35,IH 35,,,,,,,,N,C,,,,N,,
POINT (-97.707823183161 30.28732629849),1585,1587,C0003,Hamilton Electric,,3800 Airport Blvd,AIRPORT,,,,,,,,N,C,,,,N,,
POINT (-97.728933630119 30.355573460191),2279,2284,N0035,,,2200 Anderson Lane,Anderson,,,,,,,,N,N,,,,N,,
POINT (-97.699657729115 30.317582485744),1737,1739,C0158,Mobil #12 BNN,,6000 Cameron Rd,CAMERON,,,,,,,,N,C,,,,N,,
POINT (-97.788905928838 30.22960966704),1244,1245,00993,Chevron #0107133,,4400 Manchaca Rd,MANCHACA,,,,,,,,N,C,,,,N,,
POINT (-97.744074993703 30.26414456449),204,204,H0030,Cabiness Hardware,under sidewalk,121-123 Congress,,0,Yes,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89388,03/03/1916 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,
POINT (-97.69865779477 30.288607720164),1365,1366,01973,Advantage Rent A Car,,3515 Manor Rd,MANOR,,,,,,,,N,C,,,,N,,
POINT (-97.69836932597 30.289478669907),2044,2048,C0500,COA - Dept Of Aviation,,3600 Manor Rd,MANOR,,,,,,,,N,C,,,,N,,
POINT (-97.750720112465 30.270448283694),174,174,H0115,,,W 6th & West Ave,,0,Yes,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89047,07/12/1923 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.699206488915 30.338173131294),1945,1948,C0377,Exxon #63719,,7701 N I 35,I 35,,,,,,,,N,C,,,,N,,
POINT (-97.687007191166 30.160987519587),2573,2587,03400,JD Market #6,,9111 Fm 812 Rd,FM 812,,,,,,09/24/2014 12:00:00 AM +0000,,N,X,,,,N,,
POINT (-97.721710365981 30.259763923428),1168,1169,00728,Brown Distributing Co,,411 Chicon St,CHICON,,,,,,,,N,C,,,,N,,
POINT (-97.744231507434 30.263705176884),165,165,H0121,,,107 Congress,Congress,0,Yes,Council Reviewed,0,http://www.cityofaustin.org/edims/document.cfm?id=89078,11/01/1923 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,
POINT (-97.737700728486 30.265796269052),44,44,H0133,G W Cunningham,,E 5th & Red River,,0,Yes,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89152,02/05/1925 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.739364131787 30.311475445991),2165,2169,C0633,Central Tex. Reg. Blood Center,,4300 N Lamar Blvd,LAMAR,,,,,,,,N,C,,,,N,,
POINT (-97.745997738657 30.256000726824),1656,1658,C0077,Central Texas Equipment,,127 E Riverside Dr,RIVERSIDE,,,,,,,,N,C,,,,N,,
POINT (-97.763049432237 30.223432216927),2444,2453,03269,Congress Chevron,,3909 S Congress Ave,CONGRESS,,,,,,,,N,P,,,,N,,
POINT (-97.756316774535 30.425919109631),1996,2000,C0440,Wal-Mart #1129,,12250 Research Blvd Sb,RESEARCH,,,,,,,,Y,C,,,,N,,
POINT (-97.730018998524 30.264108591397),197,197,H0023,,Block 6,Atacosta & Waller,,0,Yes,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89461,07/22/1915 12:00:00 AM +0000,,N,H,,Oil Storage,,Y,,
POINT (-97.72714751593 30.240943682819),1669,1671,C0090,Georges Torres Texaco #228,,2000 E Riverside Dr,RIVERSIDE,,,,,,,,N,C,,,,N,,
POINT (-97.688723812299 30.275993413004),835,836,H0867,Humble Oil & Refining Co.,,1145 Springdale,Springdale,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=41183,05/10/1962 12:00:00 AM +0000,,N,H,,Bulk Storage,,Y,,AST
POINT (-97.609012842156 30.27414764258),2558,2571,OJ138,Travis County East Service Center,,6011 Blue Bluff Rd,BLUE BLUFF,,,,,,09/24/2014 12:00:00 AM +0000,,N,X,,,,N,,
