Date,Department or Agency Name,ARMS Department ID,Total # of Employees,# of Employees with Debt,% Employees with Debt,Total Amount Due
05/21/2016,POLICE,POLICE,12778,119,0.9,86779.66
05/21/2016,PROCUREMENT SERV,PROCUREMENT,78,3,3.8,2303.26
05/21/2016,STREETS AND SANITATION,STREETSAN,2048,104,5.1,43297.30
05/21/2016,TRANSPORTATION,TRANS,1177,29,2.5,14910.03
05/21/2016,CITY TREASURER,TREASURER,23,1,4.3,270.00
05/21/2016,WATER MANAGEMENT,WATER,1863,52,2.8,76021.73
05/28/2016,ADMINISTRATIVE HEARING,AHMS,39,1,2.6,150.00
05/28/2016,COMM ANIMAL CARE AND CONTROL,ANIMAL,68,3,4.4,546.40
05/28/2016,AVIATION,AVIATION,1373,24,1.7,8487.05
05/28/2016,BUS AFFAIRS AND CONSUMER PROT,BACP,167,5,3.0,1644.29
05/28/2016,BUILDINGS,BUILDINGS,270,3,1.1,832.25
05/28/2016,CULTURAL AFFAIRS,CA,80,1,1.2,200.00
05/28/2016,CHICAGO BOARD OF EDUCATION,CBOE,45906,2171,4.7,1612889.62
05/28/2016,CITY COLLEGES OF CHICAGO,CCC,5623,145,2.6,124192.46
05/28/2016,FIRE DEPARTMENT,CFD,4903,115,2.3,51693.24
05/28/2016,CHICAGO HOUSING AUTHORITY,CHA,476,20,4.2,32922.52
05/28/2016,CITY CLERK,CLERK,94,2,2.1,1021.86
05/28/2016,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,212,2,0.9,470.00
05/28/2016,CITY COUNCIL,COUNCIL,392,14,3.6,5460.11
05/28/2016,CHICAGO PARK DISTRICT,CPDT,2952,132,4.5,85835.87
05/28/2016,CHICAGO PUBLIC LIBRARY,CPL,980,17,1.7,9062.47
05/28/2016,CHICAGO TRANSIT AUTHORITY,CTA,11082,1890,17.1,1425046.48
05/28/2016,DOIT,DOIT,101,1,1.0,200.00
05/28/2016,BOARD OF ELECTION COMMISSIONER,ELECTIONS,117,6,5.1,920.00
05/28/2016,BOARD OF ETHICS,ETHICS,9,0,0.0,0.00
05/28/2016,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,641,18,2.8,10159.11
05/28/2016,FINANCE,FINANCE,565,3,0.5,320.97
05/28/2016,FLEET AND FACILITY MGMT,FLEETFM,953,18,1.9,13622.40
05/28/2016,PUBLIC HEALTH,HEALTH,530,5,0.9,1103.41
05/28/2016,COMMISSION ON HUMAN RELATIONS,HR,16,0,0.0,0.00
05/28/2016,HUMAN RESOURCES,HUMANRESOURCES,69,2,2.9,300.00
05/28/2016,IPRA,IPRA,80,2,2.5,600.00
05/28/2016,LAW,LAW,404,2,0.5,440.00
05/28/2016,OFFICE OF THE MAYOR,MAYOR,81,2,2.5,1340.00
05/28/2016,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,28,0,0.0,0.00
05/28/2016,OFFICE OF BUDGET & MANAGEMENT,OBM,39,1,2.6,400.00
05/28/2016,OFFICE OF EMERGENCY MGMT & COM,OEMC,2006,73,3.6,54662.37
05/28/2016,POLICE,POLICE,12778,79,0.6,68216.23
05/28/2016,PROCUREMENT SERV,PROCUREMENT,78,2,2.6,2000.00
05/28/2016,STREETS AND SANITATION,STREETSAN,2048,85,4.2,32736.14
05/28/2016,TRANSPORTATION,TRANS,1177,21,1.8,12192.14
05/28/2016,CITY TREASURER,TREASURER,23,1,4.3,270.00
05/28/2016,WATER MANAGEMENT,WATER,1863,43,2.3,71212.10
06/04/2016,ADMINISTRATIVE HEARING,AHMS,39,1,2.6,150.00
06/04/2016,COMM ANIMAL CARE AND CONTROL,ANIMAL,68,3,4.4,546.40
06/04/2016,AVIATION,AVIATION,1373,23,1.7,7887.98
06/04/2016,BUS AFFAIRS AND CONSUMER PROT,BACP,167,5,3.0,1644.29
06/04/2016,BUILDINGS,BUILDINGS,270,2,0.7,607.25
06/04/2016,CULTURAL AFFAIRS,CA,80,1,1.2,200.00
06/04/2016,CHICAGO BOARD OF EDUCATION,CBOE,45906,2087,4.5,1579926.98
06/04/2016,CITY COLLEGES OF CHICAGO,CCC,5623,141,2.5,122206.22
06/04/2016,FIRE DEPARTMENT,CFD,4903,103,2.1,49130.92
06/04/2016,CHICAGO HOUSING AUTHORITY,CHA,476,19,4.0,32817.99
06/04/2016,CITY CLERK,CLERK,94,2,2.1,1021.86
06/04/2016,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,212,2,0.9,470.00
06/04/2016,CITY COUNCIL,COUNCIL,392,14,3.6,5420.11
06/04/2016,CHICAGO PARK DISTRICT,CPDT,2952,124,4.2,81808.69
06/04/2016,CHICAGO PUBLIC LIBRARY,CPL,980,15,1.5,8565.05
06/04/2016,CHICAGO TRANSIT AUTHORITY,CTA,11082,1873,16.9,1412350.43
06/04/2016,DOIT,DOIT,101,2,2.0,540.00
06/04/2016,BOARD OF ELECTION COMMISSIONER,ELECTIONS,117,4,3.4,470.00
06/04/2016,BOARD OF ETHICS,ETHICS,9,0,0.0,0.00
06/04/2016,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,641,18,2.8,10160.05
06/04/2016,FINANCE,FINANCE,565,3,0.5,320.97
06/04/2016,FLEET AND FACILITY MGMT,FLEETFM,953,15,1.6,12804.37
06/04/2016,PUBLIC HEALTH,HEALTH,530,2,0.4,683.41
06/04/2016,COMMISSION ON HUMAN RELATIONS,HR,16,0,0.0,0.00
06/04/2016,HUMAN RESOURCES,HUMANRESOURCES,69,2,2.9,300.00
06/04/2016,IPRA,IPRA,80,2,2.5,600.00
06/04/2016,LAW,LAW,404,0,0.0,0.00
06/04/2016,OFFICE OF THE MAYOR,MAYOR,81,2,2.5,1340.00
06/04/2016,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,28,0,0.0,0.00
06/04/2016,OFFICE OF BUDGET & MANAGEMENT,OBM,39,1,2.6,400.00
06/04/2016,OFFICE OF EMERGENCY MGMT & COM,OEMC,2006,70,3.5,53276.07
06/04/2016,POLICE,POLICE,12778,68,0.5,63169.70
06/04/2016,PROCUREMENT SERV,PROCUREMENT,78,2,2.6,2000.00
06/04/2016,STREETS AND SANITATION,STREETSAN,2048,79,3.9,30807.03
06/04/2016,TRANSPORTATION,TRANS,1177,16,1.4,8398.42
06/04/2016,CITY TREASURER,TREASURER,23,1,4.3,270.00
06/04/2016,WATER MANAGEMENT,WATER,1863,39,2.1,70457.27
06/11/2016,ADMINISTRATIVE HEARING,AHMS,40,0,0.0,0.00
06/11/2016,COMM ANIMAL CARE AND CONTROL,ANIMAL,67,1,1.5,200.00
06/11/2016,AVIATION,AVIATION,1369,14,1.0,4329.87
06/11/2016,BUS AFFAIRS AND CONSUMER PROT,BACP,167,5,3.0,1644.29
06/11/2016,BUILDINGS,BUILDINGS,268,0,0.0,0.00
06/11/2016,CULTURAL AFFAIRS,CA,80,1,1.2,200.00
06/11/2016,CHICAGO BOARD OF EDUCATION,CBOE,45906,1988,4.3,1523562.05
06/11/2016,CITY COLLEGES OF CHICAGO,CCC,5623,123,2.2,116130.74
06/11/2016,FIRE DEPARTMENT,CFD,4902,89,1.8,40505.17
06/11/2016,CHICAGO HOUSING AUTHORITY,CHA,476,20,4.2,28544.57
06/11/2016,CITY CLERK,CLERK,113,2,1.8,1021.86
06/11/2016,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,215,2,0.9,470.00
06/11/2016,CITY COUNCIL,COUNCIL,406,12,3.0,3075.92
06/11/2016,CHICAGO PARK DISTRICT,CPDT,2952,121,4.1,80946.93
06/11/2016,CHICAGO PUBLIC LIBRARY,CPL,969,6,0.6,4075.24
06/11/2016,CHICAGO TRANSIT AUTHORITY,CTA,11082,1855,16.7,1400234.51
06/11/2016,DOIT,DOIT,100,2,2.0,540.00
06/11/2016,BOARD OF ELECTION COMMISSIONER,ELECTIONS,117,4,3.4,430.00
06/11/2016,BOARD OF ETHICS,ETHICS,8,0,0.0,0.00
06/11/2016,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,639,15,2.3,9760.98
06/11/2016,FINANCE,FINANCE,553,2,0.4,267.13
06/11/2016,FLEET AND FACILITY MGMT,FLEETFM,954,8,0.8,4092.00
06/11/2016,PUBLIC HEALTH,HEALTH,528,2,0.4,443.41
06/11/2016,COMMISSION ON HUMAN RELATIONS,HR,16,0,0.0,0.00
06/11/2016,HUMAN RESOURCES,HUMANRESOURCES,68,2,2.9,300.00
06/11/2016,IPRA,IPRA,79,2,2.5,600.00
06/11/2016,LAW,LAW,393,0,0.0,0.00
06/11/2016,OFFICE OF THE MAYOR,MAYOR,81,0,0.0,0.00
06/11/2016,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,27,0,0.0,0.00
06/11/2016,OFFICE OF BUDGET & MANAGEMENT,OBM,38,1,2.6,400.00
06/11/2016,OFFICE OF EMERGENCY MGMT & COM,OEMC,2000,53,2.6,49796.82
06/11/2016,POLICE,POLICE,12766,49,0.4,49434.24
06/11/2016,PROCUREMENT SERV,PROCUREMENT,80,1,1.2,1600.00
06/11/2016,STREETS AND SANITATION,STREETSAN,2061,56,2.7,19372.20
06/11/2016,TRANSPORTATION,TRANS,1182,5,0.4,3130.44
06/11/2016,CITY TREASURER,TREASURER,22,1,4.5,270.00
06/11/2016,WATER MANAGEMENT,WATER,1855,12,0.6,61654.19
06/18/2016,ADMINISTRATIVE HEARING,AHMS,40,0,0.0,0.00
06/18/2016,COMM ANIMAL CARE AND CONTROL,ANIMAL,67,1,1.5,200.00
06/18/2016,AVIATION,AVIATION,1369,11,0.8,3584.84
06/18/2016,BUS AFFAIRS AND CONSUMER PROT,BACP,167,5,3.0,1644.29
06/18/2016,BUILDINGS,BUILDINGS,268,0,0.0,0.00
06/18/2016,CULTURAL AFFAIRS,CA,80,1,1.2,200.00
06/18/2016,CHICAGO BOARD OF EDUCATION,CBOE,45906,1888,4.1,1482665.64
06/18/2016,CITY COLLEGES OF CHICAGO,CCC,5623,101,1.8,107916.28
06/18/2016,FIRE DEPARTMENT,CFD,4902,78,1.6,35516.21
06/18/2016,CHICAGO HOUSING AUTHORITY,CHA,476,21,4.4,29185.05
06/18/2016,CITY CLERK,CLERK,113,1,0.9,120.00
06/18/2016,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,215,1,0.5,270.00
06/18/2016,CITY COUNCIL,COUNCIL,406,13,3.2,14218.16
06/18/2016,CHICAGO PARK DISTRICT,CPDT,2952,114,3.9,76340.07
06/18/2016,CHICAGO PUBLIC LIBRARY,CPL,969,4,0.4,2923.10
06/18/2016,CHICAGO TRANSIT AUTHORITY,CTA,11082,1812,16.4,1361983.76
06/18/2016,DOIT,DOIT,100,2,2.0,540.00
06/18/2016,BOARD OF ELECTION COMMISSIONER,ELECTIONS,117,0,0.0,0.00
06/18/2016,BOARD OF ETHICS,ETHICS,8,0,0.0,0.00
06/18/2016,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,639,14,2.2,9561.91
06/18/2016,FINANCE,FINANCE,553,1,0.2,211.82
06/18/2016,FLEET AND FACILITY MGMT,FLEETFM,954,2,0.2,522.00
06/18/2016,PUBLIC HEALTH,HEALTH,528,2,0.4,566.86
06/18/2016,COMMISSION ON HUMAN RELATIONS,HR,16,0,0.0,0.00
06/18/2016,HUMAN RESOURCES,HUMANRESOURCES,68,2,2.9,300.00
06/18/2016,IPRA,IPRA,79,1,1.3,200.00
06/18/2016,LAW,LAW,393,0,0.0,0.00
06/18/2016,OFFICE OF THE MAYOR,MAYOR,81,0,0.0,0.00
06/18/2016,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,27,0,0.0,0.00
06/18/2016,OFFICE OF BUDGET & MANAGEMENT,OBM,38,1,2.6,400.00
06/18/2016,OFFICE OF EMERGENCY MGMT & COM,OEMC,2000,44,2.2,49117.26
06/18/2016,POLICE,POLICE,12766,38,0.3,43975.37
06/18/2016,PROCUREMENT SERV,PROCUREMENT,80,0,0.0,0.00
06/18/2016,STREETS AND SANITATION,STREETSAN,2061,35,1.7,12127.72
06/18/2016,TRANSPORTATION,TRANS,1182,1,0.1,451.00
06/18/2016,CITY TREASURER,TREASURER,22,1,4.5,270.00
06/18/2016,WATER MANAGEMENT,WATER,1855,8,0.4,59791.23
06/25/2016,ADMINISTRATIVE HEARING,AHMS,40,0,0.0,0.00
06/25/2016,COMM ANIMAL CARE AND CONTROL,ANIMAL,67,1,1.5,200.00
06/25/2016,AVIATION,AVIATION,1369,9,0.7,3175.08
06/25/2016,BUS AFFAIRS AND CONSUMER PROT,BACP,167,6,3.6,1882.44
06/25/2016,BUILDINGS,BUILDINGS,268,0,0.0,0.00
06/25/2016,CULTURAL AFFAIRS,CA,80,1,1.2,200.00
06/25/2016,CHICAGO BOARD OF EDUCATION,CBOE,45906,1851,4.0,1456281.96
06/25/2016,CITY COLLEGES OF CHICAGO,CCC,5623,82,1.5,105080.41
06/25/2016,FIRE DEPARTMENT,CFD,4902,63,1.3,30478.32
06/25/2016,CHICAGO HOUSING AUTHORITY,CHA,476,20,4.2,28984.16
06/25/2016,CITY CLERK,CLERK,113,1,0.9,120.00
06/25/2016,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,215,1,0.5,270.00
06/25/2016,CITY COUNCIL,COUNCIL,406,13,3.2,17992.62
06/25/2016,CHICAGO PARK DISTRICT,CPDT,2952,114,3.9,75988.02
06/25/2016,CHICAGO PUBLIC LIBRARY,CPL,969,3,0.3,2625.68
06/25/2016,CHICAGO TRANSIT AUTHORITY,CTA,11082,1764,15.9,1316921.77
06/25/2016,DOIT,DOIT,100,2,2.0,540.00
06/25/2016,BOARD OF ELECTION COMMISSIONER,ELECTIONS,117,0,0.0,0.00
06/25/2016,BOARD OF ETHICS,ETHICS,8,0,0.0,0.00
06/25/2016,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,639,12,1.9,8882.84
06/25/2016,FINANCE,FINANCE,553,1,0.2,211.82
06/25/2016,FLEET AND FACILITY MGMT,FLEETFM,954,2,0.2,694.74
06/25/2016,PUBLIC HEALTH,HEALTH,528,1,0.2,215.01
06/25/2016,COMMISSION ON HUMAN RELATIONS,HR,16,0,0.0,0.00
06/25/2016,HUMAN RESOURCES,HUMANRESOURCES,68,2,2.9,300.00
06/25/2016,IPRA,IPRA,79,1,1.3,200.00
06/25/2016,LAW,LAW,393,0,0.0,0.00
06/25/2016,OFFICE OF THE MAYOR,MAYOR,81,0,0.0,0.00
06/25/2016,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,27,0,0.0,0.00
06/25/2016,OFFICE OF BUDGET & MANAGEMENT,OBM,38,1,2.6,400.00
06/25/2016,OFFICE OF EMERGENCY MGMT & COM,OEMC,2000,43,2.2,49007.55
06/25/2016,POLICE,POLICE,12766,37,0.3,43917.66
06/25/2016,PROCUREMENT SERV,PROCUREMENT,80,0,0.0,0.00
06/25/2016,STREETS AND SANITATION,STREETSAN,2061,11,0.5,4699.00
06/25/2016,TRANSPORTATION,TRANS,1182,1,0.1,451.00
06/25/2016,CITY TREASURER,TREASURER,22,0,0.0,0.00
06/25/2016,WATER MANAGEMENT,WATER,1855,8,0.4,59885.39
07/02/2016,ADMINISTRATIVE HEARING,AHMS,40,0,0.0,0.00
07/02/2016,COMM ANIMAL CARE AND CONTROL,ANIMAL,67,1,1.5,200.00
07/02/2016,AVIATION,AVIATION,1369,4,0.3,2069.76
07/02/2016,BUS AFFAIRS AND CONSUMER PROT,BACP,167,6,3.6,1882.44
07/02/2016,BUILDINGS,BUILDINGS,268,0,0.0,0.00
07/02/2016,CULTURAL AFFAIRS,CA,80,1,1.2,200.00
07/02/2016,CHICAGO BOARD OF EDUCATION,CBOE,45906,1798,3.9,1410813.54
07/02/2016,CITY COLLEGES OF CHICAGO,CCC,5623,79,1.4,104370.93
07/02/2016,FIRE DEPARTMENT,CFD,4902,58,1.2,27484.14
07/02/2016,CHICAGO HOUSING AUTHORITY,CHA,476,17,3.6,27831.56
07/02/2016,CITY CLERK,CLERK,113,1,0.9,120.00
07/02/2016,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,215,1,0.5,270.00
07/02/2016,CITY COUNCIL,COUNCIL,406,13,3.2,14218.16
07/02/2016,CHICAGO PARK DISTRICT,CPDT,2952,114,3.9,76300.13
07/02/2016,CHICAGO PUBLIC LIBRARY,CPL,969,4,0.4,2784.26
07/02/2016,CHICAGO TRANSIT AUTHORITY,CTA,11082,1650,14.9,1226913.79
07/02/2016,DOIT,DOIT,100,2,2.0,540.00
07/02/2016,BOARD OF ELECTION COMMISSIONER,ELECTIONS,117,1,0.9,171.71
07/02/2016,BOARD OF ETHICS,ETHICS,8,0,0.0,0.00
07/02/2016,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,639,12,1.9,8784.10
07/02/2016,FINANCE,FINANCE,553,2,0.4,339.30
07/02/2016,FLEET AND FACILITY MGMT,FLEETFM,954,2,0.2,694.74
07/02/2016,PUBLIC HEALTH,HEALTH,528,1,0.2,215.01
07/02/2016,COMMISSION ON HUMAN RELATIONS,HR,16,0,0.0,0.00
07/02/2016,HUMAN RESOURCES,HUMANRESOURCES,68,2,2.9,300.00
07/02/2016,IPRA,IPRA,79,1,1.3,200.00
07/02/2016,LAW,LAW,393,0,0.0,0.00
07/02/2016,OFFICE OF THE MAYOR,MAYOR,81,0,0.0,0.00
07/02/2016,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,27,0,0.0,0.00
07/02/2016,OFFICE OF BUDGET & MANAGEMENT,OBM,38,1,2.6,400.00
07/02/2016,OFFICE OF EMERGENCY MGMT & COM,OEMC,2000,36,1.8,45301.61
07/02/2016,POLICE,POLICE,12766,35,0.3,42346.05
07/02/2016,PROCUREMENT SERV,PROCUREMENT,80,0,0.0,0.00
07/02/2016,STREETS AND SANITATION,STREETSAN,2061,11,0.5,4791.05
07/02/2016,TRANSPORTATION,TRANS,1182,1,0.1,451.00
07/02/2016,CITY TREASURER,TREASURER,22,0,0.0,0.00
07/02/2016,WATER MANAGEMENT,WATER,1855,9,0.5,59819.57
07/09/2016,ADMINISTRATIVE HEARING,AHMS,38,0,0.0,0.00
07/09/2016,COMM ANIMAL CARE AND CONTROL,ANIMAL,69,1,1.4,200.00
07/09/2016,AVIATION,AVIATION,1388,4,0.3,2069.76
07/09/2016,BUS AFFAIRS AND CONSUMER PROT,BACP,166,5,3.0,1762.44
07/09/2016,BUILDINGS,BUILDINGS,258,0,0.0,0.00
07/09/2016,CULTURAL AFFAIRS,CA,79,1,1.3,200.00
07/09/2016,CHICAGO BOARD OF EDUCATION,CBOE,45906,1782,3.9,1404422.69
07/09/2016,CITY COLLEGES OF CHICAGO,CCC,5623,79,1.4,105110.83
07/09/2016,FIRE DEPARTMENT,CFD,4894,55,1.1,24797.24
07/09/2016,CHICAGO HOUSING AUTHORITY,CHA,476,16,3.4,27247.02
07/09/2016,CITY CLERK,CLERK,115,1,0.9,120.00
07/09/2016,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,213,1,0.5,270.00
07/09/2016,CITY COUNCIL,COUNCIL,449,11,2.4,13953.16
07/09/2016,CHICAGO PARK DISTRICT,CPDT,2952,114,3.9,76182.28
07/09/2016,CHICAGO PUBLIC LIBRARY,CPL,955,4,0.4,2786.84
07/09/2016,CHICAGO TRANSIT AUTHORITY,CTA,11082,1613,14.6,1204949.57
07/09/2016,DOIT,DOIT,98,2,2.0,540.00
07/09/2016,BOARD OF ELECTION COMMISSIONER,ELECTIONS,116,1,0.9,111.71
07/09/2016,BOARD OF ETHICS,ETHICS,8,0,0.0,0.00
07/09/2016,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,635,11,1.7,8385.04
07/09/2016,FINANCE,FINANCE,552,2,0.4,339.30
07/09/2016,FLEET AND FACILITY MGMT,FLEETFM,964,1,0.1,294.74
07/09/2016,PUBLIC HEALTH,HEALTH,525,2,0.4,399.46
07/09/2016,COMMISSION ON HUMAN RELATIONS,HR,16,0,0.0,0.00
07/09/2016,HUMAN RESOURCES,HUMANRESOURCES,71,2,2.8,300.00
07/09/2016,IPRA,IPRA,79,1,1.3,200.00
07/09/2016,LAW,LAW,391,0,0.0,0.00
07/09/2016,OFFICE OF THE MAYOR,MAYOR,99,0,0.0,0.00
07/09/2016,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,26,0,0.0,0.00
07/09/2016,OFFICE OF BUDGET & MANAGEMENT,OBM,38,1,2.6,400.00
07/09/2016,OFFICE OF EMERGENCY MGMT & COM,OEMC,2055,33,1.6,43583.15
07/09/2016,POLICE,POLICE,12748,33,0.3,15154.02
07/09/2016,PROCUREMENT SERV,PROCUREMENT,79,0,0.0,0.00
07/09/2016,STREETS AND SANITATION,STREETSAN,2021,11,0.5,4732.72
07/09/2016,TRANSPORTATION,TRANS,1211,2,0.2,524.60
07/09/2016,CITY TREASURER,TREASURER,23,0,0.0,0.00
07/09/2016,WATER MANAGEMENT,WATER,1838,7,0.4,6685.02
07/16/2016,ADMINISTRATIVE HEARING,AHMS,38,0,0.0,0.00
07/16/2016,COMM ANIMAL CARE AND CONTROL,ANIMAL,69,1,1.4,200.00
07/16/2016,AVIATION,AVIATION,1388,5,0.4,2616.65
07/16/2016,BUS AFFAIRS AND CONSUMER PROT,BACP,166,6,3.6,1964.52
07/16/2016,BUILDINGS,BUILDINGS,258,0,0.0,0.00
07/16/2016,CULTURAL AFFAIRS,CA,79,1,1.3,200.00
07/16/2016,CHICAGO BOARD OF EDUCATION,CBOE,45906,1726,3.8,1360833.21
07/16/2016,CITY COLLEGES OF CHICAGO,CCC,5623,80,1.4,104386.65
07/16/2016,FIRE DEPARTMENT,CFD,4894,55,1.1,24751.78
07/16/2016,CHICAGO HOUSING AUTHORITY,CHA,476,16,3.4,26762.45
07/16/2016,CITY CLERK,CLERK,115,1,0.9,120.00
07/16/2016,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,213,1,0.5,270.00
07/16/2016,CITY COUNCIL,COUNCIL,449,10,2.2,13890.71
07/16/2016,CHICAGO PARK DISTRICT,CPDT,2952,109,3.7,76231.52
07/16/2016,CHICAGO PUBLIC LIBRARY,CPL,955,4,0.4,2789.42
07/16/2016,CHICAGO TRANSIT AUTHORITY,CTA,11082,1588,14.3,1173088.46
07/16/2016,DOIT,DOIT,98,2,2.0,540.00
07/16/2016,BOARD OF ELECTION COMMISSIONER,ELECTIONS,116,1,0.9,111.71
07/16/2016,BOARD OF ETHICS,ETHICS,8,0,0.0,0.00
07/16/2016,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,635,12,1.9,8428.94
07/16/2016,FINANCE,FINANCE,552,3,0.5,475.19
07/16/2016,FLEET AND FACILITY MGMT,FLEETFM,964,0,0.0,0.00
07/16/2016,PUBLIC HEALTH,HEALTH,525,2,0.4,399.46
07/16/2016,COMMISSION ON HUMAN RELATIONS,HR,16,0,0.0,0.00
07/16/2016,HUMAN RESOURCES,HUMANRESOURCES,71,2,2.8,300.00
07/16/2016,IPRA,IPRA,79,1,1.3,200.00
07/16/2016,LAW,LAW,391,0,0.0,0.00
07/16/2016,OFFICE OF THE MAYOR,MAYOR,99,0,0.0,0.00
07/16/2016,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,26,0,0.0,0.00
07/16/2016,OFFICE OF BUDGET & MANAGEMENT,OBM,38,1,2.6,400.00
07/16/2016,OFFICE OF EMERGENCY MGMT & COM,OEMC,2055,33,1.6,40629.71
07/16/2016,POLICE,POLICE,12748,32,0.3,15150.31
07/16/2016,PROCUREMENT SERV,PROCUREMENT,79,0,0.0,0.00
07/16/2016,STREETS AND SANITATION,STREETSAN,2021,11,0.5,4732.72
07/16/2016,TRANSPORTATION,TRANS,1211,2,0.2,524.60
07/16/2016,CITY TREASURER,TREASURER,23,0,0.0,0.00
07/16/2016,WATER MANAGEMENT,WATER,1838,8,0.4,6892.23
07/23/2016,ADMINISTRATIVE HEARING,AHMS,38,0,0.0,0.00
07/23/2016,COMM ANIMAL CARE AND CONTROL,ANIMAL,69,1,1.4,200.00
07/23/2016,AVIATION,AVIATION,1388,5,0.4,2616.65
07/23/2016,BUS AFFAIRS AND CONSUMER PROT,BACP,166,4,2.4,1252.10
07/23/2016,BUILDINGS,BUILDINGS,258,0,0.0,0.00
07/23/2016,CULTURAL AFFAIRS,CA,79,0,0.0,0.00
07/23/2016,CHICAGO BOARD OF EDUCATION,CBOE,45906,1717,3.7,1349166.71
07/23/2016,CITY COLLEGES OF CHICAGO,CCC,5623,80,1.4,104303.27
07/23/2016,FIRE DEPARTMENT,CFD,4894,49,1.0,21668.04
07/23/2016,CHICAGO HOUSING AUTHORITY,CHA,476,14,2.9,24554.34
07/23/2016,CITY CLERK,CLERK,115,0,0.0,0.00
07/23/2016,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,213,0,0.0,0.00
07/23/2016,CITY COUNCIL,COUNCIL,449,7,1.6,12980.71
07/23/2016,CHICAGO PARK DISTRICT,CPDT,2952,109,3.7,76293.84
07/23/2016,CHICAGO PUBLIC LIBRARY,CPL,955,4,0.4,2792.00
07/23/2016,CHICAGO TRANSIT AUTHORITY,CTA,11082,1569,14.2,1149401.79
07/23/2016,DOIT,DOIT,98,0,0.0,0.00
07/23/2016,BOARD OF ELECTION COMMISSIONER,ELECTIONS,116,0,0.0,0.00
07/23/2016,BOARD OF ETHICS,ETHICS,8,0,0.0,0.00
07/23/2016,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,635,12,1.9,8429.87
07/23/2016,FINANCE,FINANCE,552,1,0.2,211.82
07/23/2016,FLEET AND FACILITY MGMT,FLEETFM,964,2,0.2,1205.79
07/23/2016,PUBLIC HEALTH,HEALTH,525,2,0.4,399.46
07/23/2016,COMMISSION ON HUMAN RELATIONS,HR,16,0,0.0,0.00
07/23/2016,HUMAN RESOURCES,HUMANRESOURCES,71,2,2.8,300.00
07/23/2016,IPRA,IPRA,79,1,1.3,200.00
07/23/2016,LAW,LAW,391,0,0.0,0.00
07/23/2016,OFFICE OF THE MAYOR,MAYOR,99,0,0.0,0.00
07/23/2016,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,26,0,0.0,0.00
07/23/2016,OFFICE OF BUDGET & MANAGEMENT,OBM,38,1,2.6,400.00
07/23/2016,OFFICE OF EMERGENCY MGMT & COM,OEMC,2055,33,1.6,40849.07
07/23/2016,POLICE,POLICE,12748,32,0.3,14870.84
07/23/2016,PROCUREMENT SERV,PROCUREMENT,79,0,0.0,0.00
07/23/2016,STREETS AND SANITATION,STREETSAN,2021,11,0.5,4131.17
07/23/2016,TRANSPORTATION,TRANS,1211,2,0.2,990.15
07/23/2016,CITY TREASURER,TREASURER,23,0,0.0,0.00
07/23/2016,WATER MANAGEMENT,WATER,1838,9,0.5,7380.75
07/30/2016,ADMINISTRATIVE HEARING,AHMS,38,0,0.0,0.00
07/30/2016,COMM ANIMAL CARE AND CONTROL,ANIMAL,69,1,1.4,200.00
07/30/2016,AVIATION,AVIATION,1388,4,0.3,1326.65
07/30/2016,BUS AFFAIRS AND CONSUMER PROT,BACP,166,4,2.4,1252.10
07/30/2016,BUILDINGS,BUILDINGS,258,0,0.0,0.00
07/30/2016,CULTURAL AFFAIRS,CA,79,0,0.0,0.00
07/30/2016,CHICAGO BOARD OF EDUCATION,CBOE,45906,1703,3.7,1342943.30
07/30/2016,CITY COLLEGES OF CHICAGO,CCC,5623,77,1.4,104304.05
07/30/2016,FIRE DEPARTMENT,CFD,4894,49,1.0,21997.49
07/30/2016,CHICAGO HOUSING AUTHORITY,CHA,476,13,2.7,24366.33
07/30/2016,CITY CLERK,CLERK,115,0,0.0,0.00
