Data as of,State,Place of Death,Start week,End Week,COVID19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID19 Deaths",Footnote
05/06/2020,Tennessee,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,,1576,0,62,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Tennessee,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,398,0,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Tennessee,Decedent's Home,02/01/2020,05/02/2020,,6331,0,149,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Tennessee,Hospice Facility,02/01/2020,05/02/2020,,757,0,38,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Tennessee,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,,3455,0,207,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Tennessee,Other,02/01/2020,05/02/2020,,994,0,14,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Tennessee,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Texas,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,419,15479,0,2698,202,245,
05/06/2020,Texas,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,20,3637,0,132,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Texas,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,59,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Texas,Decedent's Home,02/01/2020,05/02/2020,31,17790,0,379,,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Texas,Hospice Facility,02/01/2020,05/02/2020,,2978,0,245,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Texas,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,63,9227,0,385,12,13,
05/06/2020,Texas,Other,02/01/2020,05/02/2020,,3715,0,87,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Texas,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Utah,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,21,1009,0,162,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Utah,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,,209,0,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Utah,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Utah,Decedent's Home,02/01/2020,05/02/2020,,2183,0,60,0,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Utah,Hospice Facility,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Utah,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,,1371,0,59,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Utah,Other,02/01/2020,05/02/2020,0,354,0,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Utah,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Vermont,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,19,374,0,65,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Vermont,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,0,74,0,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Vermont,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Vermont,Decedent's Home,02/01/2020,05/02/2020,,604,0,13,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Vermont,Hospice Facility,02/01/2020,05/02/2020,0,88,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Vermont,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,26,440,0,25,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Vermont,Other,02/01/2020,05/02/2020,0,74,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Vermont,Place of Death Unknown,02/01/2020,05/02/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Virginia,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,249,5462,0,761,104,67,
05/06/2020,Virginia,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,20,980,0,41,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Virginia,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,43,0,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Virginia,Decedent's Home,02/01/2020,05/02/2020,12,6682,0,105,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Virginia,Hospice Facility,02/01/2020,05/02/2020,,608,0,22,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Virginia,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,72,3839,0,105,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Virginia,Other,02/01/2020,05/02/2020,,1250,0,10,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Virginia,Place of Death Unknown,02/01/2020,05/02/2020,0,11,0,0,0,0,
05/06/2020,Washington,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,386,4523,0,851,221,70,
05/06/2020,Washington,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,,421,0,33,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Washington,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,14,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Washington,Decedent's Home,02/01/2020,05/02/2020,42,5965,0,134,17,12,
05/06/2020,Washington,Hospice Facility,02/01/2020,05/02/2020,13,939,0,55,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Washington,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,150,2920,0,207,77,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Washington,Other,02/01/2020,05/02/2020,,794,0,19,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Washington,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,West Virginia,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,13,1506,0,266,,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,West Virginia,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,0,393,0,12,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,West Virginia,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,11,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,West Virginia,Decedent's Home,02/01/2020,05/02/2020,0,1698,0,26,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,West Virginia,Hospice Facility,02/01/2020,05/02/2020,0,585,0,38,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,West Virginia,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,,811,0,35,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,West Virginia,Other,02/01/2020,05/02/2020,0,237,0,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,West Virginia,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Wisconsin,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,183,3575,0,495,28,99,
05/06/2020,Wisconsin,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,,619,0,16,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Wisconsin,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,,21,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Wisconsin,Decedent's Home,02/01/2020,05/02/2020,21,4449,0,68,0,15,
05/06/2020,Wisconsin,Hospice Facility,02/01/2020,05/02/2020,14,1098,0,63,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Wisconsin,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,24,2542,0,129,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Wisconsin,Other,02/01/2020,05/02/2020,,2321,0,56,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Wisconsin,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Wyoming,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,,234,0,51,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Wyoming,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,0,60,0,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Wyoming,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Wyoming,Decedent's Home,02/01/2020,05/02/2020,0,475,0,18,0,0,
05/06/2020,Wyoming,Hospice Facility,02/01/2020,05/02/2020,0,126,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Wyoming,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,0,231,0,16,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Wyoming,Other,02/01/2020,05/02/2020,0,70,0,0,0,0,
05/06/2020,Wyoming,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Puerto Rico,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,63,0,0,0,0,0,
05/06/2020,Puerto Rico,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,10,0,0,0,0,0,
05/06/2020,Puerto Rico,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Puerto Rico,Decedent's Home,02/01/2020,05/02/2020,,0,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Puerto Rico,Hospice Facility,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Puerto Rico,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,,0,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Puerto Rico,Other,02/01/2020,05/02/2020,,0,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Puerto Rico,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
