File Number,Date,Source,Allegation,Status,Finding
17-0067,03/10/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0067,03/10/2017,External,Conduct Unbecoming,Completed,Corrective Action Taken
17-0009,01/17/2017,External,Maintenance of Property,Completed,Corrective Action Taken
17-0038,02/08/2017,External,Conformance to Law,Completed,No Corrective Action Tak
17-0120,05/31/2017,Internal,Use of Force,Active,
17-0120,05/31/2017,Internal,Neglect of Duty/Unsatisfactory Performance,Active,
16-0251,10/20/2016,External,Untruthful Statements,Active,
16-0251,10/20/2016,External,Conformance to Law,Active,
17-0120,05/31/2017,Internal,Conformance to Law,Active,
16-0251,10/20/2016,External,Conduct Unbecoming,Active,
17-0123,06/02/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
16-0078,04/14/2016,Internal,Abuse of Process,Completed,Administrative Closure
16-0078,04/14/2016,Internal,Conduct Unbecoming,Completed,Administrative Closure
17-0079,04/11/2017,Internal,Punctuality,Completed,Corrective Action Taken
17-0106,05/04/2017,External,Abuse of Authority,Completed,No Corrective Action Tak
17-0034,02/06/2017,Internal,Discrimination/Harassment,Completed,Administrative Closure
17-0115,05/18/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
17-0088,04/13/2017,External,Property,Completed,Corrective Action Taken
16-0078,04/14/2016,Internal,Conformance to Law Re: Criminal,Completed,Administrative Closure
16-0256,10/25/2016,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
16-0256,10/25/2016,Internal,Att to Duty/Use Alch-Drugs,Completed,Administrative Closure
17-0141,06/13/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
17-0096,04/27/2017,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
17-0101,05/02/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
16-0226,09/20/2016,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained
16-0226,09/20/2016,Internal,Conformance to Law,Completed,Sustained
16-0226,09/20/2016,Internal,Property,Completed,Sustained
17-0101,05/02/2017,External,Courtesy,Completed,Corrective Action Taken
17-0142,06/13/2017,External,,Completed,
17-0052,02/21/2017,Internal,Conformance to Law,Completed,Corrective Action Taken
17-0094,04/26/2017,External,Carry Credent/Identification,Completed,Corrective Action Taken
17-0145,06/27/2017,External,Conformance to Law,Completed,Declined
17-0094,04/26/2017,External,Maintenance of Property,Completed,Corrective Action Taken
16-0268,11/08/2016,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
17-0122,06/02/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0094,04/26/2017,External,Conformance to Law,Completed,Corrective Action Taken
17-0060,03/01/2017,Internal,Conduct Unbecoming,Completed,Administrative Closure
17-0084,04/12/2017,External,Conformance to Law,Completed,No Corrective Action Tak
17-0011,01/19/2017,Internal,Conformance to Law,Completed,Administrative Closure
17-0135,06/12/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
17-0060,03/01/2017,Internal,Discrimination/Harassment,Completed,Insufficent Evidence
17-0026,02/06/2017,External,Courtesy,Completed,Corrective Action Taken
17-0076,03/29/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
16-0268,11/08/2016,Internal,Use of Force,Completed,Unfounded
17-0144,06/26/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
17-0112,05/16/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
16-0042,03/01/2016,External,Use of Force,Completed,Administrative Closure
16-0042,03/01/2016,External,Abuse of Authority,Completed,Administrative Closure
17-0136,06/12/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
16-0242,10/13/2016,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
16-0206,09/01/2016,External,Untruthful Statements,Completed,Administrative Closure
16-0203,08/29/2016,External,Use of Force,Completed,Exonerated
16-0217,09/13/2016,Internal,Punctuality,Completed,Sustained
16-0228,09/20/2016,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
16-0203,08/29/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
16-0203,08/29/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated
16-0203,08/29/2016,External,Courtesy,Completed,Exonerated
17-0080,04/11/2017,Internal,Punctuality,Completed,No Corrective Action Tak
16-0217,09/13/2016,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained
16-0199,08/22/2016,External,Use of Force,Completed,Insufficent Evidence
17-0161,07/18/2017,External,Discrimination/Harassment,Completed,Declined
16-0199,08/22/2016,External,Use of Force,Completed,Exonerated
17-0020,02/01/2017,Internal,Use of Force,Completed,Exonerated
16-0199,08/22/2016,External,Courtesy,Completed,Insufficent Evidence
17-0160,07/18/2017,External,,Completed,
17-0020,02/01/2017,Internal,Conformance to Law,Completed,Exonerated
16-0199,08/22/2016,External,Use of Force,Completed,Unfounded
16-0199,08/22/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated
17-0137,06/13/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0151,06/30/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0131,06/12/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0118,05/22/2017,External,Conformance to Law,Completed,No Corrective Action Tak
17-0118,05/22/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0118,05/22/2017,External,Abuse of Authority,Completed,No Corrective Action Tak
17-0113,05/18/2017,External,Conformance to Law,Completed,Corrective Action Taken
17-0130,06/12/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
16-0140,06/22/2016,Internal,Conformance to Law,Completed,Sustained
17-0131,06/12/2017,External,Courtesy,Completed,No Corrective Action Tak
17-0072,03/21/2017,Internal,Conformance to Law,Completed,Corrective Action Taken
17-0148,06/27/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
16-0308,12/27/2016,Internal,Conformance to Law,Completed,Sustained
17-0121,06/02/2017,External,Carry Credent/Identification,Completed,No Corrective Action Tak
17-0126,06/06/2017,Internal,Abuse of Process,Completed,Corrective Action Taken
17-0134,06/12/2017,External,Courtesy,Completed,No Corrective Action Tak
17-0134,06/12/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
16-0308,12/27/2016,Internal,Maintenance of Property,Completed,Sustained
16-0208,09/06/2016,External,Discrimination/Harassment,Completed,Administrative Closure
17-0121,06/02/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0154,07/11/2017,External,Conformance to Law,Completed,No Corrective Action Tak
17-0147,06/27/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
17-0114,05/18/2017,External,Conformance to Law,Completed,Corrective Action Taken
16-0156,07/15/2016,External,Conformance to Law,Completed,Unfounded
17-0147,06/27/2017,External,Conduct Unbecoming,Completed,Corrective Action Taken
17-0165,07/24/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
16-0156,07/15/2016,External,Conduct Unbecoming,Completed,Unfounded
17-0182,08/17/2017,External,Use of Force,Completed,Declined
17-0157,07/13/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0164,07/24/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0119,05/30/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
17-0147,06/27/2017,External,Conformance to Law,Completed,Corrective Action Taken
17-0169,07/27/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0152,06/30/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
17-0154,07/11/2017,External,Conduct Unbecoming,Completed,No Corrective Action Tak
17-0180,08/17/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
17-0111,05/16/2017,External,Conformance to Law,Completed,No Corrective Action Tak
17-0133,06/12/2017,External,Conformance to Law,Completed,Corrective Action Taken
17-0147,06/27/2017,External,Courtesy,Completed,Corrective Action Taken
16-0156,07/15/2016,External,Use of Force,Completed,Unfounded
17-0133,06/12/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
16-0156,07/15/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded
17-0149,06/27/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
17-0188,08/21/2017,External,Carry Credent/Identification,Completed,Declined
17-0074,03/27/2017,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
17-0192,08/23/2017,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
17-0189,08/21/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
17-0196,08/24/2017,External,,Completed,
17-0176,08/15/2017,External,Conformance to Law,Completed,No Corrective Action Tak
17-0158,07/14/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0132,06/12/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
17-0190,08/21/2017,External,Conformance to Law,Completed,Declined
17-0074,03/27/2017,Internal,Property,Completed,Administrative Closure
17-0132,06/12/2017,External,Conformance to Law,Completed,Corrective Action Taken
17-0171,07/28/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0203,08/30/2017,External,Abuse of Process,Completed,Declined
17-0140,06/13/2017,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
16-0190,08/16/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
16-0216,09/12/2016,External,Conformance to Law,Completed,Administrative Closure
17-0146,06/27/2017,External,Abuse of Authority,Completed,No Corrective Action Tak
17-0150,06/27/2017,Internal,Punctuality,Completed,Corrective Action Taken
16-0009,01/12/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
17-0178,08/16/2017,External,Conformance to Law,Completed,Corrective Action Taken
17-0110,05/16/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0201,08/30/2017,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
17-0174,08/07/2017,External,Conformance to Law,Completed,Corrective Action Taken
17-0214,09/14/2017,External,Conformance to Law,Completed,Declined
16-0265,11/04/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
17-0162,07/19/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0146,06/27/2017,External,Courtesy,Completed,No Corrective Action Tak
17-0209,09/08/2017,Internal,Conformance to Law,Active,
17-0110,05/16/2017,External,Maintenance of Property,Completed,Corrective Action Taken
17-0163,07/24/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
17-0175,08/15/2017,External,Courtesy,Completed,Corrective Action Taken
16-0221,09/19/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
17-0177,08/15/2017,External,Conformance to Law,Completed,No Corrective Action Tak
17-0179,08/17/2017,External,Conformance to Law,Completed,No Corrective Action Tak
17-0211,09/11/2017,External,Courtesy,Completed,Declined
17-0155,07/11/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0155,07/11/2017,External,Conformance to Law,Completed,Corrective Action Taken
17-0226,09/25/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
17-0181,08/17/2017,External,Maintenance of Property,Completed,Administrative Closure
17-0199,08/29/2017,External,Courtesy,Completed,No Corrective Action Tak
17-0224,09/25/2017,External,Courtesy,Completed,Declined
17-0155,07/11/2017,External,Conformance to Law,Completed,No Corrective Action Tak
17-0199,08/29/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0207,09/06/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
17-0170,07/27/2017,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0167,07/25/2017,External,Conformance to Law,Completed,No Corrective Action Tak
17-0206,08/31/2017,External,Conformance to Law,Completed,Corrective Action Taken
17-0170,07/27/2017,Internal,Punctuality,Completed,No Corrective Action Tak
17-0155,07/11/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
17-0085,04/12/2017,Internal,Discrimination/Harassment,Completed,Corrective Action Taken
17-0172,08/07/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0225,09/25/2017,External,,Completed,
17-0195,08/23/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
16-0277,11/14/2016,External,Abuse of Process,Completed,Sustained
17-0159,07/18/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0200,08/30/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
16-0277,11/14/2016,External,Conformance to Law,Completed,Exonerated
16-0277,11/14/2016,External,Conduct Unbecoming,Completed,Sustained
17-0234,10/03/2017,External,,Completed,
17-0166,07/24/2017,Internal,Conduct Unbecoming,Completed,Insufficent Evidence
17-0184,08/21/2017,Internal,Maintenance of Property,Completed,Sustained
17-0223,09/25/2017,External,Courtesy,Completed,No Corrective Action Tak
17-0239,10/12/2017,Internal,Conformance to Law,Active,
17-0241,10/12/2017,External,,Completed,
17-0153,06/30/2017,External,Conformance to Law,Completed,No Corrective Action Tak
17-0116,05/19/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded
17-0202,08/30/2017,Internal,Punctuality,Completed,Corrective Action Taken
17-0232,10/02/2017,External,Conformance to Law,Completed,No Corrective Action Tak
17-0191,08/22/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0215,09/19/2017,External,Courtesy,Completed,Corrective Action Taken
17-0116,05/19/2017,External,Abuse of Process,Completed,Unfounded
17-0183,08/17/2017,External,Maintenance of Property,Completed,No Corrective Action Tak
17-0183,08/17/2017,External,Maintenance of Property,Completed,Corrective Action Taken
17-0217,09/19/2017,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
17-0222,09/20/2017,External,Conformance to Law,Completed,No Corrective Action Tak
17-0235,10/03/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0227,09/26/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0222,09/20/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0194,08/23/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0221,09/20/2017,External,Courtesy,Completed,No Corrective Action Tak
17-0235,10/03/2017,External,Maintenance of Property,Completed,No Corrective Action Tak
17-0259,11/09/2017,External,Conformance to Law,Completed,Declined
17-0216,09/19/2017,External,Courtesy,Completed,No Corrective Action Tak
16-0275,11/08/2016,External,Use of Force,Completed,Unfounded
16-0267,11/08/2016,Internal,Conformance to Law,Completed,Administrative Closure
16-0275,11/08/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded
16-0220,09/14/2016,Internal,Abuse of Process,Completed,Exonerated
16-0302,12/06/2016,External,Secondary Employment,Completed,Administrative Closure
16-0267,11/08/2016,Internal,Use of Force,Completed,Administrative Closure
16-0220,09/14/2016,Internal,Untruthful Statements,Completed,Exonerated
16-0220,09/14/2016,Internal,Conduct Unbecoming,Completed,Exonerated
16-0267,11/08/2016,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
16-0220,09/14/2016,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
16-0275,11/08/2016,External,Courtesy,Completed,Administrative Closure
17-0219,09/20/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0269,11/20/2017,External,,Completed,
17-0143,06/14/2017,Internal,Conduct Unbecoming,Completed,Administrative Closure
17-0267,11/17/2017,External,Discrim/Race/Sex,Completed,Declined
17-0021,02/01/2017,External,Abuse of Authority,Completed,Administrative Closure
17-0267,11/17/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
17-0220,09/20/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0274,11/30/2017,External,,Completed,
17-0276,11/30/2017,External,,Completed,
17-0275,11/30/2017,External,,Completed,
17-0255,10/31/2017,External,Courtesy,Completed,No Corrective Action Tak
17-0255,10/31/2017,External,,Completed,
17-0258,11/03/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0255,10/31/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0210,09/08/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
16-0266,11/08/2016,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained
17-0281,12/11/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
17-0286,12/14/2017,Internal,Use of Force,Active,
17-0260,11/09/2017,External,Conformance to Law,Completed,No Corrective Action Tak
16-0266,11/08/2016,Internal,Conduct Unbecoming,Completed,Sustained
17-0271,11/20/2017,External,Conformance to Law,Completed,No Corrective Action Tak
17-0030,02/06/2017,Internal,Conformance to Law,Completed,Insufficent Evidence
17-0236,10/03/2017,External,Conformance to Law,Completed,Corrective Action Taken
17-0030,02/06/2017,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Insufficent Evidence
17-0030,02/06/2017,Internal,Conduct Unbecoming,Completed,Insufficent Evidence
17-0156,07/11/2017,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained
17-0290,12/21/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
17-0156,07/11/2017,Internal,Punctuality,Completed,Sustained
17-0030,02/06/2017,Internal,Discrimination/Harassment,Completed,Insufficent Evidence
17-0294,12/21/2017,External,,Completed,
17-0291,12/21/2017,External,,Completed,
17-0256,10/31/2017,External,Courtesy,Completed,Corrective Action Taken
17-0254,10/31/2017,External,Courtesy,Completed,Corrective Action Taken
17-0296,12/27/2017,External,,Completed,
17-0270,11/20/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
18-0003,01/04/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
18-0004,01/08/2018,Internal,Conformance to Law,Active,
16-0088,04/21/2016,External,,Completed,
15-0221,12/08/2015,External,Use of Force,Completed,Exonerated
17-0053,02/27/2017,External,Use of Force,Completed,Exonerated
17-0053,02/27/2017,External,Courtesy,Completed,Administrative Closure
18-0005,01/12/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
17-0253,10/31/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
17-0287,12/15/2017,External,Conformance to Law,Completed,Corrective Action Taken
17-0053,02/27/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated
17-0053,02/27/2017,External,Courtesy,Completed,Exonerated
17-0053,02/27/2017,External,Conformance to Law,Completed,Exonerated
15-0221,12/08/2015,External,Conformance to Law,Completed,Exonerated
17-0229,10/02/2017,Internal,Use of Force,Completed,Administrative Closure
18-0013,01/23/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
17-0248,10/30/2017,External,Discrimination/Harassment,Completed,Administrative Closure
17-0139,06/13/2017,External,Courtesy,Completed,No Corrective Action Tak
17-0278,12/06/2017,Internal,Untruthful Statements,Completed,Administrative Closure
17-0282,12/11/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
17-0243,10/24/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
17-0069,03/16/2017,Internal,Conformance to Law,Completed,Sustained
17-0139,06/13/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0278,12/06/2017,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
17-0228,10/02/2017,Internal,Conformance to Law,Completed,Administrative Closure
17-0069,03/16/2017,Internal,Abuse of Process,Completed,Sustained
15-0073,04/24/2015,External,Abuse of Process,Completed,Administrative Closure
17-0266,11/16/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
17-0266,11/16/2017,External,Courtesy,Completed,Administrative Closure
17-0266,11/16/2017,External,Maintenance of Property,Completed,Administrative Closure
17-0295,12/21/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0218,09/20/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
17-0105,05/03/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained
17-0218,09/20/2017,External,Conformance to Law,Completed,Administrative Closure
17-0218,09/20/2017,External,Use of Force,Completed,Unfounded
17-0105,05/03/2017,External,Courtesy,Completed,Sustained
17-0105,05/03/2017,External,Use of Force,Completed,Sustained
17-0295,12/21/2017,External,Courtesy,Completed,No Corrective Action Tak
17-0249,10/30/2017,Internal,Use of Force,Completed,Unfounded
17-0129,06/12/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated
17-0129,06/12/2017,External,Conduct Unbecoming,Completed,Sustained
17-0051,02/21/2017,Internal,Conduct Unbecoming,Completed,Administrative Closure
16-0015,01/21/2016,Internal,Conduct Unbecoming,Completed,Sustained
17-0249,10/30/2017,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded
17-0129,06/12/2017,External,Use of Force,Completed,Exonerated
17-0129,06/12/2017,External,Discrimination/Harassment,Completed,Insufficent Evidence
16-0015,01/21/2016,Internal,Use of Force,Completed,Sustained
18-0025,02/13/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
17-0129,06/12/2017,External,Untruthful Statements,Completed,Sustained
17-0129,06/12/2017,External,Courtesy,Completed,Sustained
16-0015,01/21/2016,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained
17-0129,06/12/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained
17-0051,02/21/2017,Internal,Punctuality,Completed,Administrative Closure
18-0022,02/09/2018,External,Discrim/Race/Sex,Completed,Declined
17-0249,10/30/2017,Internal,Conformance to Law,Completed,Unfounded
17-0051,02/21/2017,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
17-0129,06/12/2017,External,Use of Force,Completed,Sustained
18-0006,01/12/2018,External,Courtesy,Completed,No Corrective Action Tak
17-0127,06/08/2017,External,Abuse of Authority,Completed,Exonerated
17-0127,06/08/2017,External,Conduct Unbecoming,Completed,Exonerated
18-0006,01/12/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0128,06/12/2017,External,Conformance to Law,Completed,Unfounded
17-0280,12/11/2017,Internal,Discrimination/Harassment,Completed,Insufficent Evidence
18-0010,01/23/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0280,12/11/2017,Internal,Conduct Unbecoming,Completed,Insufficent Evidence
18-0039,02/28/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
17-0128,06/12/2017,External,Use of Force,Completed,Unfounded
17-0283,12/11/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
17-0273,11/27/2017,External,,Completed,
18-0017,02/06/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0008,01/17/2017,External,,Completed,
18-0011,01/23/2018,External,Maintenance of Property,Completed,No Corrective Action Tak
14-0247,12/23/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded
17-0250,10/30/2017,Internal,Discrim/Race/Sex,Completed,Administrative Closure
16-0284,11/16/2016,Internal,Use of Force,Completed,Sustained
16-0284,11/16/2016,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained
18-0020,02/08/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0233,10/02/2017,Internal,Conformance to Law,Completed,Insufficent Evidence
14-0247,12/23/2014,External,Conformance to Law,Completed,Unfounded
14-0247,12/23/2014,External,Courtesy,Completed,Unfounded
17-0124,06/02/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
18-0032,02/21/2018,External,Maintenance of Property,Completed,No Corrective Action Tak
17-0244,10/30/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded
17-0124,06/02/2017,External,Conformance to Law,Completed,Exonerated
18-0045,03/19/2018,Internal,Conduct Unbecoming,Active,
18-0018,02/06/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
18-0012,01/23/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
17-0124,06/02/2017,External,Courtesy,Completed,Administrative Closure
17-0277,11/30/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
18-0032,02/21/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0244,10/30/2017,External,Conformance to Law,Completed,Administrative Closure
17-0299,01/03/2018,External,Conformance to Law,Completed,No Corrective Action Tak
18-0002,01/04/2018,External,Conformance to Law,Completed,No Corrective Action Tak
17-0297,12/29/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
18-0033,02/21/2018,External,Courtesy,Completed,No Corrective Action Tak
18-0052,03/29/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
17-0297,12/29/2017,External,Courtesy,Completed,No Corrective Action Tak
18-0026,02/13/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0297,12/29/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
18-0052,03/29/2018,External,Conformance to Law,Completed,Declined
18-0033,02/21/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
18-0059,04/04/2018,External,Conduct Unbecoming,Active,
17-0197,08/24/2017,External,Conduct Unbecoming,Completed,Unfounded
18-0059,04/04/2018,External,Use of Force,Active,
17-0197,08/24/2017,External,Use of Force,Completed,Exonerated
17-0197,08/24/2017,External,Use of Force,Completed,Unfounded
18-0058,04/03/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
18-0042,03/12/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
17-0197,08/24/2017,External,Courtesy,Completed,Insufficent Evidence
17-0247,10/30/2017,External,Use of Force,Completed,Unfounded
17-0093,04/26/2017,Internal,Conformance to Law,Completed,Unfounded
17-0093,04/26/2017,Internal,Use of Force,Completed,Exonerated
17-0186,08/21/2017,External,Use of Force,Completed,Unfounded
18-0065,04/19/2018,Internal,Punctuality,Active,
17-0109,05/15/2017,Internal,Conduct Unbecoming,Completed,Sustained
17-0173,08/07/2017,External,Conformance to Law,Completed,Administrative Closure
18-0040,02/28/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded
18-0040,02/28/2018,External,Discrim/Race/Sex,Completed,Unfounded
18-0083,05/10/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
18-0082,05/10/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
18-0081,05/10/2018,External,Conformance to Law,Completed,Declined
18-0050,03/26/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
17-0257,11/02/2017,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
