Reporting Area,MMWR Year,MMWR Week,"Rabies, Animal, Current week","Rabies, Animal, Current week, flag","Rabies, Animal, Previous 52 weeks Max†","Rabies, Animal, Previous 52 weeks Max†, flag","Rabies, Animal, Cum 2019†","Rabies, Animal, Cum 2019†, flag","Rabies, Animal, Cum 2018†","Rabies, Animal, Cum 2018†, flag","Rabies, Human, Current week","Rabies, Human, Current week, flag","Rabies, Human, Previous 52 weeks Max†","Rabies, Human, Previous 52 weeks Max†, flag","Rabies, Human, Cum 2019†","Rabies, Human, Cum 2019†, flag","Rabies, Human, Cum 2018†","Rabies, Human, Cum 2018†, flag",Location 1,Location 2
ALABAMA,2019,7,,-,4,,5,,2,,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
SOUTH CAROLINA,2019,7,,N,,NC,,N,,N,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
OHIO,2019,7,,-,6,,2,,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
NEW HAMPSHIRE,2019,7,,-,3,,2,,5,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
COLORADO,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
ALASKA,2019,7,,-,2,,1,,,-,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
DELAWARE,2019,7,,-,0,,,-,,-,,-,1,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
VIRGINIA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
US RESIDENTS,2019,7,18,,75,,143,,294,,,-,1,,,-,1,,,US RESIDENTS
CALIFORNIA,2019,7,,-,9,,3,,12,,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
NEW JERSEY,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
FLORIDA,2019,7,2,,6,,19,,134,,,-,0,,,-,1,,"FLORIDA
(28.915325, -81.922409)",
NEW YORK,2019,7,13,,29,,45,,60,,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
MIDDDLE ATLANTIC,2019,7,13,,29,,45,,60,,,-,0,,,-,,-,,MIDDDLE ATLANTIC
DISTRICT OF COLUMBIA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
WEST NORTH CENTRAL,2019,7,,-,5,,5,,6,,,-,0,,,-,,-,,WEST NORTH CENTRAL
MISSOURI,2019,7,,-,4,,1,,,-,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
MAINE,2019,7,,-,5,,5,,6,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NORTH DAKOTA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
WASHINGTON,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
UTAH,2019,7,,-,2,,,-,,-,,-,1,,,-,,-,"UTAH
(39.359772, -111.584173)",
NEW MEXICO,2019,7,,-,2,,1,,2,,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
ARIZONA,2019,7,,N,,NC,,N,,N,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
TOTAL,2019,7,18,,75,,143,,294,,,-,1,,,-,1,,,TOTAL
WYOMING,2019,7,,-,4,,3,,2,,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEW ENGLAND,2019,7,,-,13,,8,,20,,,-,0,,,-,,-,,NEW ENGLAND
GEORGIA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
EAST NORTH CENTRAL,2019,7,,-,24,,5,,2,,,-,0,,,-,,-,,EAST NORTH CENTRAL
MINNESOTA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NEW YORK CITY,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
LOUISIANA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
IDAHO,2019,8,,-,3,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
NORTHERN MARIANA ISLANDS,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
VERMONT,2019,8,,-,5,,,-,1,,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
US TERRITORIES,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
NEW YORK,2019,8,5,,29,,50,,64,,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
US RESIDENTS,2019,8,28,,75,,167,,320,,,-,1,,,-,1,,,US RESIDENTS
MASSACHUSETTS,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
MISSOURI,2019,8,,-,4,,1,,,-,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
TEXAS,2019,8,,-,15,,,-,12,,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
NEBRASKA,2019,8,,-,3,,,-,2,,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
WISCONSIN,2019,8,,N,,NC,,N,,N,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
ILLINOIS,2019,8,,-,13,,3,,,-,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
CALIFORNIA,2019,8,,-,9,,3,,15,,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
RHODE ISLAND,2019,8,,-,3,,,-,3,,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
ARIZONA,2019,8,,N,,NC,,N,,N,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
OREGON,2019,8,,-,3,,,-,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
SOUTH CAROLINA,2019,8,,N,,NC,,N,,N,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
ALABAMA,2019,8,,-,4,,5,,3,,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
KANSAS,2019,8,,-,3,,4,,2,,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
ALASKA,2019,8,,-,2,,1,,,-,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MARYLAND,2019,8,7,,11,,32,,25,,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
TOTAL,2019,8,28,,75,,167,,320,,,-,1,,,-,1,,,TOTAL
EAST SOUTH CENTRAL,2019,8,,-,8,,6,,4,,,-,0,,,-,,-,,EAST SOUTH CENTRAL
DELAWARE,2019,8,,-,0,,,-,,-,,-,1,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
IOWA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
WEST NORTH CENTRAL,2019,8,,-,5,,5,,6,,,-,0,,,-,,-,,WEST NORTH CENTRAL
OHIO,2019,8,,-,6,,2,,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
MISSISSIPPI,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
KENTUCKY,2019,8,,-,8,,1,,1,,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
FLORIDA,2019,8,10,,3,,20,,134,,,-,0,,,-,1,,"FLORIDA
(28.915325, -81.922409)",
PENNSYLVANIA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
AMERICAN SAMOA,2019,8,,U,,NC,,U,,U,,-,0,,,-,,-,,AMERICAN SAMOA
NEW HAMPSHIRE,2019,8,,-,3,,2,,5,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
CONNECTICUT,2019,8,,-,3,,1,,8,,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
WYOMING,2019,8,,-,4,,3,,2,,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
ARKANSAS,2019,8,,-,3,,1,,2,,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
SOUTH ATLANTIC,2019,8,23,,24,,80,,186,,,-,1,,,-,1,,,SOUTH ATLANTIC
UTAH,2019,8,,-,2,,,-,,-,,-,1,,,-,,-,"UTAH
(39.359772, -111.584173)",
COLORADO,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
MOUNTAIN,2019,8,,-,6,,4,,4,,,-,1,,,-,,-,,MOUNTAIN
WASHINGTON,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
NEW JERSEY,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
DISTRICT OF COLUMBIA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NORTH CAROLINA,2019,8,6,,17,,23,,27,,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
MAINE,2019,8,,-,5,,5,,7,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEVADA,2019,8,,-,2,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MONTANA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
OKLAHOMA,2019,8,,-,8,,3,,1,,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
EAST NORTH CENTRAL,2019,8,,-,24,,6,,2,,,-,0,,,-,,-,,EAST NORTH CENTRAL
NON-US RESIDENTS,2019,8,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
NORTH DAKOTA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
PUERTO RICO,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MIDDDLE ATLANTIC,2019,8,5,,29,,50,,64,,,-,0,,,-,,-,,MIDDDLE ATLANTIC
PACIFIC,2019,8,,-,9,,4,,15,,,-,0,,,-,,-,,PACIFIC
GEORGIA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
U.S. VIRGIN ISLANDS,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
WEST SOUTH CENTRAL,2019,8,,-,15,,4,,15,,,-,0,,,-,,-,,WEST SOUTH CENTRAL
SOUTH DAKOTA,2019,8,,-,2,,,-,2,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MICHIGAN,2019,8,,-,7,,1,,2,,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
NEW ENGLAND,2019,8,,-,13,,8,,24,,,-,0,,,-,,-,,NEW ENGLAND
INDIANA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
WEST VIRGINIA,2019,8,,-,10,,5,,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
GUAM,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
HAWAII,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NEW MEXICO,2019,8,,-,2,,1,,2,,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
TENNESSEE,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
VIRGINIA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
NEW YORK,2019,9,20,,29,,70,,75,,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
VERMONT,2019,9,,-,5,,,-,2,,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NORTH CAROLINA,2019,9,9,,17,,32,,29,,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
TENNESSEE,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
GUAM,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
OHIO,2019,9,1,,6,,3,,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
MISSOURI,2019,9,,-,4,,1,,,-,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
TEXAS,2019,9,,-,15,,,-,14,,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
ILLINOIS,2019,9,,-,13,,3,,,-,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
MISSISSIPPI,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
ARIZONA,2019,9,,N,,NC,,N,,N,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
UTAH,2019,9,,-,2,,,-,,-,,-,1,,,-,,-,"UTAH
(39.359772, -111.584173)",
U.S. VIRGIN ISLANDS,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
SOUTH DAKOTA,2019,9,,-,2,,,-,2,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
WASHINGTON,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
DELAWARE,2019,9,,-,0,,,-,,-,,-,1,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
OREGON,2019,9,,-,3,,,-,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
ALASKA,2019,9,,-,2,,1,,1,,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
OKLAHOMA,2019,9,3,,8,,6,,1,,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
COLORADO,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
WISCONSIN,2019,9,,N,,NC,,N,,N,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
NEW ENGLAND,2019,9,2,,13,,10,,27,,,-,0,,,-,,-,,NEW ENGLAND
MARYLAND,2019,9,5,,11,,37,,35,,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
NEBRASKA,2019,9,,-,3,,,-,3,,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
SOUTH CAROLINA,2019,9,,N,,NC,,N,,N,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
PENNSYLVANIA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
MASSACHUSETTS,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW HAMPSHIRE,2019,9,1,,3,,3,,6,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
SOUTH ATLANTIC,2019,9,17,,24,,97,,198,,,-,1,,,-,1,,,SOUTH ATLANTIC
MIDDLE ATLANTIC,2019,9,20,,29,,70,,75,,,-,0,,,-,,-,MIDDLE ATLANTIC,
NEW JERSEY,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
MOUNTAIN,2019,9,,-,6,,4,,4,,,-,1,,,-,,-,,MOUNTAIN
WEST NORTH CENTRAL,2019,9,1,,5,,6,,8,,,-,0,,,-,,-,,WEST NORTH CENTRAL
CONNECTICUT,2019,9,,-,3,,1,,8,,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
AMERICAN SAMOA,2019,9,,U,,NC,,U,,U,,-,0,,,-,,-,,AMERICAN SAMOA
NEW MEXICO,2019,9,,-,2,,1,,2,,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
EAST NORTH CENTRAL,2019,9,1,,24,,7,,2,,,-,0,,,-,,-,,EAST NORTH CENTRAL
IDAHO,2019,9,,-,3,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
KENTUCKY,2019,9,,-,8,,1,,1,,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
NON-US RESIDENTS,2019,9,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
PACIFIC,2019,9,1,,9,,5,,16,,,-,0,,,-,,-,,PACIFIC
US RESIDENTS,2019,9,45,,75,,212,,354,,,-,1,,,-,1,,,US RESIDENTS
MOUNTAIN,2019,11,,-,6,,4,,5,,,-,1,,,-,,-,,MOUNTAIN
ALABAMA,2019,9,,-,4,,5,,6,,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
MONTANA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
WYOMING,2019,9,,-,4,,3,,2,,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MICHIGAN,2019,9,,-,7,,1,,2,,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
US TERRITORIES,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
CALIFORNIA,2019,9,1,,9,,4,,15,,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
FLORIDA,2019,9,2,,10,,22,,134,,,-,0,,,-,1,,"FLORIDA
(28.915325, -81.922409)",
NORTHERN MARIANA ISLANDS,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
INDIANA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
ARKANSAS,2019,9,,-,3,,1,,2,,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
WEST VIRGINIA,2019,9,1,,10,,6,,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MINNESOTA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NORTH DAKOTA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
LOUISIANA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
PUERTO RICO,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
EAST SOUTH CENTRAL,2019,9,,-,8,,6,,7,,,-,0,,,-,,-,,EAST SOUTH CENTRAL
DISTRICT OF COLUMBIA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
GEORGIA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MAINE,2019,9,1,,5,,6,,8,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
WEST SOUTH CENTRAL,2019,9,3,,15,,7,,17,,,-,0,,,-,,-,,WEST SOUTH CENTRAL
IOWA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
VIRGINIA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
KANSAS,2019,9,1,,3,,5,,3,,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
HAWAII,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
TOTAL,2019,9,45,,75,,212,,354,,,-,1,,,-,1,,,TOTAL
RHODE ISLAND,2019,9,,-,3,,,-,3,,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEW YORK CITY,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
NEVADA,2019,9,,-,2,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MICHIGAN,2019,10,,-,7,,1,,2,,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
US RESIDENTS,2019,10,27,,82,,243,,422,,,-,1,,,-,1,,,US RESIDENTS
VERMONT,2019,10,,-,5,,,-,3,,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
ALABAMA,2019,10,2,,4,,7,,6,,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
LOUISIANA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
ILLINOIS,2019,10,,-,13,,3,,,-,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
NEBRASKA,2019,10,,-,3,,,-,4,,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MONTANA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
IOWA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
TOTAL,2019,10,27,,82,,243,,422,,,-,1,,,-,1,,,TOTAL
NORTH CAROLINA,2019,10,9,,17,,41,,36,,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
TEXAS,2019,10,,-,15,,,-,14,,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
WISCONSIN,2019,10,,N,,NC,,N,,N,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
SOUTH DAKOTA,2019,10,,-,2,,,-,2,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
COLORADO,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
KENTUCKY,2019,10,,-,8,,1,,1,,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
ALASKA,2019,10,,-,2,,1,,1,,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
KANSAS,2019,10,2,,3,,7,,3,,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
MARYLAND,2019,10,6,,11,,43,,38,,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
SOUTH CAROLINA,2019,10,,N,,NC,,N,,N,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
WEST VIRGINIA,2019,10,,-,10,,6,,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
UTAH,2019,10,,-,2,,,-,,-,,-,1,,,-,,-,"UTAH
(39.359772, -111.584173)",
WEST SOUTH CENTRAL,2019,10,,-,15,,7,,17,,,-,0,,,-,,-,,WEST SOUTH CENTRAL
ARIZONA,2019,10,,N,,NC,,N,,N,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
MISSISSIPPI,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NON-US RESIDENTS,2019,10,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
FLORIDA,2019,10,,-,10,,25,,134,,,-,0,,,-,1,,"FLORIDA
(28.915325, -81.922409)",
MISSOURI,2019,10,,-,4,,1,,,-,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
NEW JERSEY,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
EAST SOUTH CENTRAL,2019,10,2,,8,,8,,7,,,-,0,,,-,,-,,EAST SOUTH CENTRAL
HAWAII,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
GEORGIA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
VIRGINIA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
OHIO,2019,10,1,,6,,3,,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
PUERTO RICO,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MOUNTAIN,2019,10,,-,6,,4,,5,,,-,1,,,-,,-,,MOUNTAIN
WASHINGTON,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
DELAWARE,2019,10,,-,0,,,-,,-,,-,1,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MASSACHUSETTS,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW YORK,2019,10,7,,29,,77,,87,,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
NORTH DAKOTA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MIDDLE ATLANTIC,2019,10,7,,36,,77,,129,,,-,0,,,-,,-,MIDDLE ATLANTIC,
WYOMING,2019,10,,-,4,,3,,3,,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
CALIFORNIA,2019,10,,-,9,,4,,15,,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
US TERRITORIES,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
NEVADA,2019,10,,-,2,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MAINE,2019,10,,-,5,,6,,9,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
INDIANA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
OREGON,2019,10,,-,3,,,-,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
U.S. VIRGIN ISLANDS,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
WEST NORTH CENTRAL,2019,10,2,,5,,8,,9,,,-,0,,,-,,-,,WEST NORTH CENTRAL
NEW ENGLAND,2019,10,,-,13,,12,,29,,,-,0,,,-,,-,,NEW ENGLAND
GUAM,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NORTHERN MARIANA ISLANDS,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MINNESOTA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
AMERICAN SAMOA,2019,10,,U,,NC,,U,,U,,-,0,,,-,,-,,AMERICAN SAMOA
OKLAHOMA,2019,10,,-,8,,6,,1,,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
SOUTH ATLANTIC,2019,10,15,,24,,115,,208,,,-,1,,,-,1,,,SOUTH ATLANTIC
TENNESSEE,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
RHODE ISLAND,2019,10,,-,3,,,-,3,,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
IDAHO,2019,10,,-,3,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
PACIFIC,2019,10,,-,9,,5,,16,,,-,0,,,-,,-,,PACIFIC
NEW MEXICO,2019,10,,-,2,,1,,2,,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
