Business Name,Industry,Complaint Type,Mediation Start Date,Mediation Close Date,Complaint Result,Satisfaction,Restitution,Business Building,Business Street,Building Address Unit,Business City,Business State,Business Zip,Complainant Zip ,Longitude,Latitude
"SYNERGETIC COMMUNICATION, INC.",Debt Collection Agency - 122,Billing Dispute - B02,02/28/2019,04/08/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,5450,NW CENTRAL DR,220,HOUSTON,TX,77092,10016,,
88 LAN ZHOU HANDMADE NOODLES,Restaurant - 818,,08/19/2019,09/09/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,40,BOWERY,,NEW YORK,NY,10013,,-73.99647567168782,40.71560029126878
MOBILESHACK INC,Electronic Store - 001,Surcharge/Overcharge - S02,01/21/2020,03/13/2020,Advised to Sue - ATS,No,0.00,566,FASHION AVE,,NEW YORK,NY,10018,,,
"BOB'S DISCOUNT FURNITURE, LLC",Furniture Sales - 242,Breach of Warranty - B04,07/15/2019,07/26/2019,Goods Repaired - GRS,Yes,0.00,428,TOLLAND TPKE,,MANCHESTER,CT,06042,11209,-74.02239272252926,40.625618916436515
ROOSEVELT ROOFING & SHEET METAL WORKS INC.,Home Improvement Contractor - 100,Quality of Work - Q01,08/27/2019,09/17/2019,Consumer Took Action - CTA,No,0.00,53-69,69TH ST,STE A,MASPETH,NY,11378,11379,-73.88413382578152,40.715478909294674
VOICEAIR OF WHITE PLAINS RD INC,Electronic Store - 001,Damaged Goods - D01,02/11/2020,03/11/2020,Resolved and Consumer Satisfied - SPF,Yes,0.00,490,HEMPSTEAD TPKE,,ELMONT,NY,11003,10031,-73.86767848033799,40.85482238641649
"JENNIFER CONVERTIBLES, INC.",Furniture Sales - 242,Non-Delivery of Service - N02,09/26/2019,11/15/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,335,CROSSWAYS PARK DR,,WOODBURY,NY,11797,11221,,
RAKESH IRON WORKS INC,Home Improvement Contractor - 100,Quality of Work - Q01,06/07/2019,07/11/2019,No Business Response - NVR,No,0.00,8728,130TH ST,,RICHMOND HILL,NY,11418,11435,,
FINE FARE SUPERMARKET,Supermarket - 819,Billing Dispute - B02,03/03/2020,03/11/2020,Resolved and Consumer Satisfied - SPF,Yes,0.00,4211,BROADWAY,,NEW YORK,NY,10033,,-73.93744729269862,40.84861515235418
RUN THE KING INC.,Other,Misrepresentation - M01,03/05/2020,04/09/2020,Resolved and Consumer Satisfied - SPF,Yes,0.00,5021,6TH AVE,,BROOKLYN,NY,11220,11218,,
395 PARKING CORP.,Garage - 049,Surcharge/Overcharge - S02,02/24/2020,02/27/2020,Resolved and Consumer Satisfied - SPF,Yes,0.00,250,W 26TH ST,,NEW YORK,NY,10001,10301,-73.99715723654015,40.72062047581801
ELITE FURNITURE INC.,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,12/06/2018,01/03/2019,Advised to Sue - ATS,No,0.00,1727,UNIVERSITY AVE,,BRONX,NY,10453,10453,-73.91652510172248,40.84973272868612
CAMILO TOWING & RECOVERY,Tow Truck Company - 124,Misrepresentation - M01,12/03/2019,12/11/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,11704,SUTPHIN BLVD,,JAMAICA,NY,11434,,-73.79206259447189,40.680345314501594
EXCELLENCE AUTO TRADER 1 CORP,Secondhand Dealer Auto - 005,Breach of Contract - B03,09/04/2019,10/25/2019,No Satisfactory Agreement - NSA,No,0.00,1072,ATLANTIC AVE,,BROOKLYN,NY,11238,11385,-73.95766593504875,40.67969100356694
TOURS ARE US NYC,Sightseeing Bus - 078,Non-Delivery of Service - N02,01/22/2019,02/04/2019,No Business Response - NVR,No,0.00,299,SOUTH ST,,NEW YORK,NY,10002,60448,-73.98619593233396,40.71050798467946
GO LAUNDRY INC.,Laundry - 064,Damaged Goods - D01,07/09/2019,07/24/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,1915,HOBART AVE,,BRONX,NY,10461,10469,-73.8432660518856,40.86152456396663
XIANG HE INC,Misc Non-Food Retail - 817,Receipt Incomplete/Not Given,08/05/2019,08/20/2019,Cash Amount - AMT,Yes,17.00,2225,86TH ST,,BROOKLYN,NY,11214,11354,-73.9931542435053,40.60155454278844
BEN & NINO AUTO REPAIR INC.,Tow Truck Company - 124,Misrepresentation - M01,05/03/2019,06/26/2019,Cash Amount - AMT,Yes,68.00,2449,CONEY ISLAND AVE,,BROOKLYN,NY,11223,11220,,
,Home Improvement Contractor - 100,Quality of Work - Q01,10/24/2019,11/15/2019,Advised to Sue - ATS,No,0.00,,,,,,,11103,,
RED HOOK RECOVERY INC,Tow Truck Company - 124,Billing Dispute - B02,02/11/2020,04/02/2020,Cash Amount - AMT,Yes,110.00,168,CENTRE ST,,BROOKLYN,NY,11231,11232,-74.00484919811255,40.6796547728716
HAMILTON DISCOUNT WINE & LIQUOR,Misc Non-Food Retail - 817,Surcharge/Overcharge - S02,06/03/2019,06/05/2019,Referred to Outside - RTO,NA,0.00,3607,BROADWAY,,NEW YORK,NY,10031,10031,-73.94888453151621,40.82859263865725
ELEVEN CONSIGNMENT BOUTIQUE,Secondhand Dealer [General] - 006,Misrepresentation - M01,11/27/2019,01/03/2020,Referred to Outside - RTO,NA,0.00,180,1ST AVE,,NEW YORK,NY,10009,,-73.9840524788352,40.72927637104838
D. J. LIMOUSINE CAR SERVICE INC.,Secondhand Dealer Auto - 005,Damaged Goods - D01,12/28/2018,01/11/2019,Referred to Outside - RTO,NA,0.00,2113,39TH AVE,,LONG IS CITY,NY,11101,08611,-73.9398079027396,40.75637439456264
26 MOTORS CORP,Secondhand Dealer Auto - 005,Misrepresentation - M01,10/24/2019,12/06/2019,Advised to Sue - ATS,No,0.00,3981,BOSTON RD,,BRONX,NY,10466,10461,,
93RD STREET PARKING LLC,Garage - 049,Damage / Estimate,10/02/2019,10/17/2019,Cash Amount - AMT,Yes,655.00,270,MADISON AVE,2,NEW YORK,NY,10016,10025,-73.96899269831871,40.79095592555643
VERIZON WIRELESS,Misc Non-Food Retail - 817,Surcharge/Overcharge - S02,08/06/2019,09/13/2019,Referred to Outside - RTO,NA,0.00,140,WEST ST,,NEW YORK,NY,10007,10312,,
LIC MOTOR GROUP LLC,Secondhand Dealer Auto - 005,Breach of Warranty - B04,12/20/2019,01/24/2020,Resolved and Consumer Satisfied - SPF,Yes,0.00,4605,NORTHERN BLVD,,LONG ISLAND CITY,NY,11101,11223,-73.91632036981859,40.75388396565878
"BOB'S DISCOUNT FURNITURE, LLC",Furniture Sales - 242,Damaged Goods - D01,07/23/2019,08/07/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,428,TOLLAND TPKE,,MANCHESTER,CT,06042,10032,-73.93240828404274,40.795633766410916
LDF CONSTRUCTION CORP.,Home Improvement Contractor - 100,Breach of Contract - B03,02/26/2020,04/13/2020,Unable to Locate Business - ULV,NA,0.00,10,W 14TH ST,,HUNTINGTN STA,NY,11746,10007,,
BRYON H PELICO,Home Improvement Contractor - 100,Breach of Contract - B03,01/30/2020,03/06/2020,Advised to Sue - ATS,No,0.00,1335,CENTRAL AVE,,FAR ROCKAWAY,NY,11691,11426,-73.74977248577547,40.60698604714464
"1-800-FLOWERS.COM, INC.",Other,Non-Delivery of Service - N02,02/18/2020,02/26/2020,Credit Card Refund and/or Contract Cancelled - CRC,Yes,122.00,1,OLD COUNTRY RD,500,CARLE PLACE,NY,11514,,-73.89113569640881,40.75074488262595
PGA HOME RENOVATIONS CORPORATION,Home Improvement Contractor - 100,Outstanding Judgment - J01,03/13/2020,04/23/2020,Referred to Hearing - RTH,No,0.00,4370,RICHMOND AVE,,STATEN ISLAND,NY,10312,11234,,
"QVC, INC.",Misc Non-Food Retail - 817,Other - Z01,11/25/2019,12/27/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,1200,WILSON DR,,WEST CHESTER,PA,19380,11234,,
"AT&T MOBILITY SUPPLY, LLC",Electronic Store - 001,Billing Dispute - B02,07/17/2019,09/05/2019,No Consumer Response - NCR,NA,0.00,1010,N SAINT MARYS ST,9,SAN ANTONIO,TX,78215,11373,,
NEW YORK SPORTS CLUB,Misc Non-Food Retail - 817,Billing Dispute - B02,09/10/2019,10/10/2019,Referred to Outside - RTO,NA,0.00,5,PENN PLZ,4,NEW YORK,NY,10001,10032,,
PNP AUTOMOTIVE INC.,Secondhand Dealer [General] - 006,Defective Goods - D02,02/14/2020,03/02/2020,No Satisfactory Agreement - NSA,No,0.00,1931,FLUSHING AVE,,RIDGEWOOD,NY,11385,10306,-73.91754775666922,40.71289742039837
SYLVAN TOWER GARAGE LLC,Garage - 049,Misrepresentation - M01,07/03/2019,08/12/2019,Referred to Outside - RTO,NA,0.00,13633,37TH AVE,,FLUSHING,NY,11354,11362,,
AMIS DISCOUNT FURNITURE,Furniture Sales - 242,Non-Delivery of Goods - N01,03/06/2020,04/07/2020,No Satisfactory Agreement - NSA,No,0.00,,,,,,,10472,-73.94240612943103,40.79465932713425
"DIBENEDETTO, SALVATORE",Home Improvement Contractor - 100,Quality of Work - Q01,07/03/2019,08/02/2019,Advised to Sue - ATS,No,0.00,87,JOHNSON PL,,OCEANSIDE,NY,11572,11385,,
REGAL RENOVATIONS CORPORATION,Home Improvement Contractor - 100,Non-Delivery of Service - N02,06/05/2019,06/28/2019,Referred to Hearing - RTH,No,0.00,651,E 57TH ST,,BROOKLYN,NY,11234,10016,,
JOSEPH DUMOUCHELLE,Auctioneer - 036,Breach of Contract - B03,01/03/2020,02/13/2020,Referred to Outside - RTO,NA,0.00,580,5TH AVE,,NEW YORK,NY,10036,22312,,
"PLAZA MOTORS OF BROOKLYN, INC.",Secondhand Dealer Auto - 005,Breach of Contract - B03,12/06/2019,12/09/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,2740,NOSTRAND AVE,,BROOKLYN,NY,11210,,-73.94525992802818,40.618177913942525
CITY FURNITURE DECOR INC.,Furniture Sales - 242,Damaged Goods - D01,02/14/2019,03/21/2019,No Business Response - NVR,No,0.00,40,W 116TH ST,,NEW YORK,NY,10026,10027,-73.94794472712037,40.80128224625127
"QUEENS AUTO MALL, INC.",Secondhand Dealer Auto - 005,Misrepresentation - M01,04/23/2019,04/24/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,13401,ATLANTIC AVE,,RICHMOND HILL,NY,11418,,-73.81520661091679,40.69691111040111
DIG YOU OUT,Home Improvement Contractor - 100,Non-Delivery of Service - N02,06/13/2019,07/23/2019,Advised to Sue - ATS,No,0.00,20,SPRUCE CT,,STATEN ISLAND,NY,10307,11210,-74.23354432351636,40.50983541278047
J & C TOW SERVICES INC.,Tow Truck Company - 124,,09/26/2019,10/16/2019,Cash Amount - AMT,Yes,125.00,9,WOODHULL ST,,BROOKLYN,NY,11231,,-73.95096657295151,40.729560724359764
FOODTOWN SUPERMARKET-AMSTERDAM AVE,Supermarket - 819,Advertising/Non-Availability - A03,05/07/2019,06/10/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,145,TALMADGE RD,,EDISON,NJ,08817,10025,-73.95690951460936,40.812514612861335
BLINK FITNESS,Health Spa - 839,,01/15/2020,02/21/2020,No Satisfactory Agreement - NSA,No,0.00,5527,MYRTLE AVE,,RIDGEWOOD,NY,11385,11385,-73.90766765103145,40.69996207416584
PETRO HOME SERVICE,Fuel Oil Dealer - 814,Non-Delivery of Goods - N01,02/25/2020,04/20/2020,Unable to Locate Business - ULV,NA,0.00,5560,58TH ST,,MASPETH,NY,11378,11355,-73.91223881050857,40.72600247262973
"FIRST CREDIT SERVICES, INC.",Debt Collection Agency - 122,Billing Dispute - B02,01/11/2019,01/28/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,377,HOES LN,200,PISCATAWAY,NJ,08854,10075,,
NEW YORK SPORTS CLUB,Health Spa - 839,Surcharge/Overcharge - S02,08/16/2019,09/12/2019,Advised to Sue - ATS,No,0.00,5,PENN PLZ,4,NEW YORK,NY,10001,10025,,
,Home Improvement Contractor - 100,Breach of Contract - B03,11/29/2019,01/06/2020,Unable to Locate Business - ULV,NA,0.00,,,,,,,11426,,
"PHOENIX FINANCIAL SERVICES, LLC",Debt Collection Agency - 122,,08/16/2019,09/10/2019,Bill Reduced - BLR,Yes,1088.00,70,MANSELL CT,250,ROSWELL,GA,30076,11378,-73.89044753727838,40.732458685073105
"STUDIO PAWN, INC",Pawnbroker - 080,Exchange Goods/Contract Cancelled - E01,12/13/2019,12/31/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,2240,BARTOW AVE,,BRONX,NY,10475,,-73.82279512713669,40.86889465748113
S&K CONTRACTING,Home Improvement Contractor - 100,Damaged Goods - D01,08/22/2019,09/10/2019,Advised to Sue - ATS,No,0.00,555,E 5TH ST,B3,BROOKLYN,NY,11218,,,
FALCONES CONSTRUCTION NY CORP.,Home Improvement Contractor - 100,Quality of Work - Q01,03/22/2019,04/09/2019,Goods Repaired - GRS,Yes,250.00,318,HARMAN ST,2A,BROOKLYN,NY,11237,11208,,
BIG JOHNS CHIMMEY AND ROOFING,Home Improvement Contractor - 100,Damaged Goods - D01,03/13/2020,04/15/2020,Unable to Locate Business - ULV,NA,0.00,258,LINCOLN RD,,BROOKLYN,NY,11225,11208,,
"CITY DRYWALL & CONTRACTIN, CORP",Home Improvement Contractor - 100,,08/01/2019,09/11/2019,Advised to Sue - ATS,No,0.00,2744,HYLAN BLVD,150,STATEN ISLAND,NY,10306,11357,-73.82204675132408,40.778350622957895
"GREEN SPOT CLEANERS, INC.",Dry Cleaners - 230,Non-Delivery of Service - N02,01/21/2020,01/27/2020,Complaint Invalid - CIN,NA,0.00,105,E KINGSBRIDGE RD,,BRONX,NY,10468,10458,-73.89520524950123,40.86649369578037
JUNCTION ELMHURST 27 CORP,Garage - 049,Surcharge/Overcharge - S02,11/12/2019,12/10/2019,Bill Reduced - BLR,Yes,275.00,9425,57TH AVE,,ELMHURST,NY,11373,11373,-73.95405210140424,40.770488934186126
"NATIONAL FLOORS DIRECT, INC.",Home Improvement Contractor - 100,Misrepresentation - M01,10/02/2019,11/01/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,PO BOX,P O BOX 5776,,ASTORIA,NY,11105,11412,,
MATTRESS FIRM,Furniture Sales - 242,Damaged Goods - D01,04/01/2019,05/08/2019,Consumer Took Action - CTA,No,0.00,5815,GULF FWY,,HOUSTON,TX,77023,10465,-73.82550554142227,40.86939008930352
NEW YORK SPORTS CLUB,Other,Misrepresentation - M01,03/11/2020,04/30/2020,Referred to Outside - RTO,NA,0.00,5,PENN PLZ,4,NEW YORK,NY,10001,11238,,
"HG RECOVERY FUND 1, LLC",Debt Collection Agency - 122,Billing Dispute - B02,05/02/2019,06/05/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,17,E MONROE ST,158,CHICAGO,IL,60603,10128,,
"JETS TOWING, INC.",Tow Truck Company - 124,Billing Dispute - B02,01/31/2019,03/20/2019,Cash Amount - AMT,Yes,1546.00,988,E 49TH ST,,BROOKLYN,NY,11203,11226,-73.92799119759786,40.638757065775124
MICHELLE BEAUTY SUPPLY,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,03/12/2019,03/19/2019,Complaint Invalid - CIN,NA,0.00,7918,FLATLANDS AVE,,BROOKLYN,NY,11236,11236,-73.91382830370242,40.63514341767747
SPRINT SPECTRUM L.P.,Other,Misrepresentation - M01,04/10/2019,04/30/2019,Cash Amount - AMT,Yes,400.00,6500,SPRINT PARKWAY,,OVERLAND PARK,NY,66251,11233,,
WR AUCTION GALLERY INC.,Auction House - 128,Non-Delivery of Goods - N01,01/08/2019,01/16/2019,Goods Received - GDR,Yes,600.00,1050,2ND AVE,,NEW YORK,NY,10022,11361,-73.96606610619004,40.758226846199264
ALL HEATING AC AND APPLIANCE SVC,Electronic & Home Appliance Service Dealer - 115,Non-Delivery of Service - N02,01/08/2020,02/11/2020,No Business Response - NVR,No,0.00,9502,VAN WYCK EXPY,,JAMAICA,NY,11419,10034,,
"HOMESURE OF AMERICA, INC.",Other,Breach of Warranty - B04,01/06/2020,01/24/2020,Referred to Outside - RTO,NA,0.00,PO BOX,,,FORT LAUDERDALE,FL,33355,,-73.94424950812999,40.646270341816255
"MAJOR WORLD CHEVROLET, L.L.C.",Secondhand Dealer Auto - 005,Other - Z01,01/10/2020,02/24/2020,Credit Card Refund and/or Contract Cancelled - CRC,Yes,26108.00,4340,NORTHERN BLVD,,LONG ISLAND CITY,NY,11101,10044,,
SAKS FIFTH AVENUE,Retail Store - 820,Refund Policy - R01,02/25/2020,04/14/2020,Goods Exchanged - GEX,Yes,0.00,611,5TH AVE,8TH FL,NEW YORK,NY,10022,11238,-73.9775772116447,40.75800184808886
CITY WORLD ESTATE AUTO HOLDINGS LLC,Secondhand Dealer Auto - 005,Defective Goods - D02,01/15/2019,01/18/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,3305,BOSTON RD,,BRONX,NY,10469,10467,-73.85340566944856,40.873488313810455
TOWER WEST LIVERY CENTER LLC,Auto Rental - 213,Exchange Goods/Contract Cancelled - E01,11/06/2019,12/13/2019,Advised to Sue - ATS,No,0.00,35,W 170TH ST,,BRONX,NY,10452,11372,-73.91993353047532,40.840817589992255
CVS CORPORATION,Misc Non-Food Retail - 817,Surcharge/Overcharge - S02,02/01/2019,03/07/2019,No Consumer Response - NCR,NA,0.00,1,CVS DR,,WOONSOCKET,RI,02895,10128,,
"MATTRESS FIRM, INC.",Furniture Sales - 242,Non-Delivery of Goods - N01,10/02/2019,10/16/2019,Store Credit - SCR,Yes,1800.00,10201,MAIN ST,,HOUSTON,TX,77025,10463,-73.90305808461115,40.881371313265234
CENTURY FIRST CREDIT SOLUTIONS,Debt Settlement - 248,Non-Delivery of Service - N02,05/24/2019,06/28/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,1375,BROADWAY,6,NEW YORK,NY,10018,11377,,
LIBERTY WINDOORS CORP,Hardware-Retail - 811,Non-Delivery of Goods - N01,06/12/2019,07/10/2019,Bill Reduced - BLR,Yes,472.00,6075,ELIOT AVE,,MASPETH,NY,11378,11385,-73.90238161974221,40.71403835949002
FINEST TOWING & AUTO BODY INC.,Tow Truck Company - 124,Surcharge/Overcharge - S02,12/14/2018,01/11/2019,Cash Amount - AMT,Yes,136.00,198,GRANDVIEW AVE,,STATEN ISLAND,NY,10303,10306,,
"KNIGHTS COLLISION EXPERTS, INC.",Booting Company - 126,Surcharge/Overcharge - S02,01/15/2020,03/11/2020,Referred to Outside - RTO,NA,0.00,2000,EASTERN PKWY,,BROOKLYN,NY,11233,11207,,
NEW LOOK BODY SHAPE ART INC,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,06/11/2019,07/10/2019,Unable to Locate Business - ULV,NA,0.00,3167,CONEY ISLAND AVE,,BROOKLYN,NY,11235,11209,-73.95968108139063,40.578721915288554
"KIM, HYUN M",Dry Cleaners - 230,Damaged Goods - D01,02/12/2019,02/21/2019,Cash Amount - AMT,Yes,50.00,16309,29TH AVE,,FLUSHING,NY,11358,11358,-73.80138259590345,40.77112013820835
GRACE CATCHERS TOWING INC.,Tow Truck Company - 124,Misrepresentation - M01,03/19/2019,03/25/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,PO BOX,P O BOX 780075,,MASPETH,NY,11378,11417,-73.91410330228676,40.7238025822284
310 EAST 46TH STREET PARKING CORP.,Garage - 049,Surcharge/Overcharge - S02,12/24/2018,01/08/2019,Cash Amount - AMT,Yes,80.00,107,W 13TH ST,,NEW YORK,NY,10011,10017,-73.96983367446778,40.75215377197153
"BALKAR CONSTRUCTION, INC.",Home Improvement Contractor - 100,,07/23/2019,09/11/2019,Advised to Sue - ATS,No,0.00,12014,ATLANTIC AVE,,S RICHMOND HL,NY,11419,11236,-73.89802167438894,40.633107575503836
RAYMOUR & FLANIGAN FURNITURE,Furniture Sales - 242,Damaged Goods - D01,04/01/2019,05/15/2019,Goods Exchanged - GEX,Yes,0.00,7248,MORGAN RD,,LIVERPOOL,NY,13090,11377,-73.91424532268624,40.75361894380833
COSTCO WHOLESALE CORPORATION,Megastore - 821,Surcharge/Overcharge - S02,10/21/2019,10/28/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,999,LAKE DR,,ISSAQUAH,WA,98027,11373,,
"AARON'S, INC.",Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,08/13/2019,09/05/2019,Goods Received - GDR,Yes,0.00,309,E PACES FERRY RD NE,NE,ATLANTA,GA,30305,11691,-73.8122908530251,40.58741941622181
"QUEENS AUTO MALL, INC.",Secondhand Dealer Auto - 005,Misrepresentation - M01,09/26/2019,10/17/2019,No Satisfactory Agreement - NSA,No,0.00,13401,ATLANTIC AVE,,RICHMOND HILL,NY,11418,,-73.81520661091679,40.69691111040111
"REUNITED HOME IMPROVEMENTS, INC.",Home Improvement Contractor - 100,Quality of Work - Q01,02/14/2020,03/06/2020,Cash Amount - AMT,Yes,300.00,3000,MARCUS AVE,3W4,NEW HYDE PARK,NY,11042,10463,-73.91748395589416,40.878069686875854
"DEDVUKAJ BUILDERS GROUP, INC.",Home Improvement Contractor - 100,Breach of Contract - B03,03/15/2019,03/20/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,8,OLD WOODS DR,,HARRISON,NY,10528,10016,,
INTEGRAL CONSTRUCTION & RESTORATION CORP,Home Improvement Contractor - 100,Quality of Work - Q01,08/09/2019,09/20/2019,Advised to Sue - ATS,No,0.00,2919,RANDALL AVE,PH,BRONX,NY,10465,10469,,
LE SAK PARIS,Retail Store - 820,Damaged Goods - D01,02/15/2019,03/06/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,472,BROADWAY,,NEW YORK,NY,10013,11355,-74.00029582338965,40.72125729456863
"CREDENCE RESOURCE MANAGEMENT, LLC",Debt Collection Agency - 122,Billing Dispute - B02,05/06/2019,06/13/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,12645,SEATON CIR,,FRISCO,TX,75033,11226,,
BUILDINGS WORK INC.,Home Improvement Contractor - 100,Breach of Contract - B03,12/21/2018,02/22/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,1,ROCKRIDGE RD,,LARCHMONT,NY,10538,10021,,
107 GARAGE CORP.,Parking Lot - 050,Surcharge/Overcharge - S02,04/02/2019,04/22/2019,Cash Amount - AMT,Yes,28.00,107,W 13TH ST,,NEW YORK,NY,10011,05753,-73.99788184003305,40.7369078726219
PROGRESSIVE CONTRACTING,Home Improvement Contractor - 100,Non-Delivery of Service - N02,02/15/2019,03/06/2019,Cash Amount - AMT,Yes,2000.00,88,CHURCH AVE,,BROOKLYN,NY,11218,11004,-73.97989331037635,40.642595851415095
LONG ISLAND CUSTOM WINDOWS LLC,Home Improvement Contractor - 100,Misrepresentation - M01,11/06/2019,11/27/2019,Credit Card Refund and/or Contract Cancelled - CRC,Yes,500.00,2029,NEW HWY,,FARMINGDALE,NY,11735,11236,,
ANTONIA SAINT NEW YORK,Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,04/26/2019,06/03/2019,No Satisfactory Preempted - NSP,NA,0.00,3418,NORTHERN BLVD,,ASTORIA,NY,11101,,,
TMT COLLISION SPECIALIST LLC,Tow Truck Company - 124,Misrepresentation - M01,11/26/2019,12/18/2019,Unable to Locate Business - ULV,NA,0.00,3346,PROVOST AVE,,BRONX,NY,10475,10456,-73.82589416213214,40.88253228491347
P. C. RICHARD & SON LONG ISLAND CORPORATION,Electronic & Home Appliance Service Dealer - 115,Defective Goods - D02,02/26/2019,03/15/2019,Store Credit - SCR,Yes,0.00,150,PRICE PKWY,,FARMINGDALE,NY,11735,10456,,
MOBILESHACK INC,Electronic Store - 001,Surcharge/Overcharge - S02,03/28/2019,05/03/2019,Advised to Sue - ATS,No,0.00,566,FASHION AVE,,NEW YORK,NY,10018,,-73.98771710887013,40.755008858572324
T-MOBILE NORTHEAST LLC,Electronic Store - 001,Surcharge/Overcharge - S02,12/06/2019,12/27/2019,Referred to Outside - RTO,NA,0.00,P O BOX,P O BOX 37380,,ALBUQUERQUE,NM,87176,10029,,
HOWARD JOHNSON BY WYNDHAM,Hotel/Motel - 460,Breach of Contract - B03,08/26/2019,09/13/2019,Advised to Sue - ATS,No,0.00,22,SYLVAN WAY,,PARSIPPANY,NJ,07054,14850,-73.78132199983648,40.66828403732765
"BOB'S DISCOUNT FURNITURE, LLC",Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,02/06/2020,02/13/2020,Advised to Sue - ATS,No,0.00,428,TOLLAND TPKE,,MANCHESTER,CT,06042,11208,-73.85970420506906,40.710826800928416
"BEST BUY STORES, L.P.",Appliances - 244,Damaged Goods - D01,01/10/2019,03/06/2019,Goods Repaired - GRS,Yes,0.00,2200,CABOT DR,STE 200,LISLE,IL,60532,11221,-73.87528440236768,40.735149591323975
BH EXTREME INC,Electronic Store - 001,Refurbished /used,09/26/2019,11/04/2019,No Satisfactory Agreement - NSA,No,0.00,1416B,SAINT NICHOLAS AVE,,NEW YORK,NY,10033,10977,-73.9338684299134,40.84911543728596
LIBERTY TAX SERVICE,Tax Preparers - 891,Billing Dispute - B02,01/15/2020,01/27/2020,Referred to Outside - RTO,NA,0.00,4629,GREENPOINT AVE,,SUNNYSIDE,NY,11104,11355,,
NYC PEDICAB INC.,Pedicab Driver - 131,Surcharge/Overcharge - S02,02/05/2019,02/22/2019,Unable to Locate Business - ULV,NA,0.00,3004,47TH ST,APT 1R,ASTORIA,NY,11103,,-73.99084364434648,40.74941535550069
JENNIFER FURNITURE,Furniture Sales - 242,Non-Delivery of Goods - N01,06/03/2019,06/27/2019,Goods Received - GDR,Yes,332.00,335,CROSSWAYS PARK DR,,WOODBURY,NY,11797,10475,-73.83139518658652,40.868059431488774
HOMESERVE USA,Misc Non-Food Retail - 817,Breach of Contract - B03,02/08/2019,03/01/2019,No Satisfactory Preempted - NSP,NA,0.00,601,MERRITT 7,6,NORWALK,CT,06851,11411,,
RIGHT WAY CO.,Home Improvement Contractor - 100,Non-Delivery of Service - N02,02/01/2019,02/26/2019,Advised to Sue - ATS,No,0.00,8156,NEW UTRECHT AVE,,BROOKLYN,NY,11214,10303,,
S&M ORTIZ LAUNDROMAT II INC.,Dry Cleaners - 230,Non-Delivery of Service - N02,04/24/2020,04/30/2020,Resolved and Consumer Satisfied - SPF,Yes,0.00,3505,DITMARS BLVD,,ASTORIA,NY,11105,11105,,
STAR SECURITY TRAINING,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,03/05/2019,03/13/2019,No Consumer Response - NCR,NA,0.00,1891,FULTON ST,,BROOKLYN,NY,11233,11216,-73.92084185986518,40.67883440631984
LATINO HOME SERVICES INC,Home Improvement Contractor - 100,Non-Delivery of Service - N02,08/29/2019,09/30/2019,Advised to Sue - ATS,No,0.00,9957,164TH AVE,,HOWARD BEACH,NY,11414,11370,-73.88970155072043,40.76460448960962
"MIDLAND CREDIT MANAGEMENT, INC.",Debt Collection Agency - 122,Misrepresentation - M01,09/30/2019,10/01/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,3111,CAMINO DEL RIO N,103,SAN DIEGO,CA,92108,10461,,
WIZARD OF EYES,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,06/03/2019,07/10/2019,Consumer Took Action - CTA,No,0.00,16501,JAMAICA AVE,,JAMAICA,NY,11432,11423,-73.79475765902522,40.70552249687253
TMT COLLISION SPECIALIST LLC,Tow Truck Company - 124,,08/26/2019,10/04/2019,No Business Response - NVR,No,0.00,,,,,,,11101,-73.82589416213214,40.88253228491347
